ParlaMint-GB_2017-02-21-commons.u1	1. When he next plans to meet the US Secretary of State.
ParlaMint-GB_2017-02-21-commons.u159	With Iran testing missiles, Russia plotting coups and North Korea murdering dissidents, does the Foreign Secretary agree that now is the time to renew western resolve and leadership, which has sometimes been lacking during the past eight years?
ParlaMint-GB_2017-02-21-commons.u160	I completely agree. One of the interesting phenomena of the global reaction to the new US President is how much it is at variance with some of the commentary I have heard from the Opposition Benches this morning. When I go around the world, I find that many people in foreign ministries and other Governments are hopeful that they will see American leadership again where it has been lacking. They are particularly encouraged by the role of the United Kingdom in helping to transmit and improve American policy.
ParlaMint-GB_2017-02-21-commons.u161	Last week I led a delegation to Kosovo, and I can tell my right hon. Friend that the President, the Prime Minister and others that we met there greatly appreciated his visit. May I invite him to reaffirm our continued support for Kosovo and to take part in any future initiatives to help it?
ParlaMint-GB_2017-02-21-commons.u162	Yes, I certainly shall. I much enjoyed my time in Kosovo. All those on the Labour Benches who have sprung to the defence of their former Prime Minister today should know that he is memorialised, at least in Kosovo, in that no fewer than eight 16-year-olds there have been christened Tony Blair.
ParlaMint-GB_2017-02-21-commons.u163	President Putin might be President Trump’s new best buddy, but he is certainly not ours. Will the Foreign Secretary give his full support to the Magnitsky amendments that we are going to debate in a few minutes, which would allow the assets of any Russians involved in the murder of Magnitsky to be seized in the UK?
ParlaMint-GB_2017-02-21-commons.u164	We will be looking very carefully at that debate as it unfolds, and at the arguments that are made. We think that we have good provision in our statutes at the moment, but we will take account of the debate as it evolves.
ParlaMint-GB_2017-02-21-commons.u165	I recently had a meeting in my constituency surgery with a delegation from Cameroon regarding the lack of democracy in that country. They described fear, brutality and a lack of education in English-speaking Cameroon. What role can the Foreign and Commonwealth Office and the conflict, stability and security fund play in supporting democracy in that area?
ParlaMint-GB_2017-02-21-commons.u166	First, I want to pay tribute to the diasporas based in the UK that provide us with an understanding of what is going on in their countries. I also pay tribute to the work that my hon. Friend is doing, and I absolutely agree with the concerns that she has raised about Cameroon. She is right to point to the conflict, stability and security fund as a way for us to provide funds to achieve that security, and we will be doing just that.
ParlaMint-GB_2017-02-21-commons.u167	A few moments ago, the Secretary of State confirmed as Government policy something that this House resolved without a Division on 9 February—that there should be a halt to the planning and construction of residential settlements in the occupied Palestinian territories. Given that that is the case, why is the UK permitted to trade specifically with those illegal settlements?
ParlaMint-GB_2017-02-21-commons.u168	It is the policy of the UK, and I think of many of our friends and partners, to continue to trade on the grounds that that is the best way to support the economy of the region. Many workers in the region come from populations within the occupied Palestinian territories, and their livelihoods depend on that industry. That policy is widely understood and supported, and we will continue with it.
ParlaMint-GB_2017-02-21-commons.u169	Order. I am grateful to the Foreign Secretary and to colleagues. We must move on.
ParlaMint-GB_2017-02-21-commons.u170	On a point of order, Mr Speaker. Thank you for taking this point of order. Notwithstanding the underwhelming support for my vote of no confidence in you, have the Government or indeed the Backbench Business Committee contacted you in any way to allocate time for this unresolved matter to be debated and, indeed, voted on?
ParlaMint-GB_2017-02-21-commons.u171	The short answer is no, and there is absolutely no reason why they should have done, a point which I can say from my own head and heart fortified in the knowledge that it is also the sound advice of the experienced Clerk of the House, who has been working in the service of the House for 40 years.
ParlaMint-GB_2017-02-21-commons.u172	On a point of order, Mr Speaker. While the Foreign Secretary is still in the Chamber, I want to ask for clarification. He said from the Dispatch Box during Question Time that the Trump travel ban order would not affect UK passport holders. Is he aware of the case of the teacher from Swansea who has been—[Interruption.] I am giving the Foreign Secretary the opportunity to clarify that he is aware of the matter and that it is in hand.
ParlaMint-GB_2017-02-21-commons.u173	That is not specifically a matter for the Chair. If the Foreign Secretary wants to respond on the Floor of the House, he is free to do so, but he is under no obligation. I get the impression that the hon. Lady will be contacted.
ParlaMint-GB_2017-02-21-commons.u174	If the case that the hon. Lady is referring to is the one that I am thinking of, I have written to her about it.
ParlaMint-GB_2017-02-21-commons.u175	On a point of order, Mr Speaker. You quite rightly apologised to the Lord Speaker for unilaterally seeking to ban the President of the United States from speaking in Westminster Hall. When can we expect an apology in this Chamber?
ParlaMint-GB_2017-02-21-commons.u176	I am grateful to the hon. Gentleman. I treated of that matter very fully both on the day in question, when I responded to the hon. Member for Cardiff South and Penarth (Stephen Doughty), and on the following day, when there were points of order. I cannot recall whether the hon. Member for North West Leicestershire (Andrew Bridgen) was in his place at that time, but I responded to points of order and the matter was addressed fully, so we shall leave it there. I am extremely grateful to the hon. Gentleman for his interest.
ParlaMint-GB_2017-02-21-commons.u177	I beg to move, That leave be given to bring in a Bill to restrict charges for using telecommunications to contact certain government advice services; and for connected purposes The Bill that I am proposing would regulate the provision of telecommunications advice lines by all Government Departments so that call charges to citizens would be restricted or, for the most vulnerable, eliminated. It would ask Government Departments to conduct an assessment for each local authority area of the provision of public computer equipment capable of being used by Department for Work and Pensions claimants, for example, and to publish the results. If that assessment were to demonstrates that the total number of units of public computer equipment was less than one for every 20 claimants, all Secretaries of States would have to make provision for a dedicated telephone number that could be accessed at zero cost, including without having to use coins or cards at a public telephone. I also propose that if Departments were unable to take a call within a reasonable period, such as five minutes, the caller should be given a regularly updated estimate of the likely waiting time, with the offer of an immediate call-back facility. That is an essential courtesy MPs often encounter examples of unfairness and injustice when, through no fault of their own, people seem to be punished for finding themselves in need, and where rules and regulations actively harm, not help, the average citizen who is simply seeking what they are entitled to. A key part of the role of an elected Member is to help people to navigate their way through the system, but since being elected, I have been shocked by the in-built unfairness and the costs of claiming Take the Department for Work and Pensions. Although an initial inquiry to the DWP is free, follow-up inquiries about a claim, queries about benefits sanctions, or even reporting that a benefit has not been paid on time all come with call charges. Constituents have told me that those calls can be very expensive—as much as £9 or £16 a time—and that long waiting times to speak to an adviser bump up that cost even further Other examples of services that charge for access are the child maintenance helpline and the Home Office helpline for inquiries about spousal visas, which costs £1.37 a minute over and above network charges. There can be no justification for the Home Office imposing charges on anyone for a genuine inquiry service. Dealing with telephone inquiries must be treated as a valid overhead cost that is covered by the fees levied for the application process itself Telephone network charges vary and, again, they can be seen to discriminate against the least well-off. All providers include 03 numbers in their inclusive call packages, but calls to such numbers are often presented as if they are available only to those who are well off. That even applies to pay-as-you-go arrangements, which are more likely to be used by low-income households. They may be unaware of the bundles that enable calls to be made at no more than 7p a minute, rather than the range of 10p a minute to 55p a minute suggested on the Government website, as updated on 7 February I thank David Hickson of the fair telecoms campaign for providing me with information as I prepared this Bill. David tells me that the campaign fully supports the use of 0800 numbers, and the consequent bonanza for telephone companies, in cases when it is essential that nobody pays for a call. He is, however, concerned that greater use of 0800 numbers would do nothing to help constituents who get ripped off when calling friends, or their MP, on ordinary numbers. There is therefore a strong case for us all to push the point that it is essential to ensure that everybody chooses the most appropriate telephone call plan for their needs. Those of us who are well-off, smart consumers do that anyway, but there is a need for greater assistance and guidance to be given to all Last July, the Social Security Advisory Committee recommended that all telephone calls to the DWP should be free via 0800 numbers. The Government’s response was that that would cost £7 million, which is not a lot in the context of the overall budget. The roll-out of universal credit threatens to extend call times and costs to claimants due to the nature of the new benefit, which will require frequent contact from claimants to update the DWP on their circumstances. A ministerial written answer last year revealed that the average length of a call to the universal credit helpline is seven minutes and 29 seconds, which is equivalent to £4.40 at one major phone operator’s rates. Universal credit is a replacement for jobseeker’s allowance, and the weekly equivalent is £73.34, so claimants will already have less to live on than they are allocated simply for calling a helpline The push over the edge into poverty should not be administered by the DWP and other Government Departments through charging for inquiry lines. When the safety net becomes a trap, it is time to ask what sort of Government boost telephone company profits on the backs of the poor Far from working to create a society that is fair for all, the Government have not responded positively so far to the campaign to remove telephone helpline charges, which can be up to 55p a minute. When I have queried the cost of calling, the ministerial response has inevitably mentioned the alternative of online access for inquiries and claims. That is fine for those who are digitally literate, who can afford broadband and who live in an area with good connectivity, but it is not so great otherwise and a further in-built barrier that stops people from accessing the support to which they are entitled. Although there has been some funding for public access terminals and digital learning, if all the people who seek advice on claims were to switch from phoning to the use of public internet access terminals, libraries and community centres would be unable to cope with the demand When I was researching this issue, I was particularly struck by a DWP spokesperson’s response to the telephone tax campaign last year, which was that online access is widely available through the network of jobcentres. I pause for a moment as we reflect on the proposed closure programme for the DWP estate. It should not be too difficult to conduct an audit, in conjunction with local authorities, to identify the availability of free online access terminals to our constituents, or the lack thereof. In fact, I am inclined to conduct one in my constituency of Glasgow South West and to compare that with the claimant count. I strongly suspect that that would reveal a mismatch The other stock ministerial response to questions about phone charges for inquirers is the use of a call-back, but it is rather difficult for an inquirer who is on hold if a call-back is not offered routinely. A call-back also requires the caller to self-identify as vulnerable. That in-built humiliation within the system is familiar to those of us who have watched “I, Daniel Blake” Ministers have promised a review of telephone charges, but I ask the Government to act on the recommendations of the 2016 Social Security Advisory Committee report “Telephony in DWP and HMRC: an update” as part of the review, introduce a more effective call-back system for vulnerable customers, and bring in an information system that advises customers of possible wait times. That should be adopted across all Government services as best practice. The need for reform is pressing with regard to benefit claims, but over-the-top charging for information, through a lack of recognition of the least well-off’s limited access to the range of phone packages available and a lack of digital inclusion, excludes and discriminates against far too many of our citizens As Mr David McAuley from the Trussell Trust put it: “When incomes are extremely tight, we could see people being forced to choose between phoning to make a…claim and buying essential food supplies” Unless people have been in that position, or have a case load from a constituency like mine, it might be difficult for them to understand how disempowering or discriminatory the system can be, and that every penny spent on a phone call ramps up stress and anxiety for people who simply want access to information, support and the benefits to which they are entitled. I commend the Bill to the House Question put and agreed to. Ordered, That Chris Stephens, Mhairi Black, Jonathan Edwards, Neil Gray, Dr Philippa Whitford, Drew Hendry, Ms Margaret Ritchie, Mr Alistair Carmichael, Ian Blackford, Mr Jim Cunningham, Grahame M. Morris and Mark Durkan present the Bill Chris Stephens accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 24 March, and to be printed (Bill 141).
ParlaMint-GB_2017-02-21-commons.u178	I beg to move, That the clause be read a Second time.
ParlaMint-GB_2017-02-21-commons.u179	With this it will be convenient to discuss the following: New clause 1—Civil recovery: gross abuse of human rights— ‘(1) Part 5 of the Proceeds of Crime Act 2002 (civil recovery of the proceeds etc. of unlawful conduct) is amended as follows (2) In section 241 (which defines unlawful conduct), after subsection (2), insert— “(2A) Conduct which— (a) occurs in a country or territory outside the United Kingdom and has been designated as conduct by a person connected to a gross human rights abuse in accordance with the provisions of section 241B, and (b) if it occurred in a part of the United Kingdom, would be or would have been unlawful under the criminal law of that part at the relevant time, is also unlawful conduct.” (3) After section 241 (which defines unlawful conduct), insert— “241A Conduct connected to a gross human rights abuse (1) “Conduct connected to a gross human rights abuse” means— (a) involvement by a Person (“A”) in torture or other serious breaches of human rights and fundamental freedoms against a Person (“B”) where B sought or seeks— (i) to expose illegal activity carried out by foreign public officials, or (ii) to obtain, exercise, defend or promote human rights and fundamental freedoms, (b) activities by a Person (“C”) as an agent in a matter relating to an activity by A described in paragraph (a), (c) activities by a Person (“D”) to profit from, materially assist, sponsor, or provide financial, material or technological support for, or goods and services in support of, an activity by A described in paragraph (a), (d) commission by a Person (“E”), whether or not a foreign public official, of the illegal activity described in paragraph (a)(i) (2) For the purposes of this section, it is immaterial where the conduct occurred (3) In this section “human rights and fundamental freedoms” means the “Convention rights” as defined in section 1 of the Human Rights Act 1998 241B Designation of conduct connected to a gross human rights abuse ‘(1) The High Court may make an order designating that the actions of the respondent constitute conduct connected to a gross human rights abuse and, if considered appropriate, that— (a) a person is prohibited from dealing with property, funds or economic resources owned, held or controlled by the respondent if the person knows, or has reasonable cause to suspect, that the person is dealing with such property, funds or economic resources, (b) a person is prohibited from making property, funds or financial services available (directly or indirectly) to the respondent if the person knows, or has reasonable cause to suspect that the person is making the funds or financial services so available, (c) a person is prohibited from making funds or financial services available to any person for the benefit of the respondent if the person knows, or has reasonable cause to suspect, that the person is making the funds or financial services so available (2) An order under subsection (1) may only be made on application (3) An application for an order under subsection (1) may be made by— (a) the Secretary of State, (b) an individual, or (c) an entity, including a non-governmental organisation (4) An application for an order under subsection (1) must be supported by a statement of information which addresses— (a) the circumstances surrounding the respondent’s conduct connected to a gross human rights abuse, and (b) the nature and extent of the respondent’s involvement (5) An application for an order under subsection (1) may be made without notice to the respondent to a judge in chambers (6) The Court must be satisfied that it is in the public interest to make an order under subsection (1) (7) The Court shall reach a decision on an order under subsection (1) on the balance of probabilities 241C Duration, extension, variation and discharge of an order ‘(1) The High Court shall specify the duration of an order under section 241B(1) which shall not exceed two years (2) In determining the duration of an order, the Court shall have regard to the likely duration of consequential proceedings under this Part (3) The Court may extend an order for a maximum period to two years at any time before it expires, if it is satisfied that the requirements of a designation order continue to be met (4) An extension application may be made without the need for a hearing if the court considers it appropriate (5) An application to extend, vary or discharge an order may be made to the court by— (a) the Secretary of State, (b) the applicant, (c) the respondent, or (d) any person affected by the order (6) An application to discharge a designation order must be made by the applicant as soon as reasonably practicable in circumstances where the requirements of an order are no longer satisfied 241D Appeals, etc. ‘(1) The following persons may appeal to the Court of Appeal in respect of the High Court’s decision on matters falling to be decided under sections 241B and 241C— (a) the applicant, (b) the respondent, or (c) any person affected by the order (2) On an appeal under subsection (1) the Court of Appeal may— (a) confirm the decision, or (b) make such orders as it believes appropriate (3) An appeal lies to the Supreme Court from a decision of the Court of Appeal on an appeal under this section (4) An appeal under this section lies at the instance of any person who was a party to the proceedings before the Court of Appeal (5) On an appeal under this section the Supreme Court may— (a) confirm the decision of the Court of Appeal, or (b) make such order as it believes is appropriate 241E Standard to be applied All matters to be determined by a court under sections 241B to 241D are to be decided on the balance of probabilities 241F Costs In the exercise of its discretion, a court may, on application, make a costs capping order in respect of proceedings under sections 241B to 241D 241G Duties in respect of gross abuse of human rights ‘(1) It shall be the duty of the Secretary of State to apply for an order under section 241B where the Secretary of State is satisfied that— (a) the requirements for the making of an order are met; and (b) it is in the public interest to make the application (2) It shall be the duty of the Secretary of State to maintain a public register of— (a) individuals in respect of whom orders have been made under section 241B(1), (b) the circumstances giving rise to the making of such orders, and (c) any decisions of a court under sections 241C and 241D in relation to such orders (3) In any case where a relevant authority considers that evidence is available of property being held by a person in respect of whom an order has been made under section 241B which may represent property obtained through unlawful conduct, it shall be the duty of the relevant authority to seek to initiate proceedings for civil recovery under this Part.” (4) In section 304 (which defines recoverable property), after subsection (1), insert— “(1A) Property of a person who is the subject of a designation order under section 241B is presumed to have been obtained through unlawful conduct unless the contrary is shown by the respondent.”” This new clause extends the scope of unlawful conduct for the purposes of Part 5 of the Proceeds of Crime Act 2002 to cover to certain actions connected to a gross human rights abuse which has taken place abroad. Government amendments 58 and 59.
ParlaMint-GB_2017-02-21-commons.u180	Some time has passed since we last considered this Bill. There was, as hon. Members will recall, a great deal of cross-party consensus on it, both on Second Reading and in Committee, and I hope that we will be able to continue in that same spirit of constructive debate and healthy scrutiny today This first group of amendments concerns the extremely grave matter of gross human rights abuses or violations. The Government are committed to promoting and strengthening universal rights globally, and I welcome the opportunity to debate this issue. In particular, these amendments have been prompted by the harrowing case of Sergei Magnitsky. Magnitsky was not a serious criminal; he was a lawyer who tried to blow the whistle on large-scale tax fraud in Russia, and he believed that he would be protected by the law. Unfortunately, he died in state custody in 2009 after suffering both mistreatment and assault, and being denied medical attention. I share the strong feelings of many hon. Members about this case, and I want to reassure the House that the Government have expressed, both publicly and to the Russian Government, our serious concerns about Mr Magnitsky’s death. Of course, we must also remember that his case is only one of many atrocious human rights violations committed globally each year As I am sure that hon. Members will highlight, the US has legislated to prohibit the entry of certain named individuals to the US and to forbid them use of the US banking system. Less than two months ago, President Obama’s Administration extended the legislation so that it could be applied to those involved in human rights violations, wherever in the world they have taken place. That sends an important signal that perpetrators of gross human rights violations will face consequences. However, we have an entirely different legal system, which merits a different approach I pay tribute to those hon. Members who have raised this issue by tabling new clause 1—in particular, my hon. Friend the Member for Esher and Walton (Mr Raab), the right hon. Members for Barking (Dame Margaret Hodge) and for Carshalton and Wallington (Tom Brake), and the hon. Member for Ross, Skye and Lochaber (Ian Blackford). I am grateful to hon. Members for giving me advance notice of the amendment, and am pleased to have had the opportunity to discuss it with many of its signatories It has always been the Government’s position that for further legislation to be warranted on this issue, there would need to be a real case that existing powers were insufficient. I hope that hon. Members will agree that we should avoid doing anything that might have an impact on the effectiveness of our existing sanctions and civil recovery powers. The National Crime Agency has confirmed that it has considered all the material provided to it on the Magnitsky case. It concluded that the individuals whom we believe to be connected to the case do not reside in the UK, and it has identified no assets of value in the United Kingdom that are connected to the case, so the additional powers proposed in new clause 1 would have no obvious material effect on the individuals involved in this case.
ParlaMint-GB_2017-02-21-commons.u181	The point about the Magnitsky Act in the US is that it pulls together the visa ban, the ban on using American banks and the inability to trade there; the advantage is that it is all pulled together. I appreciate that the scenario is different in this country, but will the Minister please explain how he intends to pull the links together in this country, using the different pieces of existing legislation?
ParlaMint-GB_2017-02-21-commons.u182	I am grateful to my hon. Friend for that point. I will get to that later in my speech, but we have to recognise this difference between the United States and the UK: here, most of our sanctions regimes are under the European Union umbrella. Of course, there will be time to discuss those sanctions, and the United Kingdom’s post-Brexit arrangements, at a later date. When it comes to sanctions, we have slightly different dispersals of authority and power from the United States, which often can, and does, act entirely unilaterally in this area; we should point that out One problem with new clause 1 is that we think it would be non-compliant with our domestic human rights law, because it contains no derogations. It would freeze all the assets of a designated individual, so they would not have any funds for living expenses or medical treatment, or to pay for legal representation. The reversal of the burden of proof, so that it would be assumed that all assets owned by designated individuals were the proceeds of their unlawful conduct, would also be an unprecedented step. That is incongruous with the existing civil recovery regime and could be judged by the courts to be disproportionate However, we recognise the strength of feeling on this matter, and understand the deterrent effect that such an amendment would have on those who seek to profit from the gross abuse or violation of human rights overseas.
ParlaMint-GB_2017-02-21-commons.u183	The Minister is clearly very well informed on this issue, and I know that he has had meetings on the subject. If assets connected to the case were identified in the UK—I know that there is a dispute with Bill Browder, who believes that there are such assets here—is the Minister confident that existing legislation or his new clause 7 would enable them to be frozen?
ParlaMint-GB_2017-02-21-commons.u184	I am grateful to the right hon. Gentleman for his point. I have to respect the boundaries of our law enforcement agencies. As a Minister, I cannot direct them to take action; they have an operational freedom and independence that we value greatly in this country. They have said to me that should actionable evidence be presented to them, they would be free to follow that up and enforce the law. Speaking as the Minister, where actionable evidence of gross human rights abuses or other criminal offences is presented, of course we would like to see action taken. This is not about trying to shelter people who have been involved in those offences; it is about trying to make sure that the appropriate action is taken when the correct evidence is presented. I absolutely concur with the right hon. Gentleman’s point: it is important to understand that we need to act on the evidence. If there is evidence, we could take action, even without this legislation. I certainly urge our law enforcement agencies to take action to make sure that people are held to account for the atrocious murder in Russia of Mr Magnitsky We have tried to come some way towards meeting many of the concerns of hon. Members by tabling new clause 7 and the consequential amendments 58 and 59. They would widen the definition of “unlawful conduct” in part 5 of the Proceeds of Crime Act 2002 to include torture or “the cruel, inhuman or degrading treatment” of those exposing corruption, or obtaining, exercising, defending or promoting human rights, including in cases where that conduct was not an offence in the jurisdiction in which it took place. That would allow any assets held in the UK that were deemed to be the proceeds of such activity to be recovered under the provisions in part 5.
ParlaMint-GB_2017-02-21-commons.u185	The Government’s new clause 7 contains no duty on the Government to act at all; they can simply ignore the provisions. That is one of the key differences between new clause 7 and new clause 1, tabled by the hon. Member for Esher and Walton (Mr Raab).
ParlaMint-GB_2017-02-21-commons.u186	The hon. Gentleman talks about duty, but there are lots of criminal offences on the statute books on which the Government do not have a duty to act. We leave it to the interpretation and freedom of our law enforcement agencies to act. Are we to say that the duty in this case is greater than the duty on the police to act on burglary or on a whole range of other criminal offences? The fundamental issue is that the hon. Gentleman wants to put a duty on the Government for one specific type of criminal offence, which would, I am afraid, hinder the freedom of our law enforcement agencies to take the appropriate action when the evidence was presented to them.
ParlaMint-GB_2017-02-21-commons.u187	But in the Government’s new clause, as opposed to new clause 1, there is no provision for third parties to bring a case to the courts to allow the seizure of assets, so, yet again, the Government are closing off the options for tackling money laundering in London and the UK.
ParlaMint-GB_2017-02-21-commons.u188	I am afraid we are not. The National Crime Agency, the Serious Fraud Office and Her Majesty’s Revenue and Customs are not full of people who do not want to do their job. They want to enforce the law: they want to go out and catch the criminals and stop money laundering. It is slightly insulting to imply that if we did not put a duty on them, they would not do it. They would do it. The problem with new clause 1 is that it would allow non-governmental organisations and individuals—it does not define whether those NGOs or individuals are foreign or from the UK—to go to the court, with limited liability, to force the Government to take action, without a high threshold at all For example, under new clause 1 a Cuban exile living in Florida who does not like the rapprochement with the Cuban Government could come to our courts to allege human rights abuse and make an application against the Cuban ambassador’s assets in this country, and actually confiscate or freeze those assets. It would not only preclude us from making peace or moving on with some countries, but would allow massive amounts of vexatious claims based on gimmick politics. That is why we have to respect the professionalism and independence of our law enforcement agencies and allow them to make the case based on the evidence presented to them.
ParlaMint-GB_2017-02-21-commons.u189	That is simply not the case. For example, we already regularly have lots of vexatious applications from Russia for the extradition of Russians who are now resident in the United Kingdom, but the court decides. New clause 1 would not allow an individual to decide that somebody’s assets must be frozen; a court would decide.
ParlaMint-GB_2017-02-21-commons.u190	First, the hon. Gentleman misses the point that courts do not like vexatious complaints. They do not like time-wasting applications with what would be in the case of new clause 1 limited liability for those people who want to use the court’s time to make a statement. Secondly, applications for deportation are often made by the state. The hon. Gentleman would open it up to individuals all over the world to come to our courts, without liability, to make the case for or to make a gesture out of freezing individuals’ assets, without any recourse to the state or even necessarily to evidence. That would open up a whole can of worms for countries around the world I shall give another example. We have sponsored and supported the peace deal in Colombia. Should the Colombian Government at some stage choose to send somebody with a background in the FARC to represent them or to be a cultural attaché in their embassy or something, and somebody in Colombia does not like that, under new clause 1 they could, as an individual, come to a court here and make a tokenistic application. The judiciary might throw it out, but there is capped liability, so the court’s time could be wasted writ large by lots of people making statements and blocking the courts.
ParlaMint-GB_2017-02-21-commons.u191	Have the Government considered whether any application should go first to the Attorney General before being allowed to proceed? That might stop the abuse that the Minister is suggesting.
ParlaMint-GB_2017-02-21-commons.u192	We did consider that in consultation with the office of the Attorney General and the Solicitor General, but it was felt that there was not the appropriate need for that, so we progressed with new clause 7 as it is drafted. We should remember that we are putting on the statute book a new power to take action based on gross human rights abuse, torture and degrading treatment. We have not done that before and it is a major step. It is a major signal to countries around the world that if evidence is presented, we could interdict with their assets. That sends the powerful message that London and the United Kingdom are not bases for them to put their assets or ill-gotten gains from such behaviour.
ParlaMint-GB_2017-02-21-commons.u193	Surely that is the substantive point. The concern would be that we would get not only vexatious complaints, but complaints designed for publicity, in the almost certain knowledge that such complaints would not be seen through by the courts and there would be virtually no cost to the people making the complaint. New clause 7 provides the opportunity to nab the guilty, and it says to people that bloodstained dictators have no place putting their money in this country.
ParlaMint-GB_2017-02-21-commons.u194	My right hon. Friend is absolutely right that it sends a message, but it also respects the independence of our law enforcement agencies so that they can apply the law and take action when they are presented with evidence, which will ensure that the courts’ time is not wasted and that we get successful results when we deal with these individuals. It will also ensure that it is done in a way such that the Executive retains the initiative to carry out the process and prevent vexatious complaints. Judges will tell us that they do not want their courtrooms to become public relations arenas in which people can make vexatious applications; they want their courts to be able to decide on the basis of evidence. Under new clause 7, they will be able to do that, but we respect the operational independence of our law enforcement agencies All that explains why we tabled the new clause. As I have said, it would allow any assets held in the UK that were deemed to be the proceeds of the activities I outlined to be recovered under the provisions in part 5. Of course, any civil recovery would be subject to all the existing processes and legal safeguards in the Proceeds of Crime Act 2002. The court would need to be satisfied, on the balance of probabilities, that the property in question was the proceeds of crime, or was likely to be used to fund further criminal activity. Law enforcement agencies would, as ever, need to consider which of their powers to utilise on a case-by-case basis I hope Members will agree that the new clause would send a clear statement that the UK will not stand by and allow those who have committed gross abuses or violations around the world to launder their money here. I have been the Minister in charge of the Bill from the beginning, and when colleagues from either side of the House have tabled amendments, I have asked my officials, “Do they have a point?” I have asked my officials about the evidence set against Mr Magnitsky’s killers and to find out whether we have actually done the work we say we are doing. I make sure; I do not just take things at face value. It is important to say that I am confident that we have not taken action in this case because we have not yet had the evidence to do so or the assets have not been located in the right place. I have checked that out and verified it I have come to the House today with an attempt to put a compromise in statute—to put gross human rights abuse on record for the first time. I hope we can send the right message to the regimes, criminals and individuals around the world, while at the same time respecting the law enforcement agencies so that they can carry out their job unhindered by political interference, or by third-party groups or anyone else who might want to use publicity rather than actual evidence to further their cause. That is really important. I shall pause my comments there and wait to hear from other Members, and then respond at the end of the debate.
ParlaMint-GB_2017-02-21-commons.u195	It is not fair for us to live in a world in which criminals are free to generate cash and spend it without fear of repercussion. Given what I have learned during the progress of the Bill, I think all Members on both sides of the House would agree with that sentiment. There simply must be a level playing field for the vast majority in society who chose to play by the rules Until now, provisions on financial crime have been focused on anti-money laundering regulations and proceeds of crime legislation, which have been specifically geared towards dealing with the proceeds of drug traffickers and bank robbers. In many senses, it has worked. It is not as easy to launder money in 2017 as it used to be, although, sadly, it is not impossible. It used to be the perception of criminals that if they could evade capture and not flash the cash, they could eventually spend their ill-gotten gains. In many cases, criminals looked forward to spending the gains when they were released Thankfully, the world has moved on, and this Bill is an attempt to move us another step ahead of the criminals, so that we as a society are fit to attack the finances of criminals in 2017 and beyond. We cannot buy into the rule of law unless we can agree to the evolution of regulations surrounding the financial industry that has happened over the years. Today, we face the threat of grand corruption, particularly in relation to politically exposed people, which is facilitated for the most part—perhaps unwittingly—by the City of London Last year, The Guardian revealed, through the Panama papers, how a powerful member of Gaddafi’s inner circle had built a multi-million pound portfolio of boutique hotels in Scotland and luxury homes in Mayfair, Marylebone and Hampstead in London. He was head of Libya’s infrastructure fund for a decade and has been accused by Government prosecutors in Tripoli of plundering money intended for schools, hospitals and infrastructure projects Scottish police have confirmed that they are investigating the matter. Libya has made a request for an asset freeze, but, as far as I understand it, the freeze has not been implemented. With the powers contained in the Bill, we could have dealt with such an injustice much more swiftly, so, in general terms, we welcome its provisions. However, as I intimated earlier in this process, our issue is not with what is in the Bill, but with what is not in the Bill. None the less, that list has narrowed as this process has continued The Bill does not satisfactorily address corporate economic crime—which we will discuss in the third group of new clauses, which includes proposals on Scottish limited partnerships, on which my hon. Friend the Member for Kirkcaldy and Cowdenbeath (Roger Mullin) has done so much to campaign—and the real facilitator of criminal finances: the profit-seeking, responsibility-shedding and self-serving banking culture that we have in the UK and the wider western world. Until we challenge the attitude of the banks that house these moneys, we will never absolutely deal with the criminality. The Bill attempts to deal with the symptoms of the criminality—getting at the assets and seizing them—but it does not deal with the facilitators, the banks, which is a great shame New clauses 1 and 7 have been touched on by the Minister, and much of the talk has been about the scope for applicants to bring an application under these provisions. In general terms, those new clauses seek to extend the scope of unlawful conduct. That makes sense in that a public official—or someone acting with the consent or acquiescence of a public official—who is depositing funds in the UK should not be safe on account of that criminality having occurred abroad. I think that most people would agree with that sentiment; it is a sensible and logical step, and one that we support in principle The protection of human rights is a profoundly good thing. Violations of human rights should not be allowed to remain hidden behind international borders—they should be there for the world to see—and the consequences of such violations should be global consequences. With the adoption of either new clause 1 or new clause 7, the UK will no longer be a hiding place in that respect, and that is worth lauding What are the differences between the new clauses? As has been suggested, there is wider scope for more applicants to make applications under new clause 1. The Government say that that is not necessary, as the judiciary would vet those claims; it would be up to the court, not the applicant, to decide their merits. One other difference is that the ambit of new clause 1 is wider with regard to potential respondents, as it includes more people connected to criminality. Will the Minister touch on the scope of respondents as well as the scope of applicants and the differences between new clauses 1 and 7 Furthermore, new clause 7 contains a provision, which is mirrored in amendments 58 and 59, to set the limitation period for actions under unlawful conduct to 20 years. In one sense, we welcome that, because without it the standard limitation periods of five and six years would apply. However, given that we are talking about gross violations of human rights—torture and the like—should a perpetrator ever be free from those crimes? Are we saying that, 20 years after someone has committed a gross violation of human rights, their money should be safe? Given that some of these abuses take years to come to light, are there unintended consequences that could let some of the criminals off the hook?
