ParlaMint-GB_2017-12-19-lords.u1	That this House takes note of the Report of the Lord Speaker’s committee on the size of the House.
ParlaMint-GB_2017-12-19-lords.u122	My Lords, it is difficult when you rise at this stage in the debate to know how to cover things that are new, and I do not want to repeat many of the comments that have been made by many other people in the Chamber today during the debate. I would merely say at this stage that I agree very much with what has just been said by the noble Lords, Lord Cromwell and Lord Mawson I look back 34 years ago plus one month when, as a new Member of Parliament for Bristol, I stood up at Business Questions for the first time in the other Chamber and asked if we could have a debate on reducing the number of Members in the House of Commons. Thirty-four years on, there has been no reduction. As I say, I was MP for Bristol. Rather than going back a mere 50 years to Visconti, as my noble friend Lord Grade referred to earlier, if one goes back 230 years there was another much greater MP for Bristol, one Edmund Burke, who advocated that in terms of the British constitution we should adapt to change while affirming traditional values. That is what I think the report of the noble Lord, Lord Burns, achieves so admirably. I could therefore describe the report as positively Burkean The only comment that I want to make goes back to what I said just now about the number of MPs. By any measure—the noble Lord, Lord Horam, referred to this in part earlier—this country is overgoverned. We have too many Members of this and the other House, and too many Ministers. I hope that by the rapid implementation of the Burns report this House can lead the way.
ParlaMint-GB_2017-12-19-lords.u123	My Lords, I am conscious that we are far into this debate. I intend to try to make two brief preliminary points and one more substantive point. The preliminary points arise from things that have already been said. The first is about the idea of a 15-year membership. One of the consequences of that is that effectively people are not going to come in until they are pretty well retired and have reached the point where they have sufficient pension put away to look after themselves, so I think that would inevitably make it an older grouping; indeed, that fits in well with some of the things that have been said about retired MPs. The second preliminary point is about the London allowance. We are going to get a system whereby people are really going to have to have retired and are going to have to stay in London. Whatever else is said about the composition of the Lords, that does not seem to make for a satisfactory House covering the whole country My more substantive point arises from the submission that the noble Lord, Lord Williams of Elvel, and I put in. We said that, “to change the composition of the House more in line with the elected House would, after all, give the House a degree of electoral authority, albeit indirectly, and would perhaps increase the willingness of the second Chamber to challenge the first. That would be a fundamental constitutional change and hardly something that should be done by a change in Standing Orders of the upper House”. When you look at the electoral arithmetic of past elections—I am grateful for Appendix 3 of the report, on historical modelling, because it produces some very revealing insights—it turns out that on historic modelling the highest number of seats that Labour would ever have had in this House would have been after the electoral triumph of October 1959. The second highest would be after another electoral triumph—May 2010. When Labour actually won, in May 1997, we would have been more than 150 seats behind the combined total of the Conservatives and Liberals My contention is that if we are to be able to describe what happens as giving a degree of elective authority to the House, albeit over three elections, this House will be representative in a countercyclical way. On a number of occasions there will be a big majority for the people who have just lost the election. I do not see how we can safely do that and stick to the current constitutional understanding that this House does not directly challenge the directly elected House—so my nervousness about this is very considerable. It is compounded by the fact that—mea culpa—our submission said that we should do that by changing the Standing Orders of this House. But if we are to change the effective balance between this Chamber and the other place, I do not believe we should be entitled to do that by changing our own Standing Orders. I think it has to be done with the agreement of the other place. I have changed my view on that—but our proposal was not such a fundamental change. If we are going to change the balance of power between this House and the other place, as I believe these proposals would, that is a matter for both Houses to consider.
ParlaMint-GB_2017-12-19-lords.u124	My Lords, I support the Burns report. With respect to those who take a different view, the case for reducing the size of the House of Lords is overwhelming and unanswerable. Many different reasons have been advanced this morning and this afternoon, and I share them—but there is this to be added. We are virtually facing a constitutional absurdity. This House has its responsibilities—its constitutional responsibilities—but the other place has the ultimate power. The House with no ultimate power—this one—has significantly more Members than the House down there, with powers, has You can argue as long as you like about all the justification for that situation, but in the end, I respectfully regret, you cannot avoid concluding: how can this be? What kind of situation has allowed this to develop? It does not matter how it has developed—I shall come to that in a moment—but we have to do something about it, or to put it the other way, something has to be done, to address what I would say is very close to an absurd constitutional situation How has that come about? My favourite quotation has been pinched by the noble Lord, Lord Grade, and my second favourite has been pinched by—forgive me, I cannot remember which Conservative Peer quoted it, but it comes from Macbeth. Now I have dredged up another one. John Dunning, in 1780—a bit of history lightens the mood, does it not?—when we were making a complete Horlicks of the American war of independence, led a resolution in the House of Commons, to the effect that, “the influence of the Crown has increased, is increasing, and ought to be diminished” That is precisely why I support the proposal of the noble Lord, Lord Burns The influence of the Crown has increased in so many ways relating to our constitution as a whole. If I had time I would set off for a long journey, but I do not. Let me relate it to this issue. Mr Blair and Mr Cameron as Prime Ministers exercised the royal prerogative. I respectfully suggest that their exercise of it was so wide, so deep and so numerous as to come very close to an abuse of our constitution. If the monarch had exercised her prerogative—in medieval times it would have been his prerogative—in that way, he would have suffered the fate of Edward II or Richard II. They did not do with it. We now face a situation in which we have come close to a constitutional absurdity, and there is no measure except prime ministerial self-denial that can interfere with this exercise—an abusive exercise, in two cases—of prime ministerial power. We do not have the power; the Commons could, on an Act of Parliament—but who is going to introduce that? So we have to persuade, encourage, cajole and ask the Prime Minister to address this constitutional absurdity In 1719, a proposal was put forward from this House by the Duke of Somerset that there should be a cap on the number of Members of the House of Lords. The suggestion was 235; in those days, there were 345 constituencies in England, Wales and Scotland. Everybody agreed except the Commons. Here we are again, 300 years on; in our ancient constitution, 300 years is but the blink of an eye. And what we are really proposing—or what the noble Lord, Lord Burns, is proposing—is that there should be a cap on the number of Members of the House of Lords. There are 54 weeks to 2019. Why do not we celebrate the 300th anniversary of the issue first being proposed by implementing it?
ParlaMint-GB_2017-12-19-lords.u125	My Lords, I cheer the wise words of the noble and learned Lord, Lord Judge, that we are close to a constitutional absurdity. I am also fairly certain that I sent the longest submission to the noble Lord, Lord Burns, and his committee. It was 30 pages long and more than 11,000 words. It had dozens of detailed Excel spreadsheets attached and took me many weeks—indeed, months—to write. I produced what I thought were impeccable arguments for a retirement age of 80 and removal of Peers who had failed to attend fewer of 20% of the sittings of the last Parliament. That would have removed 220 Peers at a stroke. I considered the 15-year term option and creating Peers based on a combination of MPs’ seats won and share of the vote, and I rejected it. I was rather pleased with my magnum opus Now we are faced with the committee’s report, and I have no hesitation in saying that I completely endorse it—it is a masterful piece of work. The report highlights the biggest flaws in my fixed retirement age recommendation, namely that political parties would send us younger people, under 50, so they would serve at least 30 years. I have to admit that after 15 years the expertise that we formerly had begins to get a bit rusty, so that term limit may be about right. I also completely endorse the committee’s views on hereditary and new Minister Peers. I think that it cleverly takes the issue out of the question. If a political party replaces an hereditary, it simply comes out of the overall quota, and there is one less life peerage available. In my opinion, the system of electing replacement hereditaries in this House has given us some of the most hardworking and able Peers in this House, on all sides. I would also say that the hereditary problem is one for the Conservative Party to address internally, and come up with possible solutions I turn to a part of the report that I consider very important, and the key to ensuring that numbers do not inexorably rise once again. In my submission, I made a very strong point about creating what I called non-legislative Peers. I said: “We should accept that Prime Ministers need to grant peerages not just because they want bodies in the Lords but because they need to reward achievement in the same way as others receive other honours. Being granted the title ‘Lord’ or ‘Baroness’ is a great reward in itself and I can see merit in Prime Ministers being able to grant a peerage and the title Lord or Baroness to some who would not be entitled to sit in the Lords I cannot define a category of these people but it may be those in business, or retired from the civil service or over a certain age who deserve the glory of the title but do not want to participate for 70% of more of Lords’ sittings. I believe we can all look round this House and see colleagues on all sides who have wanted the great honour of being a Peer of The Realm but do not want to participate much or at all in the legislative process. I am certain that this suggestion would give Prime Ministers the flexibility they need to create peerages without flooding the House of Lords with new peers” That is what I said in my submission, and I am therefore delighted to see that the committee endorses that point and states in paragraphs 24 and 25 that the Life Peerages Act can already permit it. That is excellent news, but it has not received nearly enough attention in the debate so far, nor enough prominence in the report. I urge the Lord Speaker, the political parties, and the leaders of all groups to really make sure that Prime Ministers understand this point. They can dish out the gongs in future but they do not have to flood this House I am glad that there is no greatly increased role for the House of Lords Appointments Commission, except doing the statistical calculations after an election, assisted, I assume, by our excellent clerks. The report suggests a sensible timetable to bring about change but we need the flexibility to move more quickly if circumstances permit. I have in mind the possibility of decanting out of Parliament to the QEII in 2023 or 2024. As one or two other noble Lords have mentioned, I suspect that there may be a big rush of Peers wishing to retire then. HOLAC therefore needs the flexibility to adjust the process to reduce numbers to 550 or even 500 if there is a rush of Peers retiring under any circumstances Finally, this report is not what I argued for but it is better than the case I put up. I am willing to give the committee’s solution a go since I cannot see any better one on the horizon, now or in the future, although at one point I thought my noble friend Lord Robathan was going to argue for some celebrity TV show—“I’m a Peer, Get Me Out of Here!”. I congratulate the noble Lord, Lord Burns, and his colleagues on the committee. This is the blueprint for a far better Chamber, which will earn respect from most sensible critics, and I commend it to the House.
ParlaMint-GB_2017-12-19-lords.u126	My Lords, like every noble Lord who has spoken, I too warmly congratulate the Lord Speaker’s committee on its report. Under the excellent chairmanship of the noble Lord, Lord Burns, this committee has at last produced a practical way for your Lordships’ House to begin the process of reducing its numbers to the suggested target of 600, and above all, so long as this is fully backed by this House and ultimately by Parliament itself, without the need for any form of legislation. Given the sanity of the proposals, and the fact that most of those who have already spoken are supportive, I would be very surprised indeed if the Government are not already onside, meaning that your Lordships could indeed begin their short Christmas Recess in cheerful spirits, knowing that those entering via the Burns method will have already agreed to serve no more than 15 years before retiring from your Lordship’s House As others have suggested, with that example, it will be open to all noble Lords, right across the House, who have already reached that 15-year milestone to look for a moment, which is convenient both for themselves and for the group to which they belong, to retire and in so doing contribute actively to the House achieving its 600 refreshment target at the earliest possible moment. Finally I again congratulate the Lord Speaker’s committee, and especially its chairman, the noble Lord, Lord Burns, for its invaluable report, which so admirably points your Lordships’ House in a sane and sensible direction for self-reform. The Lord Speaker is on the Woolsack: with him in that role we will not in future be in a position where the rest of the world has no idea what goes on in this House. We could not have a better advocate than him.
ParlaMint-GB_2017-12-19-lords.u127	My Lords, almost exactly a year ago, your Lordships expressed the very clear view that the House of Lords was too big and ought to be reduced in size. At that point, there was clearly a danger of the whole thing being kicked into the long grass. We are therefore deeply grateful to the Lord Speaker for having taken the initiative and set up the Burns committee. Its report has almost universally been said to be extremely fine The report builds on the basic idea of a 15-year term, which had not been enormously advocated previously. It is very positive, although almost all the bases it is founded on are negative. There is to be no government majority, no length-of-service limits, no compulsory retirement and so on. There has been very wide support in the House this afternoon. We will need to check Hansard to see exactly how wide, but my impression is that support is at a level to which the Government should pay due attention in deciding where we should go next. I very much hope we can make rapid progress on implementing the report I was worried that there might be some opposition to the report from those who are still much preoccupied with having a wholly elected House. I was therefore heartened by the speech from the noble Lord, Lord Newby, who expressed a clear view that that should not take precedence over what is obviously a very important reform. The fact that it will make your Lordships more acceptable to the wider community does not mean that one cannot go ahead with the reforms simply because one would rather have a more radical reform. I am glad that that is so The Lords is concerned at its size. We need to ask why it should be cut. There are arguments about resources; the difficulty of getting in at Question Time; the fact that a larger House means stricter time limits on speeches; and so on. The Whips are able to cope with those problems but, at the same time, we need to recognise that the Lords can make progress only if it has the co-operation of the Government. It emerges clearly from the Burns report that there has to be a balance between the number of people who volunteer to retire, on the one hand, and the creation of Peers by the Prime Minister, on the other. It is important to stress that, if one is fit and still able to take part in your Lordships’ proceedings, making the decision to retire is very difficult. You seek to make a marginal reduction in the number of Peers by retiring, but even on the basis of two-out, one-in it is not a very significant change. It is difficult to give up the great privileges that one has as a Member of your Lordships’ House if one’s action is not effective because it is countervailed by action taken by the Prime Minister. It is therefore very important indeed that we should have, without too much delay, a clear statement by the Prime Minister—it is, in a sense, her area of responsibility primarily—and the Government that they will clearly curtail new appointments, and impose a cap of the kind proposed by the noble Lord, Lord Burns. I hope the Government can make progress on that without too much delay The timescale envisaged by the report is that we will get some way to a steady state within 11 years. I think that is a reasonable objective and shows that we are determined to have a more effective chamber, as the Campaign for an Effective Second Chamber has consistently said, and that we can bring about a reform which will establish this House on a far firmer basis than it has at present.
ParlaMint-GB_2017-12-19-lords.u128	My Lords, I join the many people who have placed on record their appreciation to the noble Lord, Lord Burns, and his fellow committee members—and indeed to our Lord Speaker for his initiative. The result is practical and sensible in the predicament in which we find ourselves However, I must confess that there are parts of me that are very traditional, and I look back to earlier stages in my political life when I had the highest regard for the concept of royal commissions. I am quite concerned that this is another pragmatic, specific change to our constitutional way of operating, but we have no road map. We have no overview of where we are going with our constitution, what its challenges are and how far as a whole it meets the challenges of the 21st century. That is quite a serious issue I have believed for much of my life that structures are inanimate. In some archaic structures, excellent things happen because first-rate people operate within them. In other perfected structures, nothing much of significance happens because there is an absence of values, drive and imagination on the part of the people within those structures. We should not believe that we will find a solution on the future role of the Lords simply in the structural dimension. It is by our commitment, vision, drive and indeed challenge to the other place and society as a whole that we bring our contribution to the future. It is by that I am convinced that we will be judged—not just by how we tidy up the way in which we operate Four specific points arise from the debate to which I want to refer. I am a committed and active member of the Church of England, but I do not see how in 21st century Britain one can have one denomination of one faith represented by right in this Chamber, whereas others are not. Indeed, what about the humanists, the non-believers who are an increasingly significant part of our society? If we are talking about our credibility and acceptance in society, this matter cannot be dodged. We have to face up to the issues The second point is on the hereditary principle. I have the highest regard for some of the hereditaries. They do a first-class job in this place, but there is no way in the 21st century we can go on saying that people are here by hereditary right. That does not wash or help our credibility at all. Then there is the point about how representative we are of society as a whole in the United Kingdom. We are south and south-east dominated in this Chamber. I am glad that my wife and I decided, for all sorts of reasons, to move from the south to the extreme north-west for this last chapter of our lives. I am seeing this increasingly powerfully. This place does not represent or carry weight with much of society away from the sophisticated south-east. If we are to talk about that and then talk about age credibility in this place, we must look at our terms of service. There is a question over how any able, committed person from whatever part of society can come here. We talk about expertise and experience but let us remember the expertise that lies in our trade union movement and working-class sections of our community. That is expertise and has tremendous validity for this place. How will we be able to make that change here in the House of Lords or change our terms of reference Lastly, I stress the point that my noble friend Lord Faulkner strongly made. Ringing around in the back of my mind are the words, “turkeys” and “Christmas”. We have been a bit loose in our language about the guarantees that will be required from the Government to make this proposed arrangement work. If they do not play their part, we will have damaged ourselves badly and shot ourselves in the foot. Therefore, we cannot concentrate enough on the specific questions: have we got guarantees or have we not? What do those guarantees really amount to?
ParlaMint-GB_2017-12-19-lords.u129	I join those who have spoken in expressing my personal gratitude for the outstanding report of the noble Lord, Lord Burns, and his committee, and for the initiative and farsightedness of the Lord Speaker in establishing it. I wholeheartedly—indeed, to use my noble friend Lord Butler’s expression, ardently—support it. I felt that that was all I should say but, having been brought up to give reasons for a view, perhaps I may, even at this late stage in the debate, give three First, this House cannot any longer afford to lay itself open to criticism because of its size. The British constitution needs this House, and its power and effectiveness should not be open to question. It is needed to revise legislation, as I have often found. In particular, the House is needed as a protector of the constitution and of the other weaker branches of the state, including the judiciary, when needed Secondly, it would be desirable to consider more far-reaching reform, but that requires legislation. It is unfortunate that for one reason or another, whether it be lack of time or of priority, legislation is not, on occasions, an option. Therefore, one has to cast around for an ingenious way in which to reform without legislation. In my experience, that has not impeded reform but furthered it, because it has shown the willingness of those concerned to adopt reform My third reason is the ingenuity of the idea of a 15-year term. Modern careers are based not on a lifelong devotion to a particular subject but a much more varied career, often with a fixed term. The ingenuity of the report is its adoption of that aspect of modernity. I very much hope that this report can be taken forward as soon as possible.
ParlaMint-GB_2017-12-19-lords.u130	My Lords, like all who have spoken, I warmly congratulate and thank the Lord Speaker for taking the initiative, and the noble Lord, Lord Burns, and his committee for taking that initiative forward. I agree with virtually everything that the committee has come up with, not least on the size at 600; the two out, one-in principle; the 15-year term for new but not existing Members; and the Cross-Benchers staying at the same percentage as at present in the House. I also agree that there should be no age limit. Here I cross swords with the noble Baroness, Lady Young of Old Scone. As I said in the debate at this time last year, it would be a tragedy to throw brains and experience out with the bathwater I have two proposals for future consideration regarding the hereditaries and the Bishops. If the House were to get down to 600, that would mean the hereditaries going effectively from 90 to 80, and the Bishops from 26 to 23. Just how that is done—because it will require primary legislation—I know not; it is beyond my pay grade, but I have a feeling that it could be done The third proposal, where I warmly endorse what my noble friend Lord Forsyth and, I think, the noble Lord, Lord Davies of Stamford, said, concerns non-attendance. I cannot see the justification for noble Lords who are presently in the House remaining in it if they cannot be bothered to turn up. The problems are obviously the primary legislation, to which I have already spoken, but also the Prime Minister’s consent. Many noble Lords have spoken about this. My feeling is that the present Prime Minister might well go along with it, but how could she ever bind her successors? That concerns me. I just do not see how any Prime Minister can bind their successor to something that is not in statute I finish as I did a year ago. One of the joys of this House is being able to agree wholeheartedly with noble Lords opposite—in this context, I look at the noble Lord, Lord Dubs, and my noble friend Lord Blencathra. All the soundings that I have taken, of which there have been many, convince me that when the time comes for our exodus from this building for the R&R—it may be in five years’ time; none of us knows exactly when—there will be a very significant exodus. It will be the tipping point. I can say now that I believe it will be my tipping point. It is not that I do not want to move to the Queen Elizabeth II Centre; it is just that it will be time to go. Those looking at this problem overall might care to conduct a non-binding survey of all Members of the House—could one have such a thing? I know not—just to see how many Peers think that they might leave when we move in, let us say, five years’ time.
ParlaMint-GB_2017-12-19-lords.u131	My Lords, I think that most of us are embarrassed and often inconvenienced by the absurd size of our House, and so the Burns report is to be greatly welcomed. In nearly all respects it proposes a sensible, fair and practical way of reducing our numbers without having to resort to primary legislation. It recommends a cap of no more than 600 Peers and a method for how this could be achieved I have only one serious objection to this otherwise admirable report: it wishes to link the basis on which a number of new Members are appointed to the results of the previous election. It is not because I am a Liberal Democrat that I object to this in principle. I do not believe that the House of Lords should shadow the party politics of the Commons. In fact, I believe that the House of Lords is at its strongest and most influential when it seems to be at least one remove from party politics. Party politics, with their committed manifestos and bullying Whips, should remain the sole preserve of the Commons, remembering, of course, that, quite rightly, the Commons must continue to have precedence over the Lords The strength of our Chamber should reside in its make-up of wise men and women who collectively have knowledge and experience in all walks of life, and, between them, represent all parts of Britain, all sexes—there are more than two nowadays, noble Lords may have noticed—all races, all religions and most specialist interests in a place where party politics should be only incidental. Of course, party politics must be a consideration when attempting to balance the House, but should remain of secondary importance compared with the value and worth of the individual Members. That is why I am so against the insistence that new Members should be balanced in line with election results. Only a minority of us should be chosen for our political allegiance or our loyalty to a past Government At present, approximately 80% of all Peers are appointed by the Prime Minister, or with his or her approval, and only 20% by other means. I would like to see these percentages reversed. In fact, I would be happy to see over 50% of us sit as Cross-Benchers. The ability to appoint 20% of new Peers would still give the Prime Minister considerable influence over the Lords. I propose that, some time in the future, the majority of new Peers should be appointed by an independent Lords appointment committee—one that is much more powerful than the present one, whose only major role is to recommend a small number of Cross-Benchers. The new one would be responsible not only for vetting and appointing new Peers but at the same time would monitor the balance of the House. By “balance” in this case, I mean the different parts of Britain and the widest possible variety of skills and interests, with party allegiance being of secondary consideration. In time, it would build a body of distinguished people who would represent a real cross-section of British society. Maybe it could also have the power to regulate the behaviour of those few individuals who bring our House into disrepute. Clearly, it would be in a position to control the size of the House, ensuring that it kept below the presently recommended cap of 600 However, I appreciate that nothing like this could be achieved without primary legislation and approval of the Government of the day. The report of the noble Lord, Lord Burns, does not yet have the remit even to recommend future reforms of the Lords. Within its limitations, though, and in spite of my personal reservations, this report is a greatly needed step in the right direction and I hope very much that the House will support it.
ParlaMint-GB_2017-12-19-lords.u132	My Lords, I too congratulate my noble friend Lord Burns and his committee on their excellent report on the size of the House. Before I go further, I should say that I fully support the clear, pragmatic and sensible recommendations they have delivered to the House Since it is nearly Christmas, I would also like to thank our excellent Library staff for their background notes in support of this issue, which have been interesting and helpful. I had not realised that the House is, at the moment, only back to roughly the size it was a very long time ago—that is, when I was born in the mid-1950s. I had assumed that the controversy over the perceived ballooning size of the House was a recent issue. I found this recent historical context particularly helpful in reassuring me that it was justified to support this comparatively gentle pace of reduction to 600 over a period of 11 years. If I may tease the Library staff, I speak as a member of a group I feel they have neglected in their analysis. I have read long, and hugely impressive, lists of the oldest and youngest Members of your Lordships’ House, and even more impressive lists of the longest serving Members, but why was there no symmetry here? Where was the list of my group and that of the noble Baroness, Lady Bloomfield—the shortest serving Members? As someone who was introduced almost exactly two years ago—actually, on 17 December two years ago—I agree that a period of appointment of 15 years seems sensible, and, indeed, would be happy it if applied to me as well. It is time to learn all those rules you do not find out about until you break them, time to develop competence, and time also to make a difference Therefore, there is just one further point that I would like to make. In doing so, I apologise to my noble friend Lord Burns and his committee, because, in a debate with 96 speakers, they are having to listen to the 96 things that they should have included in their excellent report. This must be a frustrating experience. I note that my noble friend Lord Burns pointed out at the beginning of this debate that diversity was not within the remit of his committee. However, my point is about the diversity of the House. I suspect the approach the report recommends will, at least initially, improve the diversity of the House. I have looked only at gender: but, for example, among Peers with the longest service—over 33 years—nine out of 50 are women—18%—compared with some 26% of women Peers today. However, I suggest that the parties appointing life Peers in the future should be asked to commit to diversity targets much broader than gender, in the way that my noble friend Lord Kakkar has told us that his House of Lords Appointments Commission does, to ensure that this House develops over time to look more like the country that we serve I repeat my strong support for the recommendations of this report and urge the House and, in particular, the Leader, not just to “take note” but to move rapidly to agree the next stage of “take action”.
ParlaMint-GB_2017-12-19-lords.u133	My Lords, I am most grateful to the noble Lord, Lord Burns, and his committee for so expertly producing this analysis and for giving us the options for the road ahead and the basis for the decisions that I hope we will take. I am also grateful to the Lord Speaker for his initiative in setting up the committee As I go around the country and talk to people about the House of Lords, I increasingly find that they raise the question of the size of the Lords, partly due to media coverage. The public have cottoned on to the size question and are consoled when they raise it by my assuring them that we are tackling it. It is clear that we intend to do so by this very strong report and the very strong support that it is getting in the House. Moreover, many raised the point that they have been compelled to retire at a certain age—often imposed by their profession or company, or by Parliament itself—so why not us? Therefore, I thoroughly support all of the warm endorsements today of the committee’s work and most of the recommendations. There is clearly a strong consensus of support for the report in the House, a feeling that it provides an excellent basis for tackling the issue. I particularly agree on the importance of the point that Prime Ministers should not, in the future, undermine the whole system by appointing rafts of new Members, pushing the numbers back up again. It would be invidious and counterproductive if future Prime Ministers were to undermine the whole process by appointing more new Members than there were vacancies Having been wholly supportive so far, I have one reservation. There is, and increasingly will be, public concern that we are moving too slowly. As I understand it, the House, under these proposals, would only reach its target size of 600 in about 11 years. Only by 2042 would all serving Peers be on a 15-year fixed term. For many people outside the House, this would seem like a lifetime. It looks like, “Lord, make us virtuous, but not yet”. How can we speed it up? The problem here is that the committee imposed a condition of not seeking primary legislation to assist. I am not quite sure why, so perhaps the noble Lord, Lord Burns, will explain this further when he winds up There are two recommendations in particular that would shorten the timescale, but they would require legislation. That is controversial for some, but they certainly would quicken the pace to reduce the number to 600. First, about two years ago, the executive committee of the Association of Conservative Peers—I was chairman then—recommended that Members should compulsorily retire at the end of the Parliament in which they had reached the age of 80. That is entirely reasonable: retirement is in practice required earlier than that for most people in employment in the United Kingdom. It was generally supported by most ACP members who considered it and has also been proposed by the equivalent Labour Party committee. Of course, it was objected to by drawing attention to the valuable contributions made by some over-80s. I will very soon be in that category: not the valuable contribution makers, but the over-80s. I do not think that that is a major obstacle; the proposal is entirely reasonable. It requires legislation, but I think it would be accepted by most in the House. I certainly intend to abide by it voluntarily, which means that I will leave the House at the next election. To make it effective, however, legislation is required Secondly, the time has come—this is a personal view, and distinctly not an ACP recommendation—to tackle the question of hereditary Peers. It needs to be addressed. If the by-election system for hereditary Peers continues unamended, in a smaller House of 600, the number of hereditary Peers would make up a larger proportion of the membership than it does now. It cannot be justified in this day and age to give an especially favourable position to hereditary Peers. Of course I acknowledge that many hereditary Peers make an excellent contribution, but with a smaller House, the time has come for our by-election system to cease. That, together with the proposal for compulsory retirement at 80, will make it possible to have a smaller House more quickly. I hope that these points can be considered in addition to the proposals in the report, and I warmly recommend the report itself.
