ParlaMint-GB_2017-10-30-commons.u1	1. What steps he is taking to support economic growth and job creation in coastal communities.
ParlaMint-GB_2017-10-30-commons.u224	A worker employed as staff of a Member told me today that she reported being sexually assaulted to the proper authorities earlier this year, who did nothing. She is deeply disappointed and distrustful, and she tells me that distrust is endemic. How can I assure her that her complaint would now be treated differently?
ParlaMint-GB_2017-10-30-commons.u225	I can say to the hon. Lady that if the member of staff would like to talk to me about it, I will certainly take up her complaint personally.
ParlaMint-GB_2017-10-30-commons.u226	I welcome my right hon. Friend’s statement sending a clear message that sexual harassment is never acceptable. Who would have thought that, as we celebrate the centenary of women getting the vote, we have to address in this Chamber the conduct and language that intimidate and control women in particular? This is about the abuse of power and the status of women. I welcome the cross-party agreement to stamp this out, especially as we are all working in a climate where women on both sides of the House are being abused just for being in public office. Perhaps we can start by referring to the code of conduct, which I raised with the Leader of the House in business questions last week. With the privilege of being elected comes a duty, and that does not involve sexist language and behaviour, because all of us who have been elected know the power that we hold.
ParlaMint-GB_2017-10-30-commons.u227	My hon. Friend is absolutely right. I deeply regret the horrible experience she has had in recent weeks merely for trying to raise her own disgust at the sexual harassment going on.
ParlaMint-GB_2017-10-30-commons.u228	Parliament must act, but all political parties must act, too. Does the Leader of the House agree that every party should introduce independent reporting, so that women have the confidence to come forward not just in Parliament, but in local councils and our party activist bases, too?
ParlaMint-GB_2017-10-30-commons.u229	The hon. Lady raises a really interesting point, which I will certainly take away and think about. My perspective is that we need independent review, because the problem with parties marking their own homework is always that that can in itself create an underlying lack of confidence on the part of victims. Having an independent review—a third-party, professional view—will be very important in resolving this.
ParlaMint-GB_2017-10-30-commons.u230	The hon. Member for East Dunbartonshire (Jo Swinson) was quite right to talk about confidence. There needs to be confidence in the system, and that is why there needs to be an independent body, because justice must not only be done but be seen to be done. The hon. Member for Birmingham, Yardley (Jess Phillips) talked about witch hunts, and we have to be careful to avoid them. One of the advantages of having an independent body is that it avoids just that: allegations made will have to be properly substantiated.
ParlaMint-GB_2017-10-30-commons.u231	Yes, my hon. Friend is right. We do not want false allegations to be made and then become “facts” just as made, so absolutely proper investigation is essential to get to the bottom of allegations and find out whether or not they are true.
ParlaMint-GB_2017-10-30-commons.u232	Thank you, Mr Speaker, for your leadership on this issue. I think we need to be clear that we are talking not just about activities that are criminal, but about making sure that a culture of sexual violence, harassment and misogyny and not believing those who come forward is not considered the norm. To do that means being clear about what happens not just to those who come forward, but to those who participate. Following up on the questions asked by my hon. Friends the Members for Leicester West (Liz Kendall) and for Birmingham, Yardley (Jess Phillips), I would like to hear from the Leader of the House a bit more clarity about what measures she expects political parties to take to make sure that we keep employees and volunteers not just safe from illegal activities but protected from a constructive dismissal case, or are we simply expecting the electorate to pick up the slack?
ParlaMint-GB_2017-10-30-commons.u233	I have been clear that the issue is around, first, those who are made to feel uncomfortable: I am setting the bar significantly below criminal activity. If people are made to feel uncomfortable, that is not correct. In terms of the consequences for the perpetrators, I have also been clear that staff could forfeit their jobs, Members of Parliament could have the Whip withdrawn and Ministers could be fired from ministerial office.
ParlaMint-GB_2017-10-30-commons.u234	If we do not call out bad, irresponsible or criminal behaviour, which we do weekly in our constituency surgeries, we are all part of the problem. The right hon. and learned Member for Camberwell and Peckham (Ms Harman) rightly raised the question and has used her gravitas to highlight the issue. I have the pleasure of serving on your diversity committee, Mr Speaker, which looks at these issues, and we have made some great strides in making this a positive workplace for all Can I ask the Leader of the House and the Prime Minister to work with me and all Members from all parties to make sure that we have a strong voice on all the separate issues—whether misogyny, poor language or criminal behaviour—and do everything to give the public confidence in every party?
ParlaMint-GB_2017-10-30-commons.u235	My hon. Friend has been a great champion of treating others with respect, and I would personally be delighted to work with her on this.
ParlaMint-GB_2017-10-30-commons.u236	Will all cases that have been reported and not actioned—not just the one in north Wales, but others—be reopened? Will anybody who has been sexually assaulted have the right to say, “No, I don’t want the issue to go to the police. I want it treated in other ways?” In other words, will the victim control what the action is? Will compulsory training on the implications of the duty of care under the Equality Act be brought in immediately for all MPs, and if someone wishes to have trade union representation to assist them, will that be allowed?
ParlaMint-GB_2017-10-30-commons.u237	The hon. Gentleman raises some really important and sensible ideas, and I will look carefully at them all. I urge anyone who has been made to feel uncomfortable or who feels that they have been improperly treated to come forward, and those issues will be taken up through the right channels. Until we have a proper independent grievance policy and a group of people able to take that up, the existing policies of the employee helpline, which can be expanded, and my offer that people can come to me personally will be appropriate ways to take things forward.
ParlaMint-GB_2017-10-30-commons.u238	May I gently remind the House that this issue is not just about sexual harassment and it is not just about women? Bullying is systemic in the House. Earlier today, I received a text from someone describing a problem that he saw in this place. It said of a current Member: “He is utterly foul and I am sure it’s a pattern of behaviour on his part, but in this instance I don’t think it would be fair on the woman in question” to name him. My friend continues: “Still, do your best to widen this to bullying and treating your staff like”— I think he means dirt. I ask the Leader of the House to widen this issue to bullying, including historical allegations.
ParlaMint-GB_2017-10-30-commons.u239	It is absolutely the intention that the review look at all issues of misdemeanour and misconduct, including sexual harassment and bullying, as well as other forms of uncomfortable behaviour that is perpetrated on members of staff in this place.
ParlaMint-GB_2017-10-30-commons.u240	When I was a curate in the Church of England 30 years ago, one of my very close colleagues confided in me that he had been raped by a very senior member of the Church of England clergy. My friend was understandably terrified about telling the police or anybody else that this was the truth. He felt suicidal. He did not want others to know what had happened to him, quite understandably—he was the victim, not the perpetrator. I make absolutely no criticism of my friend. The senior cleric concerned had a great deal of protection from the establishment, including from certain members of the royal family. He subsequently —thank God—went to prison. The Church’s instinct was to protect itself as the institution. Is that not always the danger? Is not the one thing we must learn from all this that the best way to protect the institution is actually to protect the victims and to put our own house in order? May I make just one tiny suggestion? Anytime an MP interviews somebody for a new job, they should have a human resources professional sitting alongside them at the interview.
ParlaMint-GB_2017-10-30-commons.u241	The hon. Gentleman raises a terrible and horrifying case. He is right to point out that the victim should not be the one to suffer in the way that his friend obviously did. The point he raises is very important. We need to ensure that this is not the House protecting itself, but Parliament protecting all those who come here to work and to try to make their country a better place.
ParlaMint-GB_2017-10-30-commons.u242	I congratulate the right hon. and learned Member for Camberwell and Peckham (Ms Harman) on asking the urgent question and my right hon. Friend the Leader of the House on her response. How many calls have been made to the confidential helpline? If we are to get rid of this unacceptable behaviour, would a good place to start not be to contact those who have contacted the confidential helpline, to see how their cases might now be taken forward?
ParlaMint-GB_2017-10-30-commons.u243	The employee assistance programme is intended as a safety net to complement the existing pastoral care and internal processes put in place by MPs themselves and the main political parties. In response to my hon. Friend’s specific question about how many calls have been made to it, I do not know but I can find out and place the figures in the Library.
ParlaMint-GB_2017-10-30-commons.u244	When I visit one of the schools in my constituency, as we all often do as MPs, I am required to sign in and I am made aware of the safeguarding policies each and every time. I recognise that Parliament is not exactly the same as a school, but I am concerned that visitors brought on to the estate to socialise late at night must also be held responsible. How will the Leader of the House ensure that this is a safe place for all, by all, all the time?
ParlaMint-GB_2017-10-30-commons.u245	The hon. Lady raises a different but equally very important point, which is the safety and protection of those who come on to the estate. I am looking at that carefully. As I mentioned to the hon. Member for Newcastle upon Tyne Central (Chi Onwurah), I will be meeting Lord McFall tomorrow to discuss exactly how we protect those who come on to the estate to socialise, often quite late at night.
ParlaMint-GB_2017-10-30-commons.u246	I came to this place after working for some years at the BBC, an institution that has had its own challenges in this area. With that experience in mind, I want to endorse what the Leader of the House and you, Mr Speaker, have said about the importance of this institution having a robust procedure. It must not be left to individual components, whether individual employers or political parties. It is this institution, Parliament, that has to have a robust governance procedure. There are a few specific categories of people that this process must be sufficiently fleet of foot to be able to help. The first is members of staff who work in our constituency offices, who often feel isolated and vulnerable. The second is students who come here on work experience or to do internships. I would like to suggest that whenever a student, an intern or someone on a work placement begins here, there should be, as part of the basic induction process, a very simple instruction about where they go if, at any time, they feel vulnerable. I think that that is lacking at the moment.
ParlaMint-GB_2017-10-30-commons.u247	Yes. My hon. Friend is right. I think some of us do have clear guidelines for the very often quite young people who come to this place for work experience. Having something we can all give to young people to provide them with reassurance is an extremely good idea.
ParlaMint-GB_2017-10-30-commons.u248	I think across the House we all recognise that this is a fault of undiluted power: when someone holds another’s entire future in their hands, it is difficult to refuse or speak out. While it is sexual abuse and harassment that has brought this issue to people’s attention today, it is also about misogyny, dismissal and gender discrimination —and it is not just here. This place needs to start the change, but in the law, in the NHS—in any hierarchical system—we need to see change.
ParlaMint-GB_2017-10-30-commons.u249	The hon. Lady is right that it starts at the top. If those in power abuse those beneath them, it creates a culture where abuse becomes endemic throughout the system. I would not say it is only from the top, but that is certainly where it starts and where leadership needs to be shown.
ParlaMint-GB_2017-10-30-commons.u250	Those of us who have been in this place long enough to have seen the expenses scandal saw how that long-drawn-out process, often subject to apparent obfuscation by this place, was deeply damaging to the integrity not only of this institution but, by implication, of every Member, despite how innocent they might have been. Does the Leader of the House agree that if we are to tackle this problem, it is absolutely essential that our response be swift, robust and wholly transparent? We send out a message to the way the rest of society happens, and we all, however innocent, have a duty to perform in that.
ParlaMint-GB_2017-10-30-commons.u251	My hon. Friend is exactly right. It is absolutely our intention to make very swift progress—within days. He is also right to point out that there is agreement across parties that this needs to be resolved, and I think, if we all work together, it can be.
ParlaMint-GB_2017-10-30-commons.u252	I thank you, Mr Speaker, for your statement and the Leader of the House for her very forthright statement. She said earlier that this issue not only focused on Westminster but applied to politics across the country. In my own local authority, two female councillors were recently abused in a most sexually derogatory manner online, and the abuse was initiated by a fellow councillor. Will she talk to her colleagues in the Department for Communities and Local Government to ensure that the same robust policies and procedures she is outlining for this House apply equally to local government—councillors and staff?
ParlaMint-GB_2017-10-30-commons.u253	The hon. Gentleman raises an important point. My right hon. Friend the Secretary of State for Communities and Local Government would be happy to meet him to discuss it.
ParlaMint-GB_2017-10-30-commons.u254	I welcome the cross-party approach discussed today. As a doctor entering the House, I was quite concerned from my constituency experience to find that disclosure checks are not mandatory for staff in constituency offices, although such checks are quite rigorous for those working in Parliament. Does the Leader of the House agree that it is important that staff are kept safe right across the board and that we have a duty to protect constituents?
ParlaMint-GB_2017-10-30-commons.u255	The hon. Lady raises a very interesting point, and I will certainly look into it.
ParlaMint-GB_2017-10-30-commons.u256	I draw the Houses’ attention to my entry in the Register of Members’ Financial Interests. You, Mr Speaker, and many other Members have mentioned the fundamental imbalance between parliamentary staff and Members’ staff. The former have one employer and are members of recognised trade unions, if they wish to be. There is, however, an active and well-organised trade union representing Members’ staff—I know because I used to be branch secretary. Would you, Mr Speaker, and the Leader of the House be willing to meet that union to discuss recognition? Such a thing would not be without precedent.
ParlaMint-GB_2017-10-30-commons.u257	I cannot speak for you, Mr Speaker, but I certainly would be happy to meet the union.
ParlaMint-GB_2017-10-30-commons.u258	Similarly, I am very happy to meet the union, and I look forward to hearing from the hon. Lady. There should be an opportunity for a troika, a quartet, or perhaps something larger—I don’t know. It is important and should happen sooner rather than later.
ParlaMint-GB_2017-10-30-commons.u259	Many employers, as well as independent grievance procedures, have stand-alone independent bullying and harassment policies, so that complaints of bullying and harassment are dealt with separately under a different procedure. Is the possibility of a separate policy being explored, and does the Leader of the House agree that trade unions, if they have any Members’ staff coming to them with complaints, should be invited to bring them to you, Mr Speaker, and herself?
ParlaMint-GB_2017-10-30-commons.u260	As a constituency MP myself, I am certainly aware that some trade unions have done excellent work in protecting their members from bullying at work, and in doing so they fulfil a vital role. As for how we should go about resolving our own House issues, I incline towards a two-House solution. I think that there should be an independent grievance procedure, allowing anyone to make any allegations about bullying, intimidation, sexually inappropriate behaviour and so on, rather than separate streams of activity.
ParlaMint-GB_2017-10-30-commons.u261	Will the Leader of the House consider providing assertiveness training for staff, so that they may be better equipped to decide for themselves what constitutes good-humoured high jinks and what constitutes sexual harassment?
ParlaMint-GB_2017-10-30-commons.u262	That is a very good suggestion, and I would certainly support it. Such courses are often made available, and individual Members can choose to send staff on them. I myself have sent staff for assertiveness training. Another Member raised the issue of training for Members of Parliament in how to treat their staff, and I think that that has equal merit. All these suggestions should be up for discussion.
ParlaMint-GB_2017-10-30-commons.u263	May I add the support of DUP Members to the cross-party focus that we have seen this afternoon? May I also introduce a note of caution, and ask for a bit of clarity? Earlier, we were promised a completely confidential reporting mechanism. Can I assume that that would focus solely on the lack of reporting or publication of the name of a victim? I cannot see how it would be possible to proceed with a full accusation without revealing the victim’s identity.
ParlaMint-GB_2017-10-30-commons.u264	l understand the hon. Gentleman’s point. What I suggested was that it should be possible for the accuser to remain anonymous, at least in the early stages. All too often, people have been afraid to come forward for fear of their names being all over the front pages of the newspapers.
ParlaMint-GB_2017-10-30-commons.u265	When reflecting on the comments of my hon. Friend the Member for Leicester West (Liz Kendall), will the Leader of the House also take into account the fact that if we take a step forward here in Westminster, it will further perpetuate the gap, in terms of protection, between people who work in this place and our wider political constituencies—in other words, the culture of our political parties? We have a real duty of care to those activists, and bullying, intimidation and other forms of bad behaviour can often spread very easily against the background of a culture in which political parties seek to shut down allegations rather than bringing them into the light.
ParlaMint-GB_2017-10-30-commons.u266	The hon. Gentleman is right to raise that point. I hope that if we can show leadership in this place, we shall then be able to tackle the wider ramifications throughout the country.
ParlaMint-GB_2017-10-30-commons.u267	I agree with much of what has been said today, but I find it hard to believe that other Members were unaware of allegations such as those that have been made in recent days. The fact that incidents of this kind have not been reported until now indicates not only the macho image and atmosphere of this place, but the unwillingness of far too many men to report such behaviour. Does the Leader of the House agree that, in some cases, the men who remain silent are just as culpable as the perpetrators, and that men in this place and elsewhere must come forward to challenge and report abuse if we are to stamp it out once and for all?
ParlaMint-GB_2017-10-30-commons.u268	I urge those who feel uncomfortable, and feel that they have been abused, bullied, intimidated or harassed, to come forward. However, I do not think the hon. Gentleman is right to suggest that the victims are somehow themselves guilty of anything in failing to come forward.
ParlaMint-GB_2017-10-30-commons.u269	Will the Leader of the House ensure that the promised new procedures involve action on racism, misogyny, homophobia and bullying as well as sexual harassment? None of those types of behaviour has any place in our democracy. My hon. Friend the Member for West Bromwich West (Mr Bailey) mentioned local government. Can guidance be issued so that other levels of government adopt similar procedures? We should also bear in mind the fact that Members of the European Parliament still exist. Unless swift action is taken, politics as a whole will be brought into disrepute.
ParlaMint-GB_2017-10-30-commons.u270	I can absolutely confirm that all issues involving homophobia, racism, bulling, sexual harassment and so on will be within the scope of the work involved in the creation of an independent grievance procedure. The hon. Lady is exactly right: treating one another with respect throughout our politics is absolutely essential, and we will see what more can be done to ensure that that happens.
ParlaMint-GB_2017-10-30-commons.u271	I welcome your leadership on this important issue, Mr Speaker, and the statements from hon. Friends on both sides of the House Is the Leader of the House aware of any allegations that would warrant police investigation?
ParlaMint-GB_2017-10-30-commons.u272	I am not aware of any specific allegations that would warrant criminal investigation.
ParlaMint-GB_2017-10-30-commons.u273	With my teacher hat on, I endorse what has been said about young inexperienced staffers often not knowing their rights, and also the idea that there should be some kind of induction. This House should be leading from the front, and there is something else we can do: ensure that sex and relationship education in schools is finally enacted so we can start to tackle this from the bottom up as well.
ParlaMint-GB_2017-10-30-commons.u274	I share the hon. Lady’s concern that we need to set a good example and be good role models, and we need to do more to protect children and young people. On sex and relationship education, I agree with her up to a point: it is vital that relationship education is put up alongside sex education and the two are taught hand in hand.
ParlaMint-GB_2017-10-30-commons.u275	I am beginning to realise the scale of the challenge you face in your attempts to modernise this place, Mr Speaker Will the Leader of the House work with the Chartered Institute of Personnel and Development, by way of example, to audit fully what procedures are in place and ensure that best practice is introduced, and to help modernise and professionalise this place?
ParlaMint-GB_2017-10-30-commons.u276	The hon. Gentleman’s view will be shared by many across this House, in that it is difficult to pin down exactly who is responsible for what, which is why this urgent review is absolutely necessary. We are determined to come up with a coherent grievance procedure to which all Members and staff across both Houses can refer.
ParlaMint-GB_2017-10-30-commons.u277	The proposal for an independent grievance procedure is a positive step, but we also need to consider what happens after it has been completed. It is quite possible that the complainant will still be employed by the person they have made a complaint against, which will make employment relations very difficult at best, and at worst they will have completely broken down. The Leader of the House has said that in certain circumstances the whip might be removed from a Member, but if the person who has made the complaint is still employed by that Member, that would put them in an impossible situation. Surely that cannot be right.
ParlaMint-GB_2017-10-30-commons.u278	I certainly share the hon. Gentleman’s concern, and he will be aware that members of staff often move around and work for other Members of Parliament. Clearly, there should be different outcomes for different situations, but it is very important that victims feel that they are heard, understood, listened to and supported, and that their concerns are then acted upon.
ParlaMint-GB_2017-10-30-commons.u279	Thank you for your statement today, Mr Speaker May I caution the Leader of the House about her focus on mediation? Mediation assumes there is an equality of power. Where there is a perpetrator and a survivor of sexual abuse there is a clear inequality of power. Will she look at this again?
ParlaMint-GB_2017-10-30-commons.u280	To be clear, I am not talking about mediation; I am talking about an independent grievance procedure where independent people would investigate a particular situation, quite apart from the Members in this House. The victim would absolutely not be mediated with the alleged perpetrator of the crime against them.
ParlaMint-GB_2017-10-30-commons.u281	I welcome the Leader of the House’s constructive proposals to tackle this serious issue, but over the weekend I read some worrying articles saying that Whips’ offices from all political parties and senior members of the Government held information about sexual misconduct by their own MPs but stayed quiet for fear of sabotaging their career and bringing the Government into disrepute. Is the Leader of the House aware of these reports, does she believe them to be true, and if so, what is she going to do about them?
ParlaMint-GB_2017-10-30-commons.u282	I am absolutely not aware of any such wrongdoing, and I am absolutely confident that anybody who had serious allegations would be directed by the Whips Office or by Members of Parliament to go directly to the police.
ParlaMint-GB_2017-10-30-commons.u283	Further to that question from my hon. Friend the Member for Hampstead and Kilburn (Tulip Siddiq), may I press the Leader of the House a little further? Just yesterday, a current Government Minister appeared on the broadcast media and said that he was clear that what went on in the Whips Office stayed in the Whips Office. Can the Leader of the House tell us whether she still considers that approach to be appropriate in the light of these serious allegations? Furthermore, can she respond to the suggestion that the Prime Minister receives a briefing every week, perhaps from the Chief Whip, to advise her about spurious behaviour within the House?
ParlaMint-GB_2017-10-30-commons.u284	The hon. Lady should really consider the logic of what she is saying, if she really thinks that the Prime Minister would be sitting there chatting with the Chief Whip in the way that she suggests. That is quite clearly not true. It is absolutely vital that we all take this seriously and give proper consideration to the allegations against Members of Parliament by their staff. Anybody who had prior knowledge of those things would encourage those individuals to go to the police or provide them with the support that they need. There is absolutely no covering up going on.
ParlaMint-GB_2017-10-30-commons.u285	The Leader of the House has rightly recognised that these situations arise out of imbalances and abuses of power, and I therefore endorse the question from my hon. Friend the Member for York Central (Rachael Maskell) about completely outlawing the use of mediation in the circumstances. Its use would be wholly inappropriate. Does the Leader of the House not recognise that this goes to the heart of the victims being believed when they make their allegations, and that it is important that that message is sent out loud and clear as part of this exercise that she is now undertaking?
ParlaMint-GB_2017-10-30-commons.u286	I say again that it is important that there are independent investigations of allegations, not mediation, and that we use every effort to ensure that those who make allegations against another individual are properly listened to and supported, and that those allegations are properly investigated.
ParlaMint-GB_2017-10-30-commons.u287	On the way to this debate, I overheard two Members joking about this issue and asking, in humour, about whether they had “fessed up” to their sexual harassment. As a man, I stand up to call that out. It is not “bantz”; it is unacceptable. I also understand that in response to some journalists presenting testimony from victims with evidence of sexual harassment, some Members of this House have instructed lawyers to gag the stories that those journalists are pursuing. Will the Leader of the House ensure that the members of staff who use this service will have access to legal advice? What will she do to ensure that victims’ voices are not silenced due to legal process?
ParlaMint-GB_2017-10-30-commons.u288	I say again that it is vital that we take a grip of this issue and that we look quickly—I mean in a matter of days—at what can be done cross-party to establish a proper, independent grievance procedure that all staff across both Houses can access, so that their concerns can be heard, properly investigated and properly acted upon.
ParlaMint-GB_2017-10-30-commons.u289	I am grateful to all colleagues who have participated in this important exchange.
ParlaMint-GB_2017-10-30-commons.u290	With permission, Mr Speaker, I will make a statement to the House on the publication of Dame Elish Angiolini’s independent review of deaths and serious incidents in police custody and this Government’s substantive response to the report and its recommendations In 2015, my right hon. Friend the Prime Minister, then the Home Secretary, met the relatives of Olaseni Lewis and Sean Rigg, who had died tragically in police custody. The families’ experiences left her in no doubt that there was significant work to do not only to prevent deaths in police custody but, where they do occur, to ensure that the families are treated with dignity and compassion and have meaningful involvement and support in their difficult journey to find answers about what happened to their loved ones. I know that everyone in the House will want to join me in expressing our sorrow and sympathy for all those families who have lost loved ones who died in police custody It is essential that deaths and serious incidents in police custody are reduced as far as possible and, when they do occur, that they are investigated thoroughly, agencies are held to account, lessons are learned and bereaved families are provided with the support they need. The House will want to join me in acknowledging the incredible efforts of our country’s police forces and officers, the vast majority of whom do their jobs well to give substance to the Peelian principle of policing by consent. However, when things go wrong, policing by consent can have meaning only when swift action is taken to find the truth, to expose institutional failings and to tackle any conduct issues where they are found It is for those reasons that the Government commissioned in 2015 the independent review of deaths and serious incidents in police custody and appointed Dame Elish as its independent chair. Dame Elish concluded her review earlier this year and, having carefully considered the review and its recommendations, the Government are today publishing both her report and the Government’s response. The report is considerable in scope and makes 110 recommendations for improvement, covering every aspect of the procedures and processes surrounding deaths and serious incidents in police custody. It is particularly valuable in affording a central role to the perspective of bereaved families and demonstrating beyond doubt that their experiences offer a rich source of learning for the police, investigatory bodies, coroners and many others with a role to play when these tragic incidents occur. As for the Government’s response, I stress to the House that the issues identified in Dame Elish’s report point to the need for reform in several areas where we have begun or set in motion work today, but her report also highlights complex issues to which there are no easy answers at this time. The Government response that I outline today is to be seen as the start of a journey—a journey which will see a focused programme of work to address the problems identified As the House will understand, I do not intend to go into the detail of the Government response in respect of all the report’s recommendations. Instead, I will highlight key areas of concern and our approach. The first relates to inquests, which are intended to be inquisitorial, to find out the facts of a death, and should not be adversarial. Despite that, Dame Elish finds that inquests currently involve legal representation for interested persons, particularly those connected to the police force, and little or no help for bereaved families. The Government recognise that legal advice and representation may in some circumstances be necessary in the inquest process, which is why we have protected legal aid for advice in the lead up to and during inquest hearings. However, it is also clear that the system needs simplifying so that legal representation is not necessary in all cases, and the Government will investigate how we can meet this ambition and take it forward over the coming months As an initial step towards addressing those concerns and ensuring that the bereaved can have confidence in the arrangements, the Lord Chancellor will review the existing guidance so that it is clear that the starting presumption is that legal aid should be awarded for representation of the bereaved at an inquest following the non-natural death or suicide of a person detained by police or in prison, subject to the overarching discretion of the director of legal aid casework. In exercising the discretion to disregard the means test, it will also be made clear that consideration should be given to the distress and anxiety caused to families of the bereaved in having to fill out complex forms to establish financial means following the death of a loved one. That work will be completed by the end of the year As a next step, the Lord Chancellor will also consider the issue of publicly funded legal advice and representation at inquests, particularly the application of the means test in such cases. That will form part of the upcoming post-implementation review of the Legal Aid, Sentencing and Punishment of Offenders Act 2012, due to be published next year. Although there are cases where legal support is required, we believe we can go further towards building a non-adversarial inquest system, which I hope the House will agree is better for all involved. The Lord Chancellor will also consider, to the same timescale as the legal aid review, reducing the number of lawyers who attend inquests—without compromising fairness—and making inquests more sympathetic to the needs of the bereaved This country is proud to have world-leading police forces. The police put themselves in harm’s way to protect the public with honesty and integrity, upholding the values set out in the policing code of ethics. Police integrity and accountability is central to public confidence in policing, and a system that holds police officers to account helps to guarantee that. The Government must ensure that the public have confidence in the police to serve our communities and keep us safe When things go wrong, swift action is needed to expose and tackle any misconduct. Action must be open, fair and robust. The Government will therefore implement legislation later this year to extend the disciplinary system to former officers so that where serious wrongdoing is alleged, an investigation and subsequent disciplinary proceedings can continue until their conclusion, even where an officer has left the force. We will also make publicly available a statutory police barred list of officers, special constables and staff who have been dismissed from the force and barred from policing The Independent Police Complaints Commission has an important role to play, and it has undergone a multi-year major change programme that has seen a fivefold increase in the number of independent investigations it opens each year compared with 2013-14. On Friday 20 October, we reached another major milestone in reforming the organisation, with the announcement of the first director general of the new Independent Office for Police Conduct. The new director general will start in January 2018, when the reforms to the IPCC’s governance are implemented and it is officially renamed the IOPC The Government are strengthening safeguards in the custody environment. It is clear that police custody is no place for children. Provisions in the Policing and Crime Act 2017, shortly to be brought into force, will make it unlawful to use a police station as a place of safety for anyone under 18 years of age in any circumstance and will further restrict the use of police stations as a place of safety for people aged 18 and over The work of the College of Policing and the National Police Chiefs Council to improve training and guidance for police officers and staff in this area is to be commended. Also drawing on learning from the IPCC’s independent investigations, their work has contributed to a significant reduction in the number of deaths in custody in recent years Making improvements in other areas, however, requires us to tackle entrenched and long-standing problems that cut across multiple agencies’ responsibilities. The Government will not shy away from the long-term collaborative work that that requires, which is why we commissioned the Ministerial Council on Deaths in Custody to play a leading role in considering the most complex of Dame Elish’s recommendations—those on healthcare in police custody, on inquests and on support for families The ministerial council is uniquely placed to drive progress in those areas and has been reformed to ensure an increased focus on effectively tackling the issues that matter most. It brings together not only Ministers from the Home Office, the Department of Health and the Ministry of Justice but leading practitioners from the fields of policing, health, justice and the third sector. In addition, the ministerial council’s work is informed by an independent advisory panel that brings together eminent experts in the fields of law, human rights, medicine and mental health. This will introduce necessary oversight and external challenge to ensure that lessons are learned In my role as co-chair of the ministerial board, I am personally committed to helping drive through the ministerial council’s new work programme, and I will do so in a way that is transparent to the families. Every death in police custody is a tragedy, and we must do all we can to prevent them. The independent review of deaths and serious incidents in police custody is a major step forward in our efforts better to understand this issue and to bring about meaningful and lasting change I thank Dame Elish Angiolini for her remarkable contribution on this important issue, as well as Deborah Coles for her continuing commitment to preventing deaths in police custody. But I particularly thank the bereaved families who contributed to Dame Elish’s review. They have laid their experiences bare in order for us to learn from them and to spare other families the suffering they have endured, and I cannot commend them highly enough In addition to publication on gov.uk, I will place in the Library copies of the report of the independent review of deaths and serious incidents in police custody, its accompanying research documents, the Government’s response to the review and the concordat on children in custody I commend this statement to the House.
ParlaMint-GB_2017-10-30-commons.u291	There are many aspects of the Government’s statement to welcome, but does the Minister agree that this long-standing issue of deaths in police custody is of particular concern to our urban communities and has been for decades? In my constituency, this goes back as far as the death of Colin Roach in 1983, and this year we had the very sad death of 20-year-old Rashan Charles, who died in July following contact with the Metropolitan police in Dalston. I, personally, have had to comfort too many families who said goodbye to their son in the morning and he never came back Can the Minister explain why we have had to wait two and a half years for the publication of this report, which I understand was completed 15 months ago? Does he agree with the United Families and Friends Campaign that officers must be held to account? In that context, however, I welcome what he said about dealing with former officers, as it will give some comfort to families. Is he able to explain why a disproportionate number of these deaths in custody happen to black men? The Minister has said that this is the start of a journey, but does he appreciate that this must be a journey with an end? Families want to see some prospect of the recommendations being implemented, or at least an explanation of why they are not implemented, and an end point to this journey? Does he agree that we pride ourselves in this country on policing by consent but if that is to be real for every community, we must deal with this long-running issue of deaths in custody? May I assure the Minister that I campaigned on this issue long before I was a Member of Parliament, and in my current role as shadow Home Secretary I will be pursuing him, both on the overall burden of his statement and on all the detail?
ParlaMint-GB_2017-10-30-commons.u292	I thank the shadow Home Secretary for her constructive approach and for putting me on notice that she is going to hold my feet to the fire—I welcome that, because she has worked with victims of these tragedies. Together with the Home Secretary, I have met some of the families, and their accounts are overwhelming in terms of what they have had to endure, not just with the original loss, but the journey from that point. It has been absolutely unacceptable and the report is devastating, because it is a story of system failure and human failure going back over many, many years. This was recognised by the current Prime Minister and she was absolutely right to commission this report, and it is our responsibility now, after all these years of failure, to tackle this and do something right for families in the future—I am absolutely committed to that We did take some time to publish this review, because it is a very comprehensive review, with more than 100 recommendations that needed to be looked at seriously and worked through properly. It is a cross-government response, and I hope the shadow Minister will see it as substantive. On the accountability of police, yes, the families are very clear about that; they have worked and had to endure journeys of nine years to get nowhere in terms of a conclusion, and that is unacceptable. I beg to differ a little on the point the shadow Home Secretary made about black and minority ethnic people being more likely to die in police custody; that is not what is suggested by the data I have seen, which is that the proportion of black people who die in police custody is lower than the proportion arrested. I believe the Independent Police Complaints Commission has published results of a 10-year study that bears that out, but I am more than happy to discuss this with her personally. But the most important point is that this report has to be a catalyst for change, and I hope that on both sides of the House we work together to make sure that finally happens.
ParlaMint-GB_2017-10-30-commons.u293	I applaud my hon. Friend’s statement. He is clearly a man on top of his brief. As someone who has had the privilege to serve as a special constable in the past and who spent 25 days with Northamptonshire police under the police parliamentary scheme, may I say that we should applaud the work of the vast majority of custody sergeants up and down the land who take their job incredibly seriously and serve thousands of prisoners well each and every year?
