ParlaMint-GB_2017-02-01-commons.u1	Object Bill to be read a Second time on Wednesday 8 February.
ParlaMint-GB_2017-02-01-commons.u183	I am a remainer, but I accept the democratic will of the people. Surely now is about securing the best deal for our constituents—the people we are here to represent.
ParlaMint-GB_2017-02-01-commons.u184	My hon. Friend is right. I, too, will vote for article 50, although I argued against leaving the EU last year. I am worried about the backdrop to all of this, because, across western democracies, democratic values are being undermined. We have seen: attacks on judges as the “enemies of the people”, even though they should be defending the rule of law; attacks on the Human Rights Act and on the protection for minorities against the tyranny of the majority; the steady undermining of democratically elected representatives; the assault on the free press; and the attack on truth itself. The challenge that we face over the next few years in many European countries is how we defend those democratic values. It will be much harder for me to defend that faith in democracy in my constituency if we ignore the results of the ballot box last summer Pontefract is the home of the very first secret ballot. We still have the first ballot box, and we see it as a symbol of peaceful democracy—of asking people to be part of that democratic process. That democratic process does not end with the article 50 vote, and that is my concern with the Government’s approach. They are trying to concentrate power in the hands of the Executive, when, in fact, they should be involving all of Parliament and the public in the debate about what kind of country we want to be and about where our future lies. There will be issues on which we will disagree. For example, I feel strongly that we should stay inside the customs union, because that will help our manufacturing in the future. On the rights of EU citizens who already live here, I feel that we should not be leaving them in the lurch while we start the negotiations when we could put them on a sure-footing straight away There will be issues about how we balance so many different things, such as how we get our security right, and we will need to debate them here in this House. At the moment, the process that the Government have set out does not give us the secure opportunity to have votes and proper debates and to be sure that we will not be left at the end of this process with what the Prime Minister has described as her way to change the British economic model if we do not get what we like. To the Opposition, that sounds far more like a tax-haven Britain that would undermine people’s rights and the kind of British values that we want to stand up for I urge Members from all parts of the House not just to look at the array of amendments and not just to decide how we respect the referendum result last summer and the different and strongly held views of our constituents, but to look at how all of us, from all parts of the House, vote for the kinds of amendments that will ensure that parliamentary sovereignty is strengthened and that Parliament has a say. I urge Government Members to vote for some of those amendments to ensure that we have a real vote on the final outcome and that we can make real choices So much of this has been about how we defend democracy by voting for article 50. It should not be about that; it should be about how we strengthen democracy over the next two years. If this was about parliamentary sovereignty for all of us, let us have the strength and the confidence to use it.
ParlaMint-GB_2017-02-01-commons.u185	It is a pleasure to follow the right hon. Member for Normanton, Pontefract and Castleford (Yvette Cooper). I did not agree with everything that she said, but the one thing with which I most certainly did agree was her congratulations to my hon. Friend the Member for Sleaford and North Hykeham (Dr Johnson) who made an excellent first speech in this House. It is probably the case that she will never speak in a more important debate in this House no matter that she has, I am sure, a long career ahead of her here My first political act was to take part in the referendum campaign in 1975. I put leaflets through doors calling on people to vote yes in that referendum. I did so because I believed in free trade, and because I believed the assurances that were written on those leaflets that the decision taken would not affect the sovereignty of the UK Parliament I was working for Margaret Thatcher when she first delivered the Bruges speech, which highlighted the fact that that assurance was being steadily eroded and that the European Community was heading in the wrong direction. As a result, when I entered this House I opposed the Maastricht treaty, the Amsterdam treaty, the Nice treaty and indeed the Lisbon treaty as it was becoming steadily clearer that, although there may or may not have been economic benefits from our membership, this was a political project that was heading in the one direction of ever closer union It was a project on which the British people had not been consulted and which they did not support. I had hoped that the Prime Minister, David Cameron, would negotiate an arrangement that allowed us to opt out from the elements that we did not want. He tried valiantly, but what he came back with was insufficient, which left us with no alternative but to leave and then to seek new arrangements allowing us to co-operate in those areas where there was a benefit. The result of the referendum was clear. In my constituency, it was nearly two to one, and people did understand what they were voting for. It does not matter that a majority of younger people may have voted to remain, that a majority of those with degrees may have voted to remain, or even that some parts of the UK may have voted to remain. This was a nationwide referendum of the British people, and the British people spoke. I agree with the Prime Minister that we have no alternative but to leave the single market, as it is essential that we have control over our borders once more and that we are no longer subject to European Union law.
ParlaMint-GB_2017-02-01-commons.u186	Will my right hon. Friend give way?
ParlaMint-GB_2017-02-01-commons.u187	I really am sorry, but I do not have time We have to leave the customs union if the condition of remaining in it is that we are unable to negotiate our own trade agreements. There are precedents, although I would not necessarily want to follow them completely. The new arrangements, for instance, between the European Union and Canada, and between the European Union and Ukraine, offer no application of European law in those countries and no free movement, but do give them access to the internal market and allow them to negotiate their own trade agreements. Ultimately, the European Union is flexible and an arrangement is perfectly possible The negotiations will be complicated. I am concerned, for instance, that we must have recognition of the adequacy of our data protection, so that data can continue to flow across borders. I would like us still to be recognised under the country of origin principle. However, it is vital for European businesses still to have access to our markets, so they will be putting pressure on their Governments to reach a sensible deal. The one thing I have found most astonishing is that when Britain voted to leave the European Union, the reaction of other member states has been more to seek to punish Britain than to ask the question why. The European Union is a flawed—
ParlaMint-GB_2017-02-01-commons.u188	Order. I call Geoffrey Robinson.
ParlaMint-GB_2017-02-01-commons.u189	I will be brief and to the point, as many other hon. Members want to take part in the debate. We have heard some remarkable contributions, and I will mention two that were made yesterday. The former Deputy Prime Minister, the right hon. Member for Sheffield, Hallam (Mr Clegg) and the right hon. and learned Member for Rushcliffe (Mr Clarke), who has just left the Chamber so will not hear my remarks, challenged everyone who will be voting in favour of this Bill tonight, as I will be, to examine our consciences. They particularly challenged those of us—I strongly count myself among this number—who voted, argued and campaigned for a remain vote. I believe that, as we lost the vote, we have to face the consequences, although the former Deputy Prime Minister and the right hon. and learned Member for Rushcliffe feel that we should not My right hon. Friend the Member for Doncaster North (Edward Miliband) also said that this is an issue of conscience. I regret to some extent that we will be voting on a three-line Whip, as it is a deeply moral, conscious decision that we all have to take. However, I would have much more difficultly justifying and coming to terms with my conscience if I were to vote against the Bill and, effectively, in favour of delaying and frustrating the beginning of the negotiations and, therefore, the whole process of leaving the European Union. We have only to re-read the referendum question. It was so simple, asking: “Should the United Kingdom remain a member of the European Union or leave the European Union?” There were no ifs or buts. It was a simple question understood by everybody who took part in the referendum. It is no good now to say that the referendum was really only advisory and that we should have a second referendum or a confirmatory vote I campaigned widely in the west midlands, strongly on the remain ticket. I went out of my way to warn my constituents about the economic consequences, although warnings, particularly from the then Chancellor, may have been overdone throughout the whole campaign, which did not particularly help us. I warned people that the referendum was a one-off, that it was a yes or no question and that there would be no second referendum or further bite at the cherry if we did not like the outcome. Members who are telling us that tonight’s vote is a matter of conscience for those who were on the remain side and who felt strongly about remaining, as I did, believe that we should vote against the Bill. On the contrary, there is not a conceivable material argument for doing so. Indeed, to do so would be to betray the very basis on which we conducted the referendum; that is certainly what I spoke to, and I believe that it is what all Members who actively took part in the referendum spoke to We come to the question of how this House can be involved in and influence the negotiations. My experience of negotiations—business and others—tells me that we have to get real about this. The issues and choices will become clearer once we are in negotiations. I agree with the former Chancellor, who brings us great advice from Davos and other centres of learning, that perhaps economics will not be the big issue of the negotiations. However, the outcome on the economic and trading front is the essence of what this is really about for working people. My advice is simply this: soft Brexit and a transition period. Anything else would predict a harsh and uncomfortable future for the working people of this country.
ParlaMint-GB_2017-02-01-commons.u190	As I said yesterday and perhaps I can be forgiven for repeating today, it would be hugely appreciated if colleagues did not keep coming up to the Chair either asking explicitly when they will be called, or doing so implicitly by inquiring whether it is alright if they go for lunch, repair to the loo, consume a cup of tea or eat a biscuit. It is not necessary. All I would say is, please be patient. I want to accommodate everybody—I am on your side—but it does not help if people keep coming up to the Chair all the time. It is incredibly tedious, especially when one is trying to listen to what colleagues actually have to say.
ParlaMint-GB_2017-02-01-commons.u191	Having originally been elected on a slender majority of 582, I certainly understand that we have to accept the outcome of democratic elections, however narrow the margin, but I must admit that I was surprised by the leave result in the west midlands, given that the region is in substantial trade surplus with the EU. Of course, I am delighted that the automotive industry has achieved so much success that it exports 82% of all its cars, mostly to the other 27 countries of the EU The subject of immigration dominated the conversations I had on the matter, even when standing outside the gates of the car factory. No distinction was made between EU and non-EU migration, which each account for 50% of migrants. I worry that our electors expect that taking back control will mean that very few migrants will arrive here. However, our history as an empire means that there are family obligations to non-EU migrants and an absolute obligation, through the Geneva and The Hague conventions, to provide safe haven for the most vulnerable people, many from countries for which we drew the lines on a map I heard mixed motives for voting leave. Some second-generation migrants told me they did not want any more coming in. Article 50 will be triggered and we will be in uncharted waters, trying to negotiate the things that are vital for our success. Access to our principal market is key. The car industry is desperately short of engineers, and its success will be choked if it cannot get the skilled labour it needs. If we are honest, migrants are more willing to do some jobs, such as picking fruit and vegetables. A spring onion producer told me he cannot rely on local labour to get the harvest in. We must ensure that horticulture is not destroyed by taking back control without being able to meet the demand for labour. These are not easy things to say in public, but we are about to make a momentous decision, and, as the Prime Minister says, we have to make a success of it. That will only be achieved if we are honest about some of the problems we face I am no starry-eyed Europhile. The political leadership in Europe failed to inspire its citizens about the benefits of working together. Other countries are seeing the rise of extreme right parties that promise to solve their problems. This goes beyond Europe. The leadership of the rich nations around the world are struggling to find answers to the impact of globalisation for the low waged. In America, Obama tried to extend healthcare to the poorest, and here we have the introduction of the living wage, but maybe we need to look to places such as Scandinavia for better models of wage equality and fairness in society. Those are the big questions left when we exit the European Union and we will need to answer them in our own way I expect that the EU will change after we have left, because it must collectively try to find answers to the big questions of globalisation, mass migration and robotics. By contrast with the US, we have decided to turn outward, not inward, partly because we have to and because our heritage is one of trade and exploration. I hope the electorate will be patient, but they will judge our efforts on their experience, not on our rhetoric. I hope that all that is great about Britain is not sacrificed in pursuit of an unrealistic ambition to go back to some mythical time when we were in control of all we surveyed.
ParlaMint-GB_2017-02-01-commons.u192	She is not in her place now, but I want to pay tribute to the hon. Member for Sleaford and North Hykeham (Dr Johnson) for her excellent maiden speech. Liberal Democrats have always been proud internationalists. It was the Liberals who backed Winston Churchill’s European vision in the 1950s, even when his own party did not do so. Since our foundation, we have been champions of Britain’s role in the European Union and fought for co-operation and openness with our neighbours and with our allies. We have always believed that the challenges that Britain faces in the 21st century—climate change, terrorism and economic instability—are best tackled working together as a member of the European Union Being proud Europeans is part of our identity as a party, and it is part of my personal identity too. Personally, I was utterly gutted by the result. Some on the centre left are squeamish about patriotism; I am not. I am very proud of my identity as a northerner, as an Englishman, as a Brit, and as a European—all those things are consistent. My identity did not change on 24 June, and neither did my values, my beliefs, or what I believe is right for this country and for future generations. I respect the outcome of the referendum. The vote was clear—close, but clear—and I accept it But voting for departure is not the same as voting for a destination. Yes, a narrow majority voted to leave the EU, but the leave campaign had no plans, no instructions, no prospectus and no vision. No one in this Government, no one in this House and no one in this country has any idea of what the deal the Prime Minister will negotiate with Europe will be—it is completely unknown. How, then, can anyone pretend that this undiscussed, unwritten, un-negotiated deal in any way has the backing of the British people? The deal must be put to the British people for them to have their say. That is the only way to hold the Government to account for the monumental decisions they will have to take over the next two years.
ParlaMint-GB_2017-02-01-commons.u193	Does the hon. Gentleman not think that his party is partly responsible for the outcome of the referendum, because immigration became a proxy for issues like the pressure on the NHS and the inability to see a doctor, and the inability to get the right class sizes, owing to policies that his party supported which squeezed public services and meant that people looked for someone else to blame?
ParlaMint-GB_2017-02-01-commons.u194	I am staggered by the hon. Gentleman speaking the language of Nigel Farage—what a terrible disgrace The deal must be put to the British people for them to have their say. That is the only way to hold the Government to account for the monumental decision they will have to take over the next two years to ensure that the course they choose serves the interests of all the people, however they voted.
ParlaMint-GB_2017-02-01-commons.u195	I will not take any more interventions because other people need to get in Here is the likelihood: 48% of the people will not like the outcome of the deal, and half of the 52% will feel that they were betrayed by the outcome of the deal. The only way to achieve democracy and closure is for there to be a vote at the end. The fact is that the Prime Minister is the one making the strongest case for giving people a vote on the deal. She had the choice to pursue a form of Brexit that united our country, reflected the closeness of the vote, and sought to heal the divisions between leave and remain. Instead she chose to pursue the hardest, most divisive form of Brexit, which tears us out of the single market and leaves us isolated against the might of world superpowers. Never mind that six months ago she herself argued the case for remaining in the EU. Never mind that numerous leave campaigners championed the Norway and Swiss models and spent the referendum campaign assuring voters that we would not leave the single market. Never mind that 48% of people—16 million British people—wanted to stay in the EU. Never mind that Britain’s young people, who have more of a stake in our country than most of us here, voted three to one to remain The Prime Minister has made her choice—fine; she has chosen hard Brexit—but if she is so confident that what she is planning is what people voted for, she must give them a vote on the final deal. What started with democracy must not end with a Government stitch-up. When all is said and done, the decision on whether the deal the Prime Minister negotiates is good enough will be decided by someone; someone will make that decision. Should it be the Prime Minister, should it be those privileged to be here, or should it be the British people who have to live with that decision? I say that it should be put to the people in a referendum. That is why the Liberal Democrats are fighting for the British people to have the final vote on the deal that this Government negotiates. Democracy means accepting the will of the people, at the beginning of the process and the end of the process. Democracy means respecting the majority, and democracy means not giving up your beliefs when the going gets tough.
ParlaMint-GB_2017-02-01-commons.u196	It is always a pleasure to follow the hon. Member for Westmorland and Lonsdale (Tim Farron), who always speaks with passion. However, let me put it squarely on the table that I will never vote for another referendum while I am in this House, given what we experienced last year I agree with those who have said that this is a conscience vote; forget the three-line Whips. We asked the people, “What do you want to do?”, they said, “Leave,” and as far as I am concerned that settled the matter. I will of course be voting for the Bill this evening I want to make three very quick points. First, I believe that the Prime Minister deserves personal credit for her leadership on Brexit since she emerged last July. Casting our minds back to the extraordinary events of last summer, we were shell-shocked, not knowing where the public vote would take us. “Brexit means Brexit”, she said, “and we’re going to make a success of it.” That phrase, much mocked in some quarters, gave a sufficient sense of direction to steady the ship. It became apparent by January that we then needed a more detailed plan, and at just the right time, the Prime Minister gave her Lancaster House speech, which set out a clear, coherent and credible plan for the way forward. It was one of the most significant speeches I have heard in my 25 years in this House, and it was a game changer for me and for many people The plan is ambitious and not without risk. In particular, we will be leaving the single market and turning our backs on free movement, but seeking to negotiate a free trade agreement. That is a high-risk strategy, but I recognise that to remain in the single market would not properly reflect the desire of the majority who voted leave to control immigration. It is, however, vital that putting in place a bespoke free trade agreement is successfully completed as part of the overall deal. The one fear that companies in my constituency have is not so much tariffs, bad though they might be, but non-tariff barriers, which can play havoc with sensible trading arrangements and must be avoided if possible One part of the Lancaster House speech has received insufficient attention—the reference to transitional arrangements. I know that there are some, and some in this Chamber think that all this can be done in the blink of an eye, but it cannot. It is complex, it will take years, and we have to exercise patience. Once we start detailed negotiations—once we start to consider which parts of the acquis we want to ditch and which to keep—we are probably looking at a 10-year project. We might well leave the EU in 2019, but we should prepare ourselves for substantial transitional arrangements, and thereafter, I hope, a positive working relationship Secondly, we must now be brutally honest with the British people about the likely short-term impact of Brexit, not in an alarmist way, but simply making the point that because of uncertainty—because we have now made it clear that we will not be in the single market—there is likely to be an impact on Government spending for the next few years. We know that tax receipts have fallen against forecast since June, and that trend may well continue. There may well be long-term gains from Brexit—I certainly hope so, and we must strive for that end—but there will most likely be short-term pain, especially now that the phoney war is drawing to an end. International companies will weigh the certain knowledge that we will be leaving the single market against the hope of an equivalent free trade agreement, and some of them who crunch that calculation will decide to invest or expand elsewhere. Some financial institutions are already getting itchy feet, so there might not be as much money available for the NHS and social care and schools as we would like over the next two to five years, and we should prepare the British people for that fact Finally, living in these very turbulent times when all kinds of things are going on in our world, I encourage those on the Front Bench—those who are negotiating—thus: we have a clear plan, but let us not be slavish about it; let us be flexible and wise.
ParlaMint-GB_2017-02-01-commons.u197	It is with great pleasure that I rise to speak in this debate on this historic day for Parliament and for this country. None of us who believed in withdrawal from the European Union believed that we would ever see an Order Paper displaying the words, “European Union (Notification of Withdrawal) Bill: Second Reading”. It is a very historic, landmark occasion. The Bill implements a decision that this Parliament decided to hand to the people. It would be utterly wrong, therefore, to reject what the people of the United Kingdom decided in a national vote. I utterly respect those who have spoken who campaigned hard, enthusiastically and vigorously to remain but are saying that, as Parliament handed the decision to the people, we must respect the will of the people. I have little time for those who argue that we should now engage in procedural games to thwart the will of the people. That is dishonest and undemocratic. I agree with the Liberal Democrats about believing in democracy and listening to the will of the people, so let us get on and implement what the people have said, not engage in efforts to thwart it. This was a national vote across the United Kingdom and everybody’s vote was equal I want to address the issues that affect Northern Ireland in particular. It has been said that, because Northern Ireland voted to remain by 56% to 44%, it should not be part of the withdrawal or it should be given a special status. I can think of nothing that would be more calculated to undermine the Union between Northern Ireland and the rest of the United Kingdom than for Northern Ireland to be able to thwart the will of the people of the United Kingdom as a whole. That would be a deeply anti-Unionist position to take It is right and proper that we respect the special needs of Northern Ireland, and we are arguing them vigorously with the Government. We are engaged with this House and with Ministers back home, and that is why I deplore the fact that at this crucial juncture our locally devolved Assembly and Executive have been brought down needlessly. The people who brought it down are the very people who are now making speeches saying, “Brexit undermines the Good Friday agreement.” Thankfully, the Secretary of State for Northern Ireland has completely demolished that argument and made it clear that nothing in the Good Friday, St Andrews or any other agreement is in any way impaired or imperilled by the decision to leave the European Union. Those who are now complaining the hardest about Northern Ireland have denied themselves a voice by not taking their seats and arguing their case in this House or engaging with Ministers. They have now brought down the elected Government in Northern Ireland, so they do not have any input there, either The reality is that of course this presents challenges for Northern Ireland. However, when we kept sterling and the Irish Republic joined the euro along with other European partner nations and states, we were told that it was a massively detrimental act and that it would cause all sorts of major problems on the island of Ireland and lead to all sorts of disruption, both economic and political. None of that happened—people adapted. They were told that we would have to change our currency at the border. Northern Ireland has a different currency from that of the Irish Republic, but trade continues—it is flourishing—and the economy has done extremely well. None of the dire predictions of terrible consequences came to pass I am confident that we will see a better future for the United Kingdom and for Northern Ireland. I welcome the Prime Minister’s commitment to maintaining the common travel area. I reject the idea of a special status for Northern Ireland, and I am glad that the Taoiseach of the Irish Republic rejects it too, because it is code for separating Northern Ireland from the rest of the United Kingdom and undermining our—
ParlaMint-GB_2017-02-01-commons.u198	Order. I call Sir Gerald Howarth.
ParlaMint-GB_2017-02-01-commons.u199	This is indeed an historic moment in our nation’s history. This is the moment that we begin to take back control of our laws, our borders and our money. Once again we become a sovereign nation state in command of our own destiny, and I am absolutely delighted about that I was brought up in post-war Germany. I campaigned to leave in the 1975 referendum and, along with 43 others, I voted against the Single European Act in 1986, so I have form. The hon. Member for Bolsover (Mr Skinner), the right hon. Member for Islington North (Jeremy Corbyn) and I are the last remaining members of that band. Although Margaret Thatcher pushed for that Act, I have no doubt that, if she were with us today, her response to this Bill would be, “Rejoice!” I pay tribute to all those, on both sides of the House, who have campaigned over the years for this outcome. I also salute David Cameron for honouring his commitment to give the British people a referendum on membership of the EU. Many said that he would renege on that, but he kept his word The referendum was not advisory. It was an instruction to withdraw from the European Union. The Bill simply authorises the giving of notice to leave, without which negotiations cannot begin. It is touching to hear the new-found respect for parliamentary democracy from the Bill’s opponents—the same people who for four decades have been complicit in the relentless campaign to transfer power from this Parliament to Brussels.
ParlaMint-GB_2017-02-01-commons.u200	Does my hon. Friend agree that, having asked the people to give us their voice, we now need to respect that voice and get on with it?
ParlaMint-GB_2017-02-01-commons.u201	Absolutely, and I think that the overwhelming view, not only in this House but across the country, is in favour of that proposition A number of speeches during this debate, principally yesterday, have sought to rerun the referendum arguments, but it is no good complaining that the people did not know what they were voting for. The Government spent £9 million of our money on a brochure riddled with inaccuracies, and they mounted an extraordinary and utterly counterproductive “Project Fear” campaign warning of dire consequences if we voted to leave, none of which have come to pass. My right hon. Friend the Member for Tatton (Mr Osborne), the former Chancellor, who is sitting in front of me, predicted an “immediate and profound economic shock across the country” and a DIY recession, but none of that happened. Instead, the economy grew by 0.6% in the third quarter of 2016, compared with 0.3% in the first quarter, before the referendum. Major companies such as SoftBank, Google, Novo Nordisk and Nissan have announced significant investment in the United Kingdom Some have argued that the public were not told that a leave vote would require us to leave the single market, but recovering control of our borders and restoring to this Parliament responsibility for the laws of these islands—in other words, a return of sovereignty—was at the heart of the debate. Membership of the single market is completely incompatible with those objectives. As my hon. Friend the Member for Boston and Skegness (Matt Warman) said yesterday, the people knew what they were voting for and it is patronising to suggest otherwise Some suggest that the validity of a referendum in which more than 33 million voted is in doubt, yet no such question troubled them in 1997 when Tony Blair secured a majority of 179 with just 13.5 million votes. By contrast, 17.4 million voted to leave the European Union. We are leaving and there will be no second referendum. We undoubtedly face challenges ahead, but let us not kid ourselves: there would have been major challenges if the United Kingdom had voted to remain There are 70 billion reasons why our EU partners will want to reach a mutually beneficial trade deal with us, because they have a £70 billion trade surplus with us. I hope that those countries that in large part owe their liberation from the Soviet yoke to the Conservative Government of Margaret Thatcher will respect our decision and help us forge a new, constructive relationship. I hope that the same will apply to those countries that we helped rebuild after the second world war Free from the EU customs union, we will be able to embrace the world and negotiate trade deals with our Commonwealth friends, encouraging fair trade deals, and the tiger economies of the world. However, it will be hard graft; the US may be our closest ally, but commercially they will be no pushover I have another note of caution: the EU’s determination to create an EU defence identity shows no sign of relenting. Such a policy presents a direct threat to the ultimate guarantor of European security, NATO, and risks alienating its principal paymaster, the United States of America. I shall support this Bill tonight.
ParlaMint-GB_2017-02-01-commons.u202	I have been a Member of this House for almost seven years and rarely have I spoken on a Bill of such great importance, not just to the country and to Scotland but to my own constituents. It is a great pleasure to follow the hon. Member for Aldershot (Sir Gerald Howarth). Although we fundamentally disagree about the European Union, it is right that we are able to express our views in this House on behalf of our constituents and the country If that is what taking back control is about, let us talk about that democratic process. We have been able to debate this Bill yesterday and today only because the public took the Government to court to express the view that they were railroading through a decision without due process or the taking back of control that they had promised this Parliament. We should pay tribute to those people for making it possible for us to make these arguments on behalf of our constituents Like many right hon. and hon. Members, I campaigned vigorously for a remain vote. One of my party members, Gordon Dalyell, the son of Tam Dalyell, campaigned alongside me night after night. I pay tribute to Tam. Our thoughts are with Gordon, Pam, Matthew and the rest of the Dalyell family I campaigned vociferously for the UK to remain a member of the European Union because it was in our national interest. When I was tramping around the streets of my constituency in 2010 and 2015, I was not knocking on doors promising my constituents that if I was elected to this House I would do everything I possibly could to make their lives poorer. Indeed, the new Chancellor of the Exchequer has said quite clearly on the record that nobody votes to make themselves poorer. It is incumbent on everyone in this House, throughout the process, not simply to railroad the Bill through as though it did not matter, but to fight for every single amendment so that the House sends a strong message—both to the Government and to our European partners—that we will make sure that the country gets the best deal for our constituents.
ParlaMint-GB_2017-02-01-commons.u203	Will my hon. Friend give way?
ParlaMint-GB_2017-02-01-commons.u204	I will not give way, if my hon. Friend does not mind, because of the timescale and the fact that other people wish to speak At the end of the EU referendum campaign, 78% of my constituents voted to remain. Many Members from across the Chamber in the last day or so have talked about not respecting the democratic will of the people, but, as far as I am concerned and according to “Erskine May”, we are representatives of our constituents. None of these decisions in the House is taken easily; in fact, it is with a heavy heart that I will vote against triggering article 50 this evening, but I will do so in the knowledge that I will be able to walk down the streets of Edinburgh South, look my constituents in the eye and say to them that I have done everything I possibly can to protect their jobs, their livelihoods and the future of their families When the Bill goes through Third Reading and the Lords, as we know it will, I will work enthusiastically to get amendments to it and hold the Government to account. Brexit might mean Brexit, but to my constituents and to many people across the country Brexit does not mean Tory Brexit. The rhetoric we have been hearing from the Government is wrong. I do not know why they are fighting the people to stop Parliament having a say, and I do not know why they are not reaching out across the Chamber to try to get a common sound and a common voice, to make sure that Britain can get the best possible deal from our European partners. I will vote no this evening, against triggering article 50, but rest assured that I will spend the rest of the time in this Chamber fighting for my constituents’ lives.
ParlaMint-GB_2017-02-01-commons.u205	Thank you, Mr Speaker, for calling me to speak in a debate that I never wanted to happen, ahead of a vote that I never wanted to cast. This summer, I will have been an MP for 30 years, in which I have supported the pro-European cause with a passion. I do not think I need to elaborate I believed that the referendum that forms the basis of the Bill had become an inevitability, and I supported David Cameron’s call. I may have been wrong, and I envy the steadfastness of my right hon. and learned Friend the Member for Rushcliffe (Mr Clarke), and his consequent vote on the Bill. I am in a different place; I voted for the referendum Bill believing that the result of the referendum would count. On the public platforms on which I argued to remain, I made the bargain with the good people of North East Bedfordshire that we would honour the result of the referendum; if we voted to remain, that would be that, and if we voted to leave, I would support the decision if I was required as an MP to vote on the matter. We have, and I will I am not giving up fighting. I want the very best for my constituents out of the new arrangements. That is why I stood to be a member of the Exiting the European Union Committee, and it is why I will work with others in Parliament and beyond to assist the Government who have been landed with this in making the best of it. The Bill does not provide much opportunity for the addition of detail governing future negotiation. The Government need a pretty open hand, although one or two amendments might help them to retain parliamentary support I will fight for a negotiated settlement, watching carefully for any sign that “no deal” is moving up the agenda. I want the Government to be as open as possible to as many options as possible. The degree of detail to be covered is staggering, both for us and for our partners, and new consequences are being uncovered every day. This is way more complicated than some of our colleagues ever wanted to believe, and not all the consequences will be beneficial There is one fight that I want to see an end of, and on which I am calling time. I do not believe there is any realistic prospect of the UK remaining in or rejoining the EU, certainly not in my lifetime in the House. I think it is time for me to place my support for the EU and Europe on a different footing—one that recognises the reality of what we have done. I will work for the future prosperity of the EU, for our partnership relationship with it and for all the things we must continue to do together from that new position. I will defend the EU against those who still wish it further harm—from those misguided enough to believe that the further disintegration of the EU is of some benefit—whether that is those in some quarters in the UK with a viewpoint of malevolence, those with a viewpoint of ignorance in the United States I have decided that I will not, at present, fight for the UK somehow to find a quick way back to the EU. Let me be clear: I believe sincerely that the decision of those who voted out was wrong, as was the view of those who led them. I am reconciled to Brexit, but I am not yet persuaded of the wisdom of the decision. However, spending the next few years trying to reverse 48:52 and make it 52:48 does not seem to me to be in the UK’s interest. I do not want an already divided country to become more so. Honest patriotism has merged seamlessly into jingoistic nationalism, and the national debate has become sad and dispiriting. As a confirmed remainer and supporter of the EU, I do not want the next generation of Conservative MPs to have the blight of this argument dogging them, their associations, their members and their voters in the way it has dogged us. It has soured friendships, deepened bitterness and damaged relationships—I swore at a mate in the Tea Room, and I am sorry Instead, I want to work towards a new partnership with the EU that will start to command ever-increasing support. We should aim higher than a minimum of support and look towards the vast majority of those in the UK supporting such a partnership. It is possible to be pro-European and not define oneself solely in terms of membership of the EU. It is time to be proud to be British without hating the EU. I hope it will help if some of us who lost take the opportunity to create something better out of what has happened. Although I will vote for the Bill with a heavy heart, that is the relationship I am looking for.
ParlaMint-GB_2017-02-01-commons.u206	I have listened to yesterday’s and today’s debate, a lot of which has focused on process and procedure. I want to focus on people. I made a very simple promise to the people of Bermondsey and Old Southwark in May 2015 that I would never support anything that would damage them, their lives or their children’s lives. I made that promise precisely because my predecessor was a Liberal Democrat who backed Tory measures—the bedroom tax, cuts to legal aid and tripling tuition fees—that damaged my community. I made that promise, and I stand by it I hear from people, day in, day out, about the damage that has been done since the referendum. The universities in my constituency—the London School of Economics, King’s College London, South Bank University and the University of the Arts London—are worried about research funding from the European Union, the Erasmus programme and a drop in international student numbers, which could mean higher fees for British students. That was not in the referendum last year I hear from medical professionals who are worried about recruitment. The NHS is not getting £350 million extra a week, and it is struggling, even with 54,000 staff who are non-UK EU nationals. I hear from the financial sector—my constituency has the third-highest level of financial sector employment in the country—that 7,000 jobs have already gone. Nobody voted to lose their job. I hear from food importers, such as Brindisa today and Mamuska! last week, that have seen costs rise since the referendum by 15%. Those costs are being passed on to consumers and customers. People did not vote to pay more for a dinner out I hear from hotels. Although tourism has gone up since the referendum, there are many non-UK EU nationals working in our hotels, and there are simply not enough unemployed, unskilled Londoners to fill those jobs if we leave. I also hear from exporters in my constituency, who worry about future tariffs and the cost of things such as having to print a different label for beer bottles that will go into the EU market. I hear from people who are very worried about their economic prospects—young professionals who supported the Conservative party at the last election, but who are now politically homeless The former Prime Minister John Major referred to the likes of the former Secretary of State for Work and Pensions, the right hon. Member for Chingford and Woodford Green (Mr Duncan Smith), as “bastards”. The former Prime Minister could not have known that his party would become a whole Government full of bastards, who are absolutely causing economic damage to my constituents and the whole country. At the risk of offending my own Front Benchers as well as Government Front Benchers, I say that my members campaigned vigorously to remain in the European Union, and they deserve a Front-Bench position that is not us signing up to the Government’s position, the Government’s timetable and the Government’s curtailing of debate. It is a disgrace.
