ParlaMint-GB_2017-03-01-commons.u1	1. What recent discussions he has had with the Scottish Government on taxation powers.
ParlaMint-GB_2017-03-01-commons.u140	I thank the right hon. Gentleman for the warmth and courtesy of his remarks in respect of the late Sir Gerald Kaufman The right hon. Gentleman raises an important matter, but it is a matter of debate. I would say two things to him. First, as he will probably have noticed, this matter was treated of by the right hon. Member for East Ham (Stephen Timms) and others yesterday, although that does not preclude further consideration of it today. Secondly, the right hon. Gentleman is a wily old hand in this House, and he knows that by raising the matter in this way on the Floor of the House in front of Members on the Treasury Bench, he has found his own salvation. I cannot help but think that on this occasion he is more interested, as I often observe, in what he has to say to me than in anything I have to say to him.
ParlaMint-GB_2017-03-01-commons.u141	Further to that point of order, Mr Speaker. Could you give guidance to the House? Is it not more appropriate that these matters are raised in departmental questions, and is it not a fact that no Liberal Democrat was present during Work and Pensions questions?
ParlaMint-GB_2017-03-01-commons.u142	It is better for these matters to be raised in the relevant Question Time session. The hon. Gentleman is well seized of that age-old principle of campaigning, namely quantity, persistence and, above all, repetition. I think my short-term memory serves me well. His observation about the absence of members of a particular political party was made the other day, but he has opportunistically seized his chance to repeat it this afternoon. He has made his own point in his own inimitable way.
ParlaMint-GB_2017-03-01-commons.u143	rose—
ParlaMint-GB_2017-03-01-commons.u144	I will come to the hon. Gentleman—I am saving him up.
ParlaMint-GB_2017-03-01-commons.u145	On a point of order, Mr Speaker. May I thank you for responding to my point of order yesterday, which had the immediate effect of securing answers to overdue parliamentary questions from the Department for Communities and Local Government? One question that was due for answer last Friday has still not been answered and you, Mr Speaker, may think that it is very exacting. It asked the Secretary of State when he intends to respond to the letter from the mayor of Christchurch. I cannot understand why we cannot get an answer to that question and I hope that this point of order will embarrass the Department into giving an immediate response.
ParlaMint-GB_2017-03-01-commons.u146	As I advised the hon. Gentleman yesterday, it is the normal expectation that responses from Ministers to written parliamentary questions are both timely and substantive. Moreover, I suggested to the hon. Gentleman that there was a growing spectre of potential embarrassment for Ministers from the relevant Department, the Department for Communities and Local Government—namely, if they did not respond speedily to his question, he might feel inclined to raise points of order over and over and over again about the matter. That would be gravely embarrassing to Ministers and I was sure that they would not want that to happen Ministers will have heard, or will hear very soon, of the hon. Gentleman’s perfectly reasonable question last week and of his point of order about it today and I am sure that they will not want the embarrassment of his coming back to the Floor and raising further points of order about the non-answer. The hon. Gentleman is starting to copy the tactic that has long been followed by the hon. Member for Walsall North (Mr Winnick) and that was followed regularly by the right hon. Member for Manchester, Gorton, the late Sir Gerald Kaufman, of raising in the form of either a further written question or a point of order the fact of a non-answer. That is gravely embarrassing and I feel sure that Ministers will not want it to continue for any length of time. I know the hon. Member for Christchurch (Mr Chope)—I have known him for 30 years—and he is a very persistent fellow.
ParlaMint-GB_2017-03-01-commons.u147	On a point of order, Mr Speaker. May I be the first to take the opportunity to congratulate my hon. Friend the Member for Copeland (Trudy Harrison), who is from a part of the country I know well from when I lived in Cumbria I was fortunate, Mr Speaker, to be selected for the 90-minute debate this morning in Westminster Hall on Iran’s influence in the middle east, but I was unfortunate in taking the Northern line from my Hendon constituency to the Houses of Parliament. The Northern line was suspended, meaning that I and many of my constituents were unable to get here. First, on that basis, may I ask whether a mechanism can be introduced so that if a Member is physically prevented from attending a debate or any other business of the House, someone else can take their place? Secondly, will you look favourably on having an Adjournment debate or another Westminster Hall debate on this issue before the festival of Nowruz on 21 March?
ParlaMint-GB_2017-03-01-commons.u148	I am grateful to the hon. Gentleman for his point of order and, first, thank him for his courteous tribute to the new Member for Copeland, which will be warmly received and appreciated by her and a great many other colleagues to boot Secondly, I am sure that the delay on the Northern line, which is not an uncommon phenomenon—a fact of which I am well aware, hailing from that part of the world myself—was not deliberately contrived to disadvantage the hon. Gentleman in pursuit of his Adjournment debate, but it is nevertheless a very considerable inconvenience Thirdly, I would say to him that hard cases make bad law and I am cautious about the idea—I hope that he will forgive me—that on the basis of his bad experience a new rule should suddenly be introduced. That is something that the Procedure Committee could consider and I would be advised by the House, but I would be reluctant to make any precipitate judgment in his favour on that point Fourthly and finally, seeing as the hon. Gentleman raises his concern with me, I would simply say that the track record shows that on the very rare occasions—two spring to mind, but I will not name the Members for obvious reasons—on which Members unavoidably missed their Adjournment debates, their applications for another such debate soon in substitution were met favourably. I have heard what the hon. Gentleman has said and recognise the importance and urgency of the matter. Perhaps we can leave it there for now.
ParlaMint-GB_2017-03-01-commons.u149	I beg to move, That leave be given to bring in a Bill to enable transgender persons to apply to the registrar of companies for England and Wales for documentation relating to their change of name to be treated as protected information under the Gender Recognition Act 2004; and for connected purposes May I, too, welcome my hon. Friend the new Member for Copeland (Trudy Harrison) and wish her every success in her tenure One of the privileges of being a Minister is having the opportunity to find out more about other people’s lives and concerns. In July last year, I was pleased to be able to publish the Government’s response to the House of Commons Women and Equalities Committee’s report on transgender equality. I am sure that the response did not satisfy all the Committee’s demands, but I believe that it was another step to acknowledging that although we have the Gender Recognition Act 2004 and although the coalition Government published the world’s first transgender action plan in 2011, there is more that could be done by the Government, among others, to address the remaining inequalities, unfairness, violence and discrimination faced by trans people I am sorry that I did not have the opportunity to steer the Government’s continued response on these matters, but I know that my successor as Minister for Women and Equalities, my right hon. Friend the Member for Putney (Justine Greening), and the Under-Secretary of State for Women and Equalities, my hon. Friend the excellent Member for Gosport (Caroline Dinenage), are continuing that important work We were aware that many loopholes remained, and that for every loophole a trans person can worry that something will inadvertently reveal their transition. In my experience, some trans people are quite comfortable telling their own stories. In fact, many trans people are doing inspirational advocacy work in our schools and across our society to break down barriers and to tackle stigma and discrimination about transgender issues. However, for some trans people, their transition and history are very personal and something that they want to choose to share, rather than being forced to do so by someone else. That is the situation that my Bill aims to address In September 2016, I received a letter from Alex, who wrote: “I am the sole director of a company I set up some years back to manage a small property portfolio…When I changed my name and title the process to inform Companies House was actually very easy and my name was updated quickly…I noticed afterwards however, that this change of name and title was recorded in the company filings that are freely available for public inspection on the Companies House website. The document in question is a…Change of Particulars for Director form and clearly states my original name and title and subsequently my new name and title. This very obviously discloses my change of gender to anyone who happens to look at the filing history of my company, publically outing me without my consent. The main issue I take with this is that of safety. In future there will be many people I meet and interact with who will have no idea of my transgender status because I simply will not tell them. If someone later finds out, this could potentially lead to violence, which is a reality that you are already aware the trans community faces.” The potential for inadvertent disclosure comes about because of a conflict between section 22(4)(j) of the Gender Recognition Act 2004 and section 1087(1)(k) of the Companies Act 2006. In her letter to me dated November 2016, the Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Stourbridge (Margot James)—the Minister responsible for small business, consumers and corporate responsibility—makes it clear that the companies registrar must make available to the public all information held on the public register unless he is specifically forbidden to do so by section 1087 of the Companies Act Section 22 of the Gender Recognition Act generally prohibits the publication of protected information held on a transgender person. However, section 22(4) details the circumstances under which it is not an offence to disclose protected information, which are if “the disclosure is in accordance with any provision of, or made by virtue of, an enactment other than this section.” The Minister’s letter states: “The Government is satisfied that this applies to the disclosure of a director’s former name as this is required to be placed on the public record by enactments in the Companies Act. In conclusion the data is not considered to be material excluded from public inspection by the Gender Recognition Act for the purposes of section 1087 of the Companies Act.” I do not disagree with this interpretation, but I think that this is an unintended loophole that needs to be closed. That is what my Bill would do Alex also told me: “In 2004 the GRA came in to place with the clear main goal of protecting people who were at risk of being vulnerable, and it was a world-leading piece of legislation which frankly I’m proud to say came out of the UK. What is happening now with Companies House is an entirely accidental and unfortunate flaw in the way that the GRA 2004 and CA 2006 interact with each other. This flaw is entirely against the spirit of the GRA 2004, and I think that anyone would be hard pushed to argue against that...I’m currently able to protect myself when it comes to my credit profile, my tax profile at HMRC, the FCA register, Government Gateway. I just personally think it is the right thing to do to force Companies House to be held to the same standard.” The Bill would close the loophole by amending the 2004 Act in a way that would allow transgender persons to apply to Companies House to withhold from public inspection information about a director’s former name and for that information to be treated as protected information under section 22 of the 2004 Act Hon. Members and people outside this House might ask why such a disclosure matters. I argue that, as a country, we have provided a legal mechanism for people to change their gender. In my experience, this is not a decision that anyone enters into lightly, and nor does it happen quickly. Again, in my experience, once that decision is made, transgender people want to be able to move on with their lives, to be treated with respect, and to live without the fear of being inadvertently outed or subject to violence I am afraid to say that violence and discrimination do still occur. Home Office figures show that, in England and Wales in 2015-16, there were 858 transgender hate crimes, a 41% increase from the previous year. Living in fear because of who you are is unacceptable in the modern United Kingdom. Can hon. Members imagine what it must like for someone to live in fear of violence because of official documents that they have filed in compliance with a particular Act of Parliament Amending the law can be, even for lawyers, a rather dry topic. As always, however, behind the law lie real lives. In spite of such a fear, I thank those who have contacted me, including Alex. For example, in the course of preparing for these proceedings, I was contacted by another trans person who said to me: “My current position is that I am unable to start my business without running the very real risk of outing myself as a transgender woman. Presently I want to start a business to provide technology and web development services. However as I cannot yet transition I am in the unfortunate position where if I started a business now and then transitioned this information would be publicly available.” I thank the accountant who told me that the advice that they were given was to resign as an existing director and register a new director’s appointment in the new name, although clearly details such as their date of birth would be the same; or to close the company down, have it struck off and then set up a new company, with all the administrative expenses entailed in that course of action Just to illustrate the point, let me quote another message that I received: “I used to do IT contracting and did so via a limited company. I changed my name and title by deed poll in 2012 and also need to change my details at Companies House as a director of my company. I’ve now had gender reassignment surgery and will be applying for my gender recognition certificate as soon as I receive the necessary report from the Gender Identity Clinic. Whilst this will give me a lot of protection in law it will still be possible for people to find out my deadname by interrogating the records of my company at Companies House which could possibly put me at risk if someone found out those details for malicious purposes.” This small legal change would send out a big signal. Altering the Gender Recognition Act would be a simple change to make, yet it would mean a great deal to the many trans people who suffer this problem in silence. The House has an opportunity, by giving me leave to bring in this Bill, to close this inadvertent loophole and to show that we will tackle unfairnesses wherever we find them. I hope that hon. Members will support the motion Question put and agreed to. Ordered, That Nicky Morgan, Mrs Maria Miller, Ben Howlett, Mike Freer, Mrs Flick Drummond, Norman Lamb, Angela Crawley, Jess Phillips, Peter Kyle and Anna Turley present the Bill Nicky Morgan accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 24 March, and to be printed (Bill 149).
ParlaMint-GB_2017-03-01-commons.u150	On a point of order, Mr Speaker. The next item on the agenda is Second and Third Reading of the Supply and Appropriation (Anticipation and Adjustments) Bill. Standing Order No. 56 states that we shall not have a debate and that both Questions will be put forthwith. The Bill says that we will spend £254,713,662,000, but we will be agreeing to it without any debate or scrutiny. We have had the estimates days, but on those days we are not supposed to talk about the estimates and the budget lines provided. Will you give me some guidance, Mr Speaker? At what stage is this House able to scrutinise properly the departmental estimates that come before it, and is there any place in which we can do so adequately?
ParlaMint-GB_2017-03-01-commons.u151	I am very grateful to the hon. Lady for her point of order. Now is not the occasion for me to dilate on the procedure for such matters. I can tell her that her hon. Friend sitting immediately behind her, the hon. Member for Glasgow North (Patrick Grady), is very familiar with this procedure; he is certainly very familiar with his own discontent with it, upon which he briefly expatiated earlier in the week The way in which we treat of these matters is based on decisions that the House has made, and on the relationship between the House as a collective entity on the one hand, and our Committees on the other. If the hon. Lady is dissatisfied with the procedure—she has every right to be—that is a matter she should properly pursue through the appropriate channels in the House. For example, she could legitimately raise her concern with the Procedure Committee. My responsibility as the occupant of the Chair is to give effect to the procedure that is extant and has been approved by the House. If she wishes to change it, she can seek to do so, and if it were changed, I would operate the changed procedure. I think we had better leave it there for today Supply and Appropriation (Anticipation and Adjustments) Bill Motion made, and Question put forthwith (Standing Order No. 56), That the Bill be now read a Second time Question agreed to. Bill accordingly read a Second time. Question put forthwith, That the Bill be now read the Third time Question agreed to. Bill accordingly read the Third time and passed.
ParlaMint-GB_2017-03-01-commons.u152	I beg to move, That the Bill be now read a Second time Buses are England’s most used form of public transport. With over 4.65 billion passenger journeys a year, they account for over 60% of all public transport trips. Buses support our economy, and they connect our communities to the workplace and vital public services, such as healthcare and education. They help to reduce congestion, and cleaner bus technologies also contribute significantly to improving air quality. The Government continue to regard this as a priority, and we are helping to drive it forward through investing in schemes such as the £30 million low emission bus scheme and the £7 million in the clean bus technology fund Across England, the bus industry is delivering excellent services for passengers. According to the most recent bus passenger survey by Transport Focus, 86% of passengers were satisfied with their services. Buses today are very different from the buses of 30 years ago: over 90% are accessible; many have free wi-fi, CCTV and USB charging points; and nine out of 10 have smart ticketing equipment. That is all thanks to significant private sector investment in the industry. I am particularly pleased that the five largest operators are continuing to invest in better services and that they will bring contactless payment to every bus outside London during the next five years. We have an industry of large and small firms, with large firms doing a good job and small firms doing a good job.
ParlaMint-GB_2017-03-01-commons.u153	Will the Secretary of State congratulate our municipal transport company, Blackpool Transport, on not only introducing a new fleet of accessible buses, but making a profit last year of £1.38 million, £1 million of which was returned as a dividend to the council? Does not that make the case for extending rather than stifling municipal bus companies?
ParlaMint-GB_2017-03-01-commons.u154	There is no doubt that in a small number of places, municipal bus companies have survived and that, in a place such as Blackpool, they play an important role in the local transport system. However, the Government do not believe that extending the provision of bus services to council after council is the right approach. It will stifle the private sector investment that has made such a significant difference. However, I pay tribute to Blackpool, which has also done excellent work on the tram system. Those of us who look back to the days of taking “The Ship” and the other historic trams up and down the seafront are slightly disappointed that that can now happen only at illumination time.
ParlaMint-GB_2017-03-01-commons.u155	The Secretary of State has talked about the bus service 30 years ago. Of course, the biggest difference is that buses are now genuinely accessible. Does he agree that it is welcome to see provision for audio-visual information, which my constituents have regularly raised with me?
ParlaMint-GB_2017-03-01-commons.u156	My hon. Friend is right. It is of paramount importance that we look after people with disabilities on our buses. An important part of that is ensuring that the right information is available and that we have the most accessible possible bus fleet. I am particularly pleased about the number of our newest buses that are manufactured in this country by some excellent firms.
ParlaMint-GB_2017-03-01-commons.u157	Will my right hon. Friend confirm my understanding that the Bill is an enabling measure, and that there will be no compulsion on local authorities to change bus services when the arrangements between the council and the bus operators mean that a good service is already provided?
ParlaMint-GB_2017-03-01-commons.u158	As I go on to talk about the Government’s approach to the Bill, I absolutely assure my right hon. Friend that it is not about forcing anybody down a route to change. No local areas should countenance asking or pushing for change unless they have a clear plan for delivering improvements for passengers. The Bill is not and should not be simply about moving deckchairs around.
ParlaMint-GB_2017-03-01-commons.u159	I am listening carefully to the Secretary of State. Bus passengers in many parts of England will think that he is living in a different world from them. In the 30 years since the deregulation of buses, fares have gone up and services have been withdrawn from poorer, often isolated communities. The picture that the Secretary of State paints would not be recognised in Greater Manchester. If the policy has been a success, would not bus patronage have increased? Will he confirm that, in those 30 years, it has gone down, down and down throughout England?
ParlaMint-GB_2017-03-01-commons.u160	If people step on to a bus today, it is a wholly different experience from doing so in the past. We have a relatively new fleet and much better buses, and the purpose of the Bill is to ensure that we have the best possible services for passengers in future. I made the point to my right hon. Friend the Member for East Yorkshire (Sir Greg Knight) that any change that arises out of the Bill should happen only if it will benefit passengers. My expectation and belief is that mayoral authorities and others will pursue change only if it will obviously improve things.
ParlaMint-GB_2017-03-01-commons.u161	I agree with the Secretary of State—change should be made if will improve benefits to passengers. That will certainly be the case for my constituents, as I am sure he will agree. Currently, one company serves the route in one direction, a different company serves the journey back and my constituents have to buy two tickets. Does he agree that that is nonsense?
ParlaMint-GB_2017-03-01-commons.u162	Having parties on both sides for several years has led to partnership agreements and now the Bill will ensure that we have the best possible arrangements for passengers. It is indisputable that the investment from the private sector over a long period has led to the improvements that I described in the bus fleet.
ParlaMint-GB_2017-03-01-commons.u163	I have a note from the chief executive of one of the main bus operators in South Dorset. Although, as private bus operator, he welcomes the Bill, believing that working together is a good idea, he thinks that franchising is a slightly perverse route for a Conservative Government to follow. He states: “If a franchise model was adopted, this could lead to a future layer of bureaucracy being introduced, and the local authority would be designing the bus network and setting prices.” Will my right hon. Friend comment on that point?
ParlaMint-GB_2017-03-01-commons.u164	The essence of the Bill is that franchising will be available to mayoral authorities automatically, but to deliver change, they will still have to demonstrate that it would benefit passengers. They will have a legal duty to do that, otherwise their decision will be subject to judicial review. Other authorities will have a duty to demonstrate to the Secretary of State that they will transform services to get permission to make a change. Ultimately, the Bill is about the passenger, who has to come first Bus networks in England’s six metropolitan areas are estimated to generate £2.5 billion of economic benefits every year. They are a lifeline for many rural communities, which I will talk about shortly Let me make it very clear: the Bill does not introduce wholesale re-regulation of the bus market. It is not a return to a pre-1986 world of local councils running bus services. Private operators will continue to dominate the bus market. They will still deliver services, whether through the current arrangements, improved partnerships or franchising. The aim of the Bill is to increase bus passenger numbers and to improve bus services by giving local authorities and operators new options. The Bill builds on existing partnership powers, making them more attractive and easier to use, and introduces new, enhanced partnership scheme powers, which will enable local authorities to work with bus operators and introduce a set of standards for bus services in their areas. They both operate in a deregulated environment where commercial operators can make decisions about where and when buses run The Bill also refreshes bus franchising powers, honours our devolution deal commitments and recognises the successes of the franchising model that was introduced for London in 1984. One of those successes is the easy access that London bus passengers have to information about their bus services, with over 500 smartphone apps available. The Bill will make it easier for passengers throughout England to get such information on timetables, fares and routes. That is particularly valuable in rural areas where bus services may be less frequent.
ParlaMint-GB_2017-03-01-commons.u165	In 1986, South Yorkshire had a renowned bus service. It was cheap, frequent and comprehensive and 268 million passenger journeys were made. Since deregulation, that figure has fallen by 62% to 102 million. I welcome the regulatory powers in the Bill, but if the Secretary of State does not extend them beyond mayoral combined authorities, what criteria will he use to judge other requests for franchising from areas that do not automatically get it under the Bill?
ParlaMint-GB_2017-03-01-commons.u166	As I said earlier, there has to be a point of accountability. That is the mayor in a mayoral authority and the Secretary of State in other areas. Any change must deliver benefits to passengers. Since 1986, this country is more prosperous, with broader car use. We want improved public transport, particularly in cities, where there is congestion and better bus services can make a real difference. We will offer those cities the opportunities to develop schemes that they believe will work for them locally, but we are clear that any change should deliver benefits to the public.
ParlaMint-GB_2017-03-01-commons.u167	On data, in London, Transport for London owns the data and was able to make them freely available to all the creative web developers out there who wanted to make interesting apps. The problem outside London is that the data are owned by private sector companies, which hoard them in the hope of monetising them in some way. The powers in the Bill to force those companies to make the data open source and stimulate innovation in the app market are important.
ParlaMint-GB_2017-03-01-commons.u168	The hon. Lady is right. There is no reason in today’s world for such information to be anything but widely available to the public. We believe in open data and the best possible passenger information right across our transport system. The Bill will make a significant difference in that respect That point is important. The focus of every option in the Bill should be on what delivers for the passenger. I want and expect the industry and local authorities to use the powers in the Bill, whether on franchising or enhanced partnership, to work together to put the travelling public first I make it absolutely clear that the Bill in its current form is not the Act that the Government wish or intend to pass. A number of changes were made to the Bill and the proposals we tabled that we believe are not in the interests of passengers, and that we will seek the consent of the House to reverse. The changes are also not in the spirit of the devolution deals we have reached. After I have given way a couple more times, I will describe what the Government intend each of the main parts of the Bill to achieve.
ParlaMint-GB_2017-03-01-commons.u169	I remember you, Mr Speaker, warning me that making remarks about bus companies is one of the most dangerous things any MP can ever do. Nevertheless, like my hon. and gallant Friend the Member for South Dorset (Richard Drax), I have had representations from my local bus company, Bluestar, which welcomes the provisions of the Bill in so far as they enhance partnership schemes, but which worries about the potential of franchising arrangements to introduce rigidity into the system and lessen the circumstances in which an enterprising bus company will introduce, for example, new routes at its own risk, unlike a cautious local authority that would be unprepared to take that risk. Will the Secretary of State comment on that?
ParlaMint-GB_2017-03-01-commons.u170	I absolutely agree with my right hon. Friend. I make it clear again that, while we are extending the kind of franchising powers we see in London to other big cities and mayoral areas, it is not the Government’s intention to offer automatic franchising powers to other areas. Other areas that want to make franchising proposals will have to demonstrate clearly that they can provide an improved service for passengers. When making those decisions, we should bear in mind the flexibility and rapid innovation he describes.
ParlaMint-GB_2017-03-01-commons.u171	As my right hon. Friend will be aware, the Government signed a devolution deal with Cornwall in 2015 to give Cornwall Council bus franchising powers. Does he agree that, in a county that has historically suffered from poor public transport, that will enable more buses to be on the road and more routes, and make Cornish communities more resilient and connected?
ParlaMint-GB_2017-03-01-commons.u172	My hon. Friend is right, but the interesting thing about Cornwall is that it is proceeding without seeking to use those powers, precisely because it has forged a better and stronger partnership with the local bus companies, which are already enhancing those services. That is my point. We are not seeking particular structures in particular places. We are seeking to ensure that we provide the best possible services for passengers around the country. Cornwall is already doing a very good job of that.
ParlaMint-GB_2017-03-01-commons.u173	rose—
ParlaMint-GB_2017-03-01-commons.u174	I will give way one more time and then make a good deal of progress, because other hon. Members wish to speak.
ParlaMint-GB_2017-03-01-commons.u175	The Bill will do all sorts of good things, but it conspicuously fails to do anything for young people’s travel or mandate local authorities to consider it. Why not?
ParlaMint-GB_2017-03-01-commons.u176	It is somewhat ironic that the hon. Gentleman, whose party has always argued for localism, argues for centralisation of something that I believe should be a local decision. That is a matter for local decision making and local priorities. I have no doubt that Southport Council will take wise decisions about what is best for that town, as will others around the country As I said, the franchising powers are not entirely new—they have been available in London for many years—but are being refreshed. Franchising enables local authorities to specify the services that should be provided to local communities, with bus companies competing for contracts to provide those services. Local authorities that implement franchising will have more influence on where and when services run, but they will remain commercial operations, with the private sector providing those services That is what happens in London. The deregulation of the London bus market took place in the 1980s, but took a path different from the market outside London. Competitive tendering in London was introduced in 1985, and privatisation of the bus companies took place in the mid-1990s. That has evolved into a network with almost 2.3 billion passenger journeys a year. Those powers are being extended to other Mayors in other parts of the country, to give them the opportunity to operate in the same way as London. The Bill therefore provides for the Government’s intention for all combined authorities with elected Mayors to have automatic access to franchising powers.
ParlaMint-GB_2017-03-01-commons.u177	I am listening carefully to the Secretary of State. He praises the London model. Is he therefore saying that the model and experiment inflicted on the rest of the country has, as Labour Members believe, been a total disaster? Is he saying that deregulation as introduced in 1985 was, in hindsight, a major mistake?
ParlaMint-GB_2017-03-01-commons.u178	I do not believe it was a major mistake, because we have seen substantial investment from the private sector that would not otherwise have happened. The interesting test for the right hon. Gentleman if he is successful in his mayoral bid in Greater Manchester—I say “if” because he has issues to deal with, such as the reputation of his party leader and the strength of other candidates—is whether he manages to use those powers to deliver the better bus services for which he argues. I will watch with interest if he is successful.
ParlaMint-GB_2017-03-01-commons.u179	I welcome the Bill, but the Secretary of State is on a very thin point when he justifies what has happened over the past 31 years with investment in new buses. Does he realise that that investment has come from the extreme exploitation of bus passengers, particularly in metropolitan areas, where bus companies exploiting monopoly positions have been able to get a rate of return on capital that is much higher than they would get from real competition, and much higher than companies get in the franchised London area?
ParlaMint-GB_2017-03-01-commons.u180	In a sense, the hon. Gentleman argues against himself. He complains about competition in those areas, but at the same time says that bus companies have been able to exploit monopoly positions. That is inconsistent. We will see whether the next Mayor of Manchester manages to demonstrate that he or she can do a better job than the private sector. That is the test. Let us see whether they can deliver that. If the right hon. Member for Leigh (Andy Burnham) is successful in his campaign, we will watch with interest This is not just about mayoral authorities but about authorities elsewhere. I want to be clear that, while we are open to plans from other authorities to take franchising powers, we will give them only if they can demonstrate that they can do a better job than the current one. A compelling case needs to be made before any other authority receives consent. The key point is that we have the point of accountability with the Mayor, who will have a legal duty to demonstrate an enhanced service, or a point of accountability in the Government, who likewise will judge whether a proposal will deliver that enhanced service.
ParlaMint-GB_2017-03-01-commons.u181	One of the great successes in London was the introduction of smartcard ticketing, which increased the number of passengers on public transport. Will our excellent Conservative candidate for the West of England Mayor, Tim Bowles, be able to introduce smartcard ticketing using the Bill?
ParlaMint-GB_2017-03-01-commons.u182	Smartcard ticketing is important, and the Bill should give the powers and flexibility to introduce it. I want not smartcard ticketing that links simply to one mode of transport, but integrated ticketing on a common platform, so people do not have to have a different card for every city. One of the good things we see is bus companies almost entirely using ITSO technology. The same technology is now used for smartcards on most of our railways, so we have the potential for interoperability and to make our transport system properly integrated Ninety per cent. of buses operating local services in England are fitted with smart ticketing. Major operators have committed to introducing contactless payment on all their buses by 2022, but the vast majority of bus fares are still payed in cash. Some operators even require exactly the right change. In response to my hon. Friend’s point, we are updating in the Bill the existing powers to establish multi-operator ticketing schemes to recognise that latest technology. The Bill will allow a local authority to require all operators within its area to sell and accept a particular multi-operator smartcard. Under the powers, local authorities will not be able to set the price of the products—they cannot fix the fares, but will be able to determine the technology, which is important in ensuring that we get integration locally That might be enough to improve services for passengers in some areas, but if not, the Bill offers further options. For example, new enhanced partnership schemes enable greater integration of ticketing. They allow authorities and operators not only to agree the price of multi-operator tickets, but to set common ticket zones or concessions and to join other modes, with their agreement, to offer an integrated ticket I will pick up briefly on the open data point made by the hon. Member for Wakefield (Mary Creagh). I want to make it simpler for passengers to plan their journey and to know when their bus will arrive and how much it will cost. She is absolutely right that there is enormous variability across England, and it is essential that that changes. Where the service is good, passengers have access to real-time information, but where it is not good, they do not, and it is important that the former becomes universal. The open data provisions in the Bill are designed to allow public transport app providers, such as Citymapper and Traveline, among others, to develop a new generation of products that will do precisely that The Bill will also introduce new arrangements for local authorities and bus operators to work together in partnership. Partnerships between bus operators and local authorities appear to be working well in some areas and passengers are happy. Liverpool, for example, the city of origin of the right hon. Member for Leigh, the Labour mayoral candidate in Manchester—an unusual achievement, if I might say so—has developed strong partnerships with the private sector. It might be something that the next Mayor of Manchester, Conservative Councillor—[Interruption]—Sean Anstee, will decide to introduce when he beats the right hon. Gentleman to the post. [Hon. Members: “He didn’t know his name!”] The note is about something completely different.
ParlaMint-GB_2017-03-01-commons.u183	Now that the Secretary of State has found out the name of the Conservative mayoral candidate for Greater Manchester, and given that the Labour candidate has said what his policies are, can he name one policy on transport from the Conservative candidate in Greater Manchester?
ParlaMint-GB_2017-03-01-commons.u184	The note is actually about my right hon. Friend the Member for New Forest East (Dr Lewis) I will tell the House what my colleague in Manchester will do. He will deliver an efficient system, end some of the failures of Labour administrations of Greater Manchester and build on the excellent work done by Conservatives in councils such as Trafford. We will work together to deliver improvements on the Northern rail franchise that will benefit Greater Manchester and the rest of the north and we will discuss ways to improve further the Metrolink, in which the Government have invested. I am proud of the work the Government are doing in Greater Manchester. The Ordsall Chord, the construction of which, funded by the Government, has already begun, will deliver trains between Manchester Piccadilly and Manchester Victoria for the first time, creating a wholly different experience from the days when I commuted into Manchester city centre by bus from the other side of Salford.
ParlaMint-GB_2017-03-01-commons.u185	I had not wanted to divert the House from buses to trains, but happily the Secretary of State has already done it. He is right that the Ordsall Chord is incredibly important for transport links in Greater Manchester. Will he confirm that the Government will also ensure investment in platforms 15 and 16 at Piccadilly station, because without it the investment in the Ordsall Chord will be wasted?
ParlaMint-GB_2017-03-01-commons.u186	I am committed to ensuring that we enhance Manchester suburban rail networks and have the capacity we need to deliver it. Going back to buses, I remember what the buses in Manchester were like back in the early 1980s. I used to commute from Worsley into the centre of Manchester on a bus through Salford, and believe me the quality of bus today is better than it was then.
ParlaMint-GB_2017-03-01-commons.u187	In reflecting upon regional mayors, will the Secretary of State join me in welcoming the policy focus from Andy Street, the West Midlands Mayor, on east-to-west connectivity across rail and bus networks? Is this not in the sharp contrast to Sion Simon, the Labour Mayor—
ParlaMint-GB_2017-03-01-commons.u188	Order. I have two problems: they cannot both be Mayor—they are both candidates—and I do not want us to get into electioneering.
ParlaMint-GB_2017-03-01-commons.u189	Who is the Lib Dem candidate?
ParlaMint-GB_2017-03-01-commons.u190	I suspect that none of us knows the name of any Lib Dem mayoral candidate in any part of the country. That certainly unites us today. On Andy Street and Birmingham, I would say that Birmingham is a great city that would really benefit from the wisdom and expertise of an experienced business leader, rather than a failed Labour MP.
ParlaMint-GB_2017-03-01-commons.u191	I thank the Secretary of State for giving way to me one more time, and I hope he will forgive me for butting in on his eloquent address, but I have to go to a Committee in 10 minutes. My bus operator is concerned that, if in the franchise modelling the revenue is reduced, there is a risk that the shortfall will be made up from other means that will affect the local taxpayer and business rates payer.
ParlaMint-GB_2017-03-01-commons.u192	This is the essential point. We have to ensure both public and private funding for buses. Those who seek to make a change need to understand the impact and be certain that they will bring improvements to passengers. There is sometimes a dogma and ideology that assumes that greater state control means a better service, but often a lack of private sector investment means nothing happens at all—so it is the other way around.
