ParlaMint-GB_2017-12-05-lords.u1	To ask Her Majesty’s Government what actions they plan to take to tackle rural poverty.
ParlaMint-GB_2017-12-05-lords.u78	My Lords, yes, I agree with that. My right honourable friend the Prime Minister was clear in her statement of 4 June that “enough is enough”. We need our counterterrorism strategy, which is currently being worked up in the Home Office, to keep up with a number of fast-moving areas. One is most definitely to tackle terrorist ideology and to deny online safe spaces to terrorist communications, part of which will be to ensure that warped doctrine does not reach the internet. However, we also need to deny safe spaces in the real world so that malign and misleading published material is not promulgated.
ParlaMint-GB_2017-12-05-lords.u79	My Lords, I welcome the Statement repeated by the Minister and the report. Does he agree that the report illustrates well the importance of surveillance and good intelligence in preventing—in many cases—large-scale conspiracies to commit terrorist acts? However, it is of course more difficult with lone-wolf attacks, which are probably inspired over long periods of time without the necessary ingredients of a large-scale conspiracy. It is extremely difficult to prevent those offences. Consequently, all we can hope to do—I hope the Minister agrees with me—is to minimise the damage done once one of those attacks is commenced. The answer to that is more armed response officers in the area. Is there any plan to increase the number of armed response officers on the streets of the United Kingdom?
ParlaMint-GB_2017-12-05-lords.u80	My Lords, I pay tribute to the noble Lord’s knowledge and experience in this area. He will know that policing requirements are assessed almost day by day, and a particular situation may well require more armed police officers to be stationed in particular locations. I cannot generalise about that, but I am sure that noble Lords will all be conscious that the Palace of Westminster has seen a much tighter degree of security from armed police in recent months, for which we should be grateful On the noble Lord’s general point, I agree. Surveillance is important but, as David Anderson himself acknowledges, it is impossible for the authorities to prevent every single terrorist attack. In his executive summary he says in terms that the recommendations, if accepted, would not remove the risk of a terrorist attack—to do so would be manifestly impossible in a free society. He also mentions that MI5 and CT policing have thwarted 20 Islamist terrorist plots in the past four years, resulting in 10 life sentences from the seven plots that have so far come to trial. So we can point to some signal successes achieved by MI5 and the police, but they cannot possibly be expected to pick up lone-wolf attackers.
ParlaMint-GB_2017-12-05-lords.u81	My Lords, I thank my noble friend for repeating the Statement. I agree that it is the responsibility of us all to ensure that we do all we can to prevent these terrorist attacks. Much of this evidence is now in the public domain, but can he confirm that in each of the attacks by so-called Muslims—Khalid Masood, Salman Abedi and Khuram Butt—these individuals had been reported to the authorities by friends, family or members of the communities in which they worked and operated? In the light of the Government’s commitment, can he also undertake to ensure that all those attracted to terrorism are prevented from going down that route, and that the Government will look again at the recommendation of David Anderson, Human Rights Watch and individuals in the security services and the police to now have an independent review of the Prevent strand of the Contest strategy?
ParlaMint-GB_2017-12-05-lords.u82	My Lords, as the Statement made clear, a number of the attackers in each of these incidents were, to put it loosely, on the radar of the authorities as either open or closed subjects of interest. I am afraid I am not aware of how exactly those people’s names came to the attention of the authorities but, if I am able to shed further light on that, I will of course inform my noble friend I hope my noble friend will agree that, if we did not have the Prevent strategy, we would need something very like it, because it is all about taking an end-to-end approach in the community and ensuring that partners work together to share information and that those who are vulnerable and susceptible to malign indoctrination are protected and not radicalised. I will write to my noble friend to let her know where the thinking in the Home Office has reached on the progress of the Prevent strategy, but I think it is doing very good work, and we can point to some welcome statistics on the number of people who have been successfully counselled.
ParlaMint-GB_2017-12-05-lords.u83	My Lords, from these Benches I very much welcome the Statement and the sentiments in it, particularly its focus on the direct victims. However, there are also indirect victims of such attacks—those who are made to feel more afraid simply to go about their daily lives. That includes a lot of people, not least many in our Muslim communities. Does the noble Earl agree that, as a result of these attacks, it is very important to do all we can to increase the feeling of safety among those in Muslim communities, seeing them not just as people who must be targeted for information but as people who are part of our wider community and whom we must cherish and care for, helping them to feel safe and welcome? This includes not just community policing but many other areas of work with them, and it includes a very strong focus on dealing with right-wing extremism, which would threaten those communities.
ParlaMint-GB_2017-12-05-lords.u84	The right reverend Prelate makes a series of excellent points and I of course agree that we need to remember that there are sometimes hidden victims in all this, not least in our ethnic minority communities, who may feel—wrongly, in my view—that they are being put under pressure or discriminated against. However, that feeling needs to be addressed, and I know it is very real among some communities On victim support more generally, we are very aware of the need to ensure that effective, comprehensive and co-ordinated support is available, which is why the Government created a new cross-government victims of terrorism unit earlier this year. We have worked closely with each local area affected by the attacks, alongside the police, the third sector and other agencies, to make sure that support to victims is comprehensive and effectively delivered.
ParlaMint-GB_2017-12-05-lords.u85	I noticed that the Minister responded to the noble Lords, Lord Rosser and Lord Paddick, by saying that our focus must be on counterterrorism policing. I worked in that field for nearly 10 years, and I am afraid that that is not the answer. Counterterrorism policing, as a budget, is likely to take money from other parts of the police budget—it is a continuum. As both noble Lords said, community policing is a vital part of the counterterrorism process and if, as in Norfolk, the decision is taken to remove all the police community support officers, we are failing in our approach. It is not right to say that the focus must be on counterterrorism policing as a budget; I ask the Minister to consider that as a mistake that has been made for at least the last 15 years.
ParlaMint-GB_2017-12-05-lords.u86	I of course take note of the noble Lord’s very well-informed comments. I undertook to write on the whole issue of policing and the approach the Home Office is taking, and I will make sure that his observations are factored in to that letter.
ParlaMint-GB_2017-12-05-lords.u87	The Statement makes it clear that, as Islamic State has been expelled from most of the territory it occupied in Iraq and Syria, there has been a great dispersal of those fighters. The Government said that 850 potential fighters went out to join ISIS—there can be no clearer commitment to the objectives of terrorism than having done that. Of the 850, we gather, 15% have been killed, some 400 have already returned and 300 remain, perhaps waiting to return. Has the time not come to make it absolutely clear that anyone who has left this country to fight for ISIS should not be allowed back? We cannot afford to take that risk, or to pay the huge costs of dealing with them if they do come back. Do the Government have legislative power to stop them coming back and if not, will they take such powers?
ParlaMint-GB_2017-12-05-lords.u88	My Lords, I will be advised on whether this is correct but my understanding is that the authorities have sufficient powers to apprehend and intercept anyone who is known to have joined a terrorist organisation overseas when they return to this country, and those people should expect to be subject to arrest and detention where appropriate. There are provisions in law for removing passports from certain individuals, but I would need further advice as to the conditions of those, and I will write to my noble friend about that.
ParlaMint-GB_2017-12-05-lords.u89	My Lords, I got the impression while the noble Earl was speaking that the general public might have no real comprehension that they, too, have a part to play, and think that this is essentially something that can be left to the services. I am old enough to recall what we did just before the last war with the “Careless Talk Costs Lives” and similar campaigns. On the whole, those were remarkably successful. I am sure that no one wants to panic, but I believe that someone could examine how that was done. For example, people buy considerable quantities of certain chemicals. Every year, I buy two hundredweight—to use an old term—of a certain chemical for gardening purposes, although I will not mention the chemical. I was asked what I use it for. The noble Earl has mentioned a similar example. Actions like that could provide the public services with more information than they get now.
ParlaMint-GB_2017-12-05-lords.u90	I am grateful to the noble Lord for his suggestions; indeed, they resonate very closely with comments made by David Anderson in his report, when he talked about the need for the public sector and the private sector to work together rather more than they do to keep the public safe. I would go further. The Government cannot and should not seek to carry out their work without drawing on the significant expertise that the private sector and, indeed, private citizens can offer. This is not about spying on innocent people; it is about enlisting the support of retailers, for example, both online and physical, to report any suspicious activity. We know that schemes such as Neighbourhood Watch have been extremely successful in their own way in preventing household crime. Perhaps that is something that could be developed rather further to encompass the kinds of crime that we are now discussing.
ParlaMint-GB_2017-12-05-lords.u91	My Lords, one of the terrorists, Khuram Butt, is reported to be an acolyte of Anjem Choudary, who virtually became a household name. He was given the oxygen of publicity and a platform to carry on spewing his vile hatred. That is something that we need to take into account and stop Unfortunately, preachers inspired by the Wahhabi faith are still coming over from Saudi Arabia and preaching in mosques up and down the country. That is going on. I spoke recently to the family of a young man who is now distant from the family. He has been groomed and cut off from his family. He has dropped out of university and all he does is go round preaching. I am not saying that he would go out and do something but he has been groomed. What is being done to monitor the situation? These imams are coming over from Saudi Arabia and being given platforms in British mosques where they should not be and have no business. What is being done? Are they being monitored, and what is being done to prevent them entering the country in the first place?
ParlaMint-GB_2017-12-05-lords.u92	My Lords, whenever there are reports of imams or anyone else preaching seditious material or any other kind of malicious doctrine, those reports are followed up. As the noble Baroness will know, the full force of the law is there to bear down upon them. The challenge is to find out where these people are and who they are. That is something that the community as a whole can play a part in highlighting. It cannot solely be for the police to do that. Indeed, it is important that communities should not feel that they are being spied upon all the time.
ParlaMint-GB_2017-12-05-lords.u93	My Lords, does the Minister agree that one of the things that is encouraging about David Anderson’s report is the clear evidence of a complete lack of complacency in both the Metropolitan Police and MI5 and the self-criticism of their own performance? That has led to their producing 126 recommendations. David Anderson, as far as he goes, supports those recommendations, and we know that the ISC will look at them in detail. As the Minister said, there will also be other ways in which their performance will be scrutinised in the inquests. I, for one—and, obviously, I declare a strong interest—am proud that everyone I know who has been working on this, working extremely closely with the Met, has looked with great self-criticism at their own performance Perhaps I may be allowed to answer the noble Lord’s question. A great amount of information from the public reaches both the police and the Security Service. That does not undermine the discussions on the need for community policing, but many plots have been stopped because of information from members of the public in the first instance. People are not ignorant of the need to help.
ParlaMint-GB_2017-12-05-lords.u94	My Lords, I am grateful to the noble Baroness, with her extensive experience in this field. She is of course right that we can be proud of how the police and MI5 have addressed their own performance in the way that these cases have been investigated. David Anderson is very clear that their process was thorough and fair. Nevertheless, it is reassuring to us all that we did commission David Anderson to do this exercise. It was not that the police and MI5 were not trusted to do the job but, on some occasions, we need that added element of reassurance which we have received clearly from Mr Anderson.
ParlaMint-GB_2017-12-05-lords.u95	My Lords, I shall now repeat in the form of a Statement the Answer given to an Urgent Question in another place: “Mr Speaker, negotiations regarding our exit from the European Union are ongoing as we speak. Indeed, we are in the middle of an ongoing round, and as such I will have to be more circumspect than usual. We held further talks in Brussels over the past few days and progress has been made, but we have not yet reached a final conclusion. However, I believe that we are now close to concluding the first phase of the negotiations and moving on to talk about our future trade relations. There is much common understanding, and both sides agree that we must move forward together Our aims in this negotiation remain as they always have been. In particular, on the issue of Northern Ireland and Ireland, we have been clear that we want to protect all elements of the Good Friday/Belfast agreement, to maintain the common travel area and to protect associated rights. We want to ensure that there is no hard border between Ireland and Northern Ireland. We recognise that, as we exit, we must respect the integrity of the EU single market and the customs union, but we are equally clear that we must respect the integrity of the United Kingdom There remain some final issues to resolve that require further negotiation and consultation over the coming days. Our officials are in continuous contact, and we expect to reconvene in Brussels later this week for further negotiations. I or the Prime Minister will formally update Parliament once this round of negotiations concludes, as I have done for every round so far. As was made clear by the comments from President Juncker and President Tusk yesterday, all parties remain confident of reaching a positive conclusion in the course of the week”.
ParlaMint-GB_2017-12-05-lords.u96	My Lords, all that without a blush. I thank the Minister for repeating a somewhat embarrassing response, given yesterday’s climbdown. Indeed, it seems that the only negotiations taking place are between the Government and the DUP, or within the Government, which is part of the Prime Minister’s failure in the election campaign Yesterday unravelled over regulatory alignment. However, just as Scotland, Wales and London are saying, “If such a deal is good enough for Ireland, it is good enough for us”, so also if there is to be regulatory alignment with the EU, which we support, surely it must be UK-wide. Can the Minister ask the Prime Minister to rethink her hasty decision to rule out remaining in the customs union regardless of cost, border controls and checks—and indeed, Northern Ireland?
ParlaMint-GB_2017-12-05-lords.u97	I thank the noble Baroness for her question, but I am slightly perplexed by the attitude of the Opposition Front Bench in another place. John McDonnell has said: “I think people will interpret membership of the single market as not respecting that referendum” Barry Gardiner, the Shadow International Trade Secretary, has said that a permanent customs union is “deeply unattractive”: “As a transitional phase, a customs unions agreement might be thought to have some merit. However, as an end point it is deeply unattractive” He has also argued that remaining in the customs union would be a “disaster”. Perhaps the noble Baroness should talk to her colleagues before she criticises us.
ParlaMint-GB_2017-12-05-lords.u98	My Lords, the Government claim that they are clear that we must respect the integrity of the United Kingdom, yet the wording being discussed yesterday was only about continued regulatory alignment on the island of Ireland. I understand that, in the other place this morning, the Brexit Secretary tried to square the circle by asserting that regulatory alignment will apply to the whole of the United Kingdom. Can the Minister affirm that it is now government policy for the whole of the UK to stay in the single market and the customs union? In that context, I welcome what seems to be the evolving position of the Opposition. Better still, will the Minister tell us that government policy will soon be to allow the British people, in this context of chaos, to choose to remain in the EU?
ParlaMint-GB_2017-12-05-lords.u99	The Liberal Democrats have obviously forgotten that the British people have already made a choice on the matter. The Liberal Democrats put the option to remain in the EU to the British people at the last election, and they got 7% of the vote, I think. However, it would be wrong for me to comment on the details of negotiations at this stage. These are sensitive matters and we should not prejudice ongoing negotiations, as we have not yet reached agreement. Talks continue; yesterday, the Prime Minister confirmed in her statement to the press that we expect them to continue throughout the week in both London and Brussels. The noble Baroness can be assured that, when we have a conclusion, we will report back to the House.
ParlaMint-GB_2017-12-05-lords.u100	My Lords, can the Minister confirm that the Government’s policy will not put the integrity of the United Kingdom at stake and will always support the four constituent parts of the United Kingdom to be treated the same?
ParlaMint-GB_2017-12-05-lords.u101	I agree totally with the noble Lord. The whole of the United Kingdom voted to leave the European Union; the whole of the UK will leave the European Union.
ParlaMint-GB_2017-12-05-lords.u102	My Lords, has the Minister had the chance to look at the report that I sent him last week? It was launched formally here in Parliament last night and concerned the position of the Irish in Britain and how they will be affected after our withdrawal from the European Union. Will he agree to place in your Lordships’ Library a copy of his response, particularly relating to the implications for the 1949 Ireland Act and the common travel area?
ParlaMint-GB_2017-12-05-lords.u103	The noble Lord asks a good question. I have seen his letter and report. The situation of the Irish in the United Kingdom is of great personal interest to me. I will send him a reply in due course and would be happy to place a copy of it in the Library.
ParlaMint-GB_2017-12-05-lords.u104	My Lords, at the present time, the Government are the Conservative Party, with the help of the DUP. If the Labour Party were in government, it would be legitimate to put questions to the Government in the shape of the Labour Party. In the Statement—on page 2 in the printed version—there is a Rubik’s cube. It wants to ensure no hard border; it wants to recognise the integrity of the single market and the customs union; and it wants to respect the integrity of the United Kingdom. As stated, that Rubik’s cube is impossible to solve unless we stay in the European Economic Area in some shape or form. If the Minister disagrees, on what basis does he do so?
ParlaMint-GB_2017-12-05-lords.u105	My Lords, we agree with the Shadow Chancellor and the Shadow International Trade Secretary that remaining in the customs union and the single market would be a disaster for the United Kingdom. They are not correct on many issues, but they are on these ones. It is taking so long to reach an agreement because these are difficult and complicated areas. Given the history of Ireland and Northern Ireland, it is particularly important that we get the discussions right, reach an agreement and respect the Good Friday agreement, but that we respect the referendum that took place.
ParlaMint-GB_2017-12-05-lords.u106	My noble friend Lord Strathclyde referred to the Government’s commitment to Northern Ireland being part of the United Kingdom. That is also the commitment of the Government of Ireland, originally under the Anglo-Irish agreement and now under the Good Friday agreement, if that is the wish of the majority of the people in Northern Ireland. The Irish Government are completely committed to that. Against that background, both Governments are committed to there being no hard border. Is not the sensible thing now to get on with the negotiation about what sort of trading relationship we will have? Yes, in the present situation we need to agree our financial obligations and the issue of EU citizens here, but the second issue of exactly how we deal with the Northern Ireland situation is something that will emerge out of the agreement on the trading arrangements.
ParlaMint-GB_2017-12-05-lords.u107	My noble friend speaks with the benefit of great experience on this matter, considering some of the previous jobs he has had. I completely agree with him. It is important that we get these talks finished off so we can get on to discussing the substantive area, trade, out of which will fall an agreement on the Northern Irish border.
ParlaMint-GB_2017-12-05-lords.u108	My Lords, I also very much welcome the Statement from the Minister, especially the line, “we are equally clear that we must respect the integrity of the United Kingdom” That is very important. I listened to some Peers earlier, on the Question from the noble Lord, Lord Dykes, blaming the Democratic Unionist Party. I make it clear that the finger should be pointed at Dublin. Dublin’s officials were continually briefing over the weekend, which did not help the situation on Monday when the Prime Minister arrived in Europe. The Democratic Unionist Party’s position has been clear for a number of months, publicly and to the Government. We will reject any deal that would divide Northern Ireland from the rest the United Kingdom and which would see Northern Ireland being treated differently from the rest of the United Kingdom. That is the position with the Government, as with ourselves. Will the Minister agree that any deal that weakens the constitutional position of Northern Ireland within the United Kingdom cannot be acceptable either to the people of Northern Ireland or to the Government?
ParlaMint-GB_2017-12-05-lords.u109	The noble Lord makes some valuable points. These are issues of great sensitivity and complexity. It is very important that we consult all parties before we go further. We are determined to try to get a solution, but it cannot be at the expense of breaking up the United Kingdom.
ParlaMint-GB_2017-12-05-lords.u110	My Lords—
ParlaMint-GB_2017-12-05-lords.u111	My Lords—
ParlaMint-GB_2017-12-05-lords.u112	My Lords—
ParlaMint-GB_2017-12-05-lords.u113	My Lords—
ParlaMint-GB_2017-12-05-lords.u114	It is in fact the turn of the Liberal Democrats; then we will see what time permits.
ParlaMint-GB_2017-12-05-lords.u115	My Lords, will the Minister explain how any member of the Government could possibly reconcile the idea that part of the United Kingdom would be subject to regulations in effect of the European customs union and the rest would not? Is the position of the DUP on this occasion not impeccably logical?
ParlaMint-GB_2017-12-05-lords.u116	I think for the first time I find myself in agreement with the Liberal Democrats.
ParlaMint-GB_2017-12-05-lords.u117	That the draft orders and regulations laid before the House on 23 October be approved.
ParlaMint-GB_2017-12-05-lords.u118	My Lords, we know that criminals are increasingly adept at finding new ways to hide the proceeds of crime. That is why, earlier this year, we legislated through the Criminal Finances Act to provide law enforcement agencies with new powers to strengthen and extend existing powers to trace and recover criminal assets. Most relevant for the purposes of this debate are new powers to seize and forfeit assets such as precious metals, precious stones and artistic works Codes of practice protect the public by ensuring appropriate and proportionate use of new powers. In this case, they include search and seizure powers, which are used by a wide range of law enforcement officers in connection with various investigations Three of the statutory instruments put before the House today bring into force revised and new codes of practice providing guidance on the use of Proceeds of Crime Act—POCA—powers for the search, seizure and detention of property to support enforcement of confiscation orders; on search powers for cash that is suspected to be unlawful in origin or purpose; and on search powers relating to the new power to seize certain listed assets. The final instrument makes a minor and technical amendment to an existing provision in POCA to take account of the creation of the new power to forfeit listed assets POCA provides strong powers for the fight against crime, and particularly against serious and organised crime. These powers may involve significant interference with the privacy and property of persons suspected of certain offences, and the purpose of these codes of practice is to guide law enforcement officers in the lawful and proportionate exercise of the powers. They are therefore a safeguard to ensure effective and consistent use of the powers The POCA powers available to law enforcement have been significantly strengthened by the Criminal Finances Act 2017. Once commenced, the new powers will give officers important new tools for the recovery of criminally obtained assets, thus playing a key role in the Government’s commitment to make the UK a more hostile environment for those who seek to move, hide and use the proceeds of crime and corruption Noble Lords may recall that when this legislation was undergoing its parliamentary passage, the Northern Ireland Assembly was dissolved. That meant that a legislative consent Motion could not be obtained. The Minister for Security made a commitment in the other place not to commence any legislation relating to devolved matters without the appropriate consent in place. Keeping with that commitment, the new and amended POCA powers to which the codes relate will not, initially, be commenced in Northern Ireland. As a consequence, the necessary rules of court, and equivalent codes of practice governing devolved functions, will not be in place We are working with the authorities in Northern Ireland to commence these powers as soon as possible. Codes of practice are currently in use in Northern Ireland in respect of existing powers in the Proceeds of Crime Act 2002. The new powers and the amendments to existing powers in the Criminal Finances Act 2017 will not be commenced in Northern Ireland until a legislative consent Motion can be obtained. As a result, the codes that are laid before noble Lords in so far as they apply to Northern Ireland will continue to make provision for the existing POCA powers but not for the amendments and new powers in the Criminal Finances Act 2017 In Scotland, a separate—combined—code of practice has been drafted in respect of searches by constables in relation to the civil forfeiture of listed items of property and the civil forfeiture of cash. A public consultation is being undertaken. The code is expected to come into force in the spring Two of the codes before noble Lords are revisions of previous codes issued under POCA and closely follow those issued to police officers under the Police and Criminal Evidence Act 1984. The third code is new, but it, too, is modelled on the PACE procedure. The codes provide an important safeguard and reassurance that the powers in POCA are being used appropriately and proportionately. The new powers giving rise to these codes have already been approved and debated extensively by both Houses. We are therefore not debating the powers themselves today; rather, we are considering the codes which give guidance on their use The amendments to POCA which require the new and amended codes of practice are: the new power to forfeit listed assets such as precious metals, precious stones and artworks; the expanded powers relating to search and seizure to prevent the dissipation of property that may subsequently be used to satisfy a confiscation order; the extension of search powers to a range of law enforcement agencies, notably the Serious Fraud Office; and the extension of the definition of “cash” for the purposes of cash seizure and forfeiture powers to include gaming vouchers, fixed-value casino tokens and betting receipts POCA stipulates that the Secretary of State must prepare and publish a draft of any new or revised code, consider any representations made and modify the draft as appropriate. A public consultation on all the codes before your Lordships was carried out this summer, and amendments were made to the drafts accordingly. The responses were generally supportive of the codes of practice but contained certain specific suggestions or recommendations that we were able to address The first order brings into effect a new code of practice providing guidance on the use of search powers for the recovery of listed assets, such as precious metals and stones, that are suspected of being unlawful in origin or purpose. In essence, this builds on the existing powers relating to the forfeiture of criminal cash.
ParlaMint-GB_2017-12-05-lords.u119	I thank the Minister for that explanation of the purpose and content of the four orders we are considering, which we support. Clearly, they do not have quite the same attraction for Members of your Lordships’ House as the business we discussed prior to this, judging by the attendance in the Chamber at present The orders seek to ensure that powers are used appropriately and proportionately by those exercising them, as well as giving those exercising them the necessary powers to achieve the required objectives in recovering the proceeds of crime. As the Minister said, the orders bring into force revised codes of practice and one new code of practice, providing guidance and procedural requirements for the exercise of certain functions under the Proceeds of Crime Act 2002. The revised and new codes are required because of amendments to POCA made by the Criminal Finances Act 2017, which was passed last April—in the days when this Government had a working majority in the House of Commons and before this Government gave a certain large sum of money to secure a smooth, lasting and harmonious working relationship with the DUP That brings me to the issue of Northern Ireland and these orders. As the Minister said, a legislative consent Motion has not been obtained because the Northern Ireland Assembly was dissolved during the passage of the Criminal Finances Act. The Minister said that the Government were working with the authorities in Northern Ireland to commence the powers as soon as possible. Does this mean that further legislative measures are on the way or are such measures all covered by these orders? Which powers are the Government working with the authorities in Northern Ireland to commence there as soon as possible? Is it just the new powers and amendments made under the Criminal Finances Act 2017, to which the revised and new codes of practice we are discussing relate, or powers unconnected to these codes of practice? Who are the authorities in Northern Ireland to which the Minister referred? What are the actual or potential consequences on the effectiveness of the matters covered by the Criminal Finances Act in relation to proceeds of crime, not only in Northern Ireland but in Great Britain, of not being able to obtain a legislative consent Motion and bring them into operation on the intended day Since one of the orders apparently covers Northern Ireland—the Proceeds of Crime Act 2002 (Cash Searches: Code of Practice) Order 2018—can the Minister say why that order includes Northern Ireland, in view of the issue over a legislative consent Motion not being obtainable? The Commons Minister stated when it was discussed there that, “there is nothing in these codes relating to the new powers that is a devolved matter in the competence of the Northern Ireland Assembly ”.—[Official Report, Commons, Delegated Legislation Committee, 4/12/17; col. 4.] Is the answer to the question I have raised that the order to which I refer covers an aspect of POCA that is not devolved A second point relates to the resources that will be available to ensure that the new powers and provisions in the Criminal Finances Act 2017, to which the revised codes relate, can be effectively implemented. For example, the codes cover the extension of certain authorities and powers to the Serious Fraud Office. There is also a new code of practice providing guidance, as the Minister said, on the use of search powers for the recovery of listed assets that are suspected to be the proceeds of crime or intended for use in crime. New codes are of little relevance if the resources are not there to bring their content into operation What steps have the Government taken recently to satisfy themselves that the necessary resources are available to implement effectively the powers and authorities to which these codes relate? What are the asset recovery rates of the agencies concerned, and how have those changed over the last five years? Do the agencies have a target figure they are expected to achieve and are they achieving it? Are the Government satisfied with the performance of the agencies concerned on asset recovery and, if not, what action is being taken? Finally, can the Government give an assurance that, since the codes refer, I believe, to immigration officers, among others, the important powers covered by these codes will not be conferred on outside bodies acting for the Government, such as G4S and Serco?
ParlaMint-GB_2017-12-05-lords.u120	My Lords, we also support these instruments and see the importance of extending the ability to recover criminal assets to precious metal and precious stones. There is a serious concern in some communities, for example with drug dealers who display their wealth ostentatiously, that young people should not be encouraged to go down that route by such behaviour. The police and other law enforcement agencies sometimes have difficulty in proving substantive offences against such people, so for them to be able to seize such precious metal and precious stones where people are not able legitimately to account for them is an extremely important move It is a concern that these powers will not be able to be commenced in Northern Ireland. This highlights again the importance of Northern Ireland in matters that the country is concerned with at this time It is important that these agencies have the necessary resources to implement the powers to which these codes of practice relate. While it is possible that fewer resources will be required to seize assets than would be necessary to prove sometimes difficult substantive offences against the individual, we are content with these instruments.
ParlaMint-GB_2017-12-05-lords.u121	My Lords, I am grateful to both noble Lords for their support for these measures, and I will try as best I can to answer the questions raised. I can confirm that the powers cannot be applied to G4S. I repeat the assurance my ministerial colleague gave yesterday in another place Questions were raised about Northern Ireland. As I explained when I introduced the order, the new powers and the amendments to existing powers in the Criminal Finances Act 2017 will not be commenced in Northern Ireland until a legislative consent Motion can be obtained. As a result, the codes that are laid before the House, in so far as they apply to Northern Ireland, will continue to make provision for the existing POCA powers, but not for the amendments and the new powers in the Criminal Finances Act. In answer to the question about how this is done, the statutory instruments will apply the codes in Northern Ireland and the limitation I have just referred to is in the wording of the codes themselves rather than in the statutory instruments that bring the codes into force. The approach we have taken in drafting the codes is that it is clear in the wording that guidance on the new powers introduced by the Criminal Finances Act will not apply to Northern Ireland for the reasons that I have just given. It is clear, however, that the rest of the code that provides guidance on the use of existing powers will apply to Northern Ireland. If it would help both noble Lords, I would be happy to drop them a line explaining which bits apply now and which bits will apply later In answer to the question about who we are corresponding with, I imagine we are corresponding at official level within Northern Ireland. If and when an LCM is obtained from the Assembly, the codes will be revised to remove the restrictions in relation to Northern Ireland. In response to the noble Lord, Lord Rosser, this will require further consultation and debates in Parliament, and the revised codes will be brought into force by further statutory instruments, so we will go round the course again I have here a list of which sections of POCA relate to England and Wales and which extend to Northern Ireland. Rather than read it out—it is long and complicated—I think it would be best if, as I said a few moments ago, I wrote to noble Lords and placed a copy of the letter in the Library.
ParlaMint-GB_2017-12-05-lords.u122	I thank the Minister for that. It will be extremely helpful. In writing that letter, will the Minister set out whether the fact that the provisions will not apply in Northern Ireland at this stage, and may not apply there for some time, will have any detrimental effect on their application in Great Britain as opposed to Northern Ireland? I am not entirely clear what the detrimental effects will be for Northern Ireland or for Great Britain of the provisions of these instruments not being applicable in Northern Ireland until some date that is not yet known.
ParlaMint-GB_2017-12-05-lords.u123	It would clearly have been better if there had been a Northern Ireland Assembly in operation and we could have got an LCM and extended the powers throughout the United Kingdom. As we cannot extend them to Northern Ireland, some of the new provisions that were introduced in the Criminal Finances Act earlier this year will not immediately be applicable to Northern Ireland. To that extent, therefore, the Act will not be as effective as we initially hoped. However, it will come into effect in the rest of the United Kingdom, and the terrorist financing amendments will commence as that is a reserved matter, not a devolved matter I was asked about resources and whether these powers will place more resource burdens on law enforcement at a time of pressure. These powers extend and strengthen the powers in POCA. They add to the toolkit, rather than being powers to use in isolation. As such, they may be used in a strategic fashion that may save money The powers are making the use of POCA more effective and more streamlined. In addition, due to the terms of the asset recovery incentivisation scheme, the more an agency recovers, the more it receives. In the past two years, we have amended the scheme that distributes the money recovered under POCA. A £5 million topslice of the amounts recovered is now available for bidding for national schemes to support further asset recovery work. In addition, where more than £184 million is recovered, under the old terms of the asset recovery incentivisation scheme, the Home Office will return 50% above that threshold to the regional organised crime units I hope I have been able to address the issues raised in this short debate and repeat that I am grateful for the broad support. I beg to move.
ParlaMint-GB_2017-12-05-lords.u124	That the draft orders laid before the House on 23 October be approved.
