ParlaMint-GB_2021-02-09-commons.u1	What steps his Department is taking to support UK research and development.
ParlaMint-GB_2021-02-09-commons.u144	I strongly support the new measures. The higher the number of new daily cases, the more opportunities for variants and mutations to emerge, including ultimately some that may be immune to the vaccine. So does the Health Secretary agree that the central priority now must be to bring down the number of new daily cases, and as we do that, is he planning to introduce enhanced contact tracing for all new cases, including Japanese-style backward contact tracing and genomic sequencing of every new case?
ParlaMint-GB_2021-02-09-commons.u145	We have the biggest genomic capacity in the world by some margin, and when the number of cases comes down, as our genomic capacity continues to expand—we plan to more than double it in the coming months—I hope to get to the position where we can genomically sequence every positive case, yes, but we are not there yet The strategy that I outlined to tackle new variants, of which the border measures are an important part, is itself one part of the four conditions that the Prime Minister set out for when we can lift measures. The other three are the successful roll-out of the vaccine, which is going very well, and the fall in the number of hospitalisations and the fall in the number of deaths, both of which, as I said, are moving in the right direction but are still too high. Therefore, this strategy to tackle new variants is crucial. The number of cases is a factor, because that itself determines the number of new variants. The conclusion of all that is that we must all stick to the rules now, and the more we stick to the rules now, the sooner we can get out of this.
ParlaMint-GB_2021-02-09-commons.u146	The South African variant is a sure warning sign of the risk from other mutant strains that may be out there; combined with the question mark over vaccine efficacy with this variant, it is clear why we need effective border restrictions. Can the Secretary of State tell me why there are 35 countries where the South African and Brazilian variants are present that are not on the quarantine red list? Do the Government have a plan to redress that gap? From a Government obsessed with taking back control over their borders, that omission is surprising The Prime Minister has previously said that the UK cannot emulate other island countries, such as New Zealand and Australia, in preventing all unnecessary travel into the country due to the amount of food and medicine that it imports. Today’s change of heart is welcome. Can the Secretary of State confirm how these measures will keep the flow of goods and those transporting them open, while restricting travel not related to the import and export of goods?
ParlaMint-GB_2021-02-09-commons.u147	The measures I have outlined today relate to passenger travel. There is, of course, a testing regime already in place for accompanied freight. There is a difference between this country and Australia and New Zealand, and that is that accompanied freight is a significant proportion of our daily imports, including just-in-time delivery, for instance, of food, whereas for islands that are further away from a continent, unaccompanied freight is a much more significant proportion of their international imports. We have to take these practical considerations into account. As I said, we keep the red list of countries under review, and the extra testing measures that I have outlined today will help us with that vigilance so that we can see where variants of concern are and to what degree they are present in other countries around the world.
ParlaMint-GB_2021-02-09-commons.u148	I thank my right hon. Friend for his announcement today. The people of Darlington and people right across the north- east have made incredible sacrifices to tackle this virus, and I know that they will welcome the tough measures that he has announced for those who seek to avoid quarantine. Does he agree that it is mass testing, vaccinations, following the rules and tough sanctions for those who break the rules that will help us to tackle this virus?
ParlaMint-GB_2021-02-09-commons.u149	I agree with my hon. Friend that a combination of mass testing, vaccinations and tough enforcement is not only right to deal with this virus but, as he says, fair for people who are doing the right thing. This virus attacks us all as humans. It does not treat people differently just because they are better off and might be able to fly to Dubai for the weekend; it treats us all the same, so we should treat people the same. That is one of the reasons why it is important to bring these measures in with strong enforcement, so that they are both tough and fair on people who are working so hard and sacrificing so much to follow the rules.
ParlaMint-GB_2021-02-09-commons.u150	I simply do not understand the logic being used for the red list. Countries where dangerous variants are present are not included, and multiple back doors are left open. Over the past few days, I have watched passenger flights, including a flight from Peru—on the red list—that is currently en route to the Netherlands, which is not on the red list but has substantial connections to the UK, and flights from southern African red-list countries en route to hubs in Addis Ababa, Nairobi and so on, which again have substantial onward connections to the UK but are not on the red list. We have even heard about UK troops in Kenya testing positive for covid today. Will the Secretary of State publish the epidemiological data that is being used to take decisions about which countries are included, and urgently review some of the very serious inconsistencies?
ParlaMint-GB_2021-02-09-commons.u151	The hon. Gentleman raises important points, which are addressed in what I just announced in two ways. First, anybody who has been in a red-list country in the past 10 days must declare it on a passenger locator form. To fail to do so will be an imprisonable offence. Of course, nobody can come directly from a red-list country anyway because those flights have been stopped. That is a critical part of the enforcement of this system In addition, the second point that the hon. Gentleman raises is important. There are some countries where a variant of concern is the dominant variant, including in southern Africa and parts of Brazil. There are other countries where there are very small numbers of variants of concern, in the same way as in this country there are thankfully very small numbers of variants of concern. Absolutely, we publish information on a very broad scale. We have to make judgments about what is on the red list, and we will keep it under review Different countries have very different levels of genomic sequencing. There are some countries—even developed countries—that have very low levels of genomic sequencing. We have offered to support all countries around the world, so if they want a sample sequenced, we will do it for them to help with this vigilance. The mandated testing arrangements that we have introduced today will help ensure that we can strengthen the epidemiological data on which the judgments about the red list are taken.
ParlaMint-GB_2021-02-09-commons.u152	Cases here in North Devon are now down to just 25 per 100,000. What reassurance can my right hon. Friend give me that when the time comes to unlock, the hard work of the people of North Devon will not be undone by an influx of visitors from either home or abroad with new variants? Are options being looked at for local unlocking to enable schools to reopen and some local businesses to restart, given the very low level of community transmission here?
ParlaMint-GB_2021-02-09-commons.u153	I am delighted to see that there are some parts of the country where the case rate really has come down a long way—down to 25. It is important for us to make sure we get the levels down across the country. We have seen before that when there are areas that are low, there is spread from elsewhere in the country. The experience of last summer was that tourists travelling to go on holiday within the UK did not contribute to an increase in levels. It was when levels elsewhere got much higher that we saw the transmission to other parts of the country. It is those judgments that will inform the road map proposals that the Prime Minister will set out on 22 February. I wish I could say more in more detail to my hon. Friend, but it is for the Prime Minister to set that out later this month.
ParlaMint-GB_2021-02-09-commons.u154	The news of the new mutation is obviously of great concern to the people of Bristol, but local public health officials have rapidly set up new testing centres, including five new collect and drop testing centres today. It is a massive effort locally, and hundreds of people have come forward voluntarily since Sunday to be tested. Will the Secretary of State join me in thanking those local public health officials in Bristol and the people who have come forward? Will he join me in encouraging more people in those postcode areas that have been identified to come forward for surge testing to help us understand this virus better?
ParlaMint-GB_2021-02-09-commons.u155	I agree with every word the hon. Lady has said. This is an incredibly important effort by the people of Bristol, especially those in the postcodes that were identified. I want to thank all the public health officials, at Bristol City Council and more broadly, including those in South Gloucestershire, for the work they are doing to tackle the variant of concern, where it is found. Even though the numbers are small, we want to tackle every case we find and really get this under control. As you can see from this exchange, Mr Speaker, and as everybody in Bristol can see, this is a cross-party, cross-community effort in which everybody has a part to play, and I thank the hon. Lady for her leadership.
ParlaMint-GB_2021-02-09-commons.u156	I welcome today’s statement and I am very proud of all my constituents across Stourbridge, Cradley and Lye for the way in which they have fully understood and taken on board the fact that we all have our role to play in defeating this virus. Does my right hon. Friend agree that the constant flip-flopping and reliance on hindsight by the Labour party is nothing more than its seeking only to score political points, rather than reinforcing the Government’s message that we all have a part to play to defeat this virus? Those on the Opposition Benches would be well served by following the fine example set by my constituents.
ParlaMint-GB_2021-02-09-commons.u157	What the public want to see, in Stourbridge and across the whole UK, is people working together to defeat this virus. Some of the measures have to be tough, and some are difficult, but it is all done with the goal of getting this country through this as well as we possibly can, so that we can lift as many of these measures as soon as we safely can. That balance between pace and safety is central to the judgments ahead. I want to thank everybody in Stourbridge and say to them that there is no politics in this; the only thing that is important is the safety of the people of Stourbridge.
ParlaMint-GB_2021-02-09-commons.u158	I am grateful to all those working together—the GPs, Queen Mary University of London, the Royal London Hospital, Tower Hamlets Council, the London Muslim Centre and others—in my constituency to make sure that people get vaccinated. As Members have heard, vaccine take-up is lower among minority communities and some other vulnerable groups. Some 77% of white residents are getting vaccinated, which is great, whereas only just over half of Asian residents and under 46% of black residents in our borough are getting vaccinated. Will the Secretary of State commit to increasing the supply of vaccines to our GP surgeries, as they are saying that this is where they can make a big difference with vaccine take-up? This would make a big difference to the death rates and the dangers that these minority communities face, in my constituency and elsewhere in the country.
ParlaMint-GB_2021-02-09-commons.u159	I want to praise the hon. Lady for the leadership she is showing locally in driving up those vaccination rates. The fewer people who are left unprotected by the jab, the safer we will all be, both individually and in communities in London and across the country. My hon. Friend the Minister for Covid Vaccine Deployment is leading the efforts in this space, and I will make sure he gets in contact so that we can work together to reassure everybody that the vaccine is the right thing for you and the right thing for your community.
ParlaMint-GB_2021-02-09-commons.u160	I welcome the roll-out of the vaccine programme, which has been a great success, and I congratulate the Secretary of State. May I ask for a bit of clarity on the statement? He states: “Under home quarantining, the existing test to release scheme…can still be used from day five” Does that mean that somebody can successfully test negative on day five and is then free to interact in the community for three days, but will still have to take another test at day eight and if they fail that test they will have to quarantine again? Secondly, how long is this likely to last for? Obviously, summer travel is very important for the aviation industry. Is this just to last until we have vaccinated 99% of the mortality risk, which should be done by May? Or is it until we tweak the vaccination, in which case this could really have an impact on the aviation industry?
ParlaMint-GB_2021-02-09-commons.u161	On the first point—the point of clarity—my hon. Friend has stated the position exactly correctly. On the second, we want of course to be able to exit from these arrangements into a system of safe international travel as soon as practicable and as soon as is safe, and Professor Van-Tam last night set out some of the details that we need to see in the effectiveness of the current vaccines on the variants of concern in order to have that assurance. If that is not forthcoming, we will need to vaccinate with a further booster jab in the autumn, on which we are working with the vaccine industry These are the uncertainties within which we are operating. Hence, for now, my judgment is that the package that we have announced today is the right one.
ParlaMint-GB_2021-02-09-commons.u162	Many of us have been urging the Government for about 12 months now to take stronger action at our borders, so the measures announced today are very welcome, but Ministers have been consistently slow on this issue. With the ONS estimating today that, tragically, covid deaths in the UK have now surpassed 125,000, how many of those deaths does the Secretary of State believe could have been prevented by imposing much stricter public health measures at our borders since last March?
ParlaMint-GB_2021-02-09-commons.u163	We have had significant measures at the border throughout. The new, stronger measures are necessary because of the arrival around the world of new variants of concern at the same time as the vaccine roll-out is progressing successfully. We do not want the very successful vaccine roll-out to be undermined, so it is reasonable to take a precautionary approach to international travel now, while we assess the effectiveness of the vaccines. We are clear that they have some effectiveness; the question is to what degree. That is being tested right now.
ParlaMint-GB_2021-02-09-commons.u164	Given the incredible success of the UK vaccination programme, it would be terrible to put at risk our opening up by importing new variants like those seen in Brazil. Will my right hon. Friend stand ready to further tighten the measures at the border and the enforcement of quarantine, and does he agree that if we want to see rapid opening up, as we all do, we should be supporting strong measures at the border?
ParlaMint-GB_2021-02-09-commons.u165	My hon. Friend is right, first, that we must keep the red list under review; and secondly, crucially, that strong protections at the border are part of defending and safely allowing the domestic opening up. For those of us who want to see that domestic opening up, ensuring that we have protection from variants that might arise from overseas is an important part, until we can get to a position where we can be confident in vaccine efficacy against all variants, not just against the current variants that are here in large numbers in the UK.
ParlaMint-GB_2021-02-09-commons.u166	May I put on record my thanks to the Secretary of State for all that he and his team are doing on this issue? Northern Ireland is the only part of the United Kingdom with a land border. As the Secretary of State is aware, the Republic of Ireland is enforcing the very apparent border in Northern Ireland, for its safety, on its side. It seems, as I said, that there can be a border when it suits. However, I am eager to understand what steps are being taken to ensure, as I highlighted last week, that officials and Government have access to pertinent travel information for those coming to Dublin, to ensure that the United Kingdom, on the Northern Ireland side, is also safe.
ParlaMint-GB_2021-02-09-commons.u167	I spoke to my Irish opposite number, Minister Donnelly, this morning and he has assured me that that data will be provided appropriately and securely; we have been working together to ensure that that happens for some time As I said in my statement, we have been working with the Irish Government to ensure that there are appropriate measures, both in the Republic of Ireland and in the United Kingdom, to ensure that the border on the island of Ireland can be kept completely open, as it must, yet we have adequate protection against arrivals of variants of concern internationally. It is the two countries working together, putting in place similar arrangements both in the Republic and in the United Kingdom, that will allow us to deliver that goal, which I am sure we all share.
ParlaMint-GB_2021-02-09-commons.u168	I am increasingly concerned about the effect of lockdown on the mental health of children; I am receiving so many emails from adolescents and teenagers. Will my right hon. Friend assure me that when he feeds into the 22 February road map, the mental health of children, and indeed their parents, is taken into account?
ParlaMint-GB_2021-02-09-commons.u169	Yes, of course I will.
ParlaMint-GB_2021-02-09-commons.u170	Yesterday, the number of deaths from covid in Wales passed the grim total of 5,000. Our public health leaders say that the Welsh Government’s £500 self-isolation payment is not enough and is indeed an economic driver for people to go to work. Sick pay, on the other hand, is the responsibility of this Government, so will the Secretary of State now commit the Government to increasing the paltry level of sick pay, as suggested, from £96 per week, to enable working people to self-isolate safely?
ParlaMint-GB_2021-02-09-commons.u171	We have put in place the extra £500 for those on low incomes to ensure that everybody can get the financial support that they may need while self-isolating.
ParlaMint-GB_2021-02-09-commons.u172	I commend my right hon. Friend on his statement. The Norfolk and Waveney clinical commissioning group, local NHS staff and volunteers are to be commended on rising to a challenge which on Sunday resulted in 1,000 people being vaccinated at Kirkley Mill in Lowestoft in very difficult weather conditions. There is a plan to significantly increase the number of daily vaccinations for more sites; so that this can be delivered can my right hon. Friend confirm that there will be a consistent and increased supply of vaccines and that the initial difficulties some have experienced with the national online booking system will be ironed out?
ParlaMint-GB_2021-02-09-commons.u173	Yes, absolutely. I want to thank everybody across Norfolk and Waveney for the work they have been doing to roll out this vaccine. It is a critical part of the country in terms of the covid response, and the work done locally has been absolutely exemplary. I commend my hon. Friend on the part that he has played and the leadership he has shown in Lowestoft in making that happen; the uptake has been superb. I have seen some of the reports locally, and the emotional impact on people of getting vaccinated is absolutely fantastic. I will absolutely take away the points my hon. Friend has made.
ParlaMint-GB_2021-02-09-commons.u174	Despite assurances from the Secretary of State and Ministers, it is now clear that the newly imposed NHS dentistry targets are in fact actively undermining patient access to urgent treatment during the pandemic, as I warned they would. Last week, a whistleblower at the UK’s largest dental chain with over 600 practices, mydentist, sent me an internal memo that advised them to prioritise routine check-ups over treatments in order to meet the new targets. Will the Secretary of State look at this urgently and agree to revise these targets to ensure that they do not undermine patient care, as the system as it stands incentivises routine check-ups above those in severe pain?
ParlaMint-GB_2021-02-09-commons.u175	I want to thank our nation’s dentists, who have worked incredibly hard to get dentistry services going again. It is very important that we support them and that the financial incentives underpin the need to restart as much as is possible It is of course challenging to deliver services given that there are so many aerosol-generating procedures, and I will ask the dentistry Minister, my hon. Friend the Member for Bury St Edmunds (Jo Churchill), to speak to the hon. Lady and perhaps meet her to discuss these ongoing challenges.
ParlaMint-GB_2021-02-09-commons.u176	I support the introduction of targeted quarantine for passengers coming from high-risk covid-19 variant countries. Will my right hon. Friend also commit to regular reviews and even a sunset clause on these regulations, as we seek later in the year to get our economy restarted and support our aviation sector?
ParlaMint-GB_2021-02-09-commons.u177	I do not underestimate the impact that all these measures have had on Gatwick. My hon. Friend represents so many of those who work at Gatwick, and I understand the impact. I was at Gatwick airport on Friday, and the empty departure hall was really quite a sad sight. These measures are necessary, in my view, and I am glad that he supports them, difficult as they are. We are also acutely cognisant of the economic impact on airports and those who work in them, and I would be happy to keep talking to him about how quickly we can remove these measures safely.
ParlaMint-GB_2021-02-09-commons.u178	The whole House has welcomed what the Secretary of State has had to say about the progress in fighting coronavirus, but he will be aware that there is a very real danger that one cohort will be left behind: black and ethnic minority communities. We already know that black people are four times more likely to die from coronavirus, and currently the statistics show that black over-80s are half as likely to be vaccinated as white people. I am conscious that the Minister for Covid Vaccine Deployment is aware of this issue, but will the Secretary of State give the House an undertaking that he will drive forward a whole series of measures to increase vaccine take-up among black and minority ethnic persons? When black and minority ethnic people are on the frontline of the fight against coronavirus as health and social care workers, it would be a tragedy if there was an increased death toll because enough was not being done to encourage take-up of the vaccine.
ParlaMint-GB_2021-02-09-commons.u179	I do not say this lightly, but I agree with every single word that the right hon. Lady said. I want to pay tribute to her, because I have not had the chance in the House to thank all the black MPs who took part in the incredibly moving video to persuade people, who may have understandable concerns, that taking the jab is the right thing to do. She played a pivotal role in that short video, and it is just one small part of the huge effort we need to make, because the fewer people who do not have the protection, the safer we will all be. I am very grateful for her work and her support, and I hope that we can continue to work together to drive uptake among black communities right across this country.
ParlaMint-GB_2021-02-09-commons.u180	Policies are often easy to announce and difficult to end. The chief scientific adviser says that covid is with us forever, and it will presumably continue to mutate into new variants forever. I listened carefully to the answer that the Secretary of State gave to my hon. Friend the Member for Bexhill and Battle (Huw Merriman), but I did not hear an answer to this: when is this policy going to end, if ever, because if the virus continues to mutate, surely the risk will be there forever?
ParlaMint-GB_2021-02-09-commons.u181	The risk of mutations absolutely can and will be managed through the evolution of vaccines, in the way that the annual flu jab changes each year and allows us to protect ourselves. While necessary now, these are not measures that can be in place permanently. We need to replace them over time with a system of safe and free international travel; that is where we need to get to. The first task is to vaccinate the population. If we get good news on the impact of vaccination on hospitalisations and deaths for new mutations, we will be in a better place. If we do not get such good news, we will need to use the updated vaccines to protect against the variants of concern The scientists inform and advise me that there are, repeatedly and independently around the world, mutations of the same type in the E484K area of the virus, as mentioned by the hon. Member for Leicester South (Jonathan Ashworth). That gives the scientists a good start in where to target the new updated vaccine—if we have to wait until then—but it may be that we get from the existing vaccines enough efficacy against hospitalisation and death that they work perfectly well to hold this virus down. We just do not know that yet; hence, the precautionary principle applies.
ParlaMint-GB_2021-02-09-commons.u182	It is hugely important that we keep making progress in tackling the virus and in vaccinations. However, last week I heard from the Catch Up With Cancer campaign, the research of which indicates that we would need cancer services to work at 120% capacity for two years to catch up with the existing backlog. I am concerned that the cancer recovery taskforce lacks sufficient resources and scope to achieve the restoration of services and tackle the backlog. Will the Government, in the March Budget, increase the resources available to the taskforce, to expand the overall capabilities of the UK’s cancer services to tackle the backlog?
ParlaMint-GB_2021-02-09-commons.u183	We announced in the spending review significant extra funding to tackle the backlog. I am very proud of cancer services throughout the country, which have kept up the work during this second wave in a quite remarkable way, owing to tenacity, working together, flexibility and, of course, very strong infection prevention and control Last week I was at the Royal Marsden Hospital, where they are doing 100% of their normal-time operations. That is not true everywhere—the Royal Marsden has the advantage of being, in essence, a cancer-only site, which makes things easier. The thrust of the hon. Lady’s question is right—we absolutely must catch up on the cancer backlog—but I am optimistic because people have worked so hard in oncology to keep cancer services going. As the number of covid patients comes down, so we must ensure that the backlog is worked through.
ParlaMint-GB_2021-02-09-commons.u184	I pay tribute to everybody in Stockport who is part of the massive vaccination effort that is going so well, as it is throughout the rest of country. The original purpose of lockdown was to reduce hospitalisations and keep hospitals from falling over; if that is achieved through a vaccination programme, is it now the Government’s intention to use the level of virus in circulation—the number of cases in the population—to determine when to ease lockdown?
ParlaMint-GB_2021-02-09-commons.u185	No. The Prime Minister has set out the four conditions that need to be met and will be saying more about that on 22 February.
ParlaMint-GB_2021-02-09-commons.u186	I add my congratulations to all those involved in the roll-out of the vaccine, particularly those in my local area who have been working non-stop. Will the Secretary of State say something about international co-operation, particularly in respect of identifying new variants and assisting other countries to stop their transmission? What discussions are taking place with the World Health Organisation and others to ensure that we are keeping track of new variants as much as is practicably possible?
ParlaMint-GB_2021-02-09-commons.u187	That is a critical question, on which I point to three things. First, we have put in place the new variant assessment platform, which uses our genomic capability to be of service to countries that do not have the capability to identify variants and sequence samples, if that is needed Secondly, we are working with the World Health Organisation to ensure that its library of variants is as up-to-date as possible. Of course, it is that work from which must flow the assessment of what appropriate updates to any vaccine are necessary, which is how it works with flu. The system is nascent but incredibly important, and I am grateful to the World Health Organisation for its work on that so far. We need to go further Thirdly, on the measures put in place today, by testing every international rival—given the nature of the UK, even in these tough times, as an international hub—we will, where we spot positives, be able to sequence them and therefore gather the sequences of coronavirus from around the world. The announcements made today will directly help us to address the question of where variants of concern are arising and therefore help the international efforts to tackle them.
ParlaMint-GB_2021-02-09-commons.u188	I thank the Secretary of State for his statement and join him in praising everyone involved in the vaccine roll-out. It is going incredibly well in Newcastle-under-Lyme; in Staffordshire, we have just passed 200,000 vaccinations given Brilliant scientists in the UK and around the world have delivered us these vaccines at an unprecedented pace, and I welcome the news that they are now working on new versions of them to fight variants. However, if we were to embrace even faster methods for evaluating the efficacy of vaccines, such as challenge trials, we could speed up the process even further Given the enormous economic cost of lockdowns, every month counts. That should prompt the whole world to re- evaluate our standard methodology for approving vaccines. Could my right hon. Friend set out what steps he is taking to allow new varieties of vaccines to be developed as quickly as possible, if they prove to be required?
ParlaMint-GB_2021-02-09-commons.u189	Yes, we do not rule out challenge studies at all. We are working with Oxford University on such an approach. More broadly, I am up for considering anything that can ensure that a vaccine can safely be brought to bear and support this effort as fast as possible I would, though, caution against undue pessimism in this space because the Medicines and Healthcare products Regulatory Agency has done an amazing job of maintaining very strong safety and efficacy requirements while speeding up every process, constantly challenging the critical path to vaccine approval and asking how it can be sped up while maintaining the very high standards that it should expect. It is continuing that work with potential iterations of the vaccine to ensure that the level of assuredness is appropriate and the degree of checks that an iteration needs to go through is appropriate to the degree of difference from the original vaccine For instance, for flu, we do not need to go through the full clinical trials process because the underlying platform is known to be safe—we need to demonstrate clinical efficacy. It is that sort of flexible yet rigorous thinking that the MHRA should be very proud of.
ParlaMint-GB_2021-02-09-commons.u190	People are at home with the windows closed and the heating on: those are potential conditions for carbon monoxide poisoning, whose symptoms are very similar to those of covid-19. What are the Government doing to enforce legislation on that issue and make the public aware of that silent killer?
ParlaMint-GB_2021-02-09-commons.u191	The hon. Lady raises an important point, which is taken into account in the work that we are doing to push forward high-quality ventilation, which is good for tackling carbon monoxide poisoning and for trying to reduce the risk of the spread of covid.
ParlaMint-GB_2021-02-09-commons.u192	I start by thanking the hard-working Secretary of State for yet again coming to the House and updating us on the covid situation In north Northamptonshire, we have a particular problem with covid infections—we just cannot get them down. In Wellingborough, we are 25% above the national average, in Kettering 50% above it and, in Corby, more than double the national average, with the highest infection rate in the country. Has the Secretary of State given any consideration to the mass testing of north Northamptonshire so that we can get infections down, rather as happened in Liverpool?
ParlaMint-GB_2021-02-09-commons.u193	I am aware of and also worried about the continued high rates of infections in north Northants, which has not had a particularly bad pandemic thus far but now, at this point, seems to have a stubbornly high infection rate. I am absolutely up for all measures that might help to get it down, including mass testing. I will take that idea away, work on it with colleagues and return to my hon. Friend and his north Northants colleagues with a proposal.
ParlaMint-GB_2021-02-09-commons.u194	The pandemic has been particularly difficult for those with a weak immune system; I therefore welcome the fact that UK Research and Innovation has provided funding to support research on vaccine responses in groups of immunosuppressed individuals, such as high-risk cancer patients. When does the Secretary of State expect the Joint Committee on Vaccination and Immunisation to have enough data to develop a vaccine-protective strategy for immunosuppressed individuals that details whether any specific vaccine is preferred for this cohort?
ParlaMint-GB_2021-02-09-commons.u195	This is a very important consideration. For those for whom the vaccine is clinically inappropriate, clearly the single most important thing is that everybody else gets the vaccine because that is what can best keep them safe. When we say that the vaccine is “good for you and good for others”, that includes those who are clinically unable to take the vaccine to protect themselves, so everybody around them needs to take the vaccine in order to protect them. More broadly, that work is under way. I will ask the deputy chief medical officer to write to the hon. Gentleman to set out the precise clinical details.
ParlaMint-GB_2021-02-09-commons.u196	I thank my right hon. Friend for his statement. As I have so many constituents who work in the aviation industry, this is important information. I am thankful for the now ramped up provision of vaccine centres in South Derbyshire, but how will he ensure that housebound residents receive their jab? There seem to be gaps in communications between primary care networks, district health services and GP surgeries, leaving my constituents unsure.
ParlaMint-GB_2021-02-09-commons.u197	I will look into the specifics of the situation in South Derbyshire and ask the Minister for Vaccine Deployment, the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Stratford-on-Avon (Nadhim Zahawi), to call my hon. Friend to try to understand precisely the situation in her area. It is absolutely the responsibility of PCNs to deliver vaccines to the housebound. That is working in most parts of the country. I had not heard of any concerns in South Derbyshire, but this is obviously incredibly important because we are talking about some of the most vulnerable people to covid in the country. We must make sure that everybody, including those who are housebound, has the offer of a jab, and that people can get out and make that happen.
ParlaMint-GB_2021-02-09-commons.u198	New border restrictions to safeguard us from covid will mean a reduction in the amount of travel into the UK, which will of course cause further harm to aviation and travel firms. Will the Secretary of State update us on progress and give us more details about the ongoing Cabinet discussions regarding specific support for aviation and travel firms in the light of these additional measures?
ParlaMint-GB_2021-02-09-commons.u199	Yes; we do not underestimate the impact of these measures on the travel and aviation industries. My right hon. Friend the Transport Secretary is leading the discussions, as he has done throughout, because it is incredibly important that people get the right level of support. It goes to the point made by my right hon. Friend the Member for Forest of Dean (Mr Harper), which is that we need to ensure that we go into these measures with a plan for how we come out of them into a set of secure international travel arrangements, so that people can get moving again.
ParlaMint-GB_2021-02-09-commons.u200	In Stoke-on-Trent, Kidsgrove and Talke I have seen at first hand, while volunteering at the mass vaccination centre in Tunstall, the incredible effort of our local NHS heroes in getting jabs into the arms of up to 1,000 people each day. This is important, as the Royal Stoke University Hospital has been under tremendous pressure in critical care, dealing with capacity 220% above its usual averages. Will my right hon. Friend thank the local health and care heroes across Stoke-on-Trent, Kidsgrove and Talke, and assure us that we will get increased vaccine doses as the supply increases?
ParlaMint-GB_2021-02-09-commons.u201	Yes, absolutely. The effort in Stoke has been absolutely magnificent. I follow it particularly closely because every time I come to this Chamber—it is normally at least once a week—I am grilled by a colleague from Stoke about performance in Stoke. I have been looking at it recently; across Stoke, the hospital, the GPs and the pharmacies have been doing a magnificent job in the vaccination effort. I am grateful to my hon. Friend for his leadership locally in promoting uptake of the vaccine.
ParlaMint-GB_2021-02-09-commons.u202	Given the evidence that some of the new variants of covid are much more transmissible, the Royal College of Nursing and the British Medical Association have raised concerns about whether current PPE guidance is adequate. It has been reported that some hospitals are offering staff high-grade PPE, for example FFP3 masks, while others are not, which means unequal levels of protection depending on where staff work. Can the Secretary of State tell us whether the NHS has reviewed the guidance about the standard of PPE to be provided to all staff when treating covid-19 pathway medium and high-risk patients?
ParlaMint-GB_2021-02-09-commons.u203	Yes, I asked for specific advice on this when we saw the increased transmissibility of the B117 strain—the so-called Kent variant. Exactly this question was reviewed. As the right hon. Gentleman would expect of me, I follow clinical advice on PPE guidance and the clinical advice remains unchanged.
ParlaMint-GB_2021-02-09-commons.u204	I thank my right hon. Friend for coming to the House with his statement today. Will he join me in congratulating the Henfield heroes at Henfield Medical Centre? They have already vaccinated more than 1,000 patients, who very much appreciated not having to travel 40 miles to the previous clinic in Storrington. I am grateful that artificial limits on the number of centres per primary care network have been relaxed in rural areas.
ParlaMint-GB_2021-02-09-commons.u205	I pay tribute to everybody at the Henfield Medical Centre doing this incredible work. It is really uplifting being in a health centre. If Members have not been to a vaccination centre as a Member of this House, I would highly recommend it because it is such an uplifting experience. I am really glad that it is being carried out ever closer to home for people as we expand the number of vaccination sites, of which there are now more than 1,400 across England.
ParlaMint-GB_2021-02-09-commons.u206	The maximum sentence for a person lying on their locator form will be 10 years in prison. What will the minimum sanction be for that offence? The cost of the hotel, including testing and transport, will be £750 for 10 days. Can the Secretary of State give the House an absolute assurance that that represents good value for money to passengers and that there is no undue profiteering?
ParlaMint-GB_2021-02-09-commons.u207	Yes, absolutely. One of the things that we have been doing in our discussions with hotel groups and others is ensuring value for money as much as possible for passengers. Hence we have managed to get the costs down to £1,750 for an individual traveller in a room alone.
ParlaMint-GB_2021-02-09-commons.u208	Will the Secretary of State maintain his war aim of protecting the NHS and eschew those siren voices calling for a desired level of infection in the community? If we depart from a level of hospitalisation with which the NHS can cope effectively, we will lose the proper sense of urgency to lift restrictions that are so devastating and costly to us all.
ParlaMint-GB_2021-02-09-commons.u209	My right hon. Friend is right to raise the issue of the level of hospitalisations as one of the key factors and conditions for exit, as set out by the Prime Minister. The good news is that the number of people in hospital with covid is now falling. It is still higher than either at the April peak or at the November peak. The challenge in terms of the number of cases is that, when cases are very high, you are more likely to get a new variant, but, thankfully, cases are coming down very sharply, too.
ParlaMint-GB_2021-02-09-commons.u210	Yesterday, the Home Secretary told me in Parliament that 100% compliance checks were now taking place at the border. Yet one passenger arriving at Heathrow yesterday from South Africa via Qatar has reported having no checks on her forms or tests and being just sent on her way through passport e-gates. This is a problem that I raised with the Prime Minister almost a month ago. Travellers have reported throughout that the reality is not matching the Government’s rhetoric, so why, when this is so important, does it appear that the most basic checks are still not happening?
ParlaMint-GB_2021-02-09-commons.u211	The Home Secretary is looking into this individual case. The measures that we announced today further strengthen the enforcement to make sure that the rules that are currently in place are enforced more strongly, and indeed that we have brought in a new system of rules to strengthen the safeguards at our border yet further.
ParlaMint-GB_2021-02-09-commons.u212	May I say a huge thank you to everyone on the frontline working hard on the vaccine roll-out in Bridgend and Porthcawl? When it comes to dealing with the transmission of the South African variant, could my right hon. Friend set out what steps he is taking on surge testing so that we can gather more information and effectively monitor any further community transmission?
