ParlaMint-GB_2021-02-01-commons.u1	What steps his Department is taking to make the most effective use of the defence estate.
ParlaMint-GB_2021-02-01-commons.u131	The veterans ID card is an important recognition of those who have served. Everyone who leaves the services receives an ID card. The hon. Lady is right to identify the challenges in backdating the cards, with issues of fraud and so on. We are committed to delivering this year, and backdating the cards for all those who have served, so that everyone has an important memento of their service in the UK armed forces.
ParlaMint-GB_2021-02-01-commons.u132	What steps have been taken to ensure that servicemen and women who are doing a fantastic job assisting with vaccine deployment across the country receive the support that they would expect if stationed at barracks?
ParlaMint-GB_2021-02-01-commons.u133	I can confirm that that is very much the requirement, and we would fully expect all those whom we send out to support local authorities to be properly catered for. There have been one or two instances —one was reported to me by my hon. Friend—in which the service has fallen short. That is not good enough; we are investigating.
ParlaMint-GB_2021-02-01-commons.u134	The Royal British Legion estimates that between 3% and 6% of homeless people are from an armed forces background. It is an unspeakable injustice that we are not safeguarding and protecting our veterans in the midst of a global pandemic. My constituents in Coventry North West and I would like to ask the Minister what support his Department is providing to homeless veterans in my city and across the country during the covid-19 outbreak.
ParlaMint-GB_2021-02-01-commons.u135	The Department has worked hard to put our arms around veterans across the community, working with the Ministry of Housing, Communities and Local Government to make sure that our homeless veterans are looked after. We have commissioned studies from King’s College to look at the specific impacts of the covid-19 pandemic on veterans. We are committed to making sure that we do our duty by those who serve, and I am confident that we will do so.
ParlaMint-GB_2021-02-01-commons.u136	I am suspending the House for a few minutes to enable the necessary arrangements for the next business to be made.
ParlaMint-GB_2021-02-01-commons.u137	I beg to move, That this House calls on the Government to urgently establish the extent of dangerous cladding and prioritise buildings according to risk; provide upfront funding to ensure cladding remediation can start immediately; protect leaseholders and taxpayers from the cost by pursuing those responsible for the cladding crisis; and update Parliament once a month in the form of a Written Ministerial Statement by the Secretary of State Buying your first home is a life-defining moment. It is exciting and scary. It symbolises security, and the time to start a family and build a future, but for so many what was a dream come true has become a nightmare. The Grenfell tragedy shed light on a crisis of building safety in this country, and hundreds of buildings have the same cladding that caused the Grenfell fire to be so deadly. Thousands have other equally dangerous cladding, and even more have other serious fire safety problems, such as combustible insulation, missing fire breaks and faulty fire doors. Millions of homeowners are caught up in the wider building safety crisis caused by the defects and are unable to sell, remortgage or buy a flat, freezing up 16% of the housing market and affecting possibly as many as 11 million people It can be easy to get caught up in the vast numbers, but it truly is a human tragedy. Many in this House will have read or heard Hayley’s story. Hayley was a first-time buyer in Leeds. She bought her flat through an affordable housing scheme designed to help people on low incomes take that first step on to the housing ladder. After moving in, Hayley was told that the roof of her building was covered in dangerous cladding similar to that used on Grenfell Tower, and further inspections threw up more problems with brickwork, insulation, balconies and possibly firebreaks Every month, Hayley faced an additional £300 in charges for what is called a waking watch—a 24-hour fire safety patrol that gives little confidence but costs dearly. That £300 a month was as much as her mortgage, and she just could not afford it. The terms of her mortgage meant that she could not move or rent our her flat. Facing mounting bills for the repairs, fire alarms and the looming threat of the costs of fixing the building, Hayley declared bankruptcy. A first-time buyer so recently, Hayley would now struggle to take out a loan to buy a car However, the crisis is not just affecting those at the beginning of their housing journey. I was written to recently by an elderly constituent who wants to move out of his flat and into a home that better suits his mobility needs. His block does not have dangerous cladding, but misguided advice from the Government means that he cannot get a survey to prove it. His home cannot be mortgaged, so he cannot get a buyer and so he cannot move into a home where he can be comfortable The situation is reflected across the country. People are being forced to pay more than they can afford for a problem they did not cause. Some are paying so much that they cannot keep their home: first-time buyers getting on the housing ladder to secure their future; people trying to move up and start a family; people approaching or in retirement wanting somewhere smaller; key workers such as NHS junior doctor Will, also in the media today, working on the covid frontline in Sheffield and facing costs of £52,000, a doubling service charge each month and skyrocketing insurance costs; housing associations, councils and their tenants; and everyone in between Everyone in this House, I think, agrees that this intolerable situation must not go on. People cannot continue living in unsafe homes. Leaseholders should not face mounting bills for a crisis they did not cause. Labour’s motion today expresses three simple principles that we hope will receive endorsement from across the House. First, the Government must urgently establish how much unsafe cladding there is, where it is and what danger it poses. It is extraordinary, three and a half years on from Grenfell, that we still do not have such basic information. Immediately after Grenfell, the Government could have done as Victoria in Australia did and set up a taskforce to establish the extent of dangerous cladding, prioritised by risk, and ensured enforcement against those who refuse to undertake the work. We are calling on the Government to do that today Many leaseholders are discovering that there is a shortage of engineers and fire safety specialists to carry out inspections and works. The Victoria taskforce manages the supply chain and ensures that it is directed first to the buildings that are most at risk. It has also prioritised safety by ensuring that the highest-risk buildings are fixed first, rather than the first come, first served approach that the UK Government are currently taking Secondly, people’s homes should be made safe as soon as possible. Where there is dangerous cladding on buildings or other serious fire safety problems, that must be fixed immediately. All the big players in this crisis have spent the past few years pointing fingers and avoiding responsibility, and the Government have called on building owners to do the right thing, but there is nothing to prevent building owners from passing on costs to leaseholders, and indeed they have a fiduciary duty to do so in many cases. Leaseholders simply cannot afford it, and they simply should not have to. If someone bought a new car that turned out to be dangerous, they would not expect to be told to take out a loan of tens of thousands of pounds to pay for it—often more than the price of the original car—but here we are talking about people’s homes. The stalemate we have now is leaving hundreds of thousands of people stuck in flammable buildings, and the only way to make homes safe is for the Government provide up-front funding to make that happen Finally, the cost of the work should not fall on leaseholders or taxpayers. Residents did not cause this crisis. They bought their homes in good faith only to find themselves victim to years of corporate malpractice, Government inaction and a broken leasehold system. Ministers have promised at least 15 times that leaseholders would not bear the cost, but recently the language has shifted to state that they should not bear “unaffordable” costs, and there is talk of loans. Labour’s motion calls on them to reaffirm and put substance behind their original promises to leaseholders Neither should the taxpayer carry the burden. The Government should pursue the dodgy developers, cowboy builders and manufacturers of flammable cladding through legal action—that is the “polluter pays” principle. Where laws need to be changed to make that easier, we should do so. There is precedent for that in Australia. Many councils and social landlords are being stung for the cost of the remediation. The Government have set them two impossible tasks: build to the building targets they have set, and at the same time carry out expensive fire remediation without passing on the costs to hard-pressed tenants. That must also change I am a Member of Her Majesty’s Opposition, but I am not here to score party political points. We know that at least 34 Conservative MPs agree that leaseholders should not pay for these costs, and I am sure there are many more who have not yet said so publicly. I commend in particular the work of the hon. Members for Stevenage (Stephen McPartland) and for Southampton, Itchen (Royston Smith) on the Fire Safety Bill. Their amendments sought to protect leaseholders and push the Government to take action. We have tabled our own amendments that build on theirs and fill in some gaps, but the Government have not said when the Fire Safety Bill will come back, and the end of this parliamentary Session is rumoured to be fast approaching The Government may say that Opposition day motions are not binding, but it is up to them if they choose not to be bound by the sovereign will of the country’s elected representatives in this House. Many people remember that when the Labour Government were defeated on an Opposition day motion on Gurkhas, they honoured the will of Parliament and changed the policy the very next day. I ask the Government to heed the will of this House Further delay and inaction is not an option. Building insurance will continue to skyrocket and the unaffordable cost of waking watch security guards will continue. On top of all that, the colossal cost for fixing buildings will fall on leaseholders. People will go broke. Mortgages risk going into negative equity on a massive scale as more and more flats become literally valueless. We need a solution to this crisis that fixes buildings and ensures that those responsible pay I pay tribute to the absolutely inspiring cladding campaigners. I have met some in my constituency of Bristol West and others from across the country along with my colleague, the excellent shadow Minister for housing and housing safety, my hon. Friend the Member for Weaver Vale (Mike Amesbury). Those residents just want to get on with their lives. It is a tribute to all of them that they keep campaigning. So many MPs tried to get on to the speaking list today that they could not all get on. I commend colleagues for standing up for lease-holders, whether they are able to speak today or not There is cross-party consensus—agreement across both Houses and across the country—that we should put the needs of those first-time buyers, key workers and pensioners first. I am not asking Members to vote with the Opposition; I am asking them to vote with their constituents to show that they will always put their interests first. If Members agree with what is in the motion, they should vote for it. It is as simple as that.
ParlaMint-GB_2021-02-01-commons.u138	I remind Back Benchers that there will be a three-minute limit.
ParlaMint-GB_2021-02-01-commons.u139	There is a shared desire in Parliament to ensure that absolutely everyone in our society lives somewhere decent, safe and secure. We are united in that commitment, and our thoughts naturally turn to the still unimaginable tragedy of Grenfell Tower. It should not have taken such a deadly fire, with such a terrible loss of life and suffering, for us to face up to the failures of building safety that have built up over decades under successive Governments. We are determined to do our duty by those whose lives were changed forever that night, right the wrongs of the past, and bring about the biggest improvement to building safety in a generation.
ParlaMint-GB_2021-02-01-commons.u140	The Minister will know that cladding issues affect thousands of my constituents, as do the wider issues of fire safety and building safety. Will he make clear when the legislation will come forward on both fire safety and building safety? Will he also give us an update on the EWS1 forms? He told the House in November that there had been negotiations, through the Royal Institution of Chartered Surveyors, with lenders, but many of my constituents say that they are still facing serious issues in acquiring those forms.
ParlaMint-GB_2021-02-01-commons.u141	I am obliged to the hon. Gentleman for his question, and I shall certainly address the fire safety and building safety legislation as I advance through my remarks. With respect to the EWS1 forms, he will know that RICS has undertaken a consultation on the reform proposals, which ought to reduce some of the burden that some people face. That consultation closed on 26 January, and we await its results, but certainly as a result of the negotiations that we undertook with the industry and with RICS, some 450,000 people who might otherwise have been affected by the EWS1 forms are no longer obliged to complete them We know that, through no fault of their own, many leaseholders have found themselves in a most challenging, difficult and, indeed, agonising situation. Their situation is undoubtedly a complex one. Its roots extend over many years, and there are no easy answers.
ParlaMint-GB_2021-02-01-commons.u142	Will my right hon. Friend confirm that leaseholders will not be gagged by confidentiality clauses in any remediation contracts?
ParlaMint-GB_2021-02-01-commons.u143	I am obliged to my hon. Friend for that question. He is absolutely right. Leaseholders will in no way be gagged by the standard contractual obligations between Government and applicants for Government moneys for remediation. We have written to anybody that has applied to the scheme to make it clear that if people wish to make comments about policy or about their own remediation situation, they should be allowed to do so. I say to my hon. Friend that should anybody from petty officialdom suggest that his or any other constituents do not speak out, they offer that petty official a good old-fashioned Anglo-Saxon gesture in response.
ParlaMint-GB_2021-02-01-commons.u144	Will the Minister give way?
ParlaMint-GB_2021-02-01-commons.u145	I will make some progress; I shall give way to the hon. Gentleman later on I welcome the opportunity to speak in this debate and to outline the decisive action that we are undertaking to remove unsafe cladding, to strengthen the regulations and to support leaseholders. We established our building safety programme within days of the Grenfell Tower tragedy. Its aim has always been to ensure that residents in high-rise blocks of flats are safe now and in the future. We have worked intensively and extensively to ensure that buildings with dangerous cladding are made safe as quickly as possible and, backed by £600 million of Government funding, real strides have been made in removing this unsafe aluminium composite material—ACM—cladding. Last year, despite the pressures of covid-19, more high rises with ACM cladding were made safe—either their works were begun or they were made safe—than in any previous year, which is nearly double the number in the previous year, 2019. Last month, we reached a major milestone. All high-rise social sector buildings have either had their unsafe ACM cladding replaced or seen the work get under way.
ParlaMint-GB_2021-02-01-commons.u146	My constituents in Ipswich are very pleased that they will be eligible for the waking watch relief fund, but it is only £30 million and many are concerned that it simply will not go far enough in addressing all buildings that need a new fire alarm system. What would the Minister say in response to their concerns?
ParlaMint-GB_2021-02-01-commons.u147	I am obliged to my hon. Friend, who I know is a doughty campaigner for his constituents in Ipswich. I shall be addressing the issue of the waking watch and the support measures that we are putting in place as I move through my remarks I should also say that around 95% of all high-rise ACM buildings identified before the beginning of last year, across both the public and private sectors, are either fully remediated or have seen work commence on site. Indeed, all the buildings with unsafe ACM cladding in the constituency of the hon. Member for Bristol West (Thangam Debbonaire) constituency have at least seen works start, if they are not already fully completed. These figures bear testament to the progress that we have made, the pressure that we have successfully exerted and the action that we have taken over the last three and a half years to get this job done. Where funding alone has not been enough to increase the pace of remediation, the Government have not hesitated to direct expert support to projects. Where building owners have still failed to take action despite that support, we have backed robust enforcement measures, spurring them to act without delay. Indeed, there have been 57 enforcement actions so far, 19 of which have been supported by the Government’s joint inspection team.
ParlaMint-GB_2021-02-01-commons.u148	Will the Minister give way?
ParlaMint-GB_2021-02-01-commons.u149	I will give way very briefly, and then I must make some progress.
ParlaMint-GB_2021-02-01-commons.u150	I am very grateful the Minister. He refers to building owners. Clearly, where there is a contractual obligation for building owners to remediate, that is absolutely right, but does he accept that lots of building owners have no contractual obligation—no legal obligation—to carry out that work? At Nova House in Slough, for example, the building owner simply gave it back to the local authority, which then issued service charges to the residents because there was no contractual obligation for anybody else to do the work. Perhaps we need to look at a wider community, rather than just building owners, to provide a funding solution for this problem.
ParlaMint-GB_2021-02-01-commons.u151	My hon. Friend puts his finger on the nub of the matter, which is the complexity of the situation with which we and those people who find themselves in this difficult situation have to grapple, and that is what the Government are doing The Government initially focused our efforts on ACM cladding of the type used on Grenfell Tower because it poses the most severe safety risk on high-rise residential buildings, but we recognise that other forms of unsafe cladding, although less dangerous than ACM, should never have been used. Although many building owners have taken action, some have not. Too many building owners and managing agents in the private sector have been slow in getting remediation work started, which is why we introduced the £1 billion building safety fund to remediate high-rise residential buildings with unsafe non-ACM cladding as soon as possible and protect the leaseholders from burdensome costs We received 2,840 registrations for the fund, and have been able to make eligibility decisions on a significant number of them that were fully completed. It is disappointing that, despite our requirements having been made clear from the outset, many building owners have been unable to provide the basic information needed to advance works, including information such as the height of their building, the EWS systems on their walls and even sample lease agreements. We have been engaging with registrants and the industry bodies to understand the challenges they have in meeting the deadlines, and have set a new deadline of June based on what we now know about the registrants and their readiness to be able to deliver Building owners should be in no doubt: it is vital that dangerous cladding is removed as fast as possible, and the Government will not tolerate unnecessary delays. If they can collect the service charges, they can get the remediation on their buildings done. That applies just as much to small blocks of flats as it does to large ones, and we have given clear expert advice on a range of safety issues for buildings of all heights. Public funding has rightly been focused on remediating unsafe cladding on high-rise buildings of 18 metres-plus. That reflects the exceptional fire risk that certain cladding products pose at that height, as Dame Judith Hackitt observed in her report into fire safety. However, our guidance is unambiguous in stating that building safety is the responsibility of building owners, irrespective of whether their buildings are above or below 18 metres in height. The Government will continue to ensure that building owners—the ones who are ultimately responsible for making sure that these homes are safe—do the right thing We have targeted remediation funding where it is needed most: removing and replacing cladding on high-rise residential buildings. Interim safety measures such as waking watch have in many cases been used to ensure that the safety of residents in buildings with unsafe cladding is maintained. However, we are clear that waking watch regimes should only ever be used in the short term, because they are an entirely inadequate substitute for remediation. Some building owners have been using them for too long and have been passing on costs, which are unsustainable to leaseholders and residents, adding to the emotional distress and financial strain that they already suffer. We have been clear that that behaviour is unacceptable and cannot continue, which is why my right hon. Friend the Secretary of State announced in December a £30 million fund to pay for the costs of installing alarm systems in buildings with unsafe cladding, thereby reducing the need for a waking watch. The fund is available across England. It is now open and I encourage those eligible not to delay but to start their applications now, so that we can urgently distribute the payments It is wrong and unjust for leaseholders to have to shoulder unfair costs to fix historical safety defects that they did not cause. That is why the Government have already set aside £1.6 billion in funding for cladding remediation. The funding was put in place precisely to ensure that the most dangerous types of cladding were removed as quickly as possible without imposing crippling bills on leaseholders. However, public funding does not absolve industry from taking the responsibility for the failures that led to unsafe cladding in the first place by putting materials on buildings that should not have been there We have seen many developers and building owners rightly taking responsibility for correcting those defects. They have done so in more than half of the high-rise private sector buildings with unsafe cladding. We absolutely expect developers, investors and building owners who have the means to pay to do the right thing and cover the costs of remediation of other unsafe cladding themselves without passing on the cost to leaseholders. However, in many cases, building owners or their managing agents have simply passed on significant remediation costs to leaseholders without regard to the affordability of those measures. That is why we have been accelerating the work to develop a financial solution to protect leaseholders from such costs. There is no quick fix. If there were, we would have done it long ago. It is complex and it involves many parties: leaseholders with different leases, developers, warranty holders, the insurance industry, the mortgage lenders, and the owners themselves. We have to find a solution that is right and proper, that demands of owners and developers that they put right the problems and defects they caused, that is fair to leaseholders who should not have to carry unfair costs for problems that they did not cause or envisage, and that is fair to the taxpayer, who is already shouldering a significant burden in remediating many buildings I can assure hon. Members that we will be making a further announcement on this important work “very shortly”, as my right hon. Friend the Prime Minister said at PMQs last week. We must recognise that Government funding alone cannot solve some of the deep-rooted issues surrounding building safety. As Dame Judith Hackitt concluded in her review, it is vital that we reform the entire building safety regime, and that means a fundamental change in the regulatory framework, in industry and in its culture We are committed to bringing forward the most significant building reform in almost 40 years, with two landmark pieces of legislation: the forthcoming Building Safety Bill that will create a more accountable system, and the Fire Safety Bill, currently before the House, which clarifies the Regulatory Reform (Fire Safety) Order 2005. Taken together, these measures will improve the safety of residents in blocks of flats of all heights It may be worthwhile if, before I conclude, I commented on some of the amendments tabled to the Fire Safety Bill, particularly those by my hon. Friend the Member for Stevenage (Stephen McPartland) and by my hon. Friend the Member for Southampton, Itchen (Royston Smith), who is in his place. We fully understand what our hon. Friends are attempting to achieve in their amendments. We entirely understand that they want to remove or reduce the burden on leaseholders, and we wish to do the same. However, having looked at their amendments closely, it is clear to us that their scope, as currently drafted, would mean they would apply only to residents and leaseholders who have had a fire risk assessment undertaken, and not to residents who have suffered an incident or had works done for any other reason. Nor are the amendments drafted in such a way as to allow them to be introduced without significant change to the Bill, both to the primary legislation and to the secondary legislation that must follow. As a result, the amendments would significantly impair the Bill’s progress through the House—they would delay it—and so, having looked carefully at my hon. Friends’ amendments, I encourage them to withdraw them The Building Safety Bill is the best mechanism to achieve my hon. Friends’ aims, which are to introduce a new and stronger regulatory regime for building safety in buildings of 18 metres or more in height, and for all construction products. The Bill will establish a new building safety regulator in the Health and Safety Executive, sitting at the heart of the reformed building programme. It will place clear legal duties on those who build and manage buildings in scope of the new regime to manage any risks that they create and, crucially, it will enable the regulator to enforce those laws In conclusion, high-rise buildings in this country should never have been fitted with dangerous or unsafe cladding. Successive Governments have failed to confront this issue, but it is this Government who are resolving it once and for all, making homes safer and protecting the residents from crippling costs, and at a pace that the severity of the situation demands. That is what we have already achieved: almost 95% of buildings identified at the beginning of last year with unsafe ACM cladding have now completed or are in the process of completing their remediation; we are advancing applications for the building safety fund; we are appointing specialist consultants to increase the pace of remediation; and we are introducing our additional landmark legislation. We will not let up. This work will be going on long after this Opposition day is over and long after the Leader of the Opposition has issued his tweet. We will not let even the pandemic, which is affecting our country and the world, slow us down. We will work to restore the inalienable right of everyone in this country to live somewhere that is decent, secure and, above all, safe—a place that they can rightly and proudly call home.
ParlaMint-GB_2021-02-01-commons.u152	The Grenfell fire of 2017 was a catastrophic event and its devasting consequences are still being seen even today, with the public inquiry revealing new information each week. I want to take a moment to remember all those who died in the fire—all those lives so needlessly lost. I also want to pay tribute to the tireless campaigning by their families. It is vital that the victims of the fire and their families receive the justice they deserve through the inquiry. It is my hope that, because of the work of the Grenfell inquiry, serious measures will be put in place to prevent another catastrophic event such as Grenfell from ever happening again However, when we look at how the UK Government are currently tackling the cladding crisis, we see that their policies fall short. For example, the fund provided by the UK Government is not enough to cover all the properties with dangerous cladding, leading to a first come, first served approach and many people still living with unsafe cladding on their properties. Obviously, housing and local government is a devolved issue, but the UK Government’s building safety programme will undoubtedly have consequences for Scotland. Despite the building safety programme applying only in England and Wales, its advice is being used by insurance companies and mortgage providers in Scotland to guide their decisions. The EWS1 form currently applies only to properties in England, but the Glasgow Times has reported that inspectors are using the form and granting homeowners a certificate of safety. Without the EWS1 being law, homeowners are looking towards England’s cladding situation as guidance While these decisions by the UK Government are positive for improving safety, they have meant that many property owners in England are unable to remortgage, sell or insure their properties, as insurance and mortgage providers refuse to accept the risk of external cladding. Residents are not legally responsible for the external cladding and do not have the money to remove it, which has left huge numbers of people completely stuck and unable to sell their properties Guidance is now even affecting properties below the 11-metre and the 18-metre mark. Again, while this currently applies only to England and Wales, insurance companies in Scotland are also following these recommendations, thus affecting Scottish homeowners and tenants. Surely the UK Government and the Minister can see that it is completely unfair that residents and leaseholders are burdened with the costs of removing cladding that they had no say in installing. There are certainly reports of residents in England facing huge and very unfair repair bills, while the housing firms that own the at-risk buildings are having their costs recovered I recently heard the story of Sophie Grayling, a mother who was so proud to buy her first home in 2017. However, the flat that she bought was part of a building clad in ACM cladding—the exact same type, as we know, used on Grenfell Tower. Ms Grayling’s building is under the 18-metre threshold for the fund offered by the UK Government to remove the cladding, and with cladding remaining in place she has seen the sale of her home fall through, is facing a bill of thousands to fix the block’s issues and, most importantly, every night puts her child to bed with the knowledge that her building is covered in the same material that saw 72 lives lost in the inferno at Grenfell. It is clear that that is unjust. Homeowners like Ms Grayling now face a Catch-22 situation: they either pay out of their own pocket to fix a problem that is not their fault or stay stuck in an unsellable flat that risks their safety. That story is not unique. More than 1 million people are still unable to remortgage or sell their properties because of the cladding. However, the frustration does not even end there: the UK Government are attempting to silence homeowners currently waiting for support, demanding that they do not speak to the media Homeowners applying for the fund to help to pay to remediate buildings will not be able to talk to a journalist. I know that the Minister said earlier that people should not listen to petty officialdom, but in order for petty officialdom to come to the fore at some point a Minister was not doing their job in terms of signing this off. People who are stuck in that incredibly tough position—unable to sell their house and facing massive bills because of the UK Government’s policy—must be able to speak to the press and expose the reality of how the cladding scandal is being dealt with In Scotland, cladding has been handled differently. As I said, housing and local government are devolved, so the removal of cladding is within the remit of the Scottish Government. That has enabled Scotland to require buildings to be constructed in a way that aids in the prevention of fires, which has contributed to Scotland having only a handful of properties—albeit, in my view, still too many—with Grenfell-style cladding compared with more than 450 in England However, even with that lower number, the Scottish Government are avoiding being complacent on cladding through the building standards futures board, and are continuing to improve building standards across all of Scotland. They are looking at other issues related to fire outside of cladding, such as holistically addressing high-rise buildings to make them safer, leading to requirements that will soon be introduced for sprinklers to be installed in new-build social housing and flats The UK Government should similarly address the cladding scandal by placing a focus on those who own and rent properties with unsafe cladding. The people most affected by the dangers of cladding should be at the centre of the discussion. Instead, the UK Government are burdening them with huge costs and the inability to sell or remortgage their flats.
ParlaMint-GB_2021-02-01-commons.u153	The hon. Member has obviously been very critical of the UK Government and full of praise, as usual, for his colleagues in the Scottish Government, but he will be aware that the press reports in Scotland are highly critical of the high-rise inventory and how the Scottish Government have managed it. Furthermore, the group set up by the Scottish Government to allocate the almost £100 million fund that was designed to support people having to deal with cladding issues has not met since April last year. I would like to hear his comments on those points, please.
ParlaMint-GB_2021-02-01-commons.u154	I am grateful to the hon. Member for that intervention. Speaking as someone who has 10 tower blocks in my constituency—I do not know how many there are in rural Scotland—I am very familiar with the issue, and I assure him that the conversations that I have on a regular basis with the Minister for Local Government, Housing and Planning, Kevin Stewart, indicate that it is a very high priority for the Scottish Government. That is precisely why they have taken that action. I am none the less very grateful to the hon. Member for making what I am sure is not a party political point on what I think we all agree is a very serious issue The English fund covers only around one third of the costs to remove cladding in England, and with its being first come, first served, it will exclude some of the buildings in the most dire need of remediation. The UK Government should invest the money necessary to ensure that all at-risk residences in England can have remedial action carried out on them. The UK Government should also follow Scotland’s example of targeted support for the most at-risk buildings to avoid the first come, first served approach Instead of the UK Government’s policies targeting the companies responsible for the dangerous cladding, they are burdening homeowners and leaseholders. When we look at preventing further fires caused by cladding, it is important that we keep renters and homeowners in mind, such as Sophie Grayling and her young son, both of whom are stuck in an unsafe flat facing huge bills. We should consider the impact on homeowners and renters who already feel unsafe in their own homes. It is time for the UK Government to step up and truly tackle the cladding crisis, and help those in the most vulnerable position.
ParlaMint-GB_2021-02-01-commons.u155	It is on record that I am a leaseholder, and I face no problems of these kinds. I have been working on leaseholders’ problems for well over 10 years, with the support of the campaigning charity Leasehold Knowledge Partnership I pay tribute to my right hon. Friend the Minister and to the Secretary of State, who are now showing that Government understand a large part of the scale of the problems. I believe that it is better if we do not have a vote today. We should look on this debate as a “take note” one. We are all trying to face the problems of our constituents who are living in homes that are unsafe, unsaleable and unaffordable. I pay tribute to the Housing, Communities and Local Government Committee, and I look forward to hearing the Chair, the hon. Member for Sheffield South East (Mr Betts), speak shortly. Its reports on the situation of leaseholders even before we knew about this tragedy and its subsequent reports about the Fire Safety Bill are important I wish Michael Wade well in trying to advise Government on finding ways forward, and I commend the then Prime Minister who, on 27 June two and a half years ago, said that the Government do not rule anything out. What needs to be ruled in are, first, making the money available so that buildings can be made safe; secondly, challenging the insurance industry, which is putting premiums up at rates that I think should be investigated by the Competition and Markets Authority to see whether they are fully justifiable; and, thirdly, making sure that in the end, and as we know from court actions and inquiry results we can anticipate, the people who are responsible for this chaos—dangerous chaos—will actually have to pay. I do not think the taxpayer should necessarily have to do it; the Government have to make themselves responsible for finding the way forward. Those who are responsible—not all, knowingly—include the developers, the builders and the present landlords, some of whom were the developers. They include local building control possibly, national regulators certainly and the component manufacturers. Those of us who have been speaking about the problem for the past three years—and I wish that some of the other advisers to Government on leasehold issues had been saying the same thing rather more clearly—think that this has to be tackled in a way that cuts short waiting for court actions that may take 10 years and provides the money now, by the end of the year, so that work can be started and finished as soon as possible and so that people have homes they can stay in or leave safely, and are affordable. I would trust those on the Select Committee most to work with Government to make sure that we find the solution, and I would hope to know that we have done that before we have got another few months further forward.
ParlaMint-GB_2021-02-01-commons.u156	I begin by thanking the Father of the House for his very kind comments. Certainly, we have worked together on these issues. I congratulate all the members of the Select Committee as well. We have looked at the issue of building safety, particularly cladding, on a number of occasions, and we have produced a number of reports, all of them unanimously. It is to the credit of all members of the Committee—I notice that the next speaker will be the hon. Member for Harrow East (Bob Blackman), who is an important member of the Select Committee—that we have done so on a cross-party basis I will quote one or two of our very clear recommendations. In 2019, we said that the Government should provide funding to remove “any form of combustible cladding…from any high-rise or high-risk building”, regardless of height. In our 2020 report, we recommended: “The Building Safety Fund will need to be increased to address all fire safety defects in every high-risk residential building—potentially costing up to £15 billion.” Then we did pre-legislative scrutiny of the Building Safety Bill, and we said: “The Government must recommit to the principle that leaseholders should not pay anything towards the cost of remediating historical building safety defects” We have been very clear on all those matters: leaseholders should not pay. They should not pay some unidentified, affordable amount or fair amount, and neither should we get into a position of offering them loans to pay off the debts, because what do loans do but put leaseholders in more debt? At the same time, loans would put many of them into negative equity The leaseholder should not pay, and we know that developers and others eventually should be held accountable, but as the Father of the House has just explained, so many potential organisations could be held accountable and the legal arguments will go on and on. Many of the developers have gone out of business and do not exist anymore. Yes, we should pursue them, but in the meantime, the Government have to stand up and commit far more funding than is in the Building Safety Bill, which simply does not cover anything like the £15 billion of potential costs. Eventually there might need to be an industrial levy to pay part of it, and it is for the Government to come forward with recommendations, if they so choose. The issue is not just about high-rise buildings over six storeys—I think the Minister has accepted that point. It is about all buildings where people could be at risk, including residential homes, care homes and so on. It is also not just about cladding, but about all potential fire risks in buildings, such as dangerous balconies, faulty fire doors, missing firebreaks and faulty installation —all the things together that need putting right to make the buildings that people live in safe Finally, we talk about numbers, but in the end behind all these numbers are individuals and families living in potentially dangerous buildings with debts around their neck that they cannot afford to pay, unable to sell their homes if they so wish. We owe it to them to get action on this issue immediately.
ParlaMint-GB_2021-02-01-commons.u157	It is a pleasure to follow the Chairman of the Select Committee, who spoke about the inquiries that we have done—seemingly endlessly—over the past six and a half years. Three and a half years after the Grenfell tragedy, we still have leaseholders living in unsaleable, un-mortgageable, uninsurable, unsafe properties, and that is a disgrace that we have to put right. Progress on remediation has unfortunately been slow. It picked up last year, which is good news, but it has been slow and we still have buildings with unsafe cladding, which makes the homes almost impossible to sell, should someone so wish This is a complicated debate and a complicated issue, because we have ACM and non-ACM cladding and we have other fire safety issues, to which the Chairman of the Select Committee has referred. The Government, however, are responsible for two things that are important in this process: first, the testing regime, which is not fit for purpose and needs fundamental reform to ensure that cladding and other things that are put in buildings are safe; and secondly, the building regulations that control them We have a problem with building ownership, which is complex and unclear, with many buildings owned by offshore trusts and other organisations. We have to deal with those particular issues, but it is fundamental that leaseholders should not have to pay a penny piece towards the cost of remediating unsafe cladding The Government have rightly come forward with the Fire Safety Bill and the Building Safety Bill, and I sat through the pre-legislative scrutiny on the Building Safety Bill. The problem with the Building Safety Bill is that it will take a very long time before it comes into law and is actually put into practice. If the Government are against the amendments to the Fire Safety Bill tabled by my hon. Friends the Members for Southampton, Itchen (Royston Smith) and for Stevenage (Stephen McPartland), they are honour bound to come forward with alternative amendments that meet the fundamental principle that leaseholders should not pay The key is this: what do we do for the people who are in this position? Surveys cost an enormous amount of money. The industry cannot have the capacity at the moment to rectify all the damage that has been done. What is clear is that we need to ensure that the building owners and those responsible foot the bill. We have to end self-certification of buildings. It is unacceptable that building developers can just self-certify that their buildings are safe and are within the scope. We have to make sure that the Government extend the building safety fund into next year, increase the amount of money available, and make sure that the work is done—if necessary, taking over these buildings, remediating them, and then turning them into commonhold so that the leaseholders know that they have a safe building and are not paying a penny.
