ParlaMint-GB_2020-05-20-commons.u1	What recent discussions he has had with the Scottish Government on the covid-19 outbreak.
ParlaMint-GB_2020-05-20-commons.u152	I completely endorse what the right hon. Lady said about Epilepsy Week and mental health: we do indeed need to look out for each other, particularly at a time of lockdown, when many people are suffering, and loneliness is a particular and difficult problem, especially for people who are shielding and must take particular care. That is obviously at the forefront of the Government’s mind With regard to Nazanin Zaghari-Ratcliffe, consular work continues, but it is not always best to argue this on the Floor of the House, if the right hon. Lady will forgive me for not giving more details on this occasion To come to the more politically controversial issues, on the guidance for Members coming back, they know what the national guidance is—the guidance provided for people returning to work, on how they should try to come back to work, what the procedures are and how they should try to distance themselves socially. Members who are already here will see in the House how much marking out has been done to help people to stick to the guidelines The work done with members of staff has been exemplary. It is reassuring to know that the numbers of House staff expected back with MPs returning after Whitsun is not expected to change significantly from the number currently coming in to facilitate the hybrid Parliament. The burden on our staff is not the burden; the burden is on us as Members of Parliament and therefore it is one that we should undertake, because we are like the rest of the country in these circumstances The right hon. Lady asked questions about schools and wants a statement from the Secretary of State for Education. He responded to an urgent question last week. I hope it is not indiscreet of me to say, but he was himself very keen to make a statement, although the scheduling did not allow for that. He is keen to report to Parliament, and to keep Parliament up to date. There is, however, a real issue with the widening attainment gap, with schools not being open. That is why it is important for schools to open—if they can—in accordance with the five tests that the Government have set out With regard to praying against SIs, most Henry VIII powers are subject to affirmative SIs, rather than negative SIs, and are therefore automatically subject to a process in the House. The general policy of the Government, however, as of many previous Governments, is that when SIs are prayed against by the official Opposition, usually, if it is a reasonable prayer, debating time will be found. That is an important constitutional matter, but it is also why we need a physical Parliament back because there would not be any time for praying against statutory instruments if we were not back. I am grateful to the right hon. Lady for making my argument about the essential need for Parliament’s returning reasonably soon I am obviously sorry to hear about the difficulties that the right hon. Lady’s constituent is facing. I would point out that £11.1 billion is being paid out in furlough money and £7.5 billion in loans backed to 80% by the Government. That is major support for industry, and I think the Chancellor has done a quite phenomenal amount in getting support to businesses, but I would happily take up the specific case with the right hon. Lady, and likewise for the dentists in her constituency. I cannot claim to be an expert on the type of PPE that she is referring to, but I am sure there are people in Government who are and who can get her a proper response.
ParlaMint-GB_2020-05-20-commons.u153	During this lockdown, we have seen numerous cases of broadcast media interviewing people in a manner that suggests they are independent experts, whereas they are in fact partisan political activists. That, of course, culminated in the notorious “Panorama” programme last month, but there are many other examples. Can we therefore have a debate on the guidelines that broadcasters are meant to use in order to provide their viewers with an informed picture of what they are actually watching?
ParlaMint-GB_2020-05-20-commons.u154	My hon. Friend makes an important point. I know that my right hon. Friend the Secretary of State for Digital, Culture, Media and Sport has written to the BBC asking for an explanation of that “Panorama” programme, which seemed to have Communists in the background giving advice on how the programme was structured. I did not realise there were any Communists left in this country, but the BBC managed to dredge them up. He is absolutely right to ask for a for a debate—[Interruption.] The right hon. Member for Walsall South (Valerie Vaz) heckles, Mr Speaker. It is so unlike her; she is normally so ladylike and does not heckle. I would say that yes, it is a free country, but the BBC is obliged to be impartial. It has charter obligations. The issue regarding debates is that when the House is back in real form, there will be more opportunity and more time for debates, which I hope will satisfy many hon. and right hon. Members.
ParlaMint-GB_2020-05-20-commons.u155	We now go to the SNP spokesperson, who has up to two minutes.
ParlaMint-GB_2020-05-20-commons.u156	Let me take up where I left off 25 minutes ago. I have still not had an answer on whether the Leader of the House believes his proposals for Parliament’s return are compatible with the equalities legislation of the United Kingdom, and I would like him to comment on that matter. I also have two further points, Mr Speaker First, we are told that Public Health England will again inspect the building during recess and advise on whether and how business can be conducted safely. What happens if Public Health England says that that cannot happen? Do the Government then intend to override the public health advice given by their own agency? Would it not have been more sensible to make these decisions after rather than before determining whether they can be implemented safely, or is this a case of wishful thinking taking the place of evidence-based policy? If the advice is that the number of hon. Members must be restricted, on what basis will the Government determine who can attend and who cannot Finally, I turn to the question of remote voting. While everyone can see that online participation in debates is not ideal, although it is better than no participation at all, that is not the case with online voting. The process is simple and secure. This is not an abstract or theoretical question: the system is there. It works. Why on earth switch it off when there is no need to do so? It is accepted that voting cannot be the same as it used to be, with hon. Members crammed into Lobbies, queuing to give their name to a Clerk. I know that a physical vote has been trialled; indeed, I have seen the pictures, and I think once the public see how that is proposed, we will be in danger of exposing this Parliament to even greater ridicule. So why is the Leader prepared to go to any lengths, it seems, no matter how ridiculous, not to continue with the system that is already in place and that works?
ParlaMint-GB_2020-05-20-commons.u157	The hon. Gentleman is, of course, a separatist, and he gives the game away when he refers to “even greater ridicule”, because he does not wish this Parliament to be the Parliament of the United Kingdom. He wants to separate himself from it and therefore uses every opportunity to ridicule it, which I am not sure is entirely helpful or reflects the views of the majority of Members As regards remote voting, there was a very clear undertaking that it would be temporary. The consensus reached within the House to allow the hybrid Parliament was based on consent, on the basis of it being temporary. If people want to make an argument for the longer term about remote voting, they are absolutely entitled to do so, and no doubt the Procedure Committee will look at it, but that is an argument for another day. I would be acting in bad faith if I did not deliver on the commitment to those who never wanted remote voting in the first place that it will stop at the point at which we return to a physical Parliament As regards how numbers will be kept down, there is a well tried and tested pairing system, and discussions are going on between the Whips. I expect that any Member who is concerned about coming here will not have to attend or will not be whipped to attend With regard to Public Health England, Mr Speaker, you and the spokesman for the Commission are probably better placed to answer these questions, but Public Health England has been involved in many discussions. The House authorities have liaised very closely with PHE throughout the whole process. That is why these markings are down on the floor. That is why, Mr Speaker, your plan for effectively a roll-call Division is being tested—it worked rather well yesterday—rather than using the Division Lobbies. That is on advice, which is being followed, and we are acting in line with other businesses that are planning to come back to work. Finally, as regards the hon. Gentleman’s question on whether we are obeying the law, of course the House of Commons and Her Majesty’s Government are obeying the law.
ParlaMint-GB_2020-05-20-commons.u158	My right hon. Friend was undoubtedly correct in his answer to the shadow Leader of the House a moment ago when he said that the Government’s support for employment, business and industry has been extraordinary and hugely impressive, especially the retail, leisure and hospitality industries. However, many companies that supply those industries are not covered by those provisions, which risks risking the future of those industries, because they are experiencing difficulties. Can we have a debate in Government time on the future of the UK hospitality and leisure industries and the companies that supply them?
ParlaMint-GB_2020-05-20-commons.u159	I am grateful for my hon. Friend’s reference to the support the Government have given. I really think that my right hon. Friend the Chancellor has managed to be stunningly innovative in providing support for businesses in a way that, historically, is not what Finance Ministers across the world manage to do. His achievement is of historic proportions, and I am grateful for what my hon. Friend said. As regards a debate in Government time on the hospitality industry, that is one of the great virtues of our coming back to a physical House—there will be more opportunity for debates, and we will have to see whether such a debate can be slotted in or will fit into any of the other discussions that will be taking place.
ParlaMint-GB_2020-05-20-commons.u160	Welcome to a very warm and sunny Gateshead. I note from the Leader of the House’s statement that a general debate on Thursday 4 June has been facilitated. The members of the Backbench Business Committee and applicant Back-Bench Members across the House will be disappointed to learn that there is no place for any Backbench business debates if the House returns in the first week of June. In particular, there are many aspects of the Government’s response to the coronavirus pandemic that Members across the House wish to see aired, with answers to concerns and questions gained from Ministers. Could the Leader of the House facilitate that as soon as possible? Could he confirm that, if we return on 2 June, Select Committees—one of which I sit on—will still be meeting virtually, so I will have to travel 300 miles to attend Select Committee meetings virtually from my office in Westminster?
ParlaMint-GB_2020-05-20-commons.u161	If the hon. Gentleman’s background is anything to go by, the sun is very bright in Gateshead—almost blindingly so. On the last point, the motion for Select Committees runs until 30 June and is then renewable at your discretion, Mr Speaker; that is therefore a matter for you, and it would be wrong of me to trespass on your prerogatives. [Interruption.] I am being heckled by Mr Speaker As regards the debate on 4 June and the motion put forward in relation to the European negotiations, there is a statutory obligation on the Government to provide time for that, so it is not like a Backbench business debate. However, I have a great deal of sympathy for what the hon. Gentleman says. I understand that there is a widespread demand for a wide range of Backbench business debates, as we see in these sessions every week, and once we get back to normal, there will be more opportunity to ensure that we get back to complete normal, rather than semi-normal.
ParlaMint-GB_2020-05-20-commons.u162	I thank the Leader of the House for the reassurances he has given on safety so that Parliament is able to return physically as soon as possible. Areas of the country such as Stoke-on-Trent, where we need to level up our economy, could be hit hard by the impacts of coronavirus, so may we please have a debate in Government time on continuing and redoubling the levelling up agenda, so that we see investment into areas that have historically missed out?
ParlaMint-GB_2020-05-20-commons.u163	I am grateful for the points made by my hon. Friend from, I assume, his wonderful constituency, which I visited for a Conservative tea last year, when we were still able to move throughout the country. There is serious economic disruption as a result of coronavirus and, as the Office for Budget Responsibility has outlined, without the package of unprecedented measures, the impact would be much worse. Councils have been given £3.2 billion of extra money and there is a further £2.6 billion in deferred business rate payments coming from central Government, but I agree with my hon. Friend entirely that we have to think of ways in which to grow the economy of our whole nation. I encourage him to speak to the Secretary of State for Business, Energy and Industrial Strategy, but I add once again that once we are back normally there will be the opportunity to have these important debates.
ParlaMint-GB_2020-05-20-commons.u164	Hull’s proud status as a maritime city is at risk of being tarnished because of the damaging actions by P&O Ferries, which appears to be using the covid-19 crisis to replace UK seafarers with exploited Filipino workers who are paid much less and forced to work much longer hours, putting at risk the safety of everybody aboard the ferry. My hon. Friend the Member for Kingston upon Hull East (Karl Turner) has raised this issue before, and the situation is now even more urgent. May we please have a statement in the House from the maritime Minister on how the Government are going to protect UK seafarers’ jobs?
ParlaMint-GB_2020-05-20-commons.u165	This issue has indeed been raised in the House before and is something that the Government are aware of. I will take it up with the Department for Transport so that a fuller answer can be prepared for the hon. Lady.
ParlaMint-GB_2020-05-20-commons.u166	I am sure the Leader of the House will have seen the sad news today of potentially thousands of redundancies at Rolls-Royce’s Derby plant. In the light of the large amount of redundancies that might keep happening, will he be able to find time for a debate on how we can best support people to find new work after this crisis is over?
ParlaMint-GB_2020-05-20-commons.u167	My hon. Friend raises a point that will affect many of us in many constituencies. As the Chancellor explained to the House of Lords Economic Affairs Committee, the effect of the coronavirus is of the greatest seriousness and depth, and the Government and Parliament will want to consider and debate very carefully how we recover from it. Of course, I reiterate that once we are back normally, there will be so much more time for debate.
ParlaMint-GB_2020-05-20-commons.u168	May we have a statement on the importance of having a disability-inclusive covid-19 response? It is Mental Health Awareness Week, and a letter written to the Prime Minister by the all-party group on disability, which I chair, has been co-signed by 101 parliamentarians from both Houses. The letter advises that people with disabilities need additional support at this time. Many are lonely, anxious and isolated. This is an urgent matter that the House should address.
ParlaMint-GB_2020-05-20-commons.u169	I absolutely accept that it is a very important issue and that support for people with disabilities is crucial. The Government have a good record of supporting people with disabilities over the past few years, and that is something we will continue. The instance of covid-19 is a further reason to remember and to help people with disabilities.
ParlaMint-GB_2020-05-20-commons.u170	May I appeal to the Government for a statement on the plight of people, many approaching retirement, with endowment mortgages that are due to mature in the middle of this covid crisis? Such a statement would give the Government the opportunity to urge companies such as the Prudential to extend the maturation date until normality returns and the yield enables people’s mortgages to be cleared in the usual way.
ParlaMint-GB_2020-05-20-commons.u171	My right hon. Friend is absolutely right to refer to people with endowments and the difficulty that they face. Having spent a lifetime—before politics intervened—in financial services, I can say that there is never an obviously right time to redeem investments, so the difficulty would be the Government intervening and setting a new time and that time not necessarily being any better than the existing time. I think that my giving financial advice from the Dispatch Box would be singularly unwise, but I will take up his point with the Treasury.
ParlaMint-GB_2020-05-20-commons.u172	The Leader of the House has said that MPs being in Parliament will enable proper scrutiny. If that return to Parliament has to be physical, can he tell us what provision will be made for MPs and their staff who have childcare or caring responsibilities? I know that he is not a fan of the nanny state, but not all of us have nannies.
ParlaMint-GB_2020-05-20-commons.u173	Not all have six children, either, which I am very lucky and fortunate to have. I absolutely understand, therefore, child caring responsibilities—all my children are quite young. The nursery in the House of Commons is open. Members of Parliament are key workers and therefore schools are available in England for their children. As regards MPs’ staff, they do not need to come back to Parliament. Speaking for my own staff, they are working extremely well and extremely hard from home. This is the first time that I have ever had the opportunity to thank them publicly for the remarkable work that they do for my constituents in North East Somerset. I am sure that many feel the same about their parliamentary staff, and they do not need to come back to the parliamentary estate.
ParlaMint-GB_2020-05-20-commons.u174	I will run this statement until 1.50 pm. I call Michael Gove, who should speak for no more than eight minutes.
ParlaMint-GB_2020-05-20-commons.u175	With permission, Mr Speaker, I will make a statement on the Government’s approach to implementing the Northern Ireland protocol as part of the withdrawal agreement with the European Union The protocol exists to ensure that the progress that the people of Northern Ireland have made in the 22 years since the Belfast/Good Friday agreement is secured into the future. The Belfast agreement is built on the principle of consent. It was ratified by referendums in both Northern Ireland and Ireland, and the agreement is crystal clear that any change in the constitutional position of Northern Ireland within the United Kingdom can come only if the majority in Northern Ireland consent to any change The vital importance of consent is recognised in the provision for any alignment in the protocol to be disapplied if Northern Ireland’s political representatives conclude that it is no longer desirable. Embedding that recognition of consent in the protocol was intrinsic to its acceptance by the Government. Therefore, for the protocol to work, it must respect the needs of all Northern Ireland’s people, respect the fact that Northern Ireland is an integral part of the customs territory of the UK, and respect the need to bear as lightly as possible on the everyday life of Northern Ireland Although there will be some new administrative requirements in the protocol, these electronic processes will be streamlined and simplified to the maximum extent. As the European Commissioner’s own negotiator, Michel Barnier, has spelled out, the protocol’s procedures must be as easy as possible and not too burdensome, in particular for smaller businesses. As is so often the case, but not always, Monsieur Barnier is right. The economy of Northern Ireland is heavily dependent on small and medium-sized enterprises. Subjecting traders to unnecessary and disproportionate burdens, particularly as we wrestle with the economic consequences of covid-19, would not serve the interests of the people of Northern Ireland, for whom the protocol was designed. The protocol text itself is explicit that implementation should impact as little as possible on the everyday life of communities In that context, it is important for us all to recall that the clear majority of Northern Ireland’s trade is with the rest of the United Kingdom, so safeguarding the free flow of goods within the UK’s internal market is of critical importance to Northern Ireland’s economy and people Today, we are publishing a Command Paper that outlines how the protocol can be implemented in a way that would protect the interests of the people and the economy of Northern Ireland, ensure the effective working of the UK’s internal market, and also provide appropriate protection for the EU single market, as well as upholding the rights of all Northern Ireland’s citizens. Delivering on these proposals will require close working with the Northern Ireland Executive, underscoring once again the significance of the restoration of the Stormont institutions in January. I would like to put on record my gratitude for the constructive approach that has been shown by Northern Ireland politicians, including by the First Minister and Deputy First Minister, as well as by hon. Members from across this House There are four steps we will take to ensure the protocol is implemented effectively. First, we will deliver unfettered access for NI producers to the whole of the UK market. Northern Ireland to Great Britain goods movements should take place as they do now. There should not be export declarations or any other processes as goods leave NI for GB, and we will deliver on unfettered access for Northern Ireland goods through legislation by the end of this year Secondly, we will ensure that there are no tariffs on goods remaining within the UK customs territory. In order to ensure that internal UK trade qualifies for tariff-free status, there will need to be declarations on goods as they move from Great Britain to Northern Ireland, but these systems will be electronic and administered by UK authorities. It will be for our authorities to determine any processes that are required, using the latest technology, risk and compliance techniques to keep these to an absolute minimum That will also allow us to deliver on our third key proposal, which is that implementation of the protocol will not involve new customs infrastructure. We acknowledge, however, as we have always done, that on agrifood and live animal movements, it makes sense to protect supply chains and the disease-free status of the island of Ireland, as has been the case since the 19th century. That will mean some expansion of existing infrastructure to provide for some additional new processes for the agriculture and food sector, but these processes will build on what already happens at ports such as Larne and Belfast, and we will work with the EU to keep these checks to a minimum, reflecting the high standards we see right across the UK. There is no such case, however, for new customs infrastructure, and as such there will not be any Fourthly, we will guarantee that Northern Ireland businesses will benefit from the lower tariffs that we deliver through new free trade agreements with third countries. This ensures that Northern Ireland businesses will be able to enjoy the full benefits of the unique access that they have to the UK and EU markets These four commitments will ensure that, as we implement the protocol, we give full effect to the requirements in its text to recognise Northern Ireland’s place in the UK and in its customs territory. As we take the work of implementation forward, we will continue to work closely with the First Minister and the Deputy First Minister, with Northern Ireland MPs from across parties, and with the business community and farming groups that have provided such valuable feedback for our approach Of course, we have already guaranteed, in the “New Decade, New Approach” deal, that the Northern Ireland Executive have a seat at the table in any meeting where Northern Ireland is being discussed and the Irish Government are present. Alongside that, there will be a new business engagement forum to exchange proposals, concerns and feedback from across the community on how best to maximise the free flow of trade, and we will ensure that those discussions sit at the heart of our thinking. We recognise that there will be a wide range of voices and responses to our Command Paper. We will listen to these respectfully while we continue to put our own case with conviction at the Joint Committee. Our approach will of course continue to be informed by extensive engagement with businesses, politicians and individuals right across communities in Northern Ireland. We stand ready to work with the EU in a spirit of collaboration and co-operation so that a positive new chapter can open for Northern Ireland and its people in every community, and it is in that spirit that I commend this statement to the House.
ParlaMint-GB_2020-05-20-commons.u176	I now call Rachel Reeves, who has four minutes.
ParlaMint-GB_2020-05-20-commons.u177	I thank the Minister for advance sight of his statement and the Command Paper During the election campaign, the Prime Minister told Northern Irish businesses that if they were asked to fill in any extra paperwork, they should call him personally and “I will direct them to throw that form in the bin” On 22 January, when the Prime Minister was asked in this House whether that meant unfettered access between Great Britain and Northern Ireland, and Northern Ireland and Great Britain, he said: “Emphatically it does.” But today, for the first time, the Command Paper states that there will be “some new administrative requirements” Checks on animals and agrifood will be a significant escalation of what currently takes place and will mean a border management system that is quite new in terms of its scope and scale. The document published today states that we will need to “expand some existing entry points…to provide for proportionate additional controls.” Will the Minister confirm what proportion of animal and agrifood products he expects will require additional physical checks? Will those checks take place at ports in Northern Ireland? Physical checks require a product to be taken off the lorry, opened, inspected, tested and quarantined until deemed legitimate. That is quite a burden. Can the Minister confirm that there will be physical checks, or, indeed, that there definitely will not be physical checks The document published today states that “some new administrative process for traders,” including “electronic import declaration requirements, and safety and security information, for goods entering Northern Ireland from the rest of the UK” will apply This is no small matter. Import declarations can require 40 separate data points, and Her Majesty’s Revenue and Customs has estimated that each declaration for shipment will cost between £14 and £56. Can the Minister confirm the number of checks and the costs of those checks to businesses? For the 1.8 million goods vehicles that crossed from Great Britain into Northern Ireland last year, that certainly adds up. On tariffs, the Government have previously promised that there would be no tariffs on goods traded either way between Great Britain and Northern Ireland. Indeed, they have said that there will be no tariffs, fees or charges or quantitative restrictions. But today, for the first time, the Government have accepted that there will be tariffs on goods entering Northern Ireland. The Command Paper says that “goods ultimately entering Ireland…or at clear and substantial risk of doing so, will face tariffs.” So can the Minister say who will be levying or administering those tariffs, what “clear risk” means, and who will define it? Could tariffs be applied and later reimbursed, and if so, what would the timetable for that be? The Command Paper says: “We will produce full guidance to business and third parties before the end of the transition period.” That does not give much time for businesses to prepare for what could be quite profound changes The Minister says that goods moving from Great Britain do not need to be checked because the majority will remain in the UK. This is a hugely important point. Indeed, 70% of goods that flow from Great Britain are destined for the high street. I hope that a way forward can be found so that those goods can move freely. However, the Command Paper accepts that “some new administrative process for traders, notably new electronic import declaration requirements, and safety and security information, for goods entering Northern Ireland from the rest of the UK” will apply. So can the Minister confirm that that will include rules of origin checks, safety and security checks and import declarations, and if so, where and how will those checks take place? There is no mention in the document published today of a trusted trader scheme, which is surely essential for ensuring the free flow of goods without tariffs from Great Britain into Northern Ireland that we all want to see We welcome this statement, but it does expose the broken promises made by the Prime Minister. Today, for the first time, there has been an admission that there will be additional checks and that there will be tariffs on goods at risk of entering the single market. Even now, many fear that the Government are not willing to admit the full extent of those. We have seven months to get this right, and we must.
ParlaMint-GB_2020-05-20-commons.u178	I am grateful for the welcome that the hon. Lady gives to the approach that we are taking, and grateful also for her commitment and her party’s commitment to supporting the implementation of the protocol in a way that safeguards the gains of the Good Friday agreement The hon. Lady says that as a result of the implementation of the protocol there will inevitably be checks on not just animals but agri-food products, but, as she is aware, those checks already exist for live animals. Checks are already carried out in the port of Larne and the port of Belfast. We will of course exercise any new checks on agri-food products in a proportionate way, but in doing so we imagine that the proportion of goods that will need to be checked will be very minimal. Of course, because of the very, very high standards that we will maintain in this country on SPS—sanitary and phytosanitary—matters, people can have absolute confidence that the quality of goods that are being placed on the Northern Ireland market is of the highest level. The hon. Lady asked about the cost of the checks. We will be working with HMRC in order to ensure that the checks are as light-touch as possible and integrated, for example, into the operation of VAT returns and other processes with which businesses are already familiar. We are confident that Northern Ireland’s businesses and HMRC can work collaboratively in the course of the remaining seven months before the transition period ends in order to have a system that is operational, light-touch, effective and unobtrusive The hon. Lady makes a point about tariffs. Of course, tariffs would apply only in the case of there being a zero-tariff, zero-quota free trade agreement with the European Union. The European Union is committed in the political declaration to securing such a zero-tariff, zero-quota arrangement, in which case the provisions in the protocol for the remittance of tariffs would not be required. I refer her to paragraph 27 of the Command Paper, which makes it clear that if it were the case that there were no agreement and that tariffs did have to be levied, the Government would “make full use of the provisions in the Protocol giving us the powers to waive and/or reimburse tariffs on goods moving from Great Britain to Northern Ireland, even where they are classified as ‘at risk’ of entering the EU market.” So there would be no additional costs for businesses The approach that we have taken, as the hon. Lady knows, is designed to ensure the maximum level of security for the businesses of Northern Ireland. If the protocol is implemented in line with our approach, that means that they will have unfettered access to the rest of the UK’s internal market and also free access to the EU’s single market. That is a great prize and one that I believe all businesses in Northern Ireland would want us to help them to grasp.
ParlaMint-GB_2020-05-20-commons.u179	I am grateful to my right hon. Friend for his statement. Will he confirm that, as from 1 January 2021, Northern Ireland —that is, a part of the United Kingdom—will be required to abide by EU regulations on certain goods until at least 2024 and potentially indefinitely?
ParlaMint-GB_2020-05-20-commons.u180	I am very grateful to my right hon. Friend for her question. Let me take this opportunity to pay tribute to her for her work during her time as Prime Minister to ensure that the position of Northern Ireland could be secured within the United Kingdom even as we left the European Union. It is the case that there will be EU regulations and aspects of the acquis that will apply in Northern Ireland until 2024, but of course she draws attention to a very important point. If the workings of the protocol are viewed by the people and parties of Northern Ireland as onerous, too much, intrusive and unacceptable, they have the opportunity to vote them down in 2024. That is why it is so important that we design an approach that can continue to command consent.
ParlaMint-GB_2020-05-20-commons.u181	I call Pete Wishart, who has 90 seconds.
ParlaMint-GB_2020-05-20-commons.u182	Ninety seconds? Thank you, Madam Deputy Speaker Today, we seem to be presented with another episode of Schrödinger’s border—one that is both there and not quite there, all dependent on what side of the EU negotiations a person happens to be on. UK Ministers have repeatedly said that there will be no border or any checks down the Irish Sea. We now know that that is not exactly the case, as we heard in the last response. From the very beginning, the possibility of that was crystal clear given what is in the withdrawal agreement and the need for a level playing field between the EU and Northern Ireland. We all know that there will be customs checks between the rest of the UK and Northern Ireland, so why do the UK Government not just acknowledge that fact? The EU has said that there must be the introduction of customs procedures and formalities in Northern Ireland for all goods traded between Northern Ireland and Great Britain There have been no discussions about this with the Scottish Government, even though we will be placed at a competitive disadvantage with Northern Ireland because of these arrangements. We would give our national right hand to have the arrangements and competitive advantage that Northern Ireland will have, so why can we not get some of this if Northern Ireland does not want it These negotiations need skill, guile and dexterity, and I think we have seen again today a Government who are singularly not up to it.
ParlaMint-GB_2020-05-20-commons.u183	Skill, guile and dexterity are all virtues that we associate with the hon. Gentleman, so if he wants to join the Government negotiation team, he would be more than welcome on board. The point about customs infrastructure and customs checks is a misunderstanding on his part. We want to ensure, as he recognises in his question, that the people and businesses of Northern Ireland have the opportunity to benefit both from their secure position within the United Kingdom and access to the EU market. Northern Ireland’s history, its traditions and its geography put it in a unique position, but the proposal that we put forward today means that there is no need for new customs infrastructure and at the same time Northern Ireland stays within the customs territory of the United Kingdom. I know that the hon. Gentleman is an enthusiast for border posts and would want to have them not just at Belfast but at Berwick, but my own view is that our United Kingdom is better off without them.
ParlaMint-GB_2020-05-20-commons.u184	If we are correct to presume that any paperwork will be digital, can my right hon. Friend assure me that there will be compatibility between the IT systems of HMRC and those of the European Union in order to ensure that that system can work swiftly and smoothly? He mentioned consultation in his statement. We have been hearing in the Select Committee inquiry on this important issue of precious little engagement with the business community by his Department. May I urge him to sharpen his pencil and engage with the community to ensure that it is understood and that his Department understands that most businesses are mostly focused on dealing with covid and trying to survive?
ParlaMint-GB_2020-05-20-commons.u185	We have very little time, so I would encourage right hon. and hon. Members to ask short questions and obviously the Minister to give short answers.
ParlaMint-GB_2020-05-20-commons.u186	We will of course work to make sure that IT systems are efficient and compatible and consult with business. In fact, my right hon. Friend the Secretary of State has a business roundtable this afternoon. Engagement with Northern Ireland’s citizens and its many small and medium-sized enterprises is critical to making everything work.
ParlaMint-GB_2020-05-20-commons.u187	We all hope there will be an exit agreement with the EU, but if there is not, how will the Government stop goods, such as cars made in the EU, which in those circumstances would attract a 10% tariff, from entering Great Britain tariff-free via Northern Ireland? The right hon. Gentleman has told the House that goods would have unfettered access moving from Northern Ireland to GB. Would there in fact have to be checks if people tried to do that?
ParlaMint-GB_2020-05-20-commons.u188	We will have market surveillance, and if people try to break the law, they will face the consequences.
ParlaMint-GB_2020-05-20-commons.u189	The way the UK and the EU seek to address “Ireland’s unique geographic situation” in the negotiations could have constitutional and practical implications for Northern Ireland’s status within the UK. Could my right hon. Friend reassure me that he can square that circle, or is it, on the current trajectory of the talks, an impossible objective?
ParlaMint-GB_2020-05-20-commons.u190	That circle can be squared using an exercise of what I believe in the EU is known as variable geometry. The truth of course is that Northern Ireland’s position within the UK is constitutionally secure and unchanged.
ParlaMint-GB_2020-05-20-commons.u191	The Minister will be aware that we voted against the withdrawal agreement because of the Northern Ireland protocol, but we welcome the clarity that this statement brings—that Northern Ireland will remain part of the UK customs territory, that there will be no new customs infrastructure, that there will be no tariffs on goods flowing between Great Britain and Northern Ireland and that Northern Ireland businesses will have unfettered access to the Great Britain market. Will the Minister and his team continue to work with us and the business community in Northern Ireland to ensure that these matters are taken forward and that Northern Ireland remains an integral part of the UK single market?
ParlaMint-GB_2020-05-20-commons.u192	Yes, we absolutely will. Our whole approach is about making sure that the protocol, which of course was unwelcome in many quarters in Northern Ireland, is implemented now that it is law, but in a way that goes with the grain of Northern Ireland opinion and reflects the interests of Northern Ireland’s peoples, whom the right hon. Gentleman so eloquently defends.
ParlaMint-GB_2020-05-20-commons.u193	I welcome my right hon. Friend’s statement confirming Northern Ireland’s continued position as an integral part of the United Kingdom and customs territory and that he will deliver on the apparently contradictory demands of the protocol, which requires that the single market be respected and its integrity not damaged. The Alternative Arrangements Commission came up with very sensible suggestions that would conform with these requirements and square the circle through the use of enhanced authorised economic operators. Will he work with leading companies that ship goods across the Irish sea in both directions to set up trials in the next few weeks so that by the autumn, whether we have a free trade agreement or not, we are in a position to present the EU with a practical solution to ensure continued unfettered trade across the Irish sea in both directions?
ParlaMint-GB_2020-05-20-commons.u194	My right hon. Friend, who was a brilliant Northern Ireland Secretary as well as a brilliant Secretary of State for Environment, Food and Rural Affairs, is absolutely right. Building up the capacity of authorised economic operators and other trusted traders can make the protocol and the economy of Northern Ireland work better.
ParlaMint-GB_2020-05-20-commons.u195	The Minister has finally confirmed that there will be a large increase in the amount of red tape and therefore the costs to consumers and businesses in Northern Ireland. Although I welcome latterly from the Minister language around commitment to the Good Friday agreement, I do not believe the rhetoric in the statement reflects the uniqueness of the place. Does he accept that every divergence and further political choice that his Government choose to make in pursuit of castles in the air—trade deals with the United States—increase the checks required in the Irish sea and that the only way to ensure that there is no fettering and barriers to trade is to soften Brexit?
ParlaMint-GB_2020-05-20-commons.u196	No, I do not accept that. The primacy of the interests of Northern Ireland’s businesses and indeed the primacy of Northern Ireland’s people is at the heart of our approach to implementing the protocol. The Good Friday agreement depends on consent across Northern Ireland, from Unionist, from nationalist and from non-aligned individuals. We want to ensure that their interests come first through the light-touch approach that we propose.
ParlaMint-GB_2020-05-20-commons.u197	I welcome the Command Paper, but we now, as my right hon. Friend has said, need quickly to reassure the Unionist grassroots on their fears about the exact nature of the processes referred to, and nationalist and non-aligned voters who have serious concerns about leaving the EU. Above all, on business, I am not sure that we have got seven months. Businesses in Northern Ireland, as in the rest of the UK, have got their backs against the wall with covid. Please, please will my right hon. Friend use all his energy to work with them on exactly what they will need and a constructive approach with the EU to getting a practical solution?
ParlaMint-GB_2020-05-20-commons.u198	Yes. I am very grateful to my right hon. Friend—we would not have able to make progress in this way if it had not been for him and the “New Decade, New Approach” document, which he was responsible for bringing to life in the Northern Ireland Executive, which he helped restore. He is absolutely right: we have got to get cracking. That is why I hope that we will have positive engagement from the EU as well as the positive engagement that we will have with Northern Ireland’s businesses.
