ParlaMint-GB_2020-09-02-commons.u1	What recent assessment he has made of the strength of the economy in Northern Ireland.
ParlaMint-GB_2020-09-02-commons.u102	My right hon. Friend is absolutely right. We are working at pace with rail companies to try to deliver new products in terms of ticketing that would ensure better value and enable people to get back to work in a flexible way.
ParlaMint-GB_2020-09-02-commons.u103	May I thank the Prime Minister and the Chancellor for the financial and economic interventions the Government have made to date? The Prime Minister will be aware that, as much as we want to see people back in work, there are certain sectors, such as tourism, travel, hospitality and aerospace, where that will not be possible in the short to medium term. Therefore, may I encourage the Prime Minister to look at a targeted extension for those sectors, and also to look at a specific UK-wide scheme to help those who have so far been excluded from the current schemes, including the newly self-employed?
ParlaMint-GB_2020-09-02-commons.u104	As the right hon. Gentleman knows, there are a great number of schemes in addition to the job retention scheme that support people in work in all sorts of sectors—the coronavirus loans, the bounce-back loans, and the grants that we have made to businesses of all kinds. He mentions the tourism and hospitality sector, and we have made huge investments in those, including the very successful eat out to help out scheme that we have been running. But it is also very important that we get people back into the workplace in a covid-secure way and, unlike the Leader of the Opposition, we do everything we can to give them confidence that it is a good idea to go back. An ounce of confidence is worth a ton of taxpayers’ money.
ParlaMint-GB_2020-09-02-commons.u105	The bounce-back loan scheme has been a huge success, delivered by the Prime Minister and, indeed, the Chancellor, with 1.3 million loans being granted in vital support for small and medium-sized enterprises. The all-party parliamentary group on fair business banking, which I co-chair, has established that 250,000 businesses who currently bank with FinTechs and alternative lenders do not have access to those loans because they cannot get access to the Bank of England’s term funding scheme, and lenders who do have those loans are not accepting loan applications from new customers. Will the Prime Minister use his best offices to persuade the Governor of the Bank of England to open up the term funding scheme to those alternative finance organisations or open the doors of other lenders who can provide those loans to other SMEs?
ParlaMint-GB_2020-09-02-commons.u106	I thank my hon. Friend, who raises an important point. As he will know, the rules around access to schemes for alternative finance are not the responsibility of my right hon. Friend the Chancellor, but of the Bank of England. I am sure the Governor will have heard my hon. Friend today.
ParlaMint-GB_2020-09-02-commons.u107	Over the summer months many people undertake a range of activities. For some it is camping, for others it is festivals and events. In my constituency,we have a number of highly successful employers in audio-visual technology, hospitality and creative industries, none of whom can currently undertake their normal activities. In the face of this, when furlough ends, those companies could face collapse. What should I tell them—that the Government will extend the scheme to ensure that the industry can get back on its feet, or have the Government completely given up on them?
ParlaMint-GB_2020-09-02-commons.u108	Not at all. We have supported the arts industry alone with about £1.7 billion of support. In Scotland, as I am sure the hon. Gentleman never tires of saying, the overall support for tackling coronavirus has been in the order of about £4 billion. We will continue to give support, but we happen to think—and I hope it is common ground across the House—that it would be better for the UK economy and better for all the people he rightly cares about to get back into work.
ParlaMint-GB_2020-09-02-commons.u109	One positive among the gloom of the covid pandemic is that this year’s “I’m a Celebrity” will be filmed not in New South Wales, Australia, but in our own north Wales. Even if I cannot tempt the Prime Minister to take part in a Welshtucker trial, would he commend ITV on its choice of venue and welcome the positive impact that that can have on the regional economy?
ParlaMint-GB_2020-09-02-commons.u110	My hon. Friend is right to draw attention to the wonderful attractions of north Wales, which I know very well, as I tried to get elected there many years ago—unsuccessfully. I congratulate him on his success, and may it be long repeated.
ParlaMint-GB_2020-09-02-commons.u111	Earlier this summer, the Treasury floated a story in the Telegraph suggesting a public sector pay freeze to save money. Given that so many public sector workers, such as nurses, police officers, firefighters, teachers and others have put their lives on the line to fight covid, surely that would be an unconscionable betrayal? Will the Prime Minister therefore unequivocally not only rule out a pay freeze but commit to fully funding a package to ensure that they are remunerated to reflect their sacrifices?
ParlaMint-GB_2020-09-02-commons.u112	I must say that I listened carefully to what the hon. Gentleman said, but he seems to have ignored the fact that we have just had an inflation-busting public sector pay rise. As part of the package that we agreed in 2018, nurses alone have had a 12.5% pay increase since then. I appreciate his sentiments—he is on the right lines—but he should look at what is actually happening.
ParlaMint-GB_2020-09-02-commons.u113	  Alexander Dennis has been manufacturing buses in Guildford for more than 100 years, with exciting new low and zero emission vehicles. I am sure my right hon. Friend will be as saddened as I was to hear that 200 people have been made redundant locally. Does he agree that those workers’ fantastic skills are vital as part of our green recovery? Will he work with me and colleagues to ensure the long-term success of UK bus manufacturing for both domestic and export markets?
ParlaMint-GB_2020-09-02-commons.u114	I thank my hon. Friend for her apposite intervention on behalf of Alexander Dennis. I was a keen customer of Alexander Dennis’s fantastic machines. I cannot guarantee this, but I hope that our green recovery and our massive investment in green buses will be of benefit to the workforce of Alexander Dennis.
ParlaMint-GB_2020-09-02-commons.u115	The Prime Minister is stumbling forward into mass unemployment with the sudden and universal removal of furlough, and towards a further spike and resurgence of coronavirus due to making people who are working from home travel to work. To minimise further and future bad decisions and U-turns, will he fully restore the online Parliament so that all voters can be fully represented in all debates and law making, as happens in the Welsh Government, the Scottish Government and the Lords, whether their MPs are shielded or unshielded, so that we make the best decisions with the least harm during the pandemic and the recession through the reintroduction of proper online democracy.
ParlaMint-GB_2020-09-02-commons.u116	I thank the hon. Gentleman. I encourage him to return from New York, Shanghai or wherever he is and join us in this House as fast as he can. Actually, what the people of this country want to see is their representatives back on their seats as fast as possible in the Palace of Westminster. That is what we should work for, and that is why we are working together to drive down this virus and create a covid-secure environment.
ParlaMint-GB_2020-09-02-commons.u117	When I buy a copy of the Mirror, the Mail or the Telegraph, I am not required to buy a copy of The Guardian, yet when I want to watch live TV on Sky, Amazon Prime or ITV, I am forced to pay for the BBC. Does the Prime Minister believe that that is a sustainable situation in the medium or longer term?
ParlaMint-GB_2020-09-02-commons.u118	My hon. Friend makes a very interesting point, and I am sure that point of view is shared by many people in this country. My right hon. Friend the Secretary of State for Digital, Culture, Media and Sport will be setting out a roadmap for reform of the BBC shortly and addressing the very issues he mentions.
ParlaMint-GB_2020-09-02-commons.u119	Last week, the Financial Times published a list of the 12 Government U-turns made under this Prime Minister, from the exam results fiasco to the contact tracing app and the wearing of masks. He has just said that he takes full responsibility, so I wonder which of those 12 U-turns is the Prime Minister’s favourite.
ParlaMint-GB_2020-09-02-commons.u120	It is a rare privilege to ask a question in the House, so you would have thought, Mr Speaker, that they could have come up with something better than that. This is a global pandemic, which this Government are dealing with extremely effectively at a medical level. What we want to do now, in a covid-secure way, is to get our children back into school. That is happening today, in spite of the Leader of the Opposition and his colleagues; I do not know where the hon. Lady has stood on this issue. We also want to get our country’s economy back on its feet again and get us back to work. So I hope that she and her colleagues will say that it is also safe to go back to work in a covid-secure way.
ParlaMint-GB_2020-09-02-commons.u121	My right hon. Friend will be well aware that, welcome though it is, the start of the new term this week will be challenging for all schools. It will be particularly so for Burton Green Church of England Academy in my constituency, where HS2 has just closed the road that many parents use to access the school. It has done that for several months, with little notice or consultation, and contrary to assurances given during the passage of the High Speed Rail (London – West Midlands) Act 2017. This is not, as my right hon. Friend well knows, the first or only example of high-handedness or poor communication on the part of HS2. So will he please help me to require of HS2 that it does better for the people of Burton Green and elsewhere on the route?
ParlaMint-GB_2020-09-02-commons.u122	I heartily endorse, I am afraid, the sentiments that my right hon. and learned Friend has expressed. Anybody who has worked with HS2 over the past few years will know that it does treat local residents with, I am afraid, a high-handed approach—or has done. What I can tell him, however, is that where there is damage to local roads HS2 will pay compensation. I will certainly take up his point with HS2.
ParlaMint-GB_2020-09-02-commons.u123	Low public confidence in social distancing measures means that many businesses are struggling. If the job retention scheme ends in October, there will be catastrophic consequences for workers, businesses and the economy. So despite earlier waffle from the Prime Minister, I am asking him again: will he commit to extending the job retention scheme or are we to expect more governmental incompetence, resulting in unnecessary redundancies and further strains on our already collapsing economy?
ParlaMint-GB_2020-09-02-commons.u124	I direct the hon. Lady to what I have said already, which is that there will always be those who argue for an infinite extension of the furlough scheme, and who want to keep people off work, unemployed, being paid very substantial sums, for a very long time. I do not think that is the right thing. I think the best way forward for our country is, as far as we possibly can, to get people back into work. As she knows, there is the job retention bonus at the end of the year, and there are abundant schemes. Already £160 billion has been spent to support the economy throughout the crisis, and we will continue, as I said, to put our arms round the entire people to keep them going throughout this crisis. But furlough—indefinite furlough—is just not the answer.
ParlaMint-GB_2020-09-02-commons.u125	Our nation has a proud history as a safe haven for desperate souls, but now the asylum system has broken and been abused. So the people of Ashfield would like to know: when will the Prime Minister introduce legislation to fix the asylum system, which will save lives by taking back control of our borders?
ParlaMint-GB_2020-09-02-commons.u126	I thank my hon. Friend. I have a great deal of sympathy with those who are so desperate as to put their children in dinghies, or even children’s paddling pools, and try to cross the channel, but I have to say that what they are doing is falling prey to criminal gangs and they are breaking the law. They are also undermining the legitimate claims of others who would seek asylum in this country. That is why we will take advantage of leaving the EU by changing the Dublin regulations on returns, and we will address the rigidities in our laws that make this country, I am afraid, a target and a magnet for those who would exploit vulnerable people in this way.
ParlaMint-GB_2020-09-02-commons.u127	I trust that the Prime Minister had an enjoyable visit to Harland and Wolff’s new yard in Appledore. He knows well the mother yard of Harland and Wolff in my constituency of Belfast East, and I just ask that he recognises not only the important strategic purchase of Appledore, but that Harland and Wolff is now in an incredibly well-placed position to assist this country in our future defence needs.
ParlaMint-GB_2020-09-02-commons.u128	I am grateful to the hon. Gentleman and, yes, it was incredibly exciting to go to Appledore and see the potential of that yard and see what Harland and Wolff is doing there. Also, of course, he is absolutely right in what he says about the potential for various other contracts both in Devon and in Belfast; I cannot give him the kind of guarantees he wants over the Dispatch Box now, but watch this space.
ParlaMint-GB_2020-09-02-commons.u129	On a point of order, Mr Speaker.
ParlaMint-GB_2020-09-02-commons.u130	You have given me notice of this point of order, Mr Blackford, and it is important to clear up this matter. I would not normally allow urgent questions or statements to be interfered with in this way, but on this occasion I will allow it.
ParlaMint-GB_2020-09-02-commons.u131	Thank you, Mr Speaker; I am most grateful On Friday 21 August, the Daily Mail ran a front-page story revealing the location of the Prime Minister’s holiday in Scotland. This was a violation of his family’s privacy that neither myself nor my party in any way condone. Later the same day, a senior Conservative source in Downing Street told The Sun newspaper: “The finger of blame for this all getting out is being pointed at the SNP, particularly Ian Blackford who is local.” This was subsequently repeated in a number of newspapers and broadcast outlets This allegation and briefing was entirely and deliberately false; it was a targeted political smear from the Prime Minister’s office. The photographer who provided the material for the original Daily Mail front-page later confirmed that I was not the source in revealing the Prime Minister’s location—a location, I might add, I was not even aware of. However, by this point, the damage was done This matter has not only been the worst kind of political smear; the false allegation has equally resulted in security implications for myself and my family, given its serious and personal nature. [Interruption.] I can see the Prime Minister pulling a face, but all we have to do is go to social media to see the threats I was then forced to witness. It is a very serious situation when the apparatus of the UK Government can be deployed in this way, manufacturing false briefings in order to attack an Opposition politician. I raised this issue with the Prime Minister’s office in writing. However, as I have not received a response, I am raising this point of order today to ensure that these false briefings are now stopped and are never repeated for any parliamentarian.
ParlaMint-GB_2020-09-02-commons.u132	May I first say what a wonderful staycation holiday I had in the right hon. Gentleman’s constituency, what a fantastic part of the world it is, and how thoroughly I commend it to everybody? It is an absolutely beautiful location and he is very lucky to represent it On the substantive point that the right hon. Gentleman raises, I am very happy to accept the assurances that he gives. However, he talks about going to social media and I just draw his attention to a tweet by a chap called Torcuil Crichton on 17 August, saying, “Ferocious midge count in Wester Ross tonight, I hear. Must be bad if you’re fair-skinned and camping”, to which an account that purports to be the right hon. Gentleman’s—but I am sure that it is not because of what he has just said—says, “I wonder if an education at Eton stands you in good stead for these blighters.” Anyway, I am happy to accept his assurances and his protestations, and I think we should leave it at that, Mr Speaker.
ParlaMint-GB_2020-09-02-commons.u133	What I would like to say, obviously—[Interruption.] Mr Brennan, please. May I just say that what I am very concerned about is the security implications for the Prime Minister and the security implications for the parliamentary leader of the SNP? Please may I just say to everyone, let us be very careful and learn from this? Obviously, this is on the record from both parties, and I hope we can draw a line under it, but please let us take each other’s security very, very seriously. Thank you.
ParlaMint-GB_2020-09-02-commons.u134	To ask the Secretary of State for the Home Department if she will make a statement on those crossing the English Channel in small boats.
ParlaMint-GB_2020-09-02-commons.u135	In recent months, the UK has seen a completely unacceptable increase in illegal migration through small-boat crossings from France to the UK. This Government and the Home Secretary are working relentlessly to stop these crossings. Illegal migration is not a new phenomenon. Every Government over the last 20 years and more have experienced migrants—often economic migrants—attempting to reach the UK through illegal means. The majority of these crossings are facilitated by ruthless criminal gangs that make money from exploiting migrants who are desperate to come here We are working with the National Crime Agency to go after those who profit from such misery. Already this year, 24 people have been convicted and jailed for facilitating illegal immigration. In July, I joined a dawn raid on addresses across London, which saw a further 11 people arrested for facilitating illegal immigration, and £150,000 in cash and some luxury cars were seized. Just this morning, we arrested a man under section 25 of the Immigration Act 1971 who had yesterday illegally piloted a boat into this country. Further such arrests are expected These crossings are highly dangerous. Tragically, last month a 28-year-old Sudanese man, Abdulfatah Hamdallah, died in the water near Calais attempting this crossing. This morning, the Royal National Lifeboat Institution has been out in the English channel and has had to rescue at least 34 people, and possibly more, who were attempting this dangerous journey These criminally facilitated journeys are not just dangerous; they are unnecessary as well. France, where these boats are launched, and other EU countries through which these migrants have travelled on their way to the channel, are manifestly safe countries with fully functioning asylum systems. Genuine refugees seeking only safety can and should claim asylum in the first safe country they reach. There is no excuse to refuse to do so and instead travel illegally and dangerously to the UK. Those fleeing persecution have had many opportunities to claim asylum in the European countries they have passed through long before attempting this crossing We are working closely with our French colleagues to prevent these crossings. That includes patrols of the beaches by French officers, some of whom we fund, surveillance and intelligence sharing. Over 3,000 crossing attempts were stopped this year alone by the French authorities, and approaching 50% of all crossing attempts are stopped on or near French beaches. This morning alone, French authorities prevented at least 84 people from attempting this crossing, thanks in significant part to the daily intelligence briefings provided by the National Crime Agency here in the United Kingdom It serves both French and UK interests to work together to cut this route. If this route is completely ended, migrants wishing to come to the UK will no longer need to travel to northern France in the first place. We are therefore urgently discussing with the French Government how our current plans can be strengthened and made truly comprehensive. We have already in the last two months established a joint intelligence cell to ensure that intelligence about crossings is rapidly acted upon, and this morning’s interceptions on French soil are evidence of the success of that approach It is also essential to return people who make the crossings where we can, and we are currently working to return nearly 1,000 cases where migrants had previously claimed asylum in European countries and, under the regulations, legally should be returned there. Last month, my right hon. Friend the Home Secretary announced the appointment of former Royal Marine Dan O’Mahoney as clandestine channel threat commander. He will collaborate closely with the French to build on the joint work already under way, urgently exploring tougher action in France, including—
ParlaMint-GB_2020-09-02-commons.u136	Order. Advisers should know that it is three minutes; we are now nearly on five. I do not understand how the mistake has come about.
ParlaMint-GB_2020-09-02-commons.u137	Mr Speaker, I sincerely apologise. In that case, let me conclude by saying that these crossings are dangerous, illegal and unnecessary. They should simply not be happening, and this Government will not rest until we have taken the necessary steps to completely end these crossings.
ParlaMint-GB_2020-09-02-commons.u138	I am grateful to you for granting this urgent question, Mr Speaker, and for the Minister’s response. I would first like to send my thoughts to the family of Abdulfatah Hamdallah, who died in the English channel—a powerful reminder of the gravity of this issue Over a year ago, the Home Secretary said: “We’ve been working extremely closely with our French colleagues to tackle the use of small boats but we both agreed more needs to be done.” Why does the Minister think that that work last year has proved so inadequate? The Minister himself scrambled to France on 11 August and announced the joint action plan, but can he outline when that will be available for scrutiny? We all agree on the need to tackle criminal gangs, but does he also accept the importance of safe routes for those seeking asylum? The Government were warned, including by the Select Committee on Foreign Affairs, that the collapse of safe routes would lead to growing numbers of people taking to the sea The expectation around the Dubs amendment across the House was that 3,000 children would be accepted under the scheme. Does the Minister now agree that it was a profound error and, frankly, lacking in compassion to close down that scheme when only a 10th of that number had been accepted? What provisions have been put in place for the welfare of any children who have been intercepted on the crossing? What safeguards are being put in place to ensure that all accommodation is kept safe and covid-secure, as well as protected from far-right attacks, which have unfortunately been reported in recent days What we need now are solutions, not empty headlines trying to sound tough. I have deep concerns that in recent weeks the Government, through talking up the deployment of the Navy and the RAF, have tried to militarise the solution when lives are at risk. Ultimately, the sad truth is that people are fleeing their homes as a result of poverty, war and persecution. Does the Minister accept that abolishing the Department for International Development is a great mistake? Is it not the truth that the Government’s approach to this whole issue has, frankly, been defined by a lack of compassion and a lack of competence?
ParlaMint-GB_2020-09-02-commons.u139	I shall try to be brief in my reply, Mr Speaker The shadow Home Secretary asks why numbers are so high. Global migration has been growing strongly, and he will be aware that 40,000 people—a far larger number than have crossed the channel—have crossed the Mediterranean. Moreover, during the coronavirus pandemic we have seen displacement from other illegal entry routes, such as lorries and the use of fake documents on aeroplanes, into the maritime route, and we have been successful at preventing illegal immigration through the juxtaposed controls. The situation has been compounded by unusually benign weather conditions in the English channel over the summer The shadow Home Secretary asks about safe routes. Since 2015, the Government have provided almost 20,000 resettlement places—a number that dwarfs the 3,000 that he mentions. Since 2010, some 44,000 children have been offered protection of one form or another by the United Kingdom. He says our approach lacks compassion, but I direct him to those figures. I also remind him that last year, 2019, this country received more applications from unaccompanied asylum-seeking children than any other European country, and all of them have been generously looked after while their claims are processed The shadow Home Secretary asks about children. When children arrive, they go straight into social care and are extremely carefully looked after while their claims are processed. This Government certainly need no lessons in compassion. Our asylum system is extremely compassionate and extremely generous, and the numbers speak for themselves.
ParlaMint-GB_2020-09-02-commons.u140	I thank the Minister for his statement. May I impress upon him the strength of feeling on this issue in Newcastle-under-Lyme and elsewhere? It is not because my constituents lack compassion or humanity; it is because they recognise that what is going on is not only illegal but represents unfair queue jumping. I spoke to my hon. Friend the Member for Dover (Mrs Elphicke) about this issue earlier; she has been working all summer to bring this issue to the Minister’s attention. Does he agree that what is currently happening is in essence a form of asylum shopping, wherein people claim asylum in the first country they reach and then move to another and claim asylum again? They keep claiming asylum—instead of securing asylum in the first safe country, they keep coming to the UK, where they believe we have a more favourable asylum system. Does he agree that asylum shopping needs to end?
ParlaMint-GB_2020-09-02-commons.u141	I join my hon. Friend in paying tribute to my hon. Friend the Member for Dover (Mrs Elphicke) for her tireless campaigning on this issue. She has done a huge amount of work in this policy area. My hon. Friend the Member for Newcastle-under-Lyme (Aaron Bell) is absolutely right: people who are genuinely seeking a safe refuge could and should claim that refuge in the first country they reach. The people arriving in Dover yesterday and today have left from France, which is a safe country with a well-functioning asylum system. If their principal objective was to seek refuge from persecution, they could easily have done that in France or, indeed, any of the other countries through which they passed before they arrived in Calais.
ParlaMint-GB_2020-09-02-commons.u142	Five years on from the day the world was shocked by little Alan Kurdi’s death, perhaps the Minister could just agree that the response to the channel crossings should be informed by empathy and evidence and not driven by Farage and friction. Will he confirm that, despite what he has said, there is nothing in international law that requires refugees to apply for asylum in the first safe state that they come to, even though the overwhelming majority do? Will he acknowledge that there will be good reasons, such as family ties, for many of the people attempting crossings to make their claims here instead of in France? Will he recognise that by failing to provide safe legal routes, the Government force people to use ever more dangerous alternatives and drive them into the arms of people smugglers, as at least two parliamentary Committees have previously pointed out Instead of bashing our brilliant human rights lawyers, will the Minister now put those safe routes in place; ensure a successor to the Dublin family unity rules; restart resettlement and commit to it for the long term; and reopen Dubs and other safe routes from Europe? That would be a response rooted in empathy and evidence.
ParlaMint-GB_2020-09-02-commons.u143	Safe routes from Europe are not the answer to this problem because, by definition, people in Europe are already in a safe country. Transporting people from one safe country in Europe to the United Kingdom does nothing to add to their protection. There are, of course, routes for family reunion—at the moment under Dublin and in the future under the United Kingdom’s own immigration rules. In relation to a safe legal route for people fleeing persecution, the hon. Member has already referenced the resettlement programme, which between 2015 and the onset of coronavirus saw just a shade under 20,000 people being resettled directly from dangerous conflict zones, mainly in the vicinity of Syria. Those routes have existed for the last five years, yet I am sad to say that illegal migration continued none the less.
ParlaMint-GB_2020-09-02-commons.u144	French authorities have a serious and significant role to play in preventing small boats from crossing the channel and putting so many lives at risk. Does my hon. Friend accept that the more that the French authorities negate their responsibilities, the more lives are put at risk and the further encouragement is given to traffickers?
ParlaMint-GB_2020-09-02-commons.u145	My right hon. Friend is correct. I should pick up on the point made a moment ago; the way to ensure that lives are protected is to ensure that no one attempts these crossings at all. As he says, that means working with the French to prevent these crossings from taking place. That is the way to protect lives and stop the ruthless criminal gangs exploiting migrants, and that is the Government’s objective.
ParlaMint-GB_2020-09-02-commons.u146	A report last year by the Foreign Affairs Committee, of which the Home Secretary was a member at the time, said: “In the absence of robust and accessible legal routes for seeking asylum in the UK, those with a claim are left with little choice but to make dangerous journeys by land and sea.” How many more people like Abdulfatah Hamdallah have to die before the Home Secretary creates those safe and legal routes?
ParlaMint-GB_2020-09-02-commons.u147	I have already pointed out that there are safe and legal routes into the United Kingdom. In addition to the vulnerable persons resettlement scheme that I have referenced already, which ran very successfully from 2015, there was also the vulnerable children’s resettlement scheme, the gateway scheme and, of course, the Dubs scheme—a commitment that we met in full. Many people claim asylum having arrived in this country on a visa as well, so the safe routes that the hon. Member describes do exist already Let me emphasise once again that the people making these crossings on small boats are leaving a safe European country—France—having often travelled previously through countries such as Germany and Italy, which are also safe countries with an asylum system. If these people’s principal concern is to secure protection from persecution, they have had ample opportunity to do so long before getting on one of these dangerous boats.
ParlaMint-GB_2020-09-02-commons.u148	Having had some responsibility in the past for the immigration system, I know how complex this particular subject is, so may I press the Minister on two points? First, I urge him to discourage economic migrants. If we were to improve our asylum decision-making speed, that would discourage them. Secondly, I urge him to use our development assistance, which the shadow Home Secretary mentioned, to focus on the source countries to ensure that people are not leaving for economic reasons and have more reason to stay at home. In that way, our 0.7% development assistance can help our national security as well.
ParlaMint-GB_2020-09-02-commons.u149	My right hon. Friend has a long track record of distinguished service in this area. I completely agree with his point about overseas aid. This country is the only G7 country meeting the 0.7% of GNI commitment, and that is part of our efforts to help source countries to develop economically. As he clearly laid out, that will reduce the economic incentive to migrate.
ParlaMint-GB_2020-09-02-commons.u150	Given the recent very violent assault on a young man who had just landed on a Kent beach and the planned protests by far-right groups in Kent reported in several broadsheet newspapers, what extra support is the Secretary of State offering police in Kent to ensure the safety of all those who seek asylum in our country? Will the Minister join me in telling the hate-driven, violent groups that make their way to Kent to go back to where they come from?
ParlaMint-GB_2020-09-02-commons.u151	Yes, I will join the hon. Lady in condemning wholeheartedly and unreservedly the groups she describes who have targeted migrants in that way. There is no excuse at all, under any circumstances, for harassing people who have arrived. Whatever someone’s views may be about the immigration system, there is no excuse and no justification. The police have our full support in dealing with anyone who perpetrates violent offences or harassment offences of the kind she describes.
ParlaMint-GB_2020-09-02-commons.u152	Does my hon. Friend agree that the simplest and quickest way to ensure the flow of illegal immigrants is stemmed would be to send them immediately back to France as soon as they reach our shores? Does he understand the anger and frustration felt by many people in Kent that the Government are either unwilling or unable to take that action?
ParlaMint-GB_2020-09-02-commons.u153	I do understand and share the anger and frustration my hon. Friend describes. I do agree that the best way to disincentivise or deter these dangerous and illegal crossings is returns when people arrive, because then the migrant would not bother attempting the crossing in the first place. We are, as I said, in the process of progressing getting on for 1,000 cases where the migrant has previously claimed asylum in a European country. We started that process in August and 26 people were returned on 12 and 26 August. That is a small start. We have a large number of further flights planned in the coming weeks and months to make sure that those people who legally should be returned will be returned.
ParlaMint-GB_2020-09-02-commons.u154	With reports that the UK Government are planning to reduce or scrap their overseas aid budget, will the Minister confirm whether he is aware of the very clear link between migration patterns and efforts to provide international aid and development abroad? Does he agree that moves to cut back on that would only worsen the current situation?
ParlaMint-GB_2020-09-02-commons.u155	Clearly, improving economic conditions in source countries is a vital part of tackling this problem upstream, as indeed is working with law enforcement agencies in those countries to disrupt the dangerous and ruthless criminals who operate in those areas. Work with the overseas aid budget is an important part of that, but so is trade. As we negotiate trade agreements around the world, that will also help to encourage economic development in some of the source countries. As employment is created and prosperity generated, I hope that will also reduce the economic incentives for the kind of mass migration we are currently seeing.
ParlaMint-GB_2020-09-02-commons.u156	The Labour party could not be more out of touch with the vast majority of people on this issue, and I am quite surprised that it brought it forward. However, Labour party strategy is not a matter for me. One of the key drivers of illegal channel crossings is our easily exploited asylum system. Once inside the system, illegal migrants know the chances of being able to stay for good are high. Will the Minister prioritise bringing legislation before this House that eliminates the vexatious aspects of our asylum system, such as repeated asylum claims on different grounds, and consider the wisdom of using taxpayers’ money for legal aid claims to support those who have come over here illegally?
ParlaMint-GB_2020-09-02-commons.u157	Speaking frankly, my hon. Friend is right in much of what he says. There are considerable issues with the way our asylum and immigration system has been operating in this area. I can confirm that there is considerable policy work under way to address areas where the UK’s immigration and asylum system is being exploited and abused. We are working on developing legislation to address those loopholes in exactly the way he describes, because we will not tolerate our system being abused in any way.
ParlaMint-GB_2020-09-02-commons.u158	The UK has often been a safe haven for those fleeing their homeland for genuine reasons, whether persecution or fleeing terror. That should continue, while recognising that other countries can provide such protection. However, does the Minister believe that the Government have sufficient domestic tools, and co-operation from the EU and others, to manage illegal immigration into the common travel area and inward into the UK, whether through Northern Ireland or other ways?
ParlaMint-GB_2020-09-02-commons.u159	As we leave the transition period in a few months’ time, we will want to continue co-operating with the European Union and, indeed, bilaterally with individual European countries. The problem of mass migration is in many ways a shared problem, so I hope that co-operation will continue. We are discussing that with the European Union, and we are discussing it bilaterally with France, Belgium, Germany and many other countries. I hope that the co-operation that the hon. Lady describes will continue, but, of course, it takes two to tango. I agree with her first point. We do have in this country a long and proud history of providing protection for those who are being genuinely persecuted and, of course, that will continue.
ParlaMint-GB_2020-09-02-commons.u160	I thank my hon. Friend for his robust response today, which I am sure will provide some reassurance to the many people in Bishop Auckland who have contacted me about small boat crossings. I understand that, just last week, 23 migrants were due to be returned to Spain, but that was blocked by a string of legal cases. We need to remember that these are people who travel to our country illegally, bypassing safe nations, including Spain and France. Does my hon. Friend believe that the Home Office’s efforts to facilitate legitimate and legal returns of illegal migrants are too often being frustrated by activist lawyers putting in last-minute challenges, happy to see taxpayers’ money wasted in such a manner?
ParlaMint-GB_2020-09-02-commons.u161	It is the case that the planned flight to Spain on 27 August was cancelled as a result of the lodging of a large number of last-minute claims, which left no time for them to be properly considered prior to the flight. It is likely that many of those claims were intentionally lodged at the last minute, but as those are being worked through, we will be organising subsequent flights so that people can be lawfully returned to Spain, a safe country where these migrants had previously claimed asylum. That can and should take place.
ParlaMint-GB_2020-09-02-commons.u162	I apologise in advance for stating the totally blindingly obvious, but I do so in the hope of assisting the Minister here. If we do not provide safe and legal routes for people who are fleeing war and persecution, they will resort to unsafe and illegal routes. There is only one other country in Europe that does not allow unaccompanied refugee children to be reunited with their families and sponsor that reunification. Why is that?
ParlaMint-GB_2020-09-02-commons.u163	I repeat that there are plenty of legal mechanisms by which people may claim asylum. About 40% of those people claiming asylum have entered the country in a lawful manner. I will just draw attention once again to the resettlement scheme, which has seen almost 20,000 people resettled here directly from conflict zones—not people coming through France and Spain who are in a safe country already, but the people who were in or around places such as Syria who were genuinely in danger. On unaccompanied asylum-seeking children, given that last year we received more than 3,500 UASCs, the highest number of any country in Europe, we need no lectures on that topic.
ParlaMint-GB_2020-09-02-commons.u164	Can my hon. Friend confirm that his Department is urging the French Government to take more rapid and productive action to prevent those leaving the French coast in the first place and that he is looking at ways to return economic migrants and to process those vexatious asylum claims in a more rapid manner?
ParlaMint-GB_2020-09-02-commons.u165	Yes, I can confirm that we are doing all those things. Work is under way as we speak to do more with our French colleagues. I have mentioned the joint intelligence cell already, and we are doing work to strengthen our existing operational plans. Moreover, the work on returns, both now, under the Dublin framework, and subsequent to the end of the transition period, is actively under way, because if we return people who make this unnecessary, dangerous and illegal journey, there will be no incentive or reason to attempt it in the future.
ParlaMint-GB_2020-09-02-commons.u166	One reason we have seen a rise in small boat crossings is the crackdown on border controls in terms of lorries and the significant drop in freight traffic because of coronavirus. Does that not just show that the problem will not go away, despite the sort of military heroics that the Government are trying to embark on in the channel, and that we need to identify safe and legal routes? In particular, we need to work in France with people who have a proven connection to the UK, particularly refugee children, to try to deal with the problem before they try to reach the UK by illegal means?
