ParlaMint-GB_2020-12-08-commons.u1	What steps his Department is taking to increase prison capacity.
ParlaMint-GB_2020-12-08-commons.u93	The hon. and learned Lady knows that I gave evidence to the Committee of which she is a member about a week or so ago and acknowledged the important point made by the Committee. I think it was important for us to set up a very focused review as to the machinery of the Human Rights Act. It is not about the rights themselves; it is about the way in which they interact with our domestic law and the interplay, therefore looking in particular at sections 2, 3 and 4, for example, of the Human Rights Act. However, I am sure that these wider issues will become part of the debate as we see the recommendations come forward and as this place has an opportunity to play its part in those deliberations.
ParlaMint-GB_2020-12-08-commons.u94	I commend my right hon. and learned Friend and his Department for the minimal impact that the covid pandemic has had on our courts system. Can I ask when it will return to normal? Can I also ask that he review contingencies should they be needed in the very near future?
ParlaMint-GB_2020-12-08-commons.u95	My hon. Friend can be reassured that the Courts and Tribunals Service is working daily to review its plans. I am sure that he will be glad to note that, in the magistrates courts, we are now exceeding receipts and we expect the position to return to pre-covid levels by about Easter time or the early summer. The position of the Crown court is more challenging, but the funding that we have obtained through the spending review will allow us to start dealing with the backlog. We also constantly review the social distancing measures. The current assumptions are that social distancing will apply until the end of June. If there is any progress on that front, clearly we will recalibrate, which will give us even more capacity.
ParlaMint-GB_2020-12-08-commons.u96	The chief constable of West Midlands police, MPs, local councillors and others have all expressed concern about the large number of people being released from jails all around the country to unsuitable exempt accommodation in Birmingham. How can that possibly help with rehabilitation and getting these people back on the straight and narrow?
ParlaMint-GB_2020-12-08-commons.u97	The hon. Gentleman will be glad to note that, throughout this pandemic, the Ministry of Justice has funded accommodation support for people who otherwise would be released into rough sleeping and homelessness. Indeed, we are working on plans as result of the spending review to scale up and improve approved premises and the other type of accommodation that can house in an appropriate way people who are released from custody. I shall furnish the House with an update as soon as it is received, but he can be assured that we are working on this issue because we recognise the scale of the problem.
ParlaMint-GB_2020-12-08-commons.u98	  The Criminal Cases Review Commission is the only body in its area of jurisdiction with the authority to send cases back to an appeal court. It is imperative that this process must not be delayed, as it has the propensity to overturn cases and clear the names of those innocent of conviction. Can my right hon. and learned Friend outline the steps that he is taking to ensure that the CCRC enacts its duty in a timely manner, especially for more sensitive cases, including those of our frontline workers and police officers, such as my constituent Danny Major? Mr Major has been miserably let down by the CCRC.
ParlaMint-GB_2020-12-08-commons.u99	Order. Unfortunately, questions are meant to be short and punchy. We cannot have a statement beforehand. Minister, can you deal with that, please?
ParlaMint-GB_2020-12-08-commons.u100	My hon. Friend raises an extremely important point. I understand his consternation on behalf of his constituent and his wish that that case in particular be dealt with speedily. No doubt the commission will have paid attention to his concern. We have recently invested significantly in the commission, with hundreds of thousands of pounds in capital funding to ensure that its IT is up to scratch. It is within a whisker of reaching its target of 36 weeks as the average time taken to deal with a case, and of 85% of cases being dealt with in under 12 months. It is very important for the integrity of the judicial system not only that we convict the guilty, but that we make sure that innocent people who are erroneously convicted have their sentences corrected.
ParlaMint-GB_2020-12-08-commons.u101	  Increasingly we have seen individuals with a gambling addiction committing crime to fund their habit. These crimes inevitably end up being punished with custodial sentences, yet the gambling industry—which is often complicit, encourages these individuals to continue gambling and always profits from the situation—is not held accountable and escapes prosecution. Will the Lord Chancellor meet me and the officers of the gambling related harm all-party parliamentary group to discuss how we can rectify this outrageous and indefensible lack of accountability?
ParlaMint-GB_2020-12-08-commons.u102	I pay tribute to the hon. Lady for her consistent and passionate campaigning on this important issue, which is an addiction for far too many people. As she knows, my right hon. Friend the Secretary of State for Digital, Culture, Media and Sport will make a statement on gambling later, which I know she will broadly welcome. Of course, I will be happy to meet her and members of the APPG. Primarily, the Department for Digital, Culture, Media and Sport holds the brief on this issue, but no doubt there are wider criminal law ramifications on which I am happy to engage with her.
ParlaMint-GB_2020-12-08-commons.u103	  Will the Secretary of State outline to the House what steps he has taken so far to ensure that the Independent Monitoring Authority for the Citizens’ Rights Agreements will be ready for the end of the transition period, so that it can effectively monitor the rights of European Union and European economic area citizens?
ParlaMint-GB_2020-12-08-commons.u104	My hon. Friend is right to raise an important issue that we undertook to get ready by the end of the year. I am confident that it will be ready by the end of the transition period to provide EU, EEA and European Free Trade Association citizens here in the UK with an additional layer of assurance that their rights will be safeguarded. We have had a dedicated project team in the Ministry working on that, and the IMA has taken up residence at headquarters in Swansea, my old stamping ground—with tribute to the hon. Member for Swansea East (Carolyn Harris).
ParlaMint-GB_2020-12-08-commons.u105	  Over the last few weeks, there have been concerning reports that there were more cases of covid in prisons in October than in the previous seven months combined. In some prisons, that has led to restrictive regimes that have had a real impact on mental health. What conversations has the Lord Chancellor had with the Secretary of State for Health about when we should be vaccinating prisoners in order to protect prison staff and prevent hotspots from forming?
ParlaMint-GB_2020-12-08-commons.u106	It is important to note that, as a result of increased diagnosis and testing, we have been able to establish with greater certainty the number of prisoners who are symptomatic or asymptomatic. We were not able to do that in the first wave, so the true numbers of covid sufferers were probably not clear to us; they are much clearer now. With regard to vaccination, it is important that we prioritise those who are the most vulnerable and at risk of death or serious illness. That is why, as with the rest of the population, we will be inoculating the older part of the population and those who are vulnerable. That will inevitably include staff, on whom I place a very high premium, and some prisoners. We will continue to work with Public Health England and Public Health Wales to ensure that we bear down on covid in our prisons.
ParlaMint-GB_2020-12-08-commons.u107	Some very impressive work is done by the charitable sector in supporting ex-offenders to deal with addiction problems. Will the Lord Chancellor ensure that his Department takes very seriously the importance of rehabilitation of offenders by enabling them to leave the substance abuse problems behind them, in the past?
ParlaMint-GB_2020-12-08-commons.u108	My right hon. Friend raises a critical issue for us in the prevention of crime, behind which so much substance abuse lies. While she is right that the charitable sector has a huge role to play, so do we. She will be pleased to know that earlier this week I had an interview with one of the first recipients of our alcohol sobriety bracelets, who has, for the first time in his memory, been alcohol-free for the last two months. He said to me—it was very moving—that it had literally saved his life. As well as doing good to his society, we have done good for him.
ParlaMint-GB_2020-12-08-commons.u109	The Government have made countless mistakes during the coronavirus crisis that could have been unlawful, including failing to provide health and care staff with adequate personal protective equipment, and sending hospital patients back to care homes without testing them. Will the Secretary of State confirm that any changes to judicial review will not affect cases related to Government failure over coronavirus?
ParlaMint-GB_2020-12-08-commons.u110	With respect to the hon. Gentleman, he perhaps misses the whole point of the judicial review—independent review—which is all about making sure that the current ambit of administrative law is in the right place, in the sense that we want to make sure that our judiciary are not brought in to a merit space or a political arena. As for individual cases, it is clearly stated in the terms of reference—and I will say it again—that the Government utterly support the right of citizens to challenge their actions or omissions by way of judicial review.
ParlaMint-GB_2020-12-08-commons.u111	A long-term view of victim funding will lead to better services and outcomes for victims of sexual assault, domestic abuse and serious violence. I therefore ask the Minister to provide an update of work within the Department to develop a long-term victims funding strategy to support those affected by crime in our communities.
ParlaMint-GB_2020-12-08-commons.u112	My hon. Friend raises an extremely important point. When I was on the other side of the table as an eager recipient of Whitehall largesse, it long frustrated me that I had to spend six months spending the money and then six months planning to bid for the next round of money. She will know that in particular in this area, where we want to build resilience, out of the hidden harms summit earlier this year came a commitment to create a victims funding strategy, which is currently under way, but she will also know that we have awarded three-year funding through to 2022 via the rape support fund, to give sexual violence services greater stability in the future. I hope that will progress into all the areas that are concerned with this particular offence.
ParlaMint-GB_2020-12-08-commons.u113	  According to solicitors in Warwick and Leamington, the court system dealing with criminals is at breaking point. They see it as being completely chaotic. I appreciate that in the spending review the Government have announced additional money—£337 million—but the Law Society is calling for more. Will the Government actually accept what the Law Society is calling for and give additional funding to break the backlog?
ParlaMint-GB_2020-12-08-commons.u114	The hon. Gentleman will be glad to know that both the Law Society and the Bar Council agree that this year’s settlement was encouraging. Of course, it is not the end of the story, and I have talked about us beginning to turn a corner. The good news in the magistrates courts is that receipts are now behind disposals, so we are dealing with the overall number of cases in the magistrates system. In the Crown court, we continue to scale up the number of trials being heard. In fact, in the past week or so, I have been looking at figures of effective trials, crack trials and trials that have been dealt with by way of a guilty plea: the numbers are now in the high 300s. We need to get that up, and I am confident that we can do that in the new year to return us to the pre-covid levels, and then work even harder.
ParlaMint-GB_2020-12-08-commons.u115	Earlier this year, another child was tragically stillborn after a failed forceps birth at an Essex hospital. There were calls for a coroner’s investigation until it was pointed out that coroners have no power. But of course they do under clause 4 of the Civil Partnerships, Marriages and Deaths (Registration etc) Act 2019, which was passed 19 months ago. When will those regulations be laid so that coroners have the power to investigate those tragic stillbirths?
ParlaMint-GB_2020-12-08-commons.u116	I am a great admirer of my hon. Friend and his persistent and effective campaigning on issues that are dear to him, but also to many people across the country. I understand his impatience on this issue and I know he has been given assurances previously in the House about it, but he will understand that the effect of the pandemic, which has ruined so much, has also delayed our consideration of the consultation on this matter. We will be publishing as soon as we possibly can, recognising the enormous impact that this has on particular families across the country.
ParlaMint-GB_2020-12-08-commons.u117	  During the current negotiations, the EU has asked for a guarantee that the UK will not do away with domestic law giving effect to the European convention on human rights, but the UK has refused. Does that not tell us what the review of the Human Rights Act announced yesterday is really all about?
ParlaMint-GB_2020-12-08-commons.u118	I am afraid the hon. Gentleman is wholly misinformed. That certainly is not my understanding of the negotiations, and he will forgive me if I say I am a little closer to them than he is. The review that we announced yesterday was about looking at the mechanism 20 years on—nothing to do with undermining or changing fundamental human rights. We believe in them. It was British Conservatives who wrote the convention, and I will always stand for and uphold the importance of the European convention on human rights.
ParlaMint-GB_2020-12-08-commons.u119	  What steps are the Lord Chancellor and his team taking to address the widespread perception among my constituents that detention arrangements in prisons are not sufficiently robust to act as a deterrent?
ParlaMint-GB_2020-12-08-commons.u120	I understand that my hon. Friend is concerned about the perception of his constituents, but I hope he will explain to them that we have quite interesting and clever plans to deal with offenders, not only in prison but after prison. For example, from early next year, we will GPS tag every single burglar who leaves prison on licence so that we are able to locate them, particularly when a burglary takes place in their community, so that we can at least rule out those prolific offenders in the future. There is lots that we can do in the criminal justice system that is much more smart than severe.
ParlaMint-GB_2020-12-08-commons.u121	A third of prisoners transferring from HMP Altcourse to HMP Berwyn last month tested positive for covid. I understand that Berwyn has requested a stop to transfers. Will the Secretary of State agree to that request, considering the extreme concerns about community infection?
ParlaMint-GB_2020-12-08-commons.u122	The hon. Lady knows that, since the beginning of this pandemic, we have taken unprecedented steps. All new arrivals in prison receptions are quarantined as part of our strategy of compartment- alisation. We are also now testing new arrivals at HMP Berwyn. That is an additional measure that allows us to identify positive cases early and put the right precautions around those individuals. It is with testing that we can improve the way in which we administer the prison system through this crisis.
ParlaMint-GB_2020-12-08-commons.u123	Ministers will be aware that the Children and Family Court Advisory and Support Service was already experiencing a workload crisis pre pandemic, which has only worsened through the lockdown. Although the Ministry of Justice has provided additional welcome short-term funding, do the Government have a longer-term strategy to ensure that CAFCASS can better retain staff and deliver a service that truly meets the needs of children and families?
ParlaMint-GB_2020-12-08-commons.u124	The hon. Lady will be glad to know that an extra £3.4 million has been allocated to CAFCASS to help it through the crisis. Indeed, I take the point about long-term planning. In fact, we are looking wholesale at the way in which family cases are dealt with. The family harms report published this year was a no-holds barred analysis of what is wrong with the system, and both I and senior judiciary within the family division will do something about it.
ParlaMint-GB_2020-12-08-commons.u125	In order to allow the safe exit of hon. Members participating in this item of business and the safe arrival of those participating in the next, I am suspending the House for three minutes.
ParlaMint-GB_2020-12-08-commons.u126	(Urgent Question): To ask the Secretary of State for Health and Social Care, if he will make a statement on the covid-19 vaccine roll-out.
ParlaMint-GB_2020-12-08-commons.u127	At 6.31 this morning, 90 year-old Margaret Keenan from Enniskillen, who lives in Coventry, became the first person in the world to receive a clinically authorised vaccine for covid-19. This marks the start of the NHS’s Herculean task to deploy vaccine right across the UK, in line with its founding mission to support people according to clinical need, not ability to pay. This simple act of vaccination is a tribute to scientific endeavour, human ingenuity and the hard work of so many people. Today marks the start of the fight back against our common enemy, coronavirus While today is a day to celebrate, there is much work to be done. We must all play our part in suppressing the virus until the vaccine can make us safe and we can all play our part supporting the NHS to deliver the vaccine across the country. This is a task with huge logistical challenges, including the need to store the vaccine at ultra-low temperatures and the clinical need for each person to receive two doses 21 days apart. I know that the NHS will be equal to the task. I am sure we will do everything we can—everything that is humanly possible—to make sure that the NHS has whatever help it needs The first 800,000 doses of the Pfizer/BioNTech vaccine are already here in locations around the UK and the next consignment is scheduled to arrive next week. This week, we will vaccinate from hospitals across the UK. From next week, we will expand deployment to start vaccinations by GPs and we will vaccinate in care homes by Christmas. As more vaccines come on stream in the new year, we will open vaccination centres in larger venues, such as sports stadiums and conference halls People do not need to apply. The NHS will get in touch at the appropriate time and, when that time comes, we have one clear request: please step forward for your country I want to thank all those involved—the international team of scientists; the globally respected regulator, the Medicines and Healthcare Products Regulatory Agency; Public Health England; the vaccines taskforce; all the volunteers who took part in the trial; all those who have come forward for vaccination so far; and all those who will do so in future. Months of trials involving thousands of people have shown that this vaccine works and is safe. By coming forward, you are taking the best possible step to protect yourself and your loved ones, and to protect the NHS Help is on its way and the end is in sight—not just of this terrible pandemic but of the onerous restrictions that have made this year so hard for so many—but even while we can now see the route out, there is still a long march ahead. Let us not blow it now. There are worrying signs of the virus growing in some parts of the country, including parts of Essex, London and Kent. Over the coming weeks and months, we must all keep following the rules to keep people safe and make sure we can get through this safely together.
ParlaMint-GB_2020-12-08-commons.u128	The pictures today of 90-year-old Margaret Keenan receiving her vaccine, given by May Parsons, a nurse originally from the Philippines, is a wonderful moment bringing home to all of us that there is now light at the end of this very long tunnel. We are all beaming with pride for our NHS today. Let me put on record my thanks to all our NHS staff working so hard today, tomorrow and in the coming weeks months in administering these jabs. I again pay tribute to all our medical scientists, clinical researchers, regulators and trial participants who have made today happen. We should applaud them on our doorsteps I want to put a number of specific questions to the Secretary of State. May I ask him about those areas that do not yet have a designated hospital hub? My city, Leicester, has effectively never really left lockdown, impacting hugely on the wellbeing of our people and the economic prospects of our city. We are a diverse city with a high proportion of black, Asian and minority ethnic communities, who we know are more at risk from the virus. My constituents, Leicester University and the Leicester leadership are all deeply disappointed not to see Leicester on the hospital hub list. I have been lobbying the NHS about this in the past 48 hours, and people in Leicester will get vaccinated, but can he say when areas like Leicester and other areas currently without a hospital hub will get one? When will local primary care network hubs be announced, and when will the mass vaccination centres’ locations be announced? Can he assure us that all vaccination centres and communications will be accessible for those with disabilities and that staff will be appropriately trained On care homes, I am grateful for the update the Secretary of State gave us when he mentioned Christmas. Does he anticipate that all care homes will have access to the vaccine by Christmas Of course we have to vaccinate NHS staff—that is really important. Can he confirm that that includes student nurses, medical students, physiotherapy students and so on? What plans are in place to ensure that harder to reach groups—such as the homeless, for example—have access to the vaccine The Secretary of State has presumably seen the reports today in the Health Service Journal that £567 million of requested funding for covid projects was turned down. Can he guarantee that the NHS will get all the resources it requests to ensure the smooth and rapid roll-out of the vaccine The Secretary of State indicated in the newspapers at the weekend that the tiers could be loosened by March if uptake is successful. In the same way that we receive daily published figures on case numbers and tests processed, could we receive daily updates on vaccination doses administered, and could it be by priority cohort Finally, what are the plans to tackle anti-vax harm online? I have literally just been sent a WhatsApp video claiming that this is all a global plot to change our DNA. We know that harmful content circulates on Facebook and other platforms. This is garbage: how can we deal with it This is indeed a momentous day, and we can all look forward to a much better 2021.
ParlaMint-GB_2020-12-08-commons.u129	That is right—we can all look forward to a much brighter 2021. We must stick with it for now, but we can see the way through this. The hon. Gentleman asked several very reasonable questions. We start today vaccinating in 70 locations across the UK, and we will expand these locations over the coming days. Today we will set out the next tranche of hospital hubs, including Leicester, and vaccinations in Leicester will start in the coming days On access to the vaccine, of course we need to make sure that it is available to all, and that includes all with disabilities and all our most vulnerable people, like those who are sleeping rough. This will be best accomplished when we get the primary care community vaccination model rolled out, which will be in the coming weeks. We need to make sure that how we get the vaccine physically out into the primary care networks can be assured as safe, because obviously that is one step more difficult than vaccinating from a hospital, hence we have started in hospitals and then we will get out into primary care and community delivery, and then into the vaccination centres after the new year The hon. Gentleman asked about NHS students. The definition of NHS and social care staff set out by the Joint Committee on Vaccination and Immunisation is those who are patient-facing, for obvious reasons. We will set out more details in due course Finally, the hon. Gentleman asked about the publication of data on the number of vaccines that have been administered, and according to which priority groups. We will set out those details when the vaccinations have taken place, so that people can see how the programme has been assessed. Overall, may I join him in saying how wonderful it was to see the pictures on the TV this morning—emotional for many of us—and that I am delighted that we have been able to make this progress?
ParlaMint-GB_2020-12-08-commons.u130	Like many, I would like to congratulate our scientists; I would like to congratulate the Health and Social Care Secretary himself, the vaccines taskforce and NHS frontline staff, all of whom have made this extraordinary day for our country possible. It is very, very cold outside, and the question on many people’s minds is: are they now able to book a summer holiday? What is my right hon. Friend’s answer to that question, and is there anywhere in particular that he would recommend if the answer is yes?
ParlaMint-GB_2020-12-08-commons.u131	It makes me very proud that we have managed to start this vaccination programme sooner than many people anticipated. People told me that it was not going to be possible and that it was all very difficult. It has been difficult, but we have got there, and we did so because of international science, working with German scientists and American pharmaceutical companies, and people right around the world working on this project. I have high confidence that the summer of 2021 will be a bright one, without the sorts of restrictions that made the summer of 2020 more restricted. I have booked my holiday—I am going to Cornwall.
ParlaMint-GB_2020-12-08-commons.u132	The commencement of a safe and effective vaccination programme is extremely welcome, but recent studies have shown that as little as 54% of the UK population are certain to have the vaccination. There is a clear need to counter misinformation, whether online scare stories or jingoistic nonsense, so what extra steps will the Minister take to ensure public trust in the vaccine’s safety and effectiveness and to encourage take-up? What assurance can he give that there will be fairness in access to the vaccine until it is widely available, and when does he think it will be available to anyone who wants it? During that period, will the UK Government commit to a similar strategy to that of the Scottish Government of pursuing the eventual elimination of the virus? With a vaccine now available, that is more possible than ever before.
ParlaMint-GB_2020-12-08-commons.u133	It is only with a vaccine that we can finally defeat this virus and get life back to normal. This UK project has made huge strides forward, and I am very, very grateful to NHS Scotland for the work that it is doing right now in making sure that the vaccine can reach people across Scotland, as the NHS is doing in Wales, Northern Ireland and England. It is a big team effort, and it is because the UK vaccines taskforce was the first out of the blocks on buying the vaccine, along with the smart approach taken by the MHRA, that we have been able to get to this point before any other country The hon. Gentleman asked about fairness in access. Absolutely—fairness is critical, hence we will follow the clinical advice of the Joint Committee on Vaccination and Immunisation on priority, again, right across the UK. Finally, I agree strongly with him—the hon. Member for Leicester South (Jonathan Ashworth) also raised this, and I did not respond to it, so I shall now—that countering disinformation is incredibly important. That is best done with positive information and explaining objectively why and how the vaccine is safe. Something that we can all do in the House is talk positively about the benefits of the vaccine for keeping people safe and keeping their community safe. I pay tribute to all those who have been willing to come forward and talk in public, and I thank those who have already had the vaccine—since 6.30 this morning—and have been willing to tell their story publicly to help others have the confidence to do the right thing. Finally, surveys of the UK population show that we have one of the highest acceptances of taking the vaccine in the world. The numbers who are enthusiastic about it are rising at the moment, and we need to keep that going.
ParlaMint-GB_2020-12-08-commons.u134	I echo the Secretary of State’s thanks to the MHRA for its tremendous work in ensuring that this vaccine is safe. I look forward to having my jab as soon as it is my turn, and I will encourage everybody I love to do the same. Earlier this week, we learned that Scunthorpe General Hospital was not among the first group of vaccination hubs. Can my right hon. Friend provide further clarity on how those hubs are allocated, and can he reassure me and my constituents in Scunthorpe, who are currently in tier 3, that we will receive the vaccine in the very near future?
ParlaMint-GB_2020-12-08-commons.u135	Yes, absolutely. We have started at 70 hospitals across the UK. Those are the ones that are best able to deal with the difficult logistics of a vaccine that has to be stored at minus 70° C. I understand the desire for every hospital to get on that list, and we will publish a further list later today. My local hospital, the West Suffolk, is also not yet administering vaccines. The other critical part of this is the primary care networks—the community roll-out—which will get us to many, many more sites where people are able to access the vaccine, so that in Scunthorpe and across the whole of the UK, everybody is able to access this vaccine as fairly and safely as possible.
ParlaMint-GB_2020-12-08-commons.u136	It is brilliant that the vaccine programme is beginning, but unfortunately, there are real question marks over who is benefiting from some of the covid-19 contracts. How will the Secretary of State ensure that cronyism and profiteering do not become features of this stage of the covid-19 response?
ParlaMint-GB_2020-12-08-commons.u137	Thankfully, as the National Audit Office set out, they have not been a feature of any of the response to coronavirus, so that is good.
ParlaMint-GB_2020-12-08-commons.u138	Those on the frontline normally face bullets, so my right hon. Friend and his entire team deserve the bouquets that they are receiving today. I am delighted that the William Harvey Hospital in Ashford is already dispensing the vaccine. Does he agree that one of the groups in greatest need who deserve it first are residents of care homes, who have faced such a miserable 2020?
ParlaMint-GB_2020-12-08-commons.u139	Yes, I do, and I hope that we can get the vaccine out to residents of care homes as soon as is feasibly possible. They are in the top priority group clinically, and it is simply a question of how quickly we can operationalise getting the vaccine out to care homes. I hope that that can start before Christmas. I pay tribute to everybody working at the William Harvey Hospital in Ashford this morning, administering vaccines already and helping to protect the lives of my right hon. Friend’s constituents.
ParlaMint-GB_2020-12-08-commons.u140	May I start by saying what a joyful moment it was this morning to see those first vaccinations and thank everybody who has been involved in making this happen? I very much welcome the Secretary of State’s optimism about our summer holidays next year. However, I gently point out that we have seen setbacks from some of the manufacturers in terms of when the doses of vaccine will be delivered. With both Pfizer and AstraZeneca, it will apparently be 3 million doses arriving by the end of the year, rather than the 30 million that were originally forecast. Does he still think it is feasible that the most vulnerable will be vaccinated by the spring, and how many of those of us who are healthy under-50-year-olds might be vaccinated by the school summer holidays?
ParlaMint-GB_2020-12-08-commons.u141	I understand why the hon. Lady and many others want to know what the speed of the roll-out will be. Because we are reliant on the manufacturing process, which is itself a difficult challenge, we cannot put figures on when the roll-out will be. We hope that we will be able to lift the measures by the spring, and we hope that we will all have a much more normal summer next year, but I do not want to put too much more detail on it than that, and I cannot put more in terms of the numbers, because there are so many contingencies. What we can be sure of, and what we can work and plan for, is the NHS being able to deliver the roll-out at the speed at which the manufacturers can manufacture.
ParlaMint-GB_2020-12-08-commons.u142	May I thank my right hon. Friend for all he has done in his fight against the coronavirus, and may I thank the Department for this roll-out of the vaccine? It is actually a monumental step in our fight against the coronavirus—just in time for Christmas. It is the Christmas present we all wanted. Does my right hon. Friend agree with me that, because the UK was one of the first countries to secure the vaccine, we should be able to move more quickly out of local restrictions in the new year, as the vaccine is rolled out?
ParlaMint-GB_2020-12-08-commons.u143	Well, I very much hope so, but there is some time between now and then, so we have got to temper our joy and enthusiasm at today’s announcement with the need to keep on keeping each other safe between now and then. Let us not blow it, since we can see that the answer is on the horizon I reiterate the point that my hon. Friend made about the team in the Department, because my civil servants and special advisers have been amazing during this year. They have worked so hard—seven days a week, often 18 hours a day—and they deserve enormous praise, because this is a team effort and nobody can do this sort of thing on their own.
ParlaMint-GB_2020-12-08-commons.u144	First, could I say what a positive news story it was this morning when Margaret Keegan got her jab, followed by a fellow called William Shakespeare, which I thought was quite interesting? I thank the Secretary of State and all those who have made this happen, because it is really good news. Will the Secretary of State outline whether he has liaised with the Treasury to secure the funding needed to roll out this vaccine in the devolved nations, bearing in mind that we are behind on our flu vaccine roll-out and both cannot be carried out at the same time? Further, what discussions have taken place with the Secretary of State for Defence to provide trained military assistance in the devolved regions to make it happen?
ParlaMint-GB_2020-12-08-commons.u145	This year, I have sometimes turned for inspiration to the bard: “If you prick us, do we not bleed?” So it was a delight and a coincidence to find that Mr William Shakespeare of Stratford-on-Avon, a constituent of the vaccine roll-out Minister, the Under-Secretary of State for Health and Social Care, my hon. Friend the Member for Stratford-on-Avon (Nadhim Zahawi)—by coincidence; Members should not get any ideas—was called forward to be the second person to be vaccinated by the NHS. It is absolutely terrific to see that people right across this United Kingdom are being vaccinated right now according to need, and I hope it can bring us all together.
ParlaMint-GB_2020-12-08-commons.u146	Can I start by joining my right hon. Friend in paying tribute to the scientists, clinicians, trial volunteers and many others who have made it all possible? They have given us the light at the end of the tunnel. We have to remember that there were no guarantees that we would get any vaccine; to have at least one is fantastic. I am glad to see a number of sites in the north-west have been allocated for the roll-out, but my constituents will probably be asking for and expecting somewhere closer to home—for example, at Leighton Hospital near Crewe and Nantwich. What are the plans for expanding the sites available for vaccination?
ParlaMint-GB_2020-12-08-commons.u147	Yes, we will keep expanding the sites available. Of course, I understand why people want their local hospital to be dispensing the jab. Alongside hospitals and those vaccination centres, we will make sure that we have sites in the community, and we will get them going just as soon as it is safely possible.
ParlaMint-GB_2020-12-08-commons.u148	This brilliant news, on which I also congratulate everyone, contrasts with the rather alarming revelations last night that we may be veering towards a no-deal Brexit. If that does occur, could the Secretary of State guarantee that there will be no disruption to the supply chains for all these different vaccines—AstraZeneca, Moderna, Pfizer—and will he also rectify the rather Ealing-shaped hole in hospital provision in north-west London? We have 360,000 people, and we were No. 1 in London for cases recently, so that does need fixing.
ParlaMint-GB_2020-12-08-commons.u149	There is very significant provision for vaccination in London. I will take up the specific point about Ealing, but London, thankfully, is a very well connected and interconnected city. To assure the hon. Member on the point about logistical disruption, we have five contingency plans in total to ensure that we can continue with the vaccination supply no matter the differing types of disruption.
ParlaMint-GB_2020-12-08-commons.u150	I am delighted that Stepping Hill Hospital in my constituency will be part of this historic day as the coronavirus vaccine programme begins. Along with rapid testing, tracking and isolating, we aim to bring our covid rates down further, prior to the tier review next week. In welcoming this fantastic news, does my right hon. Friend agree that we must not lose sight of the importance of “Hands, face, space” as a key way to keep us virus-free while the vaccine is rolled out to the rest of the population?
ParlaMint-GB_2020-12-08-commons.u151	Yes, my hon. Friend is completely right. We must all keep doing the basics—“Hands, face and space”, respecting the rules, and living carefully with personal responsibility, so as to minimise the chance of passing on the disease asymptomatically. We must keep doing that even while we have this great news of the vaccine which, as many have put it, is the light at the end of the tunnel.
ParlaMint-GB_2020-12-08-commons.u152	This is a momentous day, and I look forward to receiving my vaccine when it is my turn. I thank those who are being vaccinated, those who took part in the trials, and all those who worked to make this happen. I understand that the Joint Committee on Vaccination and Immunisation has set a priority list for vaccines based on clinical vulnerability, but that has made people who were on the frontline of the crisis, including unpaid family carers, feel as if they are being ignored. Our immediate priority during this phase of vaccinations has to be reducing deaths, but once the most vulnerable have been vaccinated, will the Secretary of State say whether unpaid carers will become a priority for vaccination?
ParlaMint-GB_2020-12-08-commons.u153	The hon. Lady and I agree that clinical need must be the priority, and once we have reached all those with a significant clinical need, as set out by the JCVI, we will set the next stage of priorities in due course.
ParlaMint-GB_2020-12-08-commons.u154	I, too, commend the titanic effort of all those involved in the creation, manufacturing and distribution of the covid-19 vaccine. As more and more of us are vaccinated against covid-19, will my right hon. Friend outline what plans there are to ease the most draconian measures across the tier system, so that people and businesses can sensibly return to normal?
ParlaMint-GB_2020-12-08-commons.u155	While the vaccine rolls out, the best way to get any area down through the tiers is to continue to follow the restrictions that are, unfortunately, still absolutely necessary to keep people safe. Having said that, because we have a vaccine, the faster we can roll it out, the sooner we can get to the point where we get rid of the system altogether.
ParlaMint-GB_2020-12-08-commons.u156	If I had not been on the call list for this urgent question, I would have been joining friends and colleagues of Leslie, to pay our final respects to a warm-hearted man who sadly lost his life to the virus. Thinking of his family, and what happened to him, brings home to all of us how urgent it is to get a vaccination programme up to speed as quickly as possible. That can happen only if a significant proportion of the population accept the vaccine. My hon. Friend the Member for Linlithgow and East Falkirk (Martyn Day) has highlighted the dangers if too many people are taken in by the scare stories circulating on social media, and people can also be put off if they see politicians responding with too much bombast or jingoism to the start of the vaccination programme. May I commend the Secretary of State sincerely for the measured tone that he has adopted today? Will he encourage his ministerial colleagues to be similarly measured in any future pronouncements that they make about this important day in the battle against covid?
ParlaMint-GB_2020-12-08-commons.u157	All of us in Government feel encouraged by today’s progress, but we are also determined and resolute to get through this in the safest way possible, and out into the brighter seas beyond, when we can get rid of the restrictions altogether. I agree with the hon. Gentleman about how important it is that we all keep that resolve, not least because of the example that he set out, and I send my commiserations and those of the Government to his constituent. Many of us have suffered loss during this pandemic, and we want it to be over as soon as we can. We must keep going until it is safe to do so.
ParlaMint-GB_2020-12-08-commons.u158	May I add my congratulations to my right hon. Friend and the many people who got us to the heart-warming images that we saw this morning? A lot of the highest priority groups in my constituency live in more remote villages rather than in towns, and there are issues from transport connections to a fear of going out. Will my right hon. Friend assure me that those factors that affect more remote locations are being included in the planning for the roll-out?
