ParlaMint-GB_2020-06-03-commons.u1	2. What assessment he has made of the role of the Union during the covid-19 outbreak.
ParlaMint-GB_2020-06-03-commons.u227	Order. I would like to get everybody in, which will require short questions and short answers.
ParlaMint-GB_2020-06-03-commons.u228	If I am honest, I think many people will think that this is the right move at the wrong time. We keep being told to use our common sense, but the idea that this was wrong when Europe was at the centre of a pandemic, but right now—it does not add up to me. But perhaps that is just me. We are where we are, and we cannot go back, so we start from here. Hundreds of my constituents rely on Southampton airport for their livelihoods. It was on its knees before covid. I appreciate that there is much talk today of travel corridors, but can I ask my right hon. Friend whether the Government will consider travel gates to block incoming travellers from certain countries, based on the science—basically, a more targeted, risk-based approach to the screening of passengers, as happens with aviation security standards now?
ParlaMint-GB_2020-06-03-commons.u229	My hon. Friend is right: there will be a range of measures, and I emphasise that this is part of our ongoing dialogue with the industry. It is not just for the Government to specify the type of actions that the sector should undertake; we have to innovate together and look at new international aviation health screening options and opportunities, and at how we can work to innovate and set these standards internationally. We want to be at the forefront of that, and we urge our industry to do that as well.
ParlaMint-GB_2020-06-03-commons.u230	Sir Patrick Vallance has said that the crisis escalated in this country as a result of many, many cases coming from Spain and Italy during March. So clearly, the triage system was not working. The Home Affairs Committee was also told that in a 10-day period from 13 to 23 March, up to 10,000 passengers with coronavirus are likely to have arrived at our ports and airports. The Home Secretary has still not published the science that we were promised behind those decisions. Can I urge her now to do so and to tell us her estimate of the number of people who, in the next three-week period, are likely to arrive in the UK with coronavirus?
ParlaMint-GB_2020-06-03-commons.u231	I thank the right hon. Lady for her comments. I have already been clear about the measures that were brought in.
ParlaMint-GB_2020-06-03-commons.u232	No, you haven’t.
ParlaMint-GB_2020-06-03-commons.u233	I have been clear and I have outlined them. I even provided dates to the House, and I have given examples of the number of airports, territories, airlines and flights that were monitored throughout the period from 22 January to 12 March. In terms of publishing the advice, I think the right hon. Lady refers specifically to advice from the Home Office, and I will ensure that the Home Affairs Committee receives it. On the number of incoming passengers, it is well known and documented through air passenger data—that does not include ports, which are separate—that the number of passengers travelling to and arriving in the United Kingdom has been at an all-time low and completely fallen off. We obviously cannot predict those figures for the next three weeks, but working with the Department for Transport we will collate that information and make it public.
ParlaMint-GB_2020-06-03-commons.u234	The introduction of a 14-day quarantine is a blunt tool that has many downsides and consequences, and effectively it grounds the aviation industry. Does my right hon. Friend agree that rather than using that blunt tool, we should move as quickly as possible to a precise and targeted approach that is based on science and international safety standards that will protect passengers and the public, as well as the staff who work for the airlines, the airports and on public transport; and that by doing so, we will enable our planes to fly again, saving livelihoods and businesses while keeping the public safe?
ParlaMint-GB_2020-06-03-commons.u235	My hon. Friend makes important points. I pay tribute to the aviation industry, which is dynamic and innovative. When we look at the work it has done over decades when it comes to keeping the public safe in aviation travel, it has been world leading, and that is exactly what we want to do in the work that we undertake with the sector. This is of course an international crisis, and no one person or organisation has a bespoke way of working through this crisis for the aviation sector. My final point is that planes are of course still flying and goods are coming into the United Kingdom. I have made the point about export goods, which are still very important for the aviation sector and for the freight sector in particular, and that is of course important not only for the health of our economy but the way in which we can continue to innovate.
ParlaMint-GB_2020-06-03-commons.u236	The Home Secretary has made much of the scientific advice earlier in the pandemic that it was “clear that such measures would have made little difference” Will she acknowledge that, as we have an acknowledged death toll approaching 50,000 people, perhaps that little difference might have been significant to a lot of people in this country at that time? Does she now regret not making that little difference? Will she please answer the question from the hon. Member for Torfaen (Nick Thomas-Symonds) about whether that advice and the advice to which she refers today both came from SAGE?
ParlaMint-GB_2020-06-03-commons.u237	The hon. Lady will be well aware that we are working not just with SAGE but with representatives of SAGE in Departments across Government, and that is the scientific advice that we as Ministers are guided by. It is important to consider this in terms of the entire period from January to March and the enhanced measures that were taken at the border. It is important to recall and be very mindful of the enhanced public health protection measures that were undertaken. Had those measures not been put in place, the severity of what could have followed could have been even more damaging than we have seen over the recent months.
ParlaMint-GB_2020-06-03-commons.u238	I welcome the introduction of a self-isolation period for those arriving in the UK. Like the Government, I want to do all that I can to protect rural mid-Wales from a second spike in the virus. What discussions has my right hon. Friend had with the Welsh Government and with rural police forces to ensure that these measures can be enforced in a four-nation approach?
ParlaMint-GB_2020-06-03-commons.u239	My hon. Friend is absolutely right, and I pay tribute to the devolved Administrations. The shadow Home Secretary, hon. Member for Torfaen (Nick Thomas-Symonds), asked me about the time period in respect of when this was announced and these measures now coming into place. Much of this has been complicated because of the different approach in terms of the powers that are devolved, particularly in relation to enforcement. The devolved Administrations will of course be introducing their own regulations on enforcement, but we have had constant contact and discussion across the four nations with the devolved Administrations from the get-go—from the outset—and that will of course continue.
ParlaMint-GB_2020-06-03-commons.u240	This is not just about tourism and business, important though they are; it is also about people. My constituent Professor Matthew Gaunt’s eight-year-old son Dylan lives in Germany. Professor Gaunt and his ex-wife have joint custody, and in former times he used to visit fortnightly to stay with Dylan for four days. The pandemic has torn apart families throughout the nation, but it is an international problem, too. Will the Home Secretary ensure that such difficult cases are prioritised?
ParlaMint-GB_2020-06-03-commons.u241	This is such a difficult time for everybody around the world. Of course, we have all been split apart from family, friends and loved ones. Of course, we do want to ensure that we can prioritise key cases and, as we move forward with changes to regulations and keep this under review, look at how we can do our utmost to reunite friends, family and loved ones.
ParlaMint-GB_2020-06-03-commons.u242	I welcome the huge amount of work that the Home Secretary is doing on air bridges, and urge her to suspend the implementation of this blanket quarantine requirement to give just a few more weeks to get in place those safe air corridors so that we can save jobs in aviation and let families go on their summer breaks in the sun.
ParlaMint-GB_2020-06-03-commons.u243	I thank my right hon. Friend for her question. There are some important points in respect of how we can work collectively with the travel sector—not just aviation, but across every single carrier; whether it is coaches, trains or ferries, they are all part of the health and wellbeing of the travel sector and the travel economy. We will of course work with everybody on this. The fact of the matter is that these are complicated matters. My right hon. Friend will have heard me say in my statement that we would require bilateral agreements with countries, which is exactly what the FCO is working on. That is why there is a cross-Government effort to ensure that we can not only get our country moving again but do the right thing in terms of keeping the public safe.
ParlaMint-GB_2020-06-03-commons.u244	At the start of this crisis, I had border staff writing to me to say that they had no personal protective equipment and constituents writing to me to say that they had come back from northern Italy and Spain without being stopped at the border at all. It was a completely bungled response at the beginning. Now the horse has bolted, our recovery is one of the worst in Europe and our death rates are the second worst in the world, the Government are embarrassed and trying to close the stable, but I am afraid it is too late. To build any sort of trust, will the Secretary of State publish the advice she has on this matter before she destroys our hospitality sector?
ParlaMint-GB_2020-06-03-commons.u245	It is not my intention to destroy any sectors of our country or economy. That is a gross distortion of my comments and remarks. I refer the hon. Gentleman to the comments I have already made on the scientific advice.
ParlaMint-GB_2020-06-03-commons.u246	I am afraid I simply cannot get my head around the public health mental gymnastics of this policy. If such a barrier is required, why was it not introduced earlier in the outbreak and if it is a contingency measure against a so-called second wave, why apply it to countries with a lower infection rate than we already have? Surely, the answer lies in the Government’s test and trace system, rather than unnecessary economic isolation. I know that my right hon. Friend is not answerable for the public health elements, but can she please tell us, from a Home Office perspective, in the event of air bridges being established: how will it be possible to identify transit and, more importantly, stopover passengers, who may be able to come to the UK through the bridge from higher-risk areas?
ParlaMint-GB_2020-06-03-commons.u247	I thank my right hon. Friend for his point about transit passengers and future travel corridors—I am sure we will all agree on a term to use in the future. The fact of the matter is, from a Home Office perspective, that we have created the contact locator form. It is that data that will be instrumental in giving people that safe passage and the clearance to transit on to other locations. That piece of work has been done. We should look at how we can adapt that, again working with the aviation sector, so that in due course the form can contain so much more information, including covid test data or even electronic travel authorisation, which can help to bolster the industry and the sector, get people moving, planes flying and people travelling internationally again, and give the public confidence about the health protections they are looking for.
ParlaMint-GB_2020-06-03-commons.u248	At a time when most European countries are in a much improved condition compared with the UK, the concern of communities in constituencies such as mine is transition by travellers within and between the nations of the UK. I have spoken to the police, representatives of the tourism industry in north Wales and local community leaders, and we all want our attractions and accommodation to open as soon as possible, so we need to be able to provide every assurance to vulnerable residents and their families anxious about the risks implicit in thousands—I emphasise, thousands—of people arriving in their communities the day after internal holiday travel restrictions are lifted in the UK. Will the Home Secretary come back to the House to explain what steps she is taking to ensure that holidays at home are safe for everyone?
ParlaMint-GB_2020-06-03-commons.u249	Order. If we are to get everybody in, we need very short questions and short answers. Just the question please. That is the best way to get through this.
ParlaMint-GB_2020-06-03-commons.u250	First, let me pay tribute to the police across the country for their approach to enforcement and encouraging people on socially distancing. I am well aware, across the four nations but particularly in Wales, of the great work that has taken place. On the point about domestic tourism, vulnerability and people who are shielding, I would be more than happy, working with colleagues across Government, to come back to give the assurances on the public health measures and protections required.
ParlaMint-GB_2020-06-03-commons.u251	More than 90% of countries have deployed a form of quarantine so far. Does my right hon. Friend believe that the measures she has outlined today are being taken by the rest of the world and are consistent and vital to keeping our citizens safe?
ParlaMint-GB_2020-06-03-commons.u252	I thank my hon. Friend for the point and his question. There is a reflection here, in that other countries have introduced measures at the border, whether self-isolation—much of this is self-isolation—or other measures, on the basis of protecting their domestic population from the imported spreading of the virus. It is right that we are doing this now. The science has been consistent on this and that is in the interests of protecting public health.
ParlaMint-GB_2020-06-03-commons.u253	Northern Ireland is the only part of the United Kingdom with a land border and is therefore literally on the frontline. Can the Home Secretary tell us more about the discussions and talks with the Northern Ireland Assembly that she referred to? How does she believe she can marry the health measures at our ports and airports with those in neighbouring Republic of Ireland to ensure the viability of our ports and airports for trade and tourism as well as safety and wisdom?
ParlaMint-GB_2020-06-03-commons.u254	I thank my hon. Friend for his question. He is absolutely right. When it comes to trade and keeping passenger flows going, we have been working with my right hon. Friend the Secretary of State for Northern Ireland. The hon. Gentleman will be aware of some of the discussions that have been taking place. As ever, we undertake these measures for the right reasons: to collectively stop the spread of the virus and to protect public health. I would be happy to talk to him over future days, in the run-up to 8 June, about the work we are doing in Northern Ireland.
ParlaMint-GB_2020-06-03-commons.u255	Hundreds of thousands of jobs will be lost if the airlines are unable to fly their crucial peak summer schedules, but the airlines are making those decisions now. Will my right hon. Friend undertake to make sure that we have clear criteria for air corridors and the first list of safe countries well before the three-week review on 29 June?
ParlaMint-GB_2020-06-03-commons.u256	I am very familiar with my hon. Friend’s regional airport and the operators there, and I can assure him that my right hon. Friend the Transport Secretary will be leading on this issue. Of course, I will work with him and all colleagues across Government to ensure that we really pursue those plans and proposals and get aviation up and running again and safeguard jobs and the economy, but at the same time, as I said, look at the methods by which we can protect public health.
ParlaMint-GB_2020-06-03-commons.u257	The horse has bolted. I do not understand why the Secretary of State does not get this. She will not be able to screen people at ports, she cannot track them when they leave the airports, she cannot enforce quarantine when people get to their homes and she cannot even ensure that those who might be covid positive are not using public transport to get from the ports to their homes, so she will not be protecting anybody. Can she name a single country in Europe that has a higher infection rate than the UK?
ParlaMint-GB_2020-06-03-commons.u258	I refer the hon. Gentleman to my statement and the reason why these measures are coming in. I recognise from the tone of his question that he fundamentally disagrees with the Government’s position and the approach we have taken collectively. We will work bilaterally with other countries on travel corridors and how to move the sector forward to bring in the right kinds of public health measures that safeguard countries, travellers and passengers. That is the right thing to do. As I have explained to the House, the science has been consistent on this. These measures are here to protect public health.
ParlaMint-GB_2020-06-03-commons.u259	What advice did the Home Secretary receive from the Scientific Advisory Group for Emergencies about introducing these quarantine measures? Will she also look to review them more regularly—weekly, I would suggest, rather than three-weekly?
ParlaMint-GB_2020-06-03-commons.u260	As I explained in my statement, the advice has been provided consistently both to the Home Office and other Departments. As I have outlined, there will be a three-week review period, but the review will be aligned with the other health reviews that are taking place, based on protecting the public. These are public health measures, and it is right that we look at all public health measures and regulations in the round to protect the British public.
ParlaMint-GB_2020-06-03-commons.u261	Before I ask my question, I put on record that my wife works as a contractor for an international travel company. Will my right hon. Friend confirm that these health measures will be time-limited, will remain proportional to the threat facing our country and will be altered when we can be sure that that will not jeopardise the health of UK citizens?
ParlaMint-GB_2020-06-03-commons.u262	My hon. Friend is absolutely right. As I have said, these measures will be reviewed and aligned with the other health measures being brought in. I emphasise again that it is important to look at this in its totality and in the round, alongside the desire of our country and Government to get the R value down, so that we can unlock and reopen society in many other ways.
ParlaMint-GB_2020-06-03-commons.u263	Just now we had a junior Transport Minister, subbing for the Chancellor, wringing her hands about the aviation industry, but the Home Secretary has just thrown her, the industry and its workers under the bus, and at the same time put up a massive “Britain is closed” sign. At the very least, will she demand from the Chancellor of the Exchequer that he extends the furlough scheme to try to avert hundreds of thousands of workers being thrown on the dole in the next few weeks?
ParlaMint-GB_2020-06-03-commons.u264	First of all, I find the right hon. Gentleman’s tone somewhat objectionable. I have been incredibly supportive of the aviation industry. [Interruption.] I can hear sarcastic cries of “tough”. It is important to reflect the way in which the aviation industry is dynamic, innovative and huge to our economy.
ParlaMint-GB_2020-06-03-commons.u265	You are shutting it down.
ParlaMint-GB_2020-06-03-commons.u266	I am not shutting it down—on the contrary. I am working with my right hon. Friend the Transport Secretary, the Business Secretary and all colleagues across Government. I will restate to all Members of this House that these are cross-Government measures to protect the public health of our nation. I hear the right hon. Gentleman’s comment with regard to the furlough scheme and protecting jobs. Of course, we all want to protect jobs. This has been a tremendously difficult period economically. We will have major economic issues to confront as we come out of this dreadful situation. We are not on our own. The international economy is in exactly the same space. It is right that we work collectively, rather than in an aggressive and hostile way, to find the right solutions for the people of this country, to protect not only their health but their long-term jobs and livelihoods.
ParlaMint-GB_2020-06-03-commons.u267	After 9/11, the aviation industry found a way almost instantly to find box cutters and get them off aeroplanes. After the shoe bomber, the aviation industry found a way almost right away to detect the smallest quantity of liquid in people’s luggage. If, tomorrow, the aviation industry and the inventive people around the world are able to find a way to swab, take temperatures and get an almost instant result back before and after every flight, will the Home Secretary drop these regulations?
ParlaMint-GB_2020-06-03-commons.u268	First, it is not for me personally to drop these regulations. These regulations are being laid in the House in conjunction with other Departments. I want to emphasise what I said on 22 May: this is just one component. We are speaking about track, trace and isolate and potential fast testing for passengers. There are many other aspects to how we can make aviation travel safe, to protect passengers’ health. That is exactly what we need to do, working with the aviation sector, the travel sector and carriers. It is for them to innovate, and we will support them and work with them to ensure that we look at all measures we can bring forward for the sector to keep passengers safe while protecting the British public.
ParlaMint-GB_2020-06-03-commons.u269	Scientific research into this virus is, thankfully, an international effort. Can the Home Secretary explain the evidence she has seen that underpins her decision to introduce a blanket 14-day quarantine now, at precisely the time that other countries are beginning to ease restrictions that they introduced months ago? Why is the UK Government’s approach so at odds with our neighbours?
ParlaMint-GB_2020-06-03-commons.u270	First, I refer the hon. Lady to my statement in terms of why these measures are coming in now. My second point is that these are cross-Government measures; they have not been taken in isolation by just one Department. We are working across Government, led by the Department of Health and Social Care, with my right hon. Friend the Transport Secretary, the Business Secretary and the Chancellor of the Exchequer. These measures have been put in place collectively, and they will stay in place until the public health situation in this country changes. This Government are absolutely committed to protecting the public health of our nation. That is the right priority.
ParlaMint-GB_2020-06-03-commons.u271	indicated dissent.
ParlaMint-GB_2020-06-03-commons.u272	The hon. Lady clearly disagrees with that. At the same time, we will continue to work with the industry to look at new measures.
ParlaMint-GB_2020-06-03-commons.u273	In terms of our soft borders, which are our beaches, can my right hon. Friend reassure the residents of Hastings and Rye that the migrants illegally crossing the channel in small boats who are not returned to France are being given health checks for their own safety and wellbeing and for the safety and wellbeing of my constituents?
ParlaMint-GB_2020-06-03-commons.u274	My hon. Friend is aware of the work we are doing on that, which includes returns to France directly, so she can have that assurance. The self-isolation measures equally apply to people who come to our country illegally.
ParlaMint-GB_2020-06-03-commons.u275	Many of my constituents depend on the aviation sector for their livelihoods. Bracknell also has the offices of more than 150 global companies. Can the Home Secretary assure me that support for my constituency and beyond will be given through a pragmatic application of the policy and that the policy will not just be reviewed but lifted at the first opportunity?
ParlaMint-GB_2020-06-03-commons.u276	I thank my hon. Friend for his question. He is right, and he makes a powerful case on behalf of his constituents and their livelihoods for the sector they are employed in. It is right that the Government continue to work to give that support. I am committed to doing that, as are all Secretaries of State across Government.
ParlaMint-GB_2020-06-03-commons.u277	When reviewing safe journeys in the coming weeks, will my right hon. Friend consider that ferries have a covid-secure option that aeroplanes simply do not have? May I ask her to keep front of mind our beautiful white cliffs country and the Dover-Calais ferry for not just a safe and enjoyable holiday break but to save our local jobs and livelihoods?
ParlaMint-GB_2020-06-03-commons.u278	My hon. Friend is absolutely right to represent her constituency, her constituents and the local economy, and what she says applies across the country where we have ports. She is absolutely right to highlight the need to have safe travel. Applying that consistently across travel carriers is something that my right hon. Friend the Transport Secretary and I will be putting forward, raising and discussing in our roundtable tomorrow.
ParlaMint-GB_2020-06-03-commons.u279	What discussions has the Home Secretary had with the Chancellor of the Exchequer about how to mitigate the impact of these measures on the aviation industry? How will they affect efforts to support the industry if it is to play a sustainable role in rebuilding the economy at a local, national and regional level?
ParlaMint-GB_2020-06-03-commons.u280	Discussions have taken place through the usual channels across Government. In fact, up until recently, there was a series of committees including the Treasury and every involved Government Department to discuss the economic and health impacts of the public health measures and how they would be brought together, enforced and applied across the four nations.
ParlaMint-GB_2020-06-03-commons.u281	A couple of months ago, my constituents were overwhelmingly of the view that an international quarantine should have been introduced then. I believe that, right now, they are finely balanced but still just of a view that one is necessary, so I will be supporting the Government on this. However, at the same time I am getting more and more emails from constituents who have loved ones in other countries. Will the Home Secretary please commit to a flexible approach, and at the nearest opportunity will she please relax it?
ParlaMint-GB_2020-06-03-commons.u282	I hear everybody’s comments, and I am very conscious of this, as are my right hon. Friend the Transport Secretary and the whole of the Government. The fact of the matter is that we all want to be reunited with friends and loved ones as soon as possible, but we have to do this in a safe and responsible way, and that is what this Government are committed to achieving.
ParlaMint-GB_2020-06-03-commons.u283	Reports suggest that SAGE was not asked for updated advice before this announcement was made. May I ask the Secretary of State what the estimate is of the likely numbers in the outlined exemption categories to her policy? What is the scientific assessment of potential transmission from these groups?
ParlaMint-GB_2020-06-03-commons.u284	I refer the hon. Lady to my statement earlier. We have based this on scientific advice not just within the Home Office but across other Government Departments. As I said in my statement, that information in due course will be provided in the normal way, but it is important to reflect on and recognise why these measures are coming into place, which is to protect the health and wellbeing of the British public.
ParlaMint-GB_2020-06-03-commons.u285	On behalf of a significant number of constituents whose jobs are affected in the travel, tourism and leisure business, may I ask my right hon. Friend if she would seriously consider and review as urgently as possible establishing air bridges, particularly with countries where the rate of infection is lower than our own?
ParlaMint-GB_2020-06-03-commons.u286	I think I have answered this question previously, but that is absolutely right. It is our determination to ensure that we work with the travel industry and with all carriers to find a safe way in which people can travel, which is of course our priority.
ParlaMint-GB_2020-06-03-commons.u287	By mid-March, over 80 countries had imposed quarantine measures and travel restrictions. By May, it was reported that over 95,000 people had flown into the UK through the lockdown. Does the Home Secretary feel that her delayed action has contributed more or less to the UK having the second highest coronavirus death rate in the world?
ParlaMint-GB_2020-06-03-commons.u288	I could not have been clearer in my statement, and when I outlined the enhanced monitoring process that took place at the border between 22 January and 12 March. It is right that those measures were undertaken, and I have said in my statement why these measures are being brought in now.
ParlaMint-GB_2020-06-03-commons.u289	I welcome my right hon. Friend’s commitment to show that Britain is open for business. We have a designated testing Minister. May I tell my constituents in Arundel and South Downs who are devastated, who will be the accountable Minister for putting in place agreements with safe countries?
ParlaMint-GB_2020-06-03-commons.u290	My hon. Friend is absolutely right to ask this question because these are cross-Government measures. Bilateral agreements will of course be with the Foreign Office, and on the test, trace and isolate approach, it is the Department of Health and Social Care. When it comes to sector-specific issues, they will be Department by Department, but when it comes to travel and aviation, it will obviously be the Secretary of State for Transport and me. I will continue to work collaboratively with all Government Departments.
ParlaMint-GB_2020-06-03-commons.u291	Regardless of the merits or otherwise of this measure, it will disproportionately hit tourist economies, especially in rural areas such as the one I represent. The Secretary of State said earlier that she understood the impact. What specific conversations has she had with the Chancellor about extending the furlough and issuing grants to help the sector to survive?
ParlaMint-GB_2020-06-03-commons.u292	I have discussions with the Chancellor on a regular basis, and, of course, that applies to all aspects of the economy, not just the furlough scheme. I would be very happy, having heard the hon. Gentleman, to take away specific points that he has and I will raise them with the Chancellor.
ParlaMint-GB_2020-06-03-commons.u293	To limit a second wave of economic damage, will my right hon. Friend bring forward the review of this policy by 10 days?
ParlaMint-GB_2020-06-03-commons.u294	The review of this policy has been outlined in the statement, and that is the approach that we are taking.
ParlaMint-GB_2020-06-03-commons.u295	The Home Secretary acknowledged in her statement that introducing public health measures at our borders once we were at the peak was too late, so will she finally concede that we should have introduced this well before community transmission was widespread? And will she answer many hon. Members’ questions with a direct yes or no—was SAGE consulted on and did it recommend the measures that she is announcing today?
ParlaMint-GB_2020-06-03-commons.u296	I have outlined my position in the statement earlier on. It is important to say that when it comes to measures at the borders, I have outlined the dates on which enhanced measures were taken, but also, I have not referred to the millions of British nationals who were stranded abroad, and had we closed our borders in the way in which the hon. Lady is referring to, they would not have been able to come back to the UK —[Interruption.]
ParlaMint-GB_2020-06-03-commons.u297	Order. Barracking is not a good look. We need to get through this quickly.
ParlaMint-GB_2020-06-03-commons.u298	Everyone in this House, including my right hon. Friend, will know the very stark dangers that a second wave could present to not only our economy, but our society. Does she agree that by introducing these new health measures at the border, we will be limiting the possibility of a second wave and keeping our citizens safe?
ParlaMint-GB_2020-06-03-commons.u299	My hon. Friend is absolutely right. She has just emphasised the need to protect the British public from a second wave, and that is the purpose of all the measures—the public health measures—that the Government have been bringing forward, because at the end of the day, we do not want to lose the gains that we have made in recent weeks. We are past the peak of this virus and that is something that we still need to continue to double down on and make great progress on.
ParlaMint-GB_2020-06-03-commons.u300	Constituents who are due to be travelling in the next two to three weeks have emailed me asking specifically about using public transport or whether family can collect all of them from Heathrow airport. The Home Secretary does not seem to have answered the question despite being asked, “What will the guidance be?” My constituents need to know now, not in several days’ or weeks’ time.
ParlaMint-GB_2020-06-03-commons.u301	All guidance will be published in advance of 8 June. Of course, the guidance will come from other Government Departments specific to airports, transport and, obviously, public health measures. The guidance will be made available.
ParlaMint-GB_2020-06-03-commons.u302	Many businesses, especially those engaged in manufacturing, have a need to get a key worker on site quickly. That could be a UK employee returning from holiday not able to work from home, or an overseas specialist, such as a plant maintenance engineer, to keep a plant going. Will there be an exemption to support British business in circumstances such as these?
ParlaMint-GB_2020-06-03-commons.u303	My hon. Friend is absolutely right to ask that question. We will be publishing the list of exemptions and, within that, there will be critical infrastructure workers and specific categories, led by the key Departments that are sponsoring those exemptions. Of course, there will be key sectors that are also included in that exemption list.
ParlaMint-GB_2020-06-03-commons.u304	The Government’s quarantine policy is not universal and there is a relatively long list of occupations exempted from the self-isolation requirement. Can the Home Secretary confirm that those exempted from quarantine will still be tested for coronavirus upon arrival at the UK border, and if they test positive for the virus, what will they be required to do?
ParlaMint-GB_2020-06-03-commons.u305	In answer to the hon. Gentleman’s question, many of those are deemed to be key workers. They have access to testing and are being encouraged to test. Anyone who is symptomatic or who tests positive must follow the guidance that has been put in place, which is, obviously, to self-isolate if they are sick, and to self-isolate if they are symptomatic. They must also get medical advice and treatment.
ParlaMint-GB_2020-06-03-commons.u306	With small businesses in particular being asked to step up and reboot our economy, they need certainty. I have been contacted by a business in my constituency, which is concerned that, notwithstanding the general advice for non-essential travel, some employees are still determined to have their holidays. Can my right hon. Friend give clarity over the status of returning holidaymakers in terms of whether the business should swallow that cost or whether the holidaymaker should be forced to take it out of annual leave?
ParlaMint-GB_2020-06-03-commons.u307	I cannot give specific advice to businesses and employees, but it is important to follow the Foreign Office travel advice and guidance right now. The FCO has been very clear about not travelling because of the coronavirus and that all non-essential travel should not take place.
ParlaMint-GB_2020-06-03-commons.u308	This will affect the aviation sector and also hospitality, travel and tourism, but, upstream, it will also affect our aerospace manufacturing sector. Can the Home Secretary tell the House what specific economic impact assessment was made on the effect of this policy on the aerospace sector?
ParlaMint-GB_2020-06-03-commons.u309	The hon. Gentleman is right to raise the matter of economics. This issue has been discussed in various economic Committees at government level. I have also been speaking about it with the Chancellor and working across Government with my colleagues. It is important to reflect on the fact that we have had those discussions and that impact assessments have been undertaken by Government Departments in the right kind of way.
ParlaMint-GB_2020-06-03-commons.u310	Three hundred people are working safely today, constructing the £4 billion Anglo-American Sirius mine in North Yorkshire. The driving of the one-mile deep shaft and the 23-mile-long tunnel to Teesport does require a small number of specialist engineers from places such as Germany and Austria living in specialist accommodation away from their families. Can my right hon. Friend give me an assurance that workers such as these will be part of the exemption from the quarantine?
ParlaMint-GB_2020-06-03-commons.u311	I understand the case that my hon. Friend makes. We do, of course, have an extensive exemption list for specialist skills and individuals that are required for key projects and key work. I will take away the full details of the case and raise them with the Department for Business, Energy and Industrial Strategy.
ParlaMint-GB_2020-06-03-commons.u312	The exclusion of medical and care professionals from the travel restrictions highlights how essential they are to the UK. It also highlight how problematic the Government’s new immigration rules will be. Will the Secretary of State commit to a much fairer and safer immigration policy than the one that is currently on the table?
ParlaMint-GB_2020-06-03-commons.u313	I am sorry, Madam Deputy Speaker, but I did not quite hear the hon. Lady’s last sentence. I think that it was in relation to the immigration system—the points-based system—and I will happily follow it up with her.
ParlaMint-GB_2020-06-03-commons.u314	My right hon. Friend just made reference to the professions that will be covered by this measure. Given that the credibility of it is hanging by a very slim thread right now, can she reassure me that Members of Parliament will not be on that list of exempt professions?
ParlaMint-GB_2020-06-03-commons.u315	This issue has been discussed extensively. When my hon. Friend see the exemption list, he will be very clear as to who qualifies and who does not.
ParlaMint-GB_2020-06-03-commons.u316	As with care homes, I fear that the failure to act when it could have made a difference will be one of the great tragedies of this crisis when the inevitable inquiries follow. The Home Secretary keeps saying that she was following the science and that the science was consistent, but the chief scientific adviser to the Government said to the Health and Social Care Committee on 5 May that the UK got “many, many different imports of virus” that seeded right the way across the country as early as March. If that is the case, why did the Government let in 23.7 million passengers, many of whom were British returning from hotspots abroad between 1 January and 31 March? Why were measures not put in place earlier, and will she now not only publish the advice, but tell us whether it is true that SAGE first discussed this matter on 3 February? Was she involved in that discussion? Was the Transport Secretary involved? And who overruled whom about taking action?
ParlaMint-GB_2020-06-03-commons.u317	SAGE papers are being published and they are in the public domain, so the hon. Gentleman can look out for them and see what information has been put in place. I do come back to the point that I made earlier about the enhanced monitoring process that was taken at the border, all of which I highlighted in my opening remarks.
ParlaMint-GB_2020-06-03-commons.u318	Will my right hon. Friend advise me on whether she believes that we got the science right earlier on, and, if we did, are we getting the science right now in terms of quarantine and putting restrictions on travellers?
ParlaMint-GB_2020-06-03-commons.u319	What I would say to my hon. Friend is that the Government have been guided by the science from the outset. This is not just for one Department, but across Government. Collectively, we have been guided by that scientific advice. That has been consistent when it comes to public health measures at the border, which is why these measures are being introduced now.
ParlaMint-GB_2020-06-03-commons.u320	On a point of order, Madam Deputy Speaker. May I welcome the Prime Minister’s announcement earlier that he intends to extend the proxy voting scheme to those who are shielded and unable to attend the Chamber to vote in person? However, I must say that I have some concerns about the way the announcement has taken place and how it will be implemented. May I therefore ask you whether you can obtain this information from Mr Speaker? First, what advance notice did he have of the Prime Minister’s intention to make this announcement today? Can he confirm that the current pilot scheme for proxy voting—let us be clear that the proxy voting scheme we are currently using for maternity and paternity leave is a pilot—will expire in July 2020, that it has a number of structural issues that the Committee I chair is examining, and that it is not suitable to be extended to several dozen Members on the present basis Would you ask Mr Speaker whether he will agree to convene a meeting between the Leader of the House, me and the Clerk of the House so that we can discuss these matters urgently? Can Mr Speaker give the House an assurance that he will not allow any scheme to be implemented that obliges Members, from any part of this House, to disclose personal information about their health? Would you also ask Mr Speaker whether he would confirm that the Government have not, to date, provided any response to the three detailed reports on these issues produced by my Committee, one of which was to satisfy the impossibly tight timescale demanded by the Government for the introduction of remote voting, which they then ended up using for a mere eight days?
