ParlaMint-GB_2020-07-21-commons.u1	What steps his Department is taking to support businesses during the covid-19 outbreak.
ParlaMint-GB_2020-07-21-commons.u120	My constituents are particularly concerned about Marks and Spencer’s announcement that it will indefinitely close its East Kilbride store due to covid-19, undermining our town centre. Will the Secretary of State support a “fit to trade” licensing scheme proposed by the all-party parliamentary group for textiles and fashion—which I chair—alongside the British Retail Consortium, which will not only offer protection for garment workers across the UK, but provide an incentive for retailers to invest in UK manufacturing, creating thousands of skilled jobs and aiding the economic recovery plan?
ParlaMint-GB_2020-07-21-commons.u121	The hon. Lady raises an interesting point, and I or one of my fellow Ministers would be happy to meet her to discuss it further.
ParlaMint-GB_2020-07-21-commons.u122	Air pollution has a direct impact on children’s health. My 13-year-old constituent Tom Hunt is perhaps the first person to measure air pollution at ground level, by collaborating with his labrador dog Baggy, who has been wearing a pollution monitor on his collar. His father Matt owns an alternative energy company, Bio Global Industries, in my constituency, and supported him. The data showed that air pollution is two-thirds higher, closer to the ground. Will the Secretary of State join me in commending Tom and Baggy for that really enterprising research, and look at recommending to manufacturers a greater emphasis on producing higher buggies, strollers and pushchairs, which will keep young children further away from the concentrated air pollution that he found closer to the ground?
ParlaMint-GB_2020-07-21-commons.u123	I am delighted to join my right hon. Friend the Secretary of State in commending Tom Hunt and Baggy for their pioneering work. She knows that tackling carbon emissions and improving air quality go hand in hand. We are taking action to address both, particularly with the 300,000 ultra low emission vehicles registered in the UK, and we are also providing new funding for vehicle charging infrastructure.
ParlaMint-GB_2020-07-21-commons.u124	Further to the question by the hon. Member for Bolton West (Chris Green), may I push the Government on clinical trials and medical research? Medical research has saved hundreds of thousands of lives in this country in recent years. I have known people this year who started on a clinical trial that was their only hope of life. It was suspended because of coronavirus and now they have died. We need to make sure that the money is getting into the medical research charities. Last week, Cancer Research UK said that it would lose 500 members of staff and cut its research to £150 million. We need the Government to act fast to get these clinical trials up and going again—and the medical research, too.
ParlaMint-GB_2020-07-21-commons.u125	The hon. Gentleman is absolutely right to highlight this issue and I share a lot of his concerns, but it is wrong to suggest that we are not doing anything. From autumn this year, we are providing a package of low-interest loans with long payback periods, supplemented by a small element of grant, to cover up to 80% of the universities’ income losses from international students. The money that is being pumped into our further education deals precisely with the point that he raised, and we are continuing to do that.
ParlaMint-GB_2020-07-21-commons.u126	Because the exhibitions industry generates so much additional economic activity we should reopen it fully immediately, shouldn’t we?
ParlaMint-GB_2020-07-21-commons.u127	My right hon. Friend raises an important point. Of course we recognise the valiant contribution that the sector makes to the UK economy. We are working closely with the sector to pilot the reopening of conference centres, with a view to full socially distanced reopening from 1 October, subject of course to continuing to make progress.
ParlaMint-GB_2020-07-21-commons.u128	  Constituents are still reporting a catalogue of problems with bounce-back loans, including long waits to be approved and being turned down for business bank accounts because of credit ratings. When will Ministers get to grips with that, to ensure that all eligible businesses apply and receive the loans quickly?
ParlaMint-GB_2020-07-21-commons.u129	Bounce-back loans have been a big success; more than 1 million have been approved for businesses. If the hon. Lady has specific issues that she wishes to raise about businesses in her constituency, she should write to me.
ParlaMint-GB_2020-07-21-commons.u130	The economic impact of covid-19 is likely to be particularly acute in coastal resorts such as Blackpool, which are heavily reliant on seasonal tourism. What steps is my right hon. Friend taking to diversify the local economy in such resorts and to support businesses to create well-paid, skilled jobs in emerging industries in these areas?
ParlaMint-GB_2020-07-21-commons.u131	I thank my hon. Friend for that question, because it goes to the heart of what we are doing as a Government. We already have more than 460,000 UK jobs in low-carbon businesses and their supply chains. Those are green-collar jobs and our research and development is totally committed to expanding those opportunities, whereby we want to reach 2 million green jobs by 2030. It is my conviction that coastal communities such as the one he represents will fully benefit and be in a place where they can reap the rewards of our investment in the green economy.
ParlaMint-GB_2020-07-21-commons.u132	Money for the aerospace technology industry is welcome, but it is money for a future that may not exist if we do not save the aerospace industry today. Will the Secretary of State and his Ministers agree to sit down with industry leaders, trade unions and hon. Members in this House to form a recovery plan and a sector deal specifically for the aerospace sector, which of course generates five jobs for every job in the sector itself?
ParlaMint-GB_2020-07-21-commons.u133	The hon. Gentleman is right to highlight the key importance of the aviation sector, and the Government are supporting aerospace and its aviation customers with more than £8.5 billion, as part of our measures to support the overall economy. I understand that Airbus has drawn down £500 million on the corporate finance facility, and of course the Secretary of State and the ministerial team are happy to engage with him and his constituents on this important matter.
ParlaMint-GB_2020-07-21-commons.u134	I know that my right hon. Friend does not underestimate how difficult this year has been for hospitality businesses in North Devon. I warmly welcome the action the Government have taken to get people safely back into our pubs, restaurants and cafés. Will he join me in visiting The Bell Inn, in Chittlehampton, to look at the fantastic hard work that has been done there to ensure that all the appropriate measures are in place to reopen?
ParlaMint-GB_2020-07-21-commons.u135	I already have one week of holiday plans and not in her constituency, sadly, but we all need to get out there to visit pubs and restaurants and cafés, which are the heart of our communities. From what I have seen, they are very much adhering to the covid-secure guidance, and that is how we will all enjoy summer safely.
ParlaMint-GB_2020-07-21-commons.u136	Well, if you would add the Speaker, he’ll come along.
ParlaMint-GB_2020-07-21-commons.u137	  Last year, it was announced that the Ford engine plant was to be closed in September of this year. Ineos was brought in, with both UK Government and Welsh Government funding, but it has now suspended its development at the plant. BA has announced potential job losses at three sites across south Wales, and GE has put staff under a statutory notice period at its plant in Nantgarw. What support is the Secretary of State going to start putting into the south Wales economy so that we can save, protect and create new highly-skilled and well-paid jobs?
ParlaMint-GB_2020-07-21-commons.u138	As the hon. Gentleman will know, we have been supporting the economy across the United Kingdom, to the tune of £160 billion of additional funding announced by the Chancellor. If the hon. Gentleman would like to engage with my ministerial team on particular issues, I would be very happy about that.
ParlaMint-GB_2020-07-21-commons.u139	Nothing is more important right now than protecting public health and supporting our recovery. Does the Minister agree that his UK Internal Market White Paper last week will ensure that all four nations in our Union can overcome covid-19 together?
ParlaMint-GB_2020-07-21-commons.u140	Like my hon. Friend, I am a firm believer in the Union—in one United Kingdom. The proposals we set out in the UK Internal Market White Paper are all about supporting jobs, protecting businesses and livelihoods, and encouraging investment across the whole UK. I hope that all colleagues across the House will write in support of that as part of the consultation.
ParlaMint-GB_2020-07-21-commons.u141	In order to allow the safe exit of hon. Members participating in this item of business and the safe arrival of those participating in the next, I am suspending the House for three minutes.
ParlaMint-GB_2020-07-21-commons.u142	To ask the Secretary of State for Digital, Culture, Media and Sport if he will make a statement on changes to the licence fee exemptions, programming and job losses at the BBC.
ParlaMint-GB_2020-07-21-commons.u143	First, I congratulate the hon. Member for St Albans (Daisy Cooper) on obtaining this urgent question and demonstrating that persistence pays off The BBC has for decades played a vital role in this country’s cultural and civic life, and that has never been more true than during the last few months. During an unprecedented global crisis, it has helped to counter disinformation and share factual information about the coronavirus pandemic, while reinforcing important public health messaging. It has been a constant source of entertainment. It has helped to fundraise for charities through “The Big Night In”, which the Government match funded pound for pound, and it has helped countless families across the UK to educate their children from home through services such as BBC Bitesize The BBC has also been a source of comfort to many during this pandemic, and none more so, perhaps, than those elderly citizens who have been forced to shield and stay at home and who are sadly most at risk of experiencing loneliness and isolation as they do so. That is why we welcomed the BBC’s initial decision at the beginning of the lockdown to continue to grant the licence fee concession to the over-75s, and it is why we were deeply disappointed when the BBC board announced earlier this month that it would be ending that concession from 1 August. As a result, four out of five of those previously eligible for a free TV licence will now need to pay. That is a decision for the BBC, but the Government regret the approach that it has taken In the 2015 funding settlement—a settlement that was widely considered to be a generous one and which the director-general said was a strong deal for the BBC—we agreed with the BBC that responsibility for the over-75s concession would transfer to it in June 2020. The BBC agreed to have both the policy decision and the funding responsibility. That reform was subject to public discussion and debated extensively during the passage of the Digital Economy Act 2017. During those discussions and the passage of that legislation, Parliament agreed that the future of the over-75 concession and how and when it would be implemented was entirely a matter for the BBC The Government’s view is that the BBC should be doing more, given the generous settlement that it received. During the 2015 settlement, we gave the BBC a number of things in return for taking on this responsibility. We closed the iPlayer loophole. We committed to increasing the licence fee in line with inflation, and we reduced a number of other BBC spending commitments. To help with financial planning, we agreed to provide phased transitional funding over two years to gradually introduce the cost to the BBC It is now essential that the BBC, having taken the decision to end the concession, gets the implementation of the change right and is not heavy-handed in its approach. While lockdown may be easing, older people across the country still face many challenges and still rely on their TV as much as they did a few weeks ago. The BBC can and should therefore do more to support older people, and it should look urgently at how it can use its substantial licence fee income to support older people and deliver for UK audiences of all ages As the national broadcaster, the BBC has a duty to represent all of the nation—both its youngest and oldest citizens, no matter where they live—and I am aware that many people have expressed concerns about cuts to regional programming as well as the BBC’s recent announcement of staffing reductions. Let me be clear that both operational and editorial decisions are a matter for the BBC. It is an independent body and the Government rightly have no say over the day-to-day decisions that it makes on programming, staffing or the administration of the licence fee, but as I have said, including during a recent Adjournment debate, the Government believe that the BBC must represent all of Britain. We set clear targets for news and current affairs and the need to represent all parts of the UK and the charter as part of the BBC’s mission and public purposes. It is for the BBC to meet these and Ofcom to hold it to account on doing so. That means engaging and reporting on local issues across our diverse communities, not just reflecting the views of the metropolitan bubbles of London and Manchester While the BBC remains operationally and editorially independent from the Government, we will continue to push it on these issues so that we can ensure that the BBC remains closer to the communities that it serves.
ParlaMint-GB_2020-07-21-commons.u144	I just say to the Minister that that should have been three minutes, and he has taken five.
ParlaMint-GB_2020-07-21-commons.u145	The BBC licence fee exists to give the BBC protection from political interference. The BBC should not be making decisions on welfare. That is the role of the Government. Last year, the BBC chairman said that “the licence fee is at the heart of what we do. It establishes a direct relationship between us and the public and makes absolutely clear that our job is to serve them”— and yet here we are From 1 August, the BBC will fund free licences only for people over 75 who receive pension credit, but two-fifths of people who are entitled to the benefit—about 1.2 million pensioners—are not receiving it. Some do not know how to claim, many struggle to apply and others feel embarrassed about requiring help. Is the BBC really to become a de facto arm of the Department for Work and Pensions Let us be absolutely clear about how we have ended up here. It was the Conservative Government who took the decision in 2015 to stop funding for free licences, and it was the Conservative Government who forced responsibility on to the BBC board to make the decision on the future of the concession. The Government should never have asked the BBC to take that on, and the BBC should never have accepted it. Continuing with the licence fee scheme for the over-75s would have cost £745 million—a fifth of the BBC’s budget. To meet that cost without Government funding, the BBC would have had to close all of the following: BBC 2, BBC 4, the BBC News channel, BBC Scotland, Radio 5 live and local radio stations, as well as many other cuts and reductions. As it happens, the means-tested scheme will still cost the BBC about £250 million, and to help meet that cost it has recently announced hundreds of job losses and programming cuts The BBC has proved invaluable to the British public during the covid lockdown through its trusted news, entertainment and home schooling resources. Does the Minister agree? Age UK says that it firmly believes it is the Government’s responsibility to look after vulnerable older people, not the BBC’s. Age UK also thinks the Government should take back responsibility for a benefit that was introduced to tackle pensioner poverty. Will he do that? The Conservative Government have been responsible for these secret deals with the BBC that have significantly diminished its ability to serve the British public, so when the licence fee negotiations start in earnest next year, will he commit to a wholly transparent process involving Ofcom?
ParlaMint-GB_2020-07-21-commons.u146	The decisions taken at the time of the licence fee settlement in 2015 were the result of lengthy negotiations with the BBC, in which it received a number of concessions that it strongly asked for. In return for those, it agreed that it would take on responsibility for the maintenance of the over-75s free TV licence concession. It was up to the BBC how it decided to take that forward. A number of options were suggested and consulted on by the BBC. The Government were disappointed, as I say, that it decided to remove the concession completely. There were a number of other ways it could have addressed it that would have saved the BBC money but would have at least maintained some help for those aged over 75. But, as I said, that was a matter for the BBC. Obviously, we will continue to discuss it with the BBC. In particular, we will be having discussions over the next licence fee settlement in 2022. We will ensure that there is an opportunity for Ofcom, and others, to have an input into that, but that is still some way off. In the meantime, as somebody who was responsible for those negotiations, I believed the licence fee settlement was a good outcome. The BBC made public the fact that it thought it was a good outcome, too.
ParlaMint-GB_2020-07-21-commons.u147	This crisis has shown that local programming is more important than ever, both for essential information and for closeness of community. Is it not now vital that quality TV and radio at a local level remains at the heart of BBC output, including through programmes such as the 6.30 regional news, “Politics South” and “Inside Out”, in all regions?
ParlaMint-GB_2020-07-21-commons.u148	I agree with my right hon. Friend. The charter of the BBC makes it plain, as one of the five public purposes, that it is the responsibility of the BBC to reflect, represent and serve the diverse community of the UK’s nations and regions. Ofcom, as he knows, lays down a number of requirements on the BBC and, indeed, on other public service broadcasters, as to how it does that. It is up to the BBC. I have made it clear before, and I do so again today, that I regard the BBC’s news and current affairs reporting of events taking place outside London and in the regions as an absolutely central part of the BBC’s purpose. I very much hope that it will continue to bear that in mind.
ParlaMint-GB_2020-07-21-commons.u149	I congratulate the hon. Member for St Albans (Daisy Cooper) on securing this urgent question, which goes to the heart of Members’ concerns about cuts to BBC funding, and the breaking of a promise to millions of pensioners and their families. This issue goes back to the charter and licence fee settlement that was made with the Conservative Government in 2015, when the Government made the BBC an offer it could not refuse: “Take on responsibility for paying the licence for the over-75s, or we will slash funding even further and consider removing the licence fee altogether.” Since then, in this licence period alone, the BBC has lost £800 million in funding, even before bearing the cost of licences for the over -75s. Members may ask why the BBC accepted the settlement. Is it merely a coincidence that the then chair of the BBC Trust, Rona Fairhead, was later elevated to a peerage as the noble Baroness Fairhead, and took the Conservative Whip a short time later The Conservatives made a manifesto promise to maintain the licence for the over-75s. They broke it. Instead, they passed responsibility to the BBC, knowing that it would never be able to afford that responsibility. Since then, they have tried to blame the BBC at every turn, for every cut of every service, and for every redundancy. No doubt they will try to blame the BBC when bills start landing on pensioners’ doorsteps in August and September The Conservative Government themselves were party to this deal, so does the Minister not accept that the Government should own some of the blame? Can the Minister tell the House, as the hon. Lady asked, why the BBC should be responsible for implementing the Government’s social policy Cuts to the BBC, as everyone in this Chamber knows, are not merely about spending; they are about undermining the corporation’s independence. The Conservative Government are, at best, relaxed about reducing the BBC’s budget, because it is the only lever they have to control the BBC’s capacity to ask tough questions on behalf of the British people Ministers knew that making the BBC shoulder that responsibility in full would lead to cuts equivalent to the closures of BBC2, BBC4, the news channel, the Scotland channel, Radio 5 live and Sports Extra, and a number of local stations. Indeed, the cuts to BBC news reporting and all the redundancies in local and national news, at a time of national crisis, when the BBC is more valued and essential than ever, are a direct result of the Government’s failure to maintain their election promises The Minister will have seen evidence from Age UK, detailing how millions of pensioners have relied on their televisions for company, especially during the pandemic. What advice would he give to a pensioner who will face the heart-breaking choice in the coming months between turning off their TV for good, or forgoing other basics such as food or heating? That is the reality of the Government’s broken promise to 4 million pensioner households.
ParlaMint-GB_2020-07-21-commons.u150	I remind the hon. Gentleman that at the time of the licence fee settlement in 2015, the Government were still having to put right the mess that they had inherited, due to the financial profligacy of the previous Labour Government. Everybody had to play a part in that, and the BBC was included. It was a tough negotiation. I call tell the hon. Gentleman— I was part of the negotiations—that Baroness Fairhead strongly argued the case for the BBC, and the outcome was satisfactory to the BBC and the Government, as was made clear by the BBC at that time. The manifesto commitment to maintaining the licence fee during the 2015 Parliament was maintained, which is why the exemption is only now being removed in 2020 Any pensioner on a low income will continue to get a free TV licence if they are in receipt of pension credit. Age UK has rightly drawn attention to the fact that quite a number of pensioners do not receive pension credit, even though they are entitled to do so, and one of the consequences of this move, which the Government would welcome, might be an increase in the take-up of pension credit.
ParlaMint-GB_2020-07-21-commons.u151	I welcome the Minister to the Dispatch Box. He has always spoken sensitively about this subject and has great experience. He will be aware that the BBC received a generous settlement of about £200 million, whereas the concession for pension credits will cost £250 million, and to keep things as they are would cost £750 million, so we are well aware that the BBC was not fully funded. Returning to regional news, the concerns that I and many Members have is that many of our constituents rely on regional news to deliver locally for them, and 450 out of 3,000 jobs are at risk of being lost. Does the Minister agree that if the BBC wants to win friends in this place, it should look after the regions?
ParlaMint-GB_2020-07-21-commons.u152	I thank my hon. Friend. He is right about the cost of maintaining free TV licences for all over-75s, which is already approaching £750 million and would go on rising. Any Government—and, indeed, the corporation—were going to have to consider that. On his point about regional programming, as we made clear in the recent debate held by my hon. Friend the Member for Tiverton and Honiton (Neil Parish), it is a matter for the BBC, but regional programming is essential. I am pleased that some of the fears expressed about cuts to regional political and current affairs coverage did not materialise, but I am still concerned at the level of cuts that are taking place, and we will be watching carefully to ensure that the BBC continues to fulfil its obligations on regional coverage.
ParlaMint-GB_2020-07-21-commons.u153	Tory Ministers’ feigned shock at BBC job cuts and at old people being pursued for TV licence payments is nothing but humbug. Everyone knew that this would be the result of the last charter deal, cooked up by the Government and BBC director-general Tony Hall. The Government demanded that free TV licences for the over-75s—which should be a social provision—be funded by the BBC, and the BBC was unwise enough to knuckle under and accept. The BBC could not afford it, and I warned at the time that it would lead to swingeing BBC job losses and pensioners being pursued through the courts for licence payments—a double whammy of cruelty, especially during covid. Lord Hall is off to another lavishly paid job, but pensioners across the country will have to find the cash to pay for licences they cannot afford, while hundreds of staff at the BBC now face redundancy as a direct result of this dreadful Tory deal. The Government need to take back control of pensioner licence provision. Will they do so?
ParlaMint-GB_2020-07-21-commons.u154	First, there were a number of options available to the BBC for how to reduce the costs of the over-75s exemption. The BBC chose to abolish it in its entirety, but there were options, including providing it at a later age, reducing it to a proportion of the licence fee or restricting it to households that only contained over-75-year-olds. It has always seemed to me extraordinary that a banker at Goldman Sachs who happens to have his grandmother living in his home can claim a free TV licence. There were a number of options, and I personally regret that the BBC chose to go ahead with the total abolition. The hon. Gentleman talked about hard-up pensioners. Pensioners on low incomes will continue to receive a free TV licence if they are in receipt of pension credit, so those who are most likely to be unable to afford it will not be required to pay.
ParlaMint-GB_2020-07-21-commons.u155	Last month, senior executives at the BBC took it upon themselves to remove episodes of “Little Britain” and other comedies from its iPlayer platform because of concerns that some characters might now be considered to be offensive. Does my right hon. Friend understand the anger of fans of these programmes that executives at their state broadcaster whose salaries they pay have made this censorious decision and effectively made a value judgment about them for continuing to enjoy those programmes?
ParlaMint-GB_2020-07-21-commons.u156	That is a matter for the BBC, obviously, but I share my hon. Friend’s surprise that the BBC decided that “Little Britain” was so unacceptable. Certain programmes that were extremely popular in the ’60s, for instance, would now be regarded as wholly unacceptable, which not just the BBC but all of us need to remain sensitive to, but there is a risk that removing certain programming that is still widely enjoyed—it was even suggested to me at one stage that “Fawlty Towers” might be removed because it gave offence to people—is taking political correctness too far.
ParlaMint-GB_2020-07-21-commons.u157	The announcement of further job cuts at the BBC is yet another blow for public service broadcasting. There are many BBC freelance workers in Vauxhall with jobs on important TV and radio shows. Some of them have had long-term contracts with the BBC for many years, and they are taxpayers and licence fee payers, but they have not benefited from the same support that other taxpayers have rightly received from the Government, simply because of the type of contract they are on. As a result, many are contemplating leaving the media industry altogether, which in my view is a tragic loss of talent and experience. Given the immense challenges these freelancers face, will the Minister make representations to the Chancellor and persuade him to fill the gaps and end the one-size-fits-all approach to withdrawing these schemes?
ParlaMint-GB_2020-07-21-commons.u158	In the case of the BBC, the majority of its staff are of course paid with public money and therefore were not eligible for furlough, but there are some BBC employees who work for the commercial arm, some of whom were furloughed, and, as the hon. Lady says, there are a number of freelancers. The Government have sought to provide support to freelancers through the self-employment income support scheme, and of course for those who fall outside that there is the availability of universal credit. Nevertheless, I am aware that there are a number of freelance workers, not just for the BBC but across the media, who are finding it difficult, and of course we continue to look to see what help can be given to them.
ParlaMint-GB_2020-07-21-commons.u159	Does my right hon. Friend agree that the BBC needs to look urgently at how it can use its substantial licence fee income to support older people and to deliver for audiences of all age groups?
ParlaMint-GB_2020-07-21-commons.u160	I very much agree with my hon. Friend. It is important to bear in mind that although the BBC is under financial pressure like many other organisations, it benefits from the licence fee and other income to the tune of around £5 billion. It is certainly the case that there are ways of achieving efficiencies and savings in the spending of that budget, which would perhaps have meant that some of the more difficult decisions, such as the removal of free licences for the over-75s, could at least have been mitigated.
ParlaMint-GB_2020-07-21-commons.u161	Research by the Library has revealed that more than 3,000 households in my constituency may lose access to their free TV licence as a result of the Government’s deal with the BBC. The charity Age UK described axing the free TV licence as “a kick in the teeth for millions of over 75s who have had a torrid time during this crisis.” What message does the Minister have for pensioners forced to take difficult decisions between their television and other essentials such as food and heating?
ParlaMint-GB_2020-07-21-commons.u162	I would say to anybody facing that kind of choice that they will almost certainly be entitled to pension credit, and if they are not currently in receipt of it, they should perhaps look to see whether they are eligible to receive it. It is the case that a number of pensioners on low incomes do not currently receive it. One of the consequences of this is that the BBC will write to every single one of the over-75s to inform them that they are potentially still eligible for a free TV licence if they are on pension credit, so this will perhaps be the best marketing tool for pension credit that we have ever seen.
ParlaMint-GB_2020-07-21-commons.u163	Many of my constituents and people across Lincolnshire are dismayed at the BBC’s decision to scrap free licences for the over-75s. Can my right hon. Friend assure me and my constituents that he has engaged with the BBC and made those concerns very clear on behalf of many of our constituents?
ParlaMint-GB_2020-07-21-commons.u164	I do not think the BBC will have been in any doubt about the Government’s view. I and the Secretary of State have regular discussions with the chairman and the director-general. I fully recognise that this was a very difficult choice for the BBC—it represented a massive amount of money to maintain free TV licences in their entirety—but, as I said earlier, I think there were other options available that would have made this at least a little less painful for those who now are going to be required to pay the full cost of the TV licence, having previously not had to pay anything at all.
ParlaMint-GB_2020-07-21-commons.u165	The Government have been completely disingenuous about this issue all along. Let us be honest: the BBC was given no choice but to take on responsibility for TV licences. My hon. Friend the Member for City of Chester (Christian Matheson) is absolutely right: the Government should not be outsourcing their welfare policy or, indeed, their manifesto promises to the BBC. Funding for the BBC’s UK public services is now around 24% less in real terms than if the cost of the licence fee had risen with inflation from 2010, and the BBC is facing £800 million of cuts. Given all that, does the Minister seriously expect that the BBC would be able to keep funding free TV licences for all over-75s? Can he tell us that with a straight face?
ParlaMint-GB_2020-07-21-commons.u166	I can say to the hon. Gentleman that the BBC asked for a number of concessions—the unfreezing of the licence fee, to which he referred, the closing of the iPlayer loophole and other saving reductions —that resulted in its income increasing. The cost of giving free TV licences to those aged over 75, which was introduced only in 2008, was rising inexorably and would soon be approaching £1 billion. I have to ask all Opposition Members whether, if they believe that the free TV licences should continue, they are committing that a future Labour Government, or even a future Liberal Democrat Government, might one day pay to restore them, at a cost, by then, of well over £1 billion.
ParlaMint-GB_2020-07-21-commons.u167	May I compliment you on your choice of tie, Mr Speaker? Barrow Raiders will be delighted.
ParlaMint-GB_2020-07-21-commons.u168	You’re welcome.
ParlaMint-GB_2020-07-21-commons.u169	I associate myself with the comments of my colleagues who have raised the prospect of job cuts at regional news services. At a time when local media are struggling, we need trusted local news services, which keep places such as Cumbria informed, provide companionship and hold those in power to account. In a place like Cumbria, any cuts will fall disproportionately on the excellent local teams, because there are so few people there already. Does my right hon. Friend the Minister agree that salami-slicing such organisations will help no one, including the BBC if it wants to meet its public service remit?
ParlaMint-GB_2020-07-21-commons.u170	I agree with my hon. Friend. I have discussed the proposed reductions with the director for England and the director of nations and regions for the BBC. It is obviously a matter for them, but in my view although the BBC may have to find savings across its budget, that does not mean that every area of expenditure should be reduced. There are areas in which the BBC could save more and there are areas where any cuts would have a damaging effect. I fear that regional coverage is in that latter category, so the BBC should prioritise it. We will continue to make that clear to the BBC.
ParlaMint-GB_2020-07-21-commons.u171	Almost 3,500 pensioner households in my constituency of Dundee West will be dramatically affected by the loss of TV licences. These are pensioners who receive one of the worst pensions in Europe, are likely to suffer from loneliness and disabilities, and are shielding as a result of covid-19. Surely this pandemic has shown us that television is not a luxury and the UK Government must recognise their public health responsibility to ensure that everyone receives vital information. Will the Minister assure my constituents that the UK Government will reverse the decision and provide the financial support to allow the concession to continue for those who can least afford it?
ParlaMint-GB_2020-07-21-commons.u172	As I say, the matter was extensively debated during the passage of the Digital Economy Act 2017, and it was Parliament that agreed that the responsibility should be transferred to the BBC, so that is not likely to be reversed. It is a matter for the BBC as to how it goes about this. The Government are disappointed and believe that alternative options were available. I encourage the pensioners in the hon. Gentleman’s constituency to check whether they are entitled to receive pension credit and therefore to maintain a free TV licence. The exemption was introduced only 12 years ago, at an age that was relatively arbitrary at the time; it did not need to be set at that age and that is something else that the BBC might have considered.
ParlaMint-GB_2020-07-21-commons.u173	My constituents are dismayed at the BBC’s decisions in respect of licences for over-75s and the proposed cuts to local coverage. Does the Minister agree that after having so recently received that “strong deal” in the renegotiation, the BBC ought to have raised this issue before it was three years into the period if it was not intending to continue with the obligations it has set out?
ParlaMint-GB_2020-07-21-commons.u174	To give the BBC some credit, it did hold quite a lengthy consultation in which it put forward a number of options as to the future of the exemption. In my view, some of those other options were greatly preferable to the one that the BBC finally chose, which was the decision to abolish it in its entirety. I think the BBC could have done more. I am at least assured that the BBC has now said that every person over 75 who currently has a free TV licence will receive a letter: first, to point out that they can still receive one if they are on pension credit, and secondly, to say that no action will be taken in pursuit of the BBC’s requiring a licence until after those letters have been dispatched and received.
ParlaMint-GB_2020-07-21-commons.u175	Thank you for granting this urgent question today, Mr Speaker. The TV licence and the services provided by the BBC have been a lifeline to many in my constituency of Newport West in recent months. Can the Minister tell me what discussions have taken place with the Welsh Government in recent weeks to ensure that Welsh regional programmes are maintained and my constituents are not penalised by the shabby approach to public broadcasting from this Government?
ParlaMint-GB_2020-07-21-commons.u176	It is not a devolved matter. However, I did have an extremely good conversation this morning with Rhodri Williams, the new chair of S4C, which of course also benefits from the licence fee.
ParlaMint-GB_2020-07-21-commons.u177	I know you are a man who likes to Netflix and chill, Mr Speaker, but with the rise of on-demand services such as Amazon Prime and Netflix, is it still right that we are criminalising non-payment of the fee for the BBC?
ParlaMint-GB_2020-07-21-commons.u178	As my hon. Friend is aware, the issue of decriminalisation has been subject to a lengthy consultation. The Government are now considering the very large number of responses to that consultation and we will bring forward our proposals once we have completed that consideration.
ParlaMint-GB_2020-07-21-commons.u179	The Minister called on the BBC to do more to support older people, but perhaps he should start by putting his own house in order. More than 1 million of the poorest pensioners missed out on £2.5 billion of pension credit in 2017-18 and now they will not get a free TV licence either. Instead of his crocodile tears about the cuts that the Government have forced on the BBC, will the Minister be asking the BBC to run regular public information announcements at peak times, encouraging people to apply for pension credit?
ParlaMint-GB_2020-07-21-commons.u180	The hon. Lady raises a good point, in that some of the communications that the BBC had promised to carry out are now going to be impossible due to social distancing, so we will be looking to the BBC to run public information campaigns of that kind. As I said, the BBC is also sending a letter to every single person over 75, telling them what their options are.
ParlaMint-GB_2020-07-21-commons.u181	I sympathise with my right hon. Friend the Minister, who is being asked to simultaneously ensure that the BBC spends more money on free licences and more money on programmes. Not only is that mathematically incompatible, it is not within his power at all. Does he agree that the real welfare issue is to ensure that poorer pensioners continue to receive the benefits of the BBC, which are important to many of them, and that therefore the practical way to help poorer pensioners is for both the BBC and Members of Parliament to ensure that as many as possible of those who are entitled to pension credit actually claim pension credit?
ParlaMint-GB_2020-07-21-commons.u182	My right hon. Friend will know from the many times that he has stood here that being asked to do impossible, contradictory things is quite frequent. The point he makes is absolutely right. It is very important that all those people entitled to pension credit should take it up and I believe that one of the consequences of this matter is that that will be achieved.
ParlaMint-GB_2020-07-21-commons.u183	More than 4,000 households in my constituency of Oldham East and Saddleworth no longer qualify for a free TV licence. That is nearly three out of four over-75-year-olds. There is a theme in the questions. We have already heard that more than 1 million pensioners eligible for pension credit do not claim it. Instead of hand-wringing and saying it is other people’s jobs to do it, what will the Minister do to ensure that those people who are eligible for pension credit receive it?
ParlaMint-GB_2020-07-21-commons.u184	The Government seek to publicise pension credit availability as widely as possible, but the BBC has now said that it will write a letter to every single pensioner over 75 and I think that will have a greater effect in driving up pension credit than any other measure.
ParlaMint-GB_2020-07-21-commons.u185	The coronavirus pandemic has meant that many of my constituents in North West Durham, particularly those shielding, many of whom are elderly, have been increasingly reliant on the television over the last few months. This weekend, I joined with my hon. Friend the Member for Stoke-on-Trent North (Jonathan Gullis) in calling on the BBC to look again at this cancellation for the over-75s. Will the Minister join us in that call today?
ParlaMint-GB_2020-07-21-commons.u186	As I have said, the Government deeply regret the decision that was taken. I hope that the BBC will continue to consider it as we move into the next licence fee settlement. Obviously, discussions will take place around that, and we will look at what other options might be available to try to extend help not just to those aged over 75, but to other people as well, but that ultimately will be a matter for negotiation with the BBC.
ParlaMint-GB_2020-07-21-commons.u187	The award-winning BBC programme “Inside Out” highlighted the devastating impact of mesh implants, without which this scandal could have gone on undiscovered for much longer. Now “Inside Out” is under threat. Does the Minister understand the link between the BBC’s rising costs and income cuts and the loss of high-quality local BBC journalists?
