ParlaMint-GB_2020-07-20-commons.u1	What recent discussions he has had with the Scottish Government on the shared prosperity fund.
ParlaMint-GB_2020-07-20-commons.u128	I thank the hon. Gentleman and welcome his support on the two measures that we have announced today The hon. Gentleman asks about the Magnitsky sanctions. I made this point to the hon. Member for Wigan (Lisa Nandy). I welcome the full and eager support for the regime that the Government have just introduced, but with cross-party support, which we welcome. I just call for a note of caution on speed. It is very important that these targeted sanctions are done right, not quick. If we do them too quickly, they will be legally challenged. Not only would they then be ineffective, but we would risk, as I said to the hon. Lady, giving a propaganda coup to the very individuals whom we are seeking to hold to account On extradition, the approach we have taken, and I set it out quite deliberately, was that we are suspending—not just wholesale terminating, but suspending—the extradition treaty arrangements, so that it is clear that they could be resuscitated in the future. As I also made clear, we would need to have clear, adequate and robust safeguards to protect against the potential abuses that we see in the national security legislation before that could even be contemplated. That is the approach that we would consider The hon. Gentleman also referred to my comment about there being a different tone on the Opposition Benches. I hope he does not mind my noting that it was not that long ago that the Scottish Government’s China engagement strategy called for Scotland to be seen as the “preferred” trade and investment partner in China. I sense that there is a slight nuance in position in 2020.
ParlaMint-GB_2020-07-20-commons.u129	I unreservedly welcome my right hon. Friend’s statement; he has taken the right decision. We have had good cause to suspend the extradition treaty, and I will now withdraw my amendments to the Extradition (Provisional Arrest) Bill, although I suspect that that has not been keeping him awake at night I associate myself with the comments made by my hon. Friend the Member for Tonbridge and Malling (Tom Tugendhat) on the Uyghurs. The Foreign Secretary is right that he has to be careful on the legal elements of what he does with regard to sanctions on individuals, now that we have the Magnitsky changes. The Inter-Parliamentary Alliance on China published a report on the forced sterilisation of the Uyghur women a few weeks ago, and there is lots of evidence of the officials who are involved in that. May I, along with many of my hon. Friends and Opposition Members, encourage him to do what he can to get officials to look at that urgently, so that we may force sanctions on those responsible for what is happening to the Uyghur, and on Hong Kong—people such as Carrie Lam and her predecessor, Mr Leung?
ParlaMint-GB_2020-07-20-commons.u130	I thank my right hon. Friend for his support for these measures and for withdrawing his amendments; I appreciate his magnanimity in that regard. On the Magnitsky sanctions, he raises two different issues: their potential application in relation to, first, Hong Kong and, secondly, Xinjiang. We, of course, have a process for gathering all the evidence on those potential cases. The national security legislation is newly enacted, so that will take some time, but he is right to point to that. I have been reading over the weekend reports by Amnesty International in 2019 and 2020 on the range of abuses in Xinjiang, reports by Human Rights Watch between 2018 and 2020 on the mass detention and political indoctrination, and the United Nations Committee on the Elimination of Racial Discrimination report in 2018 on the massive internment camps with no rights. We are looking at this carefully. As he rightly notes, it is important to assess this carefully, and it is a question of not only whether the abuses took place but whether individual responsibility can be ascribed to someone on whom we wish to impose a visa ban or asset freeze.
ParlaMint-GB_2020-07-20-commons.u131	It seems wrong to be welcoming a suspension of extradition and exports, but backward steps though these may be, they are necessary, and my party will support them. Never mind the restrictions on exports—when will the Government start looking at the materials that we are importing from China, in particular those manufactured by Hikvision? It is some of the most intrusive surveillance technology to be found anywhere in the world, it is used widely in Xinjiang province, and it is now being purchased and installed by public and private authorities up and down this country. Will the Government look at that in a joined-up way On the subject of Xinjiang province, the world is watching, and what we are seeing is horrific. There was the drone footage at the weekend. Last week there was the interception of a shipment of human hair. I know that “genocide” is a term of art in law, and the Foreign Secretary is right to be cautious about its use, but it would make an enormous difference to tackling the issues in Xinjiang province if he would admit from the Dispatch Box that there are a growing number of adminicles of evidence that that is absolutely what is happening.
ParlaMint-GB_2020-07-20-commons.u132	I thank the right hon. Gentleman for his typically focused and well considered remarks, and for his support. In relation to UK regulation and the regime that applies to imports, we have a strong and rigorous scheme in place, and the Department for Business, Energy and Industrial Strategy will of course look at any individual cases that he wishes to raise. We are joined up—he asked about this—via the National Security Council and the other structures in a more closely integrated way, and covid-19 has encouraged that more broadly across the board On the definition of genocide, I have worked on war crimes since well before becoming a Member of this House, and the real challenge of it is the question of deliberate intention that is ascribed to it. As important as that is—it does bring with it legal implications that help in respect of accountability—the reality is that it can also distract from the fact that we are increasingly confident that there is a strong case to answer, as the Chinese ambassador was unable to do yesterday on “The Andrew Marr Show”, in respect of systematic human rights abuses. Frankly, the legal label on it is to me secondary to the plight of the victims who are suffering under it.
ParlaMint-GB_2020-07-20-commons.u133	I welcome the Foreign Secretary’s statement, as we develop a new relationship with China. He mentioned Uyghurs just once in his statement, but he knows that the whole House is concerned about the human rights abuses taking place in Xinjiang. If there is enough evidence for the Americans to apply sanctions on officials in Xinjiang, can the Foreign Secretary have sight of that evidence to see whether we can do the same here? He of course repeatedly states that “genocide” is a legal term and we need international courts to apply it, but when it comes to the UN and China, the UN is a busted flush. Will the Foreign Secretary consider convening an independent inquiry so that we can collect evidence to see whether genocide is taking place in Xinjiang?
ParlaMint-GB_2020-07-20-commons.u134	I thank my hon. Friend for the points that she has made. Of course, one of the points about the Magnitsky regime that we have introduced is that we have already put in place a co-ordination mechanism so that we can more regularly and generically co-ordinate with our Five Eyes partners and share information. There was quite a significant overlap—although not exclusively; it is the UK regime—in the designations that we have already made. We are putting in place that co-ordination. It is a reasonable point to make On genocide, I can only repeat the points that I have made before, but I have been clear that this is a gross violation of human rights and China does need to be answerable to and accountable for it. My hon. Friend talked about setting up an inquiry to examine the evidence and to glean it; we have to be realistic about what China would allow into Xinjiang. In the absence of that access, it is very difficult to see how we could do that. It is of course available to all the Select Committees in this House—as well as to the Government in their efforts to assess the evidence—to look at that independently of Government and, indeed, the United Nations.
ParlaMint-GB_2020-07-20-commons.u135	Anyone who saw the footage on “The Andrew Marr Show” yesterday would have found it chilling. In the light of that footage, when the Foreign Secretary meets Secretary of State Pompeo tomorrow, will he raise the implementation of the Magnitsky sanctions on Chinese officials implicated in the persecution of the Uyghur people in Xinjiang? Does the Foreign Secretary agree that imposing sanctions on the individuals involved should be an absolute priority?
ParlaMint-GB_2020-07-20-commons.u136	I have already raised with Mike Pompeo, as well as with my other Five Eyes partners, not just the Magnitsky sanctions regime that we have put in place but the designations. We have also given due consideration to co-operation on future evidence. It is important that there is an evidence-based approach, although there is of course political accountability, and we will carefully gather and assess the evidence In answer to the hon. Gentleman’s question about priorities, we have set out, through a policy note published in the Library of the House, the criteria that we will apply and the policy approach. That stresses the nature of the violations, their severity and our ability to hold to account the individuals at the right levels—sufficiently senior—so that we send the right message.
ParlaMint-GB_2020-07-20-commons.u137	I agree with so much of what the Secretary of State is saying about the need for balance, about the criticality of China and about respect for what it has achieved, but the signal truth is that the China we hoped for is not the China that we are now getting. We need a much more significant reset in our relationship in respect of not only Hong Kong but foreign lobbying, foreign investment, espionage—industrial or otherwise—human rights and our alliances and defence posture. Will the Secretary State confirm whether we are approaching all these issues piecemeal or whether there is a wider reset? If there is a wider reset, will he explain how the Government are interacting with parliamentarians and outside experts, and how that more comprehensive reset is going to be presented to Parliament so that we can all get to debate it and contribute to it?
ParlaMint-GB_2020-07-20-commons.u138	My hon. Friend is an assiduous follower of China; I know that he takes a very close interest in it. On what the right balance is, he has mentioned all the areas of challenge. We could talk about universities, freedom of expression—there are many—but, for balance, it is important to say that there are also areas of co-operation. China is one of the biggest investors—the biggest investor, I think—in renewable technology. If we are to shift the dial significantly on climate change, China will to have to be a constructive and, indeed, positive partner, with which to engage More strategically, my hon. Friend asked how the measures that we take fit a broader strategy. We are considering that all the time not just through the Foreign and Commonwealth Office channels, but through the National Security Council. With the integrated review, of course, he and other hon. Members will get precisely the opportunity to scrutinise the more strategic, big picture.
ParlaMint-GB_2020-07-20-commons.u139	I welcome the Foreign Secretary’s announcement on BNOs, but will he outline the steps that his Government are taking to guarantee that young pro-democracy activists who do not have BNO passport holder status will be afforded the same visa rights, extensions and protections as BNO passport holders?
ParlaMint-GB_2020-07-20-commons.u140	As I have said, we have made a very clear, bespoke offer to BNO holders. Further details will be set out by the Home Secretary. She has already made some comments about the potential gap in years, but I will allow her to set out the full detail and then the House can scrutinise it properly.
ParlaMint-GB_2020-07-20-commons.u141	I very much welcome both the tone and the content of what my right hon. Friend has said today. He is surely right to emphasise the importance of co-operation wherever we can and not of confrontation wherever possible. After all, we have more in common with China when it comes to climate change negotiations than we do currently with the United States. Will he emphasise to the Chinese authorities that the Magnitsky legislation and the human rights measures that he has so ably and rightly introduced are not aimed at the Chinese per se, but at human rights abusers, corrupt officials and business people wheresoever they may be?
ParlaMint-GB_2020-07-20-commons.u142	My right hon. Friend is absolutely right. I welcome and thank him for his support. When the Magnitsky sanctions were originally debated, the Russian Government said that the measure was solely aimed at Russia and when it was originally debated, discussed and enacted in the US, there were different Bills in the Senate and in the House of Representatives. We were very clear in the model that we adopted that this would be a universal mechanism, that it would allow us to target the individuals, whether they were state or non-state actors, and that it did not involve us, as a wider economic embargo or sanctions would do, in punishing the individual people of the country. This is a very bespoke, forensic tool, but it gives effect to exactly what he describes.
ParlaMint-GB_2020-07-20-commons.u143	History teaches us that we cannot stay silent in the face of what is happening to China’s Uyghur community. That warning would be stark from anyone, but coming from the Holocaust Educational Trust, it should send a chill through all of us. Will the Secretary of State give an assurance that the Government will miss no opportunity to remind the Chinese Government that wholesale abuses of human rights are not an internal matter for China any more than they are an internal matter for anyone and that, where there is evidence, as there clearly now is, of large-scale breaches of human rights conditions in China, then the rest of the world has not only a right, but an absolute duty, to step in to protect the citizens of China, as we would protect the citizens of any other country on earth?
ParlaMint-GB_2020-07-20-commons.u144	The hon. Gentleman is absolutely right. As I have said, we respect China as a leading member of the international community and as a permanent member of the Security Council, with not just rights but the obligations that go with that, The commitment to international human rights law reflected under the UN charter of customary international law is incredibly important. We raised this issue with the Chinese Government—I raised it with my Chinese opposite number in Beijing. We have also raised, for the first time, the issue in relation to Xinjiang and Hong Kong in the UN Human Rights Council in Geneva.
ParlaMint-GB_2020-07-20-commons.u145	When the Communist party of China decided to breach the Sino-British Joint Declaration, it knew that it put at risk extradition treaties from countries that value the rule of law. Does my right hon. Friend agree that, while we continue to welcome China’s development as a leading economic power, the rules-based international system protects us all and must be defended?
ParlaMint-GB_2020-07-20-commons.u146	My hon. Friend is absolutely right. The UK has a strong reputation as a promoter and guardian of the international rule of law, and that is a good guide or lodestar for our relationship with China. That is why not only has the UK grounded our response to China in relation to Hong Kong in the obligations freely assumed by the Chinese Government reflected in the joint declaration, but other countries are doing the same.
ParlaMint-GB_2020-07-20-commons.u147	The measures the Foreign Secretary has announced in the Commons today are supported by all parts of the House, I am sure, but I thought his preamble was a little optimistic. It is clear that in international organisations China has the objective of subverting those organisations, rather than either trying to change the rules or obeying them. Will he be more explicit about how he intends to work with China, given its attitude of undermining the World Health Organisation, the World Trade Organisation and other international bodies?
ParlaMint-GB_2020-07-20-commons.u148	I make no apology for being stubbornly optimistic about global Britain, including in our relations with China, but of course it requires China to live up to its international obligations. The hon. Gentleman makes an important point about not allowing a vacuum to appear in multilateral institutions. We are discussing that with our US partners, our European partners and across the board. He gave a few examples; the most obvious recent example of concern is intellectual property theft, where there was a Chinese candidate to lead the World Intellectual Property Organisation, and there was a groundswell of diplomatic activity to support the Singaporean candidate for precisely that reason. We need not only to uphold the rule of international law, but to work closely with all like-minded partners to support the multilateral institutions.
ParlaMint-GB_2020-07-20-commons.u149	I strongly support the measures announced today. Will my right hon. Friend confirm that when the inevitable pressure, both public and private, comes from China, we will stand behind the measures for as long as the national security law remains in its current form?
ParlaMint-GB_2020-07-20-commons.u150	Absolutely. In taking these measures, we recognise that China will respond. That is why I was clear that we are taking well reasoned, focused and proportionate measures in response to China’s actions in Hong Kong. We are clear that, in relation to Hong Kong and more generally, we will not buck and bow. We will look for the positive, but prepare in terms of the resilience of our economy, our security and, indeed, our values.
ParlaMint-GB_2020-07-20-commons.u151	I welcome strong action over Hong Kong and the Uyghurs and to secure our critical national infrastructure, but I am concerned by reports over the weekend that the Government told Huawei that the exclusion from our 5G network was at the behest of the United States. Does the Secretary of State agree that when we take such action to defend our national security, we should say so clearly, and that it can never be in our interests to be seen to be hiding behind President Trump, particularly as we leave the European Union and seek new partnerships?
ParlaMint-GB_2020-07-20-commons.u152	I thank the hon. Lady for her support for the measures we are taking today. It was clear in the original decision on Huawei that we wanted to reduce reliance on high-risk vendors; it is equally clear—we have to be honest about it—that we had to take the measures that we took based on technical necessity, following US sanctions and their impact on the supply chain. We have been clear and honest about that, but there is a much broader challenge for us and our international partners, which is diversifying supply chains and telecoms providers so that we can build up greater diversity of high-trust vendors in the field, and that is what we have focused on.
ParlaMint-GB_2020-07-20-commons.u153	If we are for human rights, we must be for human rights everywhere. If we are for the rule of law, we need to be for the rule of law everywhere. In welcoming today’s decisive actions in relation to Hong Kong, may I ask my right hon. Friend for an assurance that our commitment to pro-democracy campaigners and oppressed minorities across China does not end here?
ParlaMint-GB_2020-07-20-commons.u154	Of course, freedom of religion and freedom of expression are not only under threat in Hong Kong and Xinjiang. There is a broader issue, which we continue to raise with China and international partners in the relevant multilateral forums.
ParlaMint-GB_2020-07-20-commons.u155	I hope the Foreign Secretary has noted that almost every hon. Member has touched on the persecution of Uyghurs, which is pointing towards a demographic genocide. Well over 1 million Uyghurs are detained in camps and they have been subjected to some of the most atrocious forms of torture. The Chinese Government are now taking draconian measures with the aim of curbing this Muslim population. So will he agree to meet the civil society groups that have evidence of human rights abuses in China against the Uyghurs ahead of the next round of designations under the Magnitsky sanctions, and will he raise this issue with Secretary of State Pompeo tomorrow?
ParlaMint-GB_2020-07-20-commons.u156	The hon. Gentleman is right to join others in expressing concerns. I made it clear that we regard what is happening in Xinjiang as a gross violation of human rights. I have already referred to the reports from Amnesty International, Human Rights Watch and the UN Committee on the Elimination of Racial Discrimination. A report by 11 UN special rapporteurs in November 2019 also raised the issues of not only arbitrary detention, but enforced disappearance and torture. We will look very carefully at all that evidence.
ParlaMint-GB_2020-07-20-commons.u157	I strongly welcome this statement. Whether it is the pictures of Uyghur Muslim children who have been separated from their parents, the horrifying footage of Uyghurs in chains being herded off the trains and into the camps, or the news that the Chinese Government are selling the hair of Uyghurs on the internet, I am sure that the Foreign Secretary will feel deeply that many of these things are reminiscent of the darkest moments of 20th century history. Does he agree that as we work across Whitehall to think about all our different points of leverage on the Government in Beijing, we must recognise, first, that they are on a path of increasing aggression externally and increasing repression internally? Does he agree that we must also recognise that some things we do to have the most leverage over them may also be in our economic interest, be that restricting takeovers of companies in this country or restricting their ability to extract technology from our universities? Does he agree that the only way to stand up to a regime that is becoming more and more bullying is to confront it now?
ParlaMint-GB_2020-07-20-commons.u158	My hon. Friend makes a range of good points, and we will, of course, continue to look at all of them in the round. I share his concern about what we are hearing in some of those reports and the harrowing echoes of what we have seen in the past. He is right to say that we need to use every potential lever we have to try to positively moderate or change the behaviour of China. We also need to be realistic about the size and scale of China, and, whatever the debate in this House, about the likely appetite and disposition of not just Europeans and north Americans, but the non-aligned countries in the UN. We will be at our strongest when we unite people together.
ParlaMint-GB_2020-07-20-commons.u159	China stands condemned in the world court of rights for its abuse of Christians and Uyghur Muslims, and this week is the 21st anniversary of China’s persecution of the Falun Gong, whose followers have been subjected to commercial organ harvesting with the knowledge of the state of China—there is a strong World Health Organisation evidential base on this. So will the Foreign Secretary consider imposing travel bans and asset freezes against those involved in serious human rights violations in China against the Falun Gong?
ParlaMint-GB_2020-07-20-commons.u160	As I mentioned, the challenge will be evidential, in terms of establishing not just the abuses, but the individuals responsible. We are deeply concerned about the persecution of Christians, Muslims, Buddhists, Falun Gong practitioners and others on the grounds of religion or belief in China, including, given the new national security legislation, the risk that that grip gets only tighter.
ParlaMint-GB_2020-07-20-commons.u161	For as long as China’s gross abuses go largely uncensored by the UN Human Rights Council, will my right hon. Friend ensure that the UK will continue to oppose resolutions made under item 7 at the UN Human Rights Council? That item seems grossly disproportionate, given that it singles out Israel for special attention, against its undeniably poor record, while China continues systemic, appalling institutional abuse against the Uyghur people and nobody at the UN Human Rights Council has anything to say about it.
ParlaMint-GB_2020-07-20-commons.u162	I remember well from my right hon. Friend’s time as a Minister what a champion of human rights he was. The approach we will take is to hold the countries and the Governments to account for the worst human rights abuses and so far as we can—he will remember this from his time dealing with the UN—mitigate and avoid the politicisation of those by Governments and others who wish to subvert human rights more generally.
ParlaMint-GB_2020-07-20-commons.u163	The decision to suspend extradition arrangements is a necessary step in protecting human rights, given the serious curtailing of freedom that has taken place as a result of the imposition of the new national security law in Hong Kong. Can the Foreign Secretary update the House on the FCO’s recent engagement with civil society organisations in Hong Kong? What steps will he take under the Global Human Rights Sanctions Regulations 2020 to designate sanctions against officials responsible for human rights violations in both Hong Kong and China?
ParlaMint-GB_2020-07-20-commons.u164	I think I have already answered the question about Magnitsky sanctions. We will assess the evidence; I do not want to prejudge any future designations, but we will look at that very carefully. We also are engaged and in touch with various civil society movements in relation to both Hong Kong and more broadly, and the Minister for Asia is meeting Nathan Law later today. That is one illustration of the engagement we have had.
ParlaMint-GB_2020-07-20-commons.u165	By taking this welcome step to suspend extradition to Hong Kong, we are saying clearly that we have little confidence in the judicial processes of China. Will my right hon. Friend assure me that he will be looking at other extradition treaties that this country has to make sure that there are no halfway house routes that China might exploit to get citizens with whom it disagrees back to Hong Kong or China to face questionable charges?
ParlaMint-GB_2020-07-20-commons.u166	Certainly, all the recent extradition treaty arrangements that we have already have an inbuilt safeguard to mitigate against that potential risk. I hope that gives my hon. Friend the reassurance he needs.
ParlaMint-GB_2020-07-20-commons.u167	I very much welcome the announcement made by the Foreign Secretary today. I was alarmed, like many others, to hear the Chinese ambassador to the UK this weekend, when asked about forced mass sterilisations, say that he “cannot rule out single cases” The Foreign Secretary has already said that he will be looking to work with international partners on further establishing that evidence base of human rights abuses against the Uyghur people in particular. Can he go further and explain exactly what conversations he has had so that we can further inform our decision making and further actions?
ParlaMint-GB_2020-07-20-commons.u168	I agree with the hon. Lady; I think the whole House—every individual—will share the disgust and the horror at the idea that, anywhere, there is any number of cases of forced sterilisation. The testimony that we saw on “The Andrew Marr Show” yesterday was truly harrowing—I had certainly not seen anything of that nature before The hon. Lady asks, quite rightly, about how we are trying to assess the evidence base. We need to bear in mind two factors: first, the evidential points that I have already mentioned and, secondly, the balance of international opinion. We can work with our traditional partners, which is really important, but we also need to build up a groundswell of wider support among like-minded partners and countries—particularly those that share our values, but maybe in the region or more broadly—that feel vulnerable to pressure from China. That is a challenge. The way the debate is viewed in some of those countries and by some of those Governments is different from the way it is seen here, so we need to be smart about the way we approach this so we gain consensus and build up a groundswell of support for the measures we have taken. I believe that in the approach we have taken on Hong Kong, grounded in the joint declaration and the very specific obligations that have been violated, we are in the best position to do that.
ParlaMint-GB_2020-07-20-commons.u169	May I very much welcome the much more robust attitude that we are seeing from the Front Bench? My right hon. Friend speaks about China’s economic rise, but I believe that that has coincided with a demise in a collective sense of duty and responsibility of the west. For decades, we have turned a blind eye to China’s democratic deficit and its human rights violations in the hope that it would mature into a globally responsible citizen, but that clearly has not happened. So, given its actions in the South China sea and given its veto, which it constantly uses at the United Nations, as well as the fact that it ignores WTO advice and is ensnaring so many poorer countries into debt, is this now the turning point where we drop the pretence that China shares our values? I very much welcome the statement today, but it is tactical. Can we have a strategic overhaul of our foreign policy in relation to China?
ParlaMint-GB_2020-07-20-commons.u170	Of course, under previous Administrations, my right hon. Friend was a Foreign Office Minister during that period, but I recognise that he was always assiduous and loyal during that process.
ParlaMint-GB_2020-07-20-commons.u171	That’s why I’m on the Back Benches now.
ParlaMint-GB_2020-07-20-commons.u172	I couldn’t possibly comment, but he makes a reasonable strategic point and of course the integrated review is an opportune moment to address it.
ParlaMint-GB_2020-07-20-commons.u173	I am going to run this for another five minutes and Members are going to make others miss out.
ParlaMint-GB_2020-07-20-commons.u174	The catalogue of human rights abuses by the Chinese authorities is nothing new, and the extension of the national security law in Hong Kong is just the next step. While the suspension of extradition and export controls is necessary, why has it taken so long to reach this point, and how will the UK Government act more swiftly in formulating a strategic plan with international counterparts to make sure all those who are experiencing human rights abuses in Hong Kong and across mainland China are protected?
ParlaMint-GB_2020-07-20-commons.u175	The national security legislation was only introduced on 30 June. We are now towards the mid to end of July. Not only did we move to extend a path to citizenship to BNO passport holders and those with eligibility, but we have now taken these further steps on extradition and the arms embargo. All these things need to be thought through carefully and require legal preparation. I believe we have moved swiftly, reasonably and proportionately.
ParlaMint-GB_2020-07-20-commons.u176	I strongly welcome today’s announcement and thank my right hon. Friend for his statement. Does he agree that China must adhere to international law if it wishes to be treated as a leading member of the international community?
ParlaMint-GB_2020-07-20-commons.u177	My hon. Friend is right. That is the relationship and the way we want to calibrate the relationship—looking for positives, militating against risk and guided by international obligations, multilateral but also directly bilateral, which, in the case of Hong Kong, China freely assumed and is now in clear and serious violation of.
ParlaMint-GB_2020-07-20-commons.u178	The Secretary of State will be aware of the important financial contribution that Chinese students make to our universities and research sector in particular. What plans do the Government have should those numbers fall? Perhaps more importantly, what can he do to reassure Chinese students and those of Chinese origin in this country that they are safe and welcome here and what can he do to tackle Sinophobic racism?
ParlaMint-GB_2020-07-20-commons.u179	I am very grateful to the hon. Gentleman for raising this point. I made it clear in my statement that we value the contribution that travelling Chinese make, both touristically and in terms of universities. This is also a timely opportunity to tell the British-Chinese community here, who are among the most hard-working, productive and socially engaged members of our communities, how welcome they are and that we will have no truck in this House—certainly not on the Government Benches—with this descending into jingoism or any racism against them. They are incredibly important members of our community and society.
ParlaMint-GB_2020-07-20-commons.u180	I thank my right hon. Friend for his robust statement. Does he agree that the national security law is not only to the detriment of the people of Hong Kong but doing great damage to China itself, and that that needs to be pointed out to China?
ParlaMint-GB_2020-07-20-commons.u181	My hon. Friend is right. In relation to Hong Kong, it is proving how counterproductive this step is, not just for the residents there, but for the broader people of China, given the economic, financial and reputational issues at stake.
ParlaMint-GB_2020-07-20-commons.u182	I welcome the Government’s new measures on Hong Kong, but I want to press the Foreign Secretary on the gross human rights abuses in Xinjiang. We said that never again would the world stand by while a state set out to eliminate an entire culture, yet it is happening again. As well as accelerating the Magnitsky sanctions on Chinese officials, will he accept that giving out investment opportunities in new nuclear to the state-owned CGN is giving out the wrong signal and that, if he wants to be able to demonstrate real seriousness about gross human rights abuses, he could start by reviewing that policy?
ParlaMint-GB_2020-07-20-commons.u183	I share the hon. Lady’s horror and shock at the appalling human rights abuses in Xinjiang and more broadly. Of course, we carefully assess not just individual investment decisions but the integrity and resilience of the processes, and we keep that under constant review.
ParlaMint-GB_2020-07-20-commons.u184	Could we make a study of essential technologies where dependence on China would leave us very vulnerable and then have a strategy for developing those at home or with our allies?
ParlaMint-GB_2020-07-20-commons.u185	My right hon. Friend is right, particularly in relation to 5G, but there are the other areas, and that is exactly what we are doing.
ParlaMint-GB_2020-07-20-commons.u186	The Government rejected an amendment to the Medicines and Medical Devices Bill that was designed to stop human tissue involuntarily harvested in China entering the UK market. I have since met the Minister for Asia, and I am pleased by his commitment to this. In the light of what the Foreign Secretary has said today, will he make a commitment that, if those amendments are reintroduced in the other place, the Government will look at them seriously anew?
ParlaMint-GB_2020-07-20-commons.u187	Yes, we will certainly look at them very carefully.
ParlaMint-GB_2020-07-20-commons.u188	In suspending our extradition treaty with Hong Kong, has the Foreign Secretary decided that one country, two systems in Hong Kong is dead, in which case it would be wrong for UK and Commonwealth judges to play such an important role in the Court of Final Appeal, or has he decided to wait to see how China implements the security law while working to preserve other aspects of the joint declaration—particularly Hong Kong’s independent rule of law, under which our judges have played such an important role in the CFA?
ParlaMint-GB_2020-07-20-commons.u189	My hon. Friend raises an excellent point. We will watch very carefully to see whether and the extent to which the new national security legislation impinges on the judicial autonomy that, under the Basic Law and joint declaration, should be afforded to Hong Kong. We will consult widely across Government but also with the judiciary about what further steps we take in the light of that.
ParlaMint-GB_2020-07-20-commons.u190	In order to allow the safe exit of hon. Members participating in this item of business and the safe arrival of those participating in the next, I suspend the House for four minutes.
