ParlaMint-GB_2020-12-15-commons.u1	What steps his Department is taking to support the development of hydrogen energy.
ParlaMint-GB_2020-12-15-commons.u171	I am rather sorry that the hon. Lady seems intent on seeing the negative in everything. This is a groundbreaking piece of legislation. Let me go through some of the points that she raises. She talks about our being timid in the face of tech lobbying. First of all, I can assure her that, although I have discussed end-to-end encryption in respect of national security issues, I have not discussed with Sheryl Sandberg or Nick Clegg any online harm provisions. That is simply not the case. Indeed I think that she will find from the reaction of some tech firms that they are struck by the scale of the fines that we are proposing. These would be some of the largest fines ever imposed. It is up to 10% of the global revenue of a company such as Facebook, which shows how enormous the maximum fine could be On criminal liability, I want tech firms to comply with this, and if they do not do so, they will face steep fines. If they still do not comply, Members should be in no doubt that their senior managers will face criminal sanction. We will take the power in this Bill—we will not have to come back to the House for primary legislation—and enact it through secondary legislation. The hon. Lady asks about what we have been doing so far. We have taken many steps already to protect people online. For example, just a couple of months ago, the Information Commissioner’s age appropriate design code was put before Parliament. Today, alongside this full response to the White Paper, we are publishing, through the Home Office, an interim code of practice on online child sexual exploitation and abuse, and we will do so similarly in relation to terrorist content and activity online. We will expect tech firms to start complying with that now. It is clear what the Government’s intent is and if those firms fail to do so, we will have the powers through this legislation to ensure that that happens The hon. Lady asks about letting tech firms mark their own homework. We are empowering Ofcom to hold these tech firms to account. First of all, we will make sure that the terms and conditions are robust, and if they are not, those firms will face consequences. If they do not enforce those terms and conditions, they will face consequences, and this House will set out what those legal but harmful things are through secondary legislation. We will propose the sort of harms that those tech firms should guard against. Members of this House will be able to vote on them, and those firms will have to take action appropriately. I believe that this marks a significant step forward, and Opposition Members should welcome this important step in protecting children, particularly online.
ParlaMint-GB_2020-12-15-commons.u172	I call the Chair of the Digital, Culture, Media and Sport Committee, Julian Knight.
ParlaMint-GB_2020-12-15-commons.u173	It has been two long years since the Digital, Culture, Media and Sport Committee report on fake news, and it is welcome that, at long last, the Government have moved to appoint a regulator, to impose a duty of care and to put in place a substantial fines regime. However, there are still areas of concern. Can the Secretary of State outline his thinking on these? Does he accept that the number of priority categories defined as online harm needs to be broadened from what is currently envisaged to include things such as misinformation? The Secretary of State rightly focused on children, but this is about more than children; it is about the very status of our society and about looking after adults The Secretary of State also mentioned transparency reports. How can we ensure that these transparency reports do not become another exercise in public relations for the tech firms? Will there be independent outside academic oversight? When it comes to news publishing exemptions, will that also apply to video sharing? Finally, does the Secretary of State also recognise that a system of dynamic, ongoing enforcement through a financial services style compliance regime in tier 1 social media companies provides a good belt and braces for retrospective enforcement action on what prelegislative scrutiny is planned?
ParlaMint-GB_2020-12-15-commons.u174	My hon. Friend the Chairman of the Digital, Culture, Media and Sport Committee asks about the involvement of the Committee; we will of course seek to involve the Committee extensively in the prelegislative scrutiny. He has already made an important suggestion about dynamic monitoring, which we will of course consider as we firm up the legislation My hon. Friend talks about a video sharing; the exemption for news publishers to protect freedom of speech will apply to all their output and will include that My hon. Friend asks about disinformation; if disinformation—for example, anti-vax content—causes harm to individuals, it will be covered by the legislation, and I very much expect to set that out as one of the priority areas that would have to be addressed in secondary legislation.
ParlaMint-GB_2020-12-15-commons.u175	I thank the Secretary of State for the advance copy of his speech, much of which we SNP Members agree with At a time when anti-vax disinformation floods social media, when hate is spouted at minority groups under the cowardly veil of anonymity, often without consequence for the perpetrators, and when more children than ever before are using the internet and need to be shielded from harmful content, the proposed online harms Bill is welcome We welcome, too, the requirement that companies must accept a duty of care, and the fact that Ofcom will be the independent regulator—but it must be a regulator with teeth. As Dame Melanie Dawes, Ofcom’s boss, told the Digital, Culture, Media and Sport Committee a short while ago, Ofcom needs much-enhanced powers to be effective; what additional powers will she have To enjoy maximum support in the House, the Bill must, while balancing the right to free expression, tackle illegal content as well as content that is potentially harmful but not illegal. In particular, companies must protect all children from harm, and the Government are right to recognise that The covid epidemic and lockdown have seen a surge in homophobia and transphobia online. The TIE—Time for Inclusive Education—campaign reports a 72% rise in attacks on and cyber-bullying of lesbian, gay, bisexual and transgender young people, with organisations such as the so-called LGB Alliance leading the onslaught. In that context, surely there is a case for looking again at social media anonymity. Noms de plume are fine, but we believe that users’ identities should be known to the social media publishers—they should not be completely anonymous in all circumstances. Does the Secretary of State agree with that Social media disinformation has been especially pernicious during the covid pandemic. Experts tell us that the disinformation during this crisis is unparalleled in the internet era, and the consequences of online harm can be catastrophic, undermining public trust, faith in health officials and acceptance of the value of the vaccine now being rolled out In principle, we welcome much in the proposals. Of course, the proof of the pudding will be in the eating—exactly how tough the Government are prepared to be in reality, how hard they will be on the social media companies, and whether they will enforce some of the proposals—but we welcome it.
ParlaMint-GB_2020-12-15-commons.u176	I am grateful for the hon. Gentleman’s welcome for the legislation. He raised some important points. On anonymity, we have not taken powers to remove anonymity because it is very important for some people—for example, victims fleeing domestic violence and children who have questions about their sexuality that they do not want their families to know they are exploring. There are many reasons to protect that anonymity The hon. Gentleman talks about Ofcom; over the years, we have seen Ofcom rise to the challenge of increased responsibilities and I am confident that it will continue to do so. We will of course look to Ofcom to bring in independent expertise to help it in that process. It will clearly require a step change from Ofcom, but Dame Melanie Dawes and others are very much alert to that The hon. Gentleman talks about misinformation and disinformation. There are three things that we have to do to address those. First, we have to rely on trusted sources. We are so fortunate in this country to have well-established newspapers and broadcasters that are committed to public service information. We have seen that through the covid crisis, which is why we have supported them through this period. Secondly, we have to rebut false information. Through the Cabinet Office, we are working 24/7 to do that. Finally, we have to work with the tech companies themselves. For example, the Health Secretary and I have recently secured commitments to remove misinformation and disinformation within 48 hours and, crucially, not to profit from it. To the hon. Gentleman’s central concern, I think these measures really do mark a step change in our approach to tech firms. The old certainties are changing, and we are taking decisive action.
ParlaMint-GB_2020-12-15-commons.u177	I welcome the progress that the Government are making in this area, and my right hon. Friend’s personal commitment and determination to deliver it, but, as he said, there is further progress to be made. That progress will only really be made when we see legislation, which I urge him again to introduce as soon as possible. In the meantime, I understand the Government’s focus on the larger platforms where the greatest harms are likely to be concentrated, but may I urge him, in the design and architecture of the regulatory system that he is putting in place, to ensure that it can deal with smaller platforms that grow fast or that host particularly damaging material, and, of course, that it can deal with the ever-changing nature of the harms themselves?
ParlaMint-GB_2020-12-15-commons.u178	I pay tribute to my right hon. and learned Friend and other former Culture Secretaries represented in the House, all of whom have played a decisive role in helping to shape this important legislation. My right hon. and learned Friend rightly raises the point about smaller platforms. What we have sought to do with these proposals is to exclude very small enterprises—for example, a cheese retailer that allows its customers to leave comments on its site. Strictly speaking, that is user-generated material, but I think we would all agree that we would not want that to be within scope. However, at the same time, some smaller sites can be used as a back route— for example, for paedophiles to exchange information. We will design the legislation proportionately so that we can upscale the regulation in those sorts of cases.
ParlaMint-GB_2020-12-15-commons.u179	I welcome the legislation as far as it goes, and agree with the Secretary of State that it is landmark legislation, rather like the Gambling Act 2005, which was put through the House by the previous Labour Government. I remind him that it was largely the things that were not covered by that legislation that came back to be the most challenging issues to confront us all. Given that, let me ask the Secretary of State about the scope of the legislation: will it cover online harms such as the targeted advertising of gambling at young people, gambling through social media or even loot boxes in online gaming, whereby young people are asked to pay for boxes of which they do not know the content?
ParlaMint-GB_2020-12-15-commons.u180	As the hon. Gentleman may know, we have already issued a call for evidence in respect of loot boxes, and will take appropriate action in response. Many of the issues that he has raised are covered by our call for evidence on gambling. The scope of this legislation will cover any platform that allows self-generated content to be on it; to the extent that gambling websites have user-generated content on them, they will fall within the scope of this legislation, potentially.
ParlaMint-GB_2020-12-15-commons.u181	I welcome my right hon. Friend’s statement. He has said that at the heart of these measures is the protection of our children—something with which the whole House will agree. He may know that I am leading an investigation with the Centre for Social Justice on the epidemic of child sexual abuse and exploitation that is taking place in our country. I therefore particularly welcome what he said today about the publication of the interim code of conduct on online child sexual abuse. But for it to have any effect, it must have teeth; it must be legally binding. Will he assure the House that when the online safety Bill becomes an Act, this code will be a statutory obligation?
ParlaMint-GB_2020-12-15-commons.u182	I pay tribute to the work that my right hon Friend is doing, both on this and through the important work of the Centre for Social Justice. Yes, I can certainly give him that assurance. As I said, I would expect tech firms to abide by these codes of practice now—they have been published in interim form—because it is in the interests of tech firms to clean up their act, and this gives them a way of doing so. That has been the point across our approach. Of course, if they fail to do so, we will take the power in legislation to make it binding regardless, but I hope that the firms will abide by the codes of practice and I do not have to use those powers.
ParlaMint-GB_2020-12-15-commons.u183	Clearly, regulations alone will not be strong enough to tackle the challenges of the internet. I am sure every single one of us in this place regards the safety of our children as absolutely paramount, so may I suggest to the Secretary of State that the education of our children might empower them to take down or zap harmful stuff online? What consideration is he giving to improving the education of children to give them that ability? Will he also have discussions with his colleague the Secretary of State for Education to that end, and might he further extend those discussions to the equivalent Ministers in the devolved Administrations?
ParlaMint-GB_2020-12-15-commons.u184	The hon. Gentleman makes an important point, and of course I will be happy to extend that discussion. I am already doing so with my right hon. Friend the Education Secretary, but I would happy to do so with representatives of the devolved Governments. The hon. Gentleman is absolutely right to highlight the importance of education, and that applies not just to children but to parents. The more that parents, particularly those who have not grown up with the internet, understand the risks involved for their children, the better equipped they are to take action. Probably the single most important thing that parents can do is better understand the risks. That is why, in respect of children, we will be publishing the online media literacy strategy in the spring to address exactly that.
ParlaMint-GB_2020-12-15-commons.u185	I thank the Secretary of State for his important and long-awaited statement on this piece of legislation. I have a few questions, though. He mentioned that social media companies would be required to produce transparency reports on their effectiveness in dealing with harmful content. Will Ofcom be able to audit those reports and request data and information from the companies? Otherwise, those reports will not be very transparent at all. He also said that there would be a carve-out exemption for news providers. I agree with that, but how is he defining a news provider? Some of the most egregious spreaders of disinformation pretend to be new providers but are actually fake news websites. It is important that we know that. He also said that if companies’ terms and conditions did not come up to standard and they did not meet their duty of care obligations, they would “face the legal consequences”. Can he say what those consequences will be?
ParlaMint-GB_2020-12-15-commons.u186	As ever, my hon. Friend raises some very pertinent questions. On the powers for Ofcom, it will be able to interrogate data and equipment. The question around the definition of news publishers is a challenging one, for the reasons that he sets out. Essentially, we want to avoid the situation whereby a harmful source of information sets up as if it were a news publisher. That will be an important part of our engagement with Members of the House through the pre-legislative scrutiny, so I hope I will be able to reassure him on those points.
ParlaMint-GB_2020-12-15-commons.u187	I welcome today’s announcement and trust that it represents progress towards making the internet a safer place for my constituents. In protecting our children, the vulnerable and wider society online, there can be no half measures. In that regard, I have a number of areas of concern. The Secretary of State made reference to cutting-edge age assurance or verification technologies. Can he explain what exactly is meant by age assurance and the practicalities of that process? How does it differ from age verification? What evidence is there that it is more effective in protecting children from harmful content? Does he also agree that the prevalence of online scams—and the thousands of lives across the UK impacted by such scams—makes their omission from the Government’s response significant? Will he outline how the Government will address this increasingly widespread online harm?
ParlaMint-GB_2020-12-15-commons.u188	On age assurance, we are looking at the sort of emerging technology whereby, for example, one can look at how children type and use artificial intelligence to see that it is a child rather than an adult. Just yesterday, I was at a company called SafeToNet, which is doing fantastic work—for example, building into social media platforms through the electronic device that a child is using, whether that is an iPad or a phone, safety features that would block pornographic images and so on. The hon. Lady also asked me about further powers that we are taking. Forgive me; I have temporarily forgotten the point that she raised, but I am happy to write to her on that point.
ParlaMint-GB_2020-12-15-commons.u189	I welcome my right hon. Friend’s statement. Large tech platforms build incredibly complicated models to track our every move, profile us and suggest products that we might want to buy. They even now read our messages and suggest how we might like to reply, and yet when it comes to removing harmful content, they suggest that it is too difficult for them. Does he agree that what he is setting out is well within their capabilities, as long as they have the will?
ParlaMint-GB_2020-12-15-commons.u190	My hon. Friend makes a very important point. Too often, tech firms say that they cannot do such things, but strangely, when it is in their commercial interest to do so, they find a way of doing it. This legislation is setting a clear direction of travel from Government, so that they know that we will be willing to take that action to force them to take measures in the public interest.
ParlaMint-GB_2020-12-15-commons.u191	First Steps Nutrition Trust has launched a study this month which shows the impact of online marketing of infant formula. I am all for impartial information, but that is not what is happening. Baby clubs, carelines and online influencers have free rein, and they are undermining breastfeeding and pushing parents to buy more expensive formula than they can afford. Will the Secretary of State protect our youngest citizens and prohibit all infant formula advertising online?
ParlaMint-GB_2020-12-15-commons.u192	The hon. Lady raises a very important point. The purpose of this legislation is to deal with user-generated content. If that sort of thing is being promoted by users, which we can all see is a popular marketing device, it will fall within scope. It is similar to the point raised by the hon. Member for Upper Bann (Carla Lockhart) about fraud. If fraud is being promoted through user generation, that is a harm that can be addressed, but it does not extend to the whole scale of advertising, which is beyond the intent of the legislation.
ParlaMint-GB_2020-12-15-commons.u193	I welcome my right hon. Friend’s statement. Earlier this year, Staffordshire police, Stoke-on-Trent City Council and Staffordshire County Council launched an operation to crack down on gangs exploiting children through county lines, drug dealing and other criminality. These children are often groomed and recruited on online platforms and messaging services. Can my right hon. Friend confirm that, under the rules outlined in the online harms consultation, technology firms will be required to build technology into their platforms that can prevent that sort of activity?
ParlaMint-GB_2020-12-15-commons.u194	Yes, I am happy to give my hon. Friend exactly that assurance. Companies must tackle illegal content on their platforms and protect children from harmful content and activity online. They really do need to build the right systems. As I said in answer to a previous question, I have seen the technology; there is no excuse anymore not to use it.
ParlaMint-GB_2020-12-15-commons.u195	I want to ask the Secretary of State two questions on the issue of how we understand what is harmful but perhaps legal. First, will Ofcom be given the powers that it already has for other regulated sectors to demand access to information about how a service is being used and what content is on it? Secondly, why has the Secretary of State abandoned age verification?
ParlaMint-GB_2020-12-15-commons.u196	On age verification, we are moving it from what we previously had, which was not dealing with user-generated content. Most pornography that children access is on sites that have user-generated content. Usually, that is the way that children stumble across it by mistake. It is really important that we broaden the scope of what we are doing, and that is precisely what we are addressing through this legislation.
ParlaMint-GB_2020-12-15-commons.u197	Earlier this year, we witnessed the Wiley scandal, which saw an antisemitic rant over numerous posts. It took 72 hours and a mass boycott of social media by the Jewish community and its supporters before any action was taken by the platforms. Does my right hon. Friend agree that the law should apply online as it does offline and that online platforms must do more to stop the spread of hate speech and illegal content?
ParlaMint-GB_2020-12-15-commons.u198	I think the hon. Gentleman forgot to put on his tie and jacket.
ParlaMint-GB_2020-12-15-commons.u199	Sadly that will not be addressed by this legislation, Mr Speaker. [Interruption.] Not that I could—I believe that is a matter for the House My hon. Friend makes a very important point about antisemitic abuse. I have met organisations about that in framing the legislation. Most antisemitism is illegal and should be addressed through the provisions made for illegality. Beyond that, we will be setting out, as a priority, harms to be addressed through this legislation.
ParlaMint-GB_2020-12-15-commons.u200	I, too, welcome this statement. In the past two months, Community Security Trust has identified 90,000 posts mentioning me. Most were hostile, antisemitic, misogynistic and ageist. Many were anonymous and, through disinformation, aimed to undermine my credibility and so silence me. I would ask the Secretary of State to think again. Does he not agree that anonymity on social media can no longer be universally protected, although it should be protected for groups such as whistleblowers and victims of domestic violence? Will he not agree that where users post illegal content or harmful abuse, social media companies should be required to collect and pass on information on the identity of the user to regulatory bodies and to the police?
ParlaMint-GB_2020-12-15-commons.u201	The right hon. Lady raises a very important point. As a Member of Parliament who proudly represents a very large Jewish community, I know the challenges of antisemitism, and that has been at the front of my mind in framing this legislation. It is a challenging area, this point about anonymity. Of course, if there is criminal conduct that the police and law enforcement agencies are investigating, they have ways of dealing with that anonymity in order to bring criminal cases. The reluctance I have had, and the Government have had, to introduce provision across the board is about how we lift the veil of anonymity while at the same time protecting some very vulnerable people who rely on it. But of course we will continue to keep it under review.
ParlaMint-GB_2020-12-15-commons.u202	I fear that we on the Government Benches feel a little like the ghost of Secretaries of State past for my right hon. Friend. I welcome this statement and the moves that the Government have made. Taking him back to the issue of age assurance and age verification, I am pleased to hear that he is looking at different types of technology to protect children, but will he please not let the perfect be the enemy of the good and do something around age verification as soon as possible?
ParlaMint-GB_2020-12-15-commons.u203	My right hon. Friend is absolutely correct. I should pay tribute to all her work in this area. Of course we will not allow the best to be the enemy of the good. We will not be mandating the use of specific technological approaches. We know that those technological approaches are available, and Ofcom will be holding tech companies to account to make sure that they take advantage of them in order to provide protection for children.
ParlaMint-GB_2020-12-15-commons.u204	As the Secretary of State will be aware, Wikipedia, while not a social network, is edited by its users. It includes highly dangerous instructional information on suicide generated by those users. How will that be covered by the forthcoming legislation, and how will he deal with the international aspect of preventing harm online?
ParlaMint-GB_2020-12-15-commons.u205	I thank the hon. Lady for her question; she raises an important point. We are looking to legislate to make self-harm illegal—to push it into that category. On international engagement, there is a coalition of nations around the world that are now moving in this direction, including the US. The hon. Member for Cardiff Central (Jo Stevens) mentioned steps taken in Ireland and elsewhere. We have constantly led this debate. We started this debate with these proposals and we are delivering them at a faster pace than other countries around the world.
ParlaMint-GB_2020-12-15-commons.u206	I warmly welcome my right hon. Friend’s statement. However, we have to be very clear that the duty of care and the regulator that he is proposing will not look at or resolve individual complaints. What is more, we are already seeing some of the smart movers in the online world starting to change their practices so that they will evade the regulation that he is talking about. So, to be really effective this Bill has to sit alongside stronger and clearer laws that protect the individual from dreadful online abuse, such as image-based abuse which the Secretary of State and I have talked about, and which I know he cares as deeply as I do about resolving. He cannot introduce one without the other, so can he give me an assurance today that he will put reforms, particularly with regard to online image-based abuse, on the same time-footing as the Bill he is talking about today?
ParlaMint-GB_2020-12-15-commons.u207	My right hon Friend, another former Culture Secretary, makes an important point. She and I have discussed this at length. It is absolutely essential that, alongside the duties of care, we specifically outlaw certain things: she has made important points around deep fakes, cyber-flashing and so on. I can confirm that, working with the Law Commission, we will be looking through this legislation specifically to outlaw that kind of activity and make it illegal.
ParlaMint-GB_2020-12-15-commons.u208	As the Secretary of State will undoubtedly be aware, I really welcome this Bill; I honestly believe that it is well intended, but fear it is rather muddled and jumbled. I would like to know when the Bill is coming to the Floor of the House—not pre-legislative scrutiny, as the Secretary of State has mentioned in answer to several other Members, but when the Bill is coming—because we have been waiting two years for just this statement. I would also like to know why delay culpability has been delayed; self-governance has not worked for 15 years, so why delay it? Finally, why not deal with the issues around economic crime? That is increasing, and I believe it is a mistake not to deal with the problems of economic crime in society through platforms.
ParlaMint-GB_2020-12-15-commons.u209	I welcome the hon. Gentleman’s overall support. On when this will be coming, the legislation will be brought before the House in 2021. He asked about economic crime, and other Members also raised that. [Interruption.] Well, to the extent that this comes from user-generated content, of course it will fall within scope, but if we seek to make this Bill deal with every harm on the internet, it will quickly become very unwieldy. Most fraud comes as a result of activities such as online advertising. We must try to have some sort of a scope around this The hon. Gentleman asked why we are delaying taking powers. We are not delaying taking powers: from the get-go, these enormous fines of up to 10% of global turnover will be imposed. If that is still not effective, we will have taken the power to use criminal sanctions for senior managers, and it will simply be a case of passing secondary legislation to bring that into force. As it is such a big step to have criminal liability, if we can avoid criminal liability I would like to do so. I believe the fines will be sufficient, but if they are not, then we will have taken those powers.
ParlaMint-GB_2020-12-15-commons.u210	I welcome these robust proposals, particularly the focus on children, but they need to lead to robust legislation and robust practice. I particularly welcome the referral to the Law Commission about self-harm sites; will my right hon. Friend make sure they include so-called self-help sites on eating disorders, which are nothing of the sort and just promote those sorts of behaviour May I also return to the point of the right hon. Member for Barking (Dame Margaret Hodge) about anonymity, because it is key? Whether it is hate speech, extremism, antisemitism or grooming sites, the perpetrators hide behind anonymity. When they get taken down, they reappear under a different name. Is it not possible for them to have to reveal their identity, and prove their identity to the platform providers only, so it does not involve whistleblowers revealing themselves, so that they cannot get away with it, they cannot keep reposting, and they can be referred to the police where necessary?
ParlaMint-GB_2020-12-15-commons.u211	I hear my hon. Friend’s points about anonymity, and, as he said, they were made very powerfully by the right hon. Member for Barking (Dame Margaret Hodge). We are seeking to get the balance right so that we protect victims of domestic violence and others who rely on anonymity; of course, there are the law enforcement powers, but we genuinely keep an open mind, and if we can find a way of doing this that is proportionate, we will continue to consider whether there are measures we can take as we go through pre-legislative scrutiny. We are grappling with that challenge.
ParlaMint-GB_2020-12-15-commons.u212	The Work and Pensions Committee is inquiring into pension scams. Much of that problem is online, boosting the profits of tech firms and causing immense hardship. Martin Lewis, Which?, my hon. Friend the Member for Cardiff Central (Jo Stevens) on the Front Bench and others have called for such scams to be in scope here. The right hon. Gentleman says they will be if they are “user-generated”, so can he explain how these measures will address the very serious problem of financial online harms?
ParlaMint-GB_2020-12-15-commons.u213	Through secondary legislation, we will set out priority harms. I will not go into every last harm, because that will be a process for scrutiny. On the broader point about financial fraud and so on, the right hon. Gentleman raises very important points, and of course we will seek to address that as a Government; I am just not convinced that this is the appropriate legislative vehicle for doing so.
ParlaMint-GB_2020-12-15-commons.u214	Whether it is on promoting illegal content, anti-vaccine content, covid denial or conspiracy theories in general, for far too long now social media platforms have failed to get their own houses in order, and trust in the industry has fallen. Does my right hon. Friend agree that the measures he is proposing today will ensure a new age of accountability for tech that in turn will restore trust in the industry?
ParlaMint-GB_2020-12-15-commons.u215	As ever, my hon. Friend is absolutely correct. This marks a watershed and introduces that new age of accountability. For too long, tech firms have considered that because of the novelty of their technology, they are not subject to the same norms as others—broadcasters and so on. This starts to redress that balance.
ParlaMint-GB_2020-12-15-commons.u216	This is a global problem that requires a global response. Will the Secretary of State confirm what co-operation protocols are in place to block offending platforms across multiple countries?
ParlaMint-GB_2020-12-15-commons.u217	First, on blocking offending platforms, we will reserve that power in this legislation; it is a power that will be available to Ofcom. Of course, we engage on exactly those points through various international forums, and we continue to work together.
ParlaMint-GB_2020-12-15-commons.u218	Even the most vigilant parents struggle to keep up with the latest apps, websites and ways to get around parental controls. While parental responsibility will always remain key, these proposals help parents to deliver that. However, I think people will be concerned to know that the proposals have teeth, especially when it comes to the very wealthy companies that are involved. Can the Secretary assure us that they do have teeth, and that he will be able to act in a way that means something to these companies?
ParlaMint-GB_2020-12-15-commons.u219	Yes, my hon. Friend is absolutely right. There seems to be a degree of complacency from some Opposition Members about the scale of the fines we are proposing. We have never before proposed fining tech firms up to 10% of global turnover. That is an enormous sum for them, and it gives real teeth and credibility to what we are doing.
ParlaMint-GB_2020-12-15-commons.u220	A constituent of mine in Aberdeen has been in contact to say that in recent months they have had to respond to three instances of children in primary school accessing Pornhub on mobile phones. I am sure the Secretary of State shares my profound concern about that, but we do not want warm words; we want action, so will he confirm if and when online age verification checks will finally be put in place?
ParlaMint-GB_2020-12-15-commons.u221	As a father of primary-age children, I share the hon. Gentleman’s complete outrage that that is possible. This legislation will address exactly that. A site like Pornhub will fall within the scope of this legislation, because it has a large amount of user-generated content, and we will expect it to take appropriate measures to safeguard children from accessing the site. If it fails to do so, it will face severe consequences.
ParlaMint-GB_2020-12-15-commons.u222	I welcome the statement. Bearing in mind that the perpetrators of online harms and abuse know no international boundaries, does the Secretary of State agree that, as a member of the Council of Europe, which is a key pillar for the protection of human rights online, we have an important ally in the ECHR, which rules on applications alleging violations? What plans does he have to work with our international partners? Particularly given the speed at which technology moves, how can he be sure that his proposals will keep pace with technological advances and escalating international activity? Bearing in mind the high-profile international cases involving people with autism, can he offer better international protection for individuals caught up inadvertently in incidents?
ParlaMint-GB_2020-12-15-commons.u223	My right hon. Friend is absolutely right. As I make this announcement to the House, I am writing to my counterparts around the world to inform them of what the British Government are doing; it is world leading. There is a lot of interest from my counterparts around the world and I shall be working with them because although, as we all know, the UK is a significant country in terms of market share for tech firms, we cannot operate in isolation. It is important to work with major markets, such as the US and the EU, to achieve a co-ordinated approach. We are all trying to move in this direction, so the more we can join up our approach, the more effective we can be.
ParlaMint-GB_2020-12-15-commons.u224	Online activity is really important to extremists of all kinds in furthering their aims. Fake news—disinformation—is the currency of authoritarian forces, undermining our democracy; and on their business models, currently tech companies profit from that. What action would the Bill take to defend our democratic values if it was on the statute book now? How would it solve this threat?
ParlaMint-GB_2020-12-15-commons.u225	This legislation is specifically aimed at harm caused to individuals, so of course, to the extent that there is harm to individuals, such material will fall within the scope of this legislation. But remember: this sits alongside other action by the Government. For example, the Cabinet Office is leading work on the cross-government defending democracy programme, to deal with the wider challenges to our democratic values.
ParlaMint-GB_2020-12-15-commons.u226	I very much welcome my right hon. Friend’s statement today. Organisations like the Internet Watch Foundation have over 24 years’ experience in tackling threats to children online; indeed, the foundation played a huge role in reducing the percentage of vile, indecent images of children from 18% of such images held on UK servers across the globe, down to 1% today. Can my right hon. Friend assure me that organisations like the foundation will be fully involved, so that we may harness their expertise in the regulatory framework that he brings forward?
ParlaMint-GB_2020-12-15-commons.u227	Yes, I can give my hon. Friend that assurance. I have, of course, met the Internet Watch Foundation. Ofcom will need to draw on expert advice, and I would expect that to include that of the foundation.
ParlaMint-GB_2020-12-15-commons.u228	I was very pleased to hear the Minister mention misogynistic abuse. In October 2019, the Joint Committee on Human Rights published a report on democracy, freedom of expression and freedom of association, in which we found that in relation to its hateful conduct policy, Twitter has omitted sex from the list of protected characteristics; that means that shocking misogynistic images and violent abuse and threats against women are often found not to be in violation of Twitter’s policies Does the Minister agree with the Committee’s recommendation that Twitter should remedy that omission, so that the protected characteristic of sex is protected by its hateful conduct policy? Does he agree that all the protected characteristics deserve equal protection in any online harm legislation?
ParlaMint-GB_2020-12-15-commons.u229	The short answer is yes. I agree with the hon. and learned Lady; misogyny should and will be addressed. The point of the legislation is that Ofcom will hold tech companies to account, to make sure that they have policies that deal effectively with misogyny, that they enforce those policies, and that if they fail to do so they will face the financial consequences. We reserve criminal powers to act as well.
ParlaMint-GB_2020-12-15-commons.u230	Diolch, Madam Deputy Speaker. Unfortunately, hate speech and harmful content are not static entities and are constantly changing and adapting. With that in mind, how will the legislation be future-proofed to ensure that regulations remain effective in tackling harmful content as its nature inevitably evolves?
ParlaMint-GB_2020-12-15-commons.u231	The hon. Gentleman makes an important point. Several other hon. Members have raised the point about future-proofing, and I apologise for not addressing it in my answers so far. Ofcom will be given the discretion to deal with emerging threats, through codes of conduct and so on, but we will also use secondary legislation and identification of priority harms. We are not including those in primary legislation to enable us, over time, to update those priority harms as new threats emerge.
ParlaMint-GB_2020-12-15-commons.u232	Does my right hon. Friend agree that senior managers of social media companies must be held responsible if they fail to protect children and vulnerable people?
ParlaMint-GB_2020-12-15-commons.u233	Yes, I do, and I thank my hon. Friend for her question. These kinds of financial penalties we are proposing will cause all senior executives to sit up and think. The last thing one would want to do in a senior management position in such a company is to expose it to such a high level of fine, but we will still, ultimately, reserve the criminal sanction as well, in the way I have set out.
ParlaMint-GB_2020-12-15-commons.u234	The Select Committee on Home Affairs has spent many years being deeply frustrated by the weak responses of social media companies to our urging them to take action against hateful extremism and online child abuse, so I welcome the measures the Secretary of State has announced. The Government response states that “the regulator will have the power to require companies to use automated technology…to identify illegal child sexual exploitation and abuse content or activity on their services, including, where proportionate, on private channels.” Will he confirm that that means major platforms will need to use this automated technology on the end-to-end encrypted private channels? What proportionality test is he applying here, given that child sexual abuse is clearly so abhorrent and wrong in all circumstances? When will it ever be disproportionate to pursue this?
ParlaMint-GB_2020-12-15-commons.u235	The right hon. Lady raises important points. On private channels, companies will be expected to use emergent technology to check for this sort of thing happening. The point about proportionality is that clearly we cannot expect them to individually, through human activity, spot this kind of thing; they will have to rely on artificial intelligence and so on. So as the regulator becomes confident that those technologies work, it will expect the firms in question to use it. There is a slightly separate issue about end-to-end encryption, and she will be familiar with the sort of conversations the Home Secretary and I are having with Facebook, for example, on that. Encryption cannot be used as an excuse to get out of being subject to this legislation, and we would expect firms that use end-to-end encryption still to take measures to protect against child abuse and exploitation, for precisely the reasons the right hon. Lady sets out.
ParlaMint-GB_2020-12-15-commons.u236	In 2007, the Council of Europe produced a convention, which I understand we have signed, that deals with the online abuse of children. Will my right hon. Friend work with me and other members of the Council of Europe to strengthen that convention, in order to make sure that the regulators are genuinely robust and can deal with this problem?
ParlaMint-GB_2020-12-15-commons.u237	Yes, of course I would be delighted to do so. As Members will know, child abuse, sadly, knows no boundaries—the child abuse viewed by people in this country is often generated around the world—so it is important that we have a co-ordinated approach.
ParlaMint-GB_2020-12-15-commons.u238	Will this Bill tackle the website craigslist, which profits from perpetrators who place adverts that sexually exploit young people? If they are acting like pimps, is it not about time we started treating them as such?
