ParlaMint-GB_2020-03-03-lords.u1	To ask Her Majesty’s Government what assessment they have made of the costs of clinical negligence.
ParlaMint-GB_2020-03-03-lords.u117	My Lords, I rise to speak in support of the amendment moved by the noble Lord, Lord McColl. I do so because I fear that a fundamental pessimism underpins Clause 1. It is an attitude that we have heard in speeches from Ministers and others to the effect that once a person files for divorce a marriage has by definition broken down. The Minister in the other place said that “the moment one person decides that the marriage is over, it is indeed over.”—[Official Report, Commons, 25/6/19; col. 602.] I question that. I do not think it is inevitable that a marriage, even one that has come to that point, is over. I prefer to allow room for reconciliation People can change their minds, and often do. Marriages can go through very rocky periods, yet come out the other side stronger than before. I am sure many noble Lords can think of examples. In my view, hope for reconciliation should be maintained for as long as possible, including into the divorce process. I believe reconciliation remains possible. I think that is borne out by the figures showing that each year the number of completed divorces is considerably lower than those applied for. At present, approximately 10% of divorce petitions that start each year are subsequently dropped. Couples do give their marriage another chance. I know that other explanations are offered for the shortfall: cross-petitions, petitions being re-filed on a different basis, and so on. I acknowledge all that, but are we really to believe that there are not some reconciliations within the thousands of divorces that do not complete? If there are any at all, they expose as false the assumption that divorce is inevitable after a divorce application is made. A Bill designed on that false assumption would clearly be flawed, so I am uncomfortable with Clause 1 as it stands At the very outset, the divorce process requires a definitive statement by the applicant or applicants that the marriage has broken down irretrievably. As I see it, that can serve only to close minds, inhibit dialogue and reduce the chance of reconciliation. The Minister in the other place described the 20-week period as “a period of reflection” but, under the Bill, the 20-week period starts out with assertion by one or both parties that the marriage has broken down irretrievably. That encourages not reflection but defeatism The modest change this amendment seeks to make is to reduce the sense of inevitability ever so slightly. Rather than applicants stating at the outset that the marriage has broken down irretrievably, they would have to state that it “may” have broken down irretrievably. Only at the stage of applying for the conditional order would we get to the assertion that the marriage has broken down irretrievably. This change would make the 20-week period one of genuine reflection in the hope of saving marriages. I believe it deserves noble Lords’ support, so I support the amendment.
ParlaMint-GB_2020-03-03-lords.u118	My Lords, I agree with the wise words of the noble and learned Baroness, Lady Butler-Sloss, and think that Amendment 1 is not helpful. It replaces the proof of irretrievable breakdown on the basis of a sworn statement at the outset, with that being proven only after a second sworn statement has been made after the time has elapsed for the conditional order to be made. I also dislike the wording, “they think that the marriage may have broken down” It is a bit patronising. Leaving a further 20 weeks could make it more difficult for a spouse to leave an abusive relationship: “You only think our marriage is over, dear. Why don’t you come home with me and think again?” I realise that this is not consistent with my remarks at Second Reading when I spoke about periods of reflection, but I have had my own period of reflection in the intervening time. I have listened to the research findings already referred to by the noble and learned Baroness, such as those from the Finding Fault? study, which established that people do not initiate divorce proceedings unless they are sure that, for them, the marriage is over. We from these Benches will not support this amendment.
ParlaMint-GB_2020-03-03-lords.u119	My Lords, I rise to support the noble and learned Baroness, Lady Butler-Sloss. I have been doing this work for 40 years. If the amendment is successful, people will file quicker: they know they will have to wait 20 weeks, or however many weeks, so they will put in their petition sooner. When a marriage has broken down, it is necessary to sort it out cleanly and without blame and delay. Delay causes grief. Uncertainty causes grief. Children get destroyed by uncertainty, which is why I have jointly tabled an amendment related to finance. In relation to the breakdown of a marriage, I agree with the noble Baroness that it is patronising. It is not a charter for petitioners but a mutual charter to let people get divorced without the blame and shame of naming the person who is more at fault. For most marriages, it is not as simple as one party being 90% at fault and the other being 10% at fault, or one party being 100% at fault. There is mutual blame, so to suggest that that one party has to take the responsibility for being, effectively, the aggressor, causes grief. It causes grief to people who cannot operate on their own. Some people have the luxury of going to solicitors, but I really object to the suggestion that this is a solicitors’ or a lawyers’ charter to make money. When it is done online, it will be a great deal cheaper. There is a nice little industry in colluding with the solicitor on the other side to try to dream up grounds that neither party finds objectionable so that it can go through unopposed—but unfortunately, those grounds now have to be sufficiently serious to get past the very high bar that is being imposed, which means that blame has to be made. I do not see any benefit at all when one party—generally both parties—wants to get out of marriage in there being any further delays, so I do not support this amendment.
ParlaMint-GB_2020-03-03-lords.u120	My Lords, I was not wishing to push myself forward too soon, but one has to look quite closely at the wording of this amendment, which says: “The divorce process under subsection (1) consists of three stages and must be accompanied by … for the first stage, a statement by the applicant or applicants, if a joint application, on the filing of the application for a divorce order that they think that the marriage may have broken down irretrievably.” The general rule is that one applicant is sufficient, and therefore there is no question of a requirement that they should agree that the marriage has broken down irretrievably at that stage I have not been a family judge for 40 years, but I have been concerned with this matter for even longer than that. As I said at Second Reading, I was concerned with cases where there were long debates and proofs about who was responsible for the breakdown of the marriage. I never found them to be of any practical use: they did not reconcile people—very much the reverse—and they were absolutely useless I am as strong supporter of the institution of marriage as I can be, and I have made that plain. Indeed, so plain was it when I introduced the corresponding Bill 20 years ago that I was invited to be interviewed on the “Today” programme—Ministers went in those days—by no less a person than John Humphrys. One of the first questions that he asked was whether I would care to be called the “Minister for Marriage” instead of Lord Chancellor. That suggested pretty plainly that he thought that I was trying to support the ordinance of marriage as far as practicable The situation here is that you are asking for a divorce, not applying for a consideration of something else. What is a divorce? It is an order that finds that the marriage has broken down irretrievably. Therefore, if you are going to ask for that, you must ask for it. There is no sense in saying, “I’m considering whether I should apply.” You either do or do not apply. If you apply, the process starts. However, of course I am all in favour of the idea that during that process people might come together. That happens, and there is nothing in the Bill that I know of to discourage it, except possibly the length of time involved. As I understand it, the result of the consultation process was that it should be a year, but a period of six months was chosen for the Bill. When my Bill went forward, I chose a year and Parliament increased it to 18 months. So it is not the first time that an attempt has been made to lengthen that period—something that will be considered later. However, the amendment does not appear to me to be right. If you are asking for a divorce order, the statement must state the ground on which the law allows a divorce Sadly, I agree entirely with what the noble and learned Baroness said about the children. Over the years, my experience in talking about and dealing with this issue in various ways is that, generally speaking, the children are devoted to both parents. They love them both, and when the parents separate in life or in the way that they treat one another, it tears the heart of the children, which is a terrible result. It is important that, before parents get involved in divorce proceedings, they think seriously about the effect on their children. On the other hand, there is nothing worse for children than being in a situation where their parents are continually at loggerheads. Sadly, the institution of marriage is such that it requires the loyalty of both parents all the time. If that stops, the result is, sadly, inevitable I entirely accept that my noble friend Lord McColl and those who support him would like to see reconciliation. I am entirely in favour of that, but I think that reconciliation is sometimes assisted when the parties see that what is required is an answer to the situation—when the marriage has broken down irretrievably and they are prepared to reach a conciliation. That does happen and there is every reason to support it happening during the divorce procedure, but I do not think that you can start the divorce procedure on the basis that it is going to happen.
ParlaMint-GB_2020-03-03-lords.u121	My Lords, leaving aside the fundamental principle behind this amendment, there seems to me to be a real weakness in the wording of the proposed new subsection (2)(a), which says that, “they think that the marriage may have broken down irretrievably” That seems so vague and unsatisfactory. Does the noble Lord think that this amendment would be improved and be worth further serious discussion if it instead said that they “intend to apply for an order on the grounds that the marriage has broken down”—in other words, that the first application would be a statement of intent?
ParlaMint-GB_2020-03-03-lords.u122	My Lords, the unfortunate thing about that is that it is the application: once you have applied, you have carried out the intent. It is an application for a divorce, and the divorce procedure lays out what has to happen before the divorce is granted. When you apply, you are applying for a divorce. I cannot see any other possible way of proceeding. It does not seem to make sense to say, “I was thinking of applying—I was thinking of suing you—but I am still considering the matter.” If you want an order, you have to ask for it. That is essentially why I think this amendment has grammatical difficulties but also an enormous underlying theoretical difficulty.
ParlaMint-GB_2020-03-03-lords.u123	My Lords, I support the amendment moved by the noble Lord, Lord McColl, and the remarks of my noble friend Lord Morrow I have never been a judge to grant people a divorce, but I have been a minister for over 50 years, marrying people and endeavouring to keep families together. I am delighted that, over those years, people have come to me with the intention of divorce but made another decision on reflection. To this day, they are very happy families. After reflection, speaking to me and receiving advice, they were able to make another decision and heal the breach in the relationship The Government were elected on a promise to strengthen families and acknowledge that a strong society needs strong families. To the best of my knowledge, there was no mention in the manifesto of the no-fault divorce. I believe that time for reflection would be helpful. I would like this Committee and the Government to consider the amendment that the noble Lord, Lord McColl, has brought before us.
ParlaMint-GB_2020-03-03-lords.u124	My Lords, I agree with the noble and learned Lord, Lord Mackay, not for the first time. I particularly want to associate myself with the very humble reflections of the noble Baroness, Lady Burt, and the unparalleled expertise of the noble Baroness, Lady Shackleton, and the noble and learned Baroness, Lady Butler-Sloss. I do not want to repeat what has been said. However, I might shorten what I say about other amendments if I make a few comments now, because I think the noble and learned Baroness, Lady Butler-Sloss, is broadly right: this is a good Bill that will generally not benefit from much amendment, subject to concerns of the Delegated Powers Committee As was rehearsed by many in your Lordships’ House at Second Reading, divorce is not generally a happy matter. I suspect that it is mostly in Hollywood cinema that people celebrate and have parties upon divorce. I have heard of such things, but they are perhaps the exception and not the rule. This is therefore an unhappy subject and an unhappy moment in lots of people’s lives—as it happens, a very significant portion of the population. For some people, it is a story of liberation after trauma; for others, it will be a matter of loss and trauma. It is not a happy matter. The law should be about legal protection and not legal fiction I understand the sentiments of noble Lords who would like people to reflect before they put themselves through this trauma. But I would have more in common with that sentiment if we were seeking to provide counselling for every adolescent and adult in the country, or, indeed, if we were seeking to reinstate the availability of legal aid for people contemplating and going through divorce. In my experience, good family lawyers will always go through a process of reflection with their clients before advising them to go through this traumatic process. Those matters, unfortunately, are beyond the scope of the Bill—I know this because I had a go. I am told by the Public Bill Office that reinstating legal aid for people with contested contact matters is also unfortunately not in the Bill In the future, I would happily talk to any noble Lords who want to persuade the Government that legal aid should be reinstated, at least for matters concerning the children. That would be a very good thing. As I said to the Minister, who very kindly met me yesterday, it seems perverse that if the state seeks to take your children you have access to a lawyer, but if your ex-partner is depriving you of contact you do not. That is a real concern, as are the issues about adequate provision for counselling, mediation and so on; provision is needed. I do not see how people will reflect and reconcile when they have extra hoops to jump through by way of legal process. For that reason, I hope the noble Lord, Lord McColl, will think again about this amendment.
ParlaMint-GB_2020-03-03-lords.u125	My Lords, just as he did at Second Reading, the noble Lord, Lord McColl of Dulwich, has expressed his desire to ensure that those intent on divorce should have the opportunity to consider reconciliation. Of course, we agree with that, which is one reason we are building in a statutory pause: the new 20-week period between application and conditional order. It is also why we are retaining the two-stage order, as well as the bar on divorce applications in the first year of the marriage The noble Lord expressed concern, as did others, that the Government’s statistics give the impression that a significant number of divorce petitions never reach decree absolute. There is, however, no evidence that these represent cases of reconciliation. Indeed, analysis of court data by the Nuffield Foundation, referred to by the noble and learned Baroness, Lady Butler-Sloss, shows that the majority of non-completions are due to the technical difficulties of the legal process for unrepresented parties, the obstruction of respondents and, in some cases, protracted negotiations over finances. Indeed, a sample of 300 undefended cases were analysed, in which 51 were found not to have completed. Only one of those cases was identified as having ended in an attempted reconciliation. It is not only the recent Nuffield research that indicates this. Research undertaken by the University of Newcastle, following the Family Law Act 1996, also found that the decision to divorce was not taken lightly or impetuously; it was typically a protracted one based on months, if not years, of painful and difficult consideration I appreciate the intention behind the amendment; the noble Lord, Lord McColl of Dulwich, spoke of the profound importance of marriage to society and I could not possibly disagree with that. However, we believe that this amendment would have the potentially perverse effect of encouraging speculative applications. Someone facing marital difficulties might file an application saying, “I think my marriage may be over, though I’m not sure. I can always make my mind up after 20 weeks, or after as long as it takes.” As the noble Baronesses, Lady Burt and Lady Shackleton, observed, that is not the process that parties go through in reality. Indeed, as the noble and learned Lord, Lord Mackay of Clashfern, observed, it is inconsistent with the idea that you are applying on the grounds of irretrievable breakdown Applying for divorce should, of course, always be a last resort; certainly, we have seen no evidence that it is anything else. In the vast majority of cases, the applicant reaches the decision after considerable soul-searching and, indeed, after attempts have been made to mend difficulties in the marriage. It should never be seen as a warning shot. Divorce is not a remedy for marital difficulties; it is a remedy for a marriage that is no longer functioning because it has irretrievably broken down. It is right, we suggest, to continue to demand irretrievable breakdown at the point of the initial application as the grounds on which decree could then proceed. Of course, divorce should never be automatic, but again neither this Bill nor any other is going to make divorce easier for those affected by it We consider that the existing ground for divorce, namely irretrievable breakdown, should remain, and I urge the noble Lord to withdraw this amendment.
ParlaMint-GB_2020-03-03-lords.u126	My Lords, I am very grateful for all noble Lords who have taken part in this debate. I have been practising medicine for more years than I care to remember, and I have, almost every day, had to break bad news. I took a great deal of time to get over to medical students that this had to be done gently and with respect. Although my amendment does not seem to have much support, I hope that there is some way in which a person who wants a divorce can indicate to his partner what is in his mind long before he puts down an official request. Breaking bad news does not cost too much money. I beg leave to withdraw the amendment.
ParlaMint-GB_2020-03-03-lords.u127	My Lords, I shall also speak to my Amendment 14 to Clause 3 At Second Reading, I expressed concerns about how the proposals in this Bill would bring a profound shift in power from the respondent to the petitioner, because they propose that the petitioner should be able to initiate the divorce with no notice and that the respondent should have no right to contest Rather than exhibiting a balanced concern for both parties to the marriage, this Bill is, to a greater a degree than is wise, a petitioner’s charter. In its fervour to create a good outcome for the petitioner and the busy court system, however, this Bill demonstrates not only a lack of regard for the respondent but a complete lack of credible regard for any children involved. We must not forget that this momentous life event we are debating in this Bill is not merely a life event for children but is officially classified as an ACE—an adverse childhood experience. Adverse childhood experiences greatly increase the likelihood of children facing damaging impacts on health and other social outcomes, such as alcoholism, misuse of prescription drugs, depression, heart disease and intimate partner violence My concern in tabling my amendment is that we must have the best interests of the children at the forefront of our thinking, not the objective of delivering the petitioner his divorce as quickly as possible. I am, of course, very aware that some have sought to argue that the proposals in this Bill—in removing fault—are motivated by a desire to minimise acrimony and to make the divorce process as amicable as possible, precisely because this will help any children involved. As I will demonstrate, however, this assertion, which at first glance seems to make sense, is in fact deeply problematic First, we need to understand that the vast majority of marriages that end at the moment are already low in conflict. Data from the survey Understanding Society shows that high-conflict warring couples are a rarity among married couples who split in the UK, comprising only 9% of those who split up. In contrast, 60% of married couples who split up were low-conflict and had reported a degree of happiness. Notwithstanding this fact, however, Judith Wallerstein, who conducted a 25-year study on the impact of divorce on children concluded: “Findings from this study challenge the central assumption of our court policy: namely, that if parents refrain from conflict, issues around custody, contact, and economic support will be settled expeditiously, both parents will resume their parenting roles, and the child will resume her normal developmental progress. But it is manifestly misguided to expect that muting conflict between divorced parents by itself will reinstate the course of parenting observed in intact families.”
ParlaMint-GB_2020-03-03-lords.u128	I entirely support the amendment of the noble Baroness. Does she agree that while we talk about the reasons for the mental health of young people, austerity, local councils and educational support, we rarely talk about family? We never talk about parents and we never talk about absent fathers. Does she agree that as a country we are in grave danger of completely ignoring the huge distress and permanent damage done to children every year?
ParlaMint-GB_2020-03-03-lords.u129	I entirely and completely agree with the noble Lord.
ParlaMint-GB_2020-03-03-lords.u130	Some of the damage could be avoided by proper education before people have children, to avoid the distress of having children with the wrong person. There is very little education in school to support that.
ParlaMint-GB_2020-03-03-lords.u131	My Lords, I will speak to Amendments 2 and 14, in my name and that of the noble Baroness, Lady Howe of Idlicote. Before I do so, I welcome the new concept of divorce by mutual decision through a joint application. Anything that reduces the stress, cost and emotional aggravation of a broken-down relationship must be for the good. In previous debates, many noble Lords have attested to the psychological and emotional damage done to children from broken homes. It is one of the Bill’s strengths that a joint application keeps the door open to reconciliation. I very much support the amendment to Clause 1 tabled by the noble and right reverend Lord, Lord Harries of Pentregarth, for the court to send information about mediation and relationship support services, as this could result in reconciliation, particularly in this type of divorce However, there is another dimension to the Bill which has made me really anxious: the treatment of divorce instigated by one party alone. In contrast to the provisions of divorce by mutual decision, the possibility for one party unilaterally to apply for divorce is a step backwards, at odds with our manifesto commitment to strengthen families. As I see it, the Bill’s fundamental weakness, as repeated by noble Lords many times in previous debates, is to discriminate in favour of the applicant against the recipient. I call them the recipient because this person has no right to respond. In practice, it would allow divorce by unilateral denunciation. It removes all rights and protections from the recipient and ignores two of the most contentious issues when a marriage breaks down: the financial settlement and arrangements for the children It could result in a situation where the recipient is left without financial provision and even access to his or her children, tantamount in extreme cases to parental abduction. This is unacceptable. It would contravene the UN Convention on the Rights of the Child to see and have access to both parents. It is also especially cruel to those of modest means who cannot afford to hire a lawyer to try to remedy the situation. It is hard to see how such a narrow focus on divorce, excluding money and children, can be justified when they are inextricably linked The Bill claims to remove family conflict as much as possible when reconciliation is impossible, but you do not need to go through a contentious divorce, as I have—some noble and learned Lords in this House know about my case—to know that the greatest source of conflict between couples is not about whether or not you want to divorce but about financial settlements and with whom and where the children will live. This is the moment when children really become embroiled in litigation between their parents and find themselves put in an impossible position. This is particularly so today, as children are more and more involved in court proceedings. Judges tend to interview them to find out how they feel and with which parent they want to live —in other words, asking children to choose between their parents. This can often lead to one parent manipulating the child against the other parent, so that when the child speaks in court, they will say bad things about the other parent. Sometimes children are even convinced that they have been sexually abused by one parent I speak from experience. I am not a judge; I have not been looking at other people’s cases from the outside. I have been on the inside: I founded a charity called Action Against Abduction. I have spoken to many parents and, indeed, adult children who have grown up after horrible experiences when they were young. We made a documentary about it, and I can tell noble Lords—and this is why I feel quite strongly about the Bill—that the effect on children is devastating. The point about the Bill is that it is fine if people agree, but that does not apply to everybody. The law should protect the most vulnerable, and the most vulnerable are the children. The most complicated cases are those in which parents do not agree. Giving one parent the right to divorce without the courts having even looked at the financial situation or the welfare of the children is very difficult. I hope most noble Lords will help me support this amendment.
ParlaMint-GB_2020-03-03-lords.u132	My Lords, I absolutely disagree that this is a petitioner’s charter. It is a way of bringing a failed marriage to an end. If noble Lords think about it, if one member of a couple says, “This marriage is at an end; in my view it has irretrievably broken down,” what on earth can you do about it? I am not sure whether noble Lords who have been speaking are expecting a couple who cannot get on to go on living together. If one side says that it is at an end, there is no longer a consensual marriage. Having been happily married for many, many years—
ParlaMint-GB_2020-03-03-lords.u133	Is the noble and learned Baroness actually saying that there is no possibility of that person changing their mind?
ParlaMint-GB_2020-03-03-lords.u134	Of course there are wonderful situations where reasonable couples talk it through and decide not to do it, whether for themselves or for their children. In some cases, that works and in some cases it does not. But there is no doubt that there are many, many people who seek to bring a marriage to an end because, from the point of view of that person, their marriage is no longer one that that they can endure. A lot of people leave. In the famous Owens divorce case that went to the Supreme Court, the couple are still married because five years is not up and there was no consent by the husband. The wife did not stay: she is not living with the husband who would not allow a divorce; she has moved out. There they are living separately, but not divorcing. Is that a happy situation The Bill is not a petitioner’s charter; it is an opportunity taken by the Government—and I congratulate them—to deal with the very important research that shows that unhappy marriages are not good for children. I do not understand how, if a couple do not get on, or if it is a case of domestic abuse—and we know how serious domestic abuse is—and the victim of the abuse wants to bring it to an end, they should not be allowed to do so. I cannot believe what is happening to the children while she—it is usually a she, but not always—remains in the house with the children and the domestic abuser. There is a great deal of evidence about that Fortunately, most parents, when they bring their marriage to an end, are civilised about it and about the children. The important thing about this Bill is that it is dealing with the issue of divorce and leaving the two extremely important issues—the most important issues of all—of what happens to the children and the financial outcome to be dealt with, I hope, in further legislation. The issue of children does not have to be dealt with in further legislation; the various Children Acts have dealt with that, whether they are the children of those who are married or of those who are not. Finance desperately needs changing—I suspect that the noble Baroness, Lady Shackleton, will say more about that today. It absolutely needs to be looked at, and I hope that the Government will go for a consultation paper on how we can improve legislation that dates back to as long ago as 1973, and which certainly needs an update. However, that is not a reason not to have the Bill.
ParlaMint-GB_2020-03-03-lords.u135	This is not about the finances. When the noble and learned Lord, Lord Mackay, brought in the Children Act, it took away the stigma of custody. That Act as been a godsend to all of us, as we do not have to identify which party has care and control—custody. It has been the most enormous success, for which everybody who practises in this field is eternally grateful. I suspect that it was considered very novel at the time People forget that most responsible solicitors, when somebody who wants a divorce comes to see them, go through with their clients the possibility of not getting a divorce. I believe passionately in marriage—I am a patron of the Marriage Foundation, which supports the Bill—but by the time somebody wants out, they want out. I cannot tell your Lordships how many people are shocked when I say to them, “Are you sure you really want this? It’s not necessarily greener on the other side.” They say, “Do you really think I saved up the courage to come and see you to be told to go back and try a bit harder?” Once the game is up and the marriage is over—once it is dead—clinging on to it is not in the children’s interest at all. People need to move on. You cannot make somebody who is unhappy happy. It takes one person to make the marriage unhappy and two people to make it happy. The Bill goes some way towards addressing that problem.
ParlaMint-GB_2020-03-03-lords.u136	I will just finish with the two further points I wanted to make On the amendment moved by the noble Baroness, Lady Howe, with which, as noble Lords may have gathered, I do not agree, I cannot see how a court can adequately assess whether the children will be better off if the parents, one of whom wants a divorce, are still together or separated. There will be a difficult balancing act for the judge, and it will take a long time, because the family courts are seriously overburdened. How on earth will you find time to do this, and between a couple who will not be represented? As the noble Baroness, Lady Chakrabarti, said, there is no legal aid for couples who divorce, so the judge will have two people at odds with each other, with one or perhaps both determined to be divorced, and the children in the middle. The children ought to be informed of what is going on, but very often they are not. They need help at that time from parents who do not realise that they need help, and they particularly need information. But how on earth is the judge—or the magistrates, but in particular the judge—to say to the couple, “What is going to happen if you’re together or if you’re parted? How on earth am I to find out which way the children would want it to be?”? Particularly in cases where there is domestic abuse, the sooner that couple is parted, the better. So I am very concerned about this proposal Of course, we should be very careful about what we do regarding the welfare of children. However, research from the University of Exeter and the Nuffield Foundation found that where the parents cannot agree, very often the children would be better off by having them separate, and what their future ought to be can then be dealt with under the Children Acts.
ParlaMint-GB_2020-03-03-lords.u137	My Lords, I can see the sentiment behind considering the interests of the children in this matter. We will all have been moved by the testimony of the noble Baroness, Lady Meyer, about the terrible experience that she and her children underwent, but this amendment would hand the court the impossible task of deciding what is in the children’s interests without the mechanisms to do so, as the noble and learned Baroness, Lady Butler-Sloss, just said How would you implement a judgment forcing parents to stay together in the children’s interests? You cannot force a couple to stay together any more than you can order warring parents to create a loving environment. I hope that we are past the stage where parents stay together for the sake of the children—unless it is a mutual voluntary agreement—because, on the whole, that has been shown to do more harm than good. Children may fare better from having two loving parents who live in different places, often with different families of all kinds. Love and the secure knowledge that they are loved are what matters, no matter who makes up their family. Research has shown that parents are usually the best judge of what is in their children’s interests. Where this is not feasible, the family courts are there to help I am afraid that we will not support the amendment from these Benches.
ParlaMint-GB_2020-03-03-lords.u138	My Lords, I am pleased to support Amendments 2 and 14 in the name of the noble Baroness, Lady Howe I note with interest that these amendments were tabled in the last Session in another place by the right honourable Frank Field, who served with great distinction from 1979 until last November as the Member of Parliament for Birkenhead. He made a significant contribution to children’s issues and chaired the Field review on early years intervention. I am sure he will be pleased that the noble Baroness has taken up these amendments, which could not be debated in the other place Divorce affects a community: the adults involved, their friends and families and, of course, the children. The likelihood is that the effects on most children will be long-lasting. Children have to watch their parents go through a divorce, then continue their lives afterward. The research base demonstrating the damage to children from divorce is so widespread—the fact that it is now recognised as an adverse children experience, or ACE, has already been alluded to—that I will not detain the House by looking at it in any detail other than to note that family breakdown is now recognised as the biggest factor behind the UK’s child mental health crisis. More than a third of children whose parents had split up reported poor mental health, compared with a fifth of children with parents who were still together. Moreover, Hetherington and Kelly’s research interviewing the children of divorce later in life revealed that 20% to 25% of children of divorce continue to suffer lasting social and psychological problems in adulthood, compared with just 10% of children from intact families The fact is that, after a divorce, children find themselves in a difficult situation. As has been referred to, Cockett and Tripp’s work in The Exeter Family Study demonstrates how divorce changes family life. Their research showed that in parental conflict during marriage, the child may be able to remain on the sidelines, whereas after divorce, they may be obliged to take a central role; for example, carrying messages between resident and non-resident parents who find that they are unable to communicate face to face. Children in re-ordered families reported that their parents frequently told tales about each other or each other’s new partners. Children also sometimes felt that they had to suppress telling one parent about enjoyable times they had had with the other, or had actually been asked by one parent to keep something secret from their former partner Inevitably, the child’s relationship with their parents changes; for example, one may move away and the other may become more prominent in their life while finding their own way after the divorce, potentially with less financial resources. The child might find that they have to move to be with a parent and change school. A recent article on parental divorce or separation and children’s mental health said: “Marital instability presents not a single risk factor, but a cascade of sequelae for children.”
ParlaMint-GB_2020-03-03-lords.u139	My Lords, I will make one correction. This amendment is not about forcing parents to stay together. It asks for the courts to be satisfied that the well-being of the children has been considered before the final divorce is granted.
ParlaMint-GB_2020-03-03-lords.u140	My Lords, I support Amendments 2 and 4. First, I would like to say how much I agree with the noble Baroness, Lady Shackleton, when she talks about education, because I too have been an advocate and supporter of education on marriage, parenting and relationships for many years. I believe that it would make such a difference to the outcome of the pain and suffering that too many people go through, and which directly affects children However, in all our debates on the Bill we must not forget children. They are innocent parties in family break-ups, and everything we decide in this House, or in the other place, must not neglect their interests. So much of our family policy is built on the principle of what is in the best interests of the child. But when it comes to divorce, which can be devastating for children, the focus is too often solely on the interests of adults. This is why I am supporting these amendments The stated aim of the Bill is to reduce acrimony in divorce proceedings. The former Minister of Justice stated in the Government’s response to the consultation in April 2019 that this will “support better outcomes for children.”—[Official Report, Commons, 9/4/19; col. 8WS.] Supporters of the Bill claim that children of married parents who argue will be better off if their parents can divorce more easily, without having to allege fault. The logic is that parents continuing their marriage is more damaging to children than simply ending the relationship. The truth is that children need not be involved in any consideration of fault, but they are necessarily involved in the fact of divorce. It is the fact of divorce, not the process, that is harmful to children The Exeter Family Study found that divorce does not usually reduce conflict for the children. In fact, the opposite is true. The study says that “the experience of most children whose parents have divorced is of increased conflict over an extended period, with the child involved to an extent that may not have been the case while the marriage lasted.” Once parents have officially split, the door is open to children being the subject of disagreements in a way they never were before. These findings are corroborated by a US study that shows that children suffer negative consequences even if their parents divorce amicably. The authors express concern that “some parents are lulled into believing” that a good divorce will mean “that their children are adequately protected from all of the potential risks of union disruption.” There are of course exceptions, where divorce is the only and best alternative, especially when it comes to domestic violence and abuse. However, there is so much research that shows the benefits for children of living with their married parents, and the harm the divorce does to children. For example, having married parents increases the chances of getting a university degree. It is better for teenagers’ mental health and increases a person’s chances of getting married themselves. Young people whose parents separate are much more likely to become homeless and get into trouble with the law. Behavioural and emotional problems are also more likely to be found in children from broken homes There have been studies suggesting that children suffer more from divorce than from the death of a parent, and that this continues long term. Various reasons are offered for this. One is that divorce is seen as a choice. From a child’s perspective, their parent chooses to leave them, resulting in a sense of deliberate abandonment. There is also the ongoing yearning for reconciliation, while death is final. Children often cling for many years to the hope of their parents reconciling, causing reoccurring disappointment. I state all this to emphasise the importance of children’s interests in these debates. They should be front and centre in decisions about divorce, including in the court’s consideration of a divorce application I fear that this Bill will make divorce quicker and easier, leaving less time and motivation to compromise or attempt to reconcile—and children will suffer. I believe that these amendments help to focus on these innocent victims—because, remember, childhood lasts a lifetime.
ParlaMint-GB_2020-03-03-lords.u141	My Lords, I need no conviction that children are better when their parents continue together, undivorced. I am strongly in favour of helping people who run into difficulties in their marriage. Various things can happen that require help. One of the amendments today refers to part of the 1996 Act that is still in force, providing money to help people to overcome these difficulties I need no conviction that divorce is bad for children, but I do need conviction that, if the parents are determined to divorce, nothing can be done to make it better for the children. That is where the arrangements under the Children Act are important. I believe that they are as good as can be achieved, but the important thing is that I would much prefer no divorce at all. We must concentrate on trying to keep parents together and keep the marriage going as a marriage and not in any other way I cannot see that the court can say, “This divorce is not good for the children” or “This divorce is good for the children”. Can noble Lords imagine a judge having to decide whether a divorce is good for the children? The answer is no in every case I know of: it is not a good thing for children that their parents have reached the conclusion that they have to divorce, as I said earlier. It is like tearing the children apart, because they love both parents and are very upset when anything happens to part them—but, sadly, the responsibility for staying together is with the parents. I strongly believe that doing everything that can be done to help them to stay together is the best help for the children.
