ParlaMint-GB_2020-09-15-commons.u1	What fiscal support he is providing to mitigate the economic effects of the covid-19 outbreak.
ParlaMint-GB_2020-09-15-commons.u185	On the rule of six, I completely agree with my right hon. Friend about the importance of clarity and simplicity. Early on in the pandemic, we saw some of the problems that arise when different rules kick in in different parts of the United Kingdom. On that point, is there not a strong case for having one simple, understandable rule of six that applies right across the country and has high levels of public support? To that end, I encourage my right hon. Friend to keep an open mind about the rule of six that is in place in Wales and Scotland and the exemption of small children.
ParlaMint-GB_2020-09-15-commons.u186	I absolutely keep an open mind on all these things. We are constantly looking at the evidence and data, and updating policy accordingly. We have made the decision on the basis that I explained. Of course, I understand the other point of view, but the cause of simplicity and clarity of explanation won the day.
ParlaMint-GB_2020-09-15-commons.u187	My constituent in Barnsley has been trying for seven days to get a test for her teenage son after he was sent home from school with a temperature. She has been offered a test in Bolton, Edgbaston and Oldham, and nearly 400 miles away, in Inverness. When will the Secretary of State stop denying that there is a problem, apologise to my constituent and sort out access to testing, once and for all?
ParlaMint-GB_2020-09-15-commons.u188	I ask the hon. Lady to get in contact with me about that individual case; 686 people in Barnsley got tests yesterday, and I am sure we can ensure that her constituent gets that test.
ParlaMint-GB_2020-09-15-commons.u189	As demand for testing increases, some of my constituents are struggling to get slots, are having to travel significant distances or are even being turned away from mobile test centres. So will my right hon. Friend confirm whether the Government’s plans to increase capacity are aiming for 10 million tests a day or the 2 million to 3 million that Sir John Bell talked about this morning? As part of that welcome boost, will my right hon. Friend look carefully at my request for a public testing site in King’s Lynn?
ParlaMint-GB_2020-09-15-commons.u190	I will absolutely look at my hon. Friend’s request on King’s Lynn. Thankfully, after an outbreak a couple of weeks ago, the number of positive test results in Norfolk has come right down. I commend the work of Norfolk County Council, my hon. Friend and colleagues from across Norfolk, who have done so much to ensure that the public messages get through. On the “moonshot”, we do not have and have not had any plans for 10 million tests a day, but we do have a goal to get to the millions of tests a day when we can. That is dependent on new technology, so that is what we need to drive forward. It is vital for this country, for the resolution of exactly the problems we are talking about today, and then for expanding testing availability more widely that we really embrace those new technologies.
ParlaMint-GB_2020-09-15-commons.u191	Yesterday, I was contacted by an NHS nurse who had spent the weekend unsuccessfully trying to get a test for her symptomatic seven-year-old. On Friday, I visited the new Brinnington test centre in my constituency. It was very quiet, yet it seems to have been unable to offer a test to a nurse, who, it seems, will now need to take time off work. Is that what world-beating looks like? What is going on?
ParlaMint-GB_2020-09-15-commons.u192	Again, I am happy to try to solve the individual issue for the nurse, not least because the figures that I read out for Stockport do not include the NHS capacity, which is there for NHS staff in order to resolve exactly the sort of issue that the hon. Gentleman talks about.
ParlaMint-GB_2020-09-15-commons.u193	Cancer Research UK estimates that the screening backlog because of covid-19 might mean that as many as 3 million people are waiting. Will the Secretary of State update us on the work he is doing to ensure that all areas of the NHS are able to carry out screening programmes and on the work he is doing to reassure people that it is safe to attend these screening tests?
ParlaMint-GB_2020-09-15-commons.u194	That is an incredibly important subject, as we need to make sure we get the screening available. It ties into the questions on testing, because prioritising testing for those about to have NHS procedures, be they diagnostic, such as screening, or an operation of some sort, is so important, for instance, in making sure that we tackle the backlog in cancer cases that inevitably built up. We are tackling that backlog and it is down by about half. I am happy to work with my hon. Friend and all others in this House to make sure that people get the early diagnosis of cancer that can so often be lifesaving.
ParlaMint-GB_2020-09-15-commons.u195	The Secretary of State will be aware of a recent survey which found that one third of children feel more anxious, sad and stressed now than before lockdown. The charity Action for Children has therefore asked the Government to prioritise children’s mental health in covid-19 recovery planning and provide adequate funding to meet this demand. Could he tell the House exactly what he has done about that and when we can expect him to announce a covid recovery mental health strategy?
ParlaMint-GB_2020-09-15-commons.u196	This is an incredibly important subject, and I commend the hon. Lady for raising it and for her work on it, along with many Members across the House. We are putting more funding into mental health, and paediatric mental health in particular, to ensure that we tackle the inevitable consequences of the pandemic.
ParlaMint-GB_2020-09-15-commons.u197	“Hands, face, space” has been the public safety message for weeks now. However, I feel that the public are not as safe as they could be. What thought has my right hon. Friend given to ensuring that face masks and hand sanitiser offer the fullest protection by regulating for the need to meet set safety criteria, whether that be the British Standards Institution standard or the World Health Organisation formula for hand sanitiser, so that we are all as safe as possible using these mitigating factors?
ParlaMint-GB_2020-09-15-commons.u198	We do have a standard for clinical masks, but for the widespread use of face coverings, we do not set a standard, because the evidence is that for the general public, using a face covering can make a big difference without drawing on the supply of clinical masks for personal protective equipment. Standards are set by the European Union that define what can be put into a hand sanitiser, but I am happy to work with my hon. Friend on the details if that needs to be strengthened.
ParlaMint-GB_2020-09-15-commons.u199	A world-beating app that is nowhere to be seen, the national R rate rocketing and local testing all but impossible—in Ealing, we would be lucky to get offered a test in Aberdeen—all bode ill for the start of the educational year. With press reports swirling around that there are hundreds of school outbreaks already, can the Secretary of State tell us exactly how many of those there are? Can he up the number of testing kits that schools are supplied with from 10 a piece? As universities go back, which means that people will be moving around bits of the country with different infection rates, can he ensure that everyone on campus gets a test, whether they have symptoms or not? We cannot let education be the next care homes crisis.
ParlaMint-GB_2020-09-15-commons.u200	The hon. Lady raises important points. It is important to note that in Ealing, 462 people got a test yesterday, so tests are widely available in Ealing. The other issue she raises about ensuring that schools and universities have access to testing is important within the prioritisation. As she knows, we have sent tests to every school for use in exceptional circumstances when they need them. It is very important that those tests are used when people are symptomatic, rather than asymptomatic.
ParlaMint-GB_2020-09-15-commons.u201	Last week, a mobile covid testing centre was set up in Ashfield, which helped hundreds of my constituents to get a test, but over the weekend, several constituents said that they struggled to book online due to the demand. Will my right hon. Friend advise the people of Ashfield what more can be done to ensure that everyone in my constituency who needs a test gets a test?
ParlaMint-GB_2020-09-15-commons.u202	We have put the extra capacity into Ashfield that my hon. Friend talks about, and I am delighted that the number of people in Ashfield who are getting a test has therefore increased. We have to get to a position where everybody who needs a test can get a test, ensuring that we follow the prioritisation. I look forward to working with him to fix the problem in Ashfield and across the country.
ParlaMint-GB_2020-09-15-commons.u203	In Warrington we have seen spiking numbers, with over 200 confirmed cases in the most recent weekly figures. Our rate is now the sixth highest in England, and we have real issues with demand for testing far outstripping local capacity. Can the Secretary of State outline what additional support he will give to Warrington Borough Council to increase our testing capacity, so that we do not have to go back into lockdown like our Greater Manchester neighbours?
ParlaMint-GB_2020-09-15-commons.u204	Yes, absolutely. The hon. Lady is right to raise the concerns in Warrington about the increase in the number of people testing positive. I am happy to work with her, Warrington Borough Council and my hon. Friend the Member for Warrington South (Andy Carter) to ensure that we get the best possible response, including putting in that extra testing.
ParlaMint-GB_2020-09-15-commons.u205	Traditionally, the start of the autumn term is the peak for returning schoolchildren showing signs of colds and sniffles. I am now increasingly getting reports from my constituency of young children being turned away or returned from nurseries and primary schools if they display any cold symptoms. I am afraid that I have to tell the Secretary of State that testing is not at a record high in my constituency, because of capacity being moved up north and to hotspots, despite Worthing now being on the watch list because of a single outbreak of 23 people not abiding by the regulations. I heard yesterday from a constituent who had been referred from the Sussex coast all the way to Aberdeen. Can he not forget those very young children and the huge impact that they can have on families and schools if testing is not properly available for them?
ParlaMint-GB_2020-09-15-commons.u206	Yes, of course. It is so important in Worthing, as it is across the rest of the country, that we prioritise the testing that we have. My hon. Friend is quite right that, when schools go back, children often do get a cold, a non-coronavirus illness—a normal illness if you like. Obviously, that is contributing to the increase in demand, as well as people who are not eligible coming forward. That is one reason why we have been building capacity throughout the summer, and I look forward to working with him to make sure that we solve the problems in Worthing.
ParlaMint-GB_2020-09-15-commons.u207	Greater Manchester is a covid hotspot. The nearest testing centres to me are: Hyde, one and a half miles; Ashton, three miles; Brinnington, three miles; Belle Vue, four miles; Etihad Campus, five miles; Oldham, nine miles; and Manchester Airport, 11 miles. They might be testing there, but local people cannot get slots. Instead, too many of my constituents have been allocated: Telford, a 152-mile round trip; Llandudno, 174 miles; Leicester, 216 miles; Glasgow, 450 miles; and Aberdeen, a 716-mile round trip. My constituents do not want to become superspreaders, so why is this world-beating system going so spectacularly wrong for them?
ParlaMint-GB_2020-09-15-commons.u208	As the hon. Gentleman outlined in his question, we have put an enormous amount of testing into Manchester. There is availability in Manchester because there is a prioritisation on testing. Because it is such an outbreak area, we have put in a huge quantity of tests. As I have said repeatedly, there are operational challenges, but thousands of people are being tested in Manchester every day, to get a grip of the outbreak there.
ParlaMint-GB_2020-09-15-commons.u209	My right hon. Friend has my sympathy and support as he discharges his duties. He is well aware of the position across the west midlands and, in particular, in the royal town of Sutton Coldfield, where we do have testing difficulties. I am very concerned to hear today that Ley Hill Surgery has no fewer than four GPs who are having to self-isolate and cannot get a test. May I make two points to him? First, I join with those who want an exemption for informal childcare, so that parents in certain circumstances can still go to work. Secondly, I ask him to look at a system whereby all Members of Parliament get access to regular infection rate details both by local government wards and by postcodes?
ParlaMint-GB_2020-09-15-commons.u210	I am very grateful for my right hon. Friend’s support. I am working very closely with him and with the other Birmingham MPs, because there is a serious challenge in Birmingham and in other parts of the west midlands. On the point about getting the data down to a ward level, I will absolutely ensure that he gets that data. We look at it down to a lower super-output area level, and we publish that data weekly. I will ensure that it gets to him and that we get the full details of exactly how many cases there are in each part of Birmingham. I recognise that, while Sutton Coldfield is in the Birmingham local authority, it has a distinct geography within that area. As he knows, both from our discussions and from how we have acted in other parts of the country, we will take action on a sub-local authority area where that is supported by the data. Unfortunately, for now, we do have that local action in Sutton Coldfield, but we keep it constantly under review.
ParlaMint-GB_2020-09-15-commons.u211	Has the Secretary of State seen today’s analysis revealing the terrifying scale of the backlog in cancer treatment and diagnostics? It is now clear that it would take the system operating at 135% capacity for six whole months just to catch up with where we were in March. Until then, the tragic reality is that people in my constituency and around the country will be unnecessarily losing their lives. I beg him to urgently meet the clinician-led Catch Up With Cancer campaign so that we can give him the solutions to boost cancer services and save tens of thousands of lives.
ParlaMint-GB_2020-09-15-commons.u212	I am very happy to meet the campaign. Of course I have seen the reports. I feel very strongly about this. We have worked very hard to get through the backlog, and we are making progress against that backlog. Nevertheless, I am happy to look at anything we can do to speed that up, so I look forward to listening to the details of what we can do.
ParlaMint-GB_2020-09-15-commons.u213	As my right hon. Friend knows, sporting venues are suffering financially because of the restrictions, and it does not help when planned pilot events are cancelled at the last minute. Who takes the decisions on whether to allow pilot events to carry on—is it done centrally, locally or a combination of both? There is a feeling that there is some confusion.
ParlaMint-GB_2020-09-15-commons.u214	My colleague the Culture Secretary is responsible for the programme of pilot events. For a pilot event to go ahead, it needs both the support of the local council and to have been advised as covid-secure by Public Health England. The Department for Digital, Culture, Media and Sport takes the lead. As the MP for Newmarket—one of the four towns in my constituency relies on sport, as do the livelihoods of thousands of my constituents—of course I understand the impact, in exactly the same way that my hon. Friend does, as the MP for Cheltenham racecourse. I speak a lot to the Culture Secretary and the Prime Minister about this subject. I hope that we can get as much going as fast as possible, but safely.
ParlaMint-GB_2020-09-15-commons.u215	I understand that it is not dead easy, but rather than come here and give us big numbers about tests completed or the average journey, why does the Secretary of State not listen to what people in all parts of the House are telling him today? Why does he not try to understand what it is like to be a parent in special-measures Birmingham who is directed to Oldham for a test when there is a walk-in centre two miles down the road virtually empty? Will he just recognise that there is a problem and tell us what he is going to do to try to put it right?
ParlaMint-GB_2020-09-15-commons.u216	Yes, I absolutely recognise that there are challenges: I set them out in my initial answer and have done repeatedly. I urge colleagues in all parts of the House, and the hon. Gentleman, for whom I have huge respect, to accept that we are only going to solve these problems if we use the data as our guide.
ParlaMint-GB_2020-09-15-commons.u217	I have constituents in Scunthorpe who have struggled to access a face-to-face GP appointment. Can my right hon. Friend reassure those constituents that, should they need one, they will be able to have one?
ParlaMint-GB_2020-09-15-commons.u218	Yes. There is no greater supporter than me of the ability to access medicine by telemedicine. It is an incredibly important option that is available and should be a choice for our constituents. We have made access by telemedicine the default method unless there is a good clinical reason not to use it. It is, however, as I have always set out, critical that there is face-to-face access as well. The NHS has written to all GPs to explain that while telemedicine should always be available, and that option should be available where it is clinically right, face-to-face appointments should also always be available and are absolutely necessary. The combination of the two is the future of the NHS.
ParlaMint-GB_2020-09-15-commons.u219	People in Sandwell and Birmingham certainly want to know why their whole boroughs are being suddenly locked down and not just the currently affected areas within them, but they also need a plan on how we are going to contain the virus without paralysing society and the economy. We may have to coexist for years with the virus, as countless societies and countries have had to live with many awful diseases over millennia, and even now today, so when are we going to transit from reactive risk avoidance to prudent risk management?
ParlaMint-GB_2020-09-15-commons.u220	We absolutely need to control this virus. I very much hope that we will make very significant progress, through treatments and vaccines, within the sorts of times that I set out previously—definitely in less than a millennium. I think that we will make significant progress in the coming months. However, in that time, we do have to control the virus We took the action in Sandwell having looked carefully at the data. Working with the right hon. Gentleman’s local authority, we also looked carefully at whether we should only put some parts of Sandwell under local measures—in particular, the Smethwick area was much more significantly affected earlier on—but it was clear that the virus was spreading throughout Sandwell, so working with the local authority, we decided to take local action across the whole district. That is the sort of action that we have to take The strategy that I have set out many times at this Dispatch Box is that social distancing is the first line of defence: the rule of six, and hands, face and space. The next line of defence is testing and tracing, which is why it is so important that we have record testing capacity and are trying to boost that further. The next line of defence is local action and ensuring that we do take that local action where necessary, even though it is uncomfortable to do so.
ParlaMint-GB_2020-09-15-commons.u221	I thank the Secretary of State for his visit to Shotley Bridge in my constituency yesterday and look forward to working with him on the campaign for a new community hospital in the coming months. I welcome the massive increase in testing, including the mobile testing unit that has been at Consett AFC over the past few days. Across the north-east more broadly, we are seeing an uptick in the virus. The Secretary of State has now had meetings with various north-east councils on this issue, and I encourage him to give local authorities the powers they need to enable targeted local action in the north-east if necessary.
ParlaMint-GB_2020-09-15-commons.u222	It was a real pleasure to be in Shotley Bridge yesterday, to meet my hon. Friend there and to visit Shotley Bridge Hospital. He and the whole House know that we will build 40 new hospitals, so it was interesting to see the plans that are in place. I will absolutely take away his point about the rise in cases in the north-east. The seven north-east councils have written to me with a proposal for tackling that increase. I have been studying their proposal and will make an announcement as soon as a decision has been made.
ParlaMint-GB_2020-09-15-commons.u223	We have heard about people in England registering as coming from Aberdeen and perhaps other places. Is the Secretary of State not concerned, as I am, that this may completely undermine the data and any resultant decision that is taken to act on and manage what might appear to be a Scottish outbreak?
ParlaMint-GB_2020-09-15-commons.u224	Obviously, I talk to the Scottish Government, who are responsible for local action in Scotland. We work as closely as we can to try to bring both the UK capacity and the local capacity to bear. We have put much more testing in Aberdeen, which is right, and I support the Scottish Government in the action that they take to bring down the number of cases there.
ParlaMint-GB_2020-09-15-commons.u225	May I congratulate the Secretary of State on the biggest testing regime in this nation’s history? Twenty million tests is a monumental feat. That said, it would be wrong of me not to highlight the calls that my office received at the tail end of last week and yesterday, with people in Cornwall unable to access tests. What progress is he making on expanding the number of tests in Cornwall so that my constituents can access them?
ParlaMint-GB_2020-09-15-commons.u226	There have been more than 600 tests a day in Cornwall over the past couple of days, so people in Cornwall can access tests—and it is very important, if they have symptoms, that they continue to do so—but of course I acknowledge the challenges that have been faced as well. We want to increase testing capacity right across the board. Sometimes we have to discuss difficult issues in this House, but I am pleased to say—especially with so many people having gone to Cornwall over the summer, because, as I can personally attest, it is such a wonderful place to have a summer holiday—that the case rate in Cornwall has stayed really low. I pay tribute to everyone in Cornwall for the work that they are doing on social distancing, on hands, face and space, and on being cautious and careful to stop the spread of the virus. Let us hope that that remains the case.
ParlaMint-GB_2020-09-15-commons.u227	There are three testing centres in Coventry, but constituents have told me of their distress and despair that they cannot access a test. Some cannot book a test anywhere, while others have booked only to be turned away at the centres. There are also cases of people in Coventry being directed as far away as Inverness. The Government have had six months to get testing sorted, and this is a complete and utter farce. The Secretary of State’s quoting figures is not good enough, so when will this mess be fixed and when will my constituents be able to access the tests that they need?
ParlaMint-GB_2020-09-15-commons.u228	Of course, as the hon. Lady well knows, we are working both to increase capacity and to ensure that we have prioritisation so that the people who need a test most can get access to those tests. I am sure she will agree that it is important not only to listen to voices and the stories of those people who have had difficult experiences, but to ensure that we look at the facts on the ground. There were 762 people yesterday who got a test in Coventry, and that is an increase over the previous week. I am really pleased that we are able to do hundreds of tests a day in Coventry, but I appreciate that we need to keep expanding capacity.
ParlaMint-GB_2020-09-15-commons.u229	I am really keen that we proceed on the basis of reliable and agreed evidence, so what would the Secretary of State say to people who point to Sweden as an example of how we can control the virus and minimise the impact on the economy and our social lives?
ParlaMint-GB_2020-09-15-commons.u230	I have looked very closely at the situation in Sweden, and the challenge is that Sweden brought in significant laws curtailing social activity and that the population in Sweden followed more closely more than in almost any other country in the world a lot of guidance that was not enforced by law. The case rate in Sweden was also higher than in other geographically comparable countries The conclusion I have come to is that the approach we are taking, where we look around the world, learn from similar countries and take action where necessary, is the best way to control the virus and protect the economy. The rule of six is designed to try to restrict the transmission where we see it happening most, which is in social circumstances, and to protect the economy as much as possible by keeping the economy open within those social constraints. We are constantly vigilant and we are looking around the world for other examples of where we might be able to make changes. As my hon. Friend knows, we have made changes to our approach as we have learned throughout this unprecedented pandemic.
ParlaMint-GB_2020-09-15-commons.u231	My constituent Rachel has an 11-year-old daughter who came down with covid symptoms on Sunday. All her family have spent days self-isolating and desperately trying to book a test. At one point, they were directed to Wales, which is a six-hour round trip. At the same time, Rachel has seen private tests for £140, and often much more, that seem to be easily available. Does the Health Secretary think that this disparity is acceptable?
ParlaMint-GB_2020-09-15-commons.u232	We do not recommend any private tests that are not signed off and verified. Therefore we are providing as many tests as we possibly can with a growing capacity. If the hon. Gentleman writes to me with the details of that individual case, I will absolutely look into it and make sure that one of the hundreds of tests that are being done in Ealing today is available for his constituent.
ParlaMint-GB_2020-09-15-commons.u233	Having raised the issue of testing capacity in Buckinghamshire last week, I am enormously grateful to my right hon. Friend for the supply of two mobile testing units this week, in the town of Buckingham and in neighbouring Aylesbury, but like many hon. and right hon. Members I also continue to receive a lot of emails every day from constituents unable to access testing, so will he update the House on progress for a permanent uplift in the capacity for Buckinghamshire residents?
ParlaMint-GB_2020-09-15-commons.u234	Yes, of course. My hon. Friend is right to raise the issue, and we have put more testing into Buckingham. There are hundreds of tests available across Buckinghamshire for his constituents and others, and we are working hard to ensure that the overall capacity has increased as well. Our constituents understandably want to get access to a test whenever they want one, and I understand that yearning, but we have to prioritise and, as I said in my opening answer, we have to put NHS and social care needs at the top of the list. I make no bones about that prioritisation, but at the same time we need to get overall capacity up, which is what we are working incredibly hard to do.
ParlaMint-GB_2020-09-15-commons.u235	Like elsewhere, the numbers in Harrow with covid are on the rise. Tests are available for key workers, but I am told that parents and their children cannot get a covid test “for love nor money” in Harrow or near Harrow. I say gently to the Secretary of State that that does not yet feel like a world-leading test and trace system. Will he take a specific look at the circumstances in Harrow, and in particular why the nearby test centre at Heathrow is so unused at the moment?
ParlaMint-GB_2020-09-15-commons.u236	The hon. Gentleman makes an important case for Harrow and I am very happy to take a look at Harrow specifically. The capacity constraint is in the labs, rather than the centres. We have the centres available to be able to process a huge amount of tests. We have record capacity in the labs, but it is in the labs where there is the constraint. We are bringing in more machines. More are being installed all the time, which is why capacity is constantly going up. Nevertheless, we clearly need to keep driving at that, because demand is going up as well.
ParlaMint-GB_2020-09-15-commons.u237	We need to use every tool at our disposal to stop the spread of coronavirus. I welcome the news that the NHS contact-tracing app will be available by the end of the month, and I welcome the news that it will be available throughout England and Wales. Will my right hon. Friend join me in urging businesses in Bridgend to get prepared with the NHS QR code scan poster?
ParlaMint-GB_2020-09-15-commons.u238	Yes. The NHS covid-19 app, which will be available this month, will, as one of its features, ensure that people can go to a pub, restaurant or hospitality venue and scan the QR code quickly. Contact details will then be safely collected in case they are needed for contact tracing purposes. We are making the scheme mandatory. It has been very successful voluntarily and we are going to roll it out mandatorily, so I urge hospitality businesses in Bridgend, and right across England and Wales, to download a QR code for themselves and put it where it is very easy to use and obvious, so that all of us, when we go to the pub in Bridgend or anywhere else, can very easily scan in. If there is an outbreak, we can then contact trace that outbreak and keep the virus under control.
ParlaMint-GB_2020-09-15-commons.u239	I do not underestimate the challenges the Health Secretary has faced over the past few months, but six months on, after many, many warnings of the likelihood of a second wave and of what would happen without a fully operational test, track and isolate system in place before lifting the lockdown, unfortunately the Government are still not getting the basics right. That is happening in my constituency in Oldham. We did not have a mobile testing unit turn up and we are still not getting the data we need to trace covid-positive cases. For starters, will the Secretary of State sort out the private contractors for the national test and trace system; make sure that public health directors are getting timely, high-quality data on covid cases, including occupational workplace details; and, fundamentally, make sure our local authorities have the resources they need to trace all contacts, and ensure restrictions are understood and observed?
ParlaMint-GB_2020-09-15-commons.u240	The answer is yes. In Oldham in particular, where there has been a very serious outbreak, making sure we have that connection between the national system and the data flowing through to local contract tracers is incredibly important. We are working on some innovative solutions proposed by the local authority and others in Manchester to enhance that system as much as we possibly can to keep control of the virus.
ParlaMint-GB_2020-09-15-commons.u241	Lots of my constituents in Winchester have had tests, and the Government deserve credit for that, because we as a country started from a position where we did not have a system in place. The Health Secretary had to create a system from scratch, and he had great help in that from the private sector. We certainly should not be denigrating that; we should be thanking it and expanding on that help. Given the operational challenges that the Secretary of State spoke about, I wonder whether GP surgeries, or even our wonderful community pharmacists, could be part of the solution for front-door testing. What is the cross-Government superhuman effort part II to increase lab capacity—AstraZeneca was very helpful in part I —as that seems to be the challenge outlined by my right hon. Friend?
ParlaMint-GB_2020-09-15-commons.u242	We are increasing that capacity, and we are bringing in new technologies to those labs to expand on that. My hon. Friend is a great expert in this issue and makes a really important point. The current technology works best in labs—people send a swab to the lab and get the result back, but there is a huge amount of logistics around that. We want technologies that can be in a pharmacy or a GP service, so that people get the test result back straight away. When such technologies come on stream—I am optimistic about this, as I am about a lot of things; I do not think I could do this job at the moment without being optimistic—that will give us a chance to get testing out into the community at every level We need to tackle problems such as the challenges you have in Chorley, Mr Speaker—you rightly brought them to my attention in your role as a local MP, as we all are—not by having a big national system, but through solutions that are deeply embedded in the community. When we have the technology to do that, we will be in a stronger place, and we are putting every possible effort and support behind people to try to make that happen.
ParlaMint-GB_2020-09-15-commons.u243	I am pleased you are bringing me back into it. We still have a lab at Chorley Hospital that you can use if you get on to it.
ParlaMint-GB_2020-09-15-commons.u244	We have had a spike in cases in Redbridge, yet in recent days the Mildmay Road walk-in centre closed for walk-in appointments, without notifying the council or either of Ilford’s MPs. People have been struggling to get access to tests. A local secondary school says that it will close within two weeks unless staff get access to tests, and the local walk-in centre will not even share testing data, which the Secretary of State says is so important, with public health officials at the local council. It is an utter shambles. Can the Secretary of State reassure us that he will help us get a grip in Redbridge? Does he recognise from the voices we have heard across the Chamber that these problems are not only in Ilford? There are problems right across the country, and the only way that this system is world-beating is through world-beating incompetence. When will he get a grip?
ParlaMint-GB_2020-09-15-commons.u245	I am happy to consider the specific issues that the hon. Gentleman raises about Ilford. We have an extremely good working relationship with the London group, which is cross-party and includes health professionals. I am happy to take that point offline and work on a solution specifically for Ilford with the hon. Gentleman. As he knows, nationally we are seeing an increase in overall capacity, but because of the increase in demand we have to prioritise. Having said that, in Ilford, like everywhere, I want to ensure that we have access to tests for the people who need them, and that is the job, day and night.
ParlaMint-GB_2020-09-15-commons.u246	Pregnancy can be one of the most surprising, exciting, but traumatic experiences of a woman’s life. That is why this week I launched a campaign with The Mail on Sunday, calling for all NHS trusts to ensure that partners support pregnant women during all scans and all stages of labour. Will my right hon. Friend confirm that women across the country have the Government’s support, and will he push NHS trusts to stand by pregnant women?
ParlaMint-GB_2020-09-15-commons.u247	Yes, 100%. I strongly support my hon. Friend, and I congratulate her on—[Interruption.] Somebody says, “Her pregnancy”. I hope it is public knowledge—well, it is now. I congratulate her on her pregnancy, and I know she has a strong interest in our getting this sorted. We put out extra guidance last week, and it has been a pleasure to work with her on the campaign to ensure that all hospitals follow that new guidance. We must ensure that partners can be there throughout each stage of pregnancy, in a covid-secure way, and that people get the support they need.
ParlaMint-GB_2020-09-15-commons.u248	Coronavirus cases are on the rise in Hertfordshire, and yet in St Albans key workers, teachers, doctors and parents cannot access tests. They are frustrated for two reasons, first because they cannot get a test, but secondly because this was utterly predictable. We knew there would be a surge in symptomatic cases and we knew there would be a surge in demand from key workers. Was any modelling actually done, and, if so, will the Secretary of State publish it?
ParlaMint-GB_2020-09-15-commons.u249	Of course, we have been increasing capacity all the time, and working throughout the summer to do that, to make sure that there is as much capacity as there is. The big change in capacity will come when one of the new technologies comes off, and that is why I am so passionate about them—because that is what is going to be able to get us out of the situation of having to have prioritisation and instead getting a test to everybody who wants one, not just those who need them according to the clinical prioritisation.
ParlaMint-GB_2020-09-15-commons.u250	A local high school student tested positive for covid late last week, so when parents had children from that school displaying symptoms over the weekend, they quite rightly tried to book a test but none was available on the portal. On Sunday morning, I directed one set of parents to a local walk-in centre a 45-minute drive away. The first centre had actually run out of tests, but after a drive to another walk-in centre, they eventually got one. Secretary of State, please, please, please, before we talk about the moon, can we just focus on local community testing in Marsden, Meltham, Mount and other communities in my constituency?
ParlaMint-GB_2020-09-15-commons.u251	We have put a huge amount of testing into Kirklees, and it is very important because of the levels of coronavirus there. I am very glad that my hon. Friend’s constituents did manage to get a test, and I know that there is huge demand. But I would also say that getting the new technologies on board is also a part of solving the problem that we have right now. We absolutely have to push on existing capacity, but we have also got to make sure that we invest in that new technology to solve this problem once and for all Virtual participation in proceedings concluded (Order, 4 June).
ParlaMint-GB_2020-09-15-commons.u252	On a point of order, Mr Speaker. Can you advise me how I can ensure that the record is corrected in relation to Division No. 94 yesterday? I spoke in support of the United Kingdom Internal Market Bill on Second Reading and I voted on all three occasions, but one of my votes has not been recorded. I suspect that the circumstances relate to the fact that there was a Government Whip there who said he could not see whether my vote had been properly recorded, but he did not give me any advice as to what would happen if there was a problem. I falsely, and quite wrongly, relied upon the Whips, and I hope that you will remind hon. Members that there is no point in relying on the Whips in the Division Lobbies.
ParlaMint-GB_2020-09-15-commons.u253	The hon. Gentleman has now put that point on the record and it will be investigated. All the Whips Office are now being sent to Specsavers to have their eyes tested In order to allow the safe exit of hon. Members participating in this item of business and the safe arrival of those participating in the next, I am suspending the House for three minutes.
