ParlaMint-GB_2020-11-17-commons.u1	What steps his Department is taking to increase covid-19 testing capacity.
ParlaMint-GB_2020-11-17-commons.u122	I am happy to work with the hon. Lady and the director of public health in York, and obviously with NHS Test and Trace, to make sure that the link-up is as effective as possible.
ParlaMint-GB_2020-11-17-commons.u123	My right hon. Friend will be aware that nosocomial spread is high in the NHS and that transmission is sometimes via staff. In order to help the amazing teams at Royal Stoke University Hospital and the Hayward walk-in centre, will he give guidance that stops substantive staff working bank, agency and locum shifts in other hospitals, to help reduce transmissions?
ParlaMint-GB_2020-11-17-commons.u124	I am very happy to look into that idea, while making sure, of course, that we also have the availability of staff, which is critical. We have just had two questions from Stoke-on-Trent. Let me say how much I appreciate the work of everybody at the Royal Stoke, who I know are doing so much. There are difficult circumstances there because of the second wave, which is quite significant in Stoke. I thank everybody at the Royal Stoke for all the work they are doing.
ParlaMint-GB_2020-11-17-commons.u125	I was very pleased by the Secretary of State’s answer to me last week that the vaccine would be rolled out on a needs basis. As the House knows, I represent a vast and very remote constituency. What worries me is the thought of elderly and vulnerable constituents having to travel long distances to get the vaccine. Health is devolved in Scotland, of course, but what proposals does he have for England and Wales to take the vaccine to those people who are elderly and vulnerable, and will he share that methodology with the Scottish Government?
ParlaMint-GB_2020-11-17-commons.u126	Yes, I would be happy to do that. We are proposing roving teams who can get out into rural communities across England. I know that there are ongoing discussions between those in the NHS in England and in Scotland who are responsible for the deployment of the vaccine. However, it is a critical principle that it should be deployed according to clinical need, not according to where people live across the United Kingdom.
ParlaMint-GB_2020-11-17-commons.u127	Although covid has highlighted the value of our care workers, care remains generally low-paid, high-turnover employment. A route into nursing would give care workers more opportunity to progress and build a career. Would the Government consider fast-tracking a specialised training course for care workers seeking to go into nursing, which reflects the many transferable skills that they have?
ParlaMint-GB_2020-11-17-commons.u128	Yes, I think that is a brilliant idea. Let us work on it together.
ParlaMint-GB_2020-11-17-commons.u129	I welcome the news that the Secretary of State has secured 5 million doses of the Moderna vaccine, totalling 355 million dosages for the UK. Does he agree that it is key to putting this virus back in its box, and that it is down to the willingness of the great British public to step forward and to voluntarily have this vaccine so that we can all move on?
ParlaMint-GB_2020-11-17-commons.u130	Yes, that is right. A vaccine will be approved only if it is both effective and safe, so when your ticket comes up, if you are asked to take the vaccine, then I and the whole serious clinical establishment—all of those who understand the vaccines and the value of them —will be urging people right across the country to get it, because it is good for you, it protects your loved ones and it protects your community. It is the primary route, alongside other things like testing, by which we will get out of this and get life back more closely to normal.
ParlaMint-GB_2020-11-17-commons.u131	I welcome the Government’s substantial investment in hospital services in my area. The Secretary of State knows that I remain disappointed that Epsom, was not the NHS’s choice of location— rather than Sutton—but will he assure me that as the NHS reviews the impact of the pandemic and looks at future capacity needs, he will keep an open mind if that decision needs to be changed, because in the end Epsom represents better value for the health service?
ParlaMint-GB_2020-11-17-commons.u132	I appreciate my right hon. Friend’s tenacity and doggedness in making the case for Epsom. I am a big supporter of the decision that has been made, and I am afraid, from his point of view, that the final decision on the location of the new hospital—in Sutton—has now been made. However, I am always open-minded to what further health services can be deployed in Epsom itself, and I suggest that my right hon. Friend and I work together on that.
ParlaMint-GB_2020-11-17-commons.u133	Rising infection rates in Dudley are extremely worrying. The launch of the third covid vaccine trial in the UK this week is excellent news and I pay tribute to the volunteers and researchers involved in the trials, but does my right hon. Friend agree that it is still early days, so it is vital that all of us continue to play our part in doing everything possible to bring down that infection rate, particularly in areas, like Dudley, where it continues to rise?
ParlaMint-GB_2020-11-17-commons.u134	Yes. Vaccines could not be approved if there were not volunteers who were willing to take them and play their part. I want to end this session, if I may, with a tribute to my PPS, my hon. Friend the Member for St Austell and Newquay (Steve Double), who, along with some other Members of the House, is taking part in a vaccine trial, and therefore doing his bit to make vaccines available to help everybody across this country.
ParlaMint-GB_2020-11-17-commons.u135	The Health Secretary will remember—his hon. Friend the Member for St Austell and Newquay (Steve Double) was there as well—that we had a really good meeting on 2 October about the link between covid and vitamin D. Since then the PM even said, two weeks ago, that good news is on the way. Will the Secretary of State update us on what is happening? The Government are meant to be getting rid of dither and delay. We could be like New Zealand; they have only had 16 deaths in care homes in the whole of this pandemic. What can he do?
ParlaMint-GB_2020-11-17-commons.u136	Yes, we are making progress on that and working on the clinical protocols. I look forward to updating the hon. Lady with more information when a final decision has been made.
ParlaMint-GB_2020-11-17-commons.u137	In order to aid the safe exit of hon. Members participating in this item of business and the safe arrival of those participating in the next, I suspend the House for three minutes.
ParlaMint-GB_2020-11-17-commons.u138	Before the urgent question, I wish to make a short statement about Divisions. Last week, I announced that the number of proxies in operation meant that I could reduce the voting time before the doors are locked from 12 minutes to 10. I can now reduce the time further, to the normal time of eight minutes from the start of the Division. As at present, the occupant of the Chair may extend the time in a particular Division where there is evidence of delays or problems getting to the Division Lobbies.
ParlaMint-GB_2020-11-17-commons.u139	(Urgent Question): To ask the Secretary of State for International Trade to make a statement on the proposed parliamentary scrutiny of future Continuity Trade Agreements.
ParlaMint-GB_2020-11-17-commons.u140	In under two years, the UK Government have signed or agreed in principle trade agreements with 52 countries that account for £142 billion of UK bilateral trade. That accounts for 74% of the value of trade with non-European Union countries that we set out to secure agreements with at the start of the trade continuity programme. Since the transition period began, we have expanded the ambition of our programme above and beyond that original scope. In November we signed an enhanced deal with Japan, accounting for £30 billion of UK trade in 2019, and we expect to make significant progress in securing further deals before the end of the transition period. We believe that this is the largest set of parallel trade negotiations ever conducted by any country Parliamentary scrutiny is central to our continuity negotiations. All signed agreements would be subject to the statutory scrutiny process as set out in the Constitutional Reform and Governance Act 2010, providing a guaranteed period for Parliament to scrutinise and debate these agreements. Indeed, Parliament has held debates on six of our signed continuity agreements, and not one of those debates has carried a negative resolution. Further, we have voluntarily published parliamentary reports alongside all continuity agreements, explaining any differences from the predecessor EU agreements. I am pleased to see that our approach to scrutiny was praised in a recent report by the House of Lords EU International Agreements Sub-Committee, “Treaty scrutiny: working practices” As we approach the end of the transition period, it is possible that the scrutiny window for remaining agreements will extend beyond 1 January into the new year. That means that we may need to use provisional application for a short period, in order to guarantee continuity of trade relationships and avoid any cliff edges. I thank the right hon. Lady for her two letters on the subject to the Secretary of State last week. Provisional application is a well-established and widely used mechanism to give effect to treaties while domestic ratification procedures continue in parallel. Many EU trade agreements were or are being provisionally applied, including the comprehensive economic and trade agreement with Canada and the agreements with Ukraine and with the Caribbean Forum. I remind the right hon. Lady that those EU agreements have already been comprehensively scrutinised at EU level and by this Parliament. In fact, the Government published a technical note in Parliament last year setting out our assessment of provisional application and the circumstances in which it might be used We will always take the time necessary to negotiate the right deals. Any agreement we sign must benefit British consumers and businesses, preserve our high food standards and protect the NHS, and they must share wealth across all our nations and regions as part of our levelling-up agenda. We look forward to submitting further continuity FTAs to Parliament for scrutiny once signed, and we welcome further debates on our independent trade policy.
ParlaMint-GB_2020-11-17-commons.u141	Thank you, Mr Speaker, for granting this urgent question on an issue that should never have become urgent. The Government have literally had years to protect our free trade with countries such as Canada, Singapore and Mexico, but with just six weeks to go until the end of the transition period, 15 of those continuity agreements have still not been secured, leaving £80 billion of UK trade at risk—two and a half times our trade with Japan. Those 15 agreements have been left so late that the Government will now have to ride roughshod over the rules of parliamentary scrutiny to implement them in time Why do we find ourselves in this sorry mess? Why were 20 agreements signed in 2019, but only four so far in 2020? Why have we heard Governments such as Montenegro and Cameroon saying that formal talks were held in September 2019, but then nothing for a full year afterwards? Why, in just the past week, have we heard the Prime Minister of Canada say that Britain has lacked the “bandwidth” to do a deal and the Government of Ghana express dismay that their UK counterparts would turn up late and badly briefed to meetings and then leave early with nothing resolved Those are all the hallmarks of Ministers who are simply not doing their job. How else do we explain why the agreement reached two weeks ago with Kenya has still not been laid before Parliament and cannot now receive the full 21 days of scrutiny? It is sheer bumbling incompetence, and instead of taking responsibility today, the Secretary of State has sent her Minister in her stead —a fitting symbol of a total failure to grasp this issue during her 16 months in office. It therefore falls to the Minister of State to answer my three final questions. First, what new steps is his Department taking to get these 15 agreements over the line before Christmas? Secondly, when will UK businesses be told if any of those agreements, including with Mexico, are definitely not going to be reached? Thirdly, how can Ministers continue to defend the adequacy of the rules for parliamentary scrutiny of trade deals after the absolute mockery that they have made of them today?
ParlaMint-GB_2020-11-17-commons.u142	It is genuinely a pleasure to answer this question. Let me try to take in turn the different points made by the right hon. Member for Islington South and Finsbury (Emily Thornberry). First, may I say in general that we are working very hard on the remaining agreements? We have around 700 dedicated officials in the trade policy group who are working on the agreements, and the Secretary of State, the Under-Secretary of State for International Trade, my hon. Friend the Member for North East Hampshire (Mr Jayawardena), and I are also working carefully on them Are we riding roughshod? No, we are not. CRaG would still be fully operating—[Interruption.] The right hon. Member for Islington South and Finsbury scoffs, Mr Speaker, but she voted the same way that I did for CRaG in 2010. She should have belief in what she voted for under the previous Labour Government As for provisional application, it is absolutely an accepted part of international procedure. It is under the—[Interruption.]
ParlaMint-GB_2020-11-17-commons.u143	Order. I granted the urgent question in order for the question to be heard, but I cannot hear the Minister’s reply. I do not want a dialogue all the way through, please. I grant them on the basis that there is a need to listen to what is being said.
ParlaMint-GB_2020-11-17-commons.u144	The Vienna convention has been around for a long time, and I mentioned that many agreements were provisionally applied by the European Union. I specifically mentioned the CARIFORUM agreement with the Caribbean Community countries and the Dominican Republic, which is also of course a Caribbean country. The reason I mention it is that it has been provisionally applied for the past 12 years. It was signed by the last Labour Government. If the right hon. Lady was happy with something signed by the previous Labour Government that is still provisionally applied today, she is making a bit of a mountain out of the remaining days that we are adding to the process, given the fact that that has been provisionally applied for 12 years. Kenya is a new deal; it is not the continuity of the pre-existing deal What steps are we taking? We are stepping up our efforts and working extremely hard. When will UK businesses be told? We are telling businesses all the time about the deals that we have done and landed The right hon. Lady mentioned Ghana. There is a deal on the table; it replicates the EU agreement and is consistent with the EU-Ghana stepping stone deal applied in 2016. We are not asking Ghana to do anything that it is not already doing The right hon. Lady said in her letter to the Secretary of State on 10 November, which she referred to, that representatives of countries from Cameroon to Montenegro have been communicating with the shadow International Trade team. I do not know whether it is quite right for the shadow Secretary of State to be correspondingly directly with our negotiating partners during negotiations that we have been carrying out on behalf of the whole country. I would urge her in the interests of transparency to release all that correspondence with our negotiation opposite numbers, which she referred to in that letter It is ironic that the right hon. Lady invokes Ghana, given the amendments to the Trade Bill that she supported on other countries’ domestic production standards. The very exports that she is so worried about would have been prevented under those Labour amendments from entering the country in the first place The irony in Labour Members complaining that we have not yet rolled over all these EU agreements is this: they did not support these agreements in the first place. They voted against EU-Singapore, they abstained on EU-Japan, and they split three ways on EU-Canada, so they are complaining about agreements not being rolled over that they never supported in the first place As we know, Labour has moved on from the right hon. Member for Islington North (Jeremy Corbyn) to the right hon. and learned Member for Holborn and St Pancras (Keir Starmer). The right hon. Member for Islington South and Finsbury is caught between them both, first geographically and now on policy. She cannot escape from this: when it comes to trade and trade agreements, successive Labour leaders cannot decide whether they want these agreements or not. In short, they are in complete chaos, and their approach deserves to be dismissed.
ParlaMint-GB_2020-11-17-commons.u145	I thank the Minister for his detailed and full responses. With more trade equating to more jobs in Dudley North and across the country, will my right hon. Friend update the House on the upcoming trade deal with Mercosur countries in the light of the recent Joint Economic and Trade Committee with Brazil?
ParlaMint-GB_2020-11-17-commons.u146	I thank my hon. Friend for that excellent question. I am aware of his background—I think he worked for five years in Brazil and knows the market extremely well. Mercosur is, of course, a very important partner for the United Kingdom, and there are significant opportunities for British business to do more trade, including with Brazil. Just last week, the Secretary of State and the Under-Secretary of State for International Trade, my hon. Friend the Member for North East Hampshire, were pleased to host their first Joint Economic and Trade Committee with Minister Fendt from Brazil. They spoke about success to date in financial services and food and drink sectors. As there is not an EU-Mercosur deal in effect, any future UK-Mercosur deal is not within the scope of this programme.
ParlaMint-GB_2020-11-17-commons.u147	The problem here is not simply the incomplete deals; it is the process we are following, which is not fit for purpose. MPs have no ability to vote to amend our negotiating mandate. As the Minister said, the Government report voluntarily, normally at the end of a negotiating stage to tell us that everything is great, but with no information about obstacles overcome or new obstacles emerging. Perhaps towards the end of a negotiation, the negotiators go into a tunnel from which no information emerges unless it is leaked to provide leverage, which is profoundly unhelpful. We are then offered a vote on a short take-it-or-leave-it debate—again, with no ability to amend or to reflect or represent constituents or sectoral interests. Finally, we find out, normally from the foreign press, as was the case with Switzerland and Norway, that the deal is not what the Government trumpeted it to be I ask the Minister, briefly, what action will he take to expedite the outstanding deals? What action will he take to mitigate the potential tariff and quota costs on some £80 billion of trade? More importantly, what action will the Government take because CRaG is not fit for purpose and we need a new system that allows MPs scrutiny and the ability to amend?
ParlaMint-GB_2020-11-17-commons.u148	I thank the hon. Gentleman for the rather more thoughtful questions than those of the official Opposition. Of course, to be fair to him, he voted against CRaG. In fact, he, I and the right hon. Member for Islington South and Finsbury (Emily Thornberry) were all elected in the same year, 2005. He voted against CRaG, which is fair enough, and the right hon. Member for Islington South and Finsbury and I voted for it. I can understand his consistency in being opposed to the process. However, we are confident that it represents a robust way of ratifying trade agreements and of Parliament having its say Not only that, but we have added to the CRaG process by publishing a scoping analysis and a likely economic impact assessment in advance of the deal, made written ministerial statements after each round, and then publishing an impact assessment when the deal is finally done which gets sent off to the International Trade Committee and the EU International Agreements Sub-Committee in the other place. We have gone far further than CRaG. I will also say this about SNP Members. Once again, they are complaining about these deals not being rolled over, but they are all deals that they have either not supported or abstained on. They abstained on EU-Japan. They abstained on EU-Singapore. They are against EU-Canada. They are against EU-South Africa. They are against EU-Korea. In fact, I have gone back 15 years, and I cannot find a single trade deal that the SNP has ever supported or voted for, so it is a bit rich for the hon. Gentleman to come along today and say that the deals have not been rolled over—none of which he supported in the first place. The SNP is anti-trade, it is hellbent on breaking up our Union and it is against Scotland’s best economic interests.
ParlaMint-GB_2020-11-17-commons.u149	Listening to both the parties opposite, given how important free trade is for prosperity, I say thank goodness we are the ones in government. I commend my right hon. Friend and his colleagues for the work they have done in making as much progress as they have. I am confident that they will complete that progress in the time that remains As we head into 2021 and seek to negotiate another new round of free trade agreements, I ask my right hon. Friend to ensure that not only are we champions of free trade, but we set environmental sustainability at the heart of the negotiations. Those are global challenges that must be reflected in our commitment to free trade.
ParlaMint-GB_2020-11-17-commons.u150	I thank my right hon. Friend for his interest in this area. The UK’s new independent trade policy is designed to be very environmentally friendly. That occurred in the Secretary of State’s speech to the World Trade Organisation in the spring. The UK global tariff that we have published reduces import tariffs, or eliminates them entirely, on 104 environmental goods entering the UK, including things such as steam turbines. We have gone significantly further than the common external tariff of the European Union. When it comes to our negotiations with future trade partners, the US, New Zealand and Australia, we have committed to promoting trade in low-carbon goods and services, as well as supporting R&D, innovation and science in sectors such as offshore wind, smart energy, low-carbon advisory services and energy from waste.
ParlaMint-GB_2020-11-17-commons.u151	We are heading to Scotland with the Chair of the Select Committee.
ParlaMint-GB_2020-11-17-commons.u152	The International Trade Committee first reported on the roll-over of trade deals in 2018. Hon. Members probably remember that we were told then that all the agreements would be signed about a minute after midnight on 29 March 2019. It is a huge concern that we still have not done 15 of those deals—indeed, with 44 days to go, the biggest trade deal with the EU is still uncertain. Is it not the truth that jobs, businesses and communities need to be better served by the Government in their work associated with Brexit and these incomplete trade deals? It is time for the Government to get their act together, and quick.
ParlaMint-GB_2020-11-17-commons.u153	I thank the hon. Gentleman for that question. I remember appearing before his Select Committee during that inquiry in 2018, which I know he will remember well, too. The fact of the matter is that we have done roll-over deals with 52 countries. That is a very strong achievement and represents some 74% of the value of trade with non-EU countries that we set out to secure agreement with at the start of the trade continuity programme, which was when he did his inquiry. We are working flat out at the moment. He will know that just in recent weeks we have signed deals with Ukraine on 8 October, Côte d’Ivoire on 15 October and Japan on 23 October, and we signed an agreement in principle with Kenya on 3 November.
ParlaMint-GB_2020-11-17-commons.u154	I am glad that the right hon. Member for Islington South and Finsbury (Emily Thornberry) raised Ghana, because that is what I am concerned about. The Ghanaian contention that the deal on offer is not compatible with the Economic Community of West African States simply does not stack up in my opinion. Will my right hon. Friend confirm that Ghana’s deal with the EU is compatible with ECOWAS and our deal replicates the EU deal exactly?
ParlaMint-GB_2020-11-17-commons.u155	I thank my hon. Friend for his keen interest in Ghana, which is an interest I share. I went with the Westminster Foundation for Democracy in 2009 to help train up Ghanaian politicians. It is a country that I have kept a keen interest in for the past 11 years. There is a deal on the table. It replicates the EU agreement, gives full duty-free, quota-free access to our market and is consistent with the EU-Ghana stepping stone deal applied in 2016. There is no evidence that that existing EU deal has damaged Ghana’s relations with its ECOWAS neighbours.
ParlaMint-GB_2020-11-17-commons.u156	I am surprised that the Minister keeps evading the whole thrust of the urgent question he was asked. Why is he so terrified of parliamentary scrutiny? He can talk about chaos on the Labour side, but chaos and confusion reign in No. 10. There is chaos and confusion in our relationship trying to get an agreement with the European Union as we leave. What is wrong with this Government? I am a member of the Committee on the Future Relationship with the European Union, which is being abolished just when we need it for parliamentary scrutiny. Why are this Government so terrified of being responsible and accountable to this House?
ParlaMint-GB_2020-11-17-commons.u157	I just remind the hon. Gentleman, because he was definitely in the House in 2010, that the CRaG process, which was set up by the last Labour Government and which I strongly suspect he voted for, is exactly the system of parliamentary scrutiny that we are using as the basis for these continuity trade deals now. Not only that, but, as I have already outlined, we are building on the CRaG commitments with additional reports and additional involvement from the International Trade Committee and the House of Lords International Agreements Committee.
ParlaMint-GB_2020-11-17-commons.u158	Does my right hon. Friend agree that our departure from the EU offers the UK a golden chance to lead the world in modern areas such as services, technology and advanced manufacturing, creating great opportunities for businesses and entrepreneurs in Stockton South?
ParlaMint-GB_2020-11-17-commons.u159	My hon. Friend is absolutely right. Services represents about 79% of our GDP and 80% of our employment. The UK, as we know, is a world leader in tech and digital and far ahead of our closest European competitors, France and Germany. We are one of the world’s leading international financial services centres, with best in class industry, infrastructure, talent and expertise. The recently announced deal with Japan goes further than the EU deal when it comes to services, particularly financial services.
ParlaMint-GB_2020-11-17-commons.u160	The Minister knows, but did not say, that the current CRaG process was put in place when many other layers of democratic scrutiny were applied to international treaties through the EU, but those layers are now gone. Now that his Department has failed to conclude the roll-over agreements, does he accept that democratic scrutiny needs to reflect not just the convenience of Government, but the proper oversight and challenge of Parliament? Or will he only change his view when he finds himself in opposition?
ParlaMint-GB_2020-11-17-commons.u161	I think the hon. Gentleman is operating under the misconception that the Government do not want Parliament interested in trade and in trade deals. We are constantly at this Dispatch Box—I, the Secretary of State and the rest of the ministerial team—talking about trade and trade deals. We welcome all the additional parliamentary scrutiny. I remind him that the CRaG process he talks about was set up under the last Labour Government. We have gone further in terms of the reports that we publish and the involvement of Select Committees in both Houses of this Parliament.
ParlaMint-GB_2020-11-17-commons.u162	The Prime Minister of Canada went on the record last week to say that the two nations had reached a point where, in effect, a deal with Canada was there for the taking. Does my right hon. Friend agree with that analysis, and can he update the House on the progress of the continuity Canada deal?
ParlaMint-GB_2020-11-17-commons.u163	We are confident that we will be able to secure an agreement with our Canadian partners for entry into effect on 1 January. It is an incredibly important deal. I remind the right hon. Member for Islington South and Finsbury (Emily Thornberry) that her official position, under the hon. Member for Brent North (Barry Gardiner) at the time, was to oppose doing this deal in the first place. Canada is an important strategic partner for the UK and our 16th largest trading partner worldwide. The UK exports £11 billion-worth of goods and services each year, and we stand ready to secure and expand this trade.
ParlaMint-GB_2020-11-17-commons.u164	These deals cut across many devolved powers, so surely there should be a significant consultation and scrutiny role for devolved Parliaments and Governments, learning from experience in Belgium and Canada, for example—or does the Minister share the Prime Minister’s rather extraordinary view that the devolution of powers was a mistake in the first place?
ParlaMint-GB_2020-11-17-commons.u165	As we know, international trade is a reserved matter. However, it does have an influence on a large number of areas of devolved competence, so it is quite right that we involve the devolved Administrations in formulating our trade policy and our approach to different trade negotiations. In terms of the relations that I have with the Scottish Government, the ministerial forum for trade meets quarterly, involving not only the UK Trade Minister—myself—but the three devolved Administrations. Since May, in the time that I have had the remit for talking with the devolved Administrations, I have met with Scottish Minister Ivan McKee five times.
ParlaMint-GB_2020-11-17-commons.u166	Listening to what has been said so far, I am very glad that the Conservative party is in government, because we really recognise the value of free trade, not just in terms of GDP figures but the very real impact it has on our constituents—on the great people of Bishop Auckland and beyond. On that note, does my right hon. Friend agree with the interesting stance of the shadow Secretary of State that we should only make future trade deals with countries with which we have a trade deficit?
ParlaMint-GB_2020-11-17-commons.u167	The shadow Secretary of State has come out with some extraordinary comments in recent times. That particular one sounded like it was verging on Trumpian mercantilism. My hon. Friend is right that, at a time of growing protectionism, trade provides economic security at home and opportunities abroad. It is a key part of the Government’s levelling-up agenda. Trade is very much part of this country’s future, as are trade agreements.
ParlaMint-GB_2020-11-17-commons.u168	I am afraid I cannot share the relief of the hon. Member for Bishop Auckland (Dehenna Davison) that we have a Conservative Government, because as we move closer to the end of the transition period, my constituents, and constituents and businesspeople all over this country, are increasingly worried about their inability to secure the deals and the clarity needed. As a Scot, I am not a nationalist, so my views cannot be dismissed as wanting to undermine the interests of Scotland in the United Kingdom, so can the Minister give us some indication of where these deals are going to come from, how they will be settled and what scrutiny they will have in this place?
ParlaMint-GB_2020-11-17-commons.u169	I urge the hon. Member to judge us by our actions, not just our words. We have done continuity agreements with 52 countries, which account for £142 billion-worth of bilateral trade. On top of that, we have done a bespoke bilateral deal with Japan, which is the first stand-alone UK free trade agreement that this country has negotiated in 40 years. She should welcome the actions that we have taken to secure the future of these trade agreements and, in the case of Japan, improve on them.
ParlaMint-GB_2020-11-17-commons.u170	May I congratulate my right hon. Friend on the progress made so far in agreeing to roll over more than 20 of our existing trade deals? Is he able to reassure the House that the Government have sufficient capacity to continue to get trade deals over the line?
ParlaMint-GB_2020-11-17-commons.u171	That is a good question, and the answer is simply yes. The trade policy group, which I have been involved with in two different stints at the Department, is an incredibly dedicated, highly professional group of people. It has grown from around 45 at the time of the referendum in 2016 to more than 700. We have taken in private sector expertise—lawyers, experts in trade flows, experts in particular product lines and so on. I am confident that we have the capacity and the right people in place, and I pay tribute to them all for the hard work that they have been doing.
ParlaMint-GB_2020-11-17-commons.u172	As my right hon. Friend the Member for Islington South and Finsbury (Emily Thornberry) pointed out, the Canadian Prime Minister said last week that Canada was ready to reach a continuity agreement with the UK but that the British Government lacked the “bandwidth” to finalise the deal and, indeed, that his offer to provide support to the UK’s negotiators had not been taken up. Is not this just an embarrassing situation for the Government, who claim to be promoting global Britain?
ParlaMint-GB_2020-11-17-commons.u173	I thank the hon. Lady for that question. As I have already said, we are in a good position with Canada. I am confident that we will be getting a deal. I saw those comments by the Canadian Prime Minister, whom I greatly respect. The only other person I have seen make those comments is Winston Peters, the leader of the New Zealand First party. I see it sometimes from the negotiating teams opposite; we need to take what they say in a live negotiation with a pinch of salt.
ParlaMint-GB_2020-11-17-commons.u174	I congratulate my right hon. Friend on the progress that has been made on the continuity agreements that are so vital for our country’s prosperity, not least in sectors such as agriculture, which is so important to my constituency. With that in mind, does he agree that, while the Opposition parties seek to play political acrobatics with trade, it is this Government who are listening and involving farmers in our future and continuity trade deals by putting the Trade and Agriculture Commission on a statutory footing?
ParlaMint-GB_2020-11-17-commons.u175	My hon. Friend is quite right. I think I am actually due to speak with farmers in his constituency in the coming 10 days or so, which I am looking forward to very much. He is quite right that putting the Trade and Agriculture Commission on a statutory footing means that all the National Farmers Unions from across the United Kingdom will play an active role in assessing trade agreements going forward.
ParlaMint-GB_2020-11-17-commons.u176	Even the Scottish Tory leader’s senior adviser, the former Tory MP for Angus, has said that this Government need a “wake-up call” as we see decisions taken by the UK Government without regard to Scotland. A failure to roll over these FTAs would lead to a tariff and quota disaster for Scotland’s £15 billion food and drink sector. Indeed, with food and drink exports four times more important to the Scottish economy than the English economy, we can see why Scottish producers are horrified at this abject ministerial failure. Why will the Minister not acknowledge this £38 billion crisis? What will he do to fix it for food and drink producers in Scotland?
ParlaMint-GB_2020-11-17-commons.u177	I think the hon. Member’s phrase was “abject ministerial failure”. We are working hard to roll over all these agreements. I just remind him that these are all agreements that were opposed by the SNP in the first place. It abstained on EU-Japan and EU-Singapore, and it was against EU-Canada, against EU-South Africa and against EU-Korea. He ought to be celebrating the fact that these agreements are not being rolled over, to be consistent with his previous position. We are working hard to make sure that they are rolled over.
ParlaMint-GB_2020-11-17-commons.u178	Does my right hon. Friend agree that we should continue to follow the significant headway we have been making on a number of these trade agreements, and that we should help great British businesses, such as those in Stoke-on-Trent, to grow jobs by making the most of these agreements?
ParlaMint-GB_2020-11-17-commons.u179	My hon. Friend is quite right. Both the Secretary of State and I have enjoyed meeting businesses in his constituency—particularly those in ceramics—and right the way across the city of Stoke. We have them on our minds in all our trade negotiations, to ensure that we get new opportunities for the ceramics industry in the Potteries and elsewhere.
ParlaMint-GB_2020-11-17-commons.u180	The Minister seems keen to tell us how hard he and his team are working; meanwhile, crucial trade partners such as Canada seem to feel that the Government just have not got their act together and are not giving this the attention it deserves. Does he not realise that what is really important here is that British businesses, which need certainty about what their trading arrangements will be in January, are sat here in the middle of November still no clearer about whether we are going to be able to trade tariff-free with Canada?
ParlaMint-GB_2020-11-17-commons.u181	I remind the hon. Member that the deals that we have rolled over represent around three quarters of the programme. We have updated businesses, as we have updated this House, after each of those deals to make sure that they are kept apprised. When it comes to Canada, of course, this is a live negotiation. We have contact happening every day with Canada. It is worth remembering that Canada actually walked away from the negotiation in 2019, and did not return to the table until July this year. As soon as Canada returned, we put in place a negotiating team and we got on with it.
ParlaMint-GB_2020-11-17-commons.u182	Trade, and the jobs, investment and prosperity it brings, is an incredibly powerful way to level up our country and transform left-behind places such as Redcar and Cleveland. Does my right hon. Friend agree that promoting trade and helping our businesses to export is the best way to rebuild and reshape our economy?
ParlaMint-GB_2020-11-17-commons.u183	I thank my hon. Friend and he is absolutely right. We have talked very much about the trade policy aspects of this Department. We are engaging very strongly with the US, for example, on steel tariffs. I know that is something his constituents will keep an ongoing interest in, making sure that those unnecessary and counterproductive tariffs are removed. But when it comes to the wider picture, the Department for International Trade more broadly works incredibly hard at promoting both the exports and inward investment that I know will be really important to his Redcar constituents.
ParlaMint-GB_2020-11-17-commons.u184	While recognising that negotiating international trade deals is a reserved matter, the Minister will be aware that many of the policy areas included in trade negotiations are devolved to Wales. Considering this, I find it quite incredible that trade deals can be signed without the formal agreement and approval of the Welsh Parliament. Earlier, he alluded that there had been engagement with the devolved Governments, but can he inform the House whether he has received any critique from the Welsh Government about the approach of the British Government to these continuity deals?
ParlaMint-GB_2020-11-17-commons.u185	I have an excellent relationship with the Welsh Government: first with Baroness Morgan and more recently with Jeremy Miles. The hon. Member is quite right that international trade is a reserved matter, but it does impact with devolved competence. I believe that the Welsh Parliament either has or will be recommending legislative consent to the Trade Bill, which I think is testimony to how well we are working together in the interests of all of the people of Wales.
ParlaMint-GB_2020-11-17-commons.u186	I appreciate my right hon. Friend’s comments on this topic. I also welcome progress on continuity trade agreements so far as a first step to more comprehensive trade deals in the future. Does he agree that we cannot force countries back to the negotiating table and we must not do any deals at any price?
ParlaMint-GB_2020-11-17-commons.u187	My hon. Friend is quite right: it takes two to tango, and that is as true for international trade agreements. If the partner does not want to negotiate, of course we will speak with them and use all the levers we have to try to get them to the table, but at the end of the day, if the partner does not want to negotiate, I am afraid that can happen.
ParlaMint-GB_2020-11-17-commons.u188	If the Government were in control of this situation and favoured transparency, they would have come to the House to make a statement, not be forced to via an urgent question. British businesses need to know how existing arrangements will be preserved. The Government’s negligence is leaving them susceptible to disruption to as much as £80 billion of global trade. I have listened carefully to the Minister and, as expected, it was lacking in any detail. When will the Government be able to share any real detail on how we are going to avoid this imminent risk to jobs and livelihoods?
ParlaMint-GB_2020-11-17-commons.u189	I would point the hon. Member to the agreements that we have signed in recent weeks with Ukraine, with Côte d’Ivoire and with Japan, with Kenya agreed in principle. We are looking forward to further agreements in the coming weeks that I hope she will welcome and support.
