ParlaMint-GB_2020-09-21-commons.u1	What steps he is taking to support the domestic manufacture of defence helicopters.
ParlaMint-GB_2020-09-21-commons.u101	We have Bob Blackman with clearance to land a question.
ParlaMint-GB_2020-09-21-commons.u102	What else for Defence questions, Mr Speaker? My right hon. Friend has previously referred to Iran’s nefarious use of power via the Islamic Revolutionary Guard Corps, including Hezbollah and the harassment of UK shipping in the strait of Hormuz. Does he agree that unless its influence is curtailed, the IRGC will continue to be a major threat to the safety and security of British forces, and will he address that in the upcoming integrated review?
ParlaMint-GB_2020-09-21-commons.u103	My hon. Friend is absolutely right to point out the malign activity of the Iran state in using both proxies and, indeed, the IRGC directly either to harass shipping going about its lawful business or to enable terrorist groups in the region. It does not help any of the peace we seek in that region; nor does it help Iran to join the table of civilised nations, which it aspires to join. The IR will look exactly at those things—at threat; defined around threat—whether that is Iranian malign activity, Russian activity on Europe’s borders or, indeed, terrorist threats around the world. It is important that that leads the review. That is what I have committed to, and right in the middle of that will be Iran and the IRGC.
ParlaMint-GB_2020-09-21-commons.u104	  My constituent David is currently serving in the Army. His brother Dan served for 12 years, fighting in Iraq and Afghanistan, but last year Dan killed himself. David wrote to me about the lack of support that Dan had received while he was serving, and said that the Army really does wash its hands of former soldiers once they have left. I have heard the Minister lay out mental health support plans for the future, but David has written twice to the Ministry of Defence about this situation, and only an email from my office has been replied to, nine months after the first correspondence. Is this really the way we should treat our military personnel?
ParlaMint-GB_2020-09-21-commons.u105	On unanswered communications, I will have an investigation into that this afternoon, but look, there has never been more help available for veterans and service personnel. Each individual suicide is a tragedy, and each one I take personally, but we have to be very careful about consistently driving home this narrative that there is no help available. Should we make it easier to access? Should we have better care pathways? Of course, but the reality is that there is help available and people must speak out.
ParlaMint-GB_2020-09-21-commons.u106	As you are well aware, Mr Speaker, BAE Systems plays an integral role in the economy of Lancashire. May I ask the Secretary of State to continue to push for an integrated approach to acquisition in the air sector so that the groundbreaking work on Tempest, which is vital for the UK to retain its sovereign freedom of action, is at the core of future plans for our outstanding Royal Air Force?
ParlaMint-GB_2020-09-21-commons.u107	My hon. Friend is absolutely right that the RAF must have the very best capabilities to meet future threats. This is naturally a focus of the integrated review, and I can assure him that Lancashire’s critical role in combat air, and the skills it represents, are very much recognised and understood.
ParlaMint-GB_2020-09-21-commons.u108	The Ministry of Defence has a live firing range near Cape Wrath in the north-west of my constituency. Running through the firing range is a road, which, when the military is not using the range, is popular with visitors and locals alike, particularly because Cape Wrath lighthouse, at the top left-hand corner of our country, is one of the great destinations of the United Kingdom. The road is in bad nick. Would the Ministry of Defence be willing to put its hand in its pocket to help get the road done up?
ParlaMint-GB_2020-09-21-commons.u109	As the hon. Gentleman knows, although that road runs through MOD land, it is an adopted road. Having said that, MOD contractors have filled in potholes and cleared ditches and culverts, and we will see what we can do. I am more than happy to meet the hon. Gentleman.
ParlaMint-GB_2020-09-21-commons.u110	  Potholes are on the minds of my constituents, but they are not what I have in mind when I ask this question. Will my right hon. Friend give an update on the support that his Department has provided to the civil authorities in London in dealing with the covid outbreak?
ParlaMint-GB_2020-09-21-commons.u111	Where to begin? Specialist personnel such as engineers, medical clinicians, logistics planners, advisers, and general duty soldiers and drivers have carried out a variety of tasks to help tackle the covid-19 outbreak in London. They have distributed personal protective equipment; critical care transfer teams for the London ambulance service have assisted in the movement of patients; and they have driven ventilators around London, as well as helping with testing. Finally, they helped build the amazing first Nightingale hospital at the ExCeL.
ParlaMint-GB_2020-09-21-commons.u112	  The GMB union estimates that by placing the Fleet Solid Support order with UK shipyards, the Treasury could see up to £285 million of the £800 million contract returned in taxes. The award of the contract could have long-term benefits for the shipbuilding sector and the wider economy, giving companies the confidence to train new apprentices and plan for the future. Will the Government support GMB’s call for the FSS order to be placed in UK shipyards?
ParlaMint-GB_2020-09-21-commons.u113	We have already started a market engagement exercise and have had a healthy response. I intend to announce the procurement timetable for the warships in due course, after market testing has completed. We intend to encourage international partners to work alongside UK firms for the bid, which will build on the success of Type 31.
ParlaMint-GB_2020-09-21-commons.u114	Will the Minister update us on the progress of the digitisation of Veterans UK?
ParlaMint-GB_2020-09-21-commons.u115	I am delighted to update my hon. Friend. Six months ago we signed a £25 million contract to digitise all the services that Veterans UK provides. I am clear that too many of our people have a poor experience, and the people in Veterans UK have to work in very difficult conditions with lots of paper records and so on. We are putting a lot of money into digitising that, and the experience will be replicated in an application that people can download to their smartphones, and vets care will be in the hands of every veteran in the United Kingdom.
ParlaMint-GB_2020-09-21-commons.u116	  I must first declare an interest, as my husband is a veteran and South Lanarkshire Council’s veterans champion. The council has been doing fantastic work and has now agreed cross-party to implement a guaranteed interview scheme for veterans, as many find it very difficult to gain employment after leaving the forces. Is that positive development something that the Veterans Minister could take forward with local authorities—indeed, all levels of government across the UK, including potentially this House—to ensure that there is a guaranteed interview scheme for veterans?
ParlaMint-GB_2020-09-21-commons.u117	I thank the hon. Lady for her continued work on this issue. I am clear that getting veterans into employment is the single biggest factor that improves their life chances when they leave. We now have a system that is light years away from where it used to be. We can always do more. We are bringing in another manifesto pledge to ensure that there is a guaranteed interview scheme for veterans in the civil service, and I am always open to ideas to expand that where we can.
ParlaMint-GB_2020-09-21-commons.u118	  Earlier this year, I met councillors and residents in Kirton Lindsey who want to repurpose Vincent hall as a community gym. The Department has been incredibly helpful so far. Will it continue to work with me to bring forward that excellent plan?
ParlaMint-GB_2020-09-21-commons.u119	My hon. Friend is a great advocate for her constituents. We have recently received a bid from the council for that asset of community value and will be contacting it to discuss the offer and the value it would deliver for taxpayers.
ParlaMint-GB_2020-09-21-commons.u120	May I press the Secretary of State further on the Fleet Solid Support ships? Back in July in reply to my right hon. Friend the Member for North Durham (Mr Jones), he said that“such ships are not highly complex, so once the competition happens and it is placed, I do not think it will take long to build them…British shipbuilding and British yards produce some of the best ships in the world and we should support them as best as we can and ensure our navy gets some great British-made kit.”—[Official Report, 6 July 2020; Vol. 678, c. 660.]As EU regulations are no longer the excuse—if they ever really were the reason—why will the Secretary of State not commit today not only to build those ships in British yards, but to get a move on?
ParlaMint-GB_2020-09-21-commons.u121	The right hon. Gentleman will know that one of the challenges for our yards is not that they cannot make ships: it is simply that there is feast and famine. Sometimes we go from a pipeline that is full to a pipeline that is empty, and it is incredibly important that we schedule our shipbuilding to make sure we keep as much productivity and throughput in our yards as possible. On the point of the Fleet Solid Support ship, as I have said, we have started discussions and the competition will be issued. He will know that the previous competition was stopped. I am keen to make sure that we get it right for our Royal Navy, and the right hon. Gentleman should wait for the competition to be issued.
ParlaMint-GB_2020-09-21-commons.u122	Having served in the UK armed forces, I know what a rewarding career it can be. Covid has created many challenges in terms of not just health, but the hit on the economy and the pressure on employment. Many people are probably now looking at ways to supplement their income. Would my hon. Friend therefore redouble his efforts to encourage young people to consider a career in our reserve forces?
ParlaMint-GB_2020-09-21-commons.u123	I absolutely would. Hansard will show an earlier pitch for joining the regular armed forces, and now it will show a pitch for joining the reserve armed forces. Over the last few months, we have needed all the skills and experience that our reservists bring, and as the integrated review seeks to draw ever more on the expertise of those serving in the reserve as we expand our capability into new domains, now is a great time for someone to go down to their local reserve centre and join.
ParlaMint-GB_2020-09-21-commons.u124	The Secretary of State recently stated that the Ministry of Defence’s greatest asset was not tanks or aeroplanes, but its people. However, over the last decade, the Conservative Government have proceeded to make huge cuts to the level of armed forces personnel, and there has been a corresponding decrease in morale within the armed forces, going down from 60% in 2010 to 45% in 2020, so will the Secretary of State commit to finally putting a stop to these cuts to our brave armed forces?
ParlaMint-GB_2020-09-21-commons.u125	The hon. Member is wrong to make a connection between morale and numbers in that way. In my experience, and with the soldiers and sailors I have been meeting recently, morale is high. In my experience in serving, morale is mainly about when someone is used to do things usefully and when they are there on operations. He may like to reflect on the operational decline currently of our activity in our forces, which may well have some effect on morale On the issue of numbers, it is important not to reduce any armed forces debate to numbers alone. We need the size of the armed forces to be fit to meet the threat. It may be more. It may be less, but the key thing is to make sure we meet the threat and invest in those men and women we have who are serving.
ParlaMint-GB_2020-09-21-commons.u126	I have recently spoken with the founder of the Combat2Coffee project in Ipswich, which does vital work supporting local veterans’ wellbeing. One of the key issues that he and other veterans are facing is the bureaucratic and sometimes distressing health assessments that they have to go through to get the pensions and benefits that they are entitled to. Will my hon. Friend look at streamlining this process to make sure that veterans living with challenges such as PTSD are not put off accessing the support they deserve?
ParlaMint-GB_2020-09-21-commons.u127	I pay tribute to the men and women who work at Veterans UK. They have been working with historical records—paper records—for a long time. It could be a fairly unloved part of what the Government do. We are completely changing that and digitising all these records. It is our ambition that veterans’ care is in the palm of people’s hands, on a smartphone application by the end of this Government, and we will make sure that this is the best country in the world in which to be a veteran.
ParlaMint-GB_2020-09-21-commons.u128	In order to allow the safe exit of hon. Members participating in this item of business and the safe arrival of those participating in the next, I suspend the House for three minutes.
ParlaMint-GB_2020-09-21-commons.u129	With permission, Mr Speaker, I would like to make a statement on coronavirus. This deadly virus continues to advance across the world. The World Health Organisation has confirmed that the number of new cases in Europe is now higher than during the peak in March. Here, the latest Office for National Statistics figures indicate 6,000 new infections a day—almost double the previous week As the chief medical officer and the chief scientific adviser said earlier today, we are seeing a rise in cases across all age groups. That pattern is emerging across the entirety of our United Kingdom. Earlier this afternoon, the Prime Minister held discussions with the First Ministers of the devolved Administrations and the Deputy First Minister of Northern Ireland to make sure that, wherever possible, we are united in our efforts to drive this virus down We know that the epidemic is currently doubling around every seven days and that, if we continue on that trajectory, we could see 50,000 cases a day by mid-October, so there can be no doubt that this virus is accelerating. We must all play our part in stopping the spread I would like to update the House on decisions the Government have taken so far. The first line of defence is, of course, the social distancing that every single one of us has a responsibility to follow. That includes the basics—hands, face and space, and the rule of six—and a crucial part of that is people self-isolating if they are at risk of passing on the virus. People who have tested positive and their close contacts must self-isolate. That is the primary way that we, together, break the chains of transmission I know that self-isolation can be tough for many people, especially if they are not in a position to work from home. I do not want anyone having to worry about their finances while they are doing the right thing, so we will introduce a new £500 isolation support payment for people on low incomes who cannot work because they have tested positive or who are asked to self-isolate by NHS Test and Trace. It will start next Monday. It will apply directly in England. The UK Government will be providing funding through the Barnett formula to the devolved Administrations so that similar support can be offered to people in Scotland, Wales and Northern Ireland As we are strengthening our support for those who self-isolate, we propose to strengthen the sanctions for those who do not. The vast majority of people who are asked to self-isolate do, but the rules are so important that we must ensure that nobody breaks them. We are therefore proposing a new legal duty to self-isolate, again for people who test positive or who are asked to do so by NHS Test and Trace. That is backed by fines of up to £10,000 for repeat offences and serious breaches We will step up enforcement too. NHS Test and Trace will make regular checks on those who are self-isolating, and we will crack down on employers who try to prevent staff from following the rules. Over the past few months, self-isolation has been instrumental in breaking the chain and blunting the force of this virus. We know that it works. With winter ahead, we will support everyone to do what is right to help stop the spread of the virus. The next line of defence is testing and contact tracing. We are doing more testing per head than almost any other major nation. Our daily testing capacity is now at a record high of 253,521, and it continues to grow. On Thursday, we announced that two new Lighthouse labs will be set up in Newcastle and Bracknell, increasing capacity further. As the House knows, alongside that record expansion, demand has gone up, too, so we need to prioritise the tests for those who need them most to save lives, to protect the most vulnerable and to make sure that our health and care services and our schools can operate safely Today, we have published our list of where tests are being prioritised, setting out how we will make sure tests are allocated where they are needed most: first, to support acute clinical care; second, to support and protect people in care homes; third, NHS staff, including GPs and pharmacists; fourth, targeted testing for outbreak management and surveillance studies; fifth, testing for teaching staff with symptoms, so we can keep schools and classes open; and then the general public when they have symptoms, prioritising those in areas of high incidence. I want to reinforce this important point: the system relies on people coming forward for tests if—and only if—they have symptoms of coronavirus or have been specifically advised to by a health professional. The testing capacity we have is valuable and we must together prioritise it for the people who need it the most The next part of our defence is local action. We have been vigilant in monitoring the data and putting in place targeted local measures so that we can come down hard on the virus wherever we see it emerging. In the summer, when the virus was in retreat, we were able to relax some of the measures that we had put in place, but now as the virus is spreading once more we have had to act On Thursday, I updated the House on the changes we are making in parts of the north-east, and on Friday we introduced new rules for parts of the north-west, West Yorkshire and the midlands. We have seen some concerning rates of infection in those areas. Liverpool, for instance, now has more than 120 cases per 100,000 population, and in Warrington it is about 100. As a result, working with local councils, we are putting in place stronger restrictions to protect local people. In parts of Lancashire, Merseyside, Warrington and Halton, we are putting in place new measures from tomorrow. As with our strategy overall, our goal is to protect education and employment as much as possible, while bearing down on the virus. Residents should not socialise with people outside their own households or support bubble. Hospitality will be restricted to table service only and operating hours will be restricted, so venues must close between 10 pm and 5 am. From tomorrow in Wolverhampton, Oadby and Wigston and the whole of Bradford, Kirklees and Calderdale, people should not socialise outside their household or support bubble We know from experience that local action can work when local communities come together to follow the rules, to tackle the virus and to keep themselves safe. I know how hard that is. We are constantly looking to how we can ensure measures bear down on the virus as much as possible, while protecting lives and livelihoods. I have heard the concerns about the impact of local action on childcare arrangements. For many, informal childcare arrangements are a lifeline, without which they could not do their jobs. Today, I am able to announce a new exemption for looking after children under the age of 14 or vulnerable adults where that is necessary for caring purposes. That covers both formal and informal arrangements. It does not allow for playdates or parties, but it does mean that a consistent childcare relationship that is vital for somebody to get to work is allowed I would like to thank colleagues from across the House, including my right hon. Friend the Member for Berwick-upon-Tweed (Anne-Marie Trevelyan) and the hon. Member for Sunderland Central (Julie Elliott) and my hon. Friend the Member for North West Durham (Mr Holden) for working with us on this important issue. I hope the change will provide clarity and comfort to many people who are living with these local restrictions. It shows the benefit of cross-party working across the House and listening to concerns as we all do our best to tackle this dreadful disease together The virus is spreading. We are at a tipping point. I set out today the measures the Government are taking so far. We are working right now on what further measures may be necessary, and the Prime Minister will update the House tomorrow with any more action that we need to take. This is a moment where we, once again, must come together to tackle this deadly disease. I commend this statement to the House.
ParlaMint-GB_2020-09-21-commons.u130	I welcome advance sight of the Secretary of State’s statement, and we particularly welcome the action that he has taken on childcare. There can be no doubt that the presentations that we saw today from the chief medical officer and the chief scientific adviser were stark and deeply concerning. The Secretary of State yesterday described this, and he repeated it today, as a tipping point. I agree that we are at a perilous moment The exponential growth in the virus cannot be ignored. This virus takes lives, and it leaves many with long-term debilitating conditions. Every reasonable action must be taken to save lives, minimise harm and keep our children in school. That means a suppression strategy to drive infections down, so will the Secretary of State reject those siren voices telling him that the virus has lost potency or that we should let it rip through the herd while the vulnerable shield We support the local restrictions that the Secretary of State has had to impose, including in Chorley, Mr Speaker, and we understand why he has made that decision. Neither he nor I came into politics to place upon individuals a heavy burden of curtailments on our freedoms, and while we, as the official Opposition, would always welcome greater parliamentary scrutiny of the restrictions, we will continue to work constructively on a cross-party basis where restrictions are necessary to arrest the spread of this virus May I also say to the Secretary of State, ever so politely of course, that the tone of his remarks yesterday rather gave the impression that he was blaming people for breaking the rules and allowing the virus to grow? The reality is that people have done everything that they were asked to do. They have missed birthday celebrations, weddings and funerals. They have sent their children back to school, quite rightly. They have gone back to work. They have done what they were asked to do; in return, Ministers were supposed to fix test, trace and isolate, so that we could, in the words of his own Government adverts, “get back to the things we love.” Before the summer, the Government commissioned the Academy of Medical Sciences to scenario plan. It modelled that the R value could rise to 1.7 in September—that is what Imperial College currently estimates it to be—and it recommended significantly expanding the capacity of the test, trace and isolate programme to cope with increasing demands over the winter. Ministers were warned, but pillar 1 and pillar 2 testing capacity did not increase significantly over the summer In recent weeks, only half of all tests have been received in less than 24 hours. The Secretary of State has repeated his point about asymptomatic people asking for tests. Will he publish the pillar 2 data, which breaks down how many of the people asking for those tests were symptomatic and how many were asymptomatic? Many parents report going to walk-in centres with their sick children when they themselves had no symptoms and being given a test. Was that a national policy and has that national policy been abandoned We welcome the recognition that people need financial support to isolate. We have been saying that for months, but, as I understand it, it is available only to those low-paid workers who are also on benefits and not to all low-paid workers, so will the Secretary of State consider expanding the eligibility criteria We have always said that when testing breaks down, tracing breaks down and the virus gets out of control. We are now facing a second wave of infection. We do not want a second wave of ministerial mistakes. All of us want to avoid a further national lockdown. Lockdowns or circuit breaks exact a heavy social and economic price, especially on the poorest and more vulnerable, but controlling the virus and protecting the economy are linked objectives, not in conflict with one another I understand that the Secretary of State will tell us that we have to anticipate the Prime Minister’s statement, but can he confirm that during a lockdown, if we have one, he will use the time wisely, expand NHS lab capacity, put public health teams in the lead on contact tracing, quickly assess the university pilots on saliva testing, and validate polymerase chain reaction pool testing, so that when those lockdown restrictions are lifted we can contain the virus in the future I welcome what the Secretary of State said about prioritising NHS staff, care workers and teachers, but can he clarify why he has issued guidance to hospital trusts placing restrictions on the numbers of tests that they can carry out, and how he will protect care homes? According to reports today, many care homes have had to wait over two weeks for their test results, and data from Public Health England shows that more than 200 care homes have had an outbreak of covid in the last two weeks. Will he ensure that no one is discharged into a care home without having a covid test? Given where the virus is, what is his advice to the shielding community? What protections is he putting in place for those from black, Asian and minority ethnic communities, given that there are disproportionate numbers from those communities in intensive care units today? None of us wants to see another lockdown or circuit break, and we will of course understand if one becomes necessary, but test, trace and isolate should have been fixed. That failure has left us vulnerable and exposed. Now we must act with speed to save lives and minimise harm.
ParlaMint-GB_2020-09-21-commons.u131	I am grateful to the hon. Gentleman for his constructive approach in these difficult times. He and I agree that the strategy of suppressing the virus while protecting the economy and education is the right one. In so doing, it is important to act fast so as not to have to act bigger later. I also agree that no one in this House came into office to put in place restrictions like these. He asked about the importance of people following the rules that we have put in place. It is vital that all people follow the rules. The vast majority have done so throughout but, critically, enough have not, meaning that in many cases we have had to make the rules mandatory, rather than relying on people’s sense of civic duty. That is the fundamental judgment behind making self-isolation mandatory, as I announced in the statement The hon. Gentleman asked about testing. Of course, we have record testing capacity right now—a record 233,000 tests were done on Friday—and lab capacity will continue to grow. He also asked about the NHS testing capacity, which will also continue to grow. In fact, I had a meeting about that earlier today with Simon Stevens, the head of NHS England. The hon. Gentleman asked about pool testing and saliva testing, which are just two of the many new testing capabilities that we are bringing to bear. He also asked me to ensure that there will be no admissions to care homes without a test. That is our policy: not just no discharges from hospital into care homes without a test, but no admission from anywhere into care homes without a test. That was reiterated in the social care winter plan that we set out on Friday I suppose that at the heart of the official Opposition’s response, and at the heart of my response to the hon. Gentleman, is the fact that we are united in wanting to tackle this virus, and in sending the message to everyone across the country that it is critical that we all follow the rules and play our part so that we can suppress the virus while protecting, as much as possible, the things that we love.
ParlaMint-GB_2020-09-21-commons.u132	I support the measures outlined by the Health Secretary, which regrettably are both necessary and proportionate. Last week, on World Patient Safety Day, the WHO announced a charter for health worker protection, which asks all WHO member states to commit not only to having adequate supplies of personal protective equipment and mental health support, but to ensuring that there is zero tolerance of violence against health workers. Will he commit the Government to signing up to the charter so that, as we go into a second wave, all our brave frontline workers know that this Government and this House stand four-square behind them?
ParlaMint-GB_2020-09-21-commons.u133	Yes, I will happily sign up to the proposals that my right hon. Friend has set out. As the House well knows, his long-standing and international work on patient safety is very impressive. We must ensure that in these difficult times we protect our care workers and frontline staff—including, if I may say so, the staff at the testing centres—and that we reiterate once again our commitment to patient safety.
ParlaMint-GB_2020-09-21-commons.u134	I welcome back Philippa Whitford.
ParlaMint-GB_2020-09-21-commons.u135	Thank you, Mr Speaker. As the chief medical officer and chief scientific advisers said this morning, the UK is in danger of losing control, as we have seen happen in many countries in Europe. As the Secretary of State has said, we could be facing 50,000 new cases a day by mid-October, leading to about 200 deaths a day by mid-November. No one should be in any doubt that it is a mistake to think that the virus has changed and that it will not kill people if we get back to where we were in April I agree utterly with the Secretary of State that we need to take action now, and that action is personal; every single person has the responsibility to stick to the rules—to wear a face covering, wash their hands and keep their distance. I remind Members in this House, because I have been watching it from outside, that that is not always what is on show in this Chamber, and we all have a responsibility to set an example. That responsibility extends to self-isolating, whether we have symptoms, we are proven, we are a contact or we have returned from a high-risk country. If we are meant to be isolating, we need to do it. I really welcome the fact that the Government are finally putting in place financial support for people on low incomes, who might be tempted not to isolate because they simply do not have any other opportunities to feed their family However, it is crucial that we have a fast and responsive test and trace system, so I have a couple of questions for the Secretary of State. In recent weeks, he has talked about aiming to have 500,000 tests a day by the end of October. Given the surge we are facing, does he envisage being able to accelerate that and bring it forward? Secondly, on 8 and 15 September he committed to me that he would be increasing funding to expand NHS testing, but, as we heard from the shadow Secretary of State, NHS trusts in England have been told that funding is capped and they are not to expand covid testing. Surely this is resource that we want to use and make available.
ParlaMint-GB_2020-09-21-commons.u136	I wholeheartedly agree with the hon. Lady’s comments about the need for action across the UK. We have seen in Scotland, as in England, Wales and Northern Ireland, that the number of cases has, sadly, risen sharply. I welcome her physically back to the Chamber, in demonstrating this unity of purpose across the four nations of the UK. If we can bring forward the goal of 500,000 tests per day from the end of October, of course we will do so; we are pushing that as hard as we can and are on track to meet that commitment. As she says, that is for across the UK, so it includes the tests done by the Scottish NHS. I know that conversations have taken place between the NHS in Scotland and the NHS in England to work on making that happen. We are expanding NHS testing, including the funding. In the funding letter that went out to the NHS for the second half of the financial year—for the cover in winter—we set out that that includes the commitment to support financially the testing done in the NHS in England.
ParlaMint-GB_2020-09-21-commons.u137	I welcome the measures my right hon. Friend has announced today, as he seems to be getting the balance absolutely right, and I praise him for the job he is doing. However, we have to remember that there are huge regional variations in the impact of the virus at the moment and many parts of the country have much lower infection rates. There are huge consequences of this virus for people in our communities, including on their mental health, and, in particular, for the younger generation, who are paying a very heavy price. Given those regional variations, may I say, in the full knowledge of the pressures he is facing, that I do not believe the case for further national measures has yet been made?
ParlaMint-GB_2020-09-21-commons.u138	There is an important balance between the measures we need to take across the country as a whole, and the further and stronger measures in local areas. My right hon. Friend will have seen, particularly in the past week, that we have expanded some of those local interventions to cover bigger geographies, but he is right to say that there are some parts of the country where, thankfully, the number of cases is still very low. So the balance between what we do nationally and what we do locally is as important as the balance in terms of what we do overall.
ParlaMint-GB_2020-09-21-commons.u139	I am sure the Secretary of State will agree that one of the greatest tragedies of the first wave of this dreadful virus was the loss of life in and the impact on our social care sector, and we must learn the lessons from that as we head into a second wave. While he has emphasised in the media and in his statement the prioritisation of testing in care homes, could he explain why a number of care homes are still reporting a two-week delay in receiving test results? Will he clarify whether the prioritisation also includes staff providing care in people’s homes?
ParlaMint-GB_2020-09-21-commons.u140	Care home testing is incredibly important. We have brought down some of the response times, and I am glad to report to the House that, since last week, when we debated the very sharp rise in demand, including among asymptomatic people, that demand has come down somewhat, and the pressures are a little lower on the testing system as a whole. That does not mean that we do not want to increase capacity further—of course we do. It is very important that we have tests available for all vulnerable people, whether they live at home or in a care home.
ParlaMint-GB_2020-09-21-commons.u141	The scientific evidence is that covid is detectable by test within seven days of someone being infected, so why should people who have been made to self-isolate not be tested seven days after a possible infection and released if they test negative?
ParlaMint-GB_2020-09-21-commons.u142	The incubation period before which the virus can present itself is still estimated to require 14 days of self-isolation. If we could bring that figure down, I would be the first to be pleased to do so. As with our decision to take to 10 days the period for which somebody who has tested positive must self-isolate, this is a critical point, and we must rely on the scientific evidence. If my right hon. Friend has further scientific evidence, I would be happy to look at it.
ParlaMint-GB_2020-09-21-commons.u143	Does the Secretary of State think that a £10,000 fine will act as a disincentive to poorer people getting a test?
ParlaMint-GB_2020-09-21-commons.u144	We have put in place the extra £500, in addition to other income that people are getting, to support people on low incomes to self-isolate. If someone who is on a low income has symptoms and wants to know whether they have the virus, the result of having a positive test is that they will get the extra £500, and then of course they have to self-isolate. I am confident that people will come forward and do not only the right thing for society but the right thing for them, to find out the cause of their illness if they have symptoms.
ParlaMint-GB_2020-09-21-commons.u145	I thank the Secretary of State for the extra £2.5 million for Worcestershire Acute Hospitals NHS Trust and the extra money for the social care system in Worcestershire. Can I clarify what the advice is these days for people who would normally have fetched up at A&E? Is it to call 111 in every instance?
ParlaMint-GB_2020-09-21-commons.u146	Yes. We are moving to a system where the advice is to call 111 First and then go to A&E, or call 999 if it is an emergency and you need an ambulance. That system will not only help people to be triaged for the right treatment, which may be to see a GP, go to an urgent treatment centre or go to A&E. It will also help the emergency department to know that people are coming. The combination of the two is critical. We are rolling this out over the next couple of months, and we aim to have it in place across the country by 1 December.
ParlaMint-GB_2020-09-21-commons.u147	Despite what the Secretary of State has said today, we are still hearing myriad stories of people—our constituents—being unable to get tested. The worst story I have heard is a constituent who was told to travel 600 miles to Aberdeen to get a test. Why is that the case, when we are constantly told by Ministers that there is no problem?
ParlaMint-GB_2020-09-21-commons.u148	Nobody has addressed the problems and challenges in the testing system more than me. We need to resolve those problems, as we have in very large part resolved the problem of people being sent long distances. I would love to know the example that the hon. Gentleman cites, because I am told that that problem in the system was fixed last week, and if there is a more recent example, I want to know about it.
ParlaMint-GB_2020-09-21-commons.u149	I welcome my right hon. Friend’s commitment to the expanding of testing, which is clearly key to identifying the virus and stopping its spread. I direct him to an article in The Times today about private businesses expanding testing capacity. BAE in my constituency is testing almost 6,000 employees on a weekly basis and is keen to expand that into the community. I know that my right hon. Friend has already started to engage on this issue, but I urge him to do everything he can to cut through any red tape, expand such testing as quickly as possible and use every tool at our disposal.
ParlaMint-GB_2020-09-21-commons.u150	Of course we support businesses and others who want to get tests outside the NHS Test and Trace system; last week we published a paper on how they can go about doing that, and we encourage businesses to do that for their employees. The critical thing is that if people test positive, that data must, by law, flow to Public Health England so that we can do the necessary contact tracing and enforce the isolation that is going to be mandatory from next Monday. We strongly support that sort of action, whether it is taken by employers or, indeed, the University of Cambridge, which proposes to do the same for its students.
ParlaMint-GB_2020-09-21-commons.u151	Liverpool incidence rates have increased quickly and we are now on the precipice of local lockdown. There has been an increase of 247 cases on the previous week’s figures and the latest weekly rate in Liverpool is now 120 per 100,000, as the Secretary of State mentioned. What additional resources does the Secretary of State plan to provide to Liverpool and other local authorities to assist them in dealing with further localised outbreaks?
ParlaMint-GB_2020-09-21-commons.u152	The hon. Lady asks an important question. We are putting more testing into Liverpool, notwithstanding the challenges in testing capacity, because it is exactly the sort of place where we need to put that testing. We are also bringing in £500 of support for everybody on a low income who has to self-isolate, whether they have tested positive themselves or are a contact of somebody who has tested positive and have been contacted through NHS Test and Trace. I support the hon. Lady in her work as the local representative to explain to her constituents in Liverpool, Riverside how important it is to follow the rules.
ParlaMint-GB_2020-09-21-commons.u153	The whole country will recognise the unenviable choices that the Government face at this time. Whatever further measures are in contemplation for the days ahead, may I issue a plea for proportionality? Does the Secretary of State agree that human beings in a free society must have a right to some social contact as they go about their daily lives, even at this difficult time?
ParlaMint-GB_2020-09-21-commons.u154	I agree with that 100%. We put in place support bubbles for single households—those who live alone—during the lockdown precisely for that reason. I remember having a Zoom with a whole load of people and somebody said, “I haven’t seen anybody in person for four months,” and I thought that could not be good or right. We have put in place support bubbles for single households for that purpose and of course bear such impacts in mind when we take the decisions we take.
ParlaMint-GB_2020-09-21-commons.u155	I am sure the Secretary of State will agree that we in Kirklees and West Yorkshire are working hard as a team to meet the crisis in these uncertain times, with tens of thousands of students now moving across the country. Will he bear in mind the fact that our system relies on fit and healthy NHS staff? The crisis we are in is getting worse, and if we get a virulent flu virus this winter, which is coming soon, and that knocks out a large percentage of NHS staff, we are going to be in serious trouble. A significant percentage of NHS workers are refusing to get a flu jab; what can we do about that?
ParlaMint-GB_2020-09-21-commons.u156	The hon. Gentleman and I have occasionally tangled across these Dispatch Boxes, but I wholeheartedly support what he said and agree with him entirely. It is policy that everybody in the NHS should get a flu jab. The NHS flu programme has already started to roll out and will shortly roll out more broadly. Although it is not mandated this year, I can see no good reason why somebody in the NHS should not get a flu jab, unless they have a very specific clinical condition. We look to all NHS staff to provide leadership in their communities by getting the flu jab. It is free for everybody who works in health and social care and they should get it.
ParlaMint-GB_2020-09-21-commons.u157	It was brought to my attention by parents this weekend that some Leeds City Council schools in my constituency are telling parents that if their child has an upset stomach or general malaise they need to go home, isolate and not come back to school until they have had a negative test. Does my right hon. Friend agree that that is not NHS England advice, and puts unwarranted pressure on the test and trace system? Does he agree that Leeds City Council should get a grip on this immediately?
