ParlaMint-GB_2016-01-26-commons.u1	1. What his policy is on the autonomy of prison governors; and if he will make a statement.
ParlaMint-GB_2016-01-26-commons.u124	I want fewer women in the criminal justice system, which is why, in partnership with the Government Equalities Office, we have made £200,000 of grant funding available, to add to the £1 million already invested to support local pilots for female offenders. This is where multiple agencies work together and intervene earlier to help address the complex reasons why women offend and assist them in turning their lives around.
ParlaMint-GB_2016-01-26-commons.u125	Does the Minister agree that more needs to be done to steer vulnerable women away from crime and reoffending? I am aware that the Department is looking at this as part of a whole-system approach, but will she update the House on how it is progressing and what more is being done to tackle the issue?
ParlaMint-GB_2016-01-26-commons.u126	Yes, the whole-system approach I have outlined demonstrates our commitment to divert as many women as possible away from custody by addressing the causes of offending, which left unchecked often spiral into prison sentences, family breakdown and children in care. That is why we will announce the successful bids for the pilot later this week.
ParlaMint-GB_2016-01-26-commons.u127	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2016-01-26-commons.u128	I have already had occasion in the House to offer my thanks and gratitude to Nick Hardwick, the outgoing chief inspector of prisons, and to Paul Wilson, the outgoing chief inspector of probation. Their expertise will not be lost to the criminal justice system, however, because, as I am delighted to announce today, I will be appointing Nick Hardwick as the new chair of the Parole Board. He will succeed the current chair, Sir David Calvert-Smith, who is due to leave at the end of March. I thank him for his service.
ParlaMint-GB_2016-01-26-commons.u129	The courts Minister, my hon. Friend the Member for North West Cambridgeshire (Mr Vara), will know that last year I wrote a report on former service personnel in the criminal justice system that recommended, among other things, training for members of the Bar, solicitors and judges to deal with this cohort—albeit a small cohort—of offenders. What steps is my right hon. Friend taking to ensure that court staff—those actually employed in the courts—receive appropriate training to deal with these individuals?
ParlaMint-GB_2016-01-26-commons.u130	My hon. and learned Friend, who is a distinguished veteran as well as an outstanding silk, makes an important point. He produced an excellent report on offenders who have been in the armed forces. Court staff are trained to deal with the specific needs of veterans, and we are aware that there are particular needs, which might relate to post-traumatic stress disorder and associated mental health concerns, to which court staff need to be sensitive.
ParlaMint-GB_2016-01-26-commons.u131	I commend the Secretary of State for his appointment of Nick Hardwick to the Parole Board. I am sure he will be just as forensic there as in his current role Exactly a year ago, my right hon. Friend the Member for Tooting (Sadiq Khan), with his usual prescience, said that the new criminal legal aid contracts were “making a pig’s ear of access to justice” and should be abandoned. Will the Secretary of State confirm the press reports that he is about to do just that?
ParlaMint-GB_2016-01-26-commons.u132	I thank the hon. Gentleman for his praise for Nick Hardwick. I believe he is the right person to discharge this role precisely because he has spoken without fear or favour and has been an honest critic who has followed where the evidence has led him. I am sure he will appreciate the bipartisan support for his appointment We have had to reduce the spend on criminal legal aid to deal with the deficit we inherited from the last Government, but this country still maintains more generous legal aid than any other comparable jurisdiction.
ParlaMint-GB_2016-01-26-commons.u133	An hour ago at the Justice Select Committee, the Master of the Rolls described the fee increases affecting civil litigants of small businesses as a desperate way of carrying on based on hopeless research. He laughed when asked by the hon. Member for Cheltenham (Alex Chalk) if anything in the Government’s argument stood up to scrutiny.
ParlaMint-GB_2016-01-26-commons.u134	indicated dissent.
ParlaMint-GB_2016-01-26-commons.u135	It is another car crash. Is it time for another U-turn?
ParlaMint-GB_2016-01-26-commons.u136	I can hear, borne like music upon the zephyrs, words from my hon. Friend the Member for Cheltenham (Alex Chalk) suggesting that, for once, the hon. Gentleman may be misinformed about what precisely happened in the Select Committee. But putting that entirely to one side, one of the biggest barriers to justice, as the Master of the Rolls and others have pointed out, is costs. Action needs to be taken to reduce costs in civil justice. It is not enough simply to say that the taxpayer must shoulder the burden. We need reform of our legal system to make access to justice easier for all.
ParlaMint-GB_2016-01-26-commons.u137	T2. I know that my hon. Friend regards access to justice as a clear priority. With that in mind, and given the large area of north-east Cheshire that will be without easy access to a court under the proposals in the current consultation, can he tell the House what progress is being made in considering the Macclesfield proposal for a single, combined Macclesfield justice centre?
ParlaMint-GB_2016-01-26-commons.u138	I thank my hon. Friend for the meeting we had and for the justice centre report that he and his constituent presented to me. He will be aware that we are giving serious consideration to that report and, indeed, to the 2,000-plus submissions made in the consultation, to which we will respond soon.
ParlaMint-GB_2016-01-26-commons.u139	T3. Women’s Aid published a report last week entitled “Nineteen Child Homicides”. It tells the story of 19 children and two mothers killed by known perpetrators of domestic abuse in circumstances related to unsafe child contact. How will the Department work with Women’s Aid and others to ensure that no further avoidable child deaths take place where perpetrators of domestic abuse have been allowed contact through the family court?
ParlaMint-GB_2016-01-26-commons.u140	We take concerns about child safety extraordinarily seriously, and I know that my colleague the Minister responsible for family law has been in touch with charities that work in this sphere in the past. We will make sure that we pay close attention to that report.
ParlaMint-GB_2016-01-26-commons.u141	T6. Does my hon. Friend share my anger and that of my constituent Carol Valentine, whose son Simon was tragically killed while serving his country in Afghanistan, at law firms such as Leigh Day, which are heavily involved in actions against veterans and serving members of our armed forces? What action can the Government take to close down this industry, which is causing so much unnecessary distress to our armed forces and their families?
ParlaMint-GB_2016-01-26-commons.u142	We do share my hon. Friend’s concerns. He will be aware of the Prime Minister’s announcement on Friday. The professionalism of our armed forces is second to none, but we cannot have returning troops hounded by ambulance-chasing lawyers pursuing spurious claims. The Justice Secretary has asked me to chair a working group with the Minister for the Armed Forces to look at all aspects of this—no win, no fee; legal aid rules; time limits for claims; and disciplinary sanctions against law firms found to be abusing the system—so that we prevent any malicious or parasitic litigation from being taken against our brave armed forces.
ParlaMint-GB_2016-01-26-commons.u143	T4. Can the Minister confirm how many times contract breaches at G4S establishments have occurred under contracts with his Department and what amount in fines has been incurred by G4S in respect of those breaches?
ParlaMint-GB_2016-01-26-commons.u144	I do not have the detailed information that the hon. Lady has asked for, but if she will allow me, I will write to her with the details.
ParlaMint-GB_2016-01-26-commons.u145	T8. My hon. Friend is aware of the serious problems associated with radicalisation in our prisons. Can he update the House on what steps are being taken to tackle it?
ParlaMint-GB_2016-01-26-commons.u146	I understand my hon. Friend’s proper interest in this subject. As the threat evolves, we evolve our response. I can tell her that we are strengthening the training for new prison officers to ensure that they are able to tackle criminal activity in whatever form it takes within prisons. As the Secretary of State said earlier, he has asked the Department to review its approach to dealing with Islamist extremism in prisons, and we await that report shortly.
ParlaMint-GB_2016-01-26-commons.u147	T5. It is worth repeating the damning indictment of this Government given by the Lord Chief Justice just two weeks ago:“Our system of justice has become unaffordable to most”.Will the Secretary of State take heed of those comments and also follow the Scottish National party lead by committing to the abolition of tribunal fees?
ParlaMint-GB_2016-01-26-commons.u148	I take very seriously everything that the Lord Chief Justice says, and that is why I am delighted to be able to work with him on a programme of courts reform, which should make access to justice swifter, more certain and cheaper. Of course it is important that we learn from different jurisdictions, but even as we look to Scotland from time to time to see what we can learn from the development of the law there, it is also important that from time to time those charged with what happens in Scottish courts should look at the tradition of English justice, which, as a Scotsman myself, I would have to acknowledge has certain superior elements.
ParlaMint-GB_2016-01-26-commons.u149	T9. Does the Minister agree that improving the mental health of prisoners should be a top priority and specifically that when a prisoner is released from prison with a known mental health condition, there should be close liaison between the prison authorities, local GPs and local health services to put a care plan in place?
ParlaMint-GB_2016-01-26-commons.u150	My hon. Friend is absolutely right, and I pay tribute to his long interest and great expertise in this particular issue. He will probably know that local commissioning groups in England and local health boards in Wales are responsible for services in the community. NHS healthcare staff in prisons are responsible there. It is their job to make sure that services provided in the prison are followed through in the community. We go to great efforts to make sure that happens.
ParlaMint-GB_2016-01-26-commons.u151	T7. Will the Secretary of State meet his colleague the Immigration Minister to explain that the Minister’s Bill, which would allow migrant families to be evicted without even a court order, is contrary to the rule of law and the right to a fair hearing, and must be urgently reconsidered?
ParlaMint-GB_2016-01-26-commons.u152	I enjoy meeting both the Home Secretary and the Immigration Minister, and this Government would never do anything that was contrary to the rule of law, but we must ensure that we safeguard our borders. It is an issue of profound public concern that immigration across the European Union is not being effectively controlled. Our Home Secretary is in the lead in taking the measures necessary to keep our borders secure. I would have thought it would be in the interests of every citizen of the United Kingdom to stand behind her in that fight.
ParlaMint-GB_2016-01-26-commons.u153	T10. Further to the question asked by my hon. Friend the Member for North Warwickshire (Craig Tracey), does my hon. Friend agree that people in this House will find it despicable that two firms and possibly more are actively seeking—soliciting, in fact—people in Iraq to make spurious and bogus claims against our servicemen overseas? Will he reject reports in newspapers that we still intend to give legal aid to these appalling claims?
ParlaMint-GB_2016-01-26-commons.u154	My hon. Friend will have heard my earlier remarks. I am concerned about the way in which the system operates. It is important to say that there is accountability for any wrongdoing, but that does not mean giving lawyers a licence to harass our armed forces. We will look at every angle, including the point about legal aid that he made, as well as no win, no fee, and, of course, disciplinary powers against lawyers who try to abuse the system.
ParlaMint-GB_2016-01-26-commons.u155	In 2012, the Minister’s own Department spent £1.7 million refurbishing St Helens courthouse to accommodate civil and criminal proceedings in the same building, declaring that it was efficient and logical. Are we to assume therefore that considering the closure of the same courthouse just four years later is illogical and inefficient, or would the Minister like to rule that out today?
ParlaMint-GB_2016-01-26-commons.u156	No final decisions have yet been taken, and we are taking into account a whole variety of considerations. The consultation concerns 91 courts throughout England and Wales, and it is about making our system better and one of the best in the world.
ParlaMint-GB_2016-01-26-commons.u157	Following the question from my hon. Friend the Member for Halesowen and Rowley Regis (James Morris), what steps are being taken to ensure that all prisoners with mental health issues are dealt with safely, appropriately and compassionately?
ParlaMint-GB_2016-01-26-commons.u158	I am glad that my hon. Friend has raised this issue again. Whenever a prisoner comes into prison, they immediately have a full health assessment. That health practitioner has the ability to refer on to the prison’s in-reach mental health services. Furthermore, through our liaison and diversion services, we now have either learning disability or mental health nurses available at police stations and in courts, so we can start the mental health treatment right at the beginning of the journey into the criminal justice system.
ParlaMint-GB_2016-01-26-commons.u159	I hope that the Secretary of State, who takes a keen interest in this issue, will meet me and Brake to discuss my Criminal Driving (Justice for Victims) Bill. May I gently point out that the consultation on this started on 6 May 2014 —a very long time ago, and we are not expecting to hear anything back from the right hon. Gentleman until later this year?
ParlaMint-GB_2016-01-26-commons.u160	I am grateful to the hon. Gentleman for the persistent and effective way in which he has continued to campaign for a change in the law. We had the opportunity to meet MPs from many parties to discuss the case for change. There was widespread agreement that change was needed, but no agreement about precisely what change. We will get back to him in due course.
ParlaMint-GB_2016-01-26-commons.u161	Given the significant rate of reoffending, would it not be better to focus on improving rehabilitation rather than simply on incarceration, especially in relation to short-term prison sentences?
ParlaMint-GB_2016-01-26-commons.u162	My hon. Friend makes a powerful point. Few know more about what happens in our courts than he does as a result of his work as a barrister. Yes, it is important to put an emphasis on rehabilitation, but it is also important that we give all our citizens the security of knowing that those people who pose a real threat to us are incapacitated behind bars and receiving the punishment they deserve for the most heinous crimes.
ParlaMint-GB_2016-01-26-commons.u163	Last week the Public Accounts Committee heard from the chief executive of the Infrastructure and Projects Authority. He was asked what three projects kept him awake and worried him most, and the courts programme was one of them. We can add that to the list: to the tagging and translation services fiascos, and the concern that has been expressed about the big probation and prison programmes. Does the Secretary of State fear that his Department cannot cope with all this change?
ParlaMint-GB_2016-01-26-commons.u164	I look forward to having a cup of cocoa with the gentleman concerned to help him sleep more easily at night, as I manage to do.
ParlaMint-GB_2016-01-26-commons.u165	The Secretary of State made his name in the Department for Education as someone who would take on vested interests, but he has gone native in record time as Secretary of State for Justice. That includes hanging on every word that is said by the Howard League for Penal Reform—the NUT of the justice system—and reappointing Nick Hardwick. When will he get back his mojo and put the victims of crime at the heart of what he is doing? Come back Ken Clarke, all is forgiven!
ParlaMint-GB_2016-01-26-commons.u166	I am not sure that Labour Members would agree with the suggestion that I have become a sandal-wearing, muesli-munching, vegan vaguester. I think that they would probably say that I am the same red-in-tooth-and-claw blue Tory that I have always been. It is because I am a Conservative that I believe in the rule of law as the foundation stone of our civilisation; it is because I am a Conservative that I believe that evil must be punished; but it is also because I am a Conservative, and a Christian, that I believe in redemption, and I think that the purpose of our prison system and our criminal law is to keep people safe by making people better.
ParlaMint-GB_2016-01-26-commons.u167	We have learnt about the Secretary of State’s personal domestic habits, his political philosophy and, apparently, his religiosity to boot, and we are all greatly enriched as a consequence.
ParlaMint-GB_2016-01-26-commons.u168	On 4 November, the Prime Minister agreed to meet my constituent Tina Trowhill to discuss the baby ashes scandal. My constituent had already had a very helpful meeting with the Under-Secretary of State, and I wonder whether she will now help me to secure the meeting to which the Prime Minister agreed. May I enlist her support?
ParlaMint-GB_2016-01-26-commons.u169	We are very clear about the fact that what happened at Emstrey—and, sadly, at other crematoriums in England and Wales—must never happen again. In December, as the hon. Lady will know, we launched a consultation which will end in March. However, I shall be more than happy to make that representation on her behalf.
ParlaMint-GB_2016-01-26-commons.u170	rose—
ParlaMint-GB_2016-01-26-commons.u171	We are running very late, but the hon. Gentleman has not had a question, and I should like him to have one.
ParlaMint-GB_2016-01-26-commons.u172	Thank you, Mr Speaker. I greatly appreciate that The Minister will be aware of the strength of representations from Torbay about the proposal to close Torquay magistrates court. What progress is being made in the consideration of that proposal, and in the making of a decision to keep justice local in the bay?
ParlaMint-GB_2016-01-26-commons.u173	I hear my hon. Friend’s message loud and clear. We have met and corresponded, and I am giving serious consideration to all that has been said about the court in his constituency.
ParlaMint-GB_2016-01-26-commons.u174	(Urgent Question): To ask the Secretary of State for Health if he will make a statement about NHS England’s report on the death of William Mead and the failures of the 111 helpline.
ParlaMint-GB_2016-01-26-commons.u175	This tragic case concerns the death of a one-year-old boy, William Mead, on 14 December 2014 in Cornwall. While any health organisation will inevitably suffer some tragedies, the issues raised in this case have significant implications for the rest of the NHS, from which I am determined that we should learn. First, however, I want to offer my sincere condolences to the family of William Mead. I have met William’s mother, Melissa, who spoke incredibly movingly about the loss of her son. Quite simply, we let her, her family and William down in the worst possible way through serious failings in the NHS care that was offered, and I want to apologise to them, on behalf of the Government and the NHS, for what happened. I also want to thank them for their support for, and co-operation with, the investigation that has now been completed. Today NHS England published the results of that investigation—a root cause analysis of what had happened. The recommendations are far-reaching, with national implications The report concludes that there were four areas of missed opportunity on the part of the local health services, where a different course of action should have been taken. They include primary care and general practice appointments made by William's family, out-of-hours telephone conversations with their GP, and the NHS 111 service. Although the report concluded that they did not constitute direct serious failings on the part of the individuals involved, if different action had been taken at those points, William would probably have survived Across those different parts of the NHS, a major failing was that in the last six to eight weeks of William’s life, the underlying pathology, including pneumonia and chest infection, was not properly recognised and treated. The report cites potential factors such as a lack of understanding of sepsis, particularly in children; pressure on GPs to reduce antibiotic prescribing and acute hospital referrals; and, although this was not raised by the GPs involved, the report also refers to the potential pressure of workload There were specific recommendations in relation to NHS 111 which should be treated as a national, not a local, issue. Call advisers are trained not to deviate from their script, but the report says that they need to be trained to appreciate when there is a need to probe further, how to recognise a complex call and when to call in clinical advice earlier. It also cites limited sensitivity in the algorithms used by call-handlers to red-flag signs relating to sepsis The Government and NHS England accept these recommendations, which will be implemented as soon as possible. New commissioning standards issued in October 2015 require commissioners to create more functionally integrated 111 and GP out-of-hours services, and Sir Bruce Keogh’s ongoing urgent and emergency care review will simplify the way in which the public interacts with the NHS for urgent care needs. Most of all, we must recognise that our understanding of sepsis across the NHS is totally inadequate. This condition claims around 35,000 lives every year, including those of around 1,000 children. I would like to acknowledge and thank my hon. Friend the Member for Truro and Falmouth (Sarah Newton), who—as well as being the constituency MP of the Mead family—has worked tirelessly to raise awareness of sepsis and worked closely with UK Sepsis Trust to reduce the number of avoidable deaths from sepsis. In January last year I announced a package of measures to help to improve the diagnosis of sepsis in hospitals and GP surgeries, and significant efforts are being made to improve awareness of the condition among doctors and the public, but the tragic death of William Mead reminds us there is much more to be done.
ParlaMint-GB_2016-01-26-commons.u176	No one who watched the courageous interviews that Melissa Mead gave this morning could fail to be moved by this tragic case. I pay tribute to Melissa and her husband Paul, who have fought to know the truth about their son’s death and who are now campaigning to raise awareness and improve the care of sepsis. It is right that we should express our sorrow at what has happened, and the Health Secretary was right to apologise on behalf of the NHS. They key now is to ensure that the right lessons are learned and that action is taken. As the Secretary of State noted, the report found a catalogue of failures that contributed to William’s death, including four missed opportunities when a different course of action should have been taken. I want to press the Health Secretary on those areas First, the report states that William saw GPs six times in the months leading up to his death, but that none spotted the seriousness of the chest infection that cost him his life. Ministers were warned about poor sepsis care back in September 2013, when an ombudsman’s report highlighted “shortcomings in initial assessment and delay in emergency treatment which led to missed opportunities to save lives.” Will the Secretary of State tell us what action was taken following that report? Why was it only in December 2015, more than two years later, that NHS England finally published an action plan to support NHS staff in recognising and treating sepsis Secondly, the report found that the NHS 111 helpline failed to respond adequately to Melissa’s call. It concluded that if a doctor or nurse had taken her call, they would probably have seen the need for urgent action. The replacement of NHS Direct, which was predominantly a nurse-led service, with NHS 111 means the service relies on call-handlers who receive as little as six weeks’ training. So when will the Health Secretary review the training call-handlers receive, and will he consider increasing the number of clinically trained staff available to respond to calls The report says the computer programme that call-handlers are using did not cover some of the symptoms of sepsis, including a drop in body temperature from very high to low. Does the Health Secretary have confidence that the 111 service is fit to diagnose patients with complex, life-threatening problems who may not always fit the computer algorithm call-handlers have to rely on? Finally, may I ask the Secretary of State what he is doing to raise awareness of the symptoms of sepsis so that treatment can begin as quickly as possible? I know this is an issue that Melissa and Paul feel particularly strongly about and we owe it to them to implement the recommendations of the NHS England report and do all we can to ensure the failures in this tragic case are never, ever repeated.
ParlaMint-GB_2016-01-26-commons.u177	I hope I can reassure the shadow Health Secretary on all the points she raised First, there has been a sustained effort across the NHS since September 2013 to improve the standard of safety in the care we offer in our hospitals. An entirely new inspection system was set up that year. It has now nearly completed inspections of every hospital, and it has caused a sea change in the attitudes towards patient safety. Sepsis is one of the areas that is looked at. In particular it is incredibly important that when signs of sepsis are identified in A&E departments the right antibiotic treatment is started within 60 minutes. That is not happening everywhere, but we need to raise awareness urgently to make that happen, and that inspection regime is helping to focus minds on that On top of that—I will come to the issues around 111, and I agree that there are some important things that need to be addressed—a year ago I announced an important package to raise awareness of sepsis. It covers the different parts of the NHS. For example, in hospitals a big package on spotting it quickly has been followed from December 2015, with NHS England publishing the cross-system sepsis programme board report, which is looking at how to improve identification of sepsis across the care pathway The hon. Lady is right to raise the issue of faster identification by GPs. That is why, in January 2015, I announced that we will be developing an audit tool for GPs, because it is difficult to identify sepsis even for trained clinicians, and we need to give GPs the help and support to do that. We are also talking to Public Health England about a public awareness campaign, because it is not just clinicians in the NHS, but it is also members of the public and particularly parents of young children, who need to be aware of some of those tell-tale signs So a lot is happening, but the root cause of the issue is understanding by clinicians on the frontline of this horrible disease, and it does take some time to develop that greater understanding that everyone accepts we need. I can reassure the hon. Lady, however, that there is a total focus in the NHS now on reducing the number of avoidable deaths from sepsis and other causes, and that is something the NHS and everyone who works in it are totally committed to With respect to 111, there are some things that we can, and must, do quickly in response to this report, but there is a more fundamental change that we need in 111 as well. One thing we can do quickly is look at the algorithms used by the call-handlers to make sure they are sensitive to the red-flag signs of sepsis. That is a very important thing that needs to happen. NHS 111 has in some ways been a victim of its own success: it is taking three times more calls than were being taken by NHS Direct just three years ago—12 million calls a year as opposed to 4 million—and nearly nine of out 10 of those calls are being answered within 60 seconds. When it comes to the identification of diseases such sepsis, we need to do better and to look urgently at the algorithm followed by the call-handlers. Fundamentally, when we look at the totality of what the Mead family suffered, we will see that there is a confusion in the public’s mind about what exactly we do when we have an urgent care need, and the NHS needs to address that. For example, if we have a child with a high temperature, we might not know whether they need Calpol or serious clinical attention The issue is that there are too many choices, and that we cannot always get through quickly to the help that we need. We must improve the simplicity of the system, so that when a person gets through to 111, they are not asked a barrage of questions, some of which seem quite meaningless, and they get to the point more quickly and are referred to clinical care more quickly. We must simplify the options so that people know what to do, and that is happening as part of the urgent emergency care review. It is a big priority, and this tragic case will make us accelerate that process even faster.
ParlaMint-GB_2016-01-26-commons.u178	I join colleagues from across the House in sending deepest condolences to William’s parents. I welcome the Secretary of State’s response that he will put into action the recommendation from today’s report. May I draw out one aspect that has not been touched on so far, which is the comment in the report that out-of-hours services did not have access to William’s clinical records, and that had they been able to do so they would have seen how many times a doctor had been consulted, and that that would have been a clear red flag? Will he reassure me that that matter will be addressed across the NHS, so that all services have access to patients’ clinical records—of course with their consent?
ParlaMint-GB_2016-01-26-commons.u179	My hon. Friend is absolutely right. There is so much in this report, but we must not let some very important recommendation slip under the carpet, and that is one of them. We have a commitment to a paperless NHS, which involves the proper sharing of electronic medical records across the system. We have also instructed clinical commissioning groups to integrate the commissioning of out-of-hours care with the commissioning of their 111 services to ensure that those are joined up. It is a big IT project, and we are making progress. Two thirds of A&E departments can now access GP medical records, but she is absolutely right to say that it is a priority.
ParlaMint-GB_2016-01-26-commons.u180	Like others, I add my condolences to the family. It is hard to imagine anything worse for a family to face. Like many deaths in the NHS, it is always sad to look back and see that it was a catalogue of missed opportunities and errors. One thing I should like to pick up on is the fact that young children are very hard to assess. It is quite hard for a doctor to assess them when they are actually seeing them; they can be running round one minute and then keeling over half an hour later. It is particularly hard to pick up clues about their health over the phone. When NHS Direct services were started throughout the UK, they were based in local out-of-hours GP centres, which meant that the nurse could just pass the phone and say, “Can you come and chat, because I am not sure.” We had rules in our local one that if a young child was involved, they got a visit from our mobile service. Instead of such cases being put through call centres, I hope that the Secretary of State will agree in this review to have some dissemination back to a local system, so that these cases can be accelerated easily to a clinician.
ParlaMint-GB_2016-01-26-commons.u181	I agree with the broad thrust of the hon. Lady’s remarks. Of course she speaks with the authority of an experienced clinician herself. In this case, the tragedy was that there was actually a doctor who spoke to the Mead family on the night before William died, and he did not spot the symptoms. It is not simply a question of access to a doctor, but ensuring that doctors have the training necessary. However, as she says, dealing with cases such as this can be very difficult. The doctor’s view on that occasion was that, because the child was sleeping peacefully, it was fine to leave him until morning when, tragically, it was too late. Other doctors would say that that is a mistake that could easily have been made by anyone, which is why the report is right to say that it is about not individual blame, but a better understanding of the risks of sepsis. She is right in what she says. As we are trying to join up the services that we offer to the public, it is a good principle to have one number that we dial when we need advice on a condition that is not life-threatening or a matter for a routine appointment with a GP, and 111 is an easy number to remember. However, we need to ensure that there is faster access to clinicians when that would count, and that those clinicians can see people’s medical records so that they can properly assess the situation.
ParlaMint-GB_2016-01-26-commons.u182	As chair of the all-party group on sepsis, may I also pay tribute to the Mead family, who are now campaigning to ensure that no other child suffers in the same way as William? The Secretary of State has taken a great deal of interest in the UK Sepsis Trust and the work that it has been doing with the APPG. He will know that we are pressing for a campaign similar to the F.A.S.T campaign for strokes, as early diagnosis can save lives. Will he now consider very seriously funding such a campaign for sepsis, because there are thousands of deaths that could be prevented by a campaign that makes everyone aware of the signs of sepsis?
ParlaMint-GB_2016-01-26-commons.u183	I am happy to undertake that the Under-Secretary of State for Health, my hon. Friend the Member for Battersea (Jane Ellison), will look urgently into whether such a campaign would be right. I can reassure my right hon. Friend that the package that we put together and announced last January did contain what most people felt was necessary, but we can always look at whether more needs to be done. I commend her for her campaigning on the issue of sepsis. On a more positive note, when the NHS has decided to tackle conditions such as MRSA and clostridium difficile, it has been very successful. In the past three years, the number of avoidable deaths from hospital-acquired harms—the four major ones—has nearly halved, so we can do this. We should be inspired by the successes that we have had to make sure that we are much, much better at tackling sepsis.
ParlaMint-GB_2016-01-26-commons.u184	One reason why the number of calls to 111 has trebled is that people find it impossible to get to see their GP. As well as the shocking failings of this family’s GP, is it not the case that the Government were warned of the consequences of abolishing the popular and successful NHS Direct and of replacing it with a non-clinician led service? Will the Secretary of State look personally at the performance of 111 in the south-west, which has been bedevilled by failings ever since it was set up?
ParlaMint-GB_2016-01-26-commons.u185	I gently say to the right hon. Gentleman that when 111 was set up it had the support of the Opposition. The shadow Health Secretary at the time looked at the risk register. The number of calls has increased dramatically partly because demand for NHS services has increased dramatically. That does not mean to say that there are not important things that need to be improved. We need to look honestly at what went wrong. The 111 service was one of the four areas where we should have done better. I am happy to look carefully at what is happening with 111 in the south-west. One improvement is that, in many areas, we are integrating the commissioning of 111 with the Ambulance Service, and that is something that happens in the south-west. On the whole, that has been a positive experience, but I know that there have been problems in the south-west, and I am happy to look further at them.
ParlaMint-GB_2016-01-26-commons.u186	May I associate myself with those who have paid tribute and expressed condolences to the Mead family? Given the seriousness of this case, which we learned about today, what more can the Secretary of State do to reassure us about the clinical input and expert oversight of the NHS 111 service and its methods?
ParlaMint-GB_2016-01-26-commons.u187	All 111 services have clinicians present at call centres, so it is about not the availability of clinicians, but the speed with which they are involved in cases where they can make a difference. It is also about the training of those clinicians so that they can recognise horrible infections such as sepsis quickly. It is a combination of things. The important thing here is that if we are to give the public confidence in a simpler system where they have a single point of contact—albeit a phone line or a website—they need to be confident that if they are not immediately speaking to someone who is clinically trained they will be put through to such a person if it is necessary. We have not earned that confidence yet, which is why it is so important that we learn lessons from what happened in this tragic case.
ParlaMint-GB_2016-01-26-commons.u188	I was the Minister who set up NHS Direct, and one of the first cases that caused us to review the algorithms was a meningitis case. May I therefore say to the Secretary of State that just looking at the algorithms used by call-handlers will not be sufficient? It is clinically exceptionally difficult, and his review is too limited to address the problem.
ParlaMint-GB_2016-01-26-commons.u189	I understand what the right hon. Lady is saying, and of course I would listen to her because of her experience, but I reassure her that that is not the only thing that we are doing; we are doing lots of other things. The report makes many recommendations, one of which is to look at the algorithms that the call-handlers use to make sure that they are more sensitive to some of the red-flag signs of sepsis, meningitis and other conditions. There are lots of other recommendations. They include earlier access to clinicians where appropriate, and recommendations on the training of clinicians in the out-of-hours service, the training of GPs and the training of people in hospitals. So we will be undertaking a much bigger body of work as a result of this review.
ParlaMint-GB_2016-01-26-commons.u190	I welcome my right hon. Friend’s commitment to support CCGs to commission the 111 service and the out-of-hours service together where appropriate. He may be aware of some concerns in Norfolk about our out-of-hours service. What else is he doing to recruit, retain and support GPs in providing the round-the-clock care that people clearly need?
ParlaMint-GB_2016-01-26-commons.u191	I have said before at this Dispatch Box that successive Governments of both parties have under-invested in general practice, and that is part of the reason why it takes too long for many people to get a GP appointment. It is why we have said that we want to have about 5,000 more doctors working in general practice by the end of this Parliament. That is an important part of what we want to do The other side is improving our offer to the public. When you have a child with a fever, and you are not sure, and it is the weekend, very often you have a choice between an out-of-hours GP appointment, a weekend appointment at your GP surgery, calling 111 or showing up at an A&E department. It is just confusing to know the right thing to do. If we are to improve standards of care, we need to standardise safety standards across the NHS, including for spotting potential sepsis cases, and that means a much simpler system.
ParlaMint-GB_2016-01-26-commons.u192	My hon. Friend the Member for Lewisham East (Heidi Alexander), the shadow Secretary of State for Health, commented on the concerns expressed in the report about the quality and effectiveness of the tools at the disposal of call-handlers at the 111 service. How many other cases have been misdiagnosed by the 111 service?
ParlaMint-GB_2016-01-26-commons.u193	We believe from the independent case note analysis that has been done across the NHS, not just for sepsis but for hospital deaths, that there are around 200 avoidable deaths every week. That is something we share with other health systems; it is not just an NHS phenomenon. It is why we are asking hospitals to publish their estimated avoidable death rates, and we are having an international summit on that next month We think there are about 12,000 avoidable deaths from sepsis every year, and that is as a result of a combination of different parts of the NHS—GP, hospital or the 111 system—not spotting the signs earlier. That is what we are determined to put right.
ParlaMint-GB_2016-01-26-commons.u194	Looking across the NHS at how we ensure that learning and behaviour change, can the Secretary of State update the House on how the hospital payment system is changing to incentivise new diagnosis and better outcomes?
ParlaMint-GB_2016-01-26-commons.u195	My hon. Friend is right to say that we are doing that for hospitals. When I talk about 200 avoidable deaths every week, that is hospital deaths, not deaths as a result of problems in the 111 service. It is much harder to quantify avoidable deaths outside hospital, but we are determined to do that, and we are going further and faster than any other country that I am aware of as part of our commitment to make the NHS the safest system anywhere in the world.
ParlaMint-GB_2016-01-26-commons.u196	The Secretary of State said that the report was “far-reaching, with national implications.” I have to say that this should have been a statement, not an urgent question. The right hon. Gentleman did not answer the question about the number of misdiagnoses on the 111 system. He needs to give more detail. The report suggests that other deaths of young children may be associated with misdiagnosis by 111. How many other cases are under investigation?
