ParlaMint-GB_2016-06-28-commons.u1	1. What steps he is taking to support innovation in industry.
ParlaMint-GB_2016-06-28-commons.u171	I am grateful to the Minister for giving way, especially as he is in pain. He said earlier that the amendment was “technically flawed”, but that is not the advice that my right hon. Friend has received. It seems to me that, in reality, the Government are more driven by their ideas about tax competition. Will the Minister confirm that that is the case? If it is, I suggest to him that transparency is more important for the British people in particular, and that if any global company chooses to leave the UK simply because of demands for transparency and demands that it pay fair tax, which will be a rare occurrence, it may well be that it is not the sort of company that we want to be headquartered here.
ParlaMint-GB_2016-06-28-commons.u172	There are some issues of timing, but I must emphasise that the only companies that would fall within the scope of the amendment would be UK-headquartered companies. The Googles of this world would be unaffected. We believe that all this should be done on a multilateral basis, and—although my timing may be slightly unfortunate—I should point out that considerable progress has been made at European Union level. Indeed, the relevant commissioner has said that we are on the cusp of a deal and that he hopes that it will be concluded during the course of the Slovakian presidency, in the second half of this year. The UK has been leading the way in that debate, and, indeed, we have been calling for the Commission to toughen up its rules.
ParlaMint-GB_2016-06-28-commons.u173	I will just finish what I am saying before I give way. I am being bombarded by distinguished right hon. Members We know that the debate on corporation tax tends to focus on companies’ sales, but corporation tax is not based on sales; it is based on activity. If a company takes part in a lot of activity in the UK but makes a lot of sales in another jurisdiction, it is likely to pay a lot of tax in the UK, but not a lot of tax in other jurisdictions where there is little or no activity but a great many sales. If the UK is the only jurisdiction that is putting out this information, or requiring its companies to put it out, there will be many examples of UK companies that are acting completely properly in foreign jurisdictions and not paying a lot of tax in those jurisdictions, but are vulnerable to criticism. It would be very much easier for all businesses to be able to point to an Italian, German, French or Swedish company that is in the same position, with a lot of activity in its own jurisdiction and a lot of sales in another jurisdiction, and is paying its tax where the activity is, not where the sales are. If the UK is acting unilaterally, I worry about unfair reputational criticism of our companies. As the right hon. Member for Barking (Dame Margaret Hodge) knows very well, reputational damage to a business can damage its commercial interests,.
ParlaMint-GB_2016-06-28-commons.u174	Surely the problem is that so much of what we are finding out about companies—about where they do their business, where their profits are, and where they pay their taxes—is emerging through leaks. Massive reputational damage is being done to those companies. The amendment gives us a chance to put things on a much better footing by providing not all the information about companies, but the baseline headlines about where they do business, where they trade and where their profits are. Surely that is something on which we can lead.
ParlaMint-GB_2016-06-28-commons.u175	I think that the principle and the destination are pretty clear. We are moving in the direction of companies’ publishing this information, and I believe that the UK should be leading the way in working out a multilateral deal in which a number of countries impose essentially the same requirements. That, I think, would help to improve transparency and would provide a level playing field I do not think that the UK should be the last mover in this respect by any means. The United States seems to be some way away from moving in this direction, and I do not think that we should wait for the United States; I think we should be there before it. We should be able to deliver, especially given that such good progress is being made at European Union level. We remain members of the European Union, and there is appetite for this in other EU states. I have no doubt that, if no progress has been made in a year or two, the right hon. Member for Don Valley will come back and ask, “Why has this not happened?”, and in that event her case would be strengthened. However, I think that until we have given the deal a fair wind, it would be premature to act unilaterally.
ParlaMint-GB_2016-06-28-commons.u176	The Minister has a perfectly justified and extremely good reputation for being sympathetic in driving this agenda forward. He will recall our discussions, both in opposition and back in 2010, about precisely the point that is addressed in the amendment. We all agree that companies should pay tax where their profits are earned The Minister knows as well as I do that some of the poorest people in the world live on top of some of the richest real estate, and that extraction taxes should be paid where those profits are earned. May I ask him to respond fully to the point that is being made by the right hon. Member for Don Valley (Caroline Flint)? If he thinks that her amendment is defective in some way, will he commit the Government to looking at those defects and considering whether they can frame a clause that would address the first part of what she said, with which I understood him to say he agreed?
ParlaMint-GB_2016-06-28-commons.u177	The Finance Bill is not the ideal way in which to address this issue fully. I make no criticism whatsoever of the right hon. Member for Don Valley, who has shown much ingenuity in managing to ensure that her amendment is in order, but this is essentially an issue for company law We are keen to implement public country-by-country reporting, and we want to do it on a multilateral basis. As I have said, if there was a lack of progress the Government would obviously want to return to the issue, given the concerns that I think are felt by Members in all parts of the House. However, I think that we are in a position to aim for what I am sure we all agree would be the best result: achieving our aims on a multilateral basis.
ParlaMint-GB_2016-06-28-commons.u178	Will the Minister give way?
ParlaMint-GB_2016-06-28-commons.u179	I will certainly give way to the Chairman of the Public Accounts Committee.
ParlaMint-GB_2016-06-28-commons.u180	It is clear that the Minister has some sympathy with the amendment tabled by my right hon. Friend the Member for Don Valley (Caroline Flint) and most of the Public Accounts Committee, along with many other Members in many parties. Rather than requiring my right hon. Friend to come back to the House, will he therefore commit the Government to looking at this matter unilaterally if multilateral agreement is not achieved? Or will he go even further today and agree to a sunrise clause to add to the proposals that my right hon. Friend and I, and others, have put forward, so that this can come into action if the multilateral agreement that he is hoping for does not come to fruition?
ParlaMint-GB_2016-06-28-commons.u181	We are in quite a fast-moving area, and the progress that has been made in recent months has been considerable. Just at the beginning of this year, it looked unlikely that a deal would be possible, but now it looks as though the EU is heading in that direction. As I have said, the EU Commissioner has said that something is likely to happen by the end of this year. I must add the slight caveat that we will have a new Prime Minister by then, but it is certainly my view that if we have not made progress by this time next year on reaching a multilateral agreement, we will need to look carefully at the issue once again. I do not want to make a full commitment on this because—I am standing here desperately with the Dispatch Box as a source of support—I might no longer be in this position by then. I make that caveat, but I believe that there is every chance of an agreement. I would be disappointed if we did not make progress, but in the event of that happening—I hope it is unlikely—we would need to look at this again. I suspect that there is agreement between us here that it would be better for us to get a multilateral agreement than for us to go off alone.
ParlaMint-GB_2016-06-28-commons.u182	I think I have heard the Minister say that there will not be a multilateral agreement that includes the United States. So is it the Government’s position that we do not want to act unilaterally for the UK, but we will act unilaterally within the EU—even if we are not in it—even though the EU itself contains only 20% of the world’s multi- nationals? Is he saying that this does not need to be multilateral, and that it just needs to be EU-lateral?
ParlaMint-GB_2016-06-28-commons.u183	I do not think that this has to be universal, but there would be disadvantages for the UK if we were the only country to do it. There is a sense that UK companies would be criticised for failing to pay very much tax in jurisdictions where they did not have a lot of activities but had a lot of sales. This comes back to the point about educating the public about how corporation tax works. I think it would be an awful lot easier if there were just a few examples of other countries doing this. I do not think it needs to involve every other country, but if, for example, Germany, France and Italy had the same type of system, every time a UK company was criticised we could say, “What about that French company? What about that Italian company? The same principles apply to them.” We do not have to move at the pace of the slowest, but if we adopt an isolated position on this, there would be a reputational risk for UK businesses. We do not need to run that risk, particularly as good progress is being made, and I urge the House not to accept this amendment. Instead, I hope that we will be able to implement a measure over the next few months.
ParlaMint-GB_2016-06-28-commons.u184	I suppose it depends which multinationals are in which segment of competition, but is the Minister saying that as long as, say, two or three other countries were to do this, the UK would join in?
ParlaMint-GB_2016-06-28-commons.u185	I do not want to put a precise number on this. There is a threshold, and it depends on which countries those might be, but if I thought that three or four significant economies were going in the same direction, the case for doing this would be much stronger. Or, to put the reverse argument, if I were standing here next year and two or three other countries had gone down this route, the concerns that I am expressing from the Dispatch Box today would clearly carry less weight than I think they do today.
ParlaMint-GB_2016-06-28-commons.u186	Perhaps I can help the Minister. On behalf of the Public Accounts Committee, I sent an open letter to the chairs of European finance and public accounts committees or their equivalents. The Minister might have picked up the fact that, to date, the letter has been signed by the chairs of parliamentary finance committees in Germany, Hungary, Finland, Norway and Slovakia, as well as by senior MPs in the Netherlands, the Czech Republic and Bulgaria. We also know that the French Finance Minister, Michel Sapin, is doing some interesting work in this area, as are many others. Does that help to push the Minister in the right direction and enable him to make us more of an offer today?
ParlaMint-GB_2016-06-28-commons.u187	Well, it supports my optimism that we are on the cusp of a multilateral deal, and that will enable us to work out the legislation in the most comprehensive and effective way. As I have said, our preference would be to do this through company law rather than through a Finance Bill, but the hon. Lady’s intervention supports what I was saying earlier about the comments of the relevant EU Commissioner at the last ECOFIN meeting in Luxembourg, which I attended 11 days ago. He was optimistic that we would reach agreement by the end of this calendar year. If that is the case, it is hugely encouraging, and the point that the hon. Lady has just made supports that proposition.
ParlaMint-GB_2016-06-28-commons.u188	I hope that the Minister will be willing to channel the leadership and enthusiasm that the UK showed in relation to the diverted profits tax, when we chose to go out alone and not wait for international agreements on base erosion and profit shifting. We introduced a whole new tax, with compliance burdens and penalties, and I suspect that that was a far bigger deal than requiring companies simply to disclose what they are already disclosing but in a slightly different format. I think that that was the right way to go.
ParlaMint-GB_2016-06-28-commons.u189	My hon. Friend is right to mention the fact that we went ahead with the diverted profits tax, although doing so was clearly consistent with the direction of the base erosion and profit shifting process. That tax also brought in significant revenue to the UK, which has been very helpful If we want to achieve greater transparency, as I believe we all do, it is right that we focus on driving forward international efforts on public country-by-country reporting. In order to get full information on foreign multinational entities’ global activities, multilateral agreement will be required to enable countries to introduce comprehensive rules with the widest possible scope. This will allow for a comprehensive multilateral approach that applies consistently across UK and foreign multinational entities. We must get this right so that, when it is introduced into UK law, it is effective and enforceable. We will continue to support and drive this multilateral change forward following the result of the referendum, and I share the determination of the Members supporting this amendment not to move at the pace of the slowest.
ParlaMint-GB_2016-06-28-commons.u190	rose—
ParlaMint-GB_2016-06-28-commons.u191	I will give way one more time, but I am conscious that I am taking up a lot of time in what is quite a short debate.
ParlaMint-GB_2016-06-28-commons.u192	The Minister is being extremely generous in giving way. I am sure we all agree with him that this should be done multilaterally—there is nothing between us on that—and I am sure that it will be helpful to his aim of being able to demonstrate strong support for this across the House of Commons when he is dealing with his international partners. I should like to make a suggestion, and I hope that it will be helpful. Would he consider asking his officials to draft a clause for public discussion that is not defective and that he could put to his colleagues multilaterally as a measure that they might wish to include in their parliamentary legislation?
ParlaMint-GB_2016-06-28-commons.u193	I am grateful to my right hon. Friend for that suggestion. Let me take it away, because there are a number of ways in which this could be done, and we would want to consider it. I believe that this debate will be helpful to our parliamentary and governmental colleagues in other jurisdictions in that it demonstrates our cross-party determination to make progress on this matter. We are committed to acting swiftly to implement international agreements, as we have done with the OECD BEPS recommendations on country-by-country reporting. We are committed to improving the transparency of multinational tax affairs, but we support an effective multilateral approach. At this time of increased uncertainty, a domestic measure of the sort being discussed today would, I fear, disadvantage UK business for the reason that I outlined. I look forward to hearing the contribution of the right hon. Member for Don Valley, but I hope she is satisfied with the assurances that I have provided today Clause 150 and schedule 20 create new civil penalties for those who have deliberately assisted taxpayers to evade UK inheritance tax, capital gains tax or income tax via offshore means. The bill introduces a financial penalty of up to 100% of the tax evaded and public naming in the most serious cases I want briefly to respond to Opposition amendments 19 and 20. The intentions of amendment 19 seem twofold. The first would ensure that it is considered enabling to act as an introducer. Schedule 20 already covers acting as an introducer, so that part of the amendment is unnecessary. The second aim is to set a test to check whether it objectively appears that the adviser should have known that the advice was likely to enable offshore tax evasion and is therefore an enabler. The test would introduce a great deal of uncertainty, meaning that it would be unclear how much due diligence should be completed Similarly, amendment 20 proposes a test that would ask whether the adviser wilfully or recklessly failed to make inquiries that a reasonable and honest person would have made. The courts generally recognise that knowledge includes so-called “blind-eye” knowledge—where a person has a firm suspicion about specific facts and deliberately decides not to find out more about them—meaning that an enabler cannot bury their head in the sand. If they have good reason to think that they are assisting evasion, failing to make proper inquiries will not help them and they will be penalised under the schedule as it currently stands. Given the restrictions and uncertainty that amendments 19 and 20 would introduce, I urge hon. Members to reject them Clauses 151 to 153 and schedules 21 and 22 strengthen the civil sanctions levied on offshore tax evaders. Clause 151 will increase the minimum penalties for deliberate offshore tax evasion to 30% of the tax due. The current minimum penalty is 20% and the maximum penalty will remain up to 300% of the tax due. The clause will require offshore evaders who are seeking to minimise or reduce their penalty to provide more information about their evasion and enabling activities in co-operation with HMRC Clause 152 removes the protection from being publicly named for deliberate offshore tax evasion unless an offshore evader comes forward to HMRC voluntarily and makes a full disclosure. In addition, clause 152 allows HMRC to name the individual who controls a company or entity that has participated in offshore tax evasion Clause 153 introduces a new asset-based penalty that will apply to the most serious cases of deliberate offshore tax evasion, where the tax loss exceeds £25,000, and will levy a penalty of up to 10% of the value of the asset connected to the evasion. Such assets could include physical property, intellectual property, shares and bank accounts. The asset-based penalty will be levied in addition to any other tax-geared penalties and interest due. Taken together, the measures will provide HMRC with a greater understanding of tax evasion while significantly increasing the penalties on tax evaders and those who help them New clauses 5 and 6 concern the reporting of a number of offshore tax evaders who have been named by HMRC and the number of asset-based penalties levied within a year of the passing of this Bill. The asset-based penalties are expected to apply from the 2016-17 tax year and the strengthened naming provisions are expected to apply from the 2017-18 tax year, with the first details published under this clause expected to be in 2019-20. As such, there would be no time for the activities covered by the amendments to have happened by the deadlines set for the Government to report on them.
ParlaMint-GB_2016-06-28-commons.u194	Will the Minister give way?
ParlaMint-GB_2016-06-28-commons.u195	I will certainly give way. I was about to turn to new clause 9.
ParlaMint-GB_2016-06-28-commons.u196	I want to make two points about the response to whistleblowing. First, as I read the clause, it would lead to a review of whistleblowing in the banking and financial services sector. During my period as the Chair of the Public Accounts Committee, we did a lot of work on the whistleblowing from Falciani on the Swiss bank accounts and on the PwC leaks in Luxembourg. What was so interesting was that the only action that the two financial institutions took was to try to pursue the whistleblowers through the courts—trying to get them indicted and jailed. That is unacceptable. Secondly, the internal HMRC lawyer who gave us the evidence that demonstrated that a sweetheart deal had been entered into with Goldman Sachs could not, in the end, return to his job. Everything of his was rifled through from his wife’s computer to his telephone and everything else. That is not good enough. I urge the Minister to think again and to instigate a review.
ParlaMint-GB_2016-06-28-commons.u197	I note what the right hon. Lady says, but I will not let her comments about sweetheart deals pass. We have discussed the matter before, and I point her in the direction of Sir Andrew Park’s review of those settlements and his conclusion that there were no sweetheart deals. This is an issue that she and I have discussed before and no doubt will discuss again, and I fear that we will not reach agreement. I note her points, but I am not persuaded by the case for new clause 8.
ParlaMint-GB_2016-06-28-commons.u198	Will the Minister give way?
ParlaMint-GB_2016-06-28-commons.u199	I am conscious that this is a relatively short debate and that I have already taken up a large proportion of it. I am not quite done, but I will take a short intervention.
ParlaMint-GB_2016-06-28-commons.u200	My point is about the NHS, where whistleblowers have suffered exactly the same kind of detriment, but the Government are now trying to change their attitude. I do not understand why we would not want to support whistleblowers within the industry when we have had one scandal after another for the past decade.
ParlaMint-GB_2016-06-28-commons.u201	My point would be about the sheer scale of the information provided to HMRC. I quoted the 125,000 pieces of information from the public, but by no means are all of those whistleblowers. HMRC certainly does receive a substantial amount of information from whistleblowers, which is helpful. As for how that works and its contribution to HMRC’s activities, I am not aware of worries that that is not working or that the existing provisions with regards to whistleblowers are ineffective. Of course these matters are always kept under review. If I thought that there was a strong case for returning to this issue, I would certainly be interested in doing so, but I am not hearing that at present The right hon. Member for Barking (Dame Margaret Hodge) has been waiting very patiently for me to turn to new clause 9, which would require the Government to estimate the impact on the tax gap of expanding our forthcoming register of persons with significant control to companies in the Crown dependencies and overseas territories. I do not believe that the clause would be effective in achieving its aims. It would cast the net too narrowly by focusing on companies with significant levels of trading activity in the UK. As the Prime Minister announced at the recent anti-corruption summit last month, the Crown dependencies and overseas territories have agreed to hold beneficial ownership information on all companies incorporated in their jurisdictions. Importantly, they will share that information with Her Majesty’s Revenue and Customs and UK law enforcement agencies, which means that our authorities will be able to see exactly who owns and controls companies incorporated there. Although I understand the aims of the new clause, it would be less effective than the steps that we have already taken to improve transparency and tackle tax evasion. I do have some sympathy with the argument that, no doubt, we will hear from the right hon. Lady, but I am not persuaded by it, and I hope that she will not press her new clause to a vote I will not take up any more time of the Committee. I have tried to cover as much ground as I can and to anticipate the arguments that we will hear for the rest of this debate. I hope that the Government clauses, schedules and amendments can stand part of the Bill.
ParlaMint-GB_2016-06-28-commons.u202	I will try to be relatively brief, but, as the Minister has said, there is an awful lot to get through. I know that many Members wish to speak—indeed, today we have a profligacy of right hon. Members with us, particularly on the Opposition Benches, which is very good—so, perforce, I will have to be brief on various issues Labour does not oppose clause 144. On clause 145, which is to do with the general anti-abuse rule, I would like some assurance from the Minister that there are enough staff to deal with this work. I realise that the Government have gone into reverse gear on this, which I welcome, and the number of full-time equivalents has gone up from 57,000 to 60,000 this calendar year. That is a good step, but HMRC was significantly underperforming because it was very understaffed, and clause 145 proposes an additional amount of work for staff to do, so I should like some reassurance on that Clause 146 proposes penalties for the general anti-abuse rule. The Chartered Institute of Taxation, which has been extremely helpful to all Members, especially those on the Opposition Front Bench, is concerned that someone might be punished in a rather draconian manner for an innocent error of judgment. However, when my excellent researcher, Imogen Watson, looked at the case to which CIOT referred, she found that it was one to do with customs and excise rather than corporation tax and income tax. Perhaps the Minister can provide some clarification on that Amendment 4 on clause 146, which is tabled by me and my hon. and right hon. Friends, deals with raising the penalty from 60% to 100%. I heard what the Minister said about that, but I am concerned that the penalties would not be sufficient to change behaviour and encourage socially acceptable law compliant behaviour, which is what we all want to see Clause 147 deals with serial tax avoidance. The Chartered Institute of Taxation has expressed concern, and I understand its point, that this clause might introduce what would be a double penalty for an individual. Generally, we try to avoid double penalties for wrongdoing. Perhaps the Minister could have another think about the clause, or clarify for the Committee today that the CIOT has misunderstood things and there is no such double penalty being introduced. Could the Minister give us an indication—I know that these things are difficult—of how many non-taxpayers will mend their ways as a result of this measure and become taxpayers? Again, there is an issue of funding for HMRC Clause 148, which relates to the promoters of tax avoidance schemes, is supported by the Labour Front-Bench team. Although we support clause 149, which deals with special measures and so on, we have put forward amendments 5 to 18 on it—the Minister referred to them earlier. Those amendments deal with increasing the penalty to £25,000 from £7,500 and for holding a director or directors “jointly and severally liable”. Rather strangely, the Minister said that the Government were in the business of “encouraging behavioural change”. Well, so are we. Having higher penalties could encourage behavioural change, by which I mean somebody not indulging in bad behaviour, and filing their reports and so on. That is why we came up with the idea of joint and several liability rather than leaving it to one person. That means that all directors would be aware of what was going on. Furthermore, if the penalties were levied, they would not be reimbursable, as is too often the case. Too often, companies simply reimburse their staff when the staff have engaged in non-criminal wrongdoing. That is not an incentive for them to avoid wrongdoing in future—quite the reverse if anything With clause 149 comes amendment 1. I will be brief on that amendment, because my right hon. Friend the Member for Don Valley (Caroline Flint) will no doubt be speaking to it. It is an excellent amendment, which is fully supported by the Labour Front-Bench team. I will say a couple of things very briefly in response to what the Minister said on it. He said that the amendment is technically flawed. That may be the case, but this is the first of almost 200 amendments. If the Government supported it, they could have corrected any technical flaws they saw in it. I also think that they are being a bit timid here, because I do not see how the provisions under amendment 1 will lead to disadvantage to UK headquartered companies or to reputational damage—quite the reverse. Whether the Minister likes it or not, the reputation of Google was adversely affected in the United Kingdom because its tax deal with the UK authorities was not transparent and because people thought that Google was getting away with it. If there had been more transparency, Google’s reputation might not have been adversely affected Similarly, provisions in amendment 1 could lead not to reputational damage for UK headquartered companies, but reputational enhancement. I have to say to the Minister—I cannot resist it because he is such a good Minister—that, in our society, talking the talk is seen as hot air, but Gauking the Gauke is seen as being polite and helpful. May I urge him to walk the walk and support amendment 1? If it needs tidying up, he should do it and sort out the technicalities Let me talk now about clause 150 and schedule 20—I know that I am going at a bit of a gallop, but there are others who wish to speak. I heard what the Minister said about amendments 19 and 20, which are putative amendments to schedule 20. I defer to his superior knowledge, as this is a very technical area, and I am not an accountant. I think that I understood him to say that what was proposed in amendment 19 was already covered in schedule 20. In relation to amendment 20, he referred to “blind-eye knowledge”, which is a new one on me. I, like him, am a lawyer, and it seems that schedule 20 is introducing civil penalties and not criminal ones, so I accept what he says and will not be pursuing amendments 19 and 20. Labour supports clause 151, which is to do with penalties in connection with offshore matters and offshore transfers. Clause 152 relates to offshore tax errors and publishing details of deliberate tax defaulters. Helpfully, the explanatory notes say that the clause will amend the Finance Act 2009 to allow HMRC “the power to publish the details of an individual who controls a body corporate or a partnership”— when it has been— “charged a penalty for a deliberate failure to notify HMRC of a tax charge or deliberate inaccuracy in a return, and”— when that individual— “would have obtained a tax advantage”— from it— “had it not been corrected.” This must involve an offshore matter or transfer.
ParlaMint-GB_2016-06-28-commons.u203	In the light of our debate this morning, an appropriate opening remark would be to point out that I believe that in the next hour we are debating the most important part of this year’s Finance Bill. Many amendments have been spoken about already this morning, and I am sure that Members will forgive me if I try to make my remarks brief and to focus only on three matters: the appropriate changes discussed in amendment 1, tabled by the right hon. Member for Don Valley (Caroline Flint) and others; new clause 8, tabled by me; and new clause 9, tabled by the right hon. Member for Barking (Dame Margaret Hodge). Let me say at the outset that the Scottish National party supports both that amendment and that new clause I will be brief, because I want to allow more time for the right hon. Ladies to present their case as fully as they can. Let me say something in general about why we are concerned. We all know that there is huge concern among the public about the extent of tax evasion and hidden wealth. It was a growing concern before the release of the Panama papers, and I remember discussing it in this House in the first week in February. It has been fuelled by concerns as people become more aware of the hiding of money in tax havens by individuals, corporations and trusts Let us put this debate into a broader context. According to Jason Hickel of the London School of Economics, tax havens hide one sixth of the world’s total private wealth. He has estimated that at about $20 trillion. Whether that is very accurate or not, all observers would agree that the total amount of money involved is absolutely staggering in scale. Indeed, the Panama papers from Mossack Fonseca are just the tip of the iceberg as regards what we face in the world today Many issues need addressing. Neither this debate nor the proposed amendment and new clauses address them all, but they are a start. I have been very disappointed by some of the Minister’s reasoning, particularly that on amendment 1. It struck me that he started to redefine on at least three occasions what he meant by multinational. First, he seemed, in my view, to be speaking as though it was almost global in nature, then it became EU-specific, then it became about just a few countries. It struck me that it is not amendment 1 that has not been thought through thoroughly, but the Government’s response to it. If the right hon. Member for Don Valley proposes to press it to a vote, the SNP will certainly follow her into the Lobby We know that many different groups are involved. The amendments specifically refer to corporations, but more than corporations are involved. If we had tabled our own amendment, we might have chosen slightly broader amendments to encompass trusts, for example. Being reasonable, we must put ourselves in a position where we make the first step. Sometimes somebody needs to make the first step When the Minister was talking, he reminded me of the days when I used to trod through the library at Stirling University, taking students and showing them back copies of Hansard. We could look at back copies of Hansard from the 18th and 19th centuries, and the subject that arose more than any other in debates in the House was slavery. One of the arguments continually used against doing something to make slavery illegal was that it would not create a level playing field Somebody has to be first. This is not just about finance and technical considerations, but about fundamental ethical considerations. Those ethical considerations are why we hope that these matters will be pressed to a vote and we will support the right hon. Ladies in that.
ParlaMint-GB_2016-06-28-commons.u204	The hon. Gentleman is right that somebody has to go first. I have one thought for him, and I would be interested in his view. His country relies quite heavily on the oil industry. Is he absolutely certain that it is right to impose something on Shell or BP that the Italian Government will not impose on Eni and the French Government will not impose on Total?
ParlaMint-GB_2016-06-28-commons.u205	I thank the hon. Gentleman for being interested in my view. Although I understand the point that is being made as well as that being made by the Minister, I think that in these matters, for all large corporations that operate nationally, taking the first step puts them at a reputational advantage because they are seen to lead the way even though there might be occasions on which doing that appears to put them at some short-term commercial disadvantage. So this is not as simple as saying that anyone is necessarily incurring a commercial disadvantage. For those reasons, we would welcome these new clauses, and we are aware that they would also apply to important sectors of the Scottish economy I shall briefly say something about the Scottish National party’s new clause on whistleblowing. I am particularly grateful to the right hon. Member for Barking for asking the Minister why he would not support that new clause. Indeed, as she spoke, I thought that, rather than our pressing the new clause to a vote here, it might be best to engage in cross-party discussions on how best to construct a thorough way forward. I agree wholeheartedly with the right hon. Lady, because when we look at the number of cases that have involved taking whistleblowers to court, one wonders where the balance of the scales of justice lie I recognise that changes have been made to the requirements on whistleblowing, some of which come into effect this September in the banking sector, but the requirements oblige companies to do things such as appoint their own whistleblowers champions and report the amount of whistleblowing to their boards. Those things require a culture of willingness in companies. If the will is not there, the current processes will have next to no effect. We are not saying that we know precisely how to secure effective whistleblowing. That is why it would be useful to have some cross-party discussions, in which I am sure the right hon. Lady would be happy to engage. In that spirit, although we believe in the new clause, we will not press it to a vote and look forward to supporting the votes led by the right hon. Ladies.
ParlaMint-GB_2016-06-28-commons.u206	I rise to support amendment 1, in my name and those of my hon. Friends the Members for Hackney South and Shoreditch (Meg Hillier) and for Houghton and Sunderland South (Bridget Phillipson) and the hon. Members for Amber Valley (Nigel Mills), for Southport (John Pugh) and for Edinburgh North and Leith (Deidre Brock). I am grateful for the support of six other members of the Public Accounts Committee who signed this amendment: my hon. Friends the Members for Islwyn (Chris Evans) and for Bristol South (Karin Smyth) and the hon. Members for Berwick-upon-Tweed (Mrs Trevelyan), for South Norfolk (Mr Bacon), for Peterborough (Mr Jackson) and for Warrington South (David Mowat). In total, 77 right hon. and hon. Members have signed the amendment, and it is a pleasure to follow the hon. Member for Kirkcaldy and Cowdenbeath (Roger Mullin) Apart from the Labour party’s support, for which I am extremely grateful—particularly that of my hon. Friend the Member for Wolverhampton South West (Rob Marris), who has been fantastic in his liaison and advice—Scottish National party, Liberal Democrat, Ulster Unionist party, Social Democratic and Labour party, Plaid Cymru, Green party and UK Independence party Members, alongside a number of Conservative Members, and the independent hon. Member for North Down (Lady Hermon) support amendment 1. There is truly cross-party support, and I am therefore grateful to all those right hon. and hon. Members Amendment 1 also has the welcome support of the business-led Fair Tax Mark and the Tax Justice Network and that of development charities such as Christian Aid, the Catholic Agency for Overseas Development, Oxfam, Action Aid, the One Campaign and Save the Children It is understandable, given the momentous events of recent days that are creating ripples that reach all corners of our nations and across parties, if Members are a little distracted from the business that we are debating today, so let me be clear about what is at stake. If amendment 1 is agreed to, the Government’s requirement that companies publish their group tax strategy on their websites will include, for large multinational enterprises with bases in the UK, the headline details required on their revenues and taxes paid, in accordance with the OECD requirements for country-by-country reporting. In lay terms, this is Parliament’s Google moment I should like to clarify something: the amendment would require companies to publish everything that the Government already require them to report to HMRC. Yes, I agree with the Minister that it would not achieve worldwide reporting for any multinational enterprise, but it would catch not only those parts of a multinational enterprise that are in the UK but those that are over a certain size and have a turnover of more than £600 million.
ParlaMint-GB_2016-06-28-commons.u207	I hope to be helpful, but the right hon. Lady said that companies would have to publish their tax information on their websites. What if a company does not have a website? Could that give the company a loophole, or would there be a way around that if a company did not have a website?
