ParlaMint-GB_2016-02-29-commons.u1	Object Bill to be considered on Monday 7 March.
ParlaMint-GB_2016-02-29-commons.u177	The joint declaration signed between the UK and French Governments last August actually provides for the direct financial support that we are giving to the French Government to provide the centres outside the immediate area of Calais. Indeed, as I have already highlighted, there is the Jules Ferry centre, and there is the work we are doing on a regular basis to identify and highlight the appropriate support that is there. I stress again: there is no need for people to be in those conditions. There are services—[Interruption.] There are facilities and services away from the camps that are available to support people. We take our responsibilities seriously, which is why—[Interruption.] The hon. Member for Hackney North and Stoke Newington (Ms Abbott) keeps interjecting from the Opposition Front Bench. We are working closely with the French Government to see that there are experts in place, and I have already indicted that an additional person is going out next week to see that there are procedures in place so that there will be efficient and effective reunification for what I judge to be a small number of cases. However, support and alternative accommodation are available in France, and I would urge people to take up those choices.
ParlaMint-GB_2016-02-29-commons.u178	I am glad the Government put a high priority on reuniting children with their parents, or orphans with close relatives—that is the best answer. However, is it not the case that the European Council’s conclusions at its last meeting were very clear: the best way to help is to prevent these things from happening in future, by ensuring that the EU enforces its border controls when people first enter the EU and provides safeguarding and support for those who need it when they first enter the EU, rather than putting them through the ordeal of a long journey across the whole of its territory?
ParlaMint-GB_2016-02-29-commons.u179	It is also about ensuring that there is support in and around the region to prevent people from going out in boats, putting children’s lives at risk. That is why the work done at the London conference, in providing additional education to ensure there is a sense of positive hope, was absolutely the right thing to do. That was backed up by our £2.3 billion commitment to aid and assistance in and around the region. My right hon. Friend is right about ensuring that the hotspots initiative is in place to see that help and support are given at the first opportunity, and that is what the Government are committed to doing.
ParlaMint-GB_2016-02-29-commons.u180	Does the Minister not understand that France’s Dublin procedures for unaccompanied children are just not fit for purpose and that it takes up to a year even for take charge requests to be issued? In that light, should we not be welcoming, rather than challenging, the recent tribunal decision in ZAT to shortcut the admission of three children from the horrendous Calais camps so that they can join their families here? As the right hon. Member for Normanton, Pontefract and Castleford (Yvette Cooper) suggested, should we not be looking to welcome the other 100 or so Calais children identified by Citizens UK as having family in the UK, so that they, too, can be reunited with their loved ones? Just how much public money has been spent on litigation in this case in an attempt to prevent refugee children in Calais from reaching their families here? Would not that money be far better spent on ensuring that Dublin III processes are fit for purpose and on safeguarding those children?
ParlaMint-GB_2016-02-29-commons.u181	The most appropriate thing to do is to see that those young children receive help and support at the earliest opportunity, which is why I emphasise again the need to see that asylum claims are made quickly in the French system. The Dublin III arrangements can operate effectively; indeed, senior French representatives have told us they see no reason why appropriate claims cannot be completed within a period of two months. There are clear processes and procedures that should be adopted, and we urge everyone to get behind them and make them work effectively.
ParlaMint-GB_2016-02-29-commons.u182	As other hon. Members have said, the conditions in the camps are awful, and action did need to be taken by the French Government—as long as it is not heavy-handed. However, when I spoke to migrants there, they were very wary of the French Government and French officials. I welcome the fact that the Government are working so collaboratively with the French, but will my right hon. Friend advise us what outreach the Government are doing to encourage people to apply for asylum through the French system, so that they can come here legally if they have a right to do so?
ParlaMint-GB_2016-02-29-commons.u183	The number of asylum claims made in and around the area of Calais over the recent year or so is about 2,800, and there has been a significant increase, which we support and encourage. We have people who go into the camps to deliver and make very clear the message about the need to make claims quickly so that assistance can be provided.
ParlaMint-GB_2016-02-29-commons.u184	On our visit to The Hague last week, the Home Affairs Committee was told that 90% of migrants who enter the European Union had been able to do so because of criminal gangs. Will the Minister tell the House how many people have been prosecuted by individual countries as a result of that smuggling? The long-term solution is the proper operation of the hotspots that have been created in Italy and in Greece, and, as the right hon. Member for Wokingham (John Redwood) said, the tracking of children before they have to make the long journey to Calais. The short-term solution is for the Minister to ring his opposite number in France to see whether a more humanitarian approach can be arrived at, because this is the fault of the French Government, who have been warned about Calais and have done nothing about it
ParlaMint-GB_2016-02-29-commons.u185	I think that is an unfair criticism. The French Government have taken significant steps to provide alternative accommodation and to see that there is information so that people are able to make their asylum claims effectively. However, the right hon. Gentleman makes a powerful and important point about the role of organised crime. The figure of about 90% that he highlighted has been confirmed by Europol, so the work we are doing with our organised immigration crime taskforce is absolutely right. By getting intelligence to Europol, we are taking action against gangs that, frankly, do not care whether these young people live or die.
ParlaMint-GB_2016-02-29-commons.u186	I have a great deal of time for the United Nations High Commissioner for Refugees. Will my right hon. Friend outline the UNHCR’s role in Calais?
ParlaMint-GB_2016-02-29-commons.u187	We are working closely with the UNHCR in relation to the resettlement programme, particularly through work in-region to see how unaccompanied children could potentially come to this country. The UNHCR is monitoring the situation in and around northern France but, as far as I am aware, has no formal remit.
ParlaMint-GB_2016-02-29-commons.u188	The Minister is aware that for 12 years we have had juxtaposed immigration controls in the northern ports of France. How does he think one official will be able quickly to determine the asylum claims to be refugees here in Britain of the 50 children identified by respectable charities as having family in the UK? One person cannot do that job.
ParlaMint-GB_2016-02-29-commons.u189	The right hon. Lady should be aware that there is not just one person but a senior-level connection between officials in both Governments, so broader teams are working on these exchanges. If there is information to support a claim highlighting a close family connection under the Dublin III regulation, we will stand by our obligations.
ParlaMint-GB_2016-02-29-commons.u190	I strongly welcome the considerable efforts that the Government have made to keep children and families together close to places where many of the refugees come from, such as Syria. However, if 300 minors were living in a squalid camp in Dover, they would be taken into care and given a place of safety, and there would be an investigation into the adults responsible for getting them there, so why is that not happening in France?
ParlaMint-GB_2016-02-29-commons.u191	I cannot comment on the operations of the French Government, but I can say that we stand ready to support them in joint efforts to see that children and other refugees are appropriately housed and supported. We are providing funding to identify vulnerable children and ensure that the necessary facilities are there. We have given and will continue to give the French Government that support.
ParlaMint-GB_2016-02-29-commons.u192	As the hon. Member for East Worthing and Shoreham (Tim Loughton) said, if these were British children, the test that would have to be applied to the Government’s actions would be that of the best interests of the child. The Minister is describing colluding with the French Government in a process that will push these children into the hands of people traffickers. Is he really saying that we apply such a different standard to the children of refugees compared with our own?
ParlaMint-GB_2016-02-29-commons.u193	I utterly reject the right hon. Gentleman’s assertion. The joint working that our enforcement agencies are engaged in in confronting the people traffickers, going after the gangs and seeing that there is not such exploitation is part of the joint agreement that was signed last August. We are supporting the French Government to identify the vulnerable and see that they are given support, and we will continue to do so.
ParlaMint-GB_2016-02-29-commons.u194	Will the Minister give a categorical assurance that children and young people who have a legitimate claim to be in the UK because of having close family relatives here will not be disadvantaged by starting their asylum claim in France? Although he has made it clear that there is not currently any formal process for the UNHCR to be involved in processing such claims, will he consider that for the future?
ParlaMint-GB_2016-02-29-commons.u195	I can certainly say that if there are children who qualify under the Dublin regulation—in other words, if they have close family here—we will stand by our obligations. We will ensure that they are processed efficiently and effectively, which is precisely why we are taking the action we are with the French Government My hon. Friend highlights the issue of the UNHCR’s role. There is a clear process, and we are working to ensure that it operates. As I have said, we believe that it can be made to operate efficiently and effectively, and we will work with the French Government to achieve that.
ParlaMint-GB_2016-02-29-commons.u196	I must be mishearing, because the Minister seems to be implying that it is the responsibility of children to declare themselves to the relevant authorities. That cannot be correct—it is our responsibility here to make sure that children are cared for. As my right hon. Friend the Member for Normanton, Pontefract and Castleford (Yvette Cooper) said, the UNHCR has offered to set up a fast process for us. The Minister has implied, but not yet said, that he has told it no, so will he be specific and say whether he has told it yes or no?
ParlaMint-GB_2016-02-29-commons.u197	French non-governmental organisations operate in the camps to help identify unaccompanied children and to help them to register with the authorities so that they can be properly looked after. That is the right approach, and it is precisely what the French Government seek to do. There is a process between the French Government and the asylum system, and that is the way in which assistance can be given. I strongly urge everyone to get behind that process, to ensure that children in need receive the care they require.
ParlaMint-GB_2016-02-29-commons.u198	The fact that there are many unaccompanied children wandering across Europe without any effective means of support is the biggest stain on how the European Union is operating its border and asylum policy. Will the Minister confirm that many thousands more children would be in such an awful plight were it not for the fact that this Government are providing such a huge amount of aid to Syria and neighbouring countries so that other children do not make this perilous journey?
ParlaMint-GB_2016-02-29-commons.u199	I entirely support what my hon. Friend says about the impact that aid assistance is having on the region. There is a sense of support, hope and opportunity for young people to get the education they need and to be well looked after. Equally, we will continue to work with other European partners on the entry points into the EU, to ensure that the people who have made journeys are processed and that children with claims of settlement are reunited with their parents.
ParlaMint-GB_2016-02-29-commons.u200	May I politely say to the Minister, and through him to his French counterpart, that this response is just not good enough? The real danger for children is now, during the demolition and dispersal of the camps in Calais and Dunkirk, when they are at real risk of being picked up by the gangs responsible for child sexual exploitation and people trafficking. Will the Minister get on with putting in place a proper and coherent registration system so that children can be picked up by the relevant authorities and looked after as they should be?
ParlaMint-GB_2016-02-29-commons.u201	My understanding is that the French Government are approaching this work on a phased basis. Places of worship and schools will not be subject to the clearance as a consequence of the court ruling, and the French authorities are focused on areas with unoccupied tents and are encouraging migrants who remain to move to the new accommodation in Calais or elsewhere in France. On children in need of support, I underline again the need to ensure that claims are made, and the NGOs are going in there and helping to identify children in need of help.
ParlaMint-GB_2016-02-29-commons.u202	The Minister will remember the evidence given by the Mayor of Calais to the Home Affairs Committee and what she has said in public, which is that the majority of those in the camps have been informed that they need to claim asylum in France, but they do not want to do so because they want to come to the UK. Does he agree that it is incumbent on the French Government and the Calais authorities to ensure that children, who cannot make asylum applications on their own, are assisted in doing so, and that adults are informed again that they must claim asylum in France, which is a safe country?
ParlaMint-GB_2016-02-29-commons.u203	I entirely agree with my hon. Friend. Again, I underline the fact that there are French NGOs operating in the camp to identify unaccompanied children and ensure that claims can be made.
ParlaMint-GB_2016-02-29-commons.u204	The Minister has said that for unaccompanied children with family connections claiming asylum in France, the process should take two months. How long do the UK Government say the asylum process should take for children with family connections in the United Kingdom, and what practical steps is he going to take to ensure that that is achieved?
ParlaMint-GB_2016-02-29-commons.u205	In respect of asylum processing and deciding whether to uphold claims, we in this country have done a great deal to ensure that claims are properly assessed and that straightforward claims are dealt with within six months. The Government have done a great deal of hard work to introduce that effectiveness into the system, and that has been recognised in the recent independent inspector’s report.
ParlaMint-GB_2016-02-29-commons.u206	Does the Minister agree that we and the French Government should make efforts to encourage people to seek assistance in France from the authorities, rather than living in squalor, vulnerable to criminal gangs? Does he also agree that we must make sure that we have strong security at our borders, so that people realise that it is not worth putting their lives in the hands of people traffickers, because they will end up losing their lives, as so many have done?
ParlaMint-GB_2016-02-29-commons.u207	My hon. Friend knows from his constituency interests the work that the Government have done to secure the port area around Calais and the Eurotunnel terminal at Coquelles. We keep that security under review in a joint group with the French Government. He makes the powerful and important point that asylum claims should be made at the earliest opportunity so that help and assistance can be given at the earliest opportunity.
ParlaMint-GB_2016-02-29-commons.u208	The press are reporting this afternoon that riot police are using tear gas and water cannon to support the destruction of the “jungle” camp. I do not know whether that is what the Minister meant by the French authorities engaging with young people and encouraging them to move on. Given that there is plenty of money to provide fencing, and bilateral co-operation with the French, why can he not simply get together with his French counterpart, identify the young people who have a legal right to come to the UK and get them over here immediately?
ParlaMint-GB_2016-02-29-commons.u209	It is a clear question of people claiming asylum, and children are being supported by the work of the NGOs that the French Government have put in place precisely for that purpose. We have taken a consistent joint approach, building on the agreement of last August, to support the French Government in their work to ensure that those in need of help get it.
ParlaMint-GB_2016-02-29-commons.u210	Everyone has concerns for vulnerable children in the camps in Calais. When children have identified that they have relatives in the UK, how many of those relatives the UK Government are preventing from travelling to France to be reunited with the children? Why does he think refugees would rather be in the UK than in France?
ParlaMint-GB_2016-02-29-commons.u211	These issues are often complex. The factor at the forefront of our minds is always what is in the best interests of the child. When we receive applications under Dublin or under family reunification, we always have to assess what is in the best interests of the child and whether the parents or other close family members can support the child. We give that focus to every case.
ParlaMint-GB_2016-02-29-commons.u212	Exactly a week ago, I asked the Prime Minister for an assurance that the United Kingdom Government’s response to the refugee crisis would be driven entirely by humanitarian need and not influenced in any way by considerations of the impact that it might have on the referendum that is likely to happen at the end of June. The Prime Minister was either unable or unwilling to give such a general assurance last week. Will the Immigration Minister please give that assurance, at least in relation to these most desperate and vulnerable young people?
ParlaMint-GB_2016-02-29-commons.u213	I think that the hon. Gentleman can see from the Government’s actions that we take our responsibilities very seriously. With the funding that we have committed not just in and around Syria but in Europe, and with the additional £10 million fund that the Department for International Development is operating to ensure that children in transit who are in need of help, counselling or other support can receive it, that is precisely what we will do.
ParlaMint-GB_2016-02-29-commons.u214	Has the Minister had any discussions with his French counterpart to find out the reasons why the migrants in Calais did not claim asylum in the other safe countries that they travelled through before arriving in France?
ParlaMint-GB_2016-02-29-commons.u215	The reasons are often quite complex. The Chair of the Home Affairs Committee highlighted the role of people traffickers and smugglers, as well as those who sell false hope through a whole host of different means and networks, including social media. Other reasons may relate to the existing diaspora communities and the whole issue of language. Through the actions on which we are supporting the French Government, and indeed those that we are taking ourselves in the camps, we are giving the clear message that people should claim asylum in France.
ParlaMint-GB_2016-02-29-commons.u216	I say to the Minister in all earnestness that there is precious little evidence of UK expertise on the ground in any of the camps. He was wrong in what he said about Christian places of worship, because one was wiped out by the French authorities just a few weeks ago. What advice would he give to the likes of the Caritas Social Action Network, Citizens UK and civil society organisations, as well as elected Members and anyone trying to help individuals who have the right of leave to remain in the UK or who have a close family connection, about how they can continue to give such help?
ParlaMint-GB_2016-02-29-commons.u217	I would say to anyone in that situation that they should claim asylum in France, which will ensure that there is a direct connection and that we can make the system work. I stress that the fact that different messages are being given does not help the situation. In respect of the whole issue of the clearance of the camps, I understand that the court specifically ruled that it should go ahead with the exception of places of worship and schools. The French Government should therefore adopt that approach in the actions they are taking.
ParlaMint-GB_2016-02-29-commons.u218	Before I entered this place, I worked as counsel on hundreds of asylum and trafficking cases. A core principle of the Dublin regulations is that the first country of entry should take responsibility for the claimant, which imports fairness and equity into the system. Will my right hon. Friend reassure the House of his commitment to that principle, and confirm that to discard it without legal basis would be undemocratic and illegitimate?
ParlaMint-GB_2016-02-29-commons.u219	I agree with my hon. Friend about the benefits and the strength of the Dublin arrangements. We believe that they should be upheld, not undermined. They include the core principle that those who make a claim should do so in the first safe country in which they arrive. Equally, the principle of family reunification for close family members operates under Dublin III, and the Government stand by that principle.
ParlaMint-GB_2016-02-29-commons.u220	I recently met constituents from St Stephen’s church in Worcester who have been to the camp in Dunkirk. They describe the situation for children as appalling. There is very poor sanitation, and with men-only kitchens, there is a danger that children and the women looking after them are missing out on food. I completely agree with the Minister that everyone in the camps should claim asylum in France, but where that does not happen over a long period, what more can we do to reach out and get that information to the most vulnerable? How can we make sure that the humanitarian assistance that reaches the camps reaches the most vulnerable in the camps?
ParlaMint-GB_2016-02-29-commons.u221	I again underline the specific facilities there, such as the 400 places for women and children, and the 1,500 places in the new containerised area. We are giving support at 102 centres away from the Calais area to which people can go to receive support, which will ensure that they can make their case. On the specific element of vulnerability, we are supporting the French Government and ensuring that the NGOs are in the camps. Equally, our own officers are going into the camps to reiterate the message that help and support can be given, and that the way to get it is to claim asylum. In that way, we can ensure that assistance is given as early as possible.
ParlaMint-GB_2016-02-29-commons.u222	(Urgent Question): To ask the Prime Minister if he will make a statement about the instructions issued by the Cabinet Secretary to permanent secretaries in respect of EU referendum guidance for the civil service and special advisers.
ParlaMint-GB_2016-02-29-commons.u223	The referendum on 23 June on the European Union represents the biggest constitutional decision for the nation in a generation. The Government’s position is clear: Britain will be stronger, safer and better off remaining in a reformed European Union. Today’s Government document setting out the process of leaving underlines that case, showing that a vote to leave could lead to up to a decade or more of damaging uncertainty, with real consequences putting jobs and investment at risk. I concur with that assessment Because of the significance of the referendum, as the House knows the Prime Minister took the decision to allow collective responsibility to be suspended on the referendum question. This approach was discussed and agreed by the Cabinet on 20 February. The process is clear: Ministers may depart from the Government position in a personal capacity on the specific question of the referendum. On all other matters, including on other EU business, the Government will operate as normal, and in all things the civil servants support the Government position Guidance on how this will work in practice was set out and published by the Cabinet Secretary last week. The guidance is clear. Other than on the specific question of the referendum, all Ministers can commission and see all documents, as normal. On the question of the referendum—and on this question alone—Ministers who disagree with the Government position naturally cannot commission policy work on the in/out question or see documents setting out details of the case to remain. All Ministers can ask for factual briefing, and for facts to be checked in any matter. All Ministers can see documents on EU issues not related to the referendum question, as normal The guidance is clear and has been published. The process was agreed at Cabinet as the best way to manage the unusual situation of Ministers who disagree with the Government remaining in post. I hope that this clarity will allow Members on both sides of the House to focus on the main debate about whether Britain will be better served by leaving or remaining in a reformed European Union and then let the people decide.
ParlaMint-GB_2016-02-29-commons.u224	Clarity on this issue is one thing that we do not have. Nobody objects to the Government making their case in the referendum, but most people expect the civil service to be impartial in carrying out its support for Ministers. It is established in law that Ministers are accountable for their Departments. Voters expect Government facts and figures to be impartial and accurate, whether they are used by Ministers who support remain or leave Why does the Cabinet Secretary’s letter go far beyond the limits that were placed on dissenting Ministers in the 1975 referendum? Sir Peter Thornton, the permanent secretary of the then Secretary of State for Trade, Peter Shore, was quoted as saying: “It was jolly difficult putting forward anti-Common Market briefs to Mr. Shore, but I hope we did what he asked” What a different atmosphere from today Worse than that, a Q and A briefing that has been circulated following the letter states that Ministers may not see any papers that “have a bearing on the referendum question or are intended to be used in support of their position on the referendum” That has been described by one Minister, the Minister for Employment, my right hon. Friend the Member for Witham (Priti Patel), as “unconstitutional”. How can such a wide ban be justified How does my right hon. Friend the Minister for the Cabinet Office reconcile this with his comment on Radio 4 this morning that “the Government is functioning on all questions, other than specifically the in/out question, in an entirely normal way” He also said: “There are no rules other than those set out last Monday in the letter from Jeremy Heywood.” What about the Q and A briefing Does the Minister deny that permanent secretaries have been instructed to conceal information requested by Downing Street or the Cabinet Office from a dissenting Minister? The Cabinet Secretary’s letter states that “Departments may check facts”, but civil servants have also been told that they cannot “provide arguments or new facts” How is that consistent with the duty of honesty in the civil service code, which requires a civil servant to “set out the facts and relevant issues truthfully” Does the Minister agree that where any guidance or instruction conflicts with the code, the code must prevail How does this situation best serve the democratic process if Ministers on opposing sides of the debate finish up disagreeing about information from the same Department which is meant to be impartial and accurate information provided by professional civil servants?
ParlaMint-GB_2016-02-29-commons.u225	Let me answer those points in turn. First, the Government are functioning perfectly well—in fact, I came to this House from a meeting with the Minister for Employment, my right hon. Friend the Member for Witham (Priti Patel), on childcare policy, and it was carried out in an entirely normal way. On Friday I visited a prison with the Justice Secretary, and those two points demonstrate that things are functioning as normal The civil service code, and the Constitutional Reform and Governance Act 2010, makes it clear that it is the duty of civil servants to support the position of the Government of the day, and it is only because the Prime Minister is allowing Ministers to remain in government while disagreeing with a single policy—the in/out position—that this situation arises at all. The letter from the Cabinet Secretary makes it clear that factual briefing is allowed Finally, the 1975 guidance made it clear that no briefing or draft speeches contrary to Government consideration were allowed to be drafted by civil servants. In fact, it went further because it said that if someone wanted to oppose the Government position, they had to inform No. 10 of any invitations to appear on the radio or TV. We have not put that provision in place. On all these things, the clarity in the guidance from the Cabinet Secretary that was published on Monday last week shows the rules, and those rules are consistent with the civil service code and, indeed, the law.
ParlaMint-GB_2016-02-29-commons.u226	I fear that the Minister is having a Jim Hacker moment. In 114 days, the country faces an important decision. The referendum will dictate how in future the UK handles exports and imports, the world of work, the new contours of the digital age, human rights, intelligence sharing, the fight against crime, and how we adapt to climate change, and here we are today discussing guidelines for civil servants and special advisers Sadly, I am not in the strongest of positions to lecture the poor Minister on handling splits in his party, but in the way that Opposition Front Benchers are almost duty bound to do, I would like to give him some advice. The Justice Secretary has a history of letting his special advisers off the leash. Does the Minister really think that a memorandum from a mandarin will change that When we have a Prime Minister who allows his spin doctors to brief that the Justice Secretary will be sacked after the referendum, or that his chum the Mayor of London has breached the old school code and that the Prime Minister is “hurt and upset”, I understand how the Minister would have been overcome with a wave of ennui at the prospect of answering an urgent question from the Chair of the Public Administration and Constitutional Affairs Committee about the conduct of special advisers. However, answer for their conduct he must, and I wish to ask him how many special advisers have informed No. 10 of their intention to work on the no campaign. In the event of ministerial visits where a Minister and their special adviser campaign for a no vote after the event, will the cost of travel be carried by the Minister? How will that be monitored and made public? The guidelines state that special advisers are not allowed to campaign for a no vote in office hours. For the avoidance of doubt, please define “office hours” When the inevitable happens and special advisers to those Ministers who are defying their leader completely ignore the memorandum from the Cabinet Secretary, on a scale of one to 10 how confident is the Minister that the Prime Minister will enforce the code? Does the Minister have the confidence to admit that these attempts to dilute the freedom of rebellious Ministers will only detract from the key issues that matter to voters in the referendum? It seems that the out campaign is attacking the referee, not the captain of the opposing side, yet the Prime Minister has a simple choice: either he gives his Ministers free rein to run their Departments, or he sacks them. It cannot be fudged for the next 114 days.
ParlaMint-GB_2016-02-29-commons.u227	Unfortunately, I have had to scrap most of my proposed reply to the hon. Gentleman, given his gracious acknowledgement that he is not best placed to throw rocks on this particular subject. I will, however, agree with him on this: questions on this matter are a distraction from the main event and the main substance, which is whether Britain is better off inside or outside a reformed European Union. I strongly believe that, thanks to the deal the Prime Minister achieved, we are better off and more secure inside a reformed European Union. The hon. Gentleman asked some specific questions. First, on the efficacy of the guidance, the guidance is for civil servants to follow. Civil servants do follow guidance of that sort and I have every confidence that they will do so. On what constitutes office hours, I will merely say that office hours means the normal working day. I hope that clears that one up. On the broader question of whether this is necessary, and his point that Ministers need both to run their Departments and be able to differ on this one question, this is why the guidance is very specifically and solely about the in/out question, not other EU business or other business. After all, we have Departments to run.
ParlaMint-GB_2016-02-29-commons.u228	My right hon. Friend is hugely able and has shown his ability today to dance on the head of a pin, but will he take it from me that this is a huge blunder? Out there, the general public will think that this decision is petty and vindictive. Moreover, they will say to our Government, and to this party to which I am so proud to belong, that if we are so much stronger in Europe, what is it that we are being so careful to hide?
ParlaMint-GB_2016-02-29-commons.u229	I have a huge amount of respect for my hon. Friend. I will just say this: the reason this is required is the Prime Minister’s decision to allow Ministers to campaign to leave and to differ from the Government position. If that were not the case, the guidance would not be needed. As for the general public, I imagine that what most people will take away from this will be: when can we get on to the real discussion about whether we should be in or out of a reformed European Union?
ParlaMint-GB_2016-02-29-commons.u230	Let me see if I have got this right. The Government’s position is that we should vote to remain in the European Union because, among other reasons, it will be good for jobs and employment. The Government’s problem is that the Secretary of State and the Minister responsible for jobs and employment take a contrary view. The Government are now in a dilemma. Not only do they not want their own Ministers not to support the Government’s position, but they do not want them to actively campaign against it and use their offices to do so. In response, the Government are now putting the obligation on unelected civil servants to censor what Ministers can or cannot see within their area of expertise. This situation is farcical, but it has an undercurrent of something sinister about it too. Any self-respecting Minister should not accept these constraints. There is already a bit of tension in the Minister’s party on this question. How long does he think it will be before it breaks out into all-out civil war?
ParlaMint-GB_2016-02-29-commons.u231	The hon. Gentleman makes a central error in his characterisation of the situation. No Minister is censored—far from it. Ministers are allowed to campaign against the Government position. It is for civil servants, therefore, to follow the Government position. After all, it is required by law that they follow and support the position of the Government of the day.
ParlaMint-GB_2016-02-29-commons.u232	There is a serious constitutional issue here, which goes to the heart of House of Commons accountability. We ask Ministers questions and expect answers that are fully informed. How can those who send us to the House of Commons have faith in the answers we get if those whom we question purposely have information withheld by their own civil servants?
ParlaMint-GB_2016-02-29-commons.u233	I have a huge amount of respect for my right hon. Friend. That is why I will answer his specific point. The question is exactly the reason for prescribing this guidance only in respect of the in/out issue rather than more broadly. That is what the guidance says. This broad approach was set up by the Prime Minister in January, and then discussed and agreed in Cabinet on 20 February as the best way to take forward the position whereby Ministers could disagree with the Government position.
ParlaMint-GB_2016-02-29-commons.u234	It is very decent of the Minister to dole out bowls full of respect, but my sense is that, on the whole, although that is enormously important to hon. and right hon. Members here assembled, they are generally more interested in his answers than in his respect.
ParlaMint-GB_2016-02-29-commons.u235	I previously asked whether the Prime Minister was going to throw his weight behind the in campaign, and I am very pleased that he has done so, because for the sake of our peace, prosperity, opportunity and security, we need to be in. As for what we are discussing now, I would like some clarity from the Minister. Is it the case that there is a list of Ministers who are in, a list of Ministers who are out and a list of Ministers who are undecided, and what happens if a Minister switches from the in to the out campaign or the out to the in campaign?
ParlaMint-GB_2016-02-29-commons.u236	First of all, Mr Speaker, I have respect for the right hon. Gentleman, and I also have respect for you—but perhaps I will drop all that. When the Cabinet met after the Prime Minister agreed the deal with other members of the European Union, Ministers at that point were asked to state their position—whether they wanted to remain or leave—and I doubt whether any of those positions will change.
ParlaMint-GB_2016-02-29-commons.u237	Veritably, my cup runneth over at the generosity and good grace of the Minister, to whom we are indebted.
ParlaMint-GB_2016-02-29-commons.u238	The Minister calls on the law. The question of voter trust in this referendum, as I said to both the Prime Minister and the Foreign Secretary on 3 and 25 February, is paramount. For the voters who will decide this question, knowledge is, as we know, power. Does the Minister deny that under sections 6 and 7 of the later and express provisions of the European Union Referendum Act 2015, a legal duty is imposed on the Government to provide referendum information and the voter is entitled to accurate and impartial information, as the Minister for Europe agreed in reply to me when the House debated that Bill, through and from the Government and all Ministers of the Crown equally, and that this therefore being a statutory obligation overrides any prime ministerial prerogative such as the Cabinet Secretary acted upon in the guidance of 23 February? Does the Minister therefore deny that civil servants as Crown servants are legally obliged to provide such information accurately and impartially to all Ministers within their Departments so that the voters are properly informed and empowered to answer the question in the referendum?
ParlaMint-GB_2016-02-29-commons.u239	On the legal details, the 2015 Act also requires the Government to express their view and the Constitutional Reform and Governance Act 2010 requires civil servants to support the position of the Government of the day. On that basis, it is right to follow the procedure that was agreed by the Cabinet. The position of the Government is set out; Ministers may disagree with it, but civil servants must support the Government’s position.
ParlaMint-GB_2016-02-29-commons.u240	Here we are on the day after the Oscars. The family is opposite: threat and counter-threat. It reminds me of “The Godfather”. This could be “The Godfather Part IV”: will there be a horse’s head in the bed or will it be another animal?
ParlaMint-GB_2016-02-29-commons.u241	Well, they say that politics is show business for ugly people, so I will take that as an upgrade.
ParlaMint-GB_2016-02-29-commons.u242	I find it hard to believe that on 20 February the Cabinet was aware of the implications of what it was doing. The central purpose of the Political Parties, Elections and Referendums Act 2000 was to achieve fairness in elections and in referendums, but now the Government have parked themselves on one side of the argument, dwarfing any influence from either of the campaign groups. Their action also goes against the strategic objective of offering the people a referendum to resolve the question of Britain’s role in the world one way or another. That question will hold only if the process is seen to be fair, but all this runs against that strategic objective.
ParlaMint-GB_2016-02-29-commons.u243	I disagree with my hon. Friend. The Government are required, under the European Union Referendum Act 2015, to take a position. They are also required—or commitments were given during the passage of that Act—to set out certain matters, including the process of leaving the European Union under article 50, which is in a document that we published this morning. During the passage of the referendum Act, there was a debate on how this could best be done, and we are acting on the conclusions that were reached.
ParlaMint-GB_2016-02-29-commons.u244	Is this not constitutional gibberish, and utterly unworkable? The protestations that we hear from Ministers now would be much more impressive had they joined our Select Committee in condemning the politicisation of the civil service during the Scottish referendum campaign. The difference is that, whereas all Ministers agreed in the case of the Scottish referendum, in this case we have a disagreement, and a Department in which the “inners” can see the papers and the “outers” cannot. Is it not a fact that the only way of making this workable is for Ministers to resign and leave office until after 23 June?
ParlaMint-GB_2016-02-29-commons.u245	It is precisely because we did not want that to happen that we proposed these arrangements. I think that the hon. Gentleman is wholly wrong, and misjudging the position, if he thinks that supporting the Government’s position is anything other than an impartial and proper course for civil servants to take. The alternative is to argue that civil servants should not support the Government’s position, and I think that that would be ridiculous.
ParlaMint-GB_2016-02-29-commons.u246	On a daily basis, Ministers in the Department for Environment, Food and Rural Affairs have to make difficult choices between the interpretation of European law and regulation and the delivery of decisions that would benefit United Kingdom citizens. I have dealt with a number of cases in the past which I would like to discuss with the current Minister of State. I shall be meeting him this evening. Will I be able to ask him questions about past cases, so that he can, without fear or favour, have access to a full briefing, all the opinions and all the history of what happened before and after the decision concerned, although the end result might be thoroughly disobliging to the case for remaining in the European Union?
ParlaMint-GB_2016-02-29-commons.u247	My right hon. Friend has made an important point. On European Union issues that do not relate to the single question of in or out, there will be full access to all papers, as normal. That is what is said in the letter from the Cabinet Secretary, and that is how the Government are operating.
ParlaMint-GB_2016-02-29-commons.u248	During the referendum on Scottish independence, which was mentioned by my hon. Friend the Member for Newport West (Paul Flynn), there was significant controversy over senior civil servants making public and clearly political, and politicised, statements. It is vital for the civil service to retain its private advisory role, and for civil servants not to make blatantly political public comments during the campaign before the EU referendum. Will the Minister confirm that that will be the case?
