ParlaMint-GB_2016-01-20-commons.u1	1. What recent discussions she has had with the Northern Ireland Executive on economic development.
ParlaMint-GB_2016-01-20-commons.u146	This sounds like a depressingly familiar catalogue of failure and cover-up. At the time of this tragic death, a report would routinely have been given to the children’s Minister, and the Home Office pathologist, Dr Alison Armour, presumably also reported her suspicions to the Home Office. What action was jointly taken by Ministers in the Home Office and the Department for Education, particularly given the ongoing danger to siblings involved? What has happened to the serious case review that, since 2010, has been routinely published to reveal where failures have been made and to enable lessons to be learned, which is so crucial in this case?
ParlaMint-GB_2016-01-20-commons.u147	I thank my hon. Friend for his question. He did an incredible amount of work as children’s Minister to deal with the failures in the system that we have seen here and he raises some very important points, many of which I, too, have raised with officials today. If he will forgive me, I will write to him on the specific points. May I also—I failed to do this earlier—offer to meet the hon. Member for Barrow and Furness (John Woodcock), because I think that there are many things that it is important we discuss face to face?
ParlaMint-GB_2016-01-20-commons.u148	It is clear that there were multiple failings in this tragic case. I appreciate that the Minister has said that she does not want to jeopardise any further investigation, but it is terribly troubling that His Honour Judge Jackson remarked that “the police investigation was clearly deficient and that the police failed to launch a real investigation until nine months after Poppi’s death” and that the case is “more than usually troubling”. Will the Minister support the call from my hon. Friend the Member for Barrow and Furness (John Woodcock) for a separate police investigation by a separate police force? Will she also support the publication of the IPCC’s draft report on this case?
ParlaMint-GB_2016-01-20-commons.u149	The hon. Gentleman asks about the failings in the police, and that is what the IPCC report will contain. We will know more when we see that report, but it cannot be published, even in draft, before the second inquest. I am sure that he understands that it is very important that that inquest can take place in a fair and open manner so that we get to the facts of the case and understand what happened. He will know more than anybody that Judge Jackson was looking at the balance of probabilities, whereas a criminal case would need to be beyond reasonable doubt—different levels of proof and of evidence are required. The hon. Gentleman understands that. I want to get to the bottom of this. I want to have the full inquest and understand exactly what happened, at which point we can determine the appropriate action to be taken.
ParlaMint-GB_2016-01-20-commons.u150	I commend the hon. Member for Barrow and Furness (John Woodcock) for his measured and reasonable putting of this important question. The whole nation will have been touched by the terrible tragedy that befell this little baby girl. Is it not troubling, however, that public agencies used public money to try to stifle debate and hide transparency and openness, using the family courts? Is it not time we reviewed the interface between the family courts and public agencies, because openness and transparency are the best disinfectant for and solution to such issues, ensuring that something this terrible and awful never happens again?
ParlaMint-GB_2016-01-20-commons.u151	My hon. Friend makes an interesting point. If he will allow me to do so, I will discuss the point with the Lord Chancellor, as this will be a matter for the Ministry of Justice, and return to him with further thoughts when I have had that discussion.
ParlaMint-GB_2016-01-20-commons.u152	I welcome the Minister’s commitment to pursue these matters until all lessons can be learned, but does she agree that the crucial relationship is that between the police and social services? The crucial process is that information is passed on immediately. If that is done, these terrible acts can be discovered even more efficiently.
ParlaMint-GB_2016-01-20-commons.u153	The right hon. Gentleman makes an incredibly important point. If agencies are not working together and talking to each other, we will not find and protect those children who so desperately need our protection. I have been impressed and pleased with the work in multiagency safeguarding hubs, and in the many that I have visited it is truly refreshing to see police, social services, probation services and other agencies that have a role in protecting the most vulnerable people in society—particularly children—sitting together, co-located, working together, sharing information, and taking action immediately. We need more of that, and I know that Chief Constable Simon Bailey, who leads on child sexual abuse for the National Police Chiefs’ Council, is keen to ensure more multi-agency working so that we get that protection.
ParlaMint-GB_2016-01-20-commons.u154	I support what the hon. Member for Barrow and Furness (John Woodcock) has said, and as a father of three young daughters my blood runs cold at this case. The Minister has rightly pointed out the growing need for integration of services outside Whitehall. There are many departmental responsibilities in government, including her Department, the Law Officers, the Lord Chancellor’s Department and—crucially—the Department for Communities and Local Government, which deals with funding for county councils to ensure robust, fit-for-purpose social service departments. Will she ensure that there is also full integration at Whitehall level?
ParlaMint-GB_2016-01-20-commons.u155	Astonishingly, my hon. Friend managed to forget the Department for Education. The Education Secretary chairs the child protection implementation taskforce, of which I and other Ministers are members. That cross-department team considers how we implement what we have learned from other examples of child abuse, and what we have learned from this case will give us more information and help us to develop better ways to protect children.
ParlaMint-GB_2016-01-20-commons.u156	This is clearly a disturbing case, and I understand the Minister’s reticence in not wanting to do anything that could prejudice justice. She will also have had only limited time in which to pursue it. May I urge her to keep pursuing this case, and not to be deterred by the process that is taking place? Will she clarify the situation regarding the police investigation? Surely we do not need to wait for the inquest for a police investigation to continue. As I understand it, the IPCC is verifying whether the police did the right job previously, and we need a police investigation now into this individual case. Could that be done by an alternative police force?
ParlaMint-GB_2016-01-20-commons.u157	I know that the right hon. Lady has campaigned on these matters for many years, and I assure her that I personally will take this case and ensure that we get to the bottom of it. We must learn all the lessons from it, and understand what happened and what went wrong. We owe that to Poppi Worthington and to all other children in that situation. Specifically on the police investigation, she will be aware that we need new evidence before a new investigation can be held, so perhaps I may write to her and provide more information about the case as I receive it.
ParlaMint-GB_2016-01-20-commons.u158	As a councillor I experienced the horrors of the cases of Jasmine Beckford, Victoria Climbié and baby P. I understand that the Minister cannot give a firm commitment today, but it is clear that those who are in charge of these investigations are not learning the lessons of the past. If the evidence points that way, will the Minister commit to ordering a proper judicial inquiry, so that further reviews can be undertaken and people can understand the lessons that have been learned and implement any changes, as proposed by the Communities and Local Government Committee last year?
ParlaMint-GB_2016-01-20-commons.u159	We need to know exactly what happened, and understand the IPCC report and the findings of the second inquest. We also have the victim’s right to review, and once we have completed the legal processes the family wish to use that. I want to wait until all the facts are on the table and we know what happened before making any commitment.
ParlaMint-GB_2016-01-20-commons.u160	As a fellow Cumbrian MP I am deeply shocked and concerned about this case, and I support my hon. Friend the Member for Barrow and Furness (John Woodcock) in his call for an independent investigation. I appreciate what the Minister is saying about the second inquest. The IPCC report appears to have been leaked to the press, which is of great concern. Poppi’s death was in December 2012 and it has taken a long time to get to where we are. The case has only gone through the family courts. No one has been charged, and I am concerned about that and would welcome the Minister’s comments.
ParlaMint-GB_2016-01-20-commons.u161	I am not aware that the IPCC report has been leaked, but I will look into that. Perhaps when I meet the hon. Member for Barrow and Furness we could discuss that issue once we have more information about what has happened. If the report has been leaked that is shocking and should not have happened.
ParlaMint-GB_2016-01-20-commons.u162	I commend the hon. Member for Barrow and Furness (John Woodcock) for bringing this issue to the House, and the Minister for her response. None of us can fail to be moved by the picture of the 14-month-old innocent Poppi Worthington. Although there has been some conflicting opinion, given the amount of press coverage and the opinion of Mr Justice Jackson and Dr Alison Armour, surely the case must be reopened. We should be able to stand proud of our British justice system, but in this case justice has not been done for Poppi Worthington or any other child that might be in danger. If the IPCC should find that the Cumbrian police did not act as they should have, will that be a reason for reopening the case?
ParlaMint-GB_2016-01-20-commons.u163	I assure the hon. Gentleman that when we know what happened, where the failings were, and what—if anything—could have been done differently, I and my fellow Ministers will ensure that proper steps are taken and that we do all we can to get to the bottom of this issue and get the justice that Poppi Worthington rightly deserves.
ParlaMint-GB_2016-01-20-commons.u164	(Urgent Question): To ask the Secretary of State for the Home Department to make a statement on the revelation today about discriminatory treatment of asylum seekers in Middlesbrough.
ParlaMint-GB_2016-01-20-commons.u165	I am grateful to the hon. Gentleman for asking this urgent question and allowing me the opportunity to set out the Government’s response to the issues raised in The Times today From the outset, I underline that the United Kingdom has a proud history of granting asylum to those who need it, and we are committed to providing safe and secure accommodation while asylum cases are considered. The Immigration and Asylum Act 1999 introduced the policy of national dispersal, which was designed to share the impact of asylum seekers across the whole United Kingdom. Under that arrangement, asylum seekers are housed across the UK under voluntary agreements between national Governments and local authorities. Those arrangements have been in place since 2000. Under current arrangements—the commercial and operating managers procuring asylum support services, or COMPASS, contracts—three companies provide asylum seeker accommodation, transport and related services. In Middlesbrough those services are provided by G4S As right hon. and hon. Members will have seen from my response published in The Times this morning, I am deeply concerned about the issues raised and the painting of doors of asylum seeker accommodation in a single colour. Anything that identifies asylum seeker accommodation to those who may wish to harm those accommodated in the properties must be avoided. I spoke to the chief executive officer of G4S this morning, and he assured me that neither G4S nor its subcontractor in Middlesbrough, Jomast, has a policy that states that asylum seeker properties should be identified in such a way. However, Jomast does accept that the company uses red paint across its portfolio of properties I have asked Home Office officials to look into this issue as a matter of urgency, and to report to me and the permanent secretary. G4S has advised that doors in the area will be repainted so that there is no predominant colour. As part of the audit that we have commissioned, I have asked it to ensure that COMPASS contracts have been appropriately implemented in Middlesbrough, and I have considered the Home Office’s arrangements for monitoring contract compliance in that area and more generally The Home Office works with COMPASS providers and local authorities to ensure that the impact of dispersal on local communities and services is taken into account when allocating accommodation. It is the responsibility of the suppliers to ensure that all accommodation used meets required contractual standards, and complies with the decent home standards—specifically, that accommodation is safe, habitable and fit for purpose. Each property used is subject to a housing officer visit every 28 days. In addition, Home Office contract compliance teams inspect a third of all properties using an intelligence-led, risk-based approach to monitor standards and ensure maintenance faults are rectified within the prescribed timescales Let me be clear to the House that I expect the highest standards from our contractors. If we have evidence of discrimination against asylum seekers, it will be dealt with immediately.
ParlaMint-GB_2016-01-20-commons.u166	I am very grateful to the Minister for his very thoughtful and considered response. I share with him Middlesbrough’s proud record of welcoming people fleeing persecution and torture. We are rightly proud of the excellent arrangements we have with our churches and charities. I am proud of those people and the welcome they offer As the Minister rightly says, the background is that the contract for housing asylum seekers in the north-east is held by G4S and subcontracted to Jomast. The excellent article by Andrew Norfolk published in The Times explains that Jomast has 168 properties in two wards. Some 155 of them have their front doors to the street painted red. This marks out the properties and their inhabitants for those with prejudicial motivations and evil intent. There are accounts of asylum seekers being abused in their homes as a direct result of being so readily identifiable. Their doors have been smeared with dog excrement and daubed with graffiti showing the National Front logo. Eggs and stones have been thrown at their properties and they have been subjected to verbal abuse Such a policy may not be deliberate, but Jomast have to think it through. There is clearly a risk of undermining social cohesion and the safety of those seeking sanctuary. I am aghast that G4S claims no knowledge of that. Jomast has undertaken to remedy the position, but it is imperative that the Government insist that remedial action be taken as a matter of supreme urgency, and that the contractor and subcontractor are held to account. The Minister talks about the way the contract is managed. I ask him to stick to the theory he outlined in such great detail, because I am aware that the practice is far from the theory. Many people can be confined to one bedroom. That, simply, is not dignified. It is not a humanitarian response to put people in those conditions The public policy implications for contracting out the arrangements are devastating. People should not derive public profit from these matters; they are a matter for central Government and local government. Local government is the best organisation to look at the wider implications of welcoming people into our communities in this way. I therefore ask the Minister to review and reconsider that matter When did the Minister first become aware of this concern? When did G4S become aware of it and what action did it take? What steps is the Department taking to ensure that the readily identifiable red doors are corrected and on what timescale? At the moment, Jomast says it acknowledges the issue and will address it over three to six months. I suggest to the Minister that that is simply not acceptable. This must be done as a matter of supreme urgency: I have in mind a timescale of three to six weeks, rather than three to six months. I would like him to address that. If the Minister concludes that what has happened is discriminatory, what action will he take? In short, will he outline what penalties he has available to him to make sure that G4S, which has, frankly, suffered a great deal of reputational damage in recent times, and Jomast are held to account?
ParlaMint-GB_2016-01-20-commons.u167	I thank the hon. Gentleman for the way in which he raises his concerns. Like him, I pay tribute to the work and the approach that Middlesbrough, as an authority, has taken for many years in seeking to accommodate asylum seekers. He will be aware that a number of discussions have taken place between my officials, Home Office officials and Middlesbrough Council on the concentration of asylum seekers, as Middlesbrough is the only place in the country where our threshold of one in 200 is exceeded. I have asked my officials to look at that closely and at a plan to bring it back within the appropriate standards we have set On the report in The Times today and on the experiences of some people being accommodated in housing in Middlesbrough, I condemn absolutely any crimes of hate, any actions that sow divisions within communities and any actions that seek to intimidate or mark out asylum seekers in any way. We have been in contact with the local police this morning to underline any issues of community reassurance. They are actively considering appropriate steps. Complaints about hate crime should be made to the police, so they can be followed up and appropriate action taken The hon. Gentleman asks me about the urgency of response. As soon as I heard about the matter, which was late last week when The Times first contacted us, I instructed officials to look into it urgently because of my very serious concerns about what I was hearing. I expect the audit to be concluded on the Home Office side quickly, and completed at the latest by the end of this month On G4S, we have an ongoing regime of inspection of the maintenance and condition of properties. G4S has met standards where maintenance issues have been identified as requiring remedial action. It has followed through on them, but the audit will look at that closely. The chief executive officer of G4S underlined to me, in a conversation this morning, the seriousness and urgency of the issue. He underlined the sense of urgency that he and G4S attach to repainting doors to make sure there is no predominant colour. I said that I expected that to be done quickly. That was the message I got back from G4S This is a matter of utmost concern. The Home Office is working on it closely. We will look at it carefully and rigorously. It is not simply a question of looking at the contract. If there are issues that need to be brought to the attention of the police, and criminal action taken thereafter, that will be a matter for the police. I urge those with evidence to come forward and ensure it is reported appropriately.
ParlaMint-GB_2016-01-20-commons.u168	I echo the plea for urgent action on the ground. Throughout the past 15 years, when the number of asylum seekers has been a hugely controversial and sensitive public issue, one of the best things has been that on the ground in communities there has been very little tension and very little violence. At a human level, the policy has been handled very well. It would be tragic if that were to end with some of the actions in Middlesbrough we have heard described. Obviously, the Minister will have to take a number of actions that will take some time, but on the immediate, on-the-ground action, if what is required in the short term is to repaint 150 front doors, then frankly this should not be taking three months or three weeks. The painters should be out now and it should be done by the weekend. I hope the Minister can assure the House that that kind of urgency will be shown.
ParlaMint-GB_2016-01-20-commons.u169	I am grateful to my right hon. Friend for his comments. He has understanding and experience as a previous holder of the office I now hold as Immigration Minister. I can assure him of the urgency I have impressed on G4S in respect of resolving the issue quickly. The chief executive officer underlined that he recognised and understood that clearly. We will be monitoring the situation closely. I have asked officials to go to Middlesbrough tomorrow to assess the situation on the ground and to start work on the audit. I hope that that reassures my right hon. Friend of the urgency that I, my officials, and, from what we are hearing, G4S attach to this matter.
ParlaMint-GB_2016-01-20-commons.u170	Today’s report in The Times is obviously deeply concerning, and I recognise the Minister’s concern and the steps he has taken to get to the bottom of it. It is concerning that such a thing has happened. It is early days but it seems right—it does not seem that the facts are disputed—that the doors were painted red. It is also concerning because of the underpinning arrangements. How did this come about, and how did nobody think it inappropriate for the doors to be so painted, particularly given that, as the Minister has outlined, there is a Home Office inspection regime and a local authority assurance scheme? How did nobody, under those arrangements, think there was anything wrong? There is also concern about the consequences. Hate crime is increasing—it increased by 18% last year—and the consequence has been hate crime in Middlesbrough. That is concerning in its own right. I echo the view that the sooner something is done to rectify the situation, the better. There is also concern that this matter is before the House only because of the careful work of Andrew Norfolk at The Times, not because some internal inspection or auditing scheme flagged it up as a matter of concern The Minister has told us when he first knew, and I appreciate he has put steps in place to make further welcome inquiries, but how did this escape whatever inspection or assurance regime was in place? Were the properties inspected or assured by the Home Office or anybody else? If not, what can be done to improve the regime? What conversations has the Minister had with the contractors in Middlesbrough? Is this an isolated example? Is it something that has happened just in Middlesbrough, or are there examples in other parts of the country? Have inquiries been made into that? If so, what have they shown so far? If not, can such inquiries be made? What further conversations can be had with all private providers of accommodation to ensure that this does not occur again anywhere and that, if it has occurred anywhere else, it is rectified as soon as possible?
ParlaMint-GB_2016-01-20-commons.u171	As I highlighted, I spoke to the chief executive of G4S this morning and asked that work be done to assess whether this is an isolated issue. I have asked how we can talk to all the providers under the COMPASS contract and how inquiries can be made with their subcontractors as well. From initial investigations, it seems that some providers of social housing might, for maintenance purposes, paint in a particular colour. We are investigating that further. Jomast made the point that about 20% of its property portfolio is asylum accommodation. We will focus on this issue as part of the audit work I have commissioned, and we will see whether lessons can be learned about the ongoing maintenance assessment. Inspections are undertaken to identify whether accommodation remains suitable or whether steps need to be taken by our contractors. I have tasked out that work as part of the examination. I underline again that we take hate crime very seriously and will remain focused on it in our forthcoming work The hon. and learned Gentleman asked about inspections. We will look at the processes and procedures to establish why the significance of this issue was not identified earlier. I have noted reports in the press and elsewhere of the issue having been highlighted to G4S and potentially to others. We are seeking to get to the bottom of that.
ParlaMint-GB_2016-01-20-commons.u172	I congratulate and thank the hon. Member for Middlesbrough (Andy McDonald) for bringing this issue to the Floor of the House. The provision of accommodation to asylum seekers deserves significant scrutiny, so I welcome the Minister’s announcement of an urgent audit of asylum-seeker accommodation in the north-east. SNP Members and others across the House share his concerns and will have been appalled by the revelation of what seems to have been, at best, an eye-wateringly negligent red-door policy We question, however, whether an audit goes far enough. The story of the red doors is troubling, but the delivery of contracts for the provision of asylum accommodation across the country is a broader issue and raises similar serious concerns. Will the Government listen to those concerns? When I speak to the Scottish Refugee Council, I hear about problems of poor-quality accommodation; poor treatment of asylum seekers by staff, sometimes because of a lack of training, sometimes because of inexcusable abuse and mistreatment; inappropriate sharing of accommodation; and about not so much a lack of integration of the services referred to by the Minister but their complete and utter fragmentation. Will he broaden the inquiry into the provision of accommodation for asylum seekers to reflect those concerns? We need an inquiry that speaks to asylum seekers living in accommodation provided by Government contractors and to organisations such as the Scottish Refugee Council, which could have so much input. Finally, when will a decision need to be made into the extension of these contracts and what opportunities will there be for parliamentarians to scrutinise and input into that decision?
ParlaMint-GB_2016-01-20-commons.u173	Property standards are monitored under the COMPASS arrangements by three key performance indicators, to ensure that accommodation is safe, habitable and fit for purpose. Accommodation is inspected frequently by G4S, the local authority and the Home Office, and, as I have indicated, housing officers visit a third of all properties every 28 days, on an intelligence-led basis, under our overall compliance approach The hon. Gentleman made a point about complaints. Provisions in the contract ensure that complaints should be escalated and taken seriously. Again, that is something I want the audit to understand in terms of the situation in the north-east. The matter will be pursued in that way. He also asks for a broadening of the arrangements. I do not judge that to be appropriate. I will see what the audit tells us and then consider whether further action is needed
ParlaMint-GB_2016-01-20-commons.u174	It is extraordinary that, with all these inspections, it took a journalist as distinguished as Andrew Norfolk to expose the problems. I accept what the Minister has said—he has acted with great speed in trying to put measures in place—but the Home Affairs Committee has written to Ministers in the past with concerns about the COMPASS contract. Over the years, Ministers have given these contracts to big companies, such as G4S and Serco, that are once removed from the real providers. As the House knows, G4S is a serial offender in respect of these breaches. With the greatest will in the world and despite his commitment to making sure something is done, I do not believe that an audit will be sufficient. If it is accepted that the doors were painted in a certain colour, that is appalling, and it should have been discussed and discovered earlier. When the audit is complete, will he undertake either to make a statement to the House or come to the Select Committee with its findings?
ParlaMint-GB_2016-01-20-commons.u175	As the right hon. Gentleman knows, I appear before his Committee frequently to update it and, by extension, the House on matters relating to the immigration system. I believe I might be appearing before it in the near term, which might provide an opportunity for me to update him and his Committee and, by extension, other right hon. and hon. Members, about the work being done. I can certainly give him that assurance The right hon. Gentleman highlighted the question of whether it was accepted or known that doors were painted a particular colour. As I have already told the House, there is a practice among some social housing providers to paint in a particular colour for maintenance purposes, but it is precisely those factors that I will want to understand as part of the audit of not simply the practice in the north-east but the inspection regimes and processes we have in place to identify whether issues, standards and complaints are dealt with appropriately.
ParlaMint-GB_2016-01-20-commons.u176	It is a good job that we have journalists such as Andrew Norfolk, who also helped, of course, to expose the Rotherham abuse scandal. Is it not a matter of concern that whenever some abuse is known about and comes into the public arena, the Minister makes a statement and somehow or other G4S seems to be involved? I would have thought that that would be a source of some concern to the Home Secretary and her Ministers. I do not question for a moment the Minister’s objections, just like those of the rest of us, to any form of discrimination, but should not those responsible for what occurred—the painting of doors in red where asylum seekers are concerned—be told in the clearest possible language that certain aspects of 1936 Berlin are not to be repeated in Britain in 2016?
ParlaMint-GB_2016-01-20-commons.u177	We need to look at this issue very closely and carefully, which is precisely what we have committed to do. As to G4S and the properties it provides in the north-east, we examined about 84 properties where inspections were successfully completed. Where defects were identified, action was taken. According to our assessment, there were no key performance indicator failures in respect of Middlesbrough. That is precisely what the audit will examine further, taking into account the state and condition of the properties. This House has telegraphed its message very clearly today, in standing against hate crime and discrimination and ensuring that those who are here and who have sought lawfully to claim asylum are given a fair and appropriate welcome by this country, as we would all expect.
ParlaMint-GB_2016-01-20-commons.u178	It is my understanding that concerns about this practice of painting doors red were first raised in 2012 by my Liberal Democrat colleague and then Middlesbrough councillor, Suzanne Fletcher. She has pursued the issue doggedly ever since, and it is largely due to her efforts that the matter has now come to light today. She was told by G4S that it had received no complaints, so there was no need to take any action. That could manifestly not be the case, and does it not raise in the Minister’s mind at least a suspicion that an audit is somewhat less than what is required? Yet again G4S has come to public attention for all the wrong reasons, and yet again it has been found wanting.
ParlaMint-GB_2016-01-20-commons.u179	I discussed with the chief executive this morning the issue of complaints and when the matter was first made known to G4S. It is a matter that he has committed to examine further to get to the bottom of how G4S handled the issue for its own satisfaction. It is a question of doing the audit I have commissioned urgently to see the situation on the ground and understand how the inspection and audit regime has been conducted thus far. I will obviously want to reflect on what that tells me.
ParlaMint-GB_2016-01-20-commons.u180	Jomast has a major base in my constituency, and this is not the first time that it has come under national media scrutiny for the wrong reasons. I have visited some of the hovels that have apparently passed the test as “decent homes”, driving huge profits directly from Government contracts. While the Minister inquires further into this latest scandal, will he also order a further review in real detail of the standards of Teesside accommodation, including houses of multiple occupation in my Stockton North constituency, and get a better deal and better value for money for both tenants and the Government?
ParlaMint-GB_2016-01-20-commons.u181	As I have already indicated, a key part of the work we undertake is to see that accommodation is safe, habitable and fit for purpose. That is what the inspection regime looks at. To date, on the basis of the advice I have seen, those standards have been met. Clearly, however, we can focus on that element as part of the audit and see what that information tells us bill presented House of Commons Members’ Fund Bill Presentation and First Reading (Standing Order No. 57) Mr Christopher Chope presented a Bill to consolidate and amend provisions about the House of Commons Members’ Fund; and for connected purposes Bill read the First time; to be read a Second time on Friday 22 January, and to be printed (Bill 121).
ParlaMint-GB_2016-01-20-commons.u182	I beg to move, That leave be given to bring in a Bill to make provision about controls on the transportation of nuclear weapons I would like to take this opportunity to call on the Government immediately to clarify what safety measures they have put in place and, ultimately, to put a stop to these convoys travelling through our towns and cities. It is my hope that greater awareness in this House of these convoys will strengthen calls across the country to rid us of nuclear weapons once and for all On several occasions since my election last May, nuclear convoys have passed through my Midlothian constituency along busy routes with commuters and families. These convoys pass with no regard to the danger they pose to the people of Midlothian. My constituents are horrified—and understandably so. As some Members will know, Midlothian is a semi-rural constituency, immediately south of Edinburgh, sitting at the foot of the Pentland hills. Penicuik is one of Midlothian’s largest towns, where we find the Glencorse barracks with Beeslack High School and Mauricewood Primary School in close proximity. Perhaps we can imagine the scene around lunchtime on a bright May afternoon, with the children from Mauricewood primary playing in the school fields and the pupils at Beeslack High School out enjoying their lunch, while just over the fence sit half a dozen weapons of mass destruction Since then, there have been countless reported incidents where convoys have continued to travel across the UK, regardless of severe weather warnings, with the most recent instance only last weekend in Stirling. A number of areas of the country are suffering from flooding while others are under snow, and emergency services are pushed. Roads and rail infrastructure are challenged almost to breaking point—yet still these convoys make their trek up and down our countries Following the public outcry in Midlothian on 22 May, I wrote to the Secretary of State for Defence to ask a number of safety questions, including what assessment had been made of the proposed route. I have to say that the answer provided to me was woefully inadequate. In his response, the Minister for the Armed Forces claimed that there had been an unbroken safety record for 50 years. That response could have been written by Frank Drebben and the Police Squad, saying “Nothing to see here, move along”. In actual fact, more than 70 individual safety incidents involving convoys were recorded by the Ministry of Defence over the period between July 2007 to December 2012. Those figures were provided to me by Nukewatch, an organisation that helps to monitor the convoys’ movement, and they had been provided to it by the MOD Alarmingly, the movement of convoys has changed. In 2005, MOD rules restricting travel by night were lifted, but moving convoys by night increases the risk of accidents and collisions, and makes security much more difficult. The Royal Society for the Prevention of Accidents has pointed out that drivers are far more likely to fall asleep at the wheel at night. These long journeys now take less than 20 hours, adding pressure to crews and critical safety equipment while families sleep in their beds. At a time when we have a daily reminder in this House that the UK threat level remains “severe”, these convoys are dangerous, highly visible and not only a risk through the level of accidents, but a moving target for terrorists Some might claim this is being alarmist, but it has been said that “such an attack has the potential to lead to the damage or destruction of a nuclear weapon within the UK and the consequences of such an incident are likely to be considerable loss of life and severe disruption to the British people’s way of life and to the UK’s ability to function effectively as a sovereign state” These are not my words—they are from the MOD in response to a freedom of information request by Nukewatch in 2005. We should just think about that— “considerable loss of life” and inability to function “as a sovereign state”. If anyone still thinks it is a good idea to have these convoys passing through our communities when the potential consequences have been acknowledged, they can feel free to do so. I have to say that I certainly do not. Given the enormity of these words, we must ask ourselves whether nuclear convoys are more of a risk to the British people and their way of life than terrorism. If that is the case, we have a moral, ethical and valid compelling mandate to remove that risk from our towns, our cities and our nations We need look only at the effects of social media to understand how powerful the risk is. When convoys travelled through Midlothian, I was alerted to the fact through Facebook and Twitter. Ordinary members of the public were drawing attention to the grim scene of nuclear materials passing their front doors. It is delusional to think that a convoy of 20 large vehicles can ever go unnoticed in this day and age. The existence of the convoys is already well documented, and if members of the public can do that, it seems logical to assume that others with darker motivations could do so as well I am sure that we are all far too well aware of the appalling damage and loss of life that a terrorist attack can bring about, but running convoys of nuclear weapons through the country does nothing to deter that. In the event of such an incident, or a fire or major explosion, local authorities might not be fully prepared to deal with the immediate aftermath. Although the police are informed of an approaching convoy, they are not obliged to inform any other services, including the fire and rescue services In a scenario of that kind, with lethal plutonium billowing around my constituency, local people would be at the mercy of a response team that is based in Bath. While I am sure that the members of that team are highly skilled and have considerable expertise, they are nevertheless based 380 miles from my constituency. At worst, if there were a fire or a major explosion, my constituency and neighbouring areas would be flattened This issue has been discussed in this House before. My hon. Friend the Member for Rutherglen and Hamilton West (Margaret Ferrier) raised many of the same points during a debate back in July. However, the issue has not been raised solely by SNP Members, and I thank the hon. Member for South Down (Ms Ritchie) for conveying her support for the Bill. As well as passing through 21 local authority areas in Scotland, the convoys pass through, or fly over, 13 in Wales and 91 in England, so this is not just an issue for Scotland. As the House anticipates a potential vote on the overhauling and upgrading of the system through the Mk4A refurbishment programme, the Government should also be clear about the impact that the programme will have on the frequency of convoys. If every single warhead is to be replaced, and every single one is to be sent down to Berkshire and back again, I can only imagine the scene: you are standing on a street corner, observing the passing of military vehicles, some guarding and some carrying nuclear weapons, but you are not in North Korea. You are on the A702 in Penicuik Finally, let me raise a matter of great importance, and praise the hard work of the men and women who are employed on our submarines or as part of the logistical operation. They do an incredible job. It must not be forgotten that, regardless of our views on nuclear weapons, the men and women who work with them are doing a phenomenal job I believe that most of the people of Scotland, and, indeed, most people in my constituency, remain opposed to the UK Government’s policy of maintaining and upgrading the Trident system. However, I hope that the debate will persuade other Members, even if they agree with the pro-Trident policy, to show their concern and agree that real risks are involved in nuclear convoys. The transport of nuclear weapons should not be based on an argument for convenience at the expense of safety. The policy as it stands lacks transparency, it is counterproductive in that it does not protect us from terrorist attacks, and it shows a blatant disregard and lack of judgment in relation to our own citizens. While my ultimate hope is that the Government will see sense and think again about their policy of renewing Trident, they should at the very least respond to Members’ calls for an end to the absurd policy of driving nuclear weapon material near our schools, nurseries and front doors.
