ParlaMint-GB_2016-06-27-commons.u1	1. What plans his Department has to ensure future defence co-operation with allies and partners.
ParlaMint-GB_2016-06-27-commons.u165	First, I thank the British people for turning out to vote in the referendum in such high numbers. The vote was a reflection of the significance of the issue, but it was a close vote on the back of a campaign that was too often divisive and negative. The Opposition Benches put forward a positive case to remain part of the European Union and convinced more than two thirds of our own supporters, but the majority of people voted to leave and we have listened to and accepted what they have said. Many people feel disfranchised and powerless, especially in parts of the country that have been left behind for far too long—communities that have been let down not by the European Union but by Tory Governments. Those communities do not trust politicians to deliver, because for too long they have not. Instead of more extreme cuts to local services, which have hit those areas the hardest, the Government need to invest in those communities. Many such areas are deeply concerned about the security of pledged EU funding. That money is desperately needed, so can the Prime Minister give us any guarantees on those issues Secondly, there is the issue of trust. The tenor of the referendum was disheartening. Half-truths and untruths were told, many of which key leave figures spent the weekend distancing themselves from—not least the claim that a vote to leave would hand the NHS an extra £350 million a week. It is quite shameful that politicians made claims they knew to be false and promises they knew could not be delivered Thirdly, real concern exists about immigration, but too much of the discussion during the referendum campaign was intemperate and divisive. In the days following the result, it appears that we have seen a rise in racist incidents, such as the attack on the Polish centre in Hammersmith, to which the Prime Minister quite rightly referred, and sadly many other such incidents all over this country. I hope that the Prime Minister and the Home Secretary will take all the action they can to halt the attacks and halt this disgraceful racist behaviour on the streets of this country As political leaders, we have a duty to calm our language and our tone, especially after the shocking events of 10 days ago. Our country is divided, and the country will thank neither the Government Benches in front of me nor the Opposition Benches behind for indulging in internal factional manoeuvring at this time. We have serious matters to discuss in this House and in the country—[Interruption.]
ParlaMint-GB_2016-06-27-commons.u166	Order. I want to accommodate as many as possible of those colleagues who wish to question the Prime Minister. Matters are just slowed up if people make a lot of noise. I have plenty of time; I do not know whether other people have.
ParlaMint-GB_2016-06-27-commons.u167	Thank you, Mr Speaker. It does appear that neither wing of the Tory Government has an exit plan, which is why we are insisting that the Labour party be fully engaged in the negotiations that lie ahead. We need the freedom to shape our economy for the future and protect social and employment rights, while building new policies on trade, migration, environmental protection and investment I fully understand that the Prime Minister is standing down in three months’ time, but we cannot be in a state of paralysis until then. He is meeting the European Council tomorrow, and I hope he will say that negotiations will begin, so that we know what is going on, rather than being delayed until October. We, as a House, have a duty to act in the national interest and ensure we get the best agreements for our constituents. Will the Prime Minister today confirm that, in the light of the economic turmoil, the Chancellor will announce at least a suspension—preferably, the termination—of his now even more counterproductive fiscal rule? What the economy needs now is a clear plan for investment, particularly in those communities that have been so damaged by this Government and that have sent such a very strong message to all of us last week. Will he specifically rule out tax rises or further cuts to public services, which were threatened pre-referendum I welcome the Prime Minister’s reassurances on the uncertainty felt by many EU nationals currently working in our economy, including the 52,000 who work so well to help our national health service provide the service we all need. It is welcome that the Prime Minister is consulting the leaders of the devolved Administrations, and I hope he will also be consulting the Mayor of London, a city for which the implications are huge. We must act in the public interest and support measures to reduce volatility. I welcome market protections, but what about protections for people’s jobs, wages and pensions? Can the Prime Minister make clear what plans are in place? The Chancellor spoke this morning to reassure the stock markets, though they clearly remain very uncertain. We understand that some measures cannot be discussed in the House, so will the Prime Minister give me an assurance that the Chancellor will provide private briefings to his opposite numbers on this matter Finally, on a personal note, may I say that although I have many fundamental disagreements with the policies of the Prime Minister and his Governments, as he announces the end of his premiership it is right to reflect that he led a Government that delivered equal marriage, against the majority of his own MPs, and he was right to do so. I want to thank him, too, for his response to the Bloody Sunday inquiry and how he reacted to the tragic murder of Jo Cox. We thank him for his service, although I am sure we will enjoy many more debates and disagreements while he continues as Prime Minister.
ParlaMint-GB_2016-06-27-commons.u168	Let me agree with the Leader of the Opposition that it was positive that turnout was so high. I also agree with him that we need to reach out to those people who have not benefited from economic growth and make sure that they feel that their economic security is important to us as well. But I do not agree with him that it is right to start to try to refight the campaign all over again. All I know for my part is that I put everything I could into the campaign that I believed in—head, heart and soul—and I left nothing out, and I think that was the right thing to do Let me answer the right hon. Gentleman’s questions. On money that different areas of the country get, until we leave the EU none of those arrangements change; so what has been set out in the Budget, and payments and the rest of it, all continue. But as the negotiation begins properly for leaving, the next Government will want to set out what arrangements they will put in place for farmers, for local authorities and for regions of our country On intolerance and fighting intolerance, I absolutely agree with the right hon. Gentleman that we must take all action we can to stamp this out. He asked about the Chancellor’s fiscal rule and future plans. What I would say is that we have not worked so hard to get the budget deficit from 11% down to below 3% just to see that go to waste, and we must continue to make sure that we have a sound and strong economic plan in our country. For the coming months that is my responsibility and the Chancellor’s responsibility, but in time it will be the responsibility of a new Government, and they will have to decide how to react if there are economic difficulties along the way The right hon. Gentleman asked whether there could be private briefings for members of the shadow Front-Bench team with the Chancellor of the Exchequer. As always in these arrangements, if shadow Cabinet members want those sorts of briefings, they can have them Finally, I thank the right hon. Gentleman for his kind remarks and the fact that he hopes we will be debating with each other for some weeks and possibly months to come
ParlaMint-GB_2016-06-27-commons.u169	When we acquire a new Government who have decided what they mean by leaving and draw up some detailed policy instructions for the committee of officials the Prime Minister has set up, a great deal of detailed legislation covering a whole variety of fields will be submitted to this Parliament. Does my right hon. Friend agree that we still have a parliamentary democracy and it would be the duty of each Member of Parliament to judge each measure in the light of what each man and woman regards as the national interest, and not to take broad guidance from a plebiscite which has produced a small majority on a broad question after a bad-tempered and ill-informed debate? [Interruption.] And does he agree that we will face months of uncertainty if we are not careful—[Interruption.]
ParlaMint-GB_2016-06-27-commons.u170	Order. It is not acceptable for people to make that level of noise. The right hon. and learned Gentleman will be heard and every Member of this House will be heard. Let us accord the right hon. and learned Gentleman the respect to which he is entitled.
ParlaMint-GB_2016-06-27-commons.u171	Thank you, Mr Speaker Does my right hon. Friend agree that, as there is a risk of uncertainty for a few months, causing very considerable difficulty, he should consider the possible first step of joining the European economic area, which was designed in the first place for countries like Norway and Iceland, where the great bulk of politicians wished to join the European Union but could not get past the ridiculous hurdle of a referendum in order to get there? That could at least be negotiated, with modifications and changes if anybody can decide what they want once we get to that point, and it would give some reassuring order and stability to our economy and might begin to attract a little investment and future prospects for our country.
ParlaMint-GB_2016-06-27-commons.u172	I thank my right hon. and learned Friend for his remarks. My view is simple: this House should not block the will of the British people to leave the European Union, but of course we have now got to look at all the detailed arrangements, and Parliament will clearly have a role in that in making sure that we find the best way forward. That will be principally the job for the next Government, but I do believe in parliamentary sovereignty and the sovereignty of this Parliament. A lot of detail will have to be discussed and debated, but decisions such as whether or not to join the EEA must be for a future Government.
ParlaMint-GB_2016-06-27-commons.u173	Scotland voted overwhelmingly to remain in the European Union. Sixty-two per cent. of voters cast their votes to remain in the EU, and every single local government area in the country voted to remain in the EU. In Scotland we voted to remain because it really matters that we are in the single European market, because we value the free movement of people, goods and services, and because our EU citizenship rights matter, as do our legal safeguards for workers, for women and for parents. In Scotland we voted to remain because we are a European nation, and it really matters to us that we live in an outward-looking country, not a diminished little Britain In Scotland we are now being told from Westminster that despite the majority against leave, we are going to have to do as we are told: we are going to be taken out of Europe against our will. Mr Speaker, let me tell this House and our friends across Europe: we have no intention whatsoever of seeing Scotland taken out of Europe. That would be totally democratically unacceptable. We are a European country and we will stay a European country, and if that means we have to have an independence referendum to protect Scotland’s place, then so be it. Thank goodness that we have a Scottish Government and a First Minister who are prepared to lead and seek to protect Scotland’s place, and it is very welcome that this approach is being supported by Opposition political parties across the Scottish Parliament Meanwhile, “Project Fear” has turned to “Project Farce”. Apparently those who propose that we should leave Europe have no plan. A senior leave MP said: “There is no plan. The leave campaign don’t have a post-Brexit plan.” The MP went on to say: “No. 10 should have had a plan.” Meanwhile, UK share prices are so volatile that some stocks have temporarily been suspended and sterling has hit a 31-year low On one thing I hope we are all agreed: that we take serious note of the very disturbing series of racist incidents directed against our fellow citizens who happen to come from other European countries. I hope that we all, on all sides, totally repudiate these despicable acts and encourage the police and prosecuting authorities to do all they can Given the economic damage and uncertainty that is currently being caused, may I ask the Prime Minister the following financial questions? We welcome the actions of the Governor of the Bank of England to help provide certainty in difficult times. Can the Prime Minister confirm that the Governor has no plans at present to change his forward guidance on interest rates? The SNP will continue to support any sensible measures to deliver stability and confidence in the UK economy at this time. However, we want to be explicitly clear that this will not be used to deepen further the programme of austerity In conclusion, the lack of leadership from Whitehall over the past few days has been unprecedented. We recognise that any further drift or vacuum simply exacerbates uncertainty. We know that the Prime Minister is planning to leave and we wish him well, but may we have an absolute assurance that his Government will finally start to take a firm grip of the situation in which we all, sadly, find ourselves?
ParlaMint-GB_2016-06-27-commons.u174	First, our focus should be to get the very best deal for the United Kingdom outside the European Union, and that should be the very best deal for Scotland as well I entirely agree with the right hon. Gentleman about the despicable acts of racism that have taken place. Let me reassure him as well that we will take every step that we can. He asked questions specifically about interest rates; that is a matter for the Governor of the Bank of England and the Monetary Policy Committee, and they set out their views in advance of the referendum. The right hon. Gentleman asked about budgets; that will be a matter for a future Government, but let me say this to him: Scotland benefits from being in two single markets—the United Kingdom and the European single market. In my view, the best outcome is to try to keep Scotland in both.
ParlaMint-GB_2016-06-27-commons.u175	May I pay tribute to the Prime Minister for the dignity with which he addressed the nation from 10 Downing Street on Friday? Will my right hon. Friend take a positive and simple message to the leaders of the other 27 member states of the European Council tomorrow—namely, that the voters of the United Kingdom have demonstrated the value of that great principle, the principle of democracy, for which people fought and died?
ParlaMint-GB_2016-06-27-commons.u176	Let me thank my hon. Friend for his comment. Of course, when I go to the European Council tomorrow, I will report directly on the result and the decision of the British people. No one should be in any doubt about that, but it is important that we set off on this path of exiting from the European Union by trying to build as much good will as possible on both sides.
ParlaMint-GB_2016-06-27-commons.u177	May I pay tribute to the Prime Minister, following the announcement of his resignation on Friday? We have not often agreed, but his commitment to the historic bipartisanship during the coalition Government and his energetic commitment to the remain campaign contrast favourably with the tribalism of others. He has my respect and my thanks I respect the outcome of the referendum, but I still feel passionately that Britain’s interests are best served at the heart of Europe, in the European Union. I can accept defeat, but I will not give up. I have not changed my beliefs. With the promises of the leave campaign unravelling and no leadership being shown by the Opposition, will the Prime Minister confirm that free movement of people and access to the single market are paramount to the economic stability of Britain, and will he launch an investigation as to the whereabouts of the hon. Member for Uxbridge and South Ruislip (Boris Johnson) and of the Lord Chancellor and Secretary of State for Justice?
ParlaMint-GB_2016-06-27-commons.u178	It is not up to me to ensure attendance in the Chamber—I have many responsibilities, but that is not one of them. Let me thank the hon. Gentleman for what he said about my leadership, and let me say how much I enjoyed appearing on a platform with him at the final rally, outside Birmingham University, which brought together him, me and Gordon Brown in a unique but obviously unpersuasive trilogy, although I have to say that he and Gordon Brown gave fantastic speeches The hon. Gentleman is right that the decision that we are going to have to take—and it will be for the next Government—about how we get the best possible access to the single market is going to be one of the single most important decisions that the Government will take on, because we must bear in mind the importance of safeguarding our economy, its trade links and its jobs. I think that will be a very serious consideration.
ParlaMint-GB_2016-06-27-commons.u179	Much of the distress expressed by those who voted remain on Thursday has been about the fact that they believe that their country has turned its back on their values. Does the Prime Minister agree that they can be reassured that the tolerance, openness and western liberal internationalism that we supported in the European Union will continue to be the hallmark of the United Kingdom as we seek a new role in the world?
ParlaMint-GB_2016-06-27-commons.u180	I very much hope my hon. Friend is right. Britain is at its strongest when we stand up for our values and work with others. Let me stress that, while we are leaving the European Union, we will still be full members of NATO, the UN Security Council, the Commonwealth, the G7 and the G20. Britain does best when we make our voice heard through these organisations, and we should continue to do so.
ParlaMint-GB_2016-06-27-commons.u181	I never thought I would see the day when I wished a Tory Prime Minister would win a vote, but last Thursday I did, and I think the country will pay a bitter price for the fact that he lost this one. Leaving aside the constitutional turmoil, the damage to the economy and the uncertainty that hangs over Britain’s place in the world, the leaders of the Brexit campaign have engendered an atmosphere where some people believe it is open season for racism and xenophobia. Will the Prime Minister say very clearly that, when it comes to the difficulties of getting a job or problems with the NHS, housing or schools, those things are the responsibility of his Government to sort out and not the fault of migrants from the EU or indeed anywhere else?
ParlaMint-GB_2016-06-27-commons.u182	May I first praise the right hon. and learned Lady for her decision to cross party lines and to appear with others on platforms to make the argument? She made it very persuasively, and I think it is right that she did. She is absolutely right that we must be very clear about our commitment to tolerance and diversity, and about our complete intolerance of racism and the hateful hate crimes that we have seen in recent days. I know that that is the view of hon. Members in this House, whatever side of the debate they were on, but that message needs to go out loud and clear.
ParlaMint-GB_2016-06-27-commons.u183	Does the Prime Minister recall that, when we held the vote in September last year on the European Union Referendum Bill, not a single Conservative, and only one Labour Member, voted against it, so is it not a bit late now for people to talk about blocking the implementation of the result just because they disagree with it? Finally—it is always good to end on a positive note—would the Prime Minister care to bring in the vote on the Trident successor submarines before he leaves office?
ParlaMint-GB_2016-06-27-commons.u184	It is very clear: when it comes to numbers, my right hon. Friend wants four submarines and one referendum—I have got the message very clearly. He makes a good point, which is that when the House voted on the referendum, it voted by a margin of six to one to hold that referendum. We will obviously be coming forward with our plan for all the other decisions that can be made during the remainder of this parliamentary Session, and I would hope that it would include the one he mentions.
ParlaMint-GB_2016-06-27-commons.u185	I would like to add my thanks to the Prime Minister for his service to the nation as the Prime Minister of a stable, successful coalition Government for five years. Throughout that time, there were many things that he and I disagreed on, but I always appreciated his civility, his good humour—on display here again today—and his ability, which is rare in politics, to see politics from other people’s points of view. All those qualities ensured the stability that was so necessary as the country was recovering from the economic shocks of 2008, and, for that, he should be warmly thanked I have heard a lot about democratic principle. Would the Prime Minister agree that it surely cannot be right, as a matter of democratic principle, that only members of the Conservative party, constituting 0.003% of the total electorate, should have a say in electing a new Prime Minister of a new Government with new priorities utterly different from those he got elected on last year? Does he agree that there should be an early general election?
ParlaMint-GB_2016-06-27-commons.u186	First of all, let me thank the right hon. Gentleman for his kind words. We did work together very successfully. I know that he paid a very large personal and political price for the support he gave to that Government. That helped to deliver economic stability and make real progress in our country, and I thank him for it On the leadership election that will now take place and the other points the right hon. Gentleman put, all parties have their rules for electing leaders that are arrived at democratically; we have ours, and they will be followed. In the coalition agreement, we agreed the Fixed-term Parliaments Act 2011, which many of my colleagues have misgivings about. I happen to think it is a good measure, so as a result I think the right thing is for a new Prime Minister to take office, and it will be for them to decide whether to fulfil the terms of the Act or something else.
ParlaMint-GB_2016-06-27-commons.u187	My right hon. Friend will know that a large number of people in my constituency work in the service industries, particularly financial services industries. This weekend they have seen jobs leave this country. They are worried about their future. They need not access to the single market but to be a participating part of the single market, and so does this country, as we currently have a £20 billion surplus. Will he ensure that that is given the highest priority, in the national interest, in our negotiations?
ParlaMint-GB_2016-06-27-commons.u188	My right hon. Friend makes an important point. Let me stress that nothing changes in the UK’s trading relations with Europe until we actually leave the European Union, so there is a period when service companies—financial services—maintain the passport. One of the most important tasks for the new Government will be to negotiate the best possible arrangements with the single market, and that will be debated endlessly in this House. There is obviously a very strong case for trying to remain in that single market in some form, but that will be a decision for the new Government and for Parliament.
ParlaMint-GB_2016-06-27-commons.u189	As the process of leaving the European Union unfolds, we will continue to face a large number of international challenges—the crisis in Syria, climate change, and the threat of terrorism among them—and yet we risk seeing our voice in the world diminished. Does the Prime Minister agree that in the negotiations every effort should be made to ensure that we continue to have practical co-operation with our European allies so that we can maintain the kind of influence in the world that is so important to our prosperity and our security?
ParlaMint-GB_2016-06-27-commons.u190	The right hon. Gentleman and I agree on this issue, and we spent some time on the campaign discussing it. It is important to use all these forums to maximise Britain’s influence. We will obviously have to find a way, under the new Government, to work out how to work with the European Union to get the maximum effect for the British stance on climate change, on Syria, on how we try to prevent refugees from leaving Libya, and all the rest of it. Those will all be issues for a future Government. I know from all that happened in the campaign that this is not about Britain withdrawing from the world or playing less of a role in the world, and we will have to work out the way forward.
ParlaMint-GB_2016-06-27-commons.u191	I would like to add my voice to the tributes to the Prime Minister from across this House. He is a true statesman who has made Oxfordshire proud, and we will miss him. Will he take this opportunity to reassure the science and innovation sector that the Government will fight to protect access not just to Horizon 2020 funding but to valuable research collaborations, and also to effective recruitment and retention of the brightest and best of EU researchers? They are essential to our knowledge economy and deserve to know that they will be a priority in ongoing negotiations.
ParlaMint-GB_2016-06-27-commons.u192	I thank my hon. Friend for her kind remarks. It has been a great pleasure and privilege being her constituency neighbour and working together. How we maintain the advances in British science and competitiveness in our universities will be one of the issues that the EU unit will want to look at. Clearly we have done very well out of this bit of the European Union, and so it will be for the new Government to look at the evidence on that and how we can continue to move forward.
ParlaMint-GB_2016-06-27-commons.u193	I commend the Prime Minister for the way in which he handled Friday and for the very diplomatic and kind speech he has made today. I ask him to continue to show that leadership over the next month or two, to ensure that some of the hysteria about what is going to happen to our country is kept under control. Will he also condemn very clearly those people who are almost implying that decent people all over this country who voted to leave the European Union are somehow closet racists?
ParlaMint-GB_2016-06-27-commons.u194	I have been on the opposite side to the hon. Lady in this debate, but I know that it takes a lot of courage to stand out in the way that she has done. One of my first jobs in politics was as the Conservative candidate’s researcher in the Vauxhall by-election. If I had known then that the hon. Lady would be part of my nemesis, maybe I would have worked even harder. She is right: there are many people on both sides of this debate who have very strong views about tolerance, diversity and all the rest of it, and we need to make sure that that shines through in the coming days.
ParlaMint-GB_2016-06-27-commons.u195	As the Prime Minister knows, I have not always agreed with him on issues, but, as he equally knows, I have always been very supportive of him personally and did not want him to make the announcement that he made last week. In saying that the country needs to come together—he is right to do so—does he accept that the first part of that is that everybody has to accept the result of the referendum, whether they like it or not, and that talk of a second referendum is for the birds? When he goes to see his European counterparts, will he pass on the message that the British people have said that we are very happy to continue with our £68 billion trade deficit with the European Union by trading with it, but in return for that we are not prepared to accept free movement of people or contributing to the EU budget?
ParlaMint-GB_2016-06-27-commons.u196	My hon. Friend is absolutely right to say that we must accept the result—the Cabinet has and I think that everybody should—but what has to happen now is translating that result into action and choosing the correct pathway to leave the European Union and the correct relationship to have with it. That is going to take a lot of complex decision making by the new Government, and my hon. Friend obviously has a very clear view about what that should involve. It will involve a lot of separate and different decisions, but he is absolutely right to say that the decision must be accepted.
ParlaMint-GB_2016-06-27-commons.u197	Many of my constituents are European citizens and they are fearful for their future. The Prime Minister has talked about a group of officials set up to determine what Brexit will mean. Can he give any comfort to these people? If not now, will he give a timetable for when they will know how they can apply to remain in the UK?
ParlaMint-GB_2016-06-27-commons.u198	I think that many people will be watching this with exactly the same question that the hon. Lady has asked. The technically correct answer is that while we are members of the European Union there is no change in the rights or the circumstances of people coming to live and work in Britain, or in those of Britons going to live and work in other European Union countries. I would add to that that the leave campaigners were fairly clear that they wanted to protect the rights of people who are already here who have come to live, work and study, but obviously the final clarification of that and of the rights of British people living in other parts of the European Union will have to wait for the complex negotiations.
ParlaMint-GB_2016-06-27-commons.u199	May I thank the Prime Minister for giving the British people the opportunity to vote on this issue for the first time in decades, and may I thank those who voted to leave for giving me a remarkable birthday present on Friday? I also welcome the establishment of the new unit under the Chancellor of the Duchy of Lancaster. Does the Prime Minister intend to publish a White Paper on the next steps?
ParlaMint-GB_2016-06-27-commons.u200	No, I do not think that will be possible. The new unit has to get up and running and go through all of the complex issues that need to be sorted out, whether they be agriculture payments, borders, the situation in Northern Ireland or which British laws need to be rewritten because they mention a lot of EU law and all the rest of it. What I envisage happening is a series of papers being worked through, being discussed by the Cabinet and being prepared for the new Government as they come in.
ParlaMint-GB_2016-06-27-commons.u201	Given the enormity of this decision and the repercussions of the negotiation process, the arrangements that the Prime Minister has described sound extremely weak. He is effectively saying that Members of Parliament should just go and have an informal chat with the right hon. Member for West Dorset (Mr Letwin). The Prime Minister is leaving a dangerous political vacuum. I urge him to consider much broader arrangements to build a wider consensus, including setting up a cross-party Joint Committee of both Houses of Parliament to look at wider arrangements to involve voices from all across the country in what the negotiations about our future Britain, alongside the EU, should be. Britain feels very divided now and all of us have a responsibility to build a new consensus for the future.
ParlaMint-GB_2016-06-27-commons.u202	I do not disagree with a lot of what the right hon. Lady is saying. Obviously, Parliament and Select Committees will want to consider how they can best produce evidence and take research and interviews to add to this process. I see the role of the Government as this. It is clear that we are moving from one situation—membership of the EU—to leaving the EU. We need to describe in a dispassionate, neutral and objective way what all the different outcomes look like and what are the advantages and disadvantages of all the different outcomes—the trade deal like Canada, the situation like Norway, and the pros and cons of being in the single market or out of the single market—so that our constituents can see the disadvantages and advantages in each case. That is what the Government should do, but Parliament—the House of Commons—can also play its part.
ParlaMint-GB_2016-06-27-commons.u203	May I also pay tribute to my right hon. Friend for giving the British people the chance to take this historic decision? I share his view that Britain will continue to be engaged with the rest of the world—I hope in a more positive fashion. May I also express the view that I am very disappointed that my right hon. Friend has decided to stand down? I wonder whether, at this difficult time, he might like to reconsider that decision. I say so because he is a star at the Dispatch Box and, furthermore, as he has demonstrated today, he will rather miss it if he is not here to do it.
ParlaMint-GB_2016-06-27-commons.u204	I am sure there are many things that I will miss, and statements that go on for at least three hours are perhaps one of them. What on earth will I do to fill my time The reason for my decision to resign is that the country has made a very clear decision to go in a particular direction, and I really do believe it needs someone—fresh leadership, and a fresh pair of eyes—committed to that path and to getting it right for Britain. I think that does require change. That is why I made the decision I did, and I am certainly not changing my mind.
ParlaMint-GB_2016-06-27-commons.u205	Talking of which, at 9 o’clock this morning, the hon. Member for Uxbridge and South Ruislip (Boris Johnson) welcomed the stabilisation of the pound. At lunchtime, sterling fell to a 31-year low against the dollar. If you break it, you own it, so who owns this particular adjustment? Is it the Prime Minister, who called the referendum, or the hon. Member for Uxbridge and South Ruislip, who exploited it?
ParlaMint-GB_2016-06-27-commons.u206	I will be very frank. The Government were elected on a manifesto promise to hold a referendum. We have held that referendum, the country has made its decision and this Government are responsible now for setting out the steps that we need to take and for doing all that is necessary to stabilise the economy. We took a choice to ask the people this very big question, because I believe in our parliamentary democracy but when it comes to the very big decisions I think it is right to consult the people. But this Government take responsibility.
ParlaMint-GB_2016-06-27-commons.u207	In respecting with dignity the wishes of the electorate, does the Prime Minister accept that he has an absolutely pivotal role to play in encouraging all sides to come together and talk the country up? Calm optimism is now required. We are a great country, and we have a very bright future ahead of us.
ParlaMint-GB_2016-06-27-commons.u208	I certainly believe that we all have a responsibility to bring the country together and to make this new pathway work as well as it does, but we have to do it from a position of realism. We do not know exactly what some of the economic and other effects will be, so we are going to have to take great caution and care in the coming days and the coming weeks to respond to that, as well as coming together to get the best pathway for our country to leave this organisation.
ParlaMint-GB_2016-06-27-commons.u209	On Friday, the Leader of the Opposition suggested we should rush to invoke article 50 renegotiations now. I disagree. I believe that it would be in good, sound order for our economy, to secure a stable transition, to make sure that article 50 is not triggered until at least the new year.
ParlaMint-GB_2016-06-27-commons.u210	The triggering of article 50 is a matter for the British Government, and it is important we establish that. What matters is that we do as much work as possible to determine the best possible model that we want to try to negotiate for, which must be a matter for the new Prime Minister, and then he or she will make the decision to trigger article 50.
ParlaMint-GB_2016-06-27-commons.u211	Boston in my constituency voted more than any other place in the country to leave the European Union, and it has seen the highest level of immigration from eastern Europe to this country. I am keenly aware that those migrants are my constituents too, but does the Prime Minister agree that we owe it to the will of the people who live in my constituency to deliver on the promises to reform immigration and increase spending on the NHS if we are to retain their faith in this place?
ParlaMint-GB_2016-06-27-commons.u212	We must continue to enact our manifesto promises, one of which was to set up an immigration impact fund. We need to set up and establish that on, I hope, an all-party basis. We should continue to deliver for the NHS, as we promised in our manifesto and as we have done. Clearly, one of the key issues in this negotiation is how to balance the difficult decisions about access to the single market and better control of immigration, and I think that goes to the heart of what the country needs to do.
ParlaMint-GB_2016-06-27-commons.u213	The Prime Minister and I were on different sides of this argument, but when he spoke on Friday, he did so with his dignity, his principles and his honour intact. I am very grateful to the Prime Minister for indicating that discussions will commence this week on the common travel area. May I, however, ask him to dismiss the notion that there could be a border poll in Northern Ireland, to dismiss the notion that the devolved institutions can wield a veto in this process and to resolve that only with the collective will to do what is in our national interest will we maintain this United Kingdom?
ParlaMint-GB_2016-06-27-commons.u214	I thank the hon. Gentleman for his kind remarks. He is right to say that it is important to get it right on the common travel area issues, which are complex and difficult, if Northern Ireland is going to be the frontier between the United Kingdom outside the European Union and the European Union. On the border poll issue, the rules are set out very clearly in the Good Friday agreement, and I do not believe they have been triggered. In terms of the decision to leave the EU and how we do it, that is principally a matter for this Westminster—the United Kingdom—Parliament.
ParlaMint-GB_2016-06-27-commons.u215	The Prime Minister has shown the decency and courage that one of my predecessors, Harold Macmillan, would have respected. I think Harold Macmillan would have wept on the day this has happened and on the day the Prime Minister departs. Will the Prime Minister concede that it is very clear legally that article 50 is the only proper means of exiting the European Union and that any attempt to circumvent it would be wrong and would involve this country in a breach of its international obligations, which no decent leader of this country should ever contemplate?
ParlaMint-GB_2016-06-27-commons.u216	Let me thank my hon. Friend for his remarks. He is right that the only legal way that has been set out to leave the EU is by triggering article 50. That is clearly what our partners want us to do, although not all of them believe that we have to do it immediately, which is why I believe we have some time to examine the right model we want to negotiate for and then to pull that trigger. As I understand it, that is the only legal way to get the job done.
ParlaMint-GB_2016-06-27-commons.u217	During the campaign, we heard quite a lot of criticism about politicians, elites and experts, so may I ask the Prime Minister about a promise made by the leave side just this morning? The hon. Member for Uxbridge and South Ruislip (Boris Johnson) has said that he wants to maintain full access to the single market. Can the Prime Minister name a country that has full access to the single market that does not also have to accept the free movement of people?
ParlaMint-GB_2016-06-27-commons.u218	The technical answer to the right hon. Gentleman’s question is that there are no countries today that have full access to the single market without contributing to the budget or accepting the free movement of people. Where we should try to seek some cross-party agreement is that I think it is in all our interests, whatever the eventual decision, to make sure we are as close as possible economically to our friends and partners in the European Union. That is obviously going to have to be negotiated, but my view is—the closer, the better.
ParlaMint-GB_2016-06-27-commons.u219	As somebody of Polish origin, I am very proud of the contribution Poles have made to this country not just during the battle of Britain, in which the Polish 303 Squadron was one of the largest, but in recent years. As chairman of the all-party group on Poland, I have invited the chairman of the Polish Social and Cultural Association to the House of Commons to show solidarity with the Poles following that appalling attack, and I very much hope that the Prime Minister might be able to join us for that meeting.
ParlaMint-GB_2016-06-27-commons.u220	I commend my hon. Friend for his work with the Polish community here in the United Kingdom and for furthering relations between Britain and Poland. I spoke to the Polish Prime Minister this afternoon to say how concerned I was about the terrible attacks that have taken place and reassure her that we were doing everything we could to protect Polish citizens in our country. Poland is a country that is very sad to see Britain leave the European Union because we are like-minded on so many issues, including open markets and enterprise, and the Atlanticist nature of the EU. We must make sure that we work for the strongest bilateral relationship between Britain and Poland in the years ahead.
ParlaMint-GB_2016-06-27-commons.u221	May I commend the Prime Minister for the way that he has accepted the verdict of a United Kingdom-wide referendum? The rest of the House should accept that verdict in the way he has. As for implementing it, will he tell the House whether he intends to replace our commissioner, and to set up a special unit at UKRep?
ParlaMint-GB_2016-06-27-commons.u222	First, I congratulate the right hon. Lady on the role she played in the campaign as a very key spokesman for that side of the argument. I pay tribute to Lord Hill, who worked incredibly hard in the European Commission; I am very sad to see him go. We should try to seek a replacement, because the fact is that we are a full, contributing and paying member of this organisation until we leave, and we should therefore have a commissioner, although I am sure that will be a challenge. UKRep in Brussels is ably led by Sir Ivan Rogers, who I hope will remain in place and continue to give the excellent advice that he has given to Ministers to date.
ParlaMint-GB_2016-06-27-commons.u223	Although the hon. Member for Vauxhall (Kate Hoey) is right, I make no apology for bringing my right hon. Friend back to the topic of the racism we have seen since Thursday. A tweet has been sent to a young black woman in London that says: “Go home! #wevotedleave. Time to make Britain great again by getting rid of u blacks, Asians and immigrants” When such a tweet can be sent, it would appear that a genie has been let out of the bottle—unintended, I am certain, by both sides of the referendum campaign. May I ask my right hon. Friend first that the police and prosecuting authorities have the resources to bring cases against perpetrators of this vile racism and secondly that he use his good offices with the leaderships of both of the referendum campaigns to call out this abuse for what it is and bring a stop to it now?
ParlaMint-GB_2016-06-27-commons.u224	My hon. Friend is absolutely right. This is hideous language that we thought we had banished from our country and it is very important that everyone comes out and condemns it as strongly as possible. On his specific questions, the police have resources because we protected their budgets, and there are the necessary laws to prosecute hate crimes. As for the two campaigns, as far as I am concerned, they no longer exist; there is now one Government with one view, which is that we have to find the right path for the future. The sooner we can do that, the better.
