ParlaMint-GB_2016-03-23-commons.u1	1. If he will estimate the contribution of golf to the economy in Scotland in the last 12 months.
ParlaMint-GB_2016-03-23-commons.u147	Does the Home Secretary agree that groups such as Daesh no longer distinguish between the near enemy and the far enemy, and that the twisted ideology that she referred to considers European values such as religious freedom, human rights and democracy as an offence against God?
ParlaMint-GB_2016-03-23-commons.u148	The right hon. Gentleman is right to say that Daesh is indiscriminate in whom it chooses to attack. Its terrorist attacks have taken place not only in Europe and Turkey and the countries I referred to, but nearer to its base in Syria and Iraq, where many Muslims have died as a result. It is indiscriminate in the people it attacks, and it is attacking our fundamental values which, as he says, include those of democracy, freedom of religion, and law and order, and which underpin our society. That is why it is so important for our society to say once again that we will not let the terrorists defeat us, and I welcome all the comments made around the Chamber that go out from this House today.
ParlaMint-GB_2016-03-23-commons.u149	On a recent visit to Europol, the Home Affairs Committee viewed one of the horrific videos on the internet created by Daesh, and the propaganda that it uses to recruit people to its hideous cause. Does my right hon. Friend agree that the security services and police need modern, digital powers, including bulk powers, to destroy those criminals and keep us safe?
ParlaMint-GB_2016-03-23-commons.u150	My hon. Friend is absolutely right, and those powers are necessary for our police and security services. That is why we will be putting the Investigatory Powers Bill through the House, because it includes powers to ensure that those whose job it is to keep us safe have what they need to do that job.
ParlaMint-GB_2016-03-23-commons.u151	The first duty of a Government or any political leader is to protect their citizens. The global list of atrocities that the Home Secretary cited shows that this is a worldwide jihadist ideology, the fight against which we cannot opt out of in the hope that if we leave them alone, they will leave us alone. I implore her to make this battle not just one of critical public safety, but also about the values that my right hon. Friend the Member for Knowsley (Mr Howarth) spoke about, such as democracy, human rights, equality between men and women, and the freedoms that we enjoy in this country and in others.
ParlaMint-GB_2016-03-23-commons.u152	I absolutely agree with the right hon. Gentleman. This is not something that we can walk away from, and we cannot say that if we do nothing we will be safe and secure. We must fight this ideology and these terrorists, and ensure that the values that underpin our society, which the terrorists are attacking and trying to destroy, are maintained. That is one reason why the Government have looked not just at counter-terrorism, but also at our counter-extremism strategy. We want to work with communities across the United Kingdom to promote the values that underpin what makes this country such a great place to live in—values that are shared across the United Kingdom and across all communities.
ParlaMint-GB_2016-03-23-commons.u153	The Home Secretary referred to the fact that Daesh has a dedicated external operational structure in Syria that is planning mass casualty attacks around the world. It is self-evident that it is much easier for Daesh to progress those attacks against us if it controls an area of territory from which to project that force. Now that there is a cessation of hostilities in Syria, does the Home Secretary agree that it is our priority to assist those Syrian forces that have ceased hostilities to recover the territory now controlled by ISIL-Daesh in Syria?
ParlaMint-GB_2016-03-23-commons.u154	My hon. Friend is right to say that the fight against this brutal terrorist group is not just about what we are able to do for our security or with our partners, but also about what happens in Iraq and Syria, and the action being taken against Daesh there. It is important that a solution is brought to the conflict in Syria, which is why the Government are considering not just protection and security in the UK and intelligence sharing, but also the action that it is necessary to take in Iraq and Syria, and the diplomatic efforts to bring about that political solution and stability.
ParlaMint-GB_2016-03-23-commons.u155	On behalf of my right hon. and hon. Friends I wish to stand with the Home Secretary, and the people of Northern Ireland will wish to stand with the people of Belgium at this time, given that we endured three decades of this type of terror. The Home Secretary referred to Adrian Ismay who was murdered last week, and she will know about the necessity of cross-border co-operation on the only land border between the United Kingdom and the Irish Republic. What levels of increased co-operation will there be to prevent any further ingress by international terrorists who may use the Irish Republic as a base from which to launch attacks on the United Kingdom?
ParlaMint-GB_2016-03-23-commons.u156	We are working closely with the Irish Government to look at areas where it is possible for us to work more closely to enhance our collective security across Ireland and the United Kingdom. We are able to use security measures relating to cross-border arrangements between the Republic of Ireland, Northern Ireland and other parts of the United Kingdom to help with that security, but we talk to the Irish Government about how we can enhance our co-operation to ensure we keep both the Republic of Ireland and the United Kingdom as safe and secure as we can.
ParlaMint-GB_2016-03-23-commons.u157	My right hon. Friend will be aware that Holyhead is the second-busiest ferry port in the country and, as such, is a significant point of entry from within the common travel area. Is she entirely satisfied that security arrangements at Holyhead—in particular, checks on vehicles and foot passengers— are adequate to address the terrorist threat as she perceives it?
ParlaMint-GB_2016-03-23-commons.u158	The extent to which Border Force operates checks at various ports is constantly kept under review in relation to threat and perceived risk. My right hon. Friend refers to the common travel area. That is precisely one of the issues we have been working on with the Irish Government to see how we can enhance our collective external border security to ensure that internal border security within the common travel area is improved.
ParlaMint-GB_2016-03-23-commons.u159	Our unique intelligence capability helped to first identify that it was terrorists who brought down the Russian plane in Egypt, at a time when that was being denied by the Russians themselves. Will the right hon. Lady assure the House that there are no unnecessary obstacles to our sharing such vital information in a timely fashion with our European partners and allies to help them fight this scourge?
ParlaMint-GB_2016-03-23-commons.u160	I can assure the right hon. Gentleman that we are not only sharing information and intelligence with our European partners but encouraging European member states and others to share intelligence so we can build that collective picture. The terrorists know no boundaries and no borders. We need to work together to ensure we can deal with them.
ParlaMint-GB_2016-03-23-commons.u161	In issuing travel advice to the public, which they rely on to make an informed choice, will the Home Secretary ensure that we have safety first, but that we do not allow terrorists to close down our way of life and are mindful of the impact of that advice on partner nations? I am thinking in particular of north Africa in recent times and of the impact that advice has had on Tunisia, specifically.
ParlaMint-GB_2016-03-23-commons.u162	My hon. Friend is right to point that out. The attack in Tunisia saw the murder of so many British holidaymakers. Action on travel advice was then taken, working with the Tunisian Government. If people do not travel, that will of course have an impact on a country’s economy. I assure him that, in looking at travel advice and in issuing guidance on travel, the Foreign and Commonwealth Office considers a range of issues, but of course what must come first is our desire to ensure the security and safety of British citizens.
ParlaMint-GB_2016-03-23-commons.u163	I echo the Home Secretary’s condolences. Belgium and Brussels have suffered a severe blow and we stand in solidarity with them. I would also like to echo what she said about the Muslim communities here. The Ahmadiyya Muslim Community and the British Muslim Council of Britain, for instance, have been very quick and forthright in condemning the attacks. After Paris, the Metropolitan police said they would be recruiting an extra 600 armed police officers. Is the Home Secretary able to give us a progress report on that, and does the programme now need to be accelerated?
ParlaMint-GB_2016-03-23-commons.u164	I think there is absolute unanimity around this House in our condemnation of these terrible attacks. There are two elements to the upgrade of the Metropolitan police’s armed response. I think that the 600 figure to which the right hon. Gentleman refers is not the recruitment of new firearms officers but the training of existing officers in certain parts of the Metropolitan police. As I understand it, that training is under way. The uplift in armed response vehicles across the country, which I referred to earlier, is also under way.
ParlaMint-GB_2016-03-23-commons.u165	The events yesterday underlined the fact that this is an international threat that requires an international response. We are making every effort to strengthen our domestic capability in the Investigatory Powers Bill. Will the Home Secretary assure the House that, in talking to international partners, she will ensure that the Bill can be practically and swiftly enforced elsewhere?
ParlaMint-GB_2016-03-23-commons.u166	I am very happy to give my hon. Friend that reassurance. One key issue in the Bill is the ability to issue lawful warrants against communication and internet service providers who are located elsewhere, in particular the United States of America. We continue in the Bill to assert the territorial jurisdiction that we and previous Governments have always asserted in relation to those powers, and we are discussing with the US Government the possibility of an agreement that will ensure a very solid basis on which such exchange of information can take place.
ParlaMint-GB_2016-03-23-commons.u167	Is the Home Secretary satisfied with security at international airports with flights to the UK?
ParlaMint-GB_2016-03-23-commons.u168	We have a programme, working with the Department for Transport, to look at airports across the world and assess what security arrangements are necessary. There are occasions when we ask airports to increase their security arrangements. That is a regular programme. Obviously, when a particular incident takes place, such as the attack in Tunisia, we provide a very particular focus on the security available there, not just in tourist resorts but in airports as well.
ParlaMint-GB_2016-03-23-commons.u169	I welcome my right hon. Friend’s statement and the cross-party condemnation of the terrible acts that have taken place in Belgium. Sadly, these determined terrorists have very sophisticated digital communication capability. What support is my right hon. Friend receiving from internet service providers and other related businesses to help to support the battle against these extremists?
ParlaMint-GB_2016-03-23-commons.u170	Our interaction with internet service providers is of various types. Obviously, there is the question of access to intercept on the issue of a lawful warrant. As I referred to in my answer to my hon. and learned Friend the Member for South East Cambridgeshire (Lucy Frazer), we are looking at an agreement with the United States of America in particular on that. Internet service providers have also been involved in our work to look at how we can ensure the vile propaganda put out by Daesh and other terrorist groups can be taken down from the internet, and how companies can use their own terms and conditions to ensure that that propaganda is not there to infiltrate the minds of those who could be radicalised.
ParlaMint-GB_2016-03-23-commons.u171	I add my party’s deepest sympathy with Brussels and all the people who suffered there yesterday. Can the Home Secretary reassure soccer fans travelling from Wales and other UK nations to this summer’s UEFA European Championship that every step will be taken to ensure their safety at football stadiums?
ParlaMint-GB_2016-03-23-commons.u172	There is a very well used method of co-operation with other countries when they are hosting major events, such as European football. The police have already been discussing with their counterparts what arrangements are in place. We will of course continue to monitor those arrangements. We want people to be able to go and enjoy the football, have a good time and have confidence in their security.
ParlaMint-GB_2016-03-23-commons.u173	My right hon. Friend has rightly identified the importance of digital and signals intelligence. She will be aware of the recent conflict, if that is the word, between Apple and the FBI over the San Bernardino terrorist attack. What steps is she taking to talk with companies such as Apple, Samsung and Blackberry to try to make them co-operate for the safety of all our people in the United Kingdom and elsewhere?
ParlaMint-GB_2016-03-23-commons.u174	We have regular meetings, both at official and ministerial level, with a variety of internet and communication service providers to discuss their interaction with the Investigatory Powers Bill and the powers our law enforcement and security agency services in accessing this information. My hon. Friend is absolutely right that this is important. As more and more people are communicating across the internet, we need to ensure that powers in this area are available to our agencies and the police. That is exactly what we are doing in the Investigatory Powers Bill.
ParlaMint-GB_2016-03-23-commons.u175	I thank the Home Secretary for her statement. It became clear following the Paris attacks that there were deficiencies in intelligence and policing linked to what was happening in Belgium. Is she happy that we have learned the lessons of those failures and that they have been carried forward to the intelligence services in this country?
ParlaMint-GB_2016-03-23-commons.u176	The intelligence services in this country obviously look at any attack that takes place elsewhere in the world and at the information available to see what lessons we need to learn. The key has been the increase in co-operation and intelligence sharing off the back of these attacks. It is important we learn lessons when things happen. Of course, because of the attacks we have sadly suffered in the past, the UK has developed, particularly post 7/7, ways of dealing with these issues, and we are working and sharing our experience with others.
ParlaMint-GB_2016-03-23-commons.u177	I welcome the Home Secretary’s statement and all that she has said. Does she agree with the comments from the Archbishop of Canterbury in Davos that Europe needs to regain the capacity to use theological language to counter terrorism? She is absolutely right that we have to take down the poisoned propaganda online. What steps are being taken to work with faith communities to put up a counter-narrative online?
ParlaMint-GB_2016-03-23-commons.u178	I was not aware of the Archbishop of Canterbury’s comments, but I think he is right. It is important that theological arguments are used to counter this narrative, which is a perverted theology and ideology, and that is exactly what is happening. The Home Office works with people in communities, and, as I am sure my hon. Friend is aware, there are many imams who put on the internet and elsewhere a counter-theology to ensure that this perversion of Islam does not win through.
ParlaMint-GB_2016-03-23-commons.u179	I thank the Home Secretary for her statement. She will know that the key to defeating this evil is to understand, disrupt and defeat its terror networks, and a key element of that is its funding. Can she assure the House that she is working closely with colleagues in the Treasury and across Government to target the funds that finance this murderous activity?
ParlaMint-GB_2016-03-23-commons.u180	Yes, we are doing that. We are looking to see what more we can do to enhance our ability to deal with terrorists’ funding. The UN came together last year, when Finance Ministers from 70 countries met for the first time, to look at the financing of serious crime and terrorism and to see what more action could be taken globally.
ParlaMint-GB_2016-03-23-commons.u181	Within moments of these atrocities, constituents of mine at GCHQ will have deployed resources to assist their Belgian counterparts. GCHQ is a vital and unique capability. Can the House be assured that it will continue to have the resources it needs to meet what is, regrettably, a growing workload?
ParlaMint-GB_2016-03-23-commons.u182	My hon. Friend is absolutely right. The people at GCHQ will have responded in support of the authorities in Belgium. Day in, day out, they work to keep us safe and are a vital part of the security and intelligence agency and law enforcement response in the UK. GCHQ is world leading and respected around the world, and long may it continue.
ParlaMint-GB_2016-03-23-commons.u183	Our thoughts are with the victims of the terrorist attacks and their families. The Home Secretary will be aware that the number of racist and Islamophobic incidents goes up following terrorist attacks, as far right and other extremist groups seek to exploit that space, and that takes up huge amounts of policing resources. Will she assure the House that the police will have the support they need to ensure proper security, support and reassurance in communities such as mine?
ParlaMint-GB_2016-03-23-commons.u184	Yes, we have supported the police in that way, but we are doing more. We have committed to identifying and recording those hate crimes that have a religious element to give us a much better picture of what is happening. The hon. Lady is right that the number of anti-Muslim incidents often increases after a terrorist attack. The police at a local level will be doing everything to deal with them.
ParlaMint-GB_2016-03-23-commons.u185	We are all shocked and saddened by the attacks in Brussels, but understandably members of the Jewish community in my constituency are particularly concerned about the risks facing them. Will the Home Secretary update the House on her assessment of those risks and the steps the Government are taking to deal with them?
ParlaMint-GB_2016-03-23-commons.u186	I understand my hon. Friend’s comments. The Jewish community in the UK has seen an increase in the number of anti-Semitic incidents over the last couple of years. That is a great cause of concern for us, and the Government are working in several ways to ensure a proper response to those incidents and to send out the message collectively—it is important that the House sends it, as the Prime Minister has done in the last few days—that we condemn anti-Semitic incidents. The Jewish members of our community are as much a part of our British community as are the Muslim, Hindu, Sikh and Christian members and those members who are of no faith. We are one community and must do everything we can to stop these terrible anti-Semitic incidents.
ParlaMint-GB_2016-03-23-commons.u187	Further to an earlier question, does the Home Secretary accept that the best people to make the point that Daesh is perverting the true faith of Islam are not herself, the Prime Minister or any non-Muslims, but any and all Muslim groups here and abroad who reject violent jihadism? Is she prepared to make the sometimes difficult calls to empower and back groups here and potentially regimes abroad who do that, even if they might not accord with all the liberal, secular and democratic values we rightly hold dear in this place?
ParlaMint-GB_2016-03-23-commons.u188	The Government work with those who wish to send that message to counter the narrative of the perverted Islam that comes from the ideology that underpins this terrorism. We do that through a variety of community groups in the UK. As I indicated in response to my hon. Friend the Member for Gillingham and Rainham (Rehman Chishti), many imams in the UK and around the world—I have met some of them—are actively working to spread a different theological message. That is important work.
ParlaMint-GB_2016-03-23-commons.u189	My right hon. Friend will be aware that sadly many British citizens have joined ISIL in Syria and that many have returned. They represent a terrorist risk and might poison other people’s minds. What assurance can she give the House that they will be apprehended to ensure they do not represent a threat to our security?
ParlaMint-GB_2016-03-23-commons.u190	We gave extra powers to the police and the authorities in the Counter-Terrorism and Security Act 2015. Over and above that, when somebody returns, we make sure they are looked at case by case. For some people, certain interventions will be necessary and will be put in place, but that will be determined case by case.
ParlaMint-GB_2016-03-23-commons.u191	Regrettably, I stand again to condemn barbaric attacks, this time in Brussels and Turkey, and to say that these people are not of my faith and should not be considered by anybody to be linked to my faith I congratulate the Home Secretary on the budget for the intelligence and security services, but will she also look seriously at the issues with Border Force—in particular, people with e-passports who are validated but not checked properly to see where they have been? Will she reconsider the funding for local policing, particularly for community support officers and local police officers? They contribute hugely to tackling radicalisation and dealing with the intelligence they come across. Finally, will she look at the issues of hate crime affecting all communities and ensure that local authorities and police can deal with them?
ParlaMint-GB_2016-03-23-commons.u192	On hate crime, the hon. Gentleman is absolutely right. It is an issue we have taken up with the police. By looking at how we record hate crime, we hope to build a better picture of exactly what is happening. I commend him for the resolute stand he has consistently taken. This is sadly not the first time he has stood up in the Chamber, following an attack, to say they do not take place in his name. That message is echoed throughout Muslim communities in the UK. On e-passports, obviously e-gates have security capabilities, and we look at the number of Border Force staff available to support those going through them, but, in themselves, the e-gates are part of our security resilience at the border.
ParlaMint-GB_2016-03-23-commons.u193	I pass on my sympathy for, and solidarity with, all those in Belgium who have suffered from what happened. The Government have published their “Stay Safe” principles to help the public and guide them in the event of attacks in this country, particularly those in mass transit. Can more be done by the rail operators and airline companies to ensure that the message is prominently displayed? Although the message is bleak, we would all be the better for reading it.
ParlaMint-GB_2016-03-23-commons.u194	My hon. Friend has made an interesting suggestion, which I will take up with the Secretary of State for Transport. We will look at the issue.
ParlaMint-GB_2016-03-23-commons.u195	It is believed that Abdelhamid Abaaoud, who was responsible for the Paris attacks, comes from the Molenbeek district of Brussels. I understand that he was able to visit Birmingham last October. Can the Home Secretary confirm that he did visit the UK? Does she know who accompanied him? Can she rule out that it was anyone associated with the present atrocity?
ParlaMint-GB_2016-03-23-commons.u196	The hon. Gentleman asks me to refer to people who were involved in the current atrocity that has taken place in Brussels. This is obviously an ongoing investigation, and we are working very closely with the Belgian authorities to ascertain as much information as possible about the individuals involved.
ParlaMint-GB_2016-03-23-commons.u197	Local media in west Yorkshire this lunchtime are reporting that the family of one of my constituents believe that he is the Daesh terrorist pictured online and responsible for a recent suicide bombing in Iraq, which is claimed to have killed and injured over a dozen people. It is clear that local families have deep concerns about the radicalisation of family members. How can we support those families and tackle terrorism together?
ParlaMint-GB_2016-03-23-commons.u198	My hon. Friend has raised a very important point. It is precisely the need to ensure that people do not move down the path of radicalisation that underpins the Prevent strategy and the use of the Channel programme. Through them, at local level, we want to support those who have concerns about what might be happening within their family or community. We want to ensure that where somebody is at risk of radicalisation, action can be taken to ensure that the individual does not follow that path. I believe it is important that we have put the Prevent duty on a statutory basis, which strengthens our ability to act within communities. I ask anyone who has any concerns about a member of their family or any other individual to contact the authorities at local level so that appropriate support and help can be given.
ParlaMint-GB_2016-03-23-commons.u199	I would like to associate my party with the Home Secretary’s comments about the terrorist attacks in Belgium and also those about the murder of Adrian Ismay, a prison officer, in Belfast. Does the Home Secretary believe that the European convention on human rights provides any protection, or any additional protection that is not required, to those living under our jurisdiction who may be intent on carrying out terrorist activity?
ParlaMint-GB_2016-03-23-commons.u200	The hon. Gentleman may know that I have had my own interactions with the European convention on human rights, when the European Court of Human Rights has been used to try to prevent me from deporting people from the United Kingdom. In certain key cases, we were able to ensure the deportation or extradition of individuals who we believed were a danger here in the UK. The operation of the European Court of Human Rights and the European convention on human rights should indeed be looked at, which is why the Government are looking at introducing our own Human Rights Act and possibly a Bill of Rights, which will interact with the ECHR.
ParlaMint-GB_2016-03-23-commons.u201	An important section of the UK border exists in my constituency at Gatwick airport. I seek my right hon. Friend’s assurances that Border Force has been strengthened at that location, particularly given that it accepts so many flights from the vast Schengen area. We need to ensure that terrorists who might have made it into Europe cannot then make it into the British Isles.
ParlaMint-GB_2016-03-23-commons.u202	Yes. Border Force has looked across airports and sea ports to see where it needs to enhance the checks that it provides. It is very conscious of the fact that the coming weekend is a particularly busy one for Gatwick at the start of a holiday period. It will take action accordingly.
ParlaMint-GB_2016-03-23-commons.u203	I thank the Home Secretary for her statement and commend her for her courage and fortitude at this very difficult time. At this stage of the investigation, it would seem that those who activated the bombs in that murderous attack in Brussels airport did so before they got through security. Is there any intention to upgrade or have spot checks, for instance, outside the present security system? It is quite clear that something more needs to be done.
ParlaMint-GB_2016-03-23-commons.u204	The hon. Gentleman raises an interesting point, on which there has been some commentary in the media. The practical problem is that if security is instigated at an earlier stage, a crowd is simply created in a different place. That is why that suggestion will not necessarily solve the issue of removing the ability to mount an attack on a large number of people. As I have said, the police presence and the visible security presence at certain airports has been increased, but I do not think that the hon. Gentleman’s proposal would necessarily remove the opportunity for terrorists to attack a large number of people.
ParlaMint-GB_2016-03-23-commons.u205	The appalling events in Brussels highlight the vital work done by our security services to keep us all safe. In the recent debate on the Investigatory Powers Bill, all parties adopted a conciliatory tone. Will my right hon. Friend join me in welcoming that tone and does she share my hope that in the course of the Committee stage we can arrive at a Bill that all parties can support?
ParlaMint-GB_2016-03-23-commons.u206	Yes, I hope that we can achieve that. We responded to the reports of three parliamentary Committees and revised the Bill accordingly. The Bill before Committee has had those revisions made to it. Both the Minister for Security, my right hon. Friend the Member for South Holland and The Deepings (Mr Hayes), and the Solicitor General, my hon. and learned Friend the Member for South Swindon (Robert Buckland), will take the Bill through Committee Given the tone adopted in the debate and in the interventions today, I think we could see a constructive process taking place in Committee so that we will shortly have a Bill on the statute book that delivers the safety and security that the people of this country need.
ParlaMint-GB_2016-03-23-commons.u207	We need urgently to increase our number of armed officers so that we can rapidly respond to the sort of incident that tragically happened in Brussels. It would be a shame if that were delayed in any way by the need of police forces to take decisions about competing demands on their resources. Can the Home Secretary give an assurance that she is confident that the police have the resources they need to rapidly increase the number of armed police officers, as they are requesting?
ParlaMint-GB_2016-03-23-commons.u208	Yes, because we have made extra money available for the upgrade in armed response.
ParlaMint-GB_2016-03-23-commons.u209	I welcome the tenor of the statement, and it is clear that reason and resolve, rather than prejudice and bigotry, should define our response. What discussions about firearms capability has my right hon. Friend had with the Ministry of Defence in respect of the availability of military support for civilian law enforcement, particularly outside the major metropolitan areas?
ParlaMint-GB_2016-03-23-commons.u210	Arrangements are in place for military assistance to the civil power, which can be operated in certain circumstances. Following the attacks in Paris of January last year, we looked at enhancing the capability of the military to support the police, if a multiple attack were to take place. Those arrangements are in place so that there is greater ability for the police to call on the military at an earlier stage if necessary.
ParlaMint-GB_2016-03-23-commons.u211	The Secretary of State has provided some welcome reassurance about the work under way to track and disrupt the movement of terrorists. Will she tell us specifically about any work under way, both here and across Europe, to disrupt the flow of weapons and explosives? That work is also crucial to our safety.
ParlaMint-GB_2016-03-23-commons.u212	Yes. We have been very clear that we need to see more being done within the European environment and across Europe on firearms. I am pleased to say that, following representations, the European Commission has produced a new draft directive on firearms. I am very clear that we should ban dangerous semi-automatic weapons. That discussion is taking place, but we are clearly pushing for greater ability across the EU to deal with the movement of firearms.
ParlaMint-GB_2016-03-23-commons.u213	I worked in Brussels for seven years, and my thoughts are naturally with friends and former colleagues in Belgium, as well as with the families of those who were murdered and maimed yesterday morning. Effective security co-operation with other European Union countries is obviously vital, but will my right hon. Friend also consider how we can effectively exchange appropriate security information with allies through membership of other international organisations, such as NATO and the Organisation for Security and Co-operation in Europe?
ParlaMint-GB_2016-03-23-commons.u214	My hon. Friend is right. We need to ensure that we use every available opportunity, when appropriate, to exchange security information, support and intelligence, and to work together. That is why, as I said earlier, we have the “Five Eyes” co-operation, which is very important to the United Kingdom. We work within the European Union, but other organisations are involved as well. As I said to an Opposition Member earlier, in the United Nations there has also been a greater understanding of some of the measures that need to be taken.
ParlaMint-GB_2016-03-23-commons.u215	On a point of order, Mr Speaker. I should like your advice on a Select Committee report that was published only this morning, but which, I am afraid, relates specifically to some of the business that is before the House today The Public Administration and Constitutional Affairs Committee has reported on an investigation into a complaint against HS2 Ltd that was upheld by the ombudsman, who fined HS2. The Committee received and published a large body of evidence that is highly critical of HS2 Ltd. Following its investigation, the Committee has declared that the “culture of defensive communication and misinformation within” HS2 “is not acceptable. Unless those responsible for delivering HS2 understand that first and foremost they serve the public, and take action to reflect this, then they will continue to be vulnerable to the criticism that they have disregard for members of the public who are impacted by” HS2 The report was published only this morning, so it has obviously been impossible to table amendments to the High Speed Rail (London – West Midlands) Bill, with which we shall be dealing later today, in respect of the report and that poor communication and disregard for people affected by HS2. Can you advise me, Mr Speaker, whether it would still be possible, in the House, to call for a separate debate on the report, and to look into the continuing disrespectful behaviour of HS2 Ltd and its management?
ParlaMint-GB_2016-03-23-commons.u216	I am grateful to the right hon. Lady for her point of order, to which my response is twofold. First, as I am sure she will be aware—this will not satisfy her, but I say it as a matter of fact—the report to which she has referred is tagged to the Third Reading debate on the Bill. That is to say, it is highly germane to that debate Secondly, the right hon. Lady asked me whether she could call for, or seek by one means or another, a separate debate on the report. The answer is that most certainly she can seek such a debate, and she may well be successful in obtaining such a debate—I do not, at this point, know—but that, of course, will not assist her in terms of the business scheduled for today. The matters that are up for debate in the House today will naturally proceed, and must, in terms of good order, do so. Nevertheless, the right hon. Lady, who is a wily operator, has made her point in her own way, and it is clearly on the record. That seems to bring—
ParlaMint-GB_2016-03-23-commons.u217	rose—
ParlaMint-GB_2016-03-23-commons.u218	—a warm smile to the visage of the hon. Member for The Cotswolds, from whom we shall now hear.
ParlaMint-GB_2016-03-23-commons.u219	And whose birthday it is.
ParlaMint-GB_2016-03-23-commons.u220	Whose birthday, allegedly, it is. It is always useful to have a bit of information. I wish the hon. Member for The Cotswolds a happy birthday, and I look forward to hearing his point of order.
ParlaMint-GB_2016-03-23-commons.u221	On a point of order, Mr Speaker —and thank you for your good wishes. As you will know, I very rarely make points of order in the House, but on this occasion I must seek your advice on how I might lobby the business managers about the inadequacy of the time that has been provided for the Report and Third Reading debates on the Bill today Millions of people up and down the line are affected by this large and highly complex project, and by the Bill. I do not think that three hours for Report and Third Reading is sufficient to give Members of Parliament an opportunity to make representations on this complex project on behalf of their constituents, let alone members of the Select Committee, some of whom—although not I—spent 160 working days sitting in the Select Committee. Some might give the House the benefit of their wisdom by suggesting how the hybrid Select Committee procedure could be improved.
ParlaMint-GB_2016-03-23-commons.u222	First, let me acknowledge and pay tribute to the extremely unselfish and conscientious work that the hon. Gentleman and others did on the Committee, under the distinguished and stoical chairmanship of the hon. Member for Poole (Mr Syms). Secondly, I would say to the hon. Gentleman that if the Government Chief Whip was here, he would have heard the hon. Gentleman’s point of order, but he is not, so he has not. That said, I feel sure that the thrust of it will be conveyed to the Chief Whip ere long.
ParlaMint-GB_2016-03-23-commons.u223	rose—
ParlaMint-GB_2016-03-23-commons.u224	Of course I will come to the right hon. Lady, and will treat her with the very greatest respect As Members know, and as others attending to our proceedings need to be aware, these are not matters for the Chair. Members are ventilating their very real sense of grievance and unhappiness, but these are matters for the business managers to determine. They make their own judgments. People operate—if I can put it in this way—at their own level in regard to what they judge to be the proper treatment of business and of the thoughts on these matters of Members, including minorities of Members. Those are not judgments that I can second-guess. We all have our own views, but I think that I should properly leave it there.
ParlaMint-GB_2016-03-23-commons.u225	On a point of order, Mr Speaker. You will know that I, too, rarely make a point of order in the House I am grateful to you, Mr Speaker, for understanding the frustration that we feel, as Members representing the affected constituencies. The fact is that, given that roughly 50 amendments have been tabled, if we were to put our amendments to the vote in the time available—one hour for the first group and two hours for the second—there would be no time for us even to discuss them A great deal of work, and a great deal of excellent assistance from the Clerks, has gone into creating amendments that I believe would ameliorate the consequences of the Bill. Will you use your good offices, Mr Speaker? When you speak to the Lord Speaker, will you draw her attention to the fact that, although amendments were tabled, we had very little opportunity to debate them and press them to a vote?
ParlaMint-GB_2016-03-23-commons.u226	That was an extremely well chosen and thoughtful point of order. I acknowledge that, as the right hon. Lady said, she very rarely raises points of order; her seriousness of purpose is, I think, respected in all parts of the House I will indeed convey that sentiment to the Lord Speaker. I think that the unhappiness is well known. It is a matter of fact that, among those affected, there will be very real consternation about this. That the individuals affected are a minority of the electorate is not in doubt, but they will be very unhappy about it, and that is not something that should be blithely dismissed by the Executive branch of our political system There will be those who think, “All that you do is get the business through and that is all that matters”, and who are quite hard-headed and perhaps even a bit cynical, but people ought to have regard to the views and interests of minorities. They might, on a particular issue, one day be in that position themselves; they will then want the very protection that the right hon. Members for Meriden and for Chesham and Amersham, and the hon. Member for The Cotswolds, are seeking. I will certainly relay the concern to the Lord Speaker.
ParlaMint-GB_2016-03-23-commons.u227	On a point of order, Mr Speaker. It was always my understanding that if one wished to add one’s name to amendments, as long as one did it the day before the day on which the Order Paper was to be published, that was sufficient. So I was a little surprised, on reading today’s Order Paper, to see that, despite the personal visit that I made yesterday to the Private Bill Office—no one suggested to me that I was too late to add my signature to a number of the amendments—my name does not appear at all. I wondered whether that was a matter on which you could shed any light, Mr Speaker.
ParlaMint-GB_2016-03-23-commons.u228	We have been extremely well served, as always, by our Clerks, who do their business with great commitment and prowess, and I have just been advised on this matter. That advice is that I will cause the matter to be investigated. The truth is that, off the top of my head, I have absolutely no idea why the right hon. and learned Gentleman’s name has not been added to those amendments. One would assume that in the ordinary course of events it would be, so I am rather taken aback. His understanding of the normal practice is, as usual, quite correct. Let us have the matter looked into, but I hope that it will be trumpeted to the good people of the Beaconsfield constituency that he sought to have his name added to the amendments, and the work in progress is that he may yet succeed in that mission.
ParlaMint-GB_2016-03-23-commons.u229	On a point of order, Mr Speaker. I hope that I am not trying your patience, or that of the House, too much by raising a further point of order. I want your advice on this matter for the benefit not only of those in the House but of the people outside who watch these proceedings. It might be of interest to know that when the Channel Tunnel Bill went through the House in 1987, its Report stage was not guillotined and lasted from 7 pm until 1.50 am. Only after that did its Third Reading debate begin. Mr Speaker, could you confirm that, according to the timetable motion on the Order Paper, if any Member chose to press an amendment in the first or second group to a vote, that vote would eat into the time allowed for Members to debate these matters? Our constituents are not going to understand why Members do not press these amendments to the vote, but the Government have engineered this so that if we do so, we will have no time to debate the Bill. There might be Members present who wish to have their amendments voted on, but if they press their amendments to a vote, they will rob Members on both sides of the House who are affected by the Bill of the opportunity to speak. As you have pointed out, Mr Speaker, this affects only a very small minority because both the main parties in the House are being whipped to vote for the Bill.
