ParlaMint-GB_2016-10-18-commons.u1	1. What recent assessment he has made of the political and security situation in Kashmir.
ParlaMint-GB_2016-10-18-commons.u248	I beg to move, That leave be given to bring in a bill to make provision for the central reporting and registration of agency staff employed by National Health Service trusts, facilities and services; to make provision for the central reporting and recording of absence from work of permanent NHS employees; and for connected purposes The NHS has a budget of £116.4 billion for 2015-16. It is distributed among NHS providers, including 11 NHS trusts in England, one of which is the Wye Valley NHS Trust, which administers my constituency of North Herefordshire. In 2014-15, the Wye Valley NHS Trust budget was £183.637 million. Most of the trust’s expenditure is on staffing, which last year cost it £115.4 million—63%—of its total expenditure. That includes all staff—permanent, bank and agency Agency staff cost more than permanent staff directly employed by the NHS, because private companies dictate what our public NHS pays for them. The Government are working to limit that cost to the NHS by introducing a cap on fees paid to agency workers. I support and congratulate the Government on their work to limit the increasing privatisation of the NHS, because I am against the principle that private agencies can control NHS spending and I do not want the NHS open to abuse, which can be the case under our current system I propose the creation of a database of all workers in the NHS—agency and direct employees—and that it takes note of when they are working or claiming sick pay. Those data already exist in NHS bodies, and I would like them to be pooled to benefit the whole of the NHS There is too much reliance on locums and agency workers. We all know that our NHS staff are some of the most hard-working individuals, as they strive to keep our communities healthy and safe, but there is a struggle to fill certain gaps in staff owing to a lack either of individuals or of specific skills. That is a particular problem in rural areas, where there are simply fewer people with the specific skills that some NHS bodies require. That is compounded by the fact that those who are qualified can become agency workers and do the same job for more money. That, in turn, leads to the NHS employing more agency staff Between February and April, the Wye Valley NHS Trust used agency workers in the posts of band 2 healthcare assistants and band 5-plus registered nurses for an average of 1,966 shifts a month, at an average cost of £746,000 a month. That equates to £8.9 million a year for agency staff in those two categories alone That is why the Government’s work to cap the amount paid to agencies for their staff in NHS organisations is so important. Agency work cost £3.3 billion last year. So far this year, the price cap has saved £300 million, as the Minister of State, Department of Health, my hon. Friend the hon. Member for Ludlow (Mr Dunne), said in response to a question on 12 September, although I have heard that the figure is now much closer to £650 million. In order to support the excellent work that the Government are doing, we should accordingly require agency staff—and, in particular, information about their sick days—to be centrally registered on the NHS. Because information about agency workers is not detailed centrally on the NHS, staff may be employed directly with an NHS trust and also registered with an agency. These two employers do not share information about their workers, even though agency workers are based in NHS organisations. People may say that there are not enough staff in the NHS, but it is clear that there are if we count them properly. A register like the one I am proposing will also demonstrate the areas in which we need to focus our training resources, to make sure that we train the right people The vast majority of workers who are employed by both organisations are hard-working, honest people, but there are always some who seek to abuse the system. In 2015, a nurse who worked for an NHS hospital trust was struck off after making £10,000 by working agency shifts while on sick leave, and that is not an isolated case. Such cases cost the NHS not only through fraudulent sick pay but more generally as a cost to the public purse, and we also lose the individuals involved The NHS is aware of the risk of payroll abuse and sick leave fraud, and it has sent leaflets to members to make them aware of it. However, without a central system of data sharing between these bodies, organisations have to rely on hearsay to report abuse of the system. This is a good starting point, but it does not eliminate the risk of fraudulent activities , and we need the money to be saved for patients The lack of communication between the bodies needs to be rectified. We need to combat those who take advantage of the system by making information about employees more accessible to employers, to make sure that employees are paid fairly and the NHS does not suffer unnecessarily. The Bill would support the Government’s hard work to reduce unnecessary costs to the NHS by making it harder for those who take advantage of the system to do so. The Bill would create a centrally kept register of all the agency staff used across the NHS. The register would indicate when those staff were off sick and claiming sick pay. If those data were pooled, abuse could be spotted. The small cost that would be involved in pooling agency data is far outweighed by the risk of abuse and lack of control. All the data already exist, after all; it is simply a case of sharing them Information about the sick pay of NHS employees is already stored and reported on. For Wye Valley NHS Trust last year, the figure was just 4.33%. By the same yardstick, agency workers are paid by a public body, so their sick pay data should be stored and shared. There is no better way of managing the enormous agency bill than by ensuring that the data are used wisely People speak against the privatisation of the NHS, but that is exactly what will happen if the NHS loses control of its staff requirements. Agencies provide the staff our patients need for their safety. That must be controlled; otherwise, we will never be able to achieve the worthy target of getting the right pay for the right people, doing the right jobs. Our NHS staff deserve no less Question put and agreed to. Ordered, That Bill Wiggin present the Bill Bill Wiggin accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 24 March 2017, and to be printed (Bill 76).
ParlaMint-GB_2016-10-18-commons.u249	I inform the House that Mr Speaker has selected the amendment in the name of John Nicolson, whom I will call to move the amendment formally at the end of the debate.
ParlaMint-GB_2016-10-18-commons.u250	I beg to move, That this House approves the draft Agreement (Cm 9332), between the Secretary of State for Culture, Media and Sport and the British Broadcasting Corporation, which was laid before this House on 15 September 2016 I start with an apology. Although I am delighted to be here for the debate, I will have to leave at some point this afternoon—I hope that you, Madam Deputy Speaker, and the House will forgive me—because we have, as Members will know, a magnificent celebration of our Olympic and Paralympic athletes. It was an enormous pleasure to be in Manchester with them yesterday, and I look forward to seeing them again today I am delighted to welcome the hon. Member for West Bromwich East (Mr Watson) to his place. It is a great pleasure to see him sitting opposite me, and I am sure that we will enjoy many happy debates across the Dispatch Box The BBC is the best broadcaster in the world, and it is widely recognised as such throughout the world. Despite what some people would have the world believe, the Government know that the BBC is one of our greatest institutions and must be nurtured and cherished. The fact that we received more than 190,000 submissions to our consultation shows how deeply people care about the BBC. It is, therefore, quite right that the changes we are making to the BBC will strengthen it, secure its funding, protect it, decouple the charter from the electoral cycle and ensure that the BBC not only survives but thrives.
ParlaMint-GB_2016-10-18-commons.u251	The Secretary of State has talked about providing appropriate funding for the BBC to make sure that it is funded well. At the same time, the Government have inappropriately imposed on the BBC the costs of free licences for the over-75s and of overseas monitoring for the security services and the Foreign Office. What does she have to say to that?
ParlaMint-GB_2016-10-18-commons.u252	I have also enjoyed sparring with the hon. Gentleman across the Dispatch Box. I will come on to the details of the funding later, but I believe that this funding settlement is a strong one that puts the BBC on a sustainable footing with an inflationary increase in the licence fee.
ParlaMint-GB_2016-10-18-commons.u253	The former arts Minister, the right hon. Member for Wantage (Mr Vaizey), does not think so, as he told us last time we debated the matter. Many of us in this House think that the idea of suddenly forcing the BBC to pay for free television licences is a complete disgrace.
ParlaMint-GB_2016-10-18-commons.u254	The BBC has agreed to this through negotiations and discussions, and I am confident that the funding settlement puts the BBC on a sustainable long-term footing.
ParlaMint-GB_2016-10-18-commons.u255	rose—
ParlaMint-GB_2016-10-18-commons.u256	I will take one more intervention, and then I will make some progress.
ParlaMint-GB_2016-10-18-commons.u257	I must correct my hon. Friend the Member for Rhondda (Chris Bryant). This funding mechanism is not to pay for free TV licences; it is, surely, to pay for a Conservative manifesto commitment.
ParlaMint-GB_2016-10-18-commons.u258	The funding settlement is to pay for the very best BBC, which we all want to see. I am absolutely confident that this funding settlement will provide that.
ParlaMint-GB_2016-10-18-commons.u259	Will the Secretary of State give way?
ParlaMint-GB_2016-10-18-commons.u260	No, I will make some progress, if the hon. Gentleman will forgive me. I will come back to funding shortly, but I want to put on record the fact that the draft charter contains a few small, technical omissions and errors. We will publish shortly a revised charter that includes all those points, on which I know some hon. and right hon. Members have picked up The BBC royal charter and agreement will support a BBC that makes and broadcasts world-class content; that provides impartial, high-quality news; that is independent, transparent, and accountable; and that works with, rather than against, the rest of the United Kingdom creative sector. The BBC director-general, Lord Hall, hailed the draft charter as “the right outcome for the BBC and its role as a creative power for Britain” The new royal charter will make the BBC stronger in a number of ways. It will increase the BBC’s independence, improve its regulation, make it more transparent and accountable to licence fee payers, and make it better reflect the whole United Kingdom. First of all, the BBC will become more independent.
ParlaMint-GB_2016-10-18-commons.u261	Will the Secretary of State give way?
ParlaMint-GB_2016-10-18-commons.u262	I cannot resist the hon. Lady.
ParlaMint-GB_2016-10-18-commons.u263	The Secretary of State has just said that the new royal charter will maintain the BBC’s independence, but I draw her attention to paragraph 4 of the draft agreement that she laid before the House last month, which states: “By entering into this Agreement, the BBC has…assumed obligations which restrict, to some extent, its future freedom of action.” How can that possibly be consistent with what she has just said about its independence?
ParlaMint-GB_2016-10-18-commons.u264	When the hon. Lady looks at the charter as a whole, she will see that the BBC will become more independent. It is very easy to take one line from an agreement and try to demonstrate the opposite. As a whole, the charter will make the BBC more independent.
ParlaMint-GB_2016-10-18-commons.u265	Will the Secretary of State give way?
ParlaMint-GB_2016-10-18-commons.u266	No, I will make some progress A majority—nine out of 14—of the members of the new unitary board will be appointed by the BBC. That contrasts with past appointments by Governments of every member of the BBC governing board. The new director-general will be editor-in-chief and have final responsibility for individual decisions on the BBC’s editorial matters and creative output.
ParlaMint-GB_2016-10-18-commons.u267	Does the Secretary of State not understand the difference between appointments to a unitary board that has overall editorial control over the BBC and appointments to a system of trustees or governors who do not have such editorial control?
ParlaMint-GB_2016-10-18-commons.u268	I understand that point, but I think this structure will give the BBC more independence. The fact that the majority of directors will be appointed by the BBC makes it clear that the Government want the BBC to be independent, to be strong and to succeed.
ParlaMint-GB_2016-10-18-commons.u269	On that point, does my right hon. Friend accept that the director-general remains the editor-in-chief and that the role of the unitary board is only to scrutinise, post-broadcast, decisions the director-general has made?
ParlaMint-GB_2016-10-18-commons.u270	My hon. Friend exactly sums up the position The longer—11-year—royal charter will separate charter renewal from the electoral cycle, which has been widely welcomed. I reiterate that the mid-term review after six years will be a health check, not another charter review in all but name. It is surely eminently sensible to check how effectively new arrangements are working before 11 years have gone by. Moreover, article 57 of the charter states: “The review must not consider…the mission of the BBC;…the Public Purposes of the BBC; or…the licence fee funding model of the BBC for the period of this Charter.”
ParlaMint-GB_2016-10-18-commons.u271	Does the Secretary of State agree that there will be a further huge change in viewing habits from traditional television to online and on-demand viewing over the 11-year charter renewal period? Will she consider decriminalising non-payment of the TV licence for viewing the iPlayer and will she in effect implement decriminalising non-payment of the TV licence over the charter renewal period, which would be widely supported and welcomed?
ParlaMint-GB_2016-10-18-commons.u272	I know my hon. Friend has campaigned strongly on this issue, and I understand the point he makes I will go through some further points about the new charter. The BBC will be regulated more effectively under it. The charter and agreement set out Ofcom’s new role as the BBC’s independent regulator. Ofcom will monitor and review how well the BBC meets its mission and public purposes, regulate editorial standards, hold the BBC to account on market impacts and public value, and consider relevant complaints from viewers, listeners and other stakeholders where complainants are not satisfied with resolution by the BBC.
ParlaMint-GB_2016-10-18-commons.u273	Given the high number of extra roles and duties that Ofcom is taking on, will the Secretary of State undertake to the House today to ensure it is properly remunerated and given enough resource to do the extra job it will now have to do?
ParlaMint-GB_2016-10-18-commons.u274	Ofcom has been asked about that point, and it has set out that it has the capabilities and the competence to do this work. The charter is the result of extensive negotiations between the BBC, Ofcom and others, and I am confident that Ofcom has the resources to be able to fulfil its obligations It is fundamentally important that the BBC should be impartial. Colleagues have been keen to impress that point on me in the run-up to and following the EU referendum. Although it is not for the Government to arbitrate on such matters, I will make sure that Ofcom never forgets what a vital duty it has in this regard. These are big new responsibilities for Ofcom, and it is rightly going to consult with the industry on its new operating framework for the BBC next year It will also be Ofcom’s job to set regulatory requirements for the BBC to be distinctive. Schedule 2 to the agreement makes it clear that the BBC’s output and services as a whole need to be distinctive, so concerns that this is a way for the Government to interfere with specific programmes are totally unfounded. The provisions in the charter that place new duties on the BBC to consider its impact on the market are not about reducing the BBC’s role per se.
ParlaMint-GB_2016-10-18-commons.u275	I would be very interested to know the right hon. Lady’s personal perspective on what “distinctive” means. Does it mean distinct from other channels or from international broadcasters? Will she clarify what it means in this context?
ParlaMint-GB_2016-10-18-commons.u276	I think “distinctive” means both those things. It means that the BBC is a unique and distinctive broadcaster that offers a range of outputs across television and radio, appeals to a wide variety of the population and offers programming that simply would not be delivered in a commercial context.
ParlaMint-GB_2016-10-18-commons.u277	One of the distinctive areas and advantages of the BBC is its ability to take forward policy initiatives such as commitments to minority language broadcasting. Does the Secretary of State understand the concern felt among those in the excellent operation at BBC Alba that the framework agreement as currently drafted is not entirely to their advantage? It needs to be looked again, particularly with regard to the fact that the funding source should continue to come from the BBC UK pot as part of a commitment to minority languages across the whole of the UK.
ParlaMint-GB_2016-10-18-commons.u278	BBC Alba is a wholly owned subsidiary of the BBC. The charter and the framework set out very clearly the requirements on BBC Alba. I would be very happy to meet representatives of BBC Alba if they feel that something has not been considered, although, from our previous conversations, I think such points have been addressed.
ParlaMint-GB_2016-10-18-commons.u279	Does the Secretary of State agree that one of the most distinctive forms of BBC output and the way in which it probably comes closest to meeting its public service requirements is BBC local radio? It provides the very focused and, I would argue, often unique output that is very valuable to many communities up and down the United Kingdom.
ParlaMint-GB_2016-10-18-commons.u280	I agree with my hon. Friend that BBC local radio is very important for all our local areas. I will give BBC Radio Stoke a plug, because I know it would be disappointed if I did not do so. [Interruption.] The hon. Member for Stoke-on-Trent North (Ruth Smeeth) seems to agree with that point. I am sure we all feel the same about our local radio. The point of the charter and the framework is to provide such a regional focus and to ensure it is maintained.
ParlaMint-GB_2016-10-18-commons.u281	rose—
ParlaMint-GB_2016-10-18-commons.u282	rose—
ParlaMint-GB_2016-10-18-commons.u283	I have taken several interventions, and I am afraid I want to make some progress We are making the BBC more transparent and accountable, as is only right for an institution that receives so much public money and means so much to the public. The salaries of individuals who earn £150,000 and above will be made public. There will also be a full, fair and open competition for the post of chair of the new BBC Board. The National Audit Office will become the BBC’s financial auditor, and it will be able to conduct value-for-money studies of the BBC’s commercial subsidiaries. The NAO is held in very high regard, and it has extensive experience of scrutinising commercial and specialised organisations such as Network Rail and the security services Finally, the Government have listened carefully to those who said that the BBC must better reflect and represent each of the home nations. They are right. The charter provides for a strengthened public purpose, emphasising the fact that the BBC has a central role in the creative economy across the UK’s nations and regions. Appointments to the unitary board of members for the nations will need the agreement of the devolved Minister or, for the England member, the Secretary of State. The charter obliges the BBC to appear before Committees and to lay its annual reports and accounts in the devolved legislatures.
ParlaMint-GB_2016-10-18-commons.u284	The Secretary of State commends BBC Radio Stoke, and I know that local radio is hugely important. Is it not unfortunate, therefore, that we do not have BBC local radio in Wales? One station alone represents the whole of Wales—BBC Radio Wales, along with Radio Cymru. Is it not time that we had local radio services in Wales in the way we have them in England?
ParlaMint-GB_2016-10-18-commons.u285	Clearly that is a matter for the BBC. I sometimes pick up BBC Radio Wales in my constituency in Staffordshire—it seems to have a wide and long reach and is clearly reaching areas outside its normal remit The BBC must fully reflect the diverse nature of the UK. For the first time, diversity is enshrined in the charter’s public purposes and requirements on minority language provision are strengthened. The charter will be considered by the Privy Council before the Government seek Royal Assent We had an excellent debate in the other place last week and I am pleased to have another opportunity to debate the world’s finest broadcaster in this Chamber. Our changes will secure the future of the BBC, strengthen it, give it an unprecedented degree of independence and make it more transparent, accountable and representative. This Government believe in the BBC.
ParlaMint-GB_2016-10-18-commons.u286	I refer the House to my entry in the Register of Members’ Financial Interests. I particularly draw Members’ attention to the fact that I have only recently stood down as vice-chair of the all-party group on the BBC May I say how much we are looking forward to working with the new Secretary of State and her team? She was generous and engaged in constructive dialogue when she was a Home Office Minister, and I hope that we can continue that relationship in our new posts. I also wish to thank my predecessors in this role, my hon. Friends the Members for Luton North (Kelvin Hopkins), who has shown that he has not lost his tenacity or his energy in this policy area, and for Garston and Halewood (Maria Eagle), who offered such robust scrutiny of the White Paper when it was discussed earlier in the year The Labour party welcomes the fact that the charter provides the BBC with the funding and security it needs as it prepares to enter its second century of broadcasting. The BBC embodies those enduring British values of hard work, creativity, innovation and co-operation. It helps to ensure that Britain’s voice is heard around the world, and it has informed and entertained countless millions of listeners, viewers and web users. It did so once again over the summer with its truly exceptional coverage of the Olympics in Rio, and I know that the whole House will agree that we should acknowledge that on the day we celebrate the achievements of our athletes by throwing a fantastic party in Trafalgar Square later While we welcome the charter, we have some misgivings, as the Secretary of State has seen, about the responsibilities that the BBC has been obliged to accept. In particular, we are extremely concerned about the Government’s decision to force the BBC to meet the cost of providing free TV licences to the over-75s. That was done without meaningful public consultation and little parliamentary debate, and it was part of a deal that was made behind closed doors.
ParlaMint-GB_2016-10-18-commons.u287	I congratulate my hon. Friend on his appointment as shadow Secretary of State; I am sure he will enjoy the job The imposition of the cost of licences for over-75s was carried out at the same time as the charter was being negotiated. Does that not imply that a degree of duress was involved in making the BBC accept that decision?
ParlaMint-GB_2016-10-18-commons.u288	It is certainly not the most ideal of circumstances to face when negotiating for survival. We do not think that there was a meaningful public consultation and we had hoped that those days were behind us. We feel strongly that that situation cannot be allowed to happen again. This was the second time that the Government had approached their deliberations with the BBC by placing a gun to its head. In 2010, the coalition Government forced the BBC to take on the cost of paying for the World Service. The Government approached the negotiations in 2010 and 2015 with the subtlety of a ram raider approaching a jewellery shop. Their approach was described as a “smash and grab raid” We expect the Secretary of State to reassure us that the next licence fee settlement will be agreed in a transparent manner and according to a clear timetable. It must be subject to parliamentary scrutiny and put out to public consultation, so that whoever is in power cannot railroad a settlement through again. Please will the Secretary of State give a guarantee to the House that such a system will be put in place? We will work with her to achieve that I am sure that some people believe that asking the BBC to pay £700 million a year for free licences was clever politics, but I think it was political irresponsibility, verging on negligence. The BBC is not an arm of the Government. It should not be asked to meet the cost of Government policies and it should not be asked to implement changes to the Government’s social security policy.
ParlaMint-GB_2016-10-18-commons.u289	It is worth putting on record that the BBC licence fee has been frozen for the last six years. The Government have agreed to increase the licence fee in line with inflation, which will result in additional income for the BBC of £18 billion in the period up to 2021. That is more than enough compensation for the money the hon. Gentleman is talking about. The issue of licences for over-75s was dealt with outside the charter arrangements. This is a fair settlement that gives the BBC good funding and the licence fee payer good value for money.
ParlaMint-GB_2016-10-18-commons.u290	It is certainly a settlement. The BBC has accepted it as a settlement, and that is why we will not oppose the motion, but it is not unreasonable for us to press the Secretary of State on why an instrument of social security policy is being passed to the BBC. We are considering carefully whether we can challenge the measure in the Digital Economy Public Bill Committee, because the extra cost imposed on the BBC is the equivalent of a 20% budget cut. I know the deal has been struck and different income streams have been negotiated within it, but the manner in which it has been done is distinctly unfair. The Government are passing responsibility for social security cuts that they should take on to a British institution.
ParlaMint-GB_2016-10-18-commons.u291	Will my hon. Friend give way?
ParlaMint-GB_2016-10-18-commons.u292	Yes. I should point out that I have a bad ear infection and can hardly hear a thing today, so hon. Members will have to shout if they want my attention.
ParlaMint-GB_2016-10-18-commons.u293	When my hon. Friend considers trying to amend the Digital Economy Bill, will he bear in mind that £630 million of public money was taken from the BBC to fund broadband in the previous Parliament? The Government have real form with raids on the BBC.
ParlaMint-GB_2016-10-18-commons.u294	We will of course take on board my hon. Friend’s wise advice.
ParlaMint-GB_2016-10-18-commons.u295	Will the hon. Gentleman give way?
ParlaMint-GB_2016-10-18-commons.u296	Hmm, yes.
ParlaMint-GB_2016-10-18-commons.u297	I am sorry to shout so dramatically, but I took on board what the hon. Gentleman said—I listen to every word he says—about his ear infection and I wanted to grab his attention. May I point out that the money from the BBC television licence fee that was used for broadband was actually the surplus left over from Labour’s highly successful digital switchover programme? That programme was so successful that it underspent its budget, and we used the surplus to pursue our own extremely successful broadband programme.
ParlaMint-GB_2016-10-18-commons.u298	I am being slightly diverted from the motion. I have only been in this role for 10 days, so I may not have my facts entirely right, but I think that the £630 million that my hon. Friend the Member for Wrexham (Ian C. Lucas) described has also been underspent to the tune of £60 million. It would be very useful if the Government could give that money back to the BBC so that it could be put into diverse broadcasting such as children’s broadcasting, in which the right hon. Gentleman and I both have an interest.
ParlaMint-GB_2016-10-18-commons.u299	Does the hon. Gentleman accept that in an age when all other public bodies are being asked to make efficiency savings, it is reasonable for the BBC to be asked to share some of the burden, especially given the fact that the BBC overspends on a lot of programme making? For example, it took twice the number of people to the Olympics than other broadcasters took? Salaries are still going up, the top echelons have not been reduced and huge pension settlements are still being given to those who leave the BBC.
ParlaMint-GB_2016-10-18-commons.u300	I hope that I have not given the hon. Gentleman the impression that I do not think viewers need value for money—they certainly do. The transparency measures agreed by both sides of the House have helped to ensure that the value-for-money case is made internally within the BBC.
ParlaMint-GB_2016-10-18-commons.u301	Hon. Members are eliding public spending, which is paid for by taxation, and licence fee spending, which might be seen as a relatively regressive form of taxation, but is not public funding in the same sense.
ParlaMint-GB_2016-10-18-commons.u302	My hon. Friend makes a very good point We will always make the case for a strong, independent and well-funded BBC. That was what we did in government and it is what we intend to do in opposition. I hope that we can move on from the days when a small group of campaigners routinely questioned whether the BBC should exist at all. For a handful of people, the licence fee that has funded the BBC for nearly a century is an aberration. They believe that the only reliable, durable and perpetual guarantor of independence is profit. Perhaps they believe that 40p a day is an outrageous price to pay for the BBC’s startling array of television and radio news coverage, current affairs programmes, natural history, drama, comedy and children’s programmes. Perhaps they would rather see the BBC smaller and a little duller. I do not believe that and the British public do not believe it either. That was why there were 192,000 responses to the Government’s consultation on the future of the BBC, and why the overwhelming majority were favourable and supportive I pay tribute to the campaigners whose tireless work helped to deliver a BBC charter that is likely to secure its future: the Great BBC campaign, founded by Lord Waheed-Alli and Charlie Parsons; the Save our BBC campaign; the 38 Degrees petition to protect our BBC, which now has over 390,000 signatures; and all the creative industry trade unions, including the Broadcasting, Entertainment, Cinematograph and Theatre Union, Equity, the Musicians’ Union, the National Union of Journalists and the Writers’ Guild of Great Britain. All came together in a coalition to defend the BBC. They raised awareness, generated support and helped to deliver those 192,000 responses to the Government’s consultation. On both sides of the House, we are indebted to them all.
ParlaMint-GB_2016-10-18-commons.u303	I agree completely that there was some very effective campaigning, but will the hon. Gentleman accept that there was also a lot of unnecessary scaremongering? For example, an accusation was sent to Government Members’ mailboxes about the wholesale destruction of the BBC by the Tories. That was never the intent and never the case, and some people need to apologise.
ParlaMint-GB_2016-10-18-commons.u304	I am afraid that I am not quite sure of the specific allegation of scaremongering, but the hon. Gentleman has made his point and it is on the record We welcome the royal charter and the security it gives the BBC. In particular, I welcome the Government’s U-turn, as the consultation on the future of the BBC that they published in July 2015 was very different in tone and intention to the proposals before us now. We welcome the fact that the BBC’s funding settlement will now be decided every 11 years; it is particularly helpful to remove it from the five-year election cycle We welcome the settlement, but we know that an institution the size of the BBC can never be perfect. We believe the BBC has a responsibility to look and sound like Britain, both on screen and off. It should do far more to identify, employ and promote talent from every background and every walk of life. That means recruiting far more people from our black, Asian and minority ethnic communities. It means more women of every age in senior roles off screen and in leading roles on screen. It also means employing people from every social background.
ParlaMint-GB_2016-10-18-commons.u305	Thinking about the pupils of Ashfield, I would like to make a practical suggestion. The BBC should go into schools in constituencies such as mine and tell pupils that work experience is open to them. Their parents pay the licence fee, so they should have the opportunity to work there.
ParlaMint-GB_2016-10-18-commons.u306	That is a fantastic idea. Perhaps we can build up a case to allow the BBC to extend its reach into schools in areas like my hon. Friend’s constituency.
ParlaMint-GB_2016-10-18-commons.u307	Does the hon. Gentleman also agree that in the light of Ofcom’s new diversity obligations, the make-up of the UK population should be better reflected in terms of personnel and senior management?
ParlaMint-GB_2016-10-18-commons.u308	That is a very insightful point about something that we can work together to monitor I was talking about employing people from every social background. The BBC has a duty to reflect the nation it serves. That means informing and entertaining licence fee payers, as is set out in the charter, but the BBC must also do more to encourage and support British talent regardless of ethnicity, gender, sexual orientation, disability or social background. It is well placed to do that because, almost uniquely, it has a strong and visible presence across the country. There are BBC studios in Birmingham, Bristol and Belfast. The BBC has offices in Leeds, Nottingham, Glasgow, Edinburgh, Cardiff and many more places too numerous to list. It has a duty to reach out to the communities on its doorstep The BBC has significantly expanded its apprenticeship programme. I commend director-general Tony Hall for that but, as my hon. Friend the Member for Ashfield (Gloria De Piero) points out, there is far more we can do. According to research carried out in 2015 by the Department for Culture, Media and Sport, over nine in 10 jobs in the creative economy are done by people in more advantaged socio-economic groups, compared with 66% of jobs in the wider economy. That has to change.
ParlaMint-GB_2016-10-18-commons.u309	indicated assent.
ParlaMint-GB_2016-10-18-commons.u310	indicated assent.
ParlaMint-GB_2016-10-18-commons.u311	Ministers are nodding in support of that, so I hope that they can reassure me that the new and explicit commitment to diversity will also cover social class. I grew up in an era when working class actors such as Michael Caine, Glenda Jackson and Julie Walters were giants of popular culture.
ParlaMint-GB_2016-10-18-commons.u312	You’re not that old.
ParlaMint-GB_2016-10-18-commons.u313	I am; I am feeling it, anyway I have nothing against Benedict Cumberbatch and Eddie Redmayne—I admire their talent hugely and they are great ambassadors for our country—but we need more people like Julie Walters, Christopher Ecclestone and Paul McGann. And it should not fall to Lenny Henry and Idris Elba to be the face of the BBC’s diversity programme.
ParlaMint-GB_2016-10-18-commons.u314	This is an appropriate point in the debate to underline the cross-party support for this direction of travel. The BBC knows that it has a lot more work to do. As the hon. Gentleman says, diversity is explicit in the charter, and that means diversity in all its forms: yes, protected characteristics such as ethnic background, gender and sexual orientation, but also social background—wherever people come from and from whatever walk of life.
