ParlaMint-GB_2016-03-22-commons.u1	1. What progress has been made on improving cancer survival rates.
ParlaMint-GB_2016-03-22-commons.u163	I am grateful to the Chair of the Business, Innovation and Skills Committee for notice of his point of order. The House delegates to nearly all its Select Committees the power to send for persons, papers and records. Each Committee is free to decide whom to invite to give oral evidence, and if the invitation is refused, the Committee may decide to make an order for the attendance of a witness In response to the hon. Gentleman’s direct question, therefore, it appears to me that so far the proper procedures have been followed. As long as the Committee is acting within its terms of reference, the House expects witnesses to obey the Committee’s order to attend. If, after due consideration, the hon. Gentleman’s Committee wishes to take the matter further, the next step would be to make a special report to the House, setting out the facts. The hon. Gentleman may then wish to apply to me to consider the issue as a matter of privilege, and to ask me to give it priority in the House. Under procedures agreed to by the House in 1978 and set out on page 273 of “Erskine May”, this application should be made to me in writing, rather than as a point of order. I would then be happy to advise him on the options open to him.
ParlaMint-GB_2016-03-22-commons.u164	Further to that point of order, Mr Speaker. This could be a long, drawn-out process, based on what Mike Ashley has been doing and saying over the years. He operates zero-hours contracts for many thousands of people. There are very few full-time people. He believes that as a billionaire he can do as he likes. I put it on the record for you, Mr Speaker: you had better act very firmly with the person concerned. There used to be a woman in the House working for the Serjeant at Arms called Mary Frampton. We will need one to deal with him.
ParlaMint-GB_2016-03-22-commons.u165	We have such a person. I can say only that I shall always profit by the counsels of the hon. Gentleman.
ParlaMint-GB_2016-03-22-commons.u166	Further to that point of order, Mr Speaker.
ParlaMint-GB_2016-03-22-commons.u167	Is it on an unrelated matter?
ParlaMint-GB_2016-03-22-commons.u168	The same matter.
ParlaMint-GB_2016-03-22-commons.u169	I do not know that there is more to add, but I will give the hon. Gentleman the benefit of the doubt—he is a very experienced Member. I have tried to treat of this matter fairly and factually, but of course I will take a point of order from the hon. Gentleman if he persists.
ParlaMint-GB_2016-03-22-commons.u170	The point of order I wish to raise with you, Mr Speaker, is simply this: in view of the obvious contempt that this person has shown for the House of Commons, would it not be appropriate for him to appear at the Bar of the House? [Hon. Members: “Hear, hear.”] There have been occasions in the past when that has occurred, and the House of Commons has shown that it will not tolerate such contempt. I put it to you that that could perhaps be considered as well.
ParlaMint-GB_2016-03-22-commons.u171	I am very grateful to the hon. Gentleman for his point of order. I recognise that there are historical precedents, but it is only right for me to say that it is not for me to make any such decision. If we were to get to that point, and I am not suggesting that we shall do so—I am not seeking to anticipate events—that would be a matter for the House to decide, but I hope that I have dealt fairly, squarely and intelligibly with the important matter that the Chair of the Select Committee and others have raised.
ParlaMint-GB_2016-03-22-commons.u172	I beg to move, That leave be given to bring in a Bill to make provision about the skills and knowledge required of a person driving a taxi or private hire vehicle (TPHV) and related responsibilities of TPHV company operators and service providers; to require operators of TPHV companies and service providers to hold specified types and levels of insurance; to make provision about the tax liability of TPHV companies and service providers; and for connected purposes I am grateful for the opportunity to present the Bill, and I am delighted by the strength of support from right hon. and hon. Members on both sides of the House, which is reflected, I think, in the attendance today The Bill seeks to put fair competition and passenger safety at the heart of the taxi and private hire vehicle industry in London and across the country. The advent of new technology in the industry is revolutionising the way people navigate our great capital city; indeed, it is revolutionising transport in cities across the United Kingdom and the world. At its best, disruptive technology drives innovation and increases competition, with enormous benefits for businesses and consumers alike. However, as we have seen on the streets of London, it also brings significant challenges. The Bill seeks to address some of those challenges, which have been neglected for far too long The debate about the future of London’s taxi industry has been unfairly characterised as a debate between those who support competition and innovation on the one hand and those who want to cling to the past on the other. That is lazy analysis. It is true that London’s iconic black taxi trade is at risk; indeed, I would go as far as to say that the threat to it is existential—but the cabbies I represent are not afraid of change and innovation, they are not afraid of new technology and they are not afraid of competition. However, they are finding it increasingly hard to compete in a changing marketplace with both hands tied behind their backs. [Interruption.] It is great to see even the Chancellor taking an interest in their plight. [Hon. Members: “Taxi?”] The Chancellor may need a taxi I represent many black taxi drivers; indeed, Ilford North was once known as “Green Badge valley”, and it is still not unusual to see taxis parked on the driveways of Gants Hill, Clayhall, Barkingside and Woodford. I also represent hundreds of minicab drivers and drivers who work for new market entrants such as Uber. Like many Londoners, I use black taxis, particularly in central London. I also use minicabs and apps such as Uber locally. I welcome the choice and enjoy the benefits of competition, but I also recognise that the explosion in the number of private hire vehicles in London presents regulatory challenges and risks for passengers An investigation for LBC by Theo Usherwood exposed the ease with which individuals can access a private hire licence without adequate insurance. We know that a number of vehicles are already on the road without appropriate insurance. Last year, The Guardian was able to demonstrate how easy it was for an Uber driver to pick up a customer, having provided fake insurance paperwork via the company’s operating system. Some private hire vehicles are illegally plying for hire and touting, increasing the risk of passengers getting into cars driven by unlicensed and unknown drivers, with considerable risk to their safety. This is an illegal practice that the regulators ought to be acting a lot harder on. Guide Dogs UK found in a survey of assistance dog owners that 43.5% of respondents had been refused access to private hire vehicles, and it is all too common for lesbian, gay, bisexual and transgender passengers to experience discrimination Though I enjoy price competition as much as anyone else, is it really fair to expect cabbies to compete on fares while Transport for London continues to put up regulated fares for black taxis and apps such as Uber are able to drive their prices down, as profit-shifting allows them to avoid paying their fair share of taxes here in the UK? If we fail to act, London’s iconic black taxis will be driven off our streets. This is bad for competition, bad for passengers, and bad for London The Bill proposes action in three areas to improve passenger safety and make competition fairer so that our black taxi industry can continue to survive and thrive alongside minicabs and other private hire operators. First, on the issue of training, private hire vehicle drivers undertake only a rudimentary topographical test and in many cases do not undergo formal training. This sees many relying on sat-nav, which means that the risk of collision is increased owing to sharp braking or not focusing on the road ahead. The Bill proposes that in order to obtain a PHV—private hire vehicle—licence all drivers should complete an enhanced Driver and Vehicle Licensing Agency assessment, requiring additional skills such as how to drop off and pick up passengers and wheelchair exercises to learn how to support the disabled. PHV drivers should also undertake an assessment on the principle of plying for hire and touting regulations, so that there can be no excuses for breaching regulations. PHV drivers should be properly and fully trained and assessed in their obligations under the Equality Act 2010, so that protected groups such as LGBT people and disabled people can travel with confidence The second issue that the Bill seeks to address is insurance. The current system requires “hire and reward” insurance for all drivers where the responsibility for insurance rests with individual drivers. There is a higher cost for this insurance, which means that many private hire vehicle drivers can be tempted to opt for a cheaper form of insurance when accepted by a licensed operator. In order to resolve this issue, I propose moving to a system of operators’ insurance that places the responsibility on operators as a prerequisite for obtaining their licence. This will deliver three key benefits for passengers and the industry: guaranteeing that cars managed by the operator are insured so that customers have confidence that they are safe; reducing the cost of insurance through bulk purchasing, thereby delivering better value for money; and making the regulators’ task easier because checking a few thousand operators is easier than checking over 100,000 individual policies. Some companies, such as Addison Lee, already do this voluntarily, meaning that customers and businesses can book with the confidence that is sometimes lacking around private hire operators Finally, my Bill makes provision for the tax liabilities of taxi and private hire vehicle companies. It cannot be right that some companies in this industry are making huge profits but not paying their fair share of taxes. Lower fares are great, but some operators are frankly trying to drive their competition off the road through new apps by offering lower fares made possible by offshore tax arrangements, in effect robbing Peter to pay Paul. I pay particular tribute to my right hon. Friend the Member for Don Valley (Caroline Flint), who a week ago today brought forward her own ten-minute rule Bill on transparency for multinationals. Her proposals would be a refreshing step in the right direction This Bill would introduce a requirement for the Chancellor or the Financial Secretary to the Treasury to make an annual statement to this House on the progress of the OECD’s base erosion and profit-shifting project and the action that Her Majesty’s Government are taking to ensure that there is proper scrutiny in this area—though I hope that the Chancellor might be better at making progress there than on his own targets. It is a small measure, but it would indicate the view of this House that the Government need to do much more to tackle tax avoidance. These changes collectively would go some way towards levelling the playing field. TfL needs to go further than it currently proposes, and, in any event, these challenges also exist in towns and cities across our country Gwyneth Paltrow once said: “Brits are far more intelligent and civilised than Americans. I love the fact that you can hail a taxi and just pick up your pram and put it in the back of the cab without having to collapse it.” Perhaps more profoundly, Professor John O’Keefe, a Nobel prize-winning neuroscientist, said: “Some of the best navigators in the world are London taxi cab drivers. They have to learn 25,000 streets and how to get from one to the other.” I am sure that the whole House will agree that Brits are more intelligent and taxi cab drivers are the best navigators in the world. They are also small businessmen and women providing a world-famous service and struggling to make their families a good living. We owe them a chance to compete fairly, and we owe it to our great capital city to ensure that the iconic black taxi industry and the great iconic black taxi itself are not consigned to London’s history books. For these reasons, and so many more, I commend this Bill to the House Question put and agreed to. Ordered, That Wes Streeting, Lyn Brown, Neil Coyle, John Cryer, Clive Efford, Mr David Lammy, Kate Osamor, Joan Ryan, Mr Virendra Sharma, Mr Gareth Thomas and Mr Charles Walker present the Bill Wes Streeting accordingly presented the Bill Bill read the First time; to be read a Second time on Friday 22 April and to be printed (Bill 154).
ParlaMint-GB_2016-03-22-commons.u173	Before I call the Chancellor of the Exchequer, I should inform the House that I have selected amendments (b) and (a), so both can be debated together with the Budget motions today. With the leave of the House, I will call the shadow Chancellor to move amendment (b) after the Chancellor has opened the debate. At the end of the day’s debate, the Question will first be put on amendment (b). As long as time permits before 7 pm, I shall then call the hon. Member for Dewsbury (Paula Sherriff) to move amendment (a) formally, and the Question on that amendment will be put. The House will then proceed to decide on the Budget resolutions.
ParlaMint-GB_2016-03-22-commons.u174	Let me start by offering all our condolences to the victims, and their families, of the attacks in Belgium. The full details of this morning’s horrific attacks are still emerging, but we know that at least 13 people died in the attack at Brussels airport and that there are reports of multiple dead at Maelbeek metro station. As details of these horrific events continue to unfold, my thoughts and prayers, and indeed those of right hon. and hon. Members in all parts of the House, are with those who have lost loved ones or have been injured Earlier this morning, the Prime Minister chaired a meeting of Cobra attended by the Home Secretary, myself and others. The police have confirmed that, on a precautionary basis, they are increasing the policing presence at key locations, including transport hubs, to protect the public and provide reassurance. In London, the Metropolitan police have deployed additional officers to patrol key locations and the transport network, and Border Force efforts have been intensified It is too soon yet to comment on the details of these attacks, which are still emerging, but the Government would reiterate that the UK threat level remains at “severe”, meaning that an attack is highly likely. We would urge the British people to remain vigilant, and the Home Secretary will keep the House updated. But let us be clear: terrorists seek to threaten our values and our way of life, and they will never succeed. It is a reminder of what a precious thing our democracy is, and this Budget debate is part of that democratic process This is the first time in 20 years that a Chancellor has spoken on the last day of the Budget debate, and I think it is fair to say that we have had a livelier debate about this Budget than about many. Let us be clear: the key principles behind this Budget are that if we are going to deliver a strong and compassionate society for the next generation, we have to live within our means, we have to back business to create jobs and we have to make sure work pays by putting more money into the pockets of working people. That is what we committed to in our manifesto. That is what the British people elected us to deliver. That is what this Budget does, and that is what we are going to vote on tonight.
ParlaMint-GB_2016-03-22-commons.u175	I will give way in a moment, but let me straightaway address the resignation of my right hon. Friend the Member for Chingford and Woodford Green (Mr Duncan Smith). I am sorry that my right hon. Friend chose to leave the Government. Let me here, in this House, recognise his achievements in helping to make work pay, protecting the vulnerable and breaking the decades-old cycle of welfare dependency. Together, we had to confront a huge deficit and uncontrolled welfare spending. Of course, there is always robust discussion between the Treasury and the spending Departments when money needs to be saved. The decisions we make to keep our economy secure are always difficult, and where we do not get them right, I have always been prepared to listen and learn I am very proud that my right hon. Friend and I worked together longer than any two people who have done our jobs before us in any Government, and we have been part of the team that has reduced the number of people on out-of-work benefits to levels not seen for 40 years, reduced inequality, seen poverty fall, seen child poverty fall and seen pensioner poverty fall, and got a record number of people into work—a long-term economic plan and welfare reform delivering a fairer society for all.
ParlaMint-GB_2016-03-22-commons.u176	I am grateful to the Chancellor for giving way. It is less than a week since he stood up to deliver the Budget and made that decision affecting disability independence payments—something that upset many hundreds of thousands of people across this country. He has made a welcome U-turn, but should not he now acknowledge that that decision was a mistake that he should say sorry for?
ParlaMint-GB_2016-03-22-commons.u177	I am going to come on to speak about the disability benefits and our way forward, but I have made it very clear—I have just said it—that where we have made a mistake, where we have got things wrong, we listen and we learn. That is precisely what we have done. Where is the apology from the Labour party for the things that they got wrong? Why don’t they take a leaf out of that book? Why don’t they get up and apologise for the countless decisions that added to the deficit—that bankrupted our country? The progress we have made on social justice did not happen by accident. It happened because we in this Government set out to turn our economy around, to control spending, to back business and, yes, to reform welfare.
ParlaMint-GB_2016-03-22-commons.u178	Will the Chancellor give way?
ParlaMint-GB_2016-03-22-commons.u179	I will give way in a moment to my former partner in the coalition Government that undertook many of these welfare reforms. The reform has meant difficult decisions to strengthen the incentives to find work and the sanctions for not doing so; to make sure that every hour extra that people work is rewarded, instead of seeing them trapped in dependency; and to cap benefit payments so that our welfare system is fair both to those who need it and to those who pay for it. It has not been easy, and it has often been opposed, but the truth is that many of the acts of progressive social change that we seek to achieve in government are difficult and they are opposed. In any democracy, you have to fight to make lasting improvements in society, and that is what we have done.
ParlaMint-GB_2016-03-22-commons.u180	I thank the Chancellor for giving way, and I want to associate myself with the remarks that he made earlier about the appalling situation in Brussels Does the Chancellor agree with me that the one thing that is more dangerous for our economy than his remaining Chancellor is that we might leave the European Union; and does he agree that his being called out by his former colleague as acting not in the economic interests of the country, but in a short-term political way, introduces a risk that the referendum will be a referendum on him, not on the future of our role in Europe? Will he act in the national interest and resign?
ParlaMint-GB_2016-03-22-commons.u181	May I remind Members that interventions should be brief? We want to hear from both Front Benchers, and I want to hear from dozens of Back Benchers. I repeat that interventions should be brief.
ParlaMint-GB_2016-03-22-commons.u182	That was like one of those interminable interventions at ECOFIN. I happen to think that it is better to be in that council than not, but that is a debate for another day. We are talking here about the reforms we are making to welfare and to our economy.
ParlaMint-GB_2016-03-22-commons.u183	I am grateful to the Chancellor for giving way. Is he aware that had he stuck with Labour’s plans for fuel duty, a litre of petrol would cost 18p more than it does? Has he assessed what impact that would have on the lowest-earning people in our society?
ParlaMint-GB_2016-03-22-commons.u184	My hon. Friend is absolutely right. If we had stuck with the fuel duty escalator that we inherited from the last Government, it would have cost much more to fill up a car, which would have cost small businesses much more. We took action in this Budget to freeze fuel duty for the sixth year in a row, because we are on the side of working people.
ParlaMint-GB_2016-03-22-commons.u185	To put this debate in context, would my right hon. Friend like to share with the House, in both financial and non-financial terms, how much help this Government have given to assist the sick and the disabled since May 2010?
ParlaMint-GB_2016-03-22-commons.u186	I am coming on to talk about disability benefits, but my right hon. Friend is absolutely right to draw attention to the support we give—close to £50 billion—to disabled people. When we look just at the disability benefits, disability living allowance and personal independence payment, we see that that support has gone up from £13 billion when we came into office to £16 billion today, and it will go up to £18 billion in the future. As my excellent right hon. Friend for Preseli Pembrokeshire (Stephen Crabb), the new Welfare Secretary, made clear yesterday, we continue to give support to disabled people. I will come on to deal with that in detail.
ParlaMint-GB_2016-03-22-commons.u187	The Chancellor boasted when he opened the debate that this was the first time a Chancellor had opened the final day of a Budget debate. He will know that that is because it is also the first time a Chancellor has had to drop the biggest revenue raiser in his Budget within two days of announcing it. The former Work and Pensions Secretary, who has just resigned and to whom the Chancellor paid great tribute, described the Budget as “deeply unfair” and “drifting” in a wrong direction that will divide the country, not unite it. He said all those words after the Chancellor announced that he was ditching the PIP cuts. Is the former Work and Pensions Secretary deluded?
ParlaMint-GB_2016-03-22-commons.u188	I am glad that the right hon. Lady intervened, because I have done a little research and, frankly, I wish that when she was the Chief Secretary to the Treasury we had seen a few more revenue raisers in Budgets, such as savings in welfare and savings in public expenditure. During the period in which she was the Chief Secretary, the deficit went from £76 billion a year to £154 billion a year. The measures that my right hon. Friend and I have been taking over the last six years are to clear up the mess that she and her colleagues in government left.
ParlaMint-GB_2016-03-22-commons.u189	Let me make a little more progress, and then I will come back. The proof that these difficult changes are worth while—
ParlaMint-GB_2016-03-22-commons.u190	Will the Chancellor give way?
ParlaMint-GB_2016-03-22-commons.u191	I will give way to the right hon. Lady. I have said that when we have made a mistake, we have listened and learned. When is she going to apologise and say that she made mistakes and her colleagues made mistakes during that period in government, which is what we have been clearing up for the last six years?
ParlaMint-GB_2016-03-22-commons.u192	The Chancellor did not address the issue of the unfairness of his Budget, so will he address the issue of the revenue behind his Budget? He has abandoned £4.4 billion in revenue raisers from his Budget. Where is that money going to come from, or will he change the scorecard that he set out?
ParlaMint-GB_2016-03-22-commons.u193	I will tell you what is unfair: to saddle the next generation with debts you have no way of paying off. That is what the right hon. Lady did. [Interruption.] That is what she did. I will come on specifically to disability benefits, but let me tell her about fairness and what we have done over the last six years. We have taken action that means 500,000 fewer children are growing up in workless households than when she was at the Treasury, 1 million fewer people are on out-of-work benefits and over 2 million more people are in work than when we came to office. That is the social justice record we on this side of the House are proud of I am also proud that the work continues, and in this Budget we are taking further steps to build a stronger society. There is money and reform to improve our nation’s schools. There is action to reduce sugar intake and give our children better healthcare. There is support for the savings of low-income families. There is more help and housing for homeless people. There are personal allowance increases that will lift another 1 million of the low-paid out of income tax altogether, and there is an increased minimum wage ahead of the introduction of the first ever national living wage in just two weeks’ time. Those are all in the Budget we will debate today—all the actions of a compassionate, one nation Conservative Government determined to deliver both social justice and economic security.
ParlaMint-GB_2016-03-22-commons.u194	The new Secretary of State for Work and Pensions said yesterday, in his first statement, that the Government would not be making any further cuts to welfare during this Parliament, but later on he said that there were “no plans” to make further cuts to welfare during this Parliament. Will the Chancellor now confirm, for the sake of disabled people and others, that there will be no further cuts to the welfare budget in this Parliament?
ParlaMint-GB_2016-03-22-commons.u195	Yesterday, my right hon. Friend the Secretary of State gave exactly the Government’s position, which is that, “we have no further plans to make welfare savings beyond the very substantial savings legislated for by Parliament two weeks ago, which we will…now focus on implementing.”—[Official Report, 21 March 2016; Vol. 607, c. 1268.] I will now address the specific issue of welfare savings and disability, but I should have thought that the hon. Lady, when she got to her feet, might have thanked the Government for delivering the flood defence schemes that she asked for for her city, and which were in the Budget statement a week ago Let me turn to the disability benefits. We are proud that this Government are providing more support to the most disabled people. It was very clear that while the reforms proposed to personal independence payments two weeks ago drew on the work of an independent review, they did not command support. We have listened, and they will not go ahead. Even if they had, this Government are spending more on disabled people than the previous Labour Government ever did People have asked what this means for future support for disabled people, for our welfare cap and for the numbers in the Budget. Let me directly address all three points.
ParlaMint-GB_2016-03-22-commons.u196	Let me address these points, and then I am happy to take interventions. First, over 3 million disabled people are now in work, which is 300,000 more than just a couple of years ago. We are also providing more support than ever before for the most disabled people. The budget has risen, will continue to rise and is much greater than the one we inherited. We are going to take our time, listen, consult widely and continue to build a system of disability support that works much better with our health and social services. As my right hon. Friend the Secretary of State said in his excellent statement yesterday, we will continue to support disabled people, and we will work with him to make sure that we do.
ParlaMint-GB_2016-03-22-commons.u197	Does the Chancellor agree with me that we can be a compassionate Conservative Government only if we have a strong, stable economy, with a reduced deficit, to enable us to protect the most vulnerable in society?
ParlaMint-GB_2016-03-22-commons.u198	My hon. Friend is absolutely right. I was coming on to make precisely that point.
ParlaMint-GB_2016-03-22-commons.u199	Let me deal with the measures we are taking to control spending, and then I will take some interventions The welfare cap is the instrument we have introduced to set out, in a transparent way to Parliament, what we aim to spend on welfare. It is independently judged by the Office for Budget Responsibility every autumn, which is when we either have to comply with the cap or explain to Parliament and the country why we have not done so. I find it incredible to hear Labour Members protesting about the welfare cap. It never existed at all under a Labour Government: there was no cap, no control on the largest area of Government spending, no transparency, no independent forecast, and as a result, welfare costs soared by 60% and the country was brought to the brink of bankruptcy.
ParlaMint-GB_2016-03-22-commons.u200	On Friday afternoon a couple, Mr and Mrs Ford, came to visit me at my surgery. Mr Ford, who is in a wheelchair, is unable to feed himself, dress himself or do anything for himself. They live on £559 a month in PIP, plus £63 per week in carer’s allowance. They still have a mortgage to pay. They have clocked up 80 years of national insurance contributions between them. They ask the simple question, “How are we meant to cope?” They were in a real state of distress. Will the Chancellor please now apologise to such people for the distress that he has caused?
ParlaMint-GB_2016-03-22-commons.u201	I have already said that we are not going ahead with those changes. [Interruption.] I have addressed these issues. The truth is that that family and many more families are getting increased support under this Government. We would not be able to provide any of that support unless we had a strong economy and we controlled public spending, because the people who suffer most when the economy—[Interruption.]
ParlaMint-GB_2016-03-22-commons.u202	Order. I apologise for having to interrupt the Chancellor. [Interruption.] Order. Members are yelling—in some cases, from sedentary positions—very noisily. If people put questions to the Chancellor, they must leave him to respond. The same will go for Government Back Benchers when they no doubt challenge Members speaking from the Opposition Benches. Let us try to restore some sort of order to this debate.
ParlaMint-GB_2016-03-22-commons.u203	Mr Speaker—
ParlaMint-GB_2016-03-22-commons.u204	Will my right hon. Friend give way?
ParlaMint-GB_2016-03-22-commons.u205	Of course.
ParlaMint-GB_2016-03-22-commons.u206	Will the Chancellor confirm to the House that this Government are spending £2 billion more on support for the disabled, that inequality is at its lowest rate for 25 years according to the Institute for Fiscal Studies and that there are 2 million more people in work thanks to this Government? Is that not what we are doing for the vulnerable?
ParlaMint-GB_2016-03-22-commons.u207	My hon. Friend is absolutely right: more people in work, reduced inequality, reduced poverty, more disabled people in work and, by the way, we got in a freeze on beer duty as well.
ParlaMint-GB_2016-03-22-commons.u208	Let me make a little progress, and then I will give way again Not proceeding with the PIP changes means that spending on disabled people will be just over £1 billion a year higher by the end of the decade than was set out in the Budget. This will be an important factor, but only one of many, that will affect the overall forecast for welfare that the OBR will make in the autumn—
ParlaMint-GB_2016-03-22-commons.u209	I am going to make some progress At that point, we will assess the level of the cap. What my right hon. Friend the new Work and Pensions Secretary said yesterday, with my full support, is that we do not have further plans to make welfare savings to replace the £1 billion more we will spend on PIP. We made very substantial savings in the Welfare Reform and Work Act 2016, which has just passed through Parliament. We have now legislated for the £12 billion a year of working-age welfare savings we committed to in our manifesto, and we are now going to focus on implementing that.
ParlaMint-GB_2016-03-22-commons.u210	Before I give way, let me say this about benefits to pensioners because it has been raised. People say to me that we are not saving enough from pensioners while, in the same breath, complaining about everything from long-term increases in the state pension age—to keep pace with rising life expectancy—to restrictions on the lifetime allowances for the largest pension pots. The truth is that we have made substantial savings from pensioner welfare—£500 billion of savings—which are vital to the long-term sustainability of our public finances, but we have made these savings in a way that enables us to go on giving people who have worked hard all their lives a decent, generous basic state pension. We committed to that in our manifesto, and I am not going to take it away from people.
ParlaMint-GB_2016-03-22-commons.u211	Does the Chancellor accept that poorer people spend a much higher proportion, if not all, of their income, while richer people save? Does he not accept that his Budget, which has transferred money from poor people to rich people—it is a sheriff of Nottingham Budget, robbing the poor to pay the rich—will undermine growth and deficit reduction, which is wrong both morally and economically?
ParlaMint-GB_2016-03-22-commons.u212	Under this Government, the richest 1% are paying a higher proportion of income tax receipts than in any single year of the last Labour Government whom the hon. Gentleman used to support when he was a Member of Parliament for Croydon—until he was replaced by a much better Member of Parliament for Croydon.
ParlaMint-GB_2016-03-22-commons.u213	Let me make progress, and then perhaps I will take more interventions. On the Budget numbers, I find it ironic to receive all these expressions of concern from Labour Members about making the sums add up when they presided over the biggest single fiscal fiasco in the country’s history and have a black hole in their current plans so large that it would break the Hadron collider.
ParlaMint-GB_2016-03-22-commons.u214	I will give way in a moment, but let me make this point. The central fiscal judgment of the Budget, and of this Government, is clear: borrowing has been cut from £155 billion when we came to office to £55 billion next year, and there have been falls every year; and higher spending on people with disabilities will be reflected in the autumn statement forecast, and we do not propose to make any further changes ahead of that. We can afford to absorb such changes when we are getting public spending under control, and we can make those changes and still achieve a sensible surplus of 0.5% of GDP by 2019-20. In short, we will go on delivering the economic security that this country elected us to provide.
ParlaMint-GB_2016-03-22-commons.u215	Talking of Labour fiascos, may I remind the House of Gordon Brown’s 10p tax fiasco? We have taken 3 million of the lowest paid workers out of tax altogether.
ParlaMint-GB_2016-03-22-commons.u216	My hon. Friend is absolutely right—what a contrast! This Government turned the 10p tax into 0p as we raised the personal allowance and took the poorest out of tax altogether.
ParlaMint-GB_2016-03-22-commons.u217	If it has been relatively simple to absorb this change, why on earth did the Chancellor introduce it in the first place and frighten the life out of seriously disabled people in this country? People were terrified about what was being proposed, yet the Chancellor has just said that we can absorb this change easily. Why did he do it in the first place?
ParlaMint-GB_2016-03-22-commons.u218	If we take no decisions to control welfare spending and public expenditure, we destroy the nation’s finances, and the people who suffer are precisely the most vulnerable in society. Yes, we have taken difficult decisions, but where we have not got them right, we have listened and we have learned. If we had not taken those decisions, the country would be in an even bigger mess than the one we inherited.
ParlaMint-GB_2016-03-22-commons.u219	The Chancellor mentions security, including for the poor. Does he realise that until Monday, 340,000 people on PIP were worried that their benefits were going to be cut? If he just apologised and changed that, we could move on and discuss the economics.
ParlaMint-GB_2016-03-22-commons.u220	I could not have been clearer. I said that we listened, we learned, we made a mistake, and we withdrew the proposals. The hon. Gentleman talks about days of the week, and Thursday would have been the day when Scotland separated from the United Kingdom if the nationalists had had their way. They would have plunged that new country into a fiscal crisis the likes of which few western countries have ever seen. They would have impoverished the Scottish people and driven businesses away. They based all their numbers on oil revenue forecasts that were totally fanciful, and it is time that they got up and apologised for leading the Scottish people into that potential trap. Thankfully, the Scottish people thought better.
ParlaMint-GB_2016-03-22-commons.u221	Let me make some progress. We have taken difficult decisions to control public expenditure and reduce a crippling budget deficit.
ParlaMint-GB_2016-03-22-commons.u222	rose—
ParlaMint-GB_2016-03-22-commons.u223	I have given way twice to the right hon. Lady so I will now make progress and explain what we have done to clear up the mess she left. We took more decisions last week in the Budget, but we will also implement these decisions today to ensure that the work of reducing our deficit is done fairly, and that we ask more from the well-off. Look through the measures. They include provisions on dividends, lifetime pension allowances, stamp duty on second properties, banks and hedge funds, and a host of measures to tackle evasion and avoidance. The Institute for Fiscal Studies has been quoted a lot over the past four days in the Budget debates, and its head stated that “the very highest earners have seen significant tax increases” I think that has been a reasonable thing to ask of the most well-off when faced with such a budget deficit, because we are all in this together.
ParlaMint-GB_2016-03-22-commons.u224	On personal economic security, during the Chancellor’s Budget statement, my constituent Dan Ball, who is aged 19 and from Amington, tweeted to say, “This lifetime ISA—where can I get one?” Does that not demonstrate that young people up and down the country see in this Budget an opportunity for their generation to save?
ParlaMint-GB_2016-03-22-commons.u225	My hon. Friend is right to raise his constituent’s concerns about where he can get hold of the new lifetime ISA. It will be coming in from April next year, but his constituent can open a Help to Buy ISA now, roll it into the new lifetime ISA when it becomes available, keep the Government bonus, choose to save for a home or a pension, and not have to face the agonising choice that so many people have faced in the past. It is part of a Budget that backs savers.
ParlaMint-GB_2016-03-22-commons.u226	Let me make a little progress and then I will take more interventions. It is a classic socialist illusion to think that we can solve all society’s problems with taxes on the very richest, and it is the age-old excuse for not managing public spending or welfare costs. That brings me to a central point that I want to make to the House today: there is not some inherent conflict between delivering social justice and the savings required to deliver sound public finances—they are one and the same thing. Without sound public finances, there is no social justice.
ParlaMint-GB_2016-03-22-commons.u227	rose—
ParlaMint-GB_2016-03-22-commons.u228	I will give way in a moment to the Member for the taxi business It is the easiest thing in the world to do this job and say yes to every new demand for Government spending and to please all the people all of the time, but we know where that leads. We know that because before me we had a Chancellor who spent a whole decade going around the country saying yes to even more spending and ever higher welfare bills, and we know what happened then: it brought our country to the brink of collapse. That was not compassion; it was economic cruelty, and the people who paid the price are those who always pay the price when Government spending gets out of control and welfare bills spiral. It was not the politicians at the time who paid the price—no, they are happily sitting on the Opposition Benches; it was the poorest who paid the price and the most vulnerable who suffered. Those people lost their jobs and had their livelihoods snatched from them, and those are the people I am fighting for—real, decent, hard-working people, not numbers on a Treasury spreadsheet: people whose lives would be impoverished, and whose hopes and aspirations would be crushed, if we had gone on spending more and more than the country earns. Getting things right for those people is what I am all about, and that weighs on every decision that I have taken as Chancellor over the past six years. Those are the people whom we in the Conservative party have been elected to serve.
ParlaMint-GB_2016-03-22-commons.u229	The Chancellor rightly talks about learning lessons, but it is also important to have clarity about the future. The Government line seems to be that there are no plans to further reduce the welfare budget, but yesterday the Secretary of State for Work and Pensions said in the House “we will not be seeking alternative offsetting savings”, and that “the Government will not be coming forward with further proposals for welfare savings.”—[Official Report, 21 March 2016; Vol. 607, c. 1279-86.] Will there be further welfare cuts or not? What is the answer? The Chancellor has not offered any clarity this afternoon.
ParlaMint-GB_2016-03-22-commons.u230	That is exactly the position set out by my right hon. Friend the Secretary of State, and agreed by me and the Prime Minister. We understand that if we do not control spending, we will have a fiscal crisis. Because we are controlling spending and have passed difficult welfare legislation in recent months, the deficit is coming down and we are delivering economic security.
ParlaMint-GB_2016-03-22-commons.u231	Given what the Chancellor just said about the importance of fiscal responsibility, will he confirm that, had he listened to the advice of the Labour party over the past five years, our national debt would be £900 billion higher?
