ParlaMint-GB_2016-01-07-commons.u1	2. What steps she is taking to reduce the level of fuel poverty.
ParlaMint-GB_2016-01-07-commons.u152	Successful local businesses in Eagle Tower, a prominent office building in my constituency, have recently been informed that they will have to vacate so that floors can be converted under so-called permitted development rights. May we have a debate to consider whether the planning system affords adequate protection to high-quality occupied business space, which is vital for generating jobs in places like Cheltenham?
ParlaMint-GB_2016-01-07-commons.u153	I understand the concerns my hon. Friend raises. The change we have brought forward has been to ensure that redundant office buildings, which exist in many parts of the country, can be quickly used for residential purposes given the nature of the housing challenge we face in this country. We all agree that we need to step up house building and make more housing available. However, I take note of what my hon. Friend says. He will shortly have an opportunity to question the Secretary of State for Communities and Local Government. My hon. Friend makes a valid point, but I do think this is a policy we need in order to make sure that there are no empty commercial buildings while people are struggling to get on the housing ladder.
ParlaMint-GB_2016-01-07-commons.u154	I thank the Leader of the House for announcing the business for next week. May I too take this opportunity to properly wish you a happy new year, Mr Speaker, and extend that to all the staff who work so diligently on our behalf throughout the course of the year? On behalf of the Scottish National party, may I congratulate Kamal El-Hajji, who has the notoriety of being the first BME Serjeant at Arms this House has ever had? We wish all the best to Kamal in his duties and responsibilities in the future I think this is going to be a fantastic year. It is going to be a particularly good year for the SNP anyway. We start the new year pretty much as we ended the old year, with divisions in both the Conservative and Labour parties. For the Conservatives, of course, it is over Europe, as usual. I know that the Leader of the House is looking forward to campaigning for his cherished Brexit. At least he will have that option, whereas Scotland as a nation might be taken out of the European Union against our will. That is going to be a massive issue for us. And the Labour party is divided on just about everything else. As it descends into a civil war of the total, intractable, take-no-prisoners variety, I think it is about time to send in some sort of international peace envoy, because somebody needs to rescue them from themselves This week’s business has been dominated by the flooding, which has impacted on virtually every constituency in this nation. Much of my constituency, which has the biggest river system in the United Kingdom, remains under water. There has been massive disappointment throughout the country at the tone of the debate on this, however; I think the nation expected better. Given the tragedy that we have observed over the course of the past few weeks, the House has not risen to the occasion. All the debates have been of a partisan, point-scoring variety, but there will be many more debates on the subject and I appeal to Members to debate it properly, consensually and constructively—in the way that we have heard from the Scottish National party when we have addressed the issue in this House. I really hope that we can achieve that I was listening to the Chancellor this morning. What has happened to him? Has he had a miserable Christmas and new year? After all the cheeriness of the autumn statement, there is nothing but doom and gloom today. Perhaps it is just a bit of uncharacteristic honesty as he makes a proper assessment of the fortunes of the United Kingdom as we face international pressures. It is just as well, then, that the SNP is offering an economic debate next week. I do not know whether it will be a happy Chancellor or a gloomy Chancellor who turns up to it, but we should find out what is ailing him and offer him some proper economic medicine Immediately after business questions, we will be debating the appalling and unfair changes to the state pension age imposed on women born after April 1951, and the Women Against State Pension Inequality—WASPI—campaign. I am delighted that the youngest Member, the baby of the House, my hon. Friend the Member for Paisley and Renfrewshire South (Mhairi Black), will be leading that debate. Many of our constituents have been caught up in this pernicious trap, and they are hoping to hear something positive when the Minister responds today. Let us hope that the Government will do the right thing for all those women caught in that appalling pensions trap This is going to be a massive year, and if the Government think they can just put their feet up and observe the chaos in the Labour party, they will have to think again. They will have a united Opposition, here on the Scottish National party Benches. We will ensure that the Government are properly held to account. If Labour is not up to the job, we most definitely will be.
ParlaMint-GB_2016-01-07-commons.u155	First, let me wish the hon. Gentleman and his colleagues a happy new year. I hope they all had an enjoyable Hogmanay—I am sure they did—and it is good to see the hon. Gentleman back in the House. I have to tell him that we are going to disagree on many things this year, as we always do, but I agree with him on his final point. There has been an utter shambles in the Labour party. In fact, there is one thing that has not been a shambles, and I should have congratulated the Government Chief Whip—[Hon. Members: “Oh!”]—I mean the Opposition Chief Whip on her well-deserved honour. The right hon. Member for Doncaster Central (Dame Rosie Winterton) has been an excellent servant of this House, in opposition and in government, and this honour has been welcomed on both sides of the House. I offer her my sincere congratulations.
ParlaMint-GB_2016-01-07-commons.u156	What about North West Norfolk?
ParlaMint-GB_2016-01-07-commons.u157	The shadow Leader of the House can never resist talking in this place. More than anyone else, he likes the sound of his own voice. He cannot stop talking. If he will just be patient, I was about to say that I am also delighted by the honour that has been awarded to my hon. Friend the Member for North West Norfolk (Sir Henry Bellingham). That, too, is well deserved. He is a long-standing and distinguished Member of the House. Both he and the right hon. Member for Doncaster Central very much deserve their recognition in the new year’s honours list, and I apologise for not saying so earlier The spokesman for the Scottish nationalists and I clearly agree that there has been an utter shambles in the Labour party. We are now on day four, and it still has not finished making appointments. I notice that the shadow Leader of the House’s Parliamentary Private Secretary seems to have disappeared, so perhaps he is in the process of being moved around—
ParlaMint-GB_2016-01-07-commons.u158	I am here!
ParlaMint-GB_2016-01-07-commons.u159	Ah, I beg his pardon. He is not sitting in his usual place. But you couldn’t make up the idea of a reshuffle that lasts for four days. It is a sign of how utterly incompetent the Opposition are. That said, the hon. Member for Perth and North Perthshire (Pete Wishart) is back on some of his usual themes this week. I just remind him that the United Kingdom will vote on our future in the European Union, and Scotland voted to be a part of the United Kingdom. I know he has never quite adjusted to or accepted that reality, but none the less the reality is that Scotland chose to be part of the United Kingdom and we will vote as one United Kingdom On the economy, the Chancellor is prudently talking about some of the challenges we face internationally. I remind the hon. Gentleman that unemployment—the number of people claiming jobseeker’s allowance in this country—has almost halved since 2010; the number of children growing up in workless households has fallen by more than half a million; and the level of employment in this country has mushroomed under this Government. He should look across the House and at what the Government have done over the past five years and say, “These are people who have delivered for this country and will carry on delivering for this country.” The hon. Gentleman also talked about the floods, and I pay tribute to everyone in Scotland, too. I know that south-west Scotland, in particular, was badly affected. The emergency services, the local authorities and all those involved in south-west Scotland did an excellent job. I commend the Members of Parliament in the areas affected for the work they have done. It was a distressing period for this country and I hope that those communities can get themselves back together shortly. I shall look forward across the course of this year, as ever, to our usual amicable debate. We will not agree on most things, but I always enjoy seeing him in this place and I look forward to a year of repartee.
ParlaMint-GB_2016-01-07-commons.u160	You will recall, Mr Speaker, that in October the Administration Committee, on which I serve, nodded through an altogether unwelcome recommendation from the House of Lords that we should abandon the centuries-old tradition in this place of recording Acts of Parliament on vellum. By abolishing that tradition we are also putting out of work a number of workers in Milton Keynes, who are the last remaining experts in this matter. You will recall that in answering a point of order, you made it clear that “for the recommendation…to be implemented, the matter would have to be brought to the Floor of the House, as it was in 1999.”—[Official Report, 26 October 2015; Vol. 601, c. 39.] You made it plain that this could not proceed unless the matter were debated here in the House of Commons on a substantive motion. Will the Leader of the House therefore tell me whether the Government have any plans to make time available for such a debate? Will he confirm that if they do not and there is no such debate on the matter on the Floor of the House of Commons, the recommendation cannot go ahead?
ParlaMint-GB_2016-01-07-commons.u161	That is a matter for discussion by the relevant Committees, and it is on their agenda. As of today, I have had no request to make time available for a debate about it. This is of course a difficult decision; there is a balance to be found between maintaining traditions of this House and this country, and making sure that what we do is cost-effective. It is a matter for lively debate and I am not aware that any final decision has been reached.
ParlaMint-GB_2016-01-07-commons.u162	May we have a debate, perhaps in Government time or as Back-Bench business, on flooding—[Hon. Members: “There was one yesterday!”]—with a particular focus on the resilience of major critical infrastructure assets? A quarter of all bridges, 10% of all emergency stations and 6% of hospitals are in areas susceptible to flooding. The last flood resilience review did not report to Parliament, because of national security issues. Can the Leader of the House ensure that the next flood resilience review, which is about to be carried out, does report to this place and is dealt with by the Intelligence and Security Committee, and that we treat the issue as the national security threat that it actually is?
ParlaMint-GB_2016-01-07-commons.u163	One thing we are going to have to do is learn lessons from the flooding, and issues have arisen. For example, mobile phone networks have come down in areas of the country because key parts have been affected by the floods. These things are already being looked at carefully in the Cabinet Office and in government. We had the debate yesterday and there will be further opportunities to discuss this issue in future, but I assure the hon. Lady that work is taking place to make sure that lessons arising from the most recent floods are learned and that we do everything we can to protect our critical national infrastructure—she is right.
ParlaMint-GB_2016-01-07-commons.u164	May we have a debate on the effect of air pollution on health and the action needed to deal with it? About 7 million people world wide are dying each year because of the effects of air pollution, and locally we face terrible consequences arising from standing traffic, including in my constituency.
ParlaMint-GB_2016-01-07-commons.u165	I know that my hon. Friend has been a tireless campaigner since her election on trying to secure local improvements, and that she has campaigned on the issue of the Chickenhall Lane link road in her constituency and will carry on doing so. Many of these decisions are now taken locally, in discussions with county councils about what projects should be prioritised for the future, but we will continue to look for ways of investing nationally and providing financial support for local and regional authorities to ensure that we provide the improvements to infrastructure that we need to keep the traffic flowing and to ease the kind of air pollution pressures that come from long traffic jams.
ParlaMint-GB_2016-01-07-commons.u166	I thank the Leader of the House for the business statement and for notice of the two days of Backbench Business Committee debates to be held on 14 and 21 January. I am glad to say that, before the Christmas recess, we were pretty much up to date with our waiting list of debates to be tabled, and we now have almost a clear deck. I am therefore putting out an appeal to hon. Members across the House for applications for business on those two days.
ParlaMint-GB_2016-01-07-commons.u167	I commend the hon. Gentleman and his Committee for the work that they do. I also echo what he says. For the Backbench Business Committee system to work well, we do need colleagues from all parts of the House to come forward with topics for debate. In recent weeks, we have seen requests for the traditional annual debates on veterans, policing and so on. It is very much my hope that those traditions will continue, so I encourage Members to go through the appropriate channel of the Backbench Business Committee, where I suspect there will be a receptive ear.
ParlaMint-GB_2016-01-07-commons.u168	Is the Leader of the House aware that the European Commission is attempting for the third time to impose damaging and wasteful regulations on the UK’s ports? Employers and workers’ representatives agree that those measures will damage investment and jobs. The European Scrutiny Committee, of which I am a member, has called for the measures to be debated on the Floor of the House, not in Committee. Will he look urgently at that matter and ensure that it is properly scrutinised by the whole House?
ParlaMint-GB_2016-01-07-commons.u169	I am aware of the issue. In the past couple of days I have had a number of discussions with colleagues who represent ports and who have particular concerns about the matter. The Chief Whip and I are considering those representations. I can assure my hon. Friend that that matter is on our agenda. We must ensure that we get it right. The Prime Minister is absolutely right when he talks about the need for deregulation and subsidiarity in Europe. It is not entirely clear to me why we should have European regulation of our ports anyway, and it certainly has to be the right regulation if it has to happen at all.
ParlaMint-GB_2016-01-07-commons.u170	The Leader of the House will be delighted to know that the “Rough Guide” has put Hull in the top 10 cities of the world to visit, alongside Vancouver and Amsterdam. [Interruption.] I can see that he is delighted by that, given the comments that he is making to the Government Chief Whip. On that basis, can we please have a statement from the Minister responsible for local growth and the northern powerhouse, the hon. Member for Stockton South (James Wharton), in order to discuss how to improve transport links to a global city and the UK city of culture 2017, including electrifying the railway lines and scrapping the tolls on the Humber bridge?
ParlaMint-GB_2016-01-07-commons.u171	First, let me congratulate the hon. Lady and all the people of Hull on a remarkable achievement. It is always a matter of pride to this country when one of our great cities receives worldwide acclamation. We can all be proud of Hull’s achievement. We should also be proud of Hull’s preparations for the city of culture year. It promises to be a great year for the city. I know that my colleagues in different parts of the Government will do what they can to help ensure that, for the people and the authorities in Hull, it is a moment of great historic importance and great enjoyment.
ParlaMint-GB_2016-01-07-commons.u172	The Prime Minister has quite rightly made the decision that all Members on the Government Benches can speak with their conscience over the European debate. Given that, can we have a series of debates on the European Union and what it will mean for this country come the referendum, so that people will be aware of what they can and cannot vote for and why they should vote with their conscience, as we will?
ParlaMint-GB_2016-01-07-commons.u173	I suspect that we will have extensive debates on the matter in this House and around the country over the next few months, and rightly so. It is perhaps the key issue for our generation. The disappointing thing is that, while there appears to be debate in much of the country, there seems to be very little debate coming from the Opposition Benches. Labour Members do not know what they stand for and they are not interested in engaging in debate. They call for a reformed European Union, but they will not say what they are prepared to reform.
ParlaMint-GB_2016-01-07-commons.u174	First, may I thank the Leader of the House for his kind comments about Arlene Foster’s election as the leader of the Democratic Unionist party and her shortly becoming the First Minister? We look forward to a confident, brighter future in Northern Ireland, taking everybody forward together The Leader of the House will be aware, because I know he is interested in the matter, of the High Court decision to grant a buzzard control licence, which took five years to happen. In light of that decision, will he agree to a statement being made in the House to ensure that all future applications for buzzard control licences will be looked upon sympathetically under the criteria that exist?
ParlaMint-GB_2016-01-07-commons.u175	The hon. Gentleman makes an important point. I will ensure that the Secretary of State responsible takes a look at that and writes to him with a proper response.
ParlaMint-GB_2016-01-07-commons.u176	As somebody who is interested in international development, Mr Speaker, you will be interested to know that I have just returned from Uganda, where I looked at the terrible situation of the malaria epidemic in the north of the country. May we have a debate on the health systems in Uganda, which are failing people? Mothers and children are dying from malaria, which should not be happening in this day and age. May we have an urgent debate in the House to discuss the situation?
ParlaMint-GB_2016-01-07-commons.u177	First, I commend my hon. Friend for her work. Malaria is a scourge in many parts of the world and is particularly bad in Uganda at the moment. It is a terrible disease that can cost the lives of young people and blight communities. She makes an important point, and I know that she is looking for a debate on Uganda in the House. Of course, a broader debate on the global impact of malaria will take place in the House in the near future, but she makes a good point that the situation in Uganda merits attention in the House. I hope that the fact that we are as prominent a donor of international aid as any country in the world will enable us to do something to help Uganda, a country with which we have historic ties.
ParlaMint-GB_2016-01-07-commons.u178	When can we debate whether Parliament is slipping back into its bad old ways that led to the expenses scandal? In recent cases involving Malcolm Rifkind, Jack Straw, Tim Yeo and Lord Blencathra, bodies in this House took lenient decisions but independent voices outside, including a court and Ofcom, took harsh decisions. The Committee that adjudicated on Lord Blencathra was chaired by Lord Sewel, who now has his own difficulties. If we do not look at the fact that the Advisory Committee on Business Appointments, which is meant to be a watchdog, is in fact a toothless pussycat, and at the uselessness of the Independent Parliamentary Standards Authority, which is an expensive ornament, is there not a grave danger that we will slip back and have new scandals in the future?
ParlaMint-GB_2016-01-07-commons.u179	I think we probably now have the most regulated system of operation of any Parliament in the whole of Europe. Cases can always be made for improving the situation—I am not going to discuss individual Members of this House or the House of Lords—but there are proper processes in the House for making representations on change and improvements, particularly through the Committee on Standards, which has responsibility for deciding not only on individual cases but on the overall approach. I am sure the hon. Gentleman will make representations to that Committee.
ParlaMint-GB_2016-01-07-commons.u180	This Christmas, news headlines were dominated by the floods. Obviously I am concerned about the amount of wildlife that has been lost, including hedgehogs Although Plymouth has not faced the type of problems that saw the railway line at Dawlish washed away, over the past two years the walls have been falling into the sea at both Devil’s Point and Devonport in my constituency. May we have a statement from the Government about how local authorities can apply for money to look after their heritage?
ParlaMint-GB_2016-01-07-commons.u181	I saw over Christmas that my hon. Friend has continued his valuable campaign on protecting the hedgehog, and I have no doubt that we will hear a lot more about that work in the coming months. I know that last year the impact of the floods was very much about the south-west, and this year it is about challenges further north. It is important that we learn lessons, and we have ensured that we have made compensation available to communities affected by flooding. Of course, there are various mechanisms and funds available to local communities for the protection of historic buildings and sites. I know that there are many of those in my hon. Friend’s constituency, and I will be happy to ensure that the relevant Minister talks to him about the options that are available.
ParlaMint-GB_2016-01-07-commons.u182	The Leader of the House will be aware of significant concerns that the UK might be in breach of international law for supplying the Saudis with weapons that are being used in Yemen. Has he any intelligence about when the Arms Export Controls Committee will be re-established? We need that Select Committee to look at these issues and to ensure that the UK is not in breach of international law.
ParlaMint-GB_2016-01-07-commons.u183	That Committee is effectively a conglomeration of four different Select Committees, which is free to meet whenever it wishes. Its decision to meet or not to meet is not a matter for the Government. It is a matter for the Chairs of those four Committees to come together, to constitute the Committee and to hold meetings. There is no reason why that cannot happen now.
ParlaMint-GB_2016-01-07-commons.u184	I was disturbed last night when I visited a winter night shelter hosted by churches across Enfield. I spoke to Artur, who told me that if it was not for that night shelter, he would be travelling round on the night buses tonight and on future nights because he is not young or vulnerable enough to get housing. May we have a debate to consider developing a cross-departmental strategy on homelessness which will prevent people such as Artur becoming homeless in the first place, which should not be tolerated in 2016 Britain?
ParlaMint-GB_2016-01-07-commons.u185	I commend my hon. Friend, who is typical of many people in the House who do unsung and unseen work in the community, visiting shelters, spending nights out with the homeless on the streets, and so on, in other situations. I commend my hon. Friend on what he is doing and on bringing the issue to the House. The best solution to homelessness is more homes and that is the incentive for what this Government are doing, but I will ensure that the relevant Ministers engage with my hon. Friend to discuss what he has learned and to try to ensure that we do what we can to end the blight of homelessness.
ParlaMint-GB_2016-01-07-commons.u186	May we have a debate on how we improve support for and the dignity of people who suffer incontinence? Sadly, there is a postcode lottery across the UK as to how long they wait to access support and advice. There is also a problem with how often they can access the products they need to deal with their incontinence. In England alone just short of 200,000 people have been admitted to hospital with urinary tract infections. If we tackled this problem, we could give people dignity and respect and save considerable sums of money. May we look at the problem across Government and see how we can begin to tackle it?
ParlaMint-GB_2016-01-07-commons.u187	The hon. Lady makes an important point. Suffering from the conditions that she describes is enormously disruptive to life and enormously distressing. These matters are devolved not only to the different parts of the United Kingdom, but to local clinical commissioning groups, which take the decisions about how to operate policies in their local communities. Where Members have situations in their constituencies which they think are not right, they need to take those up with local clinical commissioning groups and try to get a change of practice in those communities.
ParlaMint-GB_2016-01-07-commons.u188	My constituents in Kettering are outraged that an illegal immigrant from Sudan who broke into this country by walking through the channel tunnel has this week been awarded asylum and allowed to stay here. This sends an appalling signal to the staff at Eurotunnel and our hard-working border staff both in this country and in France. What is the point of intercepting these people if they are going to be given permission to stay? Also, it sends a green light to illegal immigrants from across the world that they might as well give it a go because if they make it here, they will get asylum. May we have an urgent statement from the Home Office on this matter?
ParlaMint-GB_2016-01-07-commons.u189	I understand the concerns that my hon. Friend expresses. We have Home Office questions on Monday. Of course, we are subject to international rules on asylum claims and the best way of addressing the pressures is to continue the work we are doing to make sure that the border controls in Calais are secure. We are grateful to the French Government for the way they work collaboratively with us on this. The protective measures at Calais are much stronger than they were a few months ago, but it is a constant battle for our border forces.
ParlaMint-GB_2016-01-07-commons.u190	I wish a good new year to the Leader of the House. I congratulate him on his bold leadership of the anti-European faction in the Government, but has he considered what all this means for the geography of the House? As I understand it, if the right hon. Member for Leeds Central (Hilary Benn) loyally supports his leader by disagreeing with him again, he is going to move from the Front Bench to the Back Bench. In European debates, if the Leader of the House is summing up in future, will he move from the Dispatch Box to the Back Benches? Will he be joined by the Home Secretary and the Foreign Secretary if they join his rebellion? Call me old-fashioned, but instead of playing musical chairs, could we not go back to the previous practice? When Government Ministers did not agree with the policies of their own Government, they just tendered their resignation.
ParlaMint-GB_2016-01-07-commons.u191	If I understand it correctly, we are about to move on from the days of “call Nick Clegg on LBC” to “call Alex Salmond on LBC”. The question is whether, when the right hon. Gentleman gets a call from Chris of south London or whatever, we can—
ParlaMint-GB_2016-01-07-commons.u192	That’s you—I’m not south London.
ParlaMint-GB_2016-01-07-commons.u193	Perhaps it is north London. Anyway, I look forward to hearing the programme. We are all going to have a lively debate over the next few months, and it is right and proper that we have a debate as a nation, but on the Government Benches we are a united party in government, while on the other side of the House we have an Opposition who are not fit to be an Opposition.
ParlaMint-GB_2016-01-07-commons.u194	Three quarters of all pension tax relief goes to those who least need it—those paying 40% tax and above. May we have a debate on addressing this unequal situation and proper reform of pension tax relief so that we move to a single-tier relief to benefit millions of ordinary British workers?
ParlaMint-GB_2016-01-07-commons.u195	The Chancellor of the Exchequer is currently undertaking a review of pension tax relief and the way our pensions system works. My hon. Friend has great expertise in this area, and I urge him to discuss his views with the Chancellor to make sure they are included in the review. When it comes to discussing proposals brought forward by the Treasury, there will be extensive debates in this House.
ParlaMint-GB_2016-01-07-commons.u196	I am sure, Mr Speaker, that you and the rest of the House were as delighted as me to hear the news that my hon. Friend the Member for Blyth Valley (Mr Campbell) has won the Plain English award for speaking in this House. In line with that, may we have a debate in Government time on the use of language in this House so that we can find out what the Prime Minister means when he says he is going to look into something and what Ministers mean when they constantly say they are reviewing something? We could also discuss what is meant when someone asks a question to which they want an answer but gets something completely unrelated to it?
ParlaMint-GB_2016-01-07-commons.u197	Nobody could accuse Labour Members of a lack of plain speaking this week. Member after Member has lined up to say that their leader is hopeless. The question is whether they are actually going to do anything about it.
ParlaMint-GB_2016-01-07-commons.u198	May we have a debate on the health benefits of eating black pudding? My right hon. Friend will no doubt have seen reports this week that this tasty delicacy is full of protein, potassium, calcium, magnesium, iron and zinc so it is not only good for you but is a superfood. A debate will enable us to ensure that its benefits are more widely known. [Interruption.]
ParlaMint-GB_2016-01-07-commons.u199	I think that my hon. Friend has created a split among those on the shadow Front Bench. There were distinct nods of approval to black pudding from the deputy shadow of the Leader of the House, the hon. Member for Great Grimsby (Melanie Onn), and a shout of “Fat!” from the shadow Leader of the House, so I am not sure they share the same view on this. I remember very fondly walking round Bury market with my hon. Friend looking at the fine black puddings on sale there. Some great products are made in Lancashire and they are tasty to eat, perhaps in moderation.
ParlaMint-GB_2016-01-07-commons.u200	Given that 21 Members stuck it out until half-past 2 yesterday morning to take part in an Adjournment debate on the world’s only Welsh language television channel, S4C, only to receive the blandest of brush-offs, surely there should be an opportunity to discuss and vote on the Government’s policy of whittling the channel to death.
ParlaMint-GB_2016-01-07-commons.u201	I heard, and the hon. Lady will have heard, the Prime Minister’s comments about S4C yesterday. Welsh language broadcasting is of course important, and any changes that are brought forward would clearly be a matter for discussion and debate in this House.
ParlaMint-GB_2016-01-07-commons.u202	Last month I chaired a meeting of the all-party parliamentary group on fair fuel for motorists and hauliers in an inquiry into pump prices, where we heard that the number of independent petrol retailers has fallen from 14,000 to 8,600 in the past decade. We were told that automated car washes have been a much-needed source of income for independent petrol retailers, but the Valuation Office Agency calculates that 30,000 people are now employed in the hand car washing industry, and the Petrol Retailers Association calculates that the Treasury could be missing out on £200 million of tax. May we therefore have a debate on the hand car washing industry?
ParlaMint-GB_2016-01-07-commons.u203	Of course, there will be an opportunity to raise that issue at Treasury questions shortly. The important thing is not to say that we should not have hand car washing in this country, but to make sure that the people and businesses doing the hand car washing are operating properly and appropriately within the tax system and have a legitimate right to do that work, in order to ensure that they perform like any other business.
ParlaMint-GB_2016-01-07-commons.u204	This week the Department of Justice in the United States filed a civil law suit on behalf of the Environmental Protection Agency against Volkswagen, because 600,000 of its car engines were illegal as a result of defeat devices. In the light of the fact that 30,000 people a year die in Britain as a result of diesel particulate emissions—much of the contribution towards which is extra emissions from the illegal defeat devices—what legal action are the Government going to take, in line with the Americans, against VW; and may we have an urgent debate on the matter?
ParlaMint-GB_2016-01-07-commons.u205	Let us be clear: what VW did was unacceptable and shocking and it has done immense damage to that company. It is utterly inappropriate for any major corporation to act in that way. Prosecution decisions in this country are a matter not for Government, but for the relevant authorities. I am sure they will have noted what the hon. Gentleman has said, but it would be wrong of politicians to get directly involved in whether prosecution decisions should be taken.
ParlaMint-GB_2016-01-07-commons.u206	Over the Christmas period, I was contacted by two constituents—one was Muslim and the other Jewish—about problems they had with the out-of-hours coroners service. People of those religions need a death certificate within 24 hours in order to comply with their religious beliefs and to dispose of the body. Could a Minister come to the Dispatch Box and explain how the Government are ensuring that a 24-hour coroners service is available to everyone across the whole of the United Kingdom?
ParlaMint-GB_2016-01-07-commons.u207	I am well aware of the issues and some of the challenges, particularly those faced by some of the communities in north London. The issue is now subject to review by the Ministry of Justice, and I hope it will suggest ideas to improve the situation.
ParlaMint-GB_2016-01-07-commons.u208	May we have a debate in Government time on the plight of the 3,000 refugees living in soaking tents and knee-deep in mud in the Grand-Synthe camp near Dunkirk? There are restrictions on the aid allowed in, 90% of people there are suffering from scabies and 80% this week tested as hypothermic. Does the Leader of the House think that is how people should live? Does he not accept that the UK Government must do more?
ParlaMint-GB_2016-01-07-commons.u209	I have a simple view on this. We are providing more support to refugees in and around Syria than any other country except the United States, and we are taking thousands of refugees into this country to provide a route for the most vulnerable to escape that environment, but I do not believe that people should simply be able to come through France and into the United Kingdom. If someone is a genuine refugee, they are seeking safe haven. France is a safe haven. It is not clear to me why we should throw open the borders and simply allow people to travel through France and arrive in the United Kingdom.
ParlaMint-GB_2016-01-07-commons.u210	Honeypot Lane forms part of the border between my constituency and that of the hon. Member for Brent North (Barry Gardiner). It is also part of the borough boundary between the London borough of Brent and Harrow. Brent Council has proposed a parking exclusion zone on Honeypot Lane. All of the residents on the Brent side have been fully consulted and have, unsurprisingly, objected to it, because they have no off-street parking at all, but there has been no consultation whatsoever on the Harrow side, other than a tatty notice applied to a lamppost. Could we have a debate in Government time on the implementation of controlled parking zones and the need for public authorities to properly consult people before anything is done?
ParlaMint-GB_2016-01-07-commons.u211	Clearly, that is a matter of local controversy and perhaps one on which the two Members can work together. On the overall rules, the practicality will have to be dealt with at local level, but my hon. Friend will have the opportunity at the next Communities and Local Government questions to raise the duties on local authorities to make people aware of changes.
ParlaMint-GB_2016-01-07-commons.u212	On Tuesday the Under-Secretary of State for Foreign and Commonwealth Affairs, the hon. Member for Bournemouth East (Mr Ellwood), told the House that “there is no agreement on judicial co-operation”—[Official Report, 5 January 2016; Vol. 604, c. 97.] in the memorandum of understanding between the UK and Saudi Governments, but the Ministry of Justice report to Parliament states: “The Secretary of State visited Riyadh in September 2014 to sign a Memorandum of Understanding on Judicial Cooperation” The Government have refused to publish the memorandum, so may we have a statement to explain that stark contradiction, unless the Leader of the House wishes to do so now, given that it was he, as the then Lord Chancellor, who signed it for the UK?
ParlaMint-GB_2016-01-07-commons.u213	There will of course be plenty of opportunities in the coming weeks to question the current Lord Chancellor about what the Ministry of Justice does.
ParlaMint-GB_2016-01-07-commons.u214	Following the recent local government finance settlement, Lancashire County Council will have £730 million available to spend in 2019-20, compared with £704 million this year. Yet the Labour-run council continues to slash services and waste money. The latest example of that is spending £6.6 million on consultants to help it to identify cuts to make. May we have a debate on local government finance so that we can discuss the appalling way in which some of our local councils are run?
ParlaMint-GB_2016-01-07-commons.u215	We have a debate coming up on funding for rural areas. It is quite noticeable that Conservative councils, with the financial challenges we all face across the country, have risen to those challenges and still deliver high-quality services at a lower price, but Labour councils are struggling even to operate with the money they have.
ParlaMint-GB_2016-01-07-commons.u216	Driven grouse shoots damage wildlife sites, increase water pollution, increase greenhouse gas emissions, increase water bills, result in the illegal killing of hen harriers and shed water off hillsides, which causes millions of pounds of damage in floods—we have seen such floods in recent weeks—so may we have a debate and a vote on whether to abolish driven grouse shoots?
ParlaMint-GB_2016-01-07-commons.u217	Conservative Members believe that we should support our countryside and our country traditions. Labour Members have absolutely no interest in rural communities or the people who live in them, and every time they are in power they damage those communities.
ParlaMint-GB_2016-01-07-commons.u218	A good new year to you, Mr Speaker. May I bring to the Leader of the House’s attention the fact that on 9 June 2015, my constituent Mr Majid Ali, who was studying at City of Glasgow College, was removed from the UK, despite a major campaign by the National Union of Students, back to Pakistan on the basis that his life would not be in danger? Since his removal, his home and those of his relatives have been raided by the Pakistan authorities, and Mr Ali now finds himself on the run. Will Ministers make a statement or hold a debate in Government time on deportation and removal orders, and on how we can ensure the safe passage back to the UK of those incorrectly served with such orders?
ParlaMint-GB_2016-01-07-commons.u219	I do not know the details of the individual case, but the Home Secretary will be in the House to answer questions on Monday. We have to ensure a fair balance in this country: we provide a refuge for people who are genuinely fleeing persecution, but we cannot have an open door for everyone.
ParlaMint-GB_2016-01-07-commons.u220	In the past eight days, the Chinese Government have devalued their own currency and intervened quite aggressively in their own manufacturing base, including in steel. May we have a statement on why the Government support giving the Chinese market economy status, given the amount of steel flooding the European Union and the UK market in particular?
ParlaMint-GB_2016-01-07-commons.u221	Treasury questions are coming up shortly, which will be an opportunity to question the Chancellor about matters in China. It is right and proper that we maintain close ties with China. After all, it is shaping up to be the world’s biggest economy for this century.
ParlaMint-GB_2016-01-07-commons.u222	May we have a debate on the excellent work done during the past 38 years by the charity Motability in providing disability-compliant vehicles and, critically, on the outcome of assessments for the personal independence payment? In such circumstances, many of my constituents have lost vehicles—only to have them restored at a later date, following an appeal—which causes huge distress and, in my area, a very real sense of isolation.
ParlaMint-GB_2016-01-07-commons.u223	Motability is of course an important scheme—indeed, the welfare support we provide to people facing disability challenges is very important—but it is right and proper to have gateways in place. One of the reasons why we moved from the disability living allowance to PIP was that a very large number of people receiving DLA and accessing the support provided to people with disabilities had self-referred or self-diagnosed and, in the end, we had no certainty that those people genuinely needed such support.
ParlaMint-GB_2016-01-07-commons.u224	May we have a statement from the Minister for Housing and Planning on carbon reduction building regulations? It is clear to all but Ministers that it is more cost-effective to integrate solar photovoltaics and solar thermal in buildings at the construction stage. Both the Greater London Authority and the Scottish Government have improved their building regulations in that respect. Is it not time for the rest of the United Kingdom to follow suit?
