ParlaMint-GB_2016-03-10-commons.u1	1. What steps his Department is taking to implement its road investment strategy.
ParlaMint-GB_2016-03-10-commons.u220	First, Mr Speaker, may I thank you for what you said about the Queen and the royal family? That was absolutely appropriate. The one thing it is always appropriate to say in this House is how much we value our monarch and appreciate the magnificent job that she does for our nation With regard to events yesterday, the hon. Gentleman said, “It was the SNP wot won it.” He knows that I have a high regard for him, but yesterday was one of those occasions when it was clear how far away from political principle the SNP can find itself. SNP Members cannot talk about the importance—as they always have and did during the EVEL debate—of standing aside from matters that are England only, but then dive in when it is opportunistic for them to do so. That is a party of opportunism, I am afraid, not a party of principle I listened again to the hon. Gentleman’s words about EVEL. As he knows, I was in Scotland last week, supporting our fine team campaigning in the Scottish elections. One of our Scottish members said to me, “That Mr Wishart is very hysterical, isn’t he?” I had to reassure him and say, “Look, he is actually a nice guy behind the scenes.” However, when I hear comments such as those that he made this morning, I understand why some of the people of Scotland get the wrong idea about him My right hon. Friend the Home Secretary takes seriously the issue of asylum seekers. We will always do our best to ensure that people are treated humanely. I clearly owe the hon. Gentleman an apology. I thought that ensuring that he had the opportunity to be here on the first day of the SNP conference was a help to him, rather than a hindrance, because I have never had the sense that he was desperate to get there first. I thought that, as he did this year, he would enjoy being here on the first day of conference. Clearly we will have to look next year at whether we move his conference dates or do things otherwise Finally, I have some bad news for the hon. Gentleman. He has competition next year on the Eurovision front. As he may know, Members on the Government Benches are also recording some fine music. My hon. Friend the Member for Morley and Outwood (Andrea Jenkyns) looks like being tough competition for him and the rest of MP4 when it comes to next year’s Eurovision—may the best man or woman win.
ParlaMint-GB_2016-03-10-commons.u221	It will not have escaped the notice of the Leader of the House that depending on how the business pans out today, particularly how long the Northern Ireland business takes, there is at least a reasonable likelihood that the important debate at the end of the day on the way in which our Acts of Parliament are recorded may be squeezed down to a very short time, or even squeezed out completely. Given the Government’s support for the motion, which is supported also by 48 of my right hon. and hon. Friends, and historically by you, Mr Speaker, will the Leader of the House find Government time for a substantive debate on the matter, so that we can let the House of Lords know what we think about it?
ParlaMint-GB_2016-03-10-commons.u222	I know how strongly my hon. Friend feels about the matter. The debate has been tabled on a Backbench day. It is appropriate for it to be a matter for the House, not debated in Government time which would otherwise be made available for legislation. As the Chair of the Backbench Business Committee is here today, I am sure that if my hon. Friend is not able to hold his debate today, an early opportunity will be found to bring the matter before the House.
ParlaMint-GB_2016-03-10-commons.u223	I am sure that that will be the case.
ParlaMint-GB_2016-03-10-commons.u224	I am grateful to the Leader of the House for the announcement of the future business. With the date of state opening being announced as 18 May, may I remind the right hon. Gentleman that it is a Standing Order of the House that the Backbench Business Committee be awarded 27 days of Chamber time in a parliamentary Session? We are still some way short of that and we are expecting a glut of Backbench business in the five and a half weeks that remain after Easter and before the state opening. I add one personal rider: if we do get Mr Mike Ashley into this place, may we at the same time question him about the terrible running of Newcastle United football club? I do not want to diminish the importance of the employment practices of Sports Direct, but based on the management of Newcastle United, I am afraid I do not expect a very big party in a brewery any time soon.
ParlaMint-GB_2016-03-10-commons.u225	It is tough being a Newcastle supporter at the moment. I wish the hon. Gentleman and his team well for the rest of the season. There is time to escape the relegation zone and no doubt he will be cheering from the stands. I have no doubt that he will seek more time for Backbench business over the next few weeks. I am aware of what the Standing Orders say. I am not sure that we are quite in agreement on the numbers, but we will have a proper discussion about that. I hope he will note that in response to his request, we made protected time available for the debate on Tuesday. Where it is important to do so, we will look at doing that in the future.
ParlaMint-GB_2016-03-10-commons.u226	On Saturday I joined Dartmoor search and rescue team and learned that 70% of calls to the service come from within the boundaries of Plymouth, many in Home Park, owing to elderly people getting lost. May we have a debate on how we might support those excellent volunteers, who get no money from central Government?
ParlaMint-GB_2016-03-10-commons.u227	My hon. Friend makes an important point. I have suggested before at one of these sessions that the Backbench Business Committee might consider holding a full day debate, when one is available, on volunteering. A large number of Members would like to pay tribute to the good work done in their constituency. That would provide an opportunity for my hon. Friend to do what he has just described. I cannot resist drawing attention to the news story this week that a council in East Anglia has appointed the first hedgehog tsar. It is clear already that my hon. Friend’s campaign is making a difference.
ParlaMint-GB_2016-03-10-commons.u228	Last week I was visited by retailers from Dewsbury town centre. They are facing unaffordable business rates in the coming year, due to the end of the business rates retail relief. May we have a debate in Government time to discuss whether the Government have plans to subsidise these retailers, many of whom would have to close their businesses as a result of the rises?
ParlaMint-GB_2016-03-10-commons.u229	Of course, we are all concerned about the future of the high street. This is a matter that can certainly be brought up during the debate on the Budget next week. I do not yet know whether the Chancellor has any plans in that area, but the hon. Lady will want to make the case for her constituency in the four days of debate that follow the Budget, when this is very much one of the matters on the agenda.
ParlaMint-GB_2016-03-10-commons.u230	Today we are starting the consultation on the final designs for the barrage across the Parrett, which is the outcome of the terrible flooding in 2011. I know that the project has been supported across the House and I am very grateful for that. May we have time in this place to discuss it? It is massively important because 12% of my district council area was under water in 2011. The history and the lessons we are learning in the south and the north of the UK need to be reiterated. Is there time for a debate in the House?
ParlaMint-GB_2016-03-10-commons.u231	I pay tribute to my hon. Friend, who has been a more than effective advocate for his constituency and for the parts of Somerset affected by flooding. Our hearts went out to all the communities affected last year. I know that, since then, lessons have been learned and significant steps have been taken, as he has just described, to address the issue for the future. There will of course be an opportunity next Thursday to question the Environment Secretary, which I am sure he will do, but we all need to work to make sure that the terrible events of last year cannot happen again.
ParlaMint-GB_2016-03-10-commons.u232	When can we discuss early-day motion 1182 [That this House believes that politicisation of the institution of monarchy threatens that institution’s future; recalls that the present monarch remained politically neutral for 62 years until an intervention on the Scottish Referendum debate that The Guardian reported was crafted and choreographed by Sir Jeremy Heywood, the Cabinet Secretary, and Sir Christopher Geidt, the Queen’s Private Secretary; notes that a recent speech by the Prince of Wales was widely interpreted as a plea for the UK to remain in the EU; emphasises that the prime role of the Head of State is to intervene when a Prime Minister acts in her or his own interests to the detriment of the interests of state; and further believes that the Government and the Civil Service should cease employing members of the Royal Family for political purposes.] The early-day motion does not trespass into the forbidden area—that the views of the monarch cannot be discussed in this place, and only in this place, although they can be discussed everywhere else—but it does raise the conduct of a well-documented conspiracy between Sir Jeremy Heywood and Sir Christopher Geidt at the time when the Scottish referendum appeared to be in trouble from the Government’s point of view, and it is alleged that those two gentlemen conspired to put the Queen’s opinion into the public domain Is not it important that we discuss those who give advice to the royal family, because its main function is to act in situations where a Prime Minister is acting in her or his own interests against the interests of the country? The politicisation of the monarchy would mean that it could not act in those situations, and any exposure of the royal family’s views threatens the furtherance and continuation of the institution.
ParlaMint-GB_2016-03-10-commons.u233	There are rather large numbers of conspiracy theories in this world. If we spent all our time in this House discussing them, we would not get round to the serious business that faces the nation, so I fear we will not actually be debating that particular issue.
ParlaMint-GB_2016-03-10-commons.u234	May I say to my right hon. Friend how pleased I am that the House will be sitting on 26 May, because that will be the seventh anniversary of the Prime Minister’s famous speech on fixing broken politics, in which he called for more Back-Bench power, more free votes and less whipping? May we have a debate on that occasion to see how much progress has been made on implementing those principles?
ParlaMint-GB_2016-03-10-commons.u235	I am sure we have learned in the past few days that independent spirit on the Back Benches is certainly not something that is lacking in this Parliament.
ParlaMint-GB_2016-03-10-commons.u236	This day week is St Patrick’s day. Yesterday I tabled an early-day motion requesting that the Government bring forward legislative proposals—this is not a devolved matter—to make St Patrick’s day a public holiday in Northern Ireland. Will the Leader of the House facilitate a debate about this important issue?
ParlaMint-GB_2016-03-10-commons.u237	Of course, this is a subject the hon. Lady feels strongly about. We always have to be careful about granting too many extra bank holidays because of the economic impact on the areas affected, but I am sure she will bring forward an Adjournment debate and bring a Minister to the House so that she can make the point she has raised this morning.
ParlaMint-GB_2016-03-10-commons.u238	Will my right hon. Friend find time for a debate on the practice of big businesses trying to prevent Members of Parliament from doing their democratic duty and raising constituents’ concerns in this place? Outrageously, National Express Group plc has written to Lord Feldman, the chairman of the Conservative party, complaining that I have been raising in this place my constituents’ anxiety over c2c timetable changes.
ParlaMint-GB_2016-03-10-commons.u239	I suspect that National Express may need new political advisers, because the one thing we can be absolutely certain of is that writing a letter of complaint about my hon. Friend is likely to make him more rather than less zealous in pursuing issues on behalf of his constituents.
ParlaMint-GB_2016-03-10-commons.u240	And rightly so.
ParlaMint-GB_2016-03-10-commons.u241	At 7 am the Competition and Markets Authority produced a report on its energy market investigation. I welcome that report, which focuses on prepayment meters—the issue is also dealt with under the hashtag PrePayRipOff. I have had an Adjournment debate, I have written to the Prime Minister and I have written to the Secretary of State for Energy and Climate Change, and the responses have been inadequate. Will the Leader of the House make available Government time so that the House can have an urgently needed proper discussion, to explore the CMA’s recommendation, which the Secretary of State said she will implement?
ParlaMint-GB_2016-03-10-commons.u242	The Energy Secretary will be here in 10 days’ time, but if the hon. Lady wants to raise matters before that, I suggest that she writes and I will make the Energy Secretary aware that she is going to raise the issue.
ParlaMint-GB_2016-03-10-commons.u243	In the first half of 2015, six cyclists were fatally injured in London following collisions with heavy goods vehicles. Could the Leader of the House find time in the parliamentary calendar for a debate on the costs and benefits of restricting HGVs from city centres at rush-hour times?
ParlaMint-GB_2016-03-10-commons.u244	This is a deeply important matter. There have been far too many tragedies in recent times, some involving deaths and others serious injuries. The issue has been widely raised as a matter of concern, including by The Times, a member of whose staff was, tragically, seriously injured in an accident with an HGV. We want to take all possible steps to improve the situation, and the Mayor of London in particular has taken a lead in trying to improve things. We will continue to look for ways to improve the situation and to discuss different ideas about how we can do so.
ParlaMint-GB_2016-03-10-commons.u245	This week the Premier League made a very good announcement that all clubs will cap the cost of away tickets at £30, which will be a great relief to many football fans. However, a more pressing concern for fans, particularly Boro fans who will watch Boro play Charlton this Sunday, is the changing of fixture dates. That game was originally meant to be played on Saturday and fans were given only 17 days’ notice of the change. They had already made travel arrangements and booked hotels for Saturday, so a lot of them will now not be able to attend. May we have a debate about the effect on football fans of the dominance of TV contracts over fixtures?
ParlaMint-GB_2016-03-10-commons.u246	TV coverage has enabled a much broader audience to watch matches and there are still substantial crowds at grounds around the country, but I absolutely understand the hon. Gentleman’s concern. I do not support the idea of last-minute changes that disrupt people’s plans, and I hope the football authorities will listen to what he says. I wish him and his team well for the last few weeks of the season. The interesting question is whether his team and that of the hon. Member for Gateshead (Ian Mearns) will play each other next season, and if so, in which division.
ParlaMint-GB_2016-03-10-commons.u247	May we have a debate on the Rural Payments Agency? Does the Leader of the House share my concern that some small Shropshire farmers who were due to be paid under the basic payment scheme in December 2015 have still not been paid, which is causing real hardship?
ParlaMint-GB_2016-03-10-commons.u248	My hon. Friend has raised this issue before and I understand how strongly he feels about it. Of course, small farmers in particular depend on these payments. It is not acceptable for them to be left in the position where their cash flows are unnecessarily and inappropriately stretched through Government failure. The Rural Payments Agency has made a range of payments—from less than £500 to more than £150,000—covering the full range of small, medium and large-sized farm businesses across all geographic regions and all sectors of the industry. The latest news is that some 80% of small farm businesses and 83% of medium farm businesses have received their payments, but the Secretary of State is well aware of the need to complete the job. We do not want farmers to be put under undue pressure. It is not acceptable for them to be left financially high and dry.
ParlaMint-GB_2016-03-10-commons.u249	As chairman of the all-party kidney group, may I say welcome to World Kidney Day? Autosomal dominant polycystic kidney disease accounts for one in four kidney dialysis patients and kidney transplants. I know that the Leader of the House is allergic to anything to do with Brussels, but a Brussels declaration calls for a debate on the need for a national co-ordinated approach to polycystic disease, clear funding of research, patient-centred care pathways, and information about, as well as access to, nephrologists, who are knowledgeable about polycystic kidney disease. May we have a debate on this urgent and important matter?
ParlaMint-GB_2016-03-10-commons.u250	I absolutely understand the need to provide high-quality services for patients affected. That is one reason why we continue to push up the budgets for the national health service. The important thing is to take the right decisions in the right ways for patients in this country, and that is what this Government are doing through the investment in healthcare.
ParlaMint-GB_2016-03-10-commons.u251	May we have a debate urgently on English votes for English laws? The farce yesterday, when we learned that the SNP stands for “Scottish, no principles” rather than anything else its Members claim, made it abundantly clear that we do not actually have English votes for English laws. May we have a debate, so that we can get this straightened out once and for all and deliver what the English public think is meant by English votes for English laws? In the meantime, may we have a policy whereby every time the SNP vote on an issue that is devolved to them in Holyrood but affects only England, we transfer those powers back from Holyrood to this Parliament, so that if SNP Members want to vote on these issues in Westminster, we deliver the decision for them?
ParlaMint-GB_2016-03-10-commons.u252	My hon. Friend, as ever, has innovative ideas about how to deal with the situation. He is absolutely right to talk about principles and the SNP. We stood for election on a manifesto that stated that we would provide the English with the ability to say no to a measure being imposed on them by Members of Parliament from other parts of the United Kingdom. The SNP has argued all along that we should get rid of that reform, which we stood on and implemented, and yesterday we learned why. Not only does the SNP want to interfere in matters such as those that were discussed yesterday, but it clearly also wants to team up with the Labour party and impose on England solutions that the English do not want.
ParlaMint-GB_2016-03-10-commons.u253	Like my hon. Friend the Member for Dewsbury (Paula Sherriff), I have been approached by small businesses in my area regarding the Chancellor’s decision to end the business rate relief scheme for small businesses from April 2016. From next month, around 1,000 small shops in the borough of Rochdale will face extra bills of up to £1,500 a year. To many of those small shops, £1,500 is the difference between survival and going bust. May we please have an urgent debate in Government time on that important subject?
ParlaMint-GB_2016-03-10-commons.u254	The answer to that question is yes, and that debate will start next Wednesday. The Labour party will have the chance to speak on those matters and to vote on them if they choose to do so.
ParlaMint-GB_2016-03-10-commons.u255	Following yesterday’s deliberations on Sunday trading, may I congratulate the Government on the precedent they have set in the publication of the family test alongside new legislation, even though it was published too late, coming as it did just a few hours before Report? It helpfully conceded the negative impact of the proposals on the family. Will the Leader of the House confirm that for all primary and secondary legislation, a family test will be published at the beginning, rather than at the end, of proceedings? In addition, will he inform us of what will happen if legislation does not pass the family test?
ParlaMint-GB_2016-03-10-commons.u256	The purpose of impact assessments and things such as the family test is to enable the House to take an informed decision. Such tests are less a bar over which a measure needs to jump than a package of measures on which the House can form its decisions. The Government’s intention remains to keep the House as fully informed as possible so that it can take those decisions.
ParlaMint-GB_2016-03-10-commons.u257	Last month I raised the case of Islam al-Beheiry, who was convicted in Egypt of contempt of religion under article 98 of the penal code and sentenced to five years in prison with hard labour. Only a few weeks ago, a teacher and four Christian schoolboys aged only 16 were sentenced to five years in an adult prison for making an obnoxious mock Daesh video. Will the Leader of the House agree to a statement on the steps that the Government are taking to stem the worrying rise in blasphemy and contempt of religion charges in Egypt, and on the efforts that are being made to call for clemency for the four Christian schoolboys, their teacher and Islam al-Beheiry?
ParlaMint-GB_2016-03-10-commons.u258	As always, the hon. Gentleman is an important champion for members of the Christian faith, and I commend him for that. I do not know about the specific details of the case that he has raised, but I will make sure that the Government give him a proper response and that the relevant Minister is aware of the concerns that he has raised.
ParlaMint-GB_2016-03-10-commons.u259	Following astronaut Tim Peake’s inspirational call to pupils in Brecon and Radnorshire’s excellent high schools of Builth Wells, Gwernyfed, Brecon and Crickhowell last weekend, may we have a debate on promoting the sciences as an option to pupils, so that Britain can capitalise on pupils’ Peake-ing interest in science, and so that we can continue to lead the world in scientific research and development for generations to come?
ParlaMint-GB_2016-03-10-commons.u260	My hon. Friend makes an important point. We celebrated the moment when Tim Peake went into space, but I think we should also celebrate the contribution that he has made since. We have had regular interactions with the international space station. He has talked about the work that he is doing, and he has talked to young people to inspire them about the potential of science. Long may that continue, and long may there be role models such as him to encourage people to create an exciting, innovative scientific future.
ParlaMint-GB_2016-03-10-commons.u261	Contact the Elderly is a small national charity in Scotland, which aims to alleviate the loneliness felt by many older people who live alone by organising monthly afternoon tea get-togethers. I will be joining one on Sunday in Kippen in my constituency. Such community support initiatives are excellent and inspiring. May we have a debate to discuss the range of such initiatives across the country, so that we can all learn from them?
ParlaMint-GB_2016-03-10-commons.u262	As I said earlier, I very much support the idea of having such a debate, and there is a real opportunity to do so. In the past, we tended to have fixed times in the calendar to debate things such as veterans issues. Such debates are now in the gift of the Backbench Business Committee, which has a real opportunity to provide time for a debate to mark volunteering across the United Kingdom On the Backbench Business Committee, I forgot to say earlier that I hope it will give due consideration to providing at least part of the time available on the Thursday before the recess for a traditional pre-recess Adjournment debate.
ParlaMint-GB_2016-03-10-commons.u263	I join the hon. Member for Middlesbrough South and East Cleveland (Tom Blenkinsop) in welcoming the Premier League’s announcement on capping the price of football tickets for away matches next season. Is the Leader of the House aware that my team, Huddersfield Town, will offer a season ticket for just £179 next season, or £7.80 a game, which is great value in the championship? Will he allow time for a debate on the cost of football tickets, which is so important for fans across the country?
ParlaMint-GB_2016-03-10-commons.u264	I absolutely applaud what Huddersfield Town are doing. The point about clubs such as Huddersfield Town is that they play such an important community role as well. I know Huddersfield Town are very involved in charitable activities across the town. I pay tribute to everyone at the club for ensuring that they play such a role in the community and for doing what they can to give fans the opportunity to go to see the team play on an affordable basis—and may it succeed on the pitch as a result.
ParlaMint-GB_2016-03-10-commons.u265	May I wish my daughter Siobhan a happy birthday next Tuesday? On the matter of Wales against England, I hope that the better team—not the “best” team—wins, and let it be Wales On EVEL, I have had an idea while sitting in the Chamber. Could we not use the Annunciator to have subtitles while we go through the EVEL procedure, which we did last night, so that Mr Deputy Speaker would not have the impossible task of explaining what in EVEL’s name is going on?
ParlaMint-GB_2016-03-10-commons.u266	I think that the process is fine. We will review it after 12 months. If the hon. Gentleman has ideas about how to improve it, I will be very happy to listen to him. What I will not do is reverse the gesture we have made to the English of saying, “You have a part of the devolution package as well.” I do not think a position under which the Scots, the Welsh and the Northern Irish can have devolution while the English are left out is remotely acceptable. We have no intention of going back on it.
ParlaMint-GB_2016-03-10-commons.u267	West Berkshire Council is a very well run authority, but it has been forced by a bizarre funding formula to do the very un-Conservative thing of raising taxes and cutting services for people in need. Alongside that, there are the perverse actions of the Valuation Office Agency. At the click of a bureaucrat’s button, it can wipe millions of pounds of business rates on large sites away from a small unitary authority. May we have a debate about the actions of the Valuation Office Agency to try to get some common sense on how small local authorities are funded?
ParlaMint-GB_2016-03-10-commons.u268	My hon. Friend makes an important point. I will draw his concerns to the attention of my right hon. Friend the Secretary of State for Communities and Local Government. My hon. Friend may also wish to raise that matter in the Budget debate next week. As I said earlier, it is likely that the issue of business rates will be raised then.
ParlaMint-GB_2016-03-10-commons.u269	On 2 December, the Prime Minister promised the House that he would make quarterly statements on the involvement of British military forces in Syria. There should therefore have been a statement by 2 March, but there has not been one. May we please have an urgent statement? When are we going to have the first of these vital quarterly updates?
ParlaMint-GB_2016-03-10-commons.u270	The hon. Gentleman was clearly not in the Chamber last week, because I said that there would indeed be such a statement before the Easter recess.
ParlaMint-GB_2016-03-10-commons.u271	May I add my voice to the calls for a debate on having genuine English votes for English laws? Despite the recent reforms, yesterday proved that the votes of Scottish MPs can still stop my constituents enjoying the same freedoms that their constituents enjoy.
ParlaMint-GB_2016-03-10-commons.u272	My hon. Friend makes an important point. We should remember that, when we debated English votes for English laws, the Scottish National party said, “You don’t need this. When there is an England-only measure, we don’t take part anyway.” Yesterday, we discovered that that promise was paper-thin.
ParlaMint-GB_2016-03-10-commons.u273	On Tuesday, we celebrated International Women’s Day with a superb debate in the Chamber. I pointed out the grave inequality that only fathers’ names, not mothers’ names, appear on marriage certificates. The Prime Minister agrees that mothers’ names should be added, but does not have legislative time to do so. I have a nifty little private Member’s Bill to add mothers’ names to marriage certificates at little cost, which is up for its Second Reading again tomorrow. May I urge the Government to adopt my Bill or to give it the heave-ho into Committee, where they can amend it, or please can we have a debate in Government time?
ParlaMint-GB_2016-03-10-commons.u274	I am afraid that the hon. Lady is running into a long queue at the end of the Session for private Member’s Bills, but the Government’s commitment stands.
ParlaMint-GB_2016-03-10-commons.u275	This week is English Tourism week, so will my right hon. Friend find time for a debate on the important contribution made by tourism to the UK economy? A record 35.8 million visitors came to the UK last year, but we need to get people outside London and visiting other areas of the country such as Worcestershire, where perhaps they could visit the Fleece Inn, which this week was named pub of the year.
ParlaMint-GB_2016-03-10-commons.u276	We absolutely want more tourism in Worcestershire, and although hon. Members will spend much of the recess hard at work in their constituencies, I hope there will be a moment for them to pay a visit to Worcestershire and take advantage of the fine hospitality that they will find. I am sure my hon. Friend would be delighted for the whole House to visit.
ParlaMint-GB_2016-03-10-commons.u277	The Leader of the House will know that I have been calling for support across the House to address the root causes of serious youth violence. We had a Backbench Business Committee debate on that issue last week, and earlier this week the Justice Secretary confirmed that he will report back to the House on progress made by his Department. Will the Leader of the House explain how that will happen, and when we can expect that report?
ParlaMint-GB_2016-03-10-commons.u278	My right hon. Friend the Justice Secretary has these matters under review all the time, and we have already taken tangible steps and made significant changes to the laws on knife crime. The Home Office has been doing significant work to try to break up gangs, and the Justice Secretary comes before the House regularly and will provide regular updates on his work.
ParlaMint-GB_2016-03-10-commons.u279	May we have a debate on the importance of raising the profile of dyslexia teacher training, which many people are concerned is not getting the focus that it needs?
ParlaMint-GB_2016-03-10-commons.u280	My hon. Friend makes an important point. Many young people who struggle at school do so because they are dyslexic. I have already discussed that with the Secretary of State, who assures me that part of the training module for teachers now contains work to help them to build an understanding of dyslexia. My hon. Friend will no doubt continue to ask questions on that subject, and ensure that we do whatever we can to enhance that work to help those young people.
ParlaMint-GB_2016-03-10-commons.u281	I am sure that the Leader of the House will join me in welcoming the Government’s two other defeats last night in the other place on the Immigration Bill. Will he encourage the Immigration Minister to confirm in a statement whether the Government will use last night’s vote as motivation to start treating asylum seekers with the respect and dignity that they deserve?
ParlaMint-GB_2016-03-10-commons.u282	That is a first—I cannot remember the last time that I heard the Scottish National party praise what has happened in the House of Lords. I think that our record of treating asylum seekers bears comparison with any in the world, and I will not hear anybody say otherwise.
ParlaMint-GB_2016-03-10-commons.u283	May I congratulate my right hon. Friend on his excellent contribution on Radio 4, and his excellent speech? May we have a speech in Government time on the merits of leaving the EU, which I suggest be entitled “Project Hope”?
ParlaMint-GB_2016-03-10-commons.u284	My hon. Friend tempts me, but he must bear in mind that the Government’s formal position is to recommend that Britain stays in the European Union. We will, of course, have lively debates in the House and the country about what should happen, and in June the British people will decide.
ParlaMint-GB_2016-03-10-commons.u285	The Leader of the House will be aware that, three days ago, the Institutional Investors Group on Climate Change, which represents £13 trillion of assets under management, wrote to the Chancellor to press for regulation to ensure mandatory corporate disclosure of climate risks. May we have a debate in Government time on the mandatory reporting of climate risks, so that there is transparency about the financial health of our corporate sector, and so that the confidence of such an enormous body of investment funds can be increased?
ParlaMint-GB_2016-03-10-commons.u286	The hon. Gentleman is another person for us to wish a happy birthday. This country is at the leading edge of combating climate change, and we have adopted targets that stand comparison with any in the world. However, there is a point at which simply putting additional reporting requirements endlessly on to business leads to us having fewer jobs in the country, rather than more, and that is not something I support.
ParlaMint-GB_2016-03-10-commons.u287	Last year, £10 million of funding for essential upgrades to Cheltenham Spa railway station was announced. As tens of thousands of people arrive in Cheltenham for the superb jump racing festival, we are reminded how necessary those upgrades are. May we have a debate on the delivery of railway station funding pledges, to establish what more can be done to get work started?
ParlaMint-GB_2016-03-10-commons.u288	We have just missed Transport questions, which took place earlier this morning, but I am sure my hon. Friend will be able to secure an Adjournment debate to press that issue if he wishes to do so. May I wish him and his constituents well for what is one of the best racing events in the country, although it is perhaps not quite as good as the Epsom Derby.
ParlaMint-GB_2016-03-10-commons.u289	Tomorrow, I will be visiting my constituent Walter Brown from Dukinfield, who is 90 years of age and has just been awarded the Légion d’honneur by the Government of France in recognition of his role in the liberation of France in 1944 as a Royal Marine Commando. We are supposed to request a debate in this part of our proceedings, so may I simply request a debate on what a privilege it is to represent somebody such as Walter Brown in the House of Commons? May I also request that the whole House puts on the record its thanks and congratulations to him?
ParlaMint-GB_2016-03-10-commons.u290	I absolutely agree with what the hon. Gentleman says; I have a gentleman in my constituency who is in the same position, and it is a real tribute to the Government of France that they have seen fit to honour in this way a group of people who risked their lives to try to save France from the Nazis and did so successfully. We should always remember them and be grateful to them, and I am very glad the French have recognised that.
ParlaMint-GB_2016-03-10-commons.u291	You will be aware, Mr Speaker, that on previous occasions I have raised the issue of hundreds of casual labourers congregating outside B&Q in Queensbury, on the border between my constituency and that of the hon. Member for Brent North (Barry Gardiner). I am pleased to say that Harrow Council and Brent Council have introduced a public space protection order, under which anyone who picks up those casual labourers will be liable for a fixed rate penalty of £100. Can we find time to debate the matter in this House, because we find this problem across the country and public space protection orders could be put in place to stop that unauthorised activity?
ParlaMint-GB_2016-03-10-commons.u292	That is an important issue. The Business Secretary will be here on Tuesday and I will ask him to be prepared to address it then. All too often, the people who are to be found looking for work in these places are operating within a gangmaster culture that is below the radar and not within the legal framework of work in this country, and it is likely that they are being exploited.
ParlaMint-GB_2016-03-10-commons.u293	Last year, Sir Nicholas Macpherson said that he would not hesitate to call in the police if the Budget were leaked. Should any stories about this year’s Budget appear in the papers this weekend, will the Leader of the House join this most senior of officials in calling for the police to investigate, and will he give time for this House to debate it?
ParlaMint-GB_2016-03-10-commons.u294	I am sure that, if the civil service and the permanent secretary at the Treasury think anything untoward and illegal has been done, he will take appropriate action.
ParlaMint-GB_2016-03-10-commons.u295	Last Saturday, I joined hundreds of residents at the only municipal golf course in Pendle, Marsden Park, to protest against plans by Pendle Borough Council to close the facility. The Labour and Lib Dem-run council claims that shutting the course would save £50,000 a year and blames cuts in central Government funding. However, in the same month the council voted through that cut, it spent an estimated £300,000 buying the former—now unused—Colne health centre, which needs a further few hundred thousand pounds spending on it. The council has admitted that it has no plans for what to do with it. May we have a debate on the shocking mismanagement by my local council?
ParlaMint-GB_2016-03-10-commons.u296	As ever, my hon. Friend is a very articulate representative of his constituents and a very appropriate critic of his local Labour council. The truth is that around the country, where difficult decisions are having to be taken by councils, one finds Conservative ones taking a thoughtful approach and finding new ways of delivering services well, while Labour councils are taking dumb decisions such as the one he has just mentioned.
ParlaMint-GB_2016-03-10-commons.u297	As my hon. Friends the Members for Dewsbury (Paula Sherriff) and for Heywood and Middleton (Liz McInnes) have mentioned, the Chancellor’s decision on retail rate relief is causing great consternation, with small businesses now having to find an extra £1,500 a year. In the Cheshire West and Chester area alone, some 1,472 businesses will have to find an extra £1.8 million next year. Given the Chancellor’s warnings of impending storm clouds, can the Leader of the House assure us that there will be sufficient time over the next few weeks to debate whether this is really the right time to start clobbering small businesses with more taxes?
ParlaMint-GB_2016-03-10-commons.u298	I can absolutely assure the hon. Gentleman that time will be available, because there will be four days for the post-Budget debate. He talks about clobbering businesses. I just remind him that for 13 years businesses suffered at the hands of a Government who did not understand them and regulated in a way that caused them deep problems, halving our manufacturing sector.
ParlaMint-GB_2016-03-10-commons.u299	Ministers have been very willing to engage on the steel issue, but, in advance of the Budget next week, will there be an opportunity to put the case for a business rates holiday for the industry to the Chancellor on the Floor of the House?
ParlaMint-GB_2016-03-10-commons.u300	There will be an opportunity to put that to the Chancellor. However, the Business Secretary, who has been working very closely with the steel industry, will be here on Tuesday. I suggest my hon. Friend raises that point with him then. I will make sure his concerns are drawn to the attention of both Departments today.
ParlaMint-GB_2016-03-10-commons.u301	I apologise for leaving the Chamber earlier on, Mr Speaker. It was somewhat ironic when I came back. I am now the only SNP Member who has actually got a cheer from Conservative Members in the past two days Will the Leader of the House make a statement outlining why his title is not a complete misnomer? The Enterprise Bill was farcical from almost start to finish. On Second Reading, the House was asked to vote on amendments that had not been seen. The Government took an assumed view on the SNP position, which we now know was wrong. A late manuscript amendment was tabled but not taken. Then the Government Minister pleaded with the House to vote with him, because he was not going to implement what was in the Bill. As I say, it was a farce from start to finish. May we have a statement outlining when leadership was shown by the Leader of the House and the Government?
ParlaMint-GB_2016-03-10-commons.u302	I am sorry, but the only farce around here is the approach the SNP has taken to all of this. SNP Members did not vote against the measure in Committee, but then decided to vote against it later. They tell us that that was for reasons of principle, but we know it was for reasons of opportunism.
ParlaMint-GB_2016-03-10-commons.u303	May we have a debate on openness and transparency in the disbursal of EU funds to local government? My right hon. Friend may know that this week we had a serious outbreak of Stockholm syndrome in the east of England, as eight local authority leaders backed the EU remain campaign in the pages of the Eastern Daily Press. Is it not important that voters know what level of funding, from all forms of the European Union, has induced this self-interested plea to hand more powers and money to Brussels?
