ParlaMint-GB_2016-11-01-commons.u1	1. What steps her Department is taking to improve safety in prisons.
ParlaMint-GB_2016-11-01-commons.u195	The synthetic indignation from Labour Members cannot mask the fact that in 13 years of a Labour Government, the issue of Orgreave was completely neglected and forgotten. Will my right hon. Friend confirm that, notwithstanding the absence of an inquiry—I concur wholeheartedly with the Home Secretary’s decision—the clear and necessary changes in governance and mind-set required within the South Yorkshire police will continue and be delivered?
ParlaMint-GB_2016-11-01-commons.u196	My hon. Friend makes a good and important point. It is very important that we continue to reform the police service for the future. Some reforms are outlined in the Policing and Crime Bill, and there are others that the former Home Secretary, now our Prime Minister, has taken on, and that the Home Secretary is determined to deliver. It is part of the task of changing how the police work from how they used to work some 30 years ago. I spoke to Dr Alan Billings, the police and crime commissioner for South Yorkshire yesterday afternoon. I am determined to work with him and his chief constable to make sure that they get a good relationship with the people of South Yorkshire in the future. We want to ensure that the police service delivers on the work that the police do every single day—policing by consent.
ParlaMint-GB_2016-11-01-commons.u197	I have represented Orgreave in this House since 1983. I well remember the events of the miners strike at that time. I called for a public inquiry to review the policing of the miners strike in 1985—and it was denied at that time as it has been denied now. The Minister says that the IPCC is still looking at these issues, but he must know that the IPCC deals with serving police officers. If they are still serving in South Yorkshire, they would have been about 16 at the time, so this is not an answer to the problem. He says that the Home Secretary is looking at the papers, but we need an independent individual to look at them. If we cannot have a full public inquiry, we should surely be able to have someone of an independent nature to look at what happened to see if any lessons can be learned from the policing of the miners strike in 1984-85.
ParlaMint-GB_2016-11-01-commons.u198	I think the fact that the IPCC is involved in work on Hillsborough that could lead to criminal proceedings shows that it is prepared to deal with these issues appropriately. After all, it is an independent organisation. As I said earlier, I met its chair yesterday, and he confirmed again—as the IPCC has already confirmed publicly—that if new evidence appears, it will look at that evidence. I assume from the right hon. Gentleman’s comments that he will fully support the work that we are doing to reform and update the IPCC to ensure that officers who have left the police force can still be involved in investigations and prosecuted by the organisation.
ParlaMint-GB_2016-11-01-commons.u199	I was a serving police officer at the time, and I well remember the situation as described by my hon. Friend the Member for Shipley (Philip Davies). Does the Minister agree that policing has moved on significantly in the last few decades, that there are sufficient safeguards against a repetition of an episode like Orgreave and that there is no useful purpose in an inquiry?
ParlaMint-GB_2016-11-01-commons.u200	My hon. Friend has made a very good point. As I have said, the changes made by the Police and Criminal Evidence Act and Her Majesty’s inspectorate of constabulary, the criminal justice changes, and other reforms—not least the introduction of local accountability through police and crime commissioners—have led to a dramatic change in policing practices in the last few decades. I welcome that, but we all need to work to ensure that it continues.
ParlaMint-GB_2016-11-01-commons.u201	I note that the Minister has failed to answer a single one of the questions asked by my right hon. Friend the Member for Leigh (Andy Burnham). I feel sorry for the Minister, because the Home Secretary bottled it yesterday and she has bottled it again today. He knows that she did not review the documents on the basis of which the IPCC reached its decision. Does he honestly believe that she can honestly say that there is no link with Hillsborough and that there are no lessons to be learnt today?
ParlaMint-GB_2016-11-01-commons.u202	The hon. Lady should have another look at what I said in response to the right hon. Gentleman’s question. Although I fully appreciate that both she and he may not agree with or like what I said, that does not mean that I did not answer the question, and it does not mean that the Home Secretary’s decision is wrong. A number of factors were taken into account in the making of that decision. It involved looking at a wide range of documents, and, indeed, meeting the Orgreave campaigners themselves, as the Home Secretary, the hon. Lady and I did in September. I suggest that the hon. Lady look again at my answers to questions, including my answers to the right hon. Gentleman.
ParlaMint-GB_2016-11-01-commons.u203	I wonder whether the Minister agrees with David Blunkett, the former Labour Home Secretary, who reportedly said that he “would take some convincing that another agonising internal inquiry would shed more light than is already known.”
ParlaMint-GB_2016-11-01-commons.u204	I saw that quotation as well, and I think it underlines and highlights the fact that this was a difficult decision. No one has said that it was easy. As the Home Secretary herself said, in the House yesterday—and she was here yesterday, answering questions on this matter—and also during previous appearances in the House and when meeting the campaigners, a difficult decision had to be made and many factors weighed up. Ultimately, however, we had to make a decision about what was in the wider public interest, and this decision is in the wider public interest.
ParlaMint-GB_2016-11-01-commons.u205	May I ask the Minister a very simple question? Will the Home Secretary meet members of the Orgreave Truth and Justice Campaign to discuss this matter further?
ParlaMint-GB_2016-11-01-commons.u206	The Home Secretary has met the Orgreave campaigners, and she spoke to Barbara Jackson yesterday. She has also written to the campaigners, and I think that they need time to digest her letter. I know that they made a statement shortly before I came into the House today, but we shall have to await their response to the Home Secretary and take matters from there.
ParlaMint-GB_2016-11-01-commons.u207	A few moments ago, the right hon. Member for Rother Valley (Kevin Barron) mentioned the 1983 election. May I invite the Minister to consider improvements that have been made in police codes of conduct in the past 30 years by, for example, the Police and Criminal Evidence Act 1984, which came into force on 1 January 1986? Given the apparent strength of feeling on the Opposition Benches, is it not strange that successive Labour Governments failed to conduct a review of, or inquiry into, what had happened at Orgreave?
ParlaMint-GB_2016-11-01-commons.u208	My hon. Friend has made a couple of points. I will let others draw their own conclusions about the actions of those other than ourselves in the Home Office, but I will say that he is absolutely right about the changes that have taken place. We have had PACE, the Public Order Act 1986, the changes at HMIC, and the police effectiveness, efficiency and legitimacy inspections. The Association of Chief Police Officers has now become the National Police Chiefs Council and has its own codes of conduct. Furthermore, we have the Policing and Crime Bill, and we have the police and crime commissioner reforms that were introduced in the House by the present Prime Minister. Policing has changed dramatically, but we want the reforms to continue, and I urge all members to support that work.
ParlaMint-GB_2016-11-01-commons.u209	I was elected to the House in 1984, in the middle of the miners strike. I spoke about the strike in my maiden speech, and I stood on the picket lines and saw what happened. I saw the brutality and the intimidation. I saw a pregnant woman kicked in the stomach. There was a lot of violence. That was in the Cynon valley, and people in the Cynon valley still feel very strongly about this issue. They believe that unless the Government have something to hide, they should agree to an inquiry. We are fully behind the people who call for the inquiry: people never forget, and certainly they will never forget the experiences of the miners strike.
ParlaMint-GB_2016-11-01-commons.u210	As I said earlier, the decision that we have had to make—the decision that the Home Secretary has made—involved looking at a range of issues relating to the specific case of Orgreave and considering whether it was in the wider public interest to hold an inquiry. It was decided that it was not.
ParlaMint-GB_2016-11-01-commons.u211	I congratulate the right hon. Member for Leigh (Andy Burnham) on being granted the urgent question, but does the Minister agree that if there is to be an inquiry of this kind, it should take place as soon as possible after the event? Did the Home Secretary take account of the fact that Prime Minister Brown and Prime Minister Blair did not hold such an inquiry? Is not the danger now that all that would happen is that a lot of lawyers would become even richer, and we would not gain any more knowledge?
ParlaMint-GB_2016-11-01-commons.u212	The Home Secretary’s decision involved looking at a wide range of documents and considering a wide range of factors. Ultimately, however, the core of the decision was the question of what was in the wider public interest, and we have decided that an inquiry is not in the wider public interest.
ParlaMint-GB_2016-11-01-commons.u213	The Home Secretary stood at the Dispatch Box and encouraged me to present the evidence that I had been given by one of my local councillors, Mike Freeman. He was a serving officer in Greater Manchester police whose whistleblowing about the corrupt practices in South Yorkshire featured in an edition of the Channel 4 “Dispatches” programme. This Government did not have Mike’s back. Would the Minister like to apologise for the personal cost that he has suffered?
ParlaMint-GB_2016-11-01-commons.u214	As I have said, the Home Secretary looked at a wide range of documents and considered a wide range of factors, and that included meeting the campaigners. We are determined to ensure that whistleblowers are properly protected, which is why we are seeking to increase their protections. I hope that the hon. Gentleman will support that, along with the Police and Crime Bill and our work with the IPCC.
ParlaMint-GB_2016-11-01-commons.u215	Does it not strike the Minister as odd that Labour Members are using part of their Opposition day tomorrow to debate police officers’ safety? They seem to have forgotten that 32 years ago individual police officers from up and down the country, including Northamptonshire, faced an unprecedented wave of picket-line violence from yobs, led by trade unions, without the protective equipment that police officers have today. Yes, it was ugly; yes, it was violence, and those unfortunate events happened on both sides. However, to spend millions of pounds on investigating events of 32 years ago when things have moved on would be a waste of time.
ParlaMint-GB_2016-11-01-commons.u216	My hon. Friend has raised the important issue of the safety and security of our police, which we will debate tomorrow. It is right for people to appreciate that our forces police by consent, which is why I think that the reforms that have taken place over the past few decades are so important, and why I think that we must continue those reforms. We want a police force that we can continue to be proud of and continue to rate as the best in the world, and we want to make sure that our police officers are safe as well. That does not detract from the fact that both the Home Secretary and I fully appreciate the strength of feeling on all sides of the debate. Nevertheless, the decision about Orgreave had to be about what was in the wider public interest. That is the decision that the Home Secretary has made, and rightly so.
ParlaMint-GB_2016-11-01-commons.u217	The Orgreave Truth and Justice Campaign is supported by people throughout the United Kingdom, including many of my constituents. Yesterday’s decision ultimately means that South Yorkshire police will not be held to account for their actions and required to answer the serious allegation that they were deliberately trying to create circumstances in which riot charges would stick, a narrative that was briefed to the then Prime Minister and her Cabinet. In the absence of an inquiry or an independent review, how do the Government intend to deal with that very serious allegation?
ParlaMint-GB_2016-11-01-commons.u218	If there are allegations and new evidence, the IPCC chair repeated to me yesterday what it has said publicly: it will look at any new evidence and take it into account in any decisions it makes moving forward. In particular, there are still ongoing investigations and potential criminal proceedings linked to Hillsborough. This is also why it is important that we not only continue to deliver the reforms outlined over the last 30 years, and in particular the last five or six years, but we continue the reform of the police service, especially working with South Yorkshire police on its relationships with its local community.
ParlaMint-GB_2016-11-01-commons.u219	I was very young during the miners strike but I do know Nottinghamshire’s former coalfield communities today; I represent some of them. Those communities are still suffering in many respects from the miners strike. They are suffering from ill health, low levels of employment, addiction and many other problems. As so little is to be gained from having this inquiry, would it not be better if we all now concentrate on the present and the future?
ParlaMint-GB_2016-11-01-commons.u220	There is an important point here as this highlights why the Prime Minister is right to state that we as a Government need to work to ensure we deliver a country that works for everybody, so everyone in those communities— communities I worked in myself a decade or more ago—has the chance to succeed in life. We must always learn the lessons of the past. That is why the reforms over the last three decades and the reforms going forward are so important in making sure we continue to have a first-class police force in this country.
ParlaMint-GB_2016-11-01-commons.u221	The police and crime commissioner in South Yorkshire, Dr Alan Billings, has made it absolutely clear that he does not want to begin the process of building a new future for South Yorkshire police by sweeping under the carpet the problems of the past. Will the Minister specifically say whether he and the Home Secretary have looked at the evidence of masonic links involved in the cover-up at Orgreave and whether they are the same masonic links that were evident in the cover-up at Hillsborough?
ParlaMint-GB_2016-11-01-commons.u222	I repeat what I said earlier this afternoon: the Home Secretary has considered a number of factors in the decision, including a wide range of documents and arguments put forward in the campaign submission. [Interruption.] Members on the Opposition Front Bench are saying this has already been said, but that might be because I am being asked the same question in effect time and again. No matter how many times I am asked, I will be clear to Opposition Members that the Home Secretary has looked at a wide range of issues in making her decision. [Interruption.] I say specifically on the hon. Gentleman’s point about the PCC, if Opposition Front Benchers will allow him to hear what I am saying, that Dr Alan Billings makes an important point about wanting to move forward with a fresh start for the new leadership of South Yorkshire police. My hon. Friends have made that point, and when I spoke to the PCC yesterday he was clear about his determination to have transparency and to have an archivist work through the archives to get as much as possible out into the public domain to help us move forward. The relationship with the public of South Yorkshire is important.
ParlaMint-GB_2016-11-01-commons.u223	Does the Minister agree that, although there was of course a tragedy at Orgreave and there were abuses almost certainly on both sides, justice delayed is justice denied, and it would have been better to have had this inquiry 15 years after the event rather than waiting 31 years, when so many people are retired or have died, and it would be inappropriate to have it now?
ParlaMint-GB_2016-11-01-commons.u224	I understand my hon. Friend’s point, but the reasoning behind the Home Secretary’s decision comes from looking at the wider public interest. There were no wrongful convictions and no deaths and, importantly, the changes in policing over the last three decades mean policing has moved on, and we need to continue those reforms.
ParlaMint-GB_2016-11-01-commons.u225	Does the Minister accept that there were no wrongful convictions because the case the police fabricated against those 95 miners collapsed because of the fabricated evidence? Does he not accept that there was then no accountability for the senior officers in South Yorkshire police, including the chief constable at the time, who led that arrangement to fit people up wrongly? Five years later, that same cadre of senior officers was responsible for fabricating evidence against fans after the Hillsborough disaster. Yes, that did lead to 96 deaths, but the denial of justice over so many years for the Hillsborough families and those affected by the events at Hillsborough might never have happened if the chief constable and his senior cadre of officers had been held to account for what happened at Orgreave, but they were not.
ParlaMint-GB_2016-11-01-commons.u226	The hon. Lady has in effect outlined why it has been so important to have those reforms in how policing works and that local accountability over the last three decades. Her point about Hillsborough is right, and criminal proceedings may well come out of that with the IPCC, but that is because the reforms and changes through the IPCC and further reforms in the Policing and Crime Bill and the PCCs have changed the landscape of policing. It has changed dramatically in the last 30 years, and that forms a part of the Home Secretary’s right decision that it is not in the public interest to have a public inquiry.
ParlaMint-GB_2016-11-01-commons.u227	In 1984 I sat on these Benches representing the coalmining communities of Cannock and Burntwood. At that time my constituents working at Lea Hall and Littleton collieries were being subjected to the kind of intimidation that my right hon. Friend the Member for Broxtowe (Anna Soubry) has mentioned, including the throwing of bags of urine by striking south Wales miners as my constituents attempted to go to work. So does my hon. Friend the Minister accept that Orgreave was in fact a violent attempt to prevent the British Steel Corporation from going about its lawful business and furthermore a naked political attempt to bring down the Government of Margaret Thatcher, and that since then trade union relations and industrial relations have been transformed out of all recognition, to the betterment of this country?
ParlaMint-GB_2016-11-01-commons.u228	My hon. Friend highlights the strength of feeling on both sides about issues that happened decades ago, and also highlights again that, hugely importantly, the police have reformed. There are still reforms going forward that we need to see through, and I hope we will all be working together in the years ahead to deliver them.
ParlaMint-GB_2016-11-01-commons.u229	The jobs of ordinary police officers, many of whom came from mining families, were made difficult for many years after the miners strike precisely because of the misuse of police by the state. Is that not the fundamental issue here? Zimbabwe, China and Venezuela are three countries that have recently used the police to undermine individual rights and freedoms. How do we know that senior politicians were not involved, as the Cabinet papers have not been revealed and there is no longer going to be an inquiry? When will we know, for better or for worse, what senior politicians did and what pressure they brought to bear on the police?
ParlaMint-GB_2016-11-01-commons.u230	A large number of historical files on Orgreave and the miners strike are already publicly available through the National Archives. Also, as I have said, the PCC for South Yorkshire is employing an archivist to look at publishing even more from its archives, and I am sure the hon. Gentleman will take a great interest in that. He should also work with us and endorse the reforms to the police service that will lead to that key important result that Members have mentioned: that the new leadership of South Yorkshire police is able to find a way to build a new relationship with the people of South Yorkshire and to continue the work the police do every day, policing by consent.
ParlaMint-GB_2016-11-01-commons.u231	It is with great sadness that I hear Conservative Members saying that an inquiry is neither justified nor needed. I wonder how many said the same prior to the Hillsborough inquiry. We on this side of the House will continue our fight for justice and truth for those affected in Orgreave.
ParlaMint-GB_2016-11-01-commons.u232	I would just draw the hon. Lady’s attention to the inquiries and work that this Government have done to bring injustice to the surface. We have a good track record of making sure we unearth things but ultimately always making a decision that is in the wider public interest.
ParlaMint-GB_2016-11-01-commons.u233	The Prime Minister’s own chief of staff, Nick Timothy, is on record as saying: “If the police pre-planned a mass, unlawful assault on the miners at Orgreave and then sought to cover up what they did and arrest people on trumped up charges, we need to know.” He is absolutely right. Why are the Government stopping us knowing?
ParlaMint-GB_2016-11-01-commons.u234	I suggest the hon. Gentleman read through the evidence that is out there—that is published in the National Archives and being published by South Yorkshire police—and reads the full IPCC report on its investigation as well as the paperwork from the campaigners themselves. These are all part of the wide range of sources that we and the Home Secretary have looked at in making a decision on what is in the wider public interest.
ParlaMint-GB_2016-11-01-commons.u235	It is incumbent on every Member of the House to fight for truth and justice when lies and injustice have been exposed. The Home Secretary is denying us a public inquiry into the Orgreave tragedy, and the Scottish Government are denying us an inquiry in Scotland on the policing and convictions relating to the injustices that happened there during the miners strike. Can the public of this country therefore conclude that the Governments that are democratically elected to represent them here and in Scotland are no longer interested in fighting for justice even when new information becomes available?
ParlaMint-GB_2016-11-01-commons.u236	As I have said, if new information becomes available, the IPCC will look into investigating it. I had that conversation with the chairman of the IPCC yesterday, and I refer the hon. Gentleman to the comments I made on that earlier this afternoon. I would also like to think that the public will look at the track record of the Government, the Home Secretary and the Prime Minister in taking on vested interests and making difficult decisions. This has been a difficult decision. The Home Secretary has made a decision that we believe is in the wider public interest, and it is the right decision.
ParlaMint-GB_2016-11-01-commons.u237	Trust is crucial to policing, and the image of mounted police officers cantering towards the striking miners is seared on the imagination of everyone who has seen it. This is a huge issue of public interest, as are the allegations of political interference in policing in our country. Does the Minister not recognise the damage that the Secretary of State’s failure to hold an investigation and to stand up for justice is having on public confidence in her Department?
ParlaMint-GB_2016-11-01-commons.u238	The IPCC has held an investigation, and if there is new evidence, it will look at the potential for further investigations. That is a matter for the IPCC, which is, by definition, independent. The hon. Lady also touched on the point that our police forces police by consent in this country. That is a two-way thing. In fact, we will be debating that subject tomorrow. It is important that the police and crime commissioner and the new leadership of the South Yorkshire police look at how they build that relationship with the public. It is also important that we and the public respect the police, as they continue to police us by consent. No doubt that will be part of the debate tomorrow afternoon.
ParlaMint-GB_2016-11-01-commons.u239	It is not good enough for the Minister to say that there should have been an inquiry earlier, because papers on Orgreave were still being released up to Christmas 2015. Those papers prompted calls for an inquiry because they showed an abuse of power in South Yorkshire police and the concocting of statements. Yes, no one was killed at Orgreave but lives were ruined and innocent people were sent to jail on remand. More importantly, in the mining areas that I know well—I am the direct descendant of generations of miners—trust in the police was completely destroyed in communities where children were previously brought up to trust and support the police. Until there is an inquiry, those wrongs cannot be righted. How can the Minister possibly keep denying us one?
ParlaMint-GB_2016-11-01-commons.u240	If the hon. Lady looks at what I have said this afternoon, she will see that I have not commented on what the previous Government did or did not do. I have stated specifically that that is a matter for those who were members of that Government to comment on, not for me. Our decision is about the Orgreave case, based on the facts that the Home Secretary and I have looked at and the meetings with the families. The hon. Lady talked about the public’s view of South Yorkshire police, and of the police in general, and it is important that we continue with the reforms and ensure that South Yorkshire police have the support they need to rebuild those relationships with the public. That is the outcome that should be right for people across the country. We should continue with the reforms and I hope that she will support us in doing so.
ParlaMint-GB_2016-11-01-commons.u241	The miners from the Rhondda at Orgreave were dressed in T-shirts and plimsolls, and they were batted aside like flies by what felt like a paramilitary operation under political instruction. There are very real questions that the community in the Rhondda is still asking. Who gave those instructions? Has the present Home Secretary seen the operational instructions of the day? Why will she not publish them? Who told the police officers to fabricate evidence and to perjure themselves? The Home Secretary says that there has been no miscarriage of justice, but the people of the Rhondda will conclude that without a proper investigation and full publication, the miscarriage of justice is being done in this House by this Government. [Interruption.]
ParlaMint-GB_2016-11-01-commons.u242	The point that the Home Secretary was making—[Interruption.]
ParlaMint-GB_2016-11-01-commons.u243	Order. There is so much yelling from each side of the Chamber that it was difficult for me to hear the hon. Member for Rhondda (Chris Bryant), who should be heard by the House—and, indeed, by the world. I also need to hear the response from the Minister, which should also be widely heard. I say to Members on both sides: please, hold your noise.
ParlaMint-GB_2016-11-01-commons.u244	The point that the Home Secretary was making, and that I have made today, is that we have looked at a whole range of factors. The comparison has been made with Hillsborough, but unlike at Hillsborough, there were no deaths or wrongful convictions as a result of Orgreave. Also, policing has changed dramatically in the years since then. That is why the Home Secretary’s decision, which had to be made in the wider public interest, is the right one, despite the fact that there is disagreement on it.
ParlaMint-GB_2016-11-01-commons.u245	Today’s exchanges show that what the Minister has described as the Home Secretary’s “difficult decision” is hardly going to be received as an independent consideration. He has said a lot today about the public interest. Will he tell us which public interest would be compromised or undermined by a demonstrably independent and cost-effective review of these signal events?
ParlaMint-GB_2016-11-01-commons.u246	That is a very good question. This reminds me of a question I asked when I met the campaigners. I asked what they were hoping an inquiry would achieve. There were no wrongful convictions to correct, and there were no deaths to investigate. There was, however, a question about police behaviour. We can learn the lessons of the past and look at the behaviour, performance, structures and working of the police for the future. Things have changed dramatically in the past three decades, from the reforms in the Police and Criminal Evidence Act 1984 right through to the ones that we are introducing today. I therefore ask the hon. Gentleman to support us in our work on continuing with these important reforms.
ParlaMint-GB_2016-11-01-commons.u247	Many of those campaigning for an inquiry into Orgreave drew hope from the result of the Hillsborough inquiry. Is the real reason that no inquiry will be allowed in this instance the fact that the Government fear that it would show that, unlike at Hillsborough, the police conspired in advance and initiated the confrontations, which would undoubtedly lead to questions about Government involvement?
ParlaMint-GB_2016-11-01-commons.u248	As I have said, there are considerable differences between the two situations. The basis on which the Government’s decision on an inquiry into Orgreave was made was whether it would be in the wider public interest.
ParlaMint-GB_2016-11-01-commons.u249	With your permission, Mr Speaker, I wish to make a statement on matters relating to the Leveson inquiry. A free press is an essential component of a fully functioning democracy, which is why it was a manifesto commitment of this Government to defend a free press. The press should tell the truth without fear or favour and hold the powerful to account. However, we now know that that freedom has in the past been abused. We know that some parts of the press have ignored their own code of practice and the law. I have met victims of illegal and improper press intrusion, some of whom have suffered immense distress In July 2011, the coalition Government announced an inquiry into the role of the press and the police in phone hacking and other illegal practices in the British press. Lord Justice Leveson—now Sir Brian Leveson—was appointed chair of the inquiry. Part 1 of the inquiry examined the culture, practices and ethics of the press. It considered such matters as whether the press needed a different form of regulation and how the press interacted with the public, the police and politicians. Sir Brian Leveson heard evidence from more than 300 people, including some of those who had been affected by the most egregious press behaviour. On 29 November 2012, the Leveson inquiry published its report on part 1. It contained 92 recommendations, the majority of which have been acted on and are being delivered. Part 2 of the inquiry, which has not yet begun, would further examine wrongdoing in the press and the police Following a cross-party agreement, a royal charter established the Press Recognition Panel, which began operating in November 2014. As stated on its website, the panel’s purpose is to ensure that any press self-regulator is “independent, properly funded and able to protect the public, while recognising the important role carried out by the press” Since September 2015, the panel has been taking applications from regulators that are seeking recognition. Alongside the royal charter, section 40 of the Crime and Courts Act 2013 was designed to incentivise newspapers to join a recognised self-regulator. Section 40 has passed into law but remains uncommenced. It is one of two incentives. The other, relating to exemplary damages, came into effect on 3 November 2015. A self-regulator applying for recognition must meet the specific criteria set out in the royal charter, including providing a system of low-cost arbitration to replace the need for court action. Section 40 contains two presumptions: that if a publisher who is a member of a recognised self-regulator loses a relevant media case in court, they do not have to pay the winning side’s costs; and that if a publisher who is not a member of a recognised self-regulator wins such a case in court, they would have to pay the losing side’s costs as well as their own. Each element was intended to encourage the press to join a recognised self-regulator through a legitimate rebalancing of the normal rules on costs It has hitherto been the view of Government that as we wait for a number of elements of the new self-regulatory regime to settle in—the exemplary damages provisions of the 2013 Act, the press developing an effective form of voluntary self-regulation, and self-regulators applying for recognition—the time has not been right to commence section 40. However, the panel recently recognised its first self-regulator, the independent monitor for the press or IMPRESS, which currently has around 50 members. Meanwhile, the Independent Press Standards Organisation, known as IPSO, regulates more than 2,500 publications but has been clear that it will not seek recognition from the panel. We think the time is right to consider section 40 further It has also become apparent that the final criminal case relating to the Leveson inquiry is entering its final stages. We therefore think it is an appropriate time to start to consider the next steps on part 2 of the inquiry. Many of the issues that part 2 would have covered have been addressed over the past five years. Three police investigations— Operations Elveden, Tuleta and Weeting—have investigated a wide range of offences. A clear message has been sent to all police officers and public officials that receiving payments for confidential information will not be tolerated and will be dealt with robustly. The Metropolitan Police Service has introduced new policies on whistleblowing, gifts and hospitality, and media relations There was also a degree of subject matter overlap between parts 1 and 2 of the Leveson inquiry. For example, the inquiry reviewed the MPS’s initial investigation into phone hacking and the role of politicians and public servants regarding any failure to investigate wrongdoing in News International. Part 1 made numerous recommendations which, where they relate to them, are being addressed by the police, Her Majesty’s inspectorate of constabulary, the Independent Police Complaints Commission and the College of Policing. Given the extent of the criminal investigations, the implementation of the recommendations from part 1 of the Leveson inquiry and the cost to the taxpayer of the investigations and part 1—£43.7 million and £5.4 million respectively—the Government are considering whether undertaking part 2 is still in the public interest We are keen to take stock and seek the views of the public and interested parties—not least those who have been the victims of press abuse. We will also formally consult Sir Brian Leveson, in his role as inquiry chair, on the question of part 2 at the appropriate time. I can announce that today we are launching a public consultation, inviting comments on both section 40 and part 2 of the Leveson inquiry from organisations that are affected by it and from the public. It will run for 10 weeks from today—1 November—until 10 January 2017. It is laid out in a consultation document entitled, “Consultation on the Leveson Inquiry and its implementation”, published on gov.uk. I am also depositing it in the Libraries of both Houses I have met Sir Brian Leveson, and spoke to him again this morning. I will write to him formally as well. I am extremely grateful for all the work that he and his team have done to get us this far. The Government are determined that a balance is struck between press freedom and the freedom of the individual. Those who are treated improperly must have redress. Likewise, politicians must not seek to muzzle the press or prevent it from doing legitimate work, such as holding us to account. The police must take seriously their role in protecting not only their own reputation, but also those people they are meant to serve. That is the balance that we wish to strike, and the consultation is the most appropriate and fairest way of doing so. I commend this statement to the House.
ParlaMint-GB_2016-11-01-commons.u250	What a sad day this is. I am at least grateful to the Secretary of State for giving me an advance copy of her statement an hour ago—947 days after all parties reached an agreement to implement in full the recommendations of the Leveson inquiry The Prime Minister herself set the test for the process on 14 June 2012 when she said to the inquiry: “I will never forget meeting with the Dowler family in Downing Street to run through the terms of this Inquiry with them and to hear what they had been through and how it had redoubled, trebled the pain and agony they’d been through over losing Milly.” She went on to say that the test should be “are we really protecting people who have been caught up and absolutely thrown to the wolves by this process. That’s what the test is.” The Government reassured victims that if they spoke out at Leveson, the Government would act on his recommendations. Today, the Culture Secretary has announced that we must wait another 10 weeks while the reforms are discussed all over again in the context of a wider consultation on the press. The Opposition believe that they have been discussed and debated enough and should have been implemented years ago. The victims of press intrusion cannot wait a day longer for this Government to honour David Cameron’s promises to pass the then Home Secretary’s self-defined test. For the Culture Secretary to stand here today and announce a consultation into the press nearly 1,000 days after those reforms were agreed by party leaders is deeply regrettable As the Culture Secretary said, it is more than five years since the previous Prime Minister stood at the Dispatch Box and announced an inquiry into press practices and ethics. A lot has happened since then. We have had the Hillsborough inquiry and its findings on misleading police statements to Government officials and subsequently newspapers. We had the urgent question on Orgreave just this morning. We have had the case of Mazher Mahmood, the fake sheikh who perverted the course of justice to secure his scoops and in so doing left scores of previous convictions unsafe. Senior police officers have had to resign over phone hacking. We have had more information emerge about the brutal murder of Daniel Morgan, a private investigator who was threatening to reveal police corruption to the press. Over 30 police and public officials have been jailed for bribery Leveson 2 was meant to look at the relationship that existed between newspapers and police. Despite the exposure of criminality, it is impossible for the Minister to credibly conclude that we have learned enough about corruption to halt Leveson 2 before it starts. After all, one of the terms of reference for the second part of Leveson is “To inquire into the extent of corporate governance and management failures at News International and other newspaper organisations, and the role, if any, of politicians, public servants and others in relation to any failure to investigate wrongdoing” In other words, Leveson 2 is the investigation into how the cover-up of phone hacking was conducted. In effect, the Culture Secretary is today announcing a consultation on whether the cover-up should be covered up. It is my view that the events of the past five years make Leveson 2 more urgent, not less. Leveson was created so that a Minster would not have to worry what pressure she was put under by newspaper editors. What the Secretary of State is doing today is abandoning that principle. She is taking back the power from an independent judge, and in so doing she opens up the Executive to accusations that they have succumbed to the vested interests of media barons—it is an age-old story and she is carrying the can I am afraid that the Secretary of State leaves us no choice but to ask her some searching questions. First, did the Prime Minister discuss the Leveson process at her private meeting with Rupert Murdoch in New York last month? Secondly, when the Secretary of State spoke to Lord Leveson earlier today, did he approve this hurried consultation? Does he agree with her analysis? Will she allow him to make a public statement? Finally, has she spoken to the parents of Milly Dowler and to other victims of press intrusion? What is their view of these proposals? Do they think this passes the Prime Minister’s test? Are we really protecting people who have been caught up and absolutely thrown to the wolves?
ParlaMint-GB_2016-11-01-commons.u251	I welcome the hon. Gentleman to the Dispatch Box, but I disagree with much of what he has just said. Let me start by being clear about victims of press intrusion: the first people I met in this job regarding press regulation were the victims of phone hacking—I did so with Hacked Off. I have been determined throughout my time in this role to make sure that I meet as many victims as possible; I did the same in my previous role in the Home Office and I continue to do it, because if we do not listen to people and what they have been through, we cannot possibly imagine it and legislate in an appropriate way. But what is clear to me, and I think to him, is that we all want effective, robust press regulation, so we have to look at the situation we find ourselves in today, not five years ago, to make sure we can achieve that. In his list of things that had happened, he actually set out all the reasons why we need to take a step back and to consider the position, so I invite responses from all interested bodies—from all people affected by this. I am sure that we will get many, many responses to the consultation and I welcome them. We need to look at this in terms of the situation and the press regulation we have today, to make sure we get the right, appropriate, robust, effective press regulation, so that, as he said, we do all we can to protect people.
ParlaMint-GB_2016-11-01-commons.u252	I welcome my right hon. Friend’s intention to continue to listen very carefully on these matters. Will she confirm that in considering how best to proceed, she will take account of the significant deterioration in the economic health of traditional media, which has taken place even since Leveson and is still leading to the closure of titles at both national and local level? Will she bear in mind that the real media giants of today, such as Facebook and Google, are outside the scope of legislation and regulation altogether?
ParlaMint-GB_2016-11-01-commons.u253	My right hon. Friend, who was my predecessor in this role, sets out important arguments, which we need to consider. He rightly says that we need to make sure that this regulation affects the whole of the press, not just the print media that are on our high streets and that are produced locally, but those global players on the internet.
