ParlaMint-GB_2016-11-15-commons.u1	1. What plans he has to prevent excess deaths in the winter of 2016-17.
ParlaMint-GB_2016-11-15-commons.u183	I am a frequent visitor to HMP Lewes in my constituency, so I know what a fantastic job the prison officers there do in difficult circumstances. One problem they are facing is a rise in the number of sexual offenders in prison, either on remand or serving a prison sentence, which makes life difficult for prison officers to manage. Will the Secretary of State update us on what work is being done to help prisons such as HMP Lewes?
ParlaMint-GB_2016-11-15-commons.u184	I thank my hon. Friend for her question. The prisons Minister will be visiting HMP Lewes on Friday, when he will follow up some of the issues she raises.
ParlaMint-GB_2016-11-15-commons.u185	We have nearly 7,000 fewer prison officers in our prisons than in 2010. The Secretary of State is now desperately trying to recruit 2,500 prison officers, yet she comes to that Dispatch Box and attacks prison officers for taking desperate measures because their safety is at risk every day. How does she think that will help with recruitment?
ParlaMint-GB_2016-11-15-commons.u186	I support prison officers, who do a fantastic job. The people I am attacking are those in the Prison Officers Association who have called this illegal action, despite the fact that we were in talks with them and there was an offer on the table, which has not been responded to. I wholeheartedly support the good work of prison officers across the country, and I want them to benefit from the improvements we are making on the frontline and to safety. We are launching a new apprenticeship programme to recruit more people, and we have a new programme encouraging the brightest and best graduates to become prison officers. Of course these things will take time, but I have also talked today about the measures we are taking in the short term to stabilise the situation in our prisons.
ParlaMint-GB_2016-11-15-commons.u187	Testing for psychoactive substances has the potential to be a game changer, so has there been an increase in the number of charges for possession? Has the message finally got through to people that if they take Spice, we will know they are doing it, they will be charged and they will take the consequences?
ParlaMint-GB_2016-11-15-commons.u188	My hon. Friend clearly has much experience in this area and what he says is absolutely right. The prisons and probation ombudsman described psychoactive substances a game changer in our prison estate, and they are one of the reasons why we face the current situation. We rolled out testing in September, and we have trained 300 sniffer dogs to detect those substances. That will have an impact, and we are already beginning to see it in some of our prisons.
ParlaMint-GB_2016-11-15-commons.u189	The Lord Chancellor should perhaps bear in mind that questions of what is and is not legal are to be determined by the courts, not by Ministers and not by this House. I say to her gently that she cannot praise prison officers in one breath and then condemn them for being reckless in the next without trying to achieve some understanding of how things have reached this point. If she really wants the POA to come back to the negotiating table, might she think about the tone she adopts in dealing with this dispute, so that it might have some confidence that if it does return, it will be listened to?
ParlaMint-GB_2016-11-15-commons.u190	I respectfully say to the right hon. Gentleman that I have had a number of meetings with the POA and discussed issues of safety, on which I share its concerns. I am absolutely not attacking the hard-working prison officers on our frontline, but it is a mistake for the POA to call for unlawful industrial action in the middle of talks. I urge it instead to come back to the negotiating table, because that is how we will get a safer environment for our prison officers to work in; we will not get that through unlawful industrial action.
ParlaMint-GB_2016-11-15-commons.u191	When I was a very junior civil servant under a Labour Government, one of my first tasks was to get an injunction to stop the POA going on strike—we did that many years ago. Will the Secretary of State tell us the effects of the current unlawful industrial action, both on those who work in our prisons and on those detained in them?
ParlaMint-GB_2016-11-15-commons.u192	We have implemented our contingency plans across the prison estate, at local, regional and national levels, but clearly we will not be able to run full regimes and that puts people at more risk. We are managing as safely as we can, but I strongly urge the POA to come back to the table to start negotiations again, so that we can reach a solution that helps make our prisons safer.
ParlaMint-GB_2016-11-15-commons.u193	I have three prisons in my constituency, two closed and one open, and a fourth prison is nearby in Doncaster. Therefore, for the past 20 years I have known only too well the stresses and strains that those working in the service are under, particularly because the people who end up in prison today are pretty nasty characters who have committed some terrible crimes. The Secretary of State has said that she wants to hear from those on the frontline about how we can make our prisons safer, so may I urge her to look at the charter of minimum safety standards produced by the Community union, which has worked with its front-line officers to identify practical ways forward to secure safer conditions in our prisons? Will she meet people from Community to discuss that document?
ParlaMint-GB_2016-11-15-commons.u194	I visited HMP Bronzefield a couple of weeks ago, where I met members of Community and discussed these safety issues. We agreed on a great number of things, which, in the White Paper, the Government have announced are taking place, and I am keen to continue those discussions.
ParlaMint-GB_2016-11-15-commons.u195	May I welcome the measures that my right hon. Friend announced recently? I join her in condemning the action by the POA, which is not going to help it or the prisoners it is meant to be looking after. I, too, am concerned about retention, which affects the young offenders prison in my constituency. My local officers raise with me their fear that the courts do not have the sanctions available to impose tough enough sentences on those who assault prison officers—there is no deterrence. Will she examine that?
ParlaMint-GB_2016-11-15-commons.u196	I completely agree with my hon. Friend that crimes committed in prison against prison officers need to be treated extremely seriously, and I am working closely with the Attorney General and the Home Secretary to make sure that that is followed through.
ParlaMint-GB_2016-11-15-commons.u197	We all welcome the Secretary of State’s willingness to tackle violence in prisons by funding additional officers, but she must be honest with the House about how this does not extend to those people working in our prisons in the private sector. Prisoners do not choose whether they end up in a public or private establishment, and those who work in the private sector, including those from my Community union, perform a public service in guarding those prisoners, whether the contract is directly with the Government or not. What is she going to do to help ensure the safety of all in our prisons and give them the respect they deserve?
ParlaMint-GB_2016-11-15-commons.u198	I thank the hon. Lady for her comments and I can confirm that those increases will also apply in the private sector as well as in the public sector.
ParlaMint-GB_2016-11-15-commons.u199	In response to concerns from prison officers, this Government criminalised psychoactive substances in prisons. My right hon. Friend has announced an increase in the number of prison officers, but will she inform the House what other steps have been taken to increase safety in prisons, including limiting the illegal use of mobile phones by prisoners?
ParlaMint-GB_2016-11-15-commons.u200	My hon. Friend is absolutely right; mobile phones and drones pose a serious security threat. We are working closely with the mobile phone companies to be able to block those mobile phones in prisons. We are also rolling out the use of body-worn cameras across the estate to give officers more protection, and we are offering prison governors specific support in dealing with the issues they face in their particular establishments.
ParlaMint-GB_2016-11-15-commons.u201	Prison officers at Holme House prison in my constituency tell me that they, like others, have suffered cuts and seen increases in violence. The former Lord Chancellor and Education Secretary designated it an academy-type prison with new freedoms for the governor to do things differently. Assuming that these powers still exist, what difference are they making—or has that failed experiment also been abandoned?
ParlaMint-GB_2016-11-15-commons.u202	I am sure that the hon. Gentleman has read the White Paper in full, where we announced that further powers are being devolved to governors right across the prison estate. This enables them to conduct their own recruitment campaigns and give special payments to retain officers, and it is working.
ParlaMint-GB_2016-11-15-commons.u203	The Secretary of State has talked about short-term issues, but if we are truly to see long-term reform of the Prison Service we need to empower governors to manage, lead and innovate. Does she agree with that and will she proceed on that basis?
ParlaMint-GB_2016-11-15-commons.u204	I completely agree with my hon. Friend. We are giving prison governors power over their education budgets, so that they can ensure that the offenders in their institutions are getting the skills they need to secure a job on release. We are enabling them to work with local employers and also to co-commission health services, so that there is closer work towards getting prisoners off drugs, which is a major cause of reoffending.
ParlaMint-GB_2016-11-15-commons.u205	Parc prison in Bridgend has an enviable record of successful work in cutting intergenerational reoffending, reducing reoffending and of family intervention, which makes a difference. Does the Secretary of State understand the importance not just of staff numbers, but of appropriately skilled and trained officers, and, once we get them, of retaining them, because her record to date does not show that she does?
ParlaMint-GB_2016-11-15-commons.u206	I completely agree that retaining staff is vital, which is why we have given these additional freedoms to governors. We are also recruiting more staff to the frontline so that staff feel safer, which is a very important part of the job. By having more staff on the frontline, we will enable more time to be spent turning offenders’ lives around, which is why the prison officers to whom I speak wanted to go into the service in the first place. What is important is getting offenders into jobs and off drugs.
ParlaMint-GB_2016-11-15-commons.u207	When the former shadow Secretary of State for Justice, Lord Falconer, opened a debate on prison reform earlier this year, he rightly recognised that the problems in our prison system go back not one year or five years, but decades. Given that we have a situation in which more than half of adult males reoffend within a year of their release, should we not be focusing on rehabilitation rather than blame?
ParlaMint-GB_2016-11-15-commons.u208	My hon. and learned Friend is absolutely right. Reoffending is a huge cost to society—£15 billion a year—but it is also a huge cost to the victims who suffer from those crimes. The prison system is not turning lives around in the way that it should, which is why our White Paper was a plan for prison safety and reform. We need to have safe prisons in order to be able to reform offenders, and by reforming offenders our prisons will become safer too.
ParlaMint-GB_2016-11-15-commons.u209	The tone of the statement from the Secretary of State today has been absolutely shameful. It is no wonder that relationships are at an all-time low. Will she take this opportunity to apologise to the House and to the officers for allowing things to get this far?
ParlaMint-GB_2016-11-15-commons.u210	In my view, it is those on the Opposition Front Bench who need to condemn unlawful industrial action. I know that that will not solve the safety problems in our prison estate, but I want a constructive relationship—I want the POA to come back to the table.
ParlaMint-GB_2016-11-15-commons.u211	Is not the real problem that we still lock people up in Victorian prisons, which is not good for the safety of the prisoner or of the prison officer? Is not the solution to build modern new prisons such as the one the Government are building in Wellingborough? Will the Secretary of State update the House on how that programme is being developed?
ParlaMint-GB_2016-11-15-commons.u212	My hon. Friend is absolutely right. As well as recruiting new staff and retaining our highly valued existing staff, we also need officers to be able to operate in modern, fit-for-purpose buildings, such as the one that we are putting in place in Wellingborough. I would be delighted to update him shortly on the plans for that.
ParlaMint-GB_2016-11-15-commons.u213	Is the Secretary of State aware of the level of demoralisation that exists right across the criminal justice system in members of staff such as prison officers? In my respectful view, her tone today has been entirely misplaced and ill-judged. Given the current crisis that pervades our criminal justice system, is it not about time that she changed her approach and began talking to the people who have served that system for many, many years and stopped taking unilateral action against them and their terms and conditions at work?
ParlaMint-GB_2016-11-15-commons.u214	I have had many discussions with prison officers across the prison estate, and I agree that there are issues with safety, which I am seeking to address. I want the job of prison officer to be highly respected, as it is a very important role in our society. What I am saying today is that we have been having discussions with the Prison Officers Association, and that it has failed to respond to the offer that has been put on the table and, instead, called unlawful industrial action. It is very, very poor indeed that the Opposition refuse to condemn unlawful industrial action, because that is what we are talking about.
ParlaMint-GB_2016-11-15-commons.u215	I was particularly interested to hear the Secretary of State’s comments about the measures to tackle psychoactive substances. Does she agree that the rise in psychoactive substance use in our prisons has been a contributory factor in the increased levels of violence that we are seeing today?
ParlaMint-GB_2016-11-15-commons.u216	My hon. Friend is absolutely right that psychoactive substances have played a large part in the violence issues, which is why it was so important that we rolled out those drugs tests over the past month or so and that we have trained dogs to detect those substances. We have also seen a rise in the use of mobile phones and drones, which poses a new security threat. Again, we are dealing with that.
ParlaMint-GB_2016-11-15-commons.u217	In order to get staff numbers up quickly before the fresh permanent recruitment kicks in, will the Government consider swallowing their pride and launch a programme to re-recruit prison officers who have recently left the service on temporary six or 12-month contracts?
ParlaMint-GB_2016-11-15-commons.u218	We are absolutely willing to consider those people returning to the service. We want to recruit high-quality officers.
ParlaMint-GB_2016-11-15-commons.u219	The Justice Secretary says that she wishes to recruit high-quality officers. Does she agree that veterans of our armed forces have exactly the type of skills needed to deal with challenging situations in our prisons? Will she update me on what is being done to ensure that they are recruited into the Prison Service?
ParlaMint-GB_2016-11-15-commons.u220	We have a specific programme to recruit former armed service personnel who are highly suitable to working in the Prison Service as they bring with them values of discipline and hard work, which are so important in turning the lives of offenders around.
ParlaMint-GB_2016-11-15-commons.u221	Will my right hon. Friend update the House on the plans to ensure that prisoners are rehabilitated so that when they leave prison, they do not reoffend?
ParlaMint-GB_2016-11-15-commons.u222	We are putting the role of the Secretary of State into primary legislation to ensure that we are not just housing offenders, but turning lives around, getting people the education that they perhaps have not had in the past, getting them into work once they leave prison and getting them off drugs. All those things lead to a reduction in reoffending.
ParlaMint-GB_2016-11-15-commons.u223	I for one have enormous respect and admiration for our prison officers and for the difficult work that they do. A fortnight ago, the Secretary of State came to this House and committed to bring on stream an additional 2,500 prison officers. What reaction has she had to that announcement from the Prison Officers Association?
ParlaMint-GB_2016-11-15-commons.u224	We did announce an additional 2,500 prison officers. That will enable every single officer to be responsible for six prisoners, which we know will achieve the results of improving safety and ensuring that we reform offenders. I would like to see the Prison Officers Association support that change.
ParlaMint-GB_2016-11-15-commons.u225	With permission, Mr Speaker, I will make a statement about HS2 One of my first steps as the new Secretary of State for Transport was to reiterate the Government’s backing for HS2. I did so from the conviction that it is essential to delivering a modern, vibrant economy for the United Kingdom This is a Government who deliver the infrastructure projects that the economy needs, which is core to delivering a country that works for everyone, wherever in the country they live. Last month, we announced support for a new runway at Heathrow, showing that Britain is a dynamic country that is open to the world Today I am announcing the Government’s preferred route for HS2 lines from Crewe to Manchester and from the west midlands to Leeds, known as phase 2b, which will help to rebalance our economy beyond London and the south-east, ensuring that economic prosperity and opportunities are shared throughout the country. That means that following on from the 2013 consultation and work that we have done since, I am today confirming the majority of the route. There are a number of cases, including the proposed route through south Yorkshire recommended by Sir David Higgins in a report earlier this year, where I am proposing substantial refinements. I am launching a consultation to seek the views of communities and other interested parties before reaching a decision on those sections next year The first phase of HS2 from London to the west midlands is just over 100 miles long, but phase 2 is significantly longer at 174 miles. The route that I am confirming today represents a huge commitment to the midlands and to the north. HS2 is not just about a faster connection between the south-east, the midlands and the north. It represents a bold vision for connecting up the great cities of the north of England and of the midlands, both east and west. Connectivity is central to HS2. Poor connectivity between the cities and regions of the midlands and the north has restrained their economic growth. High-quality transport allows businesses to grow, work together and access a wide range of customers, suppliers and skilled labour markets. By improving connections between our great cities, HS2 will generate jobs, skills and economic growth and help us to build an economy that works for all Today, only 4% of people who travel between Birmingham and Manchester do so by train—hardly surprising, when the journey takes around 90 minutes. But on HS2, it will take less than half that time—just 41 minutes—so at a stroke, those two regional capitals are much more closely linked and can deliver increased economic prosperity. The flow of people, ideas and opportunity will follow those new connections Work is also progressing to see how HS2 could help to deliver parts of a fast, frequent northern powerhouse rail network for Liverpool, Manchester, Sheffield, Leeds, Hull and Newcastle. Where necessary, we will include passive provision for these services in the phase 2b hybrid Bill, subject to agreement of funding and the supporting business case. Just as important as connectivity is the uplift that HS2 will deliver to our transport system. It will not be a separate, stand-alone railway, but an integral part of our nation’s future rail network and overall transport infrastructure. It will add to the overall capacity of our congested railways. Even those who never travel on HS2 stand to feel its benefits By providing new routes for intercity services, HS2 will free up space on our existing railways for new commuter, regional and freight services, while also taking lorries off our roads. It will provide new options for services to towns which currently do not have a direct connection to London. Tomorrow’s HS2 and east and west coast main lines could have 48 trains per hour to Birmingham, Manchester and Leeds. That compares with 29 today Even those who never travel by rail at all stand to benefit from the thousands of local jobs and apprenticeships created by the better connections that HS2 will bring and by the project itself. It will generate around 25,000 jobs during construction, as well as 2,000 apprenticeships. It will support growth in the wider economy, worth an additional 100,000 jobs. I recently visited the site of the new National College for High Speed Rail in Birmingham. Together with its sister college in Doncaster, it will open its doors next year to provide Britain’s workforce with the specialist training, skills and qualifications to build HS2 and future rail projects. It will deliver highly skilled, highly motivated people who will have the opportunity of a great career in a vital industry Today’s announcement represents an important step forward in delivering HS2, and with it the transport infrastructure essential to the economy of 21st-century Britain. However, I am well aware that there are those with the firmly held view that HS2 should not go ahead, and those who doubt whether the case has been made satisfactorily. Indeed, I know that many Members of this House have strong convictions on this issue. I am under no illusions; this is not an easy undertaking, but I believe that it is the right thing to do. The easy thing to do would have been to keep patching the existing railways, making do and mending a railway that the Victorian pioneers themselves would still recognise, and hoping to fit ever-increasing passenger and freight growth in the same pint pot. That is not what the people of this country deserve, nor is it what our economy requires In addition to publishing today a Command Paper and accompanying maps, setting out the full detail of my preferred route for the HS2 phase 2b route, I have written to those Members whose constituencies are affected, and the Under-Secretary of State for Transport, my hon. Friend the Member for Harrogate and Knaresborough (Andrew Jones), will make himself available to Members who wish to meet him later today In order to ensure that our case is robust and in line with the requirements of the Treasury’s Green Book, we have of course considered alternatives to the phase 2b scheme. We found no alternative that could deliver the same level of benefit for the country, stand the test of time and provide the same level of capacity, connectivity and service as phase 2b does. Over the past few months I have personally visited most places along the HS2 route. I have seen and heard for myself all the issues, and I remain convinced that through this project we are delivering the right solution to the country’s transport needs It is important to say that I recognise that building major infrastructure will always be disruptive and disturbing for those living nearby, and I am mindful of the concerns of the constituents of very many Members of this House. In proposing this route, I have listened to the views expressed in the consultation of 2013, as well as those of HS2 Ltd’s engineering and environmental specialists I am issuing safeguarding directions for the whole of the preferred phase 2b route today. That protects it from conflicting development, but it also means—this is extremely important—that the people who are most affected by these plans will be able to access statutory compensation straight away. In addition, I will be consulting on discretionary property schemes that will go over and above what is required by law and give assistance to those who will be adversely affected by the railway. These schemes are the same as those currently in operation for people living along the phase 1 route. I aim to be able to confirm next year the schemes on which I am consulting today Two of these schemes will come into operation from today. They are the express purchase scheme and the need to sell scheme. Express purchase allows owner-occupiers to apply to the Government to buy their home sooner than would be possible under statutory schemes. The Government will buy properties at their unblighted open market value, as if HS2 were not going to be being built, will provide a home loss payment of 10% of the property’s open market value up to £58,000, and will pay reasonable moving costs Need to sell is a purchase scheme for people who have a compelling reason to sell their property but cannot do so, other than at a significantly reduced price, because of HS2. There is no geographical boundary to this scheme. The Government will agree to buy property for 100% of the open market value if an application is successful As I say, I am mindful of the impacts that HS2 has on communities. I can assure every Member of this House that my Department and HS2 Ltd will continue to work with affected communities and local authorities up and down the line of route, and in that process I expect people to be treated with fairness, compassion and respect Today marks the end of a long period of uncertainty for communities, councils and businesses along the route of phase 2b. These have been complex and difficult decisions to take, but I make no apology for taking the time to get them right and making sure that the route we are proposing offers the best possible outcomes for passengers, communities, the environment and the economy I need to touch briefly on phase 1. I can report to the House that phase 1 from Birmingham to London is progressing well. Construction work is due to start early next year, subject to Royal Assent. Phase 1 will open in 2026. In a clear signal of how work is progressing, this morning I have announced the companies that have been awarded the phase 1 enabling works contracts. These works include archaeology, site clearance and the setting up of construction compounds ahead of the start of the main civil engineering work. These contracts are worth up to £900 million and cover the whole of phase 1 from London to Birmingham and the connection to the west coast main line at Handsacre. Work is due to begin in the spring Another aspect of the preparatory work on phase 1 is the considerable engagement with those on the line of route, some of whom have taken up our express purchase compensation scheme. We are continuing this offer of support and will be writing to those people whose homes or business may be directly affected by construction. We have a general obligation to continue to seek further reductions to adverse impacts during the design, construction and operation of the scheme. This is something that I will be watching very closely. In keeping with that obligation, HS2 Ltd has continued to look at possible mitigation measures around Euston station where existing rail lines converge. This could significantly reduce impacts on rail passengers and the local community. Any decision on the adoption of these possible mitigations would be taken closer to the letting of main contracts next year, and I will update the House at that time This is part of a wider design process, which will continue to add detail to our proposals for phase 1 well into next year and beyond. I would expect similar mitigations to come forward elsewhere along the route as the detailed design stage starts in earnest after Royal Assent HS2 is an ambitious and exciting project, and we must seize the opportunity it offers to transform our country for future generations. Local authorities and local enterprise partnerships are gearing up for HS2 and developing growth strategies, supported by UK Government growth strategy funding, to maximise the benefits of HS2 in their area. I am pleased to announce further funding today for Manchester, the northern gateway partnership, Leeds and the east Midlands, and the first tranche of funding for Sheffield, to support this important work This Government are planning for the future. We are taking the big decisions and investing in world-class transport infrastructure. We are ensuring that the UK can seize opportunities and compete on the global stage. But we are also aiming to deliver more capacity on our overcrowded railway, which could see a 65% increase in the number of trains on this part of the network The route decision I published today takes us an important step closer to realising the full potential of HS2. It means better transport connections and capacity, more jobs and more training opportunities. Just as importantly, it links centres of innovation and opportunity in the cities and regions of the midlands, the north and our knowledge economy. I commend this statement to the House.
ParlaMint-GB_2016-11-15-commons.u226	I thank the Secretary of State for his statement and for advance sight of it, for which I am most grateful Labour Members are pleased to finally have a partial announcement of the HS2 route, and it is to be very much welcomed, as the delay in getting to this announcement has been immensely stressful for the communities concerned. Labour supports HS2 because we recognise the need for not only faster journey times and improved connectivity but, most importantly, extra capacity—not just for the benefit of passengers, but to transfer freight from road to rail, as the Secretary of State mentioned in his statement The employment, and in many cases the lifelong career opportunities, that HS2 will bring will be immense, and we very much welcome all of that, but that does not mean that our support is without qualification, as considerable concerns still remain. There are significant details of the route that have not been confirmed in today’ s announcement—most notably a decision on whether to site a station in or around Sheffield, which has been dodged, along with three decisions on the western leg and three on the eastern leg. This is not the first time we have experienced this Government dithering on key infrastructure decisions. While we welcome the consultation that is to follow, there is clearly a risk that it may cause the Government to overly delay decisions, as we have seen recently on a number of nationally important pieces of infrastructure. I ask for an assurance from the Secretary of State that that will not be the case in this instance During the consultation, it is imperative that the voices of local communities be heard—especially those communities that will be particularly disrupted by the route as we now know it. Among other things, we have seen the pain and anguish caused to many villages and communities in the south Yorkshire region and elsewhere, and while we need to study the detail of the proposals we must ensure that proper mitigations and comprehensive compensation schemes are in place. There will be strong arguments made to modify the alignment of the route in many cases, and those arguments will have to be given proper consideration Earlier this year, the National Audit Office reported that HS2 had an “unrealistic timetable” and faced major cost pressures, and that too ambitious a timetable meant that not all the intended benefits would be delivered. We have seen similar problems beset other rail projects, with the Government recently reneging on their manifesto commitment regarding electrification works on the Great Western route and refusing to commit to the already delayed timetable of electrification works on the midland main line. The Department for Transport has a track record of being unable to complete works on time or on budget, so there is understandable concern that HS2 will not be delivered to budget or on time, and I ask the Secretary of State to confirm unequivocally that the planned start dates will be met and the project delivered on the planned timescale and costings This is not solely about HS2. So-called HS3 has to be progressed, as do the paused and unpaused enhancement works that are essential to bring greater connectivities to communities that are not directly connected to HS2. They cannot be forgotten, and they cannot be left behind. The benefits that HS2 can bring to the country are significant, but the Government must get a grip to keep the project on track and to avoid the concerns expressed in the National Audit Office report being realised The Government announced that a new rail franchise, the west coast partnership, which is scheduled to start on 1 April 2019, will combine the current inter-city west coast services with HS2, meaning that HS2 will be run in the private sector from 2026 and that Virgin looks set to be granted a further uncontested 12-month contract to run inter-city west coast trains. The Government seem determined to hand over vast swathes of our public services, and what should be our public services, to Richard Branson en masse. Billions of pounds of taxpayers’ money is being invested in HS2, so it is right that the revenues go back to the Exchequer and not into the hands of train operating companies. HS2 should be run in the public sector, as a public service. Given the concerns about the cost of HS2, the Government should be looking to get the best deal for the UK rather than the shareholders of private train companies or the taxpayers of Germany, France or Holland. It is time to take back control of our railways. Labour is committed to the public ownership and running of our railways, and that includes HS2. A future Labour Government would bring any such franchise back within public operation at the earliest possible opportunity. We support HS2, but it has to deliver for taxpayers and passengers alike, and that will be the consistent challenge for Parliament in the years ahead.
ParlaMint-GB_2016-11-15-commons.u227	First, let me welcome the hon. Gentleman’s support for the principle of the project, although we obviously have one or two areas of difference Let me start with the issue of the route through Sheffield. The hon. Gentleman accuses us of dithering. I would simply remind him that we have a statutory duty to consult. We are bringing forward a new set of proposals. He will not, I am sure, argue that I should break the law when it comes to the consultation process that we need to go through. I clearly want to give people as much certainty as possible, as quickly as possible, but I have a statutory duty, and I intend to fulfil it I recognise the issue that local communities face, and part of what we will need to do through that consultation process is listen to those local communities about the things we can do, large and small, to mitigate the impacts on them. That is a very important part of the consultation process The hon. Gentleman talks about an unrealistic timetable. I think many people in this country would share my frustration that, actually, it will take 17 years from today to complete the whole of HS2. If that is an unrealistic timetable—if it should take much longer—heaven help us. This project has taken a long time to get to this point and will take more years than I would wish to complete—and we need it to be completed—so the idea that it is an unrealistic timetable to complete this project by 2033 seems to me a strange one The hon. Gentleman raised the question of electrification. I would simply remind him that, through 13 years in government, Labour electrified 10 miles of railway line. It is small wonder, when we actually started to electrify key main lines, that the expertise was no longer there. It is all very well Labour calling on us to do this, but we are the ones who are undertaking the modernisation of our railways. Through all those years when Labour was in power, the investments in our railways were pitiful by comparison with what we are doing today The hon. Gentleman also raised the question of HS3. He will be aware that Transport for the North is working on proposals for what is now being called northern powerhouse rail. That will be much more than a single railway line, and it will build the connectivity we need from east to west. I am waiting with interest to see Transport for the North’s proposals for the future The hon. Gentleman asked about the west coast partnership. He will understand that, on the day before this line opens, there will be Pendolinos running up the west coast main line, and, on the day after, there will be express trains running up HS2 to Birmingham, Manchester and Liverpool. I want that to be a smooth transition. We have to make sure the train drivers are trained. We have to make sure the staff are ready for the change. I do not envisage a situation where we sack all the staff one day and hire a new group the next. It makes sense to have a smooth transition, and that is what we are planning On the hon. Gentleman’s point about the private sector, let the Labour party hark back to the days of British Rail; we want a railway that is modern and progressive. Since the railways were privatised, after decades of decline, the number of passengers has doubled and new stations and railway lines have opened. This is a railway that is moving forwards, not backwards, as it would under Labour.
ParlaMint-GB_2016-11-15-commons.u228	I welcome today’s announcement by the Secretary of State, not least because it gives a degree of certainty to all the poor people and businesses that are going to be affected by this project. Perhaps he will forgive me if I do not share his overexcitement about its potential, as no benefit accrues to the Chilterns. He is well aware of my criticism of how HS2 has conducted its operations. Will he therefore give me, and people beyond this Chamber, a personal undertaking that there will be generous, fair and rapid compensation, the highest environmental protection, and timely and thoughtful community engagement? I hope that there will also be a revision of the totally archaic hybrid Bill process, which has in itself added pain to the suffering that people along the line have had to experience so far. It is crucial that lessons are learned from phase 1 before we embark on phase 2a.
ParlaMint-GB_2016-11-15-commons.u229	I absolutely echo the need to make sure that we do the right thing by people affected on the route. I slightly disagree with my right hon. Friend about the benefits in the Chilterns, although it is true that in her constituency, which is on a different line, the benefits are different from those a little further away on the other side of the Chilterns on the line that runs up through towns such as Tring, where there will be a benefit in extra capacity on commuter services—it is estimated that there will be twice as many seats on trains going to Euston station in the morning peak, and I think that will be very welcome to the people who use that line. Of course, I absolutely understand that we have to take great care. I share her concern about the hybrid Bill process. It is clear from the discussions we have had on this in the past that there is a widespread view in this House that we want a simplified and modernised process, and work is being done right now on how that might be achieved. However, I also believe very strongly that we need to invest in our future, and that is what this is about.
ParlaMint-GB_2016-11-15-commons.u230	I thank the Secretary of State for early sight of his statement. I have studied all seven pages of it. He starts by stating that in making his decision he “did so from the conviction that it is essential to delivering a modern, vibrant economy for the United Kingdom”, and ends by saying that he is “ensuring that the UK can seize opportunities and compete on the global stage.” Yet in seven pages mentioning 34 places, including the future beneficiaries, not once does Scotland get a mention. There is nothing about connecting Scotland and there are no options for Edinburgh, Glasgow or any other Scottish city—no passing comment even. We support high-speed rail, but not just to Birmingham, Leeds or Manchester. This announcement, unless followed by a commitment to speed up links to Scotland, means, in effect, our getting further away from London, in relative terms. When did he discuss this announcement with the Scottish Government, and what guarantee did he give for high-speed rail to be connected to Scotland?
ParlaMint-GB_2016-11-15-commons.u231	Let me start by reminding the hon. Gentleman that I have made two very significant transport announcements in this House in the past month, the last of which was very specifically focused on ensuring that we had better aviation links both to London and internationally via our expansion of Heathrow airport. I was particularly keen to stress the importance of protecting connectivity particularly to Scotland and Northern Ireland, because the air links are so crucial to the economies of those nations. Let nobody suggest that I am not interested in connectivity to Scotland; it is a priority for us Let us be clear about what this project delivers for passengers travelling down the east coast and west coast routes, who will benefit as much as anybody else from the increased speeds at which they are able to travel over most of the route to Scotland. There is therefore a benefit to Scottish passengers as well. Let us also remember that this is much more than simply a transport project: it will generate a whole set of new skills and business opportunities for this country—for this United Kingdom. Indeed, the Under-Secretary, my hon. Friend the Member for Harrogate and Knaresborough (Andrew Jones), recently spoke at a suppliers’ conference in Aberdeen. I fully expect to see jobs created in Scotland and opportunities for business in Scotland. That is all part of how we seek to represent and support this entire United Kingdom.
ParlaMint-GB_2016-11-15-commons.u232	The Parliamentary Under-Secretary of State is clearly a very lucky fellow indeed; I am sure that he much enjoyed orating to the said conference.
ParlaMint-GB_2016-11-15-commons.u233	Does the Secretary of State agree that the massive improvement programme for our railways—not just HS2 but the existing network—is a fundamental part of the Government’s programme to deliver economic success and economic rebalancing?
ParlaMint-GB_2016-11-15-commons.u234	My right hon. Friend is absolutely right. It is very important to see today’s announcement in a broader context, because while we are investing in the long term we are also investing in the short term. To give just one example, £350 million is being spent on improvements to the rail network around Liverpool. There are many other examples around the country—indeed, there are improvements in Scotland and in Wales. Our Government strategy is about much more than this railway line; it is about delivering transport improvements across the whole United Kingdom.
ParlaMint-GB_2016-11-15-commons.u235	Those of my constituents who are affected by this will be appalled that none of their proposals on the route has been taken into account, either on the route itself or on mitigation, and will, frankly, wonder why they bothered. There is a concern that the Government and HS2 are taking seriously the concerns and interests of cities but not those of towns and smaller communities, and that there is a willingness to invest in mitigation or tunnelling for the south but not for the north. What can the Secretary of State say to my constituents to give them any good reason to carry on engaging with this process at all?
ParlaMint-GB_2016-11-15-commons.u236	I would say to the right hon. Lady’s constituents that we fully intend to go through a process of detailed engagement. I am happy, as is my hon. Friend the Under-Secretary, to meet her to talk about these issues. I have travelled the route and seen for myself some of the issues and challenges. I have in mind some things that we might do to help improve the design of the route and reduce its visual impact. I will listen to her and to other Members. Fundamentally, though, she will understand, as a Yorkshire MP, the importance of this kind of connectivity to the economy of her region and the jobs it will create. We have to do this in the best possible way.
