ParlaMint-GB_2016-10-17-commons.u1	1. What steps his Department is taking to help disabled people to access Government support.
ParlaMint-GB_2016-10-17-commons.u178	I urge the hon. Gentleman to give his support to the inquiry. Let us all try to find a way of being confident about it. Alexis Jay, the chair, has said that she hopes to conclude the inquiry by the end of 2020, but it is perhaps for us in the House and for the Home Affairs Committee to give her assistance. I am not suggesting anything but the most thorough of scrutiny, but it may be that we need to give as much assistance as we can to make sure that the new chair can do a thorough and successful job going forward.
ParlaMint-GB_2016-10-17-commons.u179	I very much welcome the appointment of Professor Jay to take the inquiry forward. Can the Home Secretary confirm that victims of child sexual exploitation in my constituency will be able to engage with the inquiry and share their experiences?
ParlaMint-GB_2016-10-17-commons.u180	My hon. Friend is right. Alexis Jay has the experience to be able to lead the inquiry and under the truth project, one of the strands within the inquiry, we are encouraging people to come forward and speak to the inquiry about their experience.
ParlaMint-GB_2016-10-17-commons.u181	The Home Secretary is right to talk about the independence of the inquiry. We all want Professor Jay to be able to make a success of such an important inquiry now, but there is continued concern because this is the fourth chair and the second legal team, and because of the lack of transparency about the problems that there seems to have been from both the inquiry and the Home Office. Is the Home Secretary satisfied that the transparency arrangements for the inquiry are strong enough and that there will now be enough accountability for the progress of the inquiry?
ParlaMint-GB_2016-10-17-commons.u182	The right hon. Lady has come to the crux of the matter—have we got the right balance of independence and transparency? I recognise that that is something that I need to reassure people about and hopefully demonstrate. One of the reasons for being here today is to make that point. I will watch carefully to make sure that we continue to get the right balance, providing the independence that is necessary while being as transparent as possible.
ParlaMint-GB_2016-10-17-commons.u183	I think it is worth reiterating the importance of independence, and I hope my right hon. Friend agrees with me. I hope she will reinforce to the House that protecting the strictly independent nature of the inquiry is incredibly important. Will she continue to give that reassurance?
ParlaMint-GB_2016-10-17-commons.u184	My hon. Friend is right. Ensuring that people have confidence in the inquiry is also about maintaining its independence.
ParlaMint-GB_2016-10-17-commons.u185	Instead of making this all about lawyers, judges and even Ministers, may we bring the focus back to where it really belongs—on the needs, wishes and interests of the victims? Will the Home Secretary give us an assurance that as the inquiry goes forward, any request for access from victims’ representatives to her or to the inquiry will be met, that the victims’ voice will be heard in Government, and that any victim who is pursuing justice by another route will not find that route prejudiced by any shortcomings in the inquiry?
ParlaMint-GB_2016-10-17-commons.u186	I thank the right hon. Gentleman for making that important point. The inquiry is, of course, about the victims and survivors. When I wanted to make inquiries about appointing a new chair, I did, of course, consult the victims and survivors consultative panel to ensure that it was supportive, which indeed it was. The right hon. Gentleman is right—we must make sure that the victims and survivors are always at the centre of our words and our deeds.
ParlaMint-GB_2016-10-17-commons.u187	As well as it being vital that this important inquiry is strictly independent, as hon. Members have emphasised, does my right hon. Friend agree that it is vital that we let it do its work and await its report, rather than anyone seeking in any way to pre-empt its findings?
ParlaMint-GB_2016-10-17-commons.u188	My hon. Friend is right. We are caught between our impatience to find out more and the need to keep the inquiry independent. We are hoping for an interim statement on the inquiry for the current financial year—the end of March next year—and I hope that that will shed some light on progress to date.
ParlaMint-GB_2016-10-17-commons.u189	The Saville report took 12 years and spent £190 million to report on a single incident that took place over two hours. This inquiry has been given the mission impossible to report on hundreds of thousands of incidents that took place over many decades. Is it not time for the House to confess that this was a political escape hole to recover from an embarrassing situation, and to make it clear that the matter is, of course, of vital importance, but that the committee must be allowed to reshape the report and its inquiries so that they can be reported within our lifetimes?
ParlaMint-GB_2016-10-17-commons.u190	I do not share the hon. Gentleman’s view about this being a political inquiry of any sort. I think it is essential, important and valued by everybody—in this House certainly, and in the nation generally. We have a Select Committee that will continue to make its inquiries. As I said earlier, Alexis Jay has indicated that she hopes to conclude the inquiry by the end of 2020.
ParlaMint-GB_2016-10-17-commons.u191	Given that we are where we are now with the resignation of Dame Justice Goddard, does my right hon. Friend agree with Professor Jay when she says that the inquiry is “open for business”? Does she agree that it can now go forward with its vital work with confidence to demonstrate its accountability?
ParlaMint-GB_2016-10-17-commons.u192	Yes, my hon. Friend is absolutely right. We may have discussions, urgent questions and statements on issues of staffing, but the fact is the inquiry is going ahead, it is taking evidence and the chair is working hard to make sure she delivers as soon as possible.
ParlaMint-GB_2016-10-17-commons.u193	It is not taking evidence from everyone yet. I am the appointed representative of some of the survivors from my constituency, and my office is assisting others with statements, and none of that has gone forward yet. Is there not a danger that this is going to become another lawyers bun fest, with judges and barristers resigning, and with large numbers of lawyers not just queueing up, but at the front of the queue, to make large amounts of money not only representing people to the inquiry, but, simultaneously, taking legal civil action against the authorities? What are the Government going to do to ensure that the survivors are at the heart of this rather than the lawyers?
ParlaMint-GB_2016-10-17-commons.u194	We always make sure that survivors are at the heart of this. There is, nevertheless, a legal role to be played, and there are expenses associated with an inquiry, but there is no blank cheque. One role with which the Home Office does have constant engagement is making sure that the budgets are carefully set and challenged each year so that the proper costs are associated with this.
ParlaMint-GB_2016-10-17-commons.u195	I am sure the inquiry is moving forward in the right way, but I hope we are not being deflected from dealing with child abuse that is going on at the moment, especially of children who are trafficked into this country. One thing we could do urgently is move the protection of children who are trafficked from local government to national Government and the Home Office. If the Home Secretary would be willing to look into that, it would improve things enormously.
ParlaMint-GB_2016-10-17-commons.u196	I know of my hon. Friend’s action and strong reputation on the issue of trafficking, and I would of course be delighted to speak to him on any matter in this area on which he has advice to give. I would like to reassure him, though, that a key element of this inquiry is about learning from the past to improve institutions going forward.
ParlaMint-GB_2016-10-17-commons.u197	Will the Home Secretary accept that there are some serious questions to be asked about the due diligence that was undertaken in the appointment of Justice Goddard in the first place? Has she had an opportunity to discuss with her predecessor what steps she took to ensure Justice Goddard was up for the job? Can she confirm for me exactly what date she expects the interim report, exactly what date she expects the final report and what the total cost of the inquiry will be?
ParlaMint-GB_2016-10-17-commons.u198	We have asked for the interim report by the end of this financial year, so we would expect it in March or April next year. I have already indicated that we hope that the final report will be completed by the end of 2020, but I cannot be prescriptive about that; that is for the chair to decide, but that is the indication she has given.
ParlaMint-GB_2016-10-17-commons.u199	Can the Home Secretary reassure my constituents that the work of this important inquiry was not stopped each time a chairman stood down? Can she reassure the House that there is a robust system of deputy chairs in place?
ParlaMint-GB_2016-10-17-commons.u200	Considerable work has already been done over the past 16 months. The new chair is aware of the need to get confidence back and to pick up activity with all due urgency. I assure my hon. Friend that she is taking that obligation, with the momentum that she has now picked up, very seriously.
ParlaMint-GB_2016-10-17-commons.u201	When I asked the former Prime Minister an oral question about the loss of survivor testimonies that were submitted through the inquiry website, he said that he would write to me. What he meant was that he would print a press release from the inquiry website and forward it on. This patronising and irresponsible approach has been the only consistent theme of the inquiry. Is it not time that this Government started listening to the legitimate concerns of survivors and experts, and acknowledged that unless something changes, it is simply being set up to fail?
ParlaMint-GB_2016-10-17-commons.u202	I respectfully ask the hon. Lady perhaps to engage with the inquiry in a slightly more positive manner. This Government set it up, and we are absolutely serious about wanting to assist survivors and victims, and wanting to make the changes to institutions that are necessary as we move forward.
ParlaMint-GB_2016-10-17-commons.u203	Parliament set it up.
ParlaMint-GB_2016-10-17-commons.u204	The hon. Gentleman is absolutely right, but I like to think that this Government had some part in making sure that that took place If the hon. Lady would like to write to me about the particular instance to which she is referring, I would of course be happy to respond, and she can rest assured that I will do so.
ParlaMint-GB_2016-10-17-commons.u205	Order. Unless I am much mistaken, the hon. Member for Lewes (Maria Caulfield), who is a most assiduous attender at our proceedings, was not here at the start of these exchanges in the Chamber. [Interruption.] If she was, that is fine. I had been advised that she was not, but her word is good enough. If she says she was, that is good enough for me. Was she here at the start of the exchanges on this matter?
ParlaMint-GB_2016-10-17-commons.u206	indicated assent.
ParlaMint-GB_2016-10-17-commons.u207	Very good.
ParlaMint-GB_2016-10-17-commons.u208	Do Professor Jay and the panel have the resources they need to complete this inquiry, and if not, what extra help can be given to them?
ParlaMint-GB_2016-10-17-commons.u209	My hon. Friend raises an important point. These inquiries are not always popular because they can be costly, but the Home Office has a management technique to make sure that we always look carefully at the costs that might be involved. I assure her that we will always make sure that they are sufficiently funded to do the job well.
ParlaMint-GB_2016-10-17-commons.u210	As part of its work, the inquiry was due to look into the sexual abuse of children in the care of Nottingham City Council and Nottinghamshire County Council as one of its first-phase investigations. As the Secretary of State knows, survivors in my constituency have already waited not just years but decades for their voice to be heard. What assurances can she give to my constituents, who are desperate to secure a measure of justice, about the timeframe for those investigations?
ParlaMint-GB_2016-10-17-commons.u211	I completely understand the need for the hon. Lady’s constituents to have a better view on the potential timing of the progress of this inquiry. We now have a chair who has said that she is going to move with momentum and pace, so I would expect them to hear from her soon. I am sorry to have to repeat this, but it is for the inquiry to decide how to proceed. I urge the hon. Lady to engage with the chair in order to get an answer.
ParlaMint-GB_2016-10-17-commons.u212	Following the question by my hon. Friend the Member for Wellingborough (Mr Bone), with the movement of people and the vulnerability of children a matter of concern to all of us in this House, what steps are the Government taking with other nations to tackle the global challenge of child sexual abuse in order to learn from that and better inform the inquiry?
ParlaMint-GB_2016-10-17-commons.u213	Internationally, we are viewed as being ahead of other countries in trying to address this. We have a number of initiatives online to make sure that we share good practice and engage with other countries. The Modern Slavery Act 2015 is one way of making sure that less abuse takes place. Again, we are an international leader in that area.
ParlaMint-GB_2016-10-17-commons.u214	I have known far too many people in my life who have been abused. A colleague at theological college used to cry herself to sleep every single night because of the abuse she had suffered as a child. A young member of the congregation where I was a curate self-harmed for months on end because of the abuse that she had suffered from one of her teachers. Another ordinand was abused by the Bishop of Gloucester—a man in power and authority, and spiritual authority, over him. For all those people, and doubtless for all the others we all know, the thing that matters more than anything else is getting to the truth, so that what they know in their heart is known by everybody else to have been the truth. I say very gently to the Home Secretary that if at any point she has a choice between letting everything out into the open and keeping some things back, she should always go for the former, not the latter.
ParlaMint-GB_2016-10-17-commons.u215	I completely agree with the hon. Gentleman. It is incumbent on those of us who have anything to do with an inquiry about transparency and abuse to ensure that we are as transparent, accountable and frank with people as possible. I reassure him that I will always do that, but I would like to turn the emphasis back to the inquiry and the new chair so that we can make the progress that is so essential to his and all our constituents.
ParlaMint-GB_2016-10-17-commons.u216	David Cameron was very fond of quoting Justice Brandeis’s dictum that sunlight is the best disinfectant. In the spirit of the comment of my hon. Friend the Member for Rhondda (Chris Bryant), does the Home Secretary agree that we need to get all the facts out in the open now? Will she allow, and in fact even encourage, former panel members to share their fears and concerns in public so that we can start with a completely clean sheet?
ParlaMint-GB_2016-10-17-commons.u217	I would like to reassure the hon. Gentleman that the new chair takes that approach in terms of full transparency, but I do not want to mislead him by saying that the Home Office can do too much on that. We can be frank and open about every stage that we have been involved in, but it is for the inquiry to answer some of the detailed questions. I remind the House that Alexis Jay will be in front of the Home Affairs Committee tomorrow and hopefully will be able to answer some of the hon. Gentleman’s questions.
ParlaMint-GB_2016-10-17-commons.u218	Diolch yn fawr iawn, Mr Speaker. When the Macur report was presented earlier this year, it contained hundreds of redactions, apparently to avoid prejudicing court actions, much to the dismay of victims in north Wales. What can the Home Secretary do to ensure that the report of the independent inquiry into child sexual abuse will have a minimal amount of redactions to help victims to obtain justice in the courts?
ParlaMint-GB_2016-10-17-commons.u219	I can honestly say that I share the hon. Gentleman’s view that an inquiry of this nature and seriousness should have the minimum amount of redactions. What the Government and the country expect is a full, open inquiry that will allow our constituents and people in our country who have been abused to have the truth and justice opportunity that they are seeking, and then for us and the institutions involved to learn so that such abuse does not happen again.
ParlaMint-GB_2016-10-17-commons.u220	(Urgent Question): To ask the Secretary of State for Health if he will make a statement on the budget for community pharmacies in 2016-17 and 2017-18.
ParlaMint-GB_2016-10-17-commons.u221	Members will have seen media coverage over the weekend about our consultation on the community pharmacy contractual framework. I shall set out the current position, the process going forward and how the final decision will be announced to the House In December 2015—10 months ago—the Government set out a range of proposals for reforming the community pharmacy sector. Our intent was to promote the movement of the sector towards a future based on value-added services, together with much stronger links to the general practitioner sector We proposed ways in which to make a reduction to the £2.8 billion currently paid to the sector. Part of the rationale was the increase of 40% in the budget and an increase of 18% in the number of establishments in the past decade or so. Each establishment now receives an average £220,000 of margin over and above the cost of drugs disbursed. Many of the establishments are in clusters The 2015 spending review reaffirmed the need for the privately owned community pharmacy sector to make a contribution to the publicly owned NHS efficiency savings that we need to deliver. We are confident that the changes proposed will not jeopardise the quality of services required or patient access to them, but some services will be delivered differently, which is why we have set aside £112 million to recruit a further 1,500 pharmacy professionals to be employed directly by the NHS in GP practices The Government have consulted on the reforms since December 2015. On 13 October this year, the Pharmaceutical Services Negotiating Committee rejected our proposed package and sent a list of remaining concerns. We are now in the process of considering its final response, and expect to be in a position to make an announcement to the House shortly.
ParlaMint-GB_2016-10-17-commons.u222	Thank you, Mr Speaker, for granting this urgent question. Community pharmacies play a vital role in frontline healthcare. Nearly 12,000 communities in England provide free advice to patients, and more than 1 billion items were dispensed in the community last year—an increase of 50% on 2005. Reports in recent days, however, make it clear that the Government are determined to press ahead with massive cuts to community pharmacies in this and the next financial year Serious questions remain about the impact of those cuts. When will Ministers finally publish an impact assessment of the proposed plans? How many pharmacies will close? Which regions will lose the most? Will they be in clusters or not? What will be the rate of loss in urban, as opposed to rural, areas? Will the Minister confirm that only about one in 10 community pharmacies will be helped by the pharmacy access scheme? Community pharmacies and the cuts to them are a complete false economy for the NHS. They can only add further pressures to our already overstretched A&E units and GP surgeries. What is the Minister’s assessment of the downstream costs to other parts of the NHS as a result of cuts to the community pharmacy budget, especially given the evidence from Pharmacy Voice that one in four people who would usually visit a pharmacy for advice would instead make a GP appointment if their local pharmacy was closed? In areas of higher deprivation, such as those in my constituency, the numbers are much higher We have seen massive opposition to these cuts, not just from pharmacies and voices on both sides of the House, but from the 2.2 million people who have signed the biggest petition in healthcare history. To conclude, Ministers have, to be frank, been all over the place. We have had mixed messages and false hope. The Government announced a pause to the cuts. Is not there now a compelling case for that pause to be made permanent?
ParlaMint-GB_2016-10-17-commons.u223	The hon. Gentleman has not had any mixed messages from me. A pause was announced because the original consultation gave the intent to go ahead with this on 1 October. Given the change of Government and of Prime Minister, and given the new Chancellor and new Ministers, we took the opportunity to look at it again, to make sure that we get it right for patients, the NHS and the pharmacy sector itself, and that is what we intend to do The hon. Gentleman asked several questions, but first he said that the pharmacy sector is vital, and we agree with him. In some instances, however, there are as many as a dozen pharmacies within half a mile of each other. That is not an isolated occurrence. Each of those pharmacies receives £25,000 per annum, and it is our job to consider whether that money could be better spent in other parts of the NHS I am not in a positon today to announce the final format or shape of the GP access scheme.
ParlaMint-GB_2016-10-17-commons.u224	It is in the newspapers.
ParlaMint-GB_2016-10-17-commons.u225	That is speculation. We continue to look at the most recent communication that we have received from the negotiating body of the PSNC. I remind the House that 60% to 65% of these pharmacies are owned by public companies or private equity. The fact of the matter is that the Government have a responsibility to make sure that that money is spent effectively, and that is what we are going to do Finally, the hon. Gentleman said that GP access needs to remain good. I confirm and repeat the point that I made earlier: 1,500 additional pharmacists will be recruited into the GP sector by 2020. That is a massive investment, and it will make a big difference.
ParlaMint-GB_2016-10-17-commons.u226	I should declare that Boots has its headquarters partly in my constituency and partly in Nottingham South. May I gently say to the Minister that there is great concern about the proposals? If there was ever a time to argue to increase the role of pharmacies, it is now. They perform a hugely powerful job in making sure that people do not, to be frank, bother their GPs and A&E with matters that are best dealt with by pharmacies because they are of a minor nature. The Minister makes a good point about clustering, but he has to get this right, because, if he damages pharmacies, there will be fewer of them, not just in poorer areas, but in remote rural areas. I urge the Government to take a hard good look at the issue, to make sure that this is the right approach as the pressures on the NHS increase.
ParlaMint-GB_2016-10-17-commons.u227	I agree with my right hon. Friend. Boots makes a big contribution. It owns 1,724 pharmacies and is the biggest of the big four, which between them own 40% of all pharmacies. The Government’s position is that community pharmacists make a big contribution, but I repeat that the number of locations has increased by nearly 20% over the past decade, and each one gets £25,000 per annum just for being open and for being a pharmacy. One consequence is that we have seen a great deal of clustering, and 40% of pharmacies are within half a mile of three others. It is right that the Government look at that and make a judgment.
ParlaMint-GB_2016-10-17-commons.u228	I congratulate my hon. Friend the Member for Barnsley East (Michael Dugher) on securing this urgent question and on his exceptional campaigning on the issue. He is, no doubt, as disappointed as I am by some of the Minister’s replies Ministers appear to be intent on pushing ahead with the cuts that have been outlined, under which thousands of community pharmacies could close and patients could lose out on essential medical services. The Pharmaceutical Services Negotiating Committee has described the Government’s proposals as “founded on ignorance” and warned that they will do “great damage”. The National Pharmacy Association says that the proposal is a “dangerous experiment” that “shows a complete disregard for the well-being of patients.” Is that not an absolute indictment of the Government’s handling of this matter? The Minister has said that he will make an announcement shortly. Given the concern among Members from across the House, including Conservative Members, can he be more specific and tell us when he will give us a final decision? Will he also be negotiating a solution with the Pharmaceutical Services Negotiating Committee? As the Minister knows, his predecessor talked of the potential for up to 3,000 pharmacies to close. Is that correct, in the Minister’s judgment? If not, can he tell us how many pharmacies he thinks will close, and how many of those will be in deprived areas Has the Minister had a chance to study the PwC report that describes the cash savings that community pharmacies bring to the NHS? What will be the financial impact on the NHS of more patients presenting themselves at A&E departments and GP surgeries because pharmacies have closed Is not the real reason why Ministers are pressing ahead with these cuts the complete mismanagement of NHS finances? Hospitals ended last year £2.45 billion in the red. We have had continual warnings from experts in the NHS, and over the weekend we learned from the Prime Minister that there is no more money for the NHS. The Secretary of State and the Prime Minister would be wrong to continue to ignore the advice of experts and pretend that everything is going to be okay. Unless the Government get a grip of the funding crisis facing the NHS, I fear that these cuts are just the start and that there is worse to come.
ParlaMint-GB_2016-10-17-commons.u229	The Government spend more than the OECD average on the NHS. We spend more than the commitments made by the Labour party before the last election. That does not mean that we do not have a duty to spend that money as effectively as we can, however, and that is exactly what we intend to do. The money that may be saved by the measures we are consulting on will not go to the Treasury; it will be recycled back into NHS England. That is what NHS England wants to happen The hon. Gentleman mentions the excellent PwC report, which reaffirmed the value of community pharmacists to this country. PwC did not consider whether that same value could be still provided after some savings to the network. That is what we are looking at, and it is reasonable and responsible for the Government to do so. To say that that is not the case is simply incorrect The hon. Gentleman mentioned that the previous Minister talked about 3,000 pharmacies closing. We do not believe that the number will be anything like that big. In some areas, there are 10 or 11 pharmacies within half a mile of each other. [Hon. Members: “Where?”] Leicester, Birmingham—we can talk more about this. It is quite possible that at the end of the review, some of those pharmacies will merge. If that happens, it will not mean that provision has been reduced. We do not believe that patient provision will suffer at all from the changes that we are considering.
ParlaMint-GB_2016-10-17-commons.u230	Community pharmacies play a very important role locally. Many of them have taken on useful services, such as eye tests and hearing tests, which definitely help to reduce the workload of GPs and of the NHS. Does my hon. Friend agree that we need a community pharmacy service that is better integrated with primary care and public health in line with NHS England’s five-year forward view?
ParlaMint-GB_2016-10-17-commons.u231	It will not surprise the House to learn that I agree. Last Thursday night, I announced to over 1,000 pharmacists at their annual dinner that we are moving ahead with an urgent access scheme. From the beginning of December, all 111 calls for repeat prescriptions will go directly to pharmacists, not to the out-of-hours GP service. That is a tangible difference. We will do just the same with a minor ailments scheme, which will be commissioned right across the country so that, by April 2018, pharmacists will be paid—over and above any money that comes out of this settlement—for minor ailments work on things such as earache and so on. Those are exactly the sort of sensible steps that need to be taken to integrate pharmacy more closely into GP practice, and that is what we are doing.
ParlaMint-GB_2016-10-17-commons.u232	In Scotland, we already have a national minor ailments scheme within our community pharmacies, and it has had a huge impact. The Scottish Pharmacy Board estimated at the beginning of the project that 10% of those making GP visits and 5% of those making A&E visits could be seen in community pharmacies, so our investment has been in completely the opposite direction—in that of developing and strengthening such pharmacies. On top of minor ailments, one of the big areas that has made a difference is in chronic disease management. For people on repeat prescriptions, the pharmacist requests their next prescription and has it ready, while for housebound people, they deliver it, as they do with blister packs The concern about these changes is that pharmacists are afraid it will be a case of cutting and then seeing who survives. If it is felt that there are too many pharmacies in one place, reducing their number needs to be done in a planned way, otherwise rural and deprived areas will end up without one. The Government should be making sure that community pharmacy is a real part of the NHS, not slashing it.
ParlaMint-GB_2016-10-17-commons.u233	The hon. Lady made several points. On her last point, the access scheme on which we are currently consulting will protect pharmacies in rural and deprived areas. That is precisely the point of the scheme The hon. Lady’s first point was that Scotland has moved ahead on minor ailments, and we agree. I am on the record as saying that the pharmacy first scheme in Scotland is a good model. We want the profession to move away from just dispensing towards more value-added activities, such as services. That is precisely why we are putting into effect the minor ailments scheme that has been piloted. It will be implemented right across the UK—right across England, I should say—from April 2018.
ParlaMint-GB_2016-10-17-commons.u234	In the lee of Watership down in my constituency, the village of Kingsclere was so alarmed by the Government’s plans that it raised a petition, possibly for the first time in its history, in support of its precious local pharmacy. Will the Minister confirm that, notwithstanding the consultation, the idea of protecting the dwindling number of rural pharmacies will come out at the end of the consultation as part of the access scheme?
ParlaMint-GB_2016-10-17-commons.u235	Yes, I will confirm that. I am not in a position to announce today precisely how the access scheme will work, but I agree with my hon. Friend that a central part of it will be to make sure that everybody has a baseline distance to travel to get to a pharmacy and that everybody in the country will be able to access pharmacies within a reasonable time.
ParlaMint-GB_2016-10-17-commons.u236	NHS England’s five-year forward view stresses how important prevention is. Community pharmacies, which are anchored in the communities they serve, are vital in keeping people out of their GP surgeries and out of accident and emergency. The Minister talks about distance. What will the distance be? If I reflect on my own constituency, where the millionth signature of the petition was signed, my constituents really value each and every one of our community pharmacies. How many will he be cutting and how far does he expect people to travel to access one?
ParlaMint-GB_2016-10-17-commons.u237	The hon. Lady mentions the five year forward view. If she reads the “General Practice Forward View”, she will see that central to it is the recruitment of 2,000 pharmacists into GP practices across the country by 2020. That is how we will embrace the pharmacy profession and link it much more closely to GPs. I am not in a position, because we have not yet announced it, to discuss in detail today the final form of the access scheme and how it will work. Let us be very clear, however, that we do not expect people to have appreciably more of a journey to any pharmacy. We are talking about tens of metres, if any. The fact is that we will protect the pharmacies that need to be protected, so that everybody in the country has access within a reasonable time.
ParlaMint-GB_2016-10-17-commons.u238	Where sensible savings can be made, it is absolutely right that they should be explored, particularly if they are ploughed back into the health service. However, at a time when people in Cheltenham are turning increasingly to expert pharmacists for minor ailment support, can the Minister assure me that no changes will take place that undermine the welcome trend of going to pharmacies and not GPs?
ParlaMint-GB_2016-10-17-commons.u239	As I said, that is our intention. Our belief is that the package in its entirety, which we will announce shortly, will actually enhance the role of pharmacies in providing services.
ParlaMint-GB_2016-10-17-commons.u240	How many community pharmacies will close as a result of these cuts?
ParlaMint-GB_2016-10-17-commons.u241	We do not believe that any community pharmacies will necessarily close as a result of these cuts. That will depend on a number of factors. [Interruption.] I will answer the question, which is fair. It depends on the margin they make from their pharmacy activities and on the additional margin they make from their retail activities. Given that 65% of all pharmacies are owned by public companies or private equity, it depends on the position those organisations take to their businesses. That is very hard to predict.
ParlaMint-GB_2016-10-17-commons.u242	Will the Minister say a little more about how he sees these plans tying in with the agenda to better integrate health services? In Weldon in my constituency, GP and pharmacy services work very well together for local patients under the leadership of Dr Sumira. What best practice is out there, and what attention is the Government giving to it?
ParlaMint-GB_2016-10-17-commons.u243	As I said, we are recruiting an additional 2,000 pharmacists into general practice by 2020. We will also link community pharmacists into the NHS 111 system in a way that has never been done in England, so that repeat prescriptions will go direct to pharmacists and not to out-of-hours GPs. By 2018, pharmacists will receive additional payment for looking after minor ailments.
ParlaMint-GB_2016-10-17-commons.u244	I declare an interest as the chair of the all-party pharmacy group. In February this year, the Minister’s predecessor, the right hon. Member for North East Bedfordshire (Alistair Burt), said there would be an impact assessment. In answer to a parliamentary question I tabled last week and the Minister answered, you also said that an impact assessment will be published, so that it would inform the final decision. Can the Minister tell us when that will be published? Will it be shared with representatives of community pharmacists?
ParlaMint-GB_2016-10-17-commons.u245	I did not say anything about any impact assessment, but the Minister might have done for all I know. I have a feeling we are about to learn about it.
ParlaMint-GB_2016-10-17-commons.u246	As my predecessor said, an impact assessment is being produced, and when these proposals are published in their entirety, that will be published at the same time.
ParlaMint-GB_2016-10-17-commons.u247	On Thursday, my local clinical commissioning group will announce whether it is going to press ahead with plans to downgrade A&E at the Huddersfield royal infirmary. Can the Minister not see that when our A&Es are under so much pressure, we need community pharmacies and GP surgeries to see patients on the front line? I appreciate what he says about clustering, but having seen the last bank branches close in my rural communities, I am sorry but I just do not have confidence in it.
ParlaMint-GB_2016-10-17-commons.u248	All I can do is repeat the point that I made earlier. The Government completely agree that we need community pharmacies. The Government completely agree that they have a vital role to play in keeping patients away from GPs and, potentially, from A&E as well. That, however, is not the same as saying that the 11,800 pharmacies that we have at the moment are precisely the right number, or that the clustering is at precisely the right number as well. It is right for the Government to review this and to establish whether or not the £25,000 of NHS money that every pharmacy receives every year is money well spent.
ParlaMint-GB_2016-10-17-commons.u249	As we have heard, pharmacies have the potential to help the NHS become more efficient and community based. Community pharmacies are an integral part of the integrated care communities that the Success regime in Cumbria is promoting in order to take the pressure off our overstretched GPs and A&Es. We are really struggling to recruit doctors in Cumbria, so any loss of community pharmacies is a serious loss to our community. Can the Minister assure me that these wider health challenges are being taken into account?
ParlaMint-GB_2016-10-17-commons.u250	Yes, I can assure the hon. Lady that we fully understand the issues in places such as Cumbria. To an extent, the access scheme is designed to make sure that large rural communities are properly protected. I can only repeat that we value the services that pharmacies provide and that we do not believe that there will be a substantial detriment to them as a result of a bit less clustering.
ParlaMint-GB_2016-10-17-commons.u251	Given that as part of the Greater Manchester devolution deal, the Greater Manchester health and social care partnership has taken control of the £6 billion a year health budget, will Greater Manchester be treated differently? If not, is there not a case for the area to be allowed to determine for itself how best to make use of community pharmacies?
ParlaMint-GB_2016-10-17-commons.u252	It is my belief that the devolution deal does not include pharmacists, so the responsibility for that sector remains in the Department of Health. The proposals that we shall shortly outline will therefore include proposals for pharmacies that will apply equally to Greater Manchester.
ParlaMint-GB_2016-10-17-commons.u253	The Minister may not know how many pharmacies are going to close, but Reena Barai, an award-winning community pharmacy in my constituency, estimates that one out of four pharmacies in the London borough of Sutton, which is 11 pharmacies in total, will be closed. These will predominantly be the independents—not Boots or Superdrug. Why does the Minister think that, for years, successive Governments have encouraged people to visit their pharmacies for certain conditions or tests, instead of GP surgeries and A&E? Was it not because it was better for their health and cheaper?
ParlaMint-GB_2016-10-17-commons.u254	I can only repeat that we value and can see the value in community pharmacies. We do not believe that any reductions will be skewed towards the independent sector; nor do we believe that the sector’s position overrides our duty to look at clustering and to make sure that the money we spend in this sector—£2.8 billion—is spent most effectively and cannot be spent better on other parts of the NHS.
ParlaMint-GB_2016-10-17-commons.u255	As far as residents in the Kettering constituency are concerned, community pharmacies are a good thing. They relieve the pressure on the overburdened A&E at Kettering general hospital, and they are the only place to go when people cannot get an appointment at their local GP surgery. Can we please make more use of the community pharmacies that we have? If the Minister is right, and he suspects that not many community pharmacies will close, let me tell him in all candour that the process he is going through is completely cack-handed, because it is spreading fear among the community pharmacy community up and down the country?
ParlaMint-GB_2016-10-17-commons.u256	The current process began in December last year, and will be brought to an end shortly. I do not know about the specifies of the pharmacy scene in Kettering, but I repeat that we regard pharmacies as vitally important to the NHS. One of the proposals that we shall announce shortly is a proposal for an integration fund of £300 million, which will be used entirely to provide services and pay for pharmacies to provide them. It will be informed by the review that is being conducted by Richard Murray of the King’s Fund, and Kettering will benefit from those services in just the same way as other parts of the country.
ParlaMint-GB_2016-10-17-commons.u257	May I enthusiastically endorse the comments made by the hon. Member for Kettering (Mr Hollobone)? Community pharmacies are an underused resource. We currently spend £10 billion a year on diabetes treatment, 80% of which is spent on treating avoidable complications. Instead of cutting pharmacies, why do we not get them to do more to help with diabetes prevention, and to identify the 1 million people who have diabetes and do not know about it?
