ParlaMint-GB_2016-04-27-commons.u1	1. What steps he is taking to increase democratic participation.
ParlaMint-GB_2016-04-27-commons.u146	May I thank the right hon. Gentleman for his words, and particularly for his kind words about myself? May I, as I said in my opening statement, once again commend him for the way in which he has stood by the families for so long and carried their cause in this House, and indeed in government when he was in government I will respond to some of the right hon. Gentleman’s specific points, but first to the final point that he made. It is absolutely right, as was reflected in the statement that my right hon. Friend the Prime Minister made after the independent panel’s report came out, that what the families faced was a combination of the state in all its various forms not believing them, all the various attempts, as the right hon. Gentleman said, to cover up what had really happened, together with other agencies—the media and others—and indeed, dare I say it, most of the general public believing the stories that they read about the fans. To have stood against that for so long shows steel and determination but also an affection for their lost loved ones and a passionate desire for justice for those who died that is, as I said, extraordinary. I think we will rarely see the like again On the right hon. Gentleman’s individual questions, he asked me about the time for the files to be prepared by the two investigations. Both Operation Resolve and the IPCC say that they expect to have those case files prepared by the end of the year—I recognise that for the families this is a further wait—and there will be then be a period of time for the Crown Prosecution Service to consider them. I think everybody recognises—including those bodies, because they do of course interact with the families through the family forums—the importance of doing this in a timely fashion, but it is also important that it is done properly and thoroughly. I do not want to see anything in the way of this being done in the right way On the retirement of police officers, I have always felt that it is wrong that police officers should be able to avoid misconduct or gross misconduct proceedings by being able to retire or resign. That is why we have already changed the disciplinary arrangements; and, as the right hon. Gentleman said, we have a clause in the Policing and Crime Bill. I, or the Policing Minister, will be very happy to meet him or the hon. Member for Birmingham, Erdington (Jack Dromey) to discuss the various issues in relation to that matter The right hon. Gentleman mentioned Orgreave. Together with the hon. Members for Sheffield, Heeley (Louise Haigh) and for Wansbeck (Ian Lavery), I met representatives from Orgreave last year. I then received a submission from Michael Mansfield QC on behalf of the relevant group, and that is being considered. We have always said that a decision on Leveson 2 will be made when all the investigations have been completed. Some cases are still being considered, so that point has not arrived The right hon. Gentleman talked about the availability of funding for families at inquests. That is precisely the sort of issue that can be encompassed in the work that Bishop James Jones will do in hearing from the families about their direct experience and reflecting that to Government. As I said, it is right and appropriate that we then take a clear look at what further action we need to take Nobody should be in any doubt about the experience that the families had to go through at the inquests in not being able to show any emotion. The right hon. Gentleman referred to that. Also, for 27 years, many people did not know what had actually happened to their loved ones. They did not know how or at what time they died. Those details have come out only through the inquest. It must have been particularly difficult to sit through that, but I hope that the families have now found some peace through the truth coming out.
ParlaMint-GB_2016-04-27-commons.u147	I am very pleased that the efforts of the families and of the independent review panel, which did such outstanding work, have contributed to the outcome that entirely vindicates the position that they both adopted. I am also pleased if the small Department that I led at the time played a role in bringing that about The key issue is not that people make mistakes, because in human society mistakes will always be made, sometimes with catastrophic consequences. The real issue that should concern the House is that, in a society that counts itself as civilised and subject to the rule of law, it appears that for such a long time it was impossible to get redress and a proper examination of the issues. I regret to say that this is not a unique event, as there have been other occasions in the House when we have had to consider the implications of similar events in other circumstances. Bloody Sunday springs to mind The lesson that the House needs to take away is that we must subject ourselves and our institutions to quite a lot of self-examination and maintain that if we are to ensure that we do not have a repetition of this deplorable episode. I am not sure about the best way to do that. I simply say to my right hon. Friend the Home Secretary—she has done everything right in respect of this, and I commend her approach—that it is a question not just of the systems that we have in place but of some of the underlying attitudes. When uncomfortable truths float across the horizon, there is a temptation to try to brush them away because they confront us with difficulties that make us uncomfortable. If we tackle that, we can ensure not only that we do justice to the families in this matter, but that, in so far as is humanly possible, we do not repeat this.
ParlaMint-GB_2016-04-27-commons.u148	I thank my right hon. and learned Friend for his remarks and for the role that he played in ensuring that fresh inquests could take place. He is right: it is a question not just of systems but of attitudes. I have seen that in other areas, for example, in the work that we are doing on deaths in custody and in hearing from families in those cases. As I said, often, the institutions that should be the ones that people can trust to get to the truth combine to protect themselves. They have a natural instinct to look inwards and protect themselves rather than doing what is right in the public interest. My right hon. and learned Friend is also right that we can change the systems all we like, but it is really about changing attitudes and saying that those institutions are there to serve the public and that they should always put the public interest first.
ParlaMint-GB_2016-04-27-commons.u149	I thank the Home Secretary for her immensely dignified and thorough statement. I also welcome the jury’s determination and findings On behalf of the Scottish National party, I would like to acknowledge the heroic struggle for justice of the friends and relatives of the 96 dead. I also acknowledge the heroic struggle for justice of the shadow Home Secretary and others on the official Opposition Benches Today, we must also remember the 96 dead: decent people from all walks of life who were failed by the police and the emergency services—the very ones who should have been there to help them in their hour of need. Yesterday’s verdict follows 27 years of concealment of the truth and mudslinging at dead innocents. I agree with the right hon. and learned Member for Beaconsfield (Mr Grieve) that Hillsborough must rank alongside Bloody Sunday as one of the most disgraceful establishment cover-ups of our time The ruling confirms that some police officers behaved abominably and I note the shadow Home Secretary’s words about their being from the same force that so brutally repressed the miners’ strike. I was very pleased to hear what the Home Secretary said about that. Will she acknowledge the impact that the behaviour of some police officers has had on public confidence in the police and assure us that such actions can never happen again I am sure that elements of the media will also have learned a lesson, but, as the shadow Home Secretary said, will they ever be held to account? I think that the Conservative party has learned a lesson from this because, as has been said, the Home Secretary’s actions have been exemplary when compared with the attitude of the Cabinet at the time. Will she assure us that such a miscarriage of justice will never be allowed to happen again Justice delayed is justice denied. Now we have the truth, but accountability must follow, so what happens next is crucial. Does the Home Secretary agree that, where there are strongly founded allegations that police officers may have perverted the course of justice, or given misleading information to the media, MPs and this Parliament, or perjured themselves, appropriate action and prosecutions must be seen to follow swiftly I also echo the shadow Home Secretary’s comments about concerns that 30 police officers avoided disciplinary action by retiring to enjoy a full pension. Will the Home Secretary take steps to ensure that that cannot happen again I welcome the Home Secretary’s intention to reconstitute the Hillsborough article 2 reference group—article 2 of the European convention on human rights. Without the Human Rights Act and the procedural obligation on the state to investigate deaths properly under article 2 of the ECHR, the second inquest would never have happened, and the families might never have got justice. Will she and the Government please bear that in mind when they consider their attitude towards human rights and the ECHR in this Union of nations?
ParlaMint-GB_2016-04-27-commons.u150	The hon and learned Lady mentioned public confidence in the police and it is correct to say that this shattered some people’s confidence in the police. The representative from the IPPC made the point to the media yesterday that for some people in Liverpool, their trust in the police was severely damaged, if not destroyed, as a result of what they had seen. However, in talking about the actions of police officers at Hillsborough that day, we should recognise that some officers actively tried to help the fans and do the right thing On police responsibilities and attitudes, the College of Policing has introduced a code of ethics for police. We need to ensure that that is embedded throughout police forces, but it is an important step forward The hon. and learned Lady asked about ensuring that prosecutions take place where there is evidence of criminal activity. Of course, that is entirely a decision for the CPS. We must leave it to make that decision independently, as we must leave the police investigation and the IPPC investigation to prepare their cases independently On the hon. and learned Lady’s final point, I simply observe that we have had the coronial process in the UK for a considerable time, and the right to request an inquest and to request fresh inquests long before the ECHR was put in place.
ParlaMint-GB_2016-04-27-commons.u151	May I, too, pay tribute to all those who worked so hard to see that justice was done in this case, and to the Home Secretary and the shadow Home Secretary for their very balanced approach Does the Home Secretary agree that it is important that we learn lessons? For example, although the court process is inevitably stressful for victims and witnesses, as I know, none the less in this case the coroner and the jury did their duty and have proved that the jury system can be capable of grappling with the most complex and distressing of cases. That is to the system’s credit Will the Home Secretary also look at ensuring that there is proper equality of arms with regard to access to justice on such matters? That is fundamental to our rule of law? The Crown Prosecution Service must now consider and deal with a considerable volume of work and material. I note, for example, that some 238 police statements are said to have been altered in one way or another. Will the Home Secretary therefore discuss with the Treasury and my right hon. and learned Friend the Attorney General whether some blockbuster funding could be made available to deal with the pressures of resourcing the Crown Prosecution Service in this case, and whether the approach could be similar to that taken towards the Serious Fraud Office when it has to undertake major and unexpected inquiries?
ParlaMint-GB_2016-04-27-commons.u152	My hon. Friend will have noted that the Attorney General is sitting on the Treasury Bench and has therefore heard what he said about funding this sort of case. On my hon. Friend’s first point, he is absolutely right about the importance of the jury system. This shows the value of our jury system, and I repeat what I said in my statement: for people on the jury to have been prepared to take two years to ensure that justice was done in this case is absolutely commendable. They have shown considerable civic duty and our thanks go to them.
ParlaMint-GB_2016-04-27-commons.u153	May I say first of all that the response by my right hon. Friend the Member for Leigh (Andy Burnham) to the statement will reverberate throughout Merseyside and all around the country? I also praise the Home Secretary for all she has done to bring about yesterday’s momentous decision: thank you from the families On 15 April 1989, as fans walked away from an FA cup semi-final in Sheffield, we knew then that the disaster was not our fault. Almost immediately, however, lies and smears were being peddled, and within hours an orchestrated cover-up was in full swing. It took political intervention to force the judicial process of this country to take 27 years to recognise what we knew from day one—that Hillsborough was not an accident; that fans did not open a gate; that drunken and ticketless fans did not turn up late, hellbent on getting in; and that it was not caused by a drunken, “tanked-up mob”. Instead, 96 people were unlawfully killed Those who doubted must now recognise the true story of the efforts of my fellow supporters and their acts of self-sacrifice and heroism as they battled to save the lives of their fellow fans, and consign to the dustbin of history the lurid tabloid headlines that vilified them Despite the inquest being adversarial, not inquisitorial, yesterday’s verdict was unequivocal: Liverpool supporters were totally absolved of any blame and did not contribute to the disaster in any way. As someone once said: “I cherish the hope that as time goes on you will recognise the truth of what I say.” Will the Home Secretary join me in paying tribute to the families, survivors, campaigners and supporters who fought for truth and justice; to the solidarity of those who stood shoulder to shoulder, whether red or blue, for nearly three decades; and to the men and women of a proud city who never gave up until they got justice for the 96?
ParlaMint-GB_2016-04-27-commons.u154	I am very happy to join the hon. Gentleman in paying tribute not only to the families and the way in which they kept the flame of hope for truth and justice alive over 27 years, but to the city and people of Liverpool, who have shown solidarity and will continue to do so over the coming days. As the hon. Gentleman has said, regardless of their footballing affiliations they recognised the injustice that had been done. They came together, they supported the families, and truth has now been found.
ParlaMint-GB_2016-04-27-commons.u155	What we can learn from the hon. Member for Eltham (Clive Efford) who raised the question of the Stephen Lawrence investigation is that people can come to Members of Parliament—either as families or as members of the professional services, including the ambulance service and the police—and if there is some kind of cover-up going on, we can hope that the leaders of any professions involved, including the police and the NHS, will pay attention when an MP comes along with them to say that action needs to be taken There was a series of three mistakes at Hillsborough. The first was allowing the game to take place in a stadium when people knew it was not right. The second was the actions that happened then, which may have been mistakes, and worst of all was the cover-up. How can more than 230 statements by the police be changed, presumably in the police service, without people being able to say to Members of Parliament, “This is wrong: there is a cover-up and it needs turning over and investigating”? Such things need to be brought out into what my right hon. Friend the Secretary of State for Health calls intelligent transparency. I think that that is the lesson from now on.
ParlaMint-GB_2016-04-27-commons.u156	My hon. Friend makes a very important point. Of course, as a Member of this House he has taken forward causes that others have stood against and tried to resist, and he has been successful in that work. He is absolutely right. What came out of the independent panel report was astonishing. People were truly shocked by the fact that they had heard that statements had been altered in order to show a different picture from what had actually happened. That is appalling and it should never happen again.
ParlaMint-GB_2016-04-27-commons.u157	May I put on the record my thanks to the Home Secretary for her statement, and praise the magnificent courage and steadfastness of the families of the 96 in their campaign After the publication of the 2012 independent panel report, I reread my match-day programme from 15 April 1989 and was struck by this comment by the chairman of Sheffield Wednesday football club: “As you look around Hillsborough you will appreciate why it has been regarded for so long as the perfect venue for all kinds of important matches.” Such statements underline the complacency and total disregard for the safety of football supporters I have two brief questions. My right hon. Friend the Member for Leigh (Andy Burnham) mentioned the current chief constable of South Yorkshire police. Is the Home Secretary aware that the statement he made in 2012 apologising to fans is still on the website? He said: “I am profoundly sorry for the way the force failed…and I am doubly sorry for the injustice that followed”, and yet the fools representing the police at the inquest went over the same argument again, putting the families through torture Finally, of course we should focus on South Yorkshire police, but what about West Midlands police? It was responsible for the investigation and, as we have seen from yesterday’s result, it was a sham, complacent and a complete waste of time. What is the Home Secretary doing to make sure that it is held accountable for what it did?
ParlaMint-GB_2016-04-27-commons.u158	As the hon. Gentleman says, the comment from the match-day programme shows the extraordinary complacency. As I indicated in my statement, there were several questions that related not just to Sheffield Wednesday football club, but to the engineers who designed the stadium. The jury was very clear that there were problems with the design of the stadium and with the certification process. There are some very real questions for those in authority of various sorts who allowed a game to take place in a ground with those particular problems Obviously, the IPCC is looking at the aftermath of the event. Operation Resolve is looking at the lead-up to the deaths of the 96 men, women and children. In doing so, it will, of course, look across the board at the work of police officers. I assure the hon. Gentleman that my understanding is that the evidence taken will cover things done by West Midlands police as well as South Yorkshire police.
ParlaMint-GB_2016-04-27-commons.u159	I pay tribute to my right hon. Friend and to the right hon. Member for Leigh (Andy Burnham), but particularly to the families of the 96 victims, for their herculean efforts to bring about the result that we saw yesterday. Does my right hon. Friend agree that slurs were made against the families; that those were an injustice; and that it is right that they are now recognised as smears?
ParlaMint-GB_2016-04-27-commons.u160	My hon. Friend is absolutely right. Of course, those slurs were not just made at the time; they continued for far too long. The families and supporters had to endure not just the terrible tragedy itself, but the further injustice that, consistently, the Liverpool fans were blamed for something that was not their fault. The verdict that came out yesterday was absolutely clear: the fans did not contribute to this disaster.
ParlaMint-GB_2016-04-27-commons.u161	The inquest verdict proclaimed the truth and exposed the deceit, including the wicked lie that the fans were responsible for their own deaths. We should never, ever forget that the truth has been finally exposed only because of the commitment of the bereaved families, who were supported by the city of Liverpool—whatever the rest of the country might have thought—in their determined campaign for truth. I, too thank the Home Secretary and the former Attorney General for the decisive steps that they have taken to make sure that justice has now come out. Following the Home Secretary’s very supportive comments about the action she intends to take to support the bereaved families as we move from exposure of the truth to accountability, will the Home Secretary do all in her power to ensure that now that we have the truth, real accountability will follow?
ParlaMint-GB_2016-04-27-commons.u162	I thank the hon. Lady for her comments, and she is absolutely right. The city of Liverpool stood by the families when the rest of the country took a different view about what had happened in that terrible tragedy. I am very clear that we need to ensure that the proper processes are followed for the investigations and for the Crown Prosecution Service decisions about whether criminal charges should be brought. The truth was there with the independent panel’s report, and I hope that people feel that justice has been seen with the verdicts that came out, but accountability is the next step, and that rests with the independent investigations and the Crown Prosecution Service.
ParlaMint-GB_2016-04-27-commons.u163	I welcome the Home Secretary’s statement, and I think that she and the right hon. Member for Leigh (Andy Burnham) have been beacons of hope during this tragic period. The strength of the families makes me proud to be a Scouser. There is a lot of talk about justice, but I do not think it is justice that it has taken 27 years for the fans to be found not guilty of something that was not their fault. It is not justice that the city, the fans and families were kicked when they were on their knees and at their lowest point. It is not justice that there was an establishment cover-up. Does the Home Secretary agree that real justice starts when the individuals responsible are personally prosecuted?
ParlaMint-GB_2016-04-27-commons.u164	I thank my hon. Friend for his comments, and he is right. It must be very difficult for the families, who have suffered over those 27 years but have kept true to their cause and their belief in the reality of what happened at the Hillsborough stadium in 1989. They must have felt terrible when they were, as my hon. Friend said, kicked constantly over those 27 years. This is not just about finding the truth; it is about accountability. As I just indicated in response to the previous question, that process of accountability is now in the hands of the two criminal investigations and the Crown Prosecution Service.
ParlaMint-GB_2016-04-27-commons.u165	The inquest findings were very clear that on the day of the disaster, South Yorkshire police failed completely in a number of respects. Even more alarming, in some respects, were the attempts to cover up those failings afterwards. May I reflect on the comment of my right hon. Friend the Member for Leigh (Andy Burnham) that this is no reflection on the important work done by the ordinary community officers of South Yorkshire police on a day-to-day basis for the safety and security of my constituents and the residents of South Yorkshire? Will the Home Secretary therefore offer complete support to the PCC in South Yorkshire to take the force through a very difficult time, recognising that the complete command structure of the force will change, in one way or another, during the next year, and that it will need every bit of outside support it can get from the Home Secretary and others?
ParlaMint-GB_2016-04-27-commons.u166	I thank the hon. Gentleman for his comments. He is absolutely right to say that we should recognise the work that is done daily by South Yorkshire police officers to keep their communities safe and to cut crime. May I also take this opportunity to recognise the support that was given by people living in Sheffield to the fans and others who suffered from this tragedy on the day The hon. Gentleman is right that the South Yorkshire police force will not only have to deal with the outcome of the Hillsborough findings; the report on Rotherham raised a number of issues around the South Yorkshire force. The hon. Gentleman asks me to provide support to the police and crime commissioner. Next week, the people in the South Yorkshire force area will go to the polls to elect the police and crime commissioner for the next four years. We will talk thereafter to the police and crime commissioner and the chief constable about the future of the force, but it is for those two individuals, primarily, to look at the structures that they need and to ensure that the force is doing the job that it needs to do on a daily basis.
ParlaMint-GB_2016-04-27-commons.u167	I commend the Home Secretary and the right hon. Member for Leigh (Andy Burnham) for what they have done on the matter. I also commend all the Members from Liverpool who have taken part in debates. Everyone knows my connection with football and with what happened on that day, which I have spoken about in the House. Football suffered massively on that horrible day. The family of football looked on that tragedy and changed many things, from stadium safety to how things are placed around football games Following on from the point made by the hon. Member for Sheffield South East (Mr Betts), I am concerned about the culture that still exists in South Yorkshire police. From statements on its website and statements that it has made, I fear that it still has not learned all the lessons of that tragedy all that time ago. Will the Home Secretary comment on what is going on in South Yorkshire police force?
ParlaMint-GB_2016-04-27-commons.u168	I think everybody will be disappointed and, indeed, concerned by some of the remarks that have been made by South Yorkshire police today. There was a very clear verdict yesterday in relation to the decisions that were taken by police officers and the action of police officers on 15 April 1989, and I urge South Yorkshire police force to recognise the verdict of the jury. Yes, it must get on with the day-to-day job of policing in its force area, but it needs to look at what happened—at what the verdicts have shown—recognise the truth and be willing to accept that.
ParlaMint-GB_2016-04-27-commons.u169	I thank the Home Secretary for her statement and, in particular, for her decision when she came into office in 2010 to allow the work of the Hillsborough Independent Panel to continue. That has been absolutely crucial to this outcome. When I was first elected in 1997, my constituents Phil Hammond, Doreen Jones and Jenni Hicks were some of the first people to come to see me. They were then part of the executive of the Hillsborough Family Support Group, and between them, they lost five family members. They came to see me about the disaster, and I have campaigned with them ever since to have the truth acknowledged and to have justice done We all knew the truth; it just seems to be the legal system in this country—I speak as a lawyer—that has been unable to get to the truth and accept the truth. For 27 years, it failed the victims at every turn. Almost everything that could go wrong in a legal case went wrong in those 27 years. Yesterday, the legal system finally did its job, but it has more to do to hold to account those who we now know for absolute certain are responsible. The Home Secretary has more to do to deal with the appalling culture and behaviour of South Yorkshire police, which persists to this day This disaster was filmed live and shown on television, and within months the interim report of the Taylor inquiry put the blame squarely where it actually lay—it did not get everything right, but it was substantially correct—yet for 27 years the families of those who died have had to defend every day the reputations of their lost loved ones and of their friends and other people living in Liverpool who have been blamed for what happened It was only the panel taking this out of the legal system that has led to the truth being acknowledged more widely than it was, and to its then being fed back into the legal system. There is a deep issue about our legal system, so will the Home Secretary now commit to supporting Lord Michael Wills’s Public Advocate Bill to ensure that the victims of public disasters—there will be more in future—are never again forced to spend decades of their lives fighting smears, lies, official denials, indifference and cover-ups from public authorities? We have to make sure this can never ever happen again.
ParlaMint-GB_2016-04-27-commons.u170	The hon. Lady is right that we need to stand back and ask what it is about our system that actually enabled this to happen and enabled people to suffer in this way over those 27 years. One of the reasons why I have asked Bishop James Jones to work with the families, to hear from them their experiences, is obviously to try to learn from that and to see what steps we need to take in response One of the things that has come of this is that the panel model is one that can be used elsewhere. I have indeed used that model, with fewer members, in relation to the necessity of looking into the killing of Daniel Morgan, where again the legal system, through a number of cases, has failed to get to the truth. I think it is a method that we could use on other occasions.
ParlaMint-GB_2016-04-27-commons.u171	I congratulate my right hon. Friend on the statement she has made today. It is painfully clear that, for over 20 years, hon. Members in this place did not take the opportunities available to them to bring the matter to this Chamber and therefore to spread the light of transparency on something terrible that had happened. I just want to put on the record the role played by the hon. Member for Liverpool, Walton (Steve Rotheram), who is far too humble to talk about his role. When we were first elected in 2010, he very quickly took a group of us in front of the Backbench Business Committee in a Committee Room and secured a debate that made sure light was shone on what was a terrible incident, and we have arrived where we are today. I thank him for that.
ParlaMint-GB_2016-04-27-commons.u172	My hon. Friend has recognised the particular role played by a single Member of this House. I might say that, over the years, a number of Members of this House have raised this issue. The fact that authority did not listen to the issue being raised is entirely separate.
ParlaMint-GB_2016-04-27-commons.u173	May I, too, add my thanks to the Home Secretary for the crucial role she has played in bringing this matter to a reasonable conclusion at this point? May I ask her, alongside others, to consider the extent to which the lazy, dishonest, inaccurate stereotyping of football fans, in collusion with some sections of the media, gave some credibility—wrongly—to the original failed inquest? I attended one day of the inquest. It was agony for the families to sit there and listen day after day to their loved ones who had died being denigrated in the way that the questions were put. Does she agree with me that many other failures result from the lazy assumption that football fans in general and the people of Liverpool in particular were in some way culpable in a matter that was completely beyond their control? When she asks the bishop and others to look at the implications of all this, will she ask him to look at this question: why is it that some sections of the media and some sections of the public services, including the police and the ambulance service, still feel that they can casually disregard the truth by accepting lazy stereotypes?
ParlaMint-GB_2016-04-27-commons.u174	The right hon. Gentleman makes a very important point. He is absolutely right. There was an image of football fans that people held to regardless of what they saw going on in front of their very eyes. I was struck when I heard the commentary—I think on Radio 2 —that was taking place at the time, as the tragedy unfolded. Even at that time, some of the commentating and some of the assumptions being made were about unruly fans, rather than about people who were crying out for help as they were dying. To see the police actually being lined up to form a line against public order problems when there were people whose lives were being lost at the time shocks and appals us all now. He is right that we should never allow casual stereotypes to get in the way of the truth.
ParlaMint-GB_2016-04-27-commons.u175	I obviously do not represent Liverpool, but I was so fortunate to live there for the best part of the 1990s. It is a wonderful city, with decent people—thoroughly decent people—and I believe that the way in which the families have conducted themselves over nearly 30 years has demonstrated that to those of us who knew it and to everybody else. I was very fortunate to take over one of the student unions in Liverpool in the ’90s, and I was told in no uncertain scouse terms why we did not stock all newspapers in the student union shop. I have never forgotten that, and many shops and stores in Liverpool still do not stock the full complement of newspapers, as Liverpool Members will know What does the Home Secretary think is the main lesson that we should learn from the state’s failure to do justice for the 96? Does she think that some elements of the British press—they have apologised several times since, although I think that that means little to many, or probably all, of the families in Liverpool—should take a long, hard look at themselves?
ParlaMint-GB_2016-04-27-commons.u176	I think that that is important. It is important when information is spread to the public through the media that the veracity of that information is an issue that must be considered. My hon. Friend asks me what the overall, abiding lesson that we need to take from this is. I think it is about the whole issue that my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) referred to, which is the culture and the attitude that is taken. It is about public institutions whose job is to work in the public interest, who should be institutions that can be trusted by the public and whose job is often to protect the public not, when something happens, instinctively wanting to protect themselves instead, but always having the view that whatever has happened and whatever the answer, they must actually find the truth for the public.
ParlaMint-GB_2016-04-27-commons.u177	Order. I hope the House will forgive me, but at the risk of stating the obvious, if colleagues are concerned about being able to make their own contribution, let me say that I will of course call every colleague. This is a little different from other days, and there is therefore some latitude: Members must say what they want to say. I am sorry if people have other commitments, but if Members stay in the Chamber, they will be heard.
ParlaMint-GB_2016-04-27-commons.u178	May I put on the record my thanks to you, Mr Speaker? You have been incredibly supportive. May I, especially as chair of the all-party group on the Hillsborough disaster, thank the Home Secretary and her staff, and all those—officials, and the staff of Members of Parliament as well—who have worked to help our group function over the past four years Finally to know the true verdict—that these killings were unlawful—is just a huge weight lifted, but there is one more issue. The campaign for justice has never been for Liverpool fans alone. Shirts of all different teams were worn at the memorial service. For the 25th anniversary, Members of this House from all parts of the country sent with me to Anfield the scarf of their local team. That is why, at the recent memorial service, Trevor Hicks was absolutely right to ask football fans to be “united in grief”, though rivals in the game I have one last thing to say: the “Murderers, murderers” chant has got to stop now. Does the Home Secretary agree that there are no excuses—we have the truth—and that those who have suffered because of the Hillsborough disaster have, frankly, now suffered enough?
ParlaMint-GB_2016-04-27-commons.u179	I agree with the hon. Lady. For those who have been through everything that they have for 27 years we now have the truth. They have suffered enough. Although part of the process still remains, to ensure accountability, I hope, as I said in my statement, that the peace that they have been so long denied will now come to them. I hope that they will be able to take from the verdicts some comfort that at last what they knew on that day has been shown to be true.
ParlaMint-GB_2016-04-27-commons.u180	Weaver Vale is part of Merseyside, and I have many Liverpudlians in my constituency who have welcomed the jury’s determinations. For me, it is a case of there but for the grace of God go I. Those of us who went to football matches in the ’70s and ’80s know that the facilities were terrible and crushes were regular. I remind the House that at the Hillsborough 1981 FA Cup semi-final—the Tottenham Hotspur-Wolverhampton game—there was a very similar crush. The police allowed the fans on to the pitch. It looked very similar to the scene years later in 1989. That tells us that lessons clearly were not learned. The hon. Member for Halton (Derek Twigg) was at the 1989 game; as he said, that facility was never fit for purpose I pay tribute to my right hon. Friend the Home Secretary and right hon. and hon. Members on the Opposition Benches, in particular the right hon. Member for Leigh (Andy Burnham), who made the speech of his parliamentary career, and the hon. Members for Halton, for Garston and Halewood (Maria Eagle), for Liverpool, Walton (Steve Rotheram), for Wirral South (Alison McGovern) and others, who have consistently campaigned on behalf of their constituents for justice. Will my right hon. Friend the Home Secretary assure the House that the lessons will be learned? I welcome Bishop James Jones’s report, but no family should ever have to go through this kind of tragedy again.
ParlaMint-GB_2016-04-27-commons.u181	My hon. Friend is absolutely right. Sadly, the example he gave us of the game in 1981 shows that at that time lessons were not learned. Whatever comes out of the work with the families, and from the panel’s report and all that we are now seeing, we need to make sure that we learn the lessons, and that we do not just say that we are doing that but put what is necessary into practice.
ParlaMint-GB_2016-04-27-commons.u182	The jury has determined that what happened on the day was negligent, unlawful and criminal. It was also tragic and unintended. The 27 years since have not been unintended; there have been deliberate lies and deception. When the Home Secretary is researching the variety of criminal charges that may be brought, will she ensure that appropriate emphasis is placed on perversion of the course of justice, conspiracy to pervert the course of justice and perjury, because that is where the real evil lies?
ParlaMint-GB_2016-04-27-commons.u183	As I indicated in my statement to the House, the question of perversion of the course of justice and perjury will be looked at, but it is for the independent Crown Prosecution Service to decide whether to bring those or any other criminal charges.
ParlaMint-GB_2016-04-27-commons.u184	I start by paying my tribute to the families who, since before some people now in this House were even born, have had to fight the state, quite frankly. That is appalling. I thank my right hon. Friend the Home Secretary for everything she has done, and all of the Members locally who have worked for so many years. I pay particular tribute to the right hon. Member for Leigh (Andy Burnham) and the hon. Members for Liverpool, Walton (Steve Rotheram) and for Wirral South (Alison McGovern), who have been in communication with me about the support I could offer, even as a west Yorkshire MP To those who wonder why MPs not related to the area have found this so hard and so difficult, I say that it is because we all have families. We all have parents, uncles and aunts, and some of us have children. We all go to events to which hundreds of thousands of people go every year. If someone goes to an event, perfectly legally, we have the right to expect that the authorities will look after them. The people who died at Hillsborough on that tragic day got there early, by definition, because they were at the front of those pens. They were ticketed. It will be a stain on this society for ever more that the state said it was their fault. It was obvious from day one—from the very moment—that it could not be their fault I have a huge amount of respect for the hon. Member for Sheffield South East (Mr Betts), who is no longer in his place—indeed, we have debated this. He is absolutely right to say that police officers on the frontline for South Yorkshire police do an outstanding job every day and deserve our respect. But the behaviour of South Yorkshire police during this inquiry, and the subsequent comments since the verdict—a verdict that can leave no doubt in the mind of anyone in this country that those people were unlawfully killed—have been a disgrace. There is a stain on the name of South Yorkshire police that I am not sure can ever be erased Therefore, as controversial as this is, may I ask my right hon. Friend, working with other Members on a cross-party basis, to go away and consider—I do not expect an answer today—very seriously whether the only way of bringing back faith in policing in south Yorkshire, and of making sure that the officers in south Yorkshire who dedicate themselves to protecting the public can really move forward, is perhaps to merge all four Yorkshire police forces and to get rid of the name “South Yorkshire police”?
ParlaMint-GB_2016-04-27-commons.u185	My hon. Friend has asked me a question that I suggest goes slightly wider than simply the issue of South Yorkshire police, as he talked about merging all four Yorkshire forces. He is absolutely right to identify that at a football match or any other public event where arrangements have been put in place by organisers to ensure people’s safety and where there is policing, fans who have gone along expect those arrangements to keep them safe and secure. They expect arrangements to have been thought through and made properly and carefully, and the right decisions to have been taken. As he and others have said, many people who are not Liverpool fans recognise what those families went through on that day, as they themselves go to similar events, week in, week out, hoping to enjoy themselves and not expecting the sort of terrible tragedy that befell families and supporters on that terrible day My hon. Friend has asked me to reflect on an issue. I think he knows the Government’s position on merger of forces. As I have said, South Yorkshire police will need to look very carefully at the verdict and accept it.
ParlaMint-GB_2016-04-27-commons.u186	I commend the Home Secretary and my right hon. Friend the Member for Leigh (Andy Burnham) on all the work they have done, along with all hon. Members of this House. It is often the role of a Member of Parliament to give a strong voice to the weak, and this has been an example of that. May I also say a word of gratitude for the kind words of the hon. Member for Worthing West (Sir Peter Bottomley) about some of the work I have done in the past? There are comparisons between what happened to the family and friends of Stephen Lawrence and what happened to the Hillsborough families. They have certainly been strong voices and advocates for themselves, and an example to us all. They were signatories to the letter sent to the Prime Minister earlier this month asking him not to renege on his promise to implement Leveson 2. Given that it relates to the relationship between the police and the press, it would seem even more imperative that we go ahead with that part of the Leveson report. Will the Home Secretary perhaps have a word with the Prime Minister to ask him to expedite that as quickly as possible?
