ParlaMint-GB_2016-03-03-commons.u1	1. What recent progress has been made on improving access to broadband in urban areas.
ParlaMint-GB_2016-03-03-commons.u175	There have been two fire alarms in the Palace this week, and on both occasions there was great confusion among Members and members of the public. May I urge the Leader of the House to initiate a review of those arrangements as soon as possible Last week I asked whether the Leader of the House plans to delay the Queen’s Speech until after the EU Referendum. He refused to answer, which is of course usual, but we all now know that the Government intend to extend this Session beyond 23 June. We know that not because the Leader of the House has told the House, but because Downing Street has told The Times. I know that, as a Brexiteer, the Leader of the House is not allowed to see Government papers any more, but one would think that the Government would at least allow him to know when the recess dates will be. So come on, just tell us: will the Queen’s Speech be after 23 June, will there be a Whitsun half-term recess, will the House sit during the week of the referendum, and will he give us the dates through to the end of the year? Before he goes all pompous about this—oh no, it is too late for that—I just say to him that Members from across the House, and, for that matter, the staff who work in this building, all want answers to these questions The terrible news about the article in The Times is that Downing Street has also said that there is going to be a reshuffle after the referendum and that the Leader of the House tops the list of those who are going to be sacked. I, for one, am beginning to feel very, very sorry for him, so I have been searching the job pages for him. Sadly, the only thing that seemed even vaguely suitable was working as an unpaid voluntary intern for the hon. Member for Bath (Ben Howlett), but unfortunately he says in the job description that he wants somebody who is a “good team player”, so that rules out the Leader of the House. All the other jobs say they want someone with a good sense of humour—need I say more? He need not worry though: I am sure the Prime Minister will give him a glowing reference The previous Parliament was the zombie Parliament—for months on end the House had no proper business—and now we have the return of the living dead. They walk among us, they look like Ministers, and they are paid like Ministers, but they are doomed. They hate the Prime Minister; they think he is damaging the economy and putting our security at risk. Frankly, the only thing that is keeping them in the Government is the £23,570.89 in extra salary they will get come 23 June How do the Government intend to fill the business between now and then? Here are my suggestions. One: I have married a lot of people in my time—to one another, as a vicar, that is—but it has always seemed wrong to me that marriage certificates include the names of the fathers of the bride and groom but not the mothers. Even the Prime Minister says that he wants to change this, but apparently he has written to one of our Members saying there is not enough time. Well, there is clearly now going to be enough time to do it in this Session. My hon. Friend the Member for Neath (Christina Rees) has a handy private Member’s Bill to be considered tomorrow: why do not the Government adopt it or help it into Committee so that it can be amended Two: I am delighted that the Government are no longer going to water down freedom of information, but should we not extend it to private companies engaged on public sector contracts? How much did the Government’s preposterous review cost? The Leader of the House might as well tell us now, because he knows full well that if he does not we are going to put in a freedom of information request and he will have to tell us in the end anyway Three: I am glad that Adele did so well at the Brits last week, but tickets to see her live are now selling on the secondary market for up to £24,000. This market pretends to support the arts, but actually it just leeches off them. The Business Department’s review of the ticket resale market closed on 20 November. When is it going to be published, and when will the Government legislate to put an end to this pernicious, parasitical secondary market The hon. Members for Daventry (Chris Heaton-Harris) and for Salisbury (John Glen) and I have long been calling for a parliamentary inquiry into concussion in sport. This week, more than 70 doctors and health experts have written to the Government calling for a ban on tackling in school rugby games. I do not want youngsters wrapped in cotton wool, but given that it is 12 years since the West Bromwich Albion footballer Jeff Astle died of chronic traumatic encephalopathy brought on by heading the ball, five years since 14-year-old Ben Robinson died of second impact syndrome, and Will Smith’s new film “Concussion” shows how the NFL failed to protect its players and ended up with a legal bill of $1 billion, is it not time that we set up a proper parliamentary inquiry to make sure that we get all the facts out there Next week sees the 100th anniversary of Harold Wilson’s birth. He gave women, for the first time, control over their own property and their bodies; he abolished the death penalty; he decriminalised homosexuality; he introduced the first race relations Act; and he won the referendum to stay in Europe. He ended censorship and created the Open University and the Arts Council. For that matter, under him we won the Eurovision song contest—I know the Leader of the House is obsessed with this—three times: three times more than we have ever won it under the Tories. Is it not outrageous that we have a louring statue of Mrs Thatcher, who made my constituents’ lives miserable, but just a bust of Harold Wilson, who made this country a civilised society?
ParlaMint-GB_2016-03-03-commons.u176	I very much hope that we will win the Eurovision song contest under the Conservative party next year, with that great band MP4 leading the charge for the nation In order to understand what does and does not work with fire drills, it is, of course, necessary to carry them out. Lessons will be learned from the experience earlier this week, but I extend my thanks to all the Officers of the House who were involved in the fire drill. They will now work out how to make sure that our processes are appropriate and suitable for the future We will announce the date of the Queen’s Speech when we have decided the date of the Queen’s Speech. As always, the hon. Member for Rhondda (Chris Bryant) makes the mistake of believing that what he reads in the papers is what is actually going to happen. We will take a decision on the Queen’s Speech and we will announce it to this House, as usual We have to be mindful of the need to ensure the progress of business. The hon. Gentleman cannot have it both ways. It is somewhat ironic that, on the one hand, he asks, “Where are the recess dates?” while on the other he says, “This is a zombie Parliament with no serious business.” He is completely wrong. I have just set out plans for the Second Reading of the Policing and Crime Bill next week. That really important measure will restore a sensible balance to many aspects of our policing and justice system. I have also announced the Second Reading of the Investigatory Powers Bill, which will be crucial in enabling us to defend our country. If the hon. Gentleman thinks that that is a feature of a zombie Parliament, then frankly he does not know what the word “zombie” means May I echo the hon. Gentleman’s comments about the work done collectively by Members across the House, including by my hon. Friend the Member for Daventry (Chris Heaton-Harris), on the issue of head injuries? I know how serious an issue it is. The Children’s Trust is situated in Tadworth Court, just outside my constituency, and it does a brilliant job in helping children who have had the most terrible experiences. The issue should be of concern to Members on both sides of the House. I hope very much that the Select Committee will pick up on the work that my hon. Friend and others have done and write a full report. The hon. Gentleman asked for a parliamentary investigation, and the best way to do that is through the Select Committee The Welsh affairs debate will take place later today. It was, of course, St David’s day this week, and I extend my good wishes to all Welsh Members of Parliament. I am looking forward to 5 May, when the people of Wales will have the chance to get rid of a failing Labour Administration It is a bit of a relief to me to see the shadow Leader of the House in better spirits today than he was yesterday. I do not know whether others noticed that he looked utterly miserable during Prime Minister’s questions, but I understand why. It was not just because the Leader of the Opposition spent last Saturday, just like old times, at a CND rally, or because he has appointed the former Finance Minister of the Greek Syriza Government as his new economic adviser, although heaven knows how any self-respecting Member on the Labour Front Bench could take that appointment seriously. It was not even because a former shadow Cabinet member said of the Leader of the Opposition’s appearance at the parliamentary party meeting on Monday: “Expectations were rock-bottom—and he fell below them” The most bizarre claim to come from the Labour leadership this week was when the Leader of the Opposition said that he gets his moral compass from “Eastenders”. Surely not even the shadow Leader of the House can think that this is a man fit to be Prime Minister I understand that it is hard for someone who has decided, as the shadow Leader of the House has, to become a cheerleader for a team he clearly does not support. I would be happy to grant him a debate on learning from the lessons of history, because he is the man who says he is proud to have stuck a knife in the back of Tony Blair. Only this week, however, he seems to have had second thoughts and has started to show signs of thinking again, because he told a group of students: “‘I’m going to talk about Tony Blair, I think we’re still allowed to speak about him” Of course, those were the days when Labour was a serious political party.
ParlaMint-GB_2016-03-03-commons.u177	Some French Minister has apparently been saying today that if we have the nerve to come out of the EU, all 4,000 people in Calais will be put on rubber boats and come across to Britain, because the French do not want anything to do with them. If I were a Frenchman, I would be hugely embarrassed by my Government. If a country that is two and a half times the size of this country, with roughly the same population, cannot disperse 4,000 people and look after them, it should be ashamed of itself. Could we have a statement next week from the Foreign Secretary on whether it is the Government’s position that, if we come out of the EU, we would have more rather than less immigration to this country?
ParlaMint-GB_2016-03-03-commons.u178	I am absolutely certain that the Foreign Secretary will be back before the House shortly, so there will be an opportunity for my hon. Friend to put that point to him. In the last couple of weeks, I have heard the French Interior Minister reassure us that the French Government would not wish to put at risk the bilateral agreements over border controls between the United Kingdom and France.
ParlaMint-GB_2016-03-03-commons.u179	I, too, thank the Leader of the House for announcing next week’s business. Today is World Book Day, and it is worth noting, especially as I am chair of the all-party writers group, the wonderful wealth of writers that we have in this country and the power of literature to bring joy to people and enhance their lives The Leader of the House and I now have a joint experience in fighting referendums. We have both been on the sharp end of various “Project Fears”. In the Scottish referendum, I experienced “Project Fear”, and he is now experiencing the new “Project Euro-fear” as he leads the campaign to yank the UK out of the EU. The scaremongering from the in side is almost straight out of the useless and dysfunctional Better Together manual, and it is likely to cause as much damage to the in campaign as it caused to the massive lead of the no campaign, which was shredded, in Scotland. As a supporter of our place in the EU, I want that counterproductive scaremongering to stop, although I presume that the Leader of the House is quite happy with it, given that it will probably work in his interest. Can we have a debate about positive campaigning, and can we encourage everybody to ensure that when we debate our place in Europe, we do so as positively as possible We need an urgent statement from the Defence Secretary on Trident. Apparently, he is just about to declare that Trident renewal is already under way, before we have had the opportunity to approve that in the House. It is absolutely appalling that the Defence Secretary can simply take the House for granted, and he must come to the House and explain himself. Scotland rejects Trident, and we intend to make it a huge issue in the Scottish elections. We simply refuse to have that weapon of mass destruction dumped on our nation without any approval from the House What do we do now, Mr Speaker, about large parts of Scottish funding? On English-only legislation, you are to lay aside minor or consequential issues when certifying legislation as English only, even though they have huge Barnett consequentials to Scotland. The Leader of the House told us that the mysteries of the Barnett consequentials lie in the mystery of the estimates. I tried to debate estimates in the estimates day debate, but I was ruled out of order within two minutes and 46 seconds. Somebody, somewhere, has to tell us how we should get that addressed and when we, as Scottish Members, will get to discuss, debate and vote on the critical issue of the Barnett consequentials Finally, the irony of last night’s debate on the Lords amendments on the Welfare Reform and Work Bill, in which Tory after Tory lambasted all those wicked Lords, was not lost on Scotland. For the Tories, however, the Lords are only to be chastised when they do not do the Tories’ business, and to ensure that that happens, the Tories are going to introduce another 40 Tory Lords. Why do the Tories not just back us? Instead of trying to gerrymander that bizarre House, how about working with us and getting rid of the whole shooting match altogether?
ParlaMint-GB_2016-03-03-commons.u180	I agree with the hon. Gentleman on the need for positive campaigning, and I hope that all who are involved in the debate over our membership of the European Union in the coming months will take a positive approach and set out the facts so that the British people can take their decisions. I gently chide him for mentioning “Project Fear” when he talked about positive campaigning, and I remind him of the things that he said about the introduction of English votes for English laws. To listen to what he said, one would have thought that about as much doom and gloom and disaster as possible would fall on us, but it is not entirely clear to me that that has happened. The Union has not fallen apart because of the introduction of English votes for English laws, and the Scottish people I know think that it is entirely fair The hon. Gentleman raised Trident. If he is concerned to bring the Defence Secretary to the House to explain himself, there are mechanisms in the House by which the hon. Gentleman can do so. He can either seek your consent, Mr Speaker, or use the other avenues that are available to him, and I am sure that he will choose to do so. He talks about Trident being “dumped on our nation”, as he phrases it. I remind him of all the people in Scotland whose livelihoods depend on Trident, and of the people in the north-west of England whose jobs depend on the future replacement of Trident. Is he really saying he wants all those jobs to disappear? Is he really saying he wants the area around Rosyth to end up abandoned and without an economic role for the future? I do not think that is in the interests of those communities. I have to say that it is in the interests of Scotland and the United Kingdom that we retain a nuclear deterrent both for our national security and to ensure there are jobs in the parts of the United Kingdom that need them The hon. Gentleman asked about the estimates debates. I simply remind him that he is a member of the Liaison Committee, which chooses the subjects for debate on estimates days. The Committee is perfectly free to hold discussions on any aspects of public spending, and it chose to do so on Foreign and Commonwealth Office matters. It is for the hon. Gentleman, who sits on the Committee, to secure the debates he wants The position of the hon. Gentleman’s party on the Lords has been well set out. I must say that I think the Lords plays a role in helping to improve the quality of legislation in this place, but I suspect that we are never going to agree on that subject.
ParlaMint-GB_2016-03-03-commons.u181	In recent months, five coal-fired power stations have announced that they will close, potentially close or partially close: one of them is Rugeley B. The Government have stated that they intend to phase out coal-fired power generation by 2025, but market conditions mean that the closures may come far sooner. May we have a debate in Government time on energy policy and the role that existing power station infrastructure can play?
ParlaMint-GB_2016-03-03-commons.u182	I understand my hon. Friend’s concerns, and I heard her question at Prime Minister’s questions yesterday. She is freely able to bring forward that subject in an Adjournment debate or to seek consent for a Back-Bench debate to have it discussed in the House. The matter clearly affects the constituencies of a number of hon. Members, and I encourage her to bring that subject forward for discussion.
ParlaMint-GB_2016-03-03-commons.u183	If this Session of Parliament runs beyond June, will the Leader of the House consider giving us more days for Back-Bench business and for private Members’ Bills? If he gives us more days, will he put the Bill I am promoting with support from colleagues on both sides of the House—for the automatic registration of children for free school meals and the school premium—at the top of the list on one of those days? That is the one move we could make between now and the summer holidays that would have a real effect on poor families.
ParlaMint-GB_2016-03-03-commons.u184	The right hon. Gentleman has a long track record of pursuing social reforms of that kind, and I will certainly look very carefully at what his Bill proposes. Of course, the progress of business in the House very much depends on our success in getting Government business through. We have a substantial programme—it was set out in our manifesto—to bring forward and complete by the end of this Session. I want to make sure that the dates set for both the Queen’s Speech and for the end of this Session and the recess are consistent with our need to ensure that our manifesto is implemented.
ParlaMint-GB_2016-03-03-commons.u185	Will my right hon. Friend find time for a debate on the impact of c2c timetable changes on the lives of commuters who live in Southend? The company has at long last accepted that there is overcrowding and it has ordered new rolling stock, but it has just announced that it will not be arriving.
ParlaMint-GB_2016-03-03-commons.u186	I commend my hon. Friend for the work he is doing on behalf of his constituents on an issue that, in different ways and on different lines, affects very many of us. The Transport Secretary will be in the Chamber for questions next Thursday, and I encourage my hon. Friend to raise the issue directly with Ministers. He is doing a good job in keeping the company under pressure at a time when there are clearly serious issues about the delivery of the service on that line.
ParlaMint-GB_2016-03-03-commons.u187	As Chair of the Backbench Business Committee, I wrote to the Leader of the House to look for assistance in getting protected time for particular debates. The debate on gangs and serious youth violence was bumped, but has now been rescheduled for later today. On Tuesday, which is International Women’s Day, we have a particularly time-sensitive debate on International Women’s Day. I asked the Leader of the House to give an undertaking that the time for that debate would be protected. I have received a reply, and I am afraid to say that no such undertaking has been given. That is regrettable, because it is possible that there will be urgent questions and statements and that the Enterprise Bill will run, which would curtail the time for the International Women’s Day debate. We have already seen evidence that such protected time is required from time to time. Will the Leader of the House please reconsider that matter?
ParlaMint-GB_2016-03-03-commons.u188	As I have said, I have given that matter careful consideration. I have looked at the flow of business on Back-Bench days and will watch carefully next Tuesday. I am sure that you and I, Mr Speaker, will want to ensure that there is proper time for debate on that day. At the same time, I have to be mindful of the working hours of staff and of this House, so I do not want to make significant changes without being confident that there is a real problem that needs to be solved, rather than an occasional problem. I assure the hon. Gentleman that I will keep the matter under review, but my hope and intention is that we will have proper time available next week.
ParlaMint-GB_2016-03-03-commons.u189	In the light of Switzerland’s withdrawal of its application for EU membership after 24 years, may we have a debate next week on why it might possibly have chosen to do that?
ParlaMint-GB_2016-03-03-commons.u190	I think that will simply add grist to the mill of the debate on the European Union referendum. Although I have not scheduled a debate on European Union matters for next week, I am in little doubt that there will be an opportunity shortly for those matters to be raised with Ministers.
ParlaMint-GB_2016-03-03-commons.u191	Most Members will be surprised that many current and former service personnel never receive a medal acknowledging their service. All those who served accepted the danger and sacrifice associated with their decision, but they will never receive a medal unless they were actively involved in conflict or served for a very lengthy period. May we have a debate in Government time on the introduction of a national defence medal, which would be a tangible recognition of their service?
ParlaMint-GB_2016-03-03-commons.u192	It is open to the hon. Lady to bring forward an Adjournment debate on that subject if she wishes. From my perspective, I do not think that medals should be handed out without consideration of the contribution that has been made and the individual’s circumstances. If we start to have medals for all, the value of the medals for particular examples of valour and service in particularly tough circumstances will perhaps be slightly devalued. I praise unreservedly all our armed forces, but the medals system that we have always had in this country is designed for those who go beyond the routine and put themselves in danger in the service of this country.
ParlaMint-GB_2016-03-03-commons.u193	When will the House have an opportunity to express its opinion on the new fiscal framework for Scotland? When we have a debate on that issue, will we be able to debate Barnett consequentials? For example, when the United Kingdom Parliament gives more money to Glasgow in city grant, there is a Barnett consequential that means that more money goes to the Scottish Government as a result.
ParlaMint-GB_2016-03-03-commons.u194	The Scotland Bill is making progress through the other House. I understand the point that my hon. Friend makes. The agreement that we have reached will provide for a transitional period to a new world for the Scottish Government. The Scottish Government now have to start using the powers they have been given and taking some of the decisions that other Governments have to take, which they have so far insulated themselves from.
ParlaMint-GB_2016-03-03-commons.u195	In the last few weeks, there have been many stories in the media about gamblers and addiction. Tony Franklin lost his money, his job and his family, and claims that fixed odds betting terminals were the reason. It is clear that the gambler stands little chance of leaving the roulette table with heavier pockets than when he entered. There is a need to change the legislation on fixed odds betting terminals. Would the Leader of the House agree to a statement or a debate on that matter?
ParlaMint-GB_2016-03-03-commons.u196	Unfortunately, we have just had Culture, Media and Sport questions, when the hon. Gentleman would have had an opportunity to raise that matter with the Ministers concerned. They will, of course, be back before the House in due course. I am aware that this is a matter of concern across the House. It might be possible to take the subject to the Backbench Business Committee if his concerns are shared across the House.
ParlaMint-GB_2016-03-03-commons.u197	If the Government persist with their intention of delaying the vote on Trident renewal until after the Labour party conference, it will become harder for pro-defence and pro-Trident Labour MPs to vote in favour of renewal. May we please have the date on which the debate and vote will take place, especially if more time will be made available by extending the length of the Session?
ParlaMint-GB_2016-03-03-commons.u198	I know about my right hon. Friend’s concerns over the timing of the debate. I will make sure that his views are fed into the discussions about when the debate should happen.
ParlaMint-GB_2016-03-03-commons.u199	This week, a Select Committee in the Lords found that, contrary to Government claims, the Trade Union Bill will profoundly affect Labour party funding. Previously, the Leader of the House had a letter from the Minister for Skills, the hon. Member for Grantham and Stamford (Nick Boles), seeking to make concessions on the Bill. Will the Leader of House now agree to the concessions and commit to cross-party talks to reach a fair and long-lasting settlement on party funding?
ParlaMint-GB_2016-03-03-commons.u200	Of course, that is a matter of discussion and debate in the Lords, and the Lords Committee has made recommendations. We are trying to provide a sensible balance for the future. [Interruption.] The shadow Leader of the House says, “Oh no you’re not”, but the Conservative party has to seek voluntary contributions from individuals who choose to back it. The Labour party has depended on a system in which people have to go beyond the extra mile to take themselves out of automatic contributions.
ParlaMint-GB_2016-03-03-commons.u201	One of the major issues to be debated during the European referendum campaign will be the size of the UK’s net contribution. Will the Leader of the House find time for a debate so that those of us who are in favour of leaving the EU can outline the infrastructure projects and improvements to public services on which we could spend that money? It would also provide others with an opportunity to try to defend why money should go to Europe rather than be spent in their constituencies.
ParlaMint-GB_2016-03-03-commons.u202	My hon. Friend makes his point in his customarily succinct way. Of course, we have just had an all-day debate on our EU membership, and I am absolutely certain that it will not be the last time these matters are debated in this House between now and June.
ParlaMint-GB_2016-03-03-commons.u203	May we have a debate on the dodgy dossier that the Government have produced in advance of the EU referendum? I do not know whether you, Mr Speaker, saw the Minister for the Cabinet Office skewered on the “Daily Politics” by Andrew Neil yesterday when he tried to back up his claim that Norway had to abide by three quarters of the EU’s laws. Andrew Neil pointed out that the figure was actually 9%. If the Government are prepared blatantly to lie so badly on that issue, perhaps we need a full debate on the dodgy dossier to see how many other blatant lies they are prepared to resort to.
ParlaMint-GB_2016-03-03-commons.u204	I would simply say that I hope everyone will set out their views and the facts in a completely dispassionate way.
ParlaMint-GB_2016-03-03-commons.u205	Hannah Morris, the fantastic Camden youth mayor, is stepping down later this year. When I have spoken to young constituents, the point has been made to me over and over that young people feel disfranchised from politics and disengaged from Parliament. That has been exacerbated by the Government’s refusal to lower the voting age and their scrapping of policies such as education maintenance allowance. Will the Leader of the House make time for a debate in the House on young people’s worrying disengagement from this Parliament, the mother of Parliaments?
ParlaMint-GB_2016-03-03-commons.u206	We talked earlier about the importance that the education centre plays in this place and the importance of bringing as many young people as possible to Parliament. All of us individually have a duty on this matter, and I spend quite a lot of time talking to groups of sixth-formers in my constituency. I am sure the hon. Lady does the same. Every one of us has a duty to go out and explain why the decisions that we take in Parliament and the issues that we debate are of material importance to young people, and why they should vote and take an interest.
ParlaMint-GB_2016-03-03-commons.u207	Can time be found for a debate on the effects of uncontrolled immigration into the UK, which would be one of the impacts of our remaining in the EU? It has a massive impact on people’s access to services, healthcare, school places and decent wages, and it is extremely important to my constituents.
ParlaMint-GB_2016-03-03-commons.u208	My hon. Friend makes an important point. He may have seen the serialisation of the new book by Tom Bower over the past few days, which has exposed just how complicit the Labour Government were in opening our borders and allowing uncontrolled immigration to this country. Those who were part of that party and that Government should be forever ashamed of the way in which they allowed uncontrolled immigration—not managed immigration or immigration organised in a careful way—as a deliberate policy. They should be ashamed of that.
ParlaMint-GB_2016-03-03-commons.u209	Has the Leader of the House received a request from any Minister to make a statement explaining why the wheels have come off the Brexit BMW, or perhaps a request from an individual Member who has performed a handbrake turn on EU membership to make a statement explaining their diversion? Such statements would provide the public with critical facts about the weaknesses of the Brexit case and the motivation of some people in supporting it.
ParlaMint-GB_2016-03-03-commons.u210	No, I have not.
ParlaMint-GB_2016-03-03-commons.u211	Has the Leader of the House seen reports that plans are being drawn up to reclassify e-cigarettes as tobacco products for tax purposes? Vapers and the sector accept that some additional duty should be charged, but the consequence of the proposal is that the price of e-cigarettes to consumers will more than double. Public Health England has deemed e-cigarettes to be 95% safer than tobacco, so may we have a debate to consider taxation of those products to ensure that they remain an effective method of smoking cessation?
ParlaMint-GB_2016-03-03-commons.u212	I know that my hon. Friend raises a matter of concern, which affects a large number of people. I suspect that it is the sort of proposal that causes uncertainty and disquiet about decisions made in Brussels. I very much hope that no decision on the matter will be made without due care and attention, and without due focus on whether e-cigarettes are a good way of enabling people to move away from smoking.
ParlaMint-GB_2016-03-03-commons.u213	May we have an urgent debate in Government time on the recent Joseph Rowntree Foundation report, which showed that 10 of the 12 towns and cities in greatest economic decline are in the north of England? Not a single town in the south is among the worst 24 listed. That causes real concern about the vision of a northern powerhouse. We urgently need a debate, particularly as Steve Rumbelow, the chief executive of my council, Rochdale—which, incidentally, is listed as the town in the greatest economic decline—has accused the foundation of using out-of-date figures, which mask the progress made in northern regions.
ParlaMint-GB_2016-03-03-commons.u214	It never ceases to amaze me that Labour Members do not understand why the northern powerhouse is needed. It is because, when they were in power, the manufacturing sector of this country almost halved. Northern towns declined steadily—Labour policies failed the north of this country unreservedly. That is why we need a northern powerhouse, which helps to contribute to the significant fall in unemployment across the north of England. We inherited high unemployment in those towns and cities, and we are sorting it out.
ParlaMint-GB_2016-03-03-commons.u215	I thank my right hon. Friend for his comments about St David’s day, and I look forward to the Welsh affairs debate later. Cardiff and Wales held the rugby world cup at the turn of the millennium. Since then, we have held the FA cup finals, the Ryder cup, the UEFA super cup and Ashes tests, and played our part in the Olympics. I pay tribute to the Scottish Government for what they did with Glasgow and the Commonwealth games. Is it not time to have a debate about what we can do to chivvy and encourage the Welsh Labour Government to put in a bid for the Commonwealth games to come to Cardiff?
ParlaMint-GB_2016-03-03-commons.u216	London did a fantastic job of hosting the Olympics, Glasgow did a fantastic job of hosting the Commonwealth games, and I would love to see the Commonwealth games come to Cardiff. I echo my hon. Friend’s view and I hope that the Welsh community will come together and find the right moment to make that bid for the future.
ParlaMint-GB_2016-03-03-commons.u217	Last week, I discreetly visited the besieged district of Sur in Diyarbakir. I witnessed almost incontrovertible evidence of suppression of civil liberties and worrying signs of the potential for more civilian deaths. Given Diyarbakir’s proximity to Syria, the fact that Turkey is a NATO ally, and emerging evidence that Turkey is targeting US and UK-backed Kurdish forces fighting against Daesh in Syria, will the Leader of the House commit to a debate in Government time to allow Members to discuss the nature of our relationship with our NATO allies?
ParlaMint-GB_2016-03-03-commons.u218	As I said earlier, I have agreed with my colleagues in Government and made provision for a further statement on the situation in Syria shortly. That will give the hon. Lady an opportunity to raise that very point.
ParlaMint-GB_2016-03-03-commons.u219	Tomorrow, I will be at New College in Huddersfield with the Anthony Nolan “Register & Be a Lifesaver” programme. May we have a debate on bone marrow donation, blood donation and organ donation to see how we can increase the number of people involved in those programmes and raise awareness?
ParlaMint-GB_2016-03-03-commons.u220	My hon. Friend makes an important point and I pay tribute to everyone involved in that important work, particularly in his constituency. He raises an issue that has, over the months, been of concern to Members of all parties. Again, it might be a subject that the Chair of the Backbench Business Committee would like to consider as an opportunity for a Thursday.
ParlaMint-GB_2016-03-03-commons.u221	Next Thursday will be exactly 29 years since the brutal murder of Daniel Morgan of Llanfrechfa, who was investigating police corruption in south London. This week, “Panorama” gave a vivid account of the extraordinary amount of corruption that existed in the Metropolitan police. I am one of the few people in the House to have read, under strict surveillance, the Tiberius report. It is the most deeply shocking document I have read in my life. Will the Government publish it—perhaps next Thursday—so that the whole country can understand the breadth and depth of police corruption in this city?
ParlaMint-GB_2016-03-03-commons.u222	I will ensure that the Home Secretary is aware of the hon. Gentleman’s concerns. I am not aware of the detail of the report, but I will make sure that she responds to his request.
ParlaMint-GB_2016-03-03-commons.u223	Unfortunately, a number of my constituents have recently been the victim of a substandard building firm that, when challenged, liquidates itself only to quickly re-establish itself in a new guise. May we have a debate on such abuse of company law?
ParlaMint-GB_2016-03-03-commons.u224	It is obviously disturbing when one hears of such incidents. The Business Secretary will be here in 10 days’ time, and current procedures for director disqualification allow members of the public to lodge direct complaints when such issues arise, so that they can be investigated.
ParlaMint-GB_2016-03-03-commons.u225	May we debate internet awareness? The Prime Minister’s explanation of his damascene conversion on Sunday trading between April and June last year is the existence of internet shopping—in other words, between April and June he discovered the internet. Is that not just an empty excuse for a broken promise that will affect workers not just in England and Wales, but also in Scotland and Northern Ireland?
ParlaMint-GB_2016-03-03-commons.u226	Those measures also include provisions to improve workers’ rights, and the hon. Gentleman will have the opportunity to debate all those matters when the provisions are brought before the House. If he has concerns, he will be able to raise them then, and vote accordingly.
ParlaMint-GB_2016-03-03-commons.u227	All Members of the House recognise how sensitive pensions are, and that any changes we make impact on individuals—we have seen that with the raising of the pension age for women. I understand that there may be further general changes to pensions. Will the Leader of the House guarantee that should that happen, we will have sufficient time to debate them in this House, and to consider the impact that they will have on our constituents’ quality of life?
ParlaMint-GB_2016-03-03-commons.u228	I know that the Chancellor will want to take great care when bringing forward any proposals to reform the pension system. I do not know what will be in the Budget, but whatever there is, there will be ample time to debate it in this House. Such matters must be handled enormously carefully, and we do not want to make the same disastrous mistakes that Gordon Brown and the Labour party made when they were in government.
ParlaMint-GB_2016-03-03-commons.u229	I wish to outline an important case. I am supporting Kath and Tom Leary, who are parents seeking answers following the death of their son, Wayne, who was killed in a hit-and-run accident in 2010. The driver, Colin McDonald, is a criminal with little regard for human life. He was on bail for a serious stabbing, having already been given early release for the manslaughter of Jonathan Tripp. Colin McDonald was sentenced for that stabbing and hit and run, but again he was let out on early release on licence until 2021. Last week he was again sentenced for another manslaughter, of Dominic Doyle. The parents want answers. How can a justice system that is meant to give people confidence do this to people? Will the Leader of the House support me in securing a meaningful debate on the issue?
ParlaMint-GB_2016-03-03-commons.u230	In my time as Justice Secretary I was involved in discussions on a number of such cases, and we introduced measures to tighten the law. We also started a broader review of the laws on motoring, precisely to see whether further steps needed to be taken in tragic cases of this kind. The Lord Chancellor will be here next Tuesday, and from past experience of constituency matters, I encourage the hon. Gentleman to use the Adjournment debate system to bring a Minister to the House, go through the case in detail, and look for changes that can make a difference to families who have been through the most terrible situations.
ParlaMint-GB_2016-03-03-commons.u231	Local councils must help to maintain trust in politics by openly discussing and transparently agreeing their budget, and by explaining the savings, efficiencies and programmes that they will undertake. Does the Leader of the House agree that councils such as Eastleigh Borough Council must lead the way, because it is struggling to explain openly its future budgets to the public? May we have a debate on open and balanced council budget setting, so that MPs can highlight the importance of vital local decisions and how they must be clearly and roundly understood by residents?
ParlaMint-GB_2016-03-03-commons.u232	My hon. Friend makes an important point. There is a curious irony, given who controls her borough council. The Liberal Democrats argue for openness, but do not necessarily deliver it when in power. I am sure that if the decisions they take are as opaque as she is suggesting, they will not be holding that power for very much longer. It is of course important that local government is transparent, explains the decisions it takes and sets out why, when it has had to take difficult decisions, it has chosen that route rather than any other.
ParlaMint-GB_2016-03-03-commons.u233	Yesterday in Westminster Hall we had a debate about the chaos on Southeastern trains. The Minister gave us some reassurances that things were improving, but last night I got a phone call from a concerned constituent who was on a train. He was told by the driver that the signallers had mistakenly put the train on the wrong line, so it would not be visiting any of the stations the passengers on the train intended to go to. My constituent said to me, “We are used to the chaos, but this is downright dangerous.” May we have a statement from the Secretary of State for Transport about safety on our railways and, in particular, Southeastern? This is going too far.
ParlaMint-GB_2016-03-03-commons.u234	Obviously a situation like that is unacceptable. Every service is occasionally subject to human error, but nobody would seek to defend a situation of that kind. The Secretary of State for Transport is here on Thursday and will be able to take questions on the challenges in relation to Southeastern trains. They are, to a significant degree, being generated by the huge investment we are putting into London Bridge. That means some disruption in the meantime, but it will mean a better service for passengers in the future.
ParlaMint-GB_2016-03-03-commons.u235	At the most recent Council of Europe meeting we initiated a debate on the media portrayal of the women abused in Cologne and in other places at new year. The media had not reported the situation fully or in a timely fashion. May we have a debate on that in this House, because the BBC was one of the media groups identified?
