ParlaMint-GB_2016-12-08-lords.u1	To ask Her Majesty’s Government what are their plans for investment in the East Coast Main Line.
ParlaMint-GB_2016-12-08-lords.u84	My Lords, I welcome the debate introduced by the noble Lord, Lord Sterling. It is timely and important and follows a whole series of debates about the implications of Brexit for the United Kingdom. Over the past weeks and months, we have spent many hours talking about the economic implications of the decision to leave the European Union. Last week, the noble Lord, Lord Ricketts, in his maiden speech, pointed out that we need to think about bilateral relations and security relations. The noble Lord, Lord Liddle, pointed out that the economics were important because without the right economic foundations, we will not have the economy that will enable us to have security and a global reach It is important that we think about what the global role of the United Kingdom will be in the event of Brexit and what impact that will have on our Armed Forces. We have heard from the noble Lord, Lord West, that there is already a major issue for the Navy, but there are wider issues for security and, as the noble Lord, Lord Sterling, pointed out, for our Diplomatic Service One thing that is absolutely clear about leaving the European Union is that the security aspects of our relationship with the European Union will become no less important. The security questions for our European NATO allies in Poland and the Baltic states are already profound. The United Kingdom’s decision to leave the European Union has given Russia the sense that perhaps a little exploration in Europe could be of interest. What role do Her Majesty’s Government envisage for the United Kingdom as part of the European security jigsaw once we have left the European Union There are clearly suggestions that we could still play a part alongside the common security and defence policy of the European Union by doing as Norway does, which is simply to follow what the other European states are doing. But surely nobody on either side of the Brexit debate intended that the United Kingdom should model itself on Norway—that we should simply follow what the European Union’s security and defence policy does and not have a seat at the table. Can the Minister say whether the Government are planning to discuss with the European Heads of State and Government the possibility of rather closer defence and security relations with the European 27 when we leave the European Union? It would not be a deal like Norway’s but a bespoke deal that really speaks to the global role that the United Kingdom seeks to play, and the important military role that it has already played in the European Union Moving forward from the general European level of multilateralism, what bilateral relations are the Government thinking about? We have clearly had strong relations with France over defence in the last 10 to 15 years, which clearly fits with our two countries having similar aspirations to play a global military role—a role that none of the other EU member states seriously aspires to play. In the event of the UK leaving the European Union, do the Government envisage strengthening defence relations with France? Do they intend to strengthen defence relations with the Netherlands or other member states? Do they envisage our working closely with the United States in NATO, or do we need to say that when Trump takes office the United States will be rather less committed to NATO and the United Kingdom therefore needs to play an even greater role and have closer co-operation with our European partners and allies Finally, on diplomatic relations, bilateral relations within the European Union are vital—something the previous Prime Minister, David Cameron, perhaps failed to understand, to his cost and ours. But when we leave the European Union, strengthening bilateral relations with the 27 member states will surely become even more important, because we will have to rebuild the sort of embassies that we have with third countries. We will no longer have the day-to-day contact that our civil servants and Ministers have had by virtue of membership of the European Union. Can the Minister tell us what provision Her Majesty’s Government will make to strengthen the Foreign and Commonwealth Office in the run-up to leaving the European Union, and when we leave? More money is vital if we are to play the global role to which we all seem to aspire.
ParlaMint-GB_2016-12-08-lords.u85	My Lords, I too commend the noble Lord, Lord Sterling, for instigating this debate and for the way in which he introduced it. There are two impacts, as he has termed them, to consider. First, how should the UK’s Armed Forces relate to their opposite numbers in the European nations? Secondly, what needs to be done to further our military-to-military relations in the wider world Thanks to the many years that we have trained and worked together, both through NATO and the large variety of bilateral contacts with European forces, there is a solid professional foundation to the relationship to sustain and build on. Brexit is largely a political, economic and diplomatic animal. On the last of these, there are many highly experienced individuals in your Lordships’ House speaking today, so I shall not go there. Following our withdrawal from the EU, every effort should be made to continue our multilateral and bilateral military relations with our European neighbours. This can be an ongoing process, with exchange visits and exercises at all levels co-operatively sustaining those contacts. Combative occasions may arise, but I think they may be largely confined to the golf course Turning to the future beyond Brexit, there is a need to continue and strengthen our wider global contacts, particularly with Commonwealth and other political friends and trading partners. These activities might include more involvement in the five-power defence arrangement, which would be well received, particularly in Australia and New Zealand. The recent highly commendable and successful deployment of RAF Typhoons to the Far East and the first ever engagement in air exercises with the Japanese are indicative of what can be done already. When the carrier “Queen Elizabeth” is operational, the opportunity for the Royal Navy to deploy a task force, maybe with the RAF embarked, for training and exercise in the Far East should again be seized. The soft power contribution of the Red Arrows, who have just returned from displays in China and the Gulf, is a further demonstration of highly flexible and positive military contributions in the global arena. Such gestures and engagements will be helpful to building and sustaining new political and trading agreements Before getting carried away by such thoughts and plans, however, there is a serious problem: the deficit in the numbers of ships, aircraft and personnel in all three services to sustain such global presence over a continuous period, even in the small-scale numbers that have been used in recent months. The ongoing operational commitments for the RAF’s half dozen or so front-line fighter squadrons are highly demanding, not just on airframes but on the air crews and ground crews who fly and service them. The 24/7 immediate air defence in the UK, the Falklands and Cyprus, offensive operations in Iraq and deployments for NATO in the Baltic and, soon, Romania all require combat-ready aircrew and ground personnel Inevitably, thought is being given to how to speed training and shorten the time taken for combat preparation of new air crew, which is essential to help ease the pressures on those who have already been in operational mode for months and years. Fortunately, these missions have enjoyed almost complete air superiority, with little risk of combat loss, but any unfortunate accident, a loss of air crew due to a terror attack on a mess or even a serious hangar fire could cause a significant percentage loss in airframes and/or crew availability to undertake the variety and current tempo of activities. The forces are stretched, with the attendant risk of a sudden serious loss in the Armed Forces’ operational capability Further expansion in front-line numbers—and, as has already been said, such arguments apply to fighting ships as well as aircraft—is becoming more rather than less necessary as we move to the post-Brexit scenario. I also remain concerned about other areas of overstretch and overcommitment being faced by the Armed Forces. In the time available, let me highlight just one of a number: Reaper crews operating remotely piloted aircraft systems have the task of being legalised assassins operating far from the scene and commute from home daily to undertake their work. Little experience is yet available of how this type of commitment over an extended period will affect those involved, but they are so few in number that replacements to allow stand-down and recuperation periods are virtually non-existent. I hope the Minister can reassure the House that these individuals have combat or legal immunity in their work.
ParlaMint-GB_2016-12-08-lords.u86	My Lords, I thank my noble friend Lord Sterling of Plaistow for introducing this important debate. I agree that the most fundamental function of government is to protect the security of the realm. Post-war, the United Kingdom was first to the table when Harry Truman promulgated the North Atlantic Treaty, but we were all too slow in signing up to the development of the European political movement There is little point in lamenting the lost opportunities of history, especially when the challenges of the future are so severe. The post-war settlement is now unravelling. The referendum result, the disobliging comments about NATO from President-elect Trump and the rise of far-right populism in Europe all make that abundantly clear. If NATO and the EU are now in danger of crumbling away, we need an urgent rethink of our domestic policies and priorities. I am conscious of the considerable burden of responsibility that our Armed Forces place on us to safeguard their interest. I want to focus on three points First, there is a great deal of misleading information available about our defence capability which could make us complacent. I have studied our own Library Note for this debate, and was surprised to read the summary of current equipment on page 2. I fear it is fanciful in the extreme to claim that maritime forces could generate 76 surface vessels, that land has 31 regular and 14 reserve battalions and that air has 724 fixed-wing and 372 rotary-wing aircraft. Would that it were true My second point is that conventional, or non-nuclear, forces act as a considerable deterrent in the current world. We would be foolish in the extreme to suppose that potential aggressors do not monitor our military naval and air strength very closely indeed looking for signs of weakness. This conventional deterrence is delivered in many ways, more often than not by the presence of a company of infantry, a section of Tornados or a frigate quietly patrolling an area of perceived tension. We have a clear, unequivocal responsibility to ensure that these forces are suitably equipped, armed and supported to be able to carry out these tasks and to react with appropriate force if threatened. We also have to have enough of them. I certainly did not enjoy seeing those pictures of HMS “Ocean” taking over from the US navy carrier in theatre with a solitary helicopter Thirdly, we must not take the relative silence of our Armed Forces as acquiescence in inadequate support. In this modern age of instant communication, I marvel at how the young men and women in the services and their families maintain their dignity and composure in the face of significant provocation. They do not react, because they place their faith in us to make their case, and we have an obligation to do just that. I was therefore delighted to see that moves are now under way to remove the dreadful pursuit of unwarranted claims against service personnel by unscrupulous claims firms My contacts tell me that there is considerable concern in the services about fighting capability and our willingness to invest in enough of it to keep them safe and in a position to respond to the demands that government makes of them. We must not forget that. We need to dig below the oft-quoted headline figures for investment in defence and to ensure that operational capability is maintained, particularly in ammunition and missiles for all three services. Nothing corrodes morale more quickly than a failure to invest in real fighting capability. It must not be hollowed out, and it must be capable of living up to the strong reputation that our service men and women continue to earn and deserve from the rest of the world. Having expressed those fears, I feel confident that, in his closing remarks, my noble friend will put my mind to rest.
ParlaMint-GB_2016-12-08-lords.u87	My Lords, I too congratulate the noble Lord, Lord Sterling, on getting this debate today, only two days after an almost historic statement by NATO Foreign Ministers in Brussels on relations between NATO and the EU. In the statement, they said they would, “strengthen our strategic partnership in concrete areas” That builds very much on the Saint-Malo declaration of 1998, which I played a part in, and on the Berlin-plus arrangements. That unique set of arrangements, although at the moment being adhered to in spirit rather than in the letter because of Cyprus, allows the European Union to use NATO assets—that is, American assets—when NATO does not wish to be involved The Statement this week is of considerable importance. I ask the Minister to explain why, last night, it was still not yet on the Foreign Office website. I got a copy of it from a retired American admiral who had spotted it on the NATO website but, given its significance, and given that the Foreign Secretary was there—when he was not going around insulting other countries—one might have thought some attention would have been paid to it. It is good stuff. It is concrete, sensible and practical. I believe it will reinforce the ability of the Europeans to do more, as indeed they should That brings us back to the question posed by the Motion of the noble Lord, Lord Sterling: will our leaving the EU affect our Armed Forces and our Diplomatic Service? My opinion is firmly this: it will certainly affect our Armed Forces and Diplomatic Service, and not for the better. Our leaving will damage the UK and its reputation and influence; it will damage the EU and its partnership with NATO in tackling the myriad problems, challenges and perils that face us in the world today; and by opting out as a key player in the EU side of that partnership, which was reforged this week, leaving will weaken NATO at a time when, historically, the alliance has never been more needed. I remind noble Lords of the letter to the Times during the referendum debate from five previous Secretaries-General of NATO, of which the final paragraph reads: “While the decision is one for the British people, Brexit would undoubtedly lead to a loss of British influence, undermine NATO and give succour to the West’s enemies just when we need to stand shoulder to shoulder across the Euro-Atlantic community against common threats, including on our doorstep” People should listen carefully to these words of warning from Carrington, Solana, De Hoop Scheffer, Rasmussen and myself The fact is that as a non-EU NATO member we will be in a small party. That role is recognised in this week’s Statement. I can tell noble Lords, from my own experience forged in the flames of the early part of this century, that Britain being in the group of nations that consists of Norway, Iceland, Canada and Turkey clearly unbalances that equality of purpose that existed with Britain in both organisations. In the event that the EU has to act in its own interests and in its own area, and the United States does not want to be involved—you can bet your life now that that will be a frequent occurrence—Europe will need the UK and its Armed Forces. An endeavour in which the EU was involved, and that British forces did not form part of, would be a very limited one. But here is the rub: who will decide what is necessary? Who will set out the political objectives? Who will lead any military force? Who, if anyone, will determine an exit strategy for any operation? Since we will not be full members of the EU, what say can we really expect on these critical issues? The fact that there is no answer to that question at the moment should give us all serious concern It is a tragedy that, just as the problems we face—migration, terrorism, a resurgent Russia, pandemics, proliferation and much else—have gone global, the politics have gone local and far too parochial for the safety of our people.
ParlaMint-GB_2016-12-08-lords.u88	My Lords, it is a privilege and a pleasure to follow the noble Lord, Lord Robertson. I look back with great affection and gratitude at the work that we did together and the way he helped me when he was Secretary-General of NATO and I was the high representative in Bosnia and Herzegovina One thing seems crystal clear: having taken the decision to Brexit, Britain is now much more alone and our defence choices are far starker than they were in the hours before President Trump was elected one month and one week ago. Before, during the Brexit debate, we argued that we did not need the European Union because we had NATO, but we will now have an isolationist American President who has made it perfectly clear in his speeches that he does not much believe in NATO and would not even mind seeing it unstitched I have a suspicion that in the next few weeks words will be dragged out of Mr Trump’s mouth, saying he did not really mean that and that he does believe in NATO, but NATO and alliances do not depend as much on words as they do on will. No one can doubt that the will of an isolationist American President who admires President Putin will not be the same as the will we have experienced before from our partners across the Atlantic by any measure. The reliance we have placed on NATO in its present form has to be weaker than it was before We are left with two very stark choices: either we find a means to work with our European partners to integrate as far as we can; alternatively we will have to be more dependent on the United States, led by a President in favour of isolationism. The effect of his election, and that decision, and the effect of Brexit, taken to improve our independence, has, on the contrary, made us more dependent on the United States. Is that what we really want? Do we believe that that is right There is a way round this, of course. The Government can declare that while we will follow through with the Brexit decision and withdraw from political and economic co-operation in Europe, we will nevertheless deepen our integration on defence. If the Minister says that, I will feel comforted, but I do not believe for a moment that that is a spirit of the Government or that they will say that. In that case, we will be increasingly dependent on America led by an isolationist President, whose relationship with Britain might well be judged from the fact that he now believes he can appoint our ambassador in Washington. That does not seem to be any other than a relationship that in its end will turn out to be one of subservience, if not something worse, for our country. I do not believe that that is the right way to go, and I do not believe anyone else can either Let me widen the debate a little to a second issue which now confronts us, which depends on us having friends and contacts. Here is a little bit of history. When the Wright brothers turned up in London and sought to sell to the Admiralty their new invention—the design for their aeroplane—the Admiralty was somewhat shocked and perplexed and had an inquiry The inquiry went on far too long—it took two years—and on 7 March 1907, the First Lord of the Admiralty wrote to the Wright brothers, saying, “I have consulted my expert advisers with regard to your suggestion as to the employment of aeroplanes, and I regret to have to tell you, after the careful consideration of my Board, that the Admiralty … are of the opinion that they would not be of any practical use to the Naval Service” That was a mistake and we soon recognised it. But we then made a second mistake, which was that we believed that these were add-ons that we could put on to the Army and the Navy.
ParlaMint-GB_2016-12-08-lords.u89	My Lords—
ParlaMint-GB_2016-12-08-lords.u90	The time is limited. I know that the noble Lord wants to defend the Admiralty We discovered during the Second World War that they were not add-ons but an entire new theatre of war—not only a theatre of war but the vital ground in winning a war. In the first 3,000 years, the winner was who won on the land; for the next 100 years from Trafalgar, the winner was who won on the sea; since Guernica to the present day, who wins in the air wins the war. Now I believe that he who wins in cyberspace wins We have to recognise that this is not just an add-on; it is not just a gadget. We have to recognise it as the new theatre of war. Unless we do, dedicate a service to that and commit resources to it we will not be able to succeed where we need to in any future conflict. Unless we look at it in that synoptic fashion, in that same way that we understood about air, then I fear that if our Armed Forces are weak in that arm, however strong they are in all other arms, we will find ourselves crucially weakened. The whole point about winning in cyberspace is that we have to have a policy that crosses borders, links up with others, and which cannot be conducted in isolation because our enemy is now inside the gates as well as outside. That means that if you deliberately remove yourself from a framework for active co-operation with your neighbours and with those who share your interests, you are bound to diminish and weaken your own nation’s defence. The consequence of Brexit, by removing that possibility with our European partners, and with a NATO now weakened by an isolationist US President, cannot other than mean that the long-term defence of this country will be weakened. The measure of the modern age is that what you do is less important than what you can do with others, and we have just deliberately decided that what we can do with others is less than it was previously—and for that I fear we shall pay a very heavy price.
ParlaMint-GB_2016-12-08-lords.u91	My Lords, it is a great privilege to follow the noble Lord, Lord Ashdown, who I remember as a young Royal Marine officer in the Far East very many years ago. Equally very many years ago, as youngsters leaving primary school, a kindly headmaster gathered us together and made the point that, although we had reached the top of our first school, our destiny was to start again at the bottom next term and, having worked our way to the top again, to leave, and recommence at the bottom. “In fact”, he said, “that will be your destiny throughout your life”. In joining your Lordships’ House, I feel like that small boy, with the principal difference that, instead of the usual treatment meted out to new boys at secondary schools, I was greeted here with the utmost warmth and kindness. There were only a few frightening adults, and I could find no obvious sneaks and bullies, despite Black Rod’s warnings—only myriad corridors and staircases, guaranteed to leave you feeling very foolish when trying to find someone or something. My sincere and grateful thanks are due to all of those who have assisted me in this fascinating learning process, from doorkeepers and House staff to mentors and colleagues. No names, as they say, and no pack drill, but thank you all The long and winding road to these hallowed portals has taken me via 15 years in the Royal Navy, 10 of which were in submarines, where I came across the Special Boat Service, including command during the Cold War of the 1970s. This was followed by 30 years in the City in a global trade house, where I spent many years as a member of the Baltic Exchange. I followed that with a period of cathedral custodianship, which is not a bad precursor to coming to this place, in many ways I wish to concentrate today on a relatively narrow aspect of the effects of leaving the European Union—the effect on our coastal and border defences. The new UK economic exclusion zone, or 200-mile limit, did not even exist as such in 1973, when we joined the EEC. It will consist of some 770,000 square kilometres of sea when we leave the EU, and many nations will cast covetous eyes on our riches, both fishy and oily. At the same time, we are faced with myriad considerations in defence of the border, many of which will be exacerbated by our newly independent status. We have to contend not only with serious organised crime, including drug-, people- and firearms-smuggling, but also with modern slavery, terrorism, immigration and, last but not least, fisheries protection and anti-poaching activities. There is a very large Spanish fishing fleet that will be very discomforted by the lack of access—in theory at least—to our parts of the north Atlantic. The Government’s aim is to secure our borders while still allowing legitimate trade to continue unhindered. This is, of course, an admirable objective, but we do need better funded and co-ordinated command and control facilities. Our border is a unique point of intervention and a critical line of defence, where the UK can, and does, identify and disrupt threats to our security. Brexit will throw our existing facilities and organisation into stark relief, and we need to be prepared for it. Without close and continuing liaison with our closest maritime collaborators and neighbours—Spain, France and the Netherlands—we will struggle to remain masters of our space, so we must maintain this at least as a part of our divorce settlement with the EU The National Maritime Information Centre, or NMIC, formed at Northwood in 2010, I believe under the aegis of the noble Lord, Lord West, is an essential tool in the garnering of information, but it is neither funded nor equipped to act as the national command and control centre for the maritime assets committed to border defence, which we urgently need. This funding, which would normally come from Home Office resources, is badly needed—I know this is another rant on the subject of funding our forces—and could transform the capabilities of NMIC. Of the many force elements which go make up NMIC, some are volunteer charities, such as the RNLI, but the majority could contribute, in addition to the Home Office The asset base that we have for dealing with all this is minimal and will require reinforcement if we are to be successful in defending our borders against such threats. We currently have a situation where the Border Force has three coastal cutters operating on our 11,000-mile coastline. It owns two more but budget constraints mean that it cannot operate them, so they have been lent temporarily to DfID and are currently in the Mediterranean in support of the refugee effort. The Border Force has also ordered eight high-end RIBs for coastal and riverine patrolling. However, the same constraints will allow it to take delivery of only four of them at this time. It does not currently own or operate any aircraft in a maritime patrol role—partially because of the aforementioned budgetary constraints—although the RAF is eventually due to receive nine new Poseidon long-range maritime patrol aircraft The Royal Navy has four larger offshore patrol vessels, suitable for fishery protection in the north Atlantic, although one is permanently stationed in the Falkland Islands, which leaves us with three. The new series of OPVs—called the Batch 2 River class—are under construction and five have been ordered. The fate of the first four, once the new vessels come into service, depends on who you ask, but the 2015 SDSR implies that they may be offered to the Border Force The Royal Navy also has a total of 15 mine countermeasures vessels, all of them minehunters. Most of these, as your Lordships are aware, are deployed either in the Clyde—which has seven—to protect the deterrent, or in the Iranian Gulf, which has four. That leaves four, which is clearly inadequate to protect our harbours from mine attack, let alone to assist in the defence of our inshore waters, which has historically been one of the primary roles of MCMVs. The main objection to providing more assets for the defence of our border, apart from finance, appears to be that we cannot man more vessels, given present low rates of recruitment and retention. However, one asset that seems to be largely overlooked is the Royal Naval Reserve. This force has been allowed to wither on the vine, in contrast to the Army Reserve. Currently, the target is to have 3,000 members of the Royal Navy Reserve. In 1993, the RNR’s squadron of 12 MCMVs was disbanded and sold to foreign buyers. This squadron, based in 11 separate operating bases around our coasts, provided an excellent focal point for volunteer mariners to train and develop their skills and produced some superb seamen. The vessels were used for a multitude of tasks, which included coastal patrolling and defence. Instead of selling or scrapping the four Batch 1 River class OPVs when the Batch 2 vessels become available, why not transfer them to a revitalised Royal Naval Reserve, which could provide much needed back-up to the Border Force, and provide the Royal Navy with a ready source of trained personnel to supplement its very stretched manpower resources? The appeal of joining the current RNR and being trained to act, at most, as an armed guard on board an RN ship is low, but give them their own vessels and the chance to develop as a team and watch recruitment take off, especially among those trained by the RN but leaving for other reasons.
ParlaMint-GB_2016-12-08-lords.u92	My Lords, there has been some criticism of some recent appointments to the House, but having just had the pleasure of hearing his maiden speech, no one can be in any doubt of the qualities and qualifications—including a sense of humour—that my noble friend Lord Cork and Orrery brings to our business. In true tri-service spirit, as a solider I am delighted to welcome another ex-serviceman to these Benches, noting that in choosing a naval career he was following a most distinguished family line. What makes his choice of today’s debate to make his maiden speech most appropriate is his particular knowledge of commercial shipping. The noble Lord, Lord West of Spithead, never misses an opportunity to raise the fragility of the Navy’s small ship strength but, in the context of controlling our own borders, my noble friend speaks with authority on equally concerning fragilities, namely the numbers of fishing protection and Border Force resources. On behalf of the House, I welcome my noble friend, congratulate him on his excellent maiden speech and assure him that we all look forward to many further contributions from him in the future I join others in thanking the noble Lord, Lord Sterling, for obtaining this important debate. I noted his emphasis on global aspects in his excellent introduction. I propose to concentrate on the Armed Forces in a reflective as much as a looking-forward mode, as other speakers have concentrated on that. I could not help reflecting that in 1989 our contribution to the defence of Europe was based on the army of 55,000 that we were required to maintain in Germany under the terms of the 1956 Brussels treaty. The end of the Cold War saw the collapse of the Warsaw Pact, the war-fighting organisation of the Soviet Union. However, it did not see the end of NATO, although at the time I well remember many people suggesting that NATO should go too because, as the war-fighting organisation of the West, it was the one organisation that Russia could not join, and if we were going to welcome Russia into the family of European nations it was essential that it was able to join all the organisations connected with it. Warsaw Pact countries were given the opportunity to join NATO and, indeed, many of them have The end of the Cold War saw an uneasy situation in which, initially, I well remember people suggesting that the United Nations should take a lead. Indeed, thinking back to the intervention in former Yugoslavia, the OSCE led on that. I well remember the noble Lord, Lord Carrington, being its distinguished envoy. The OSCE, as a Chapter VIII organisation under the United Nations charter, is equivalent to the OAS and the OAU. As far as European defence was concerned, its main benefit was that it included the United States. Some wished that NATO might have gone, to enable Russia to join more closely in European defence, but others felt that America’s presence was an absolutely crucial reason why NATO should remain. In fact NATO was unnecessary because, in OSCE terms, America was already involved, but of course, as we all know, the United Nations is not really a capable organisation for defending Europe, not least because of the presence of Russia on the Security Council. I well remember being a member of a committee formed by Kofi Annan, then the Under-Secretary-General for Peacekeeping, which tried to strengthen the military committee in the United Nations and make it more like what the founding fathers of the United Nations had envisaged—in other words, being the co-ordinating organisation for the use of armed force throughout the world My worry about the present situation was touched on by my noble and gallant friend Lord Craig. We have very strong defence relationships with individual countries in Europe but, when you look at what is actually going on to co-ordinate everything, you see that it is co-ordinated currently by NATO, not Europe. A number of noble Lords have already commented on the uncertainty facing NATO’s future after Mr Trump becomes President. Echoing what others have said, I hope that, whatever happens with Brexit, nothing is done to destroy that very close relationship which has been established with other European countries, because we are a European country and the defence of Europe includes us. We must do nothing to risk being excluded from the planning that is an essential part of that defence. If we do so, the impact will be even worse than anyone imagines at the moment.
ParlaMint-GB_2016-12-08-lords.u93	My Lords, I too congratulate the noble Earl, Lord Cork and Orrery, on his maiden speech. He complains that this place is very difficult to find one’s way around, being something of a rabbit warren. I have very bad news for him: they are going to spend billions of pounds revamping the whole place, but as far as I can gather, it will still be a rabbit warren when we all get back. I do not think that that will include me. I am grateful that, as all rumours have it, we will move to the Westminster conference centre. Maybe it will be rather easier to find one’s way around there. We very much look forward to the noble Earl’s future contributions on defence debates and the expertise that he brings to them I congratulate my noble friend Lord Sterling on giving us the opportunity to discuss these important issues. We have just had the presidential elections in America, and there are many similar issues of populism involved in both that vote and the Brexit vote in the United Kingdom. My noble friend Lord Hunt of Wirral has already referred to the sweep of populism, which may not be confined to the Anglosphere and which looks as though it could well spread across Europe as well, where a number of elections are being held: a general election may be held in Italy next year, the Dutch will have one in March, the French in April, and of course the Germans in November. Is there not quite a large possibility that one of those elections will produce a populist leader, who may well decide to hold votes on whether their country should remain in the EU? By the time we reach November next year, the EU may be completely unrecognisable from the EU it is today, which puts the question of our negotiations in a rather more interesting light Let us look at the promises that President-elect Trump made during his campaign. Some of them struck most of us as being somewhat over the top. However, a very easy one he can fulfil is the question of the defence of Europe. By “easy” I mean that he is pushing at an open door when it comes to Congress—the Senate and the House of Representatives—if he suggests that the Europeans should play a much bigger role in defending their own borders. When the NATO Parliamentary Assembly was in Istanbul, we were addressed by Jens Stoltenberg, the Secretary-General of NATO. It is interesting that he pointed out to us that once the United Kingdom is outside the EU, 80% of NATO expenditure will come from countries outside the EU and 20% from those inside the EU. Therefore when the noble Lord, Lord Ashdown, goes on about European defence and how important it is, it is 20% of NATO’s expenditure What form does European defence take? It means the French and the Germans getting together—naturally, because they are the only two members spending serious money on defence—but do they have similar political objectives? As we know, it is no good getting together as a defence unit unless your political will is aligned as well. The Germans will be keen on confronting Russia—it is the old enemy—but the French are less keen on that. The French are keen on expeditionary forces and taking on ISIL, and they are playing a big role in Mali as we speak. But are the Germans keen on doing that? The answer is that there is very little alignment of political will between the French and the Germans, which is why the whole concept of European defence is distinctly faulty. We must rely on NATO, and European NATO, for our future. However, of course the Americans are pivoting away, looking much more at China as a future enemy, and in those circumstances it is up to the United Kingdom to lead NATO in Europe. That means spending a lot more money than 2% of our gross national product on defence. We have to spend more; this is the future of this country. I have a confession to make. At one stage, I was rather dodgy about renewing Trident, not because I do not believe that the United Kingdom should have an independent deterrent but because I thought that we could do it much more cheaply. The fact is that I was completely wrong in every conceivable way. My argument was: could there ever be a moment when we would fire a nuclear weapon and the Americans would not? However, with President-elect Trump’s attitude towards Putin, it seems essential that we maintain our nuclear deterrent, because—let us face it—it may come in very useful in the future.
ParlaMint-GB_2016-12-08-lords.u94	My Lords, we have had a sterling opening speech and a well-reasoned maiden speech. My starting point is this. On 23 June, the people spoke. It is uncertain what they said but the Prime Minister has given the helpful steer that “Brexit means Brexit”. At least in the fields of domestic policy, the economy and border control there was quite a substantial pre-referendum debate and areas of concern were revealed However, foreign affairs and defence figured much less. I recall, for example, Mr Farage saying that he was a “Commonwealth man”, although all the Commonwealth countries were against leaving, and indeed the only Commonwealth country with a vote—Gibraltar—voted very much to remain. Miss Mordaunt, who is still a government Minister, told us that Turkey, with a teeming population, was about to join the EU. That was not true then and is still less true today. I therefore conclude from this lack of pre-referendum debate that in the areas covered today the Government have a much freer hand in making deals which are clearly in our national interest, and similarly in seeking co-operation in fields such as migration and counterterrorism—a point made by the noble Lord, Lord Ashdown I make the following reflections. First, for over 40 years we have worked with the EU at every level—from the European Council to constant co-ordination at post level. This has led to harmonisation of policy, which has not prevented divergence, such as we saw at the UN General Assembly in respect of recognition of Palestine, with the EU splitting three ways. This habit of working together has given us more clout—for example, on Iran—and the question is whether we now face the danger of being excluded from a lead position on such issues. With our departure and the likely policies of the Trump Administration, will we not see an increasing fraying, for example—even abandonment—of the sanctions against Russia because of its occupation of Crimea My second reflection is that Brexit should give an enhanced role to our embassies in EU countries and perhaps even to institutions such as the Council of Europe. There will be staff implications. I note that the total FCO budget is only twice the sum of our development aid to Ethiopia, where there is an alarming deterioration in human rights. Presumably our secondees to the EEAS will return. Do we accept any obligations to our other UK nationals in the service? My third observation is that the FCO is, of course, only a part of our representation overseas. On cultural diplomacy, the British Council has shown its concern. Will Erasmus be continued for the UK? On DfID, the 2016 statistics show that we paid 30% of our multilateral ODA to the Commission’s development budget and the European Development Fund. Will these contributions come to an end or be reduced? What new mechanisms will be devised for co-ordination with the European Union, even if we are almost certainly outside the room when priorities are decided Fourthly, there is the security aspect. In the Times of 11 June Sir John Scarlett wrote, concerning Brexit, that, “we risk losing automatic access to counter-terrorist data”, and, “exchanges of information becoming less expertly targeted” How will the Government prevent this But have no fear: Boris Johnson told Chatham House on 2 December that the referendum was a country “taking back control”, a country “galvanised by new possibilities”. History will show whether this is again pure Johnson bluster. His claim of a greater global reach begs the question: what are the constraints now that prevent us, with our allies, having a global reach Similar considerations arise on the defence side. There will be calls, of course, for a new European defence organisation, most stridently from those European countries that make the least credible contribution to defence, such as Belgium, at 0.9% of GDP, and Luxembourg, at 0.4%. What are the prospects for our joining future CSDP operations such as Sophia and Atalante? How will we influence their mandate from outside? Will we continue our relationship with the European Defence Agency? How will Berlin Plus be affected by the change My conclusion is simple. We travel in hope. If there is good will on all sides, and given our flexibility in this field, we may be able to preserve much of the present co-operation—unless the hard-line Brexiteers prevail. What assurances can the Minister give us on these points?
